Column1,Time,GNA/NR/2024/12/01/3428,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/30042040/GNA_LT_36,GNA/NR/2024/12/01/1899,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/12/01/2197,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2024/12/01/1766,NR/01102023/31052040/LT-31,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_02,NR/01102023/19072037/LT-05,GNA/NR/2024/12/01/1599,NR/30092023/26122029/SH-06,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/7739,NR/01102023/22052037/LT-59,L_NR_2019_19,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/31122025/SH-07,GNA/WR/2024/10/15/7089,GNA/WR/2024/11/01/4200,GNA/NR/2024/12/01/1475,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2020_06,SR/01102023/07102043/L_NR_2018_61,NR/01102023/08032047/L_NR_2021_14,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/31072042/L_NR_2023_07,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,NR/01102023/13082046/L_NR_2021_12
50,12:15-12:30,14.43,1.84,14.88,14.43,1.22,14.52,25.97,1.71,86.75,25.97,14.52,0,100.2,130.56,70.13,0,0,150,0,0.77,138.98,100,50,76,44,48.33,0,0,0,0,25.97,30.8,25.01,8.33,2.4,93,16.66,16.67,30.8,30.8,179,8.33,6.67,241.67

51,12:30-12:45,14.43,1.84,14.88,14.43,1.22,14.52,25.97,1.71,86.75,25.97,14.52,0,100.2,130.56,70.13,0,0,150,0,0.77,137.72,100,50,76,45,48.33,0,0,0,0,25.97,30.8,25.01,8.33,2.4,93,16.66,16.67,30.8,30.8,179,8.33,6.67,241.67

52,12:45-13:00,14.43,1.84,14.88,14.43,1.22,14.52,25.97,1.71,86.75,25.97,14.52,0,100.2,130.56,70.13,0,0,150,0,0.77,135.69,100,50,76,45,48.33,0,0,0,0,25.97,30.8,25.01,8.33,2.4,93,16.66,16.67,30.8,30.8,179,8.33,6.67,241.67

53,13:00-13:15,8.66,1.74,14.88,8.66,1.22,14.52,25.97,1.71,75.82,25.97,14.52,0,75.02,130.56,70.13,0,0,150,0,0.77,132.96,100,50,76,45,48.33,0,0,0,0,25.97,30.8,19.99,6.67,2.4,93,16.66,16.67,30.8,30.8,179,6.67,6.67,241.67

54,13:15-13:30,8.66,1.74,14.87,8.66,1.22,14.51,25.97,1.71,75.82,25.97,14.51,0,78.87,113.11,70.13,0,0,150,0,0.77,129.54,99,49,76,44,48.33,0,0,0,0,25.97,30.8,19.99,6.67,2.4,92,16.66,16.67,30.8,30.8,179,6.67,6.67,241.67

55,13:30-13:45,8.66,1.74,14.36,8.66,1.22,14.02,25.97,1.71,75.82,25.97,14.02,0,78.87,113.11,70.13,0,0,150,0,0.77,125.4,95,47,76,43,48.33,0,0,0,0,25.97,30.8,19.99,6.67,2.4,92,16.66,16.67,30.8,30.8,179,6.67,6.67,241.67

56,13:45-14:00,8.66,1.74,14.11,8.66,1.22,13.76,25.97,1.71,75.82,25.97,13.76,0,78.87,113.11,70.13,0,0,150,0,0.77,120.42,91,46,75,42,48.33,0,0,0,0,25.97,30.8,19.99,6.67,2.4,92,16.66,16.67,30.8,30.8,175,6.67,6.67,241.67

57,14:00-14:15,8.66,1.84,13.48,8.66,1.3,13.15,25.97,1.76,75.82,25.97,13.15,0,78.87,113.11,70.13,0,0,150,0,0.77,114.67,81,41,70,41,47.85,0,0,0,0,25.97,30.8,19.99,6.67,2.4,91,16.66,16.67,30.8,30.8,165,6.67,6.67,239.25

58,14:15-14:30,8.66,1.84,12.72,8.66,1.3,12.41,25.97,1.76,75.82,25.97,12.41,0,75.02,113.11,70.13,0,0,150,0,0.77,108.07,77,38,66,39,47.01,0,0,0,0,25.97,30.8,19.99,6.67,2.4,88,16.66,16.67,30.8,30.8,154,6.67,6.67,235.07

59,14:30-14:45,8.66,1.84,11.98,8.66,1.3,11.68,25.97,1.76,75.82,25.97,11.68,0,75.02,113.11,70.13,0,0,150,0,0.77,100.57,73,37,66,36,45.04,0,0,0,0,25.97,30.8,28.99,9.67,6,82,26.34,26.33,30.8,30.8,154,9.67,10,225.21

60,14:45-15:00,8.66,1.84,11.05,8.66,1.3,10.78,25.97,1.76,75.82,25.97,10.78,0,78.87,113.11,70.13,0,0,150,0,0.77,92.47,67,33,63,34,42.41,0,0,0,0,25.97,30.8,29.51,9.83,6,77,27,27,30.8,30.8,147,9.83,10.33,212.05

61,15:00-15:15,8.66,1.84,10.12,8.66,1.3,9.87,25.97,1.76,75.82,25.97,9.87,0,69.25,130.56,70.13,0,0,150,0,0.85,83.45,55,28,54,31,39.61,0,0,0,0,25.97,31.3,30,10,6,73,28.66,28.67,31.3,31.3,126,10,10.67,198.07

62,15:15-15:30,8.66,1.84,8.95,8.66,1.3,8.73,25.97,1.76,86.75,25.97,8.73,0,100.2,130.56,70.13,0,0,150,0,0.85,73.58,47,23,51,29,36.77,0,0,0,0,25.97,31.3,30.49,10.17,6,66,30.34,30.33,31.3,31.3,119,10.17,11.33,183.84

63,15:30-15:45,8.66,1.84,7.92,8.66,1.3,7.73,31.74,1.76,86.75,31.74,7.73,0,100.2,130.56,65.99,0,0,150,0,0.85,62.76,40,20,39,27,33.63,0,0,0,0,31.74,31.95,44.51,14.83,6,59,44.34,44.33,31.95,30,91,14.83,12.33,168.13

64,15:45-16:00,8.66,1.84,6.88,8.66,1.3,6.71,31.74,1.76,86.75,31.74,6.71,0,100.2,130.56,65.99,0,0,150,0,0.85,51.23,33,17,31,23,30.24,0,0,0,0,31.74,32.9,45.49,15.17,6,53,45,45,32.89,26,74,15.17,12.67,151.2

65,16:00-16:15,8.66,1.74,5.81,8.66,1.38,5.66,31.74,1.76,86.75,31.74,5.66,0,100.2,130.56,65.99,0,0,150,0,0.85,39.28,27,13,28,19,26.6,23.22,0,0,0,31.74,33,48,16,6,45,45.66,45.67,33,20,67,16,12.33,132.98

66,16:15-16:30,8.66,1.74,4.7,8.66,1.38,4.58,31.74,1.76,86.75,31.74,4.58,0,100.2,130.56,74.47,0,0,150,0,0.85,27.79,23,11,24,12,22.74,24.22,0,0,0,31.74,33,49.5,16.5,6,36,46.34,46.33,26.55,13,56,16.5,12.33,113.71

67,16:30-16:45,9.62,1.74,3.58,9.62,1.38,3.5,36.55,1.76,63.29,36.55,3.5,0,98.33,130.56,82.96,0,32,150,0,0.85,22.96,18,9,18,8,18.46,24.22,0,0,0,36.55,24.26,50.51,16.83,6,27,47,47,15.2,7,42,16.83,12.33,92.3

68,16:45-17:00,9.62,1.74,2.47,9.62,1.38,2.42,36.55,1.76,63.29,36.55,2.42,0,98.33,130.56,115,0,32,150,0,0.85,15.55,11,6,12,5,13.2,24.22,0,0,0,36.55,9.85,51,17,6,18,47.34,47.33,6.35,1,28,17,12.33,66.01

69,17:00-17:15,14.43,1.84,1.81,14.43,1.38,1.77,37.51,1.76,63.29,37.51,1.77,0,98.33,130.56,115,0,12,150,0,0.85,7.7,6,3,6,2,8.18,24.22,0,0,0,37.51,3.61,51.49,17.17,6,12,41.34,41.33,1.52,0,14,17.17,12.67,40.9

70,17:15-17:30,14.43,1.84,1.23,14.43,1.38,1.2,37.51,1.76,63.29,37.51,1.2,0,98.33,130.56,115,0,14,150,0,0.85,0,2,1,3,1,4.23,24.73,0,0,0,37.51,1.02,52.5,17.5,6,7,42,42,2.35,0,7,17.5,13,21.14

71,17:30-17:45,14.43,1.84,0.71,14.43,1.38,0.7,37.51,1.76,63.29,37.51,0.7,0,98.33,130.56,115,0,19,150,0,0.85,0,1,0,1,0,1.5,25.74,0,0,0,37.51,0.05,52.5,17.5,6,3,43,43,1.34,0,2,17.5,13.67,7.51

72,17:45-18:00,14.43,1.84,0.25,14.43,1.38,0.25,37.51,1.76,63.29,37.51,0.25,0,98.33,130.56,115,0,27,150,0,0.85,0,0,0,0,0,0.22,25.74,0,0,0,37.51,0.03,54,18,6,2,43.66,43.67,0.75,0,0,18,14.33,1.1

73,18:00-18:15,14.43,1.84,0.14,14.43,1.38,0.14,37.51,1.71,63.29,37.51,0.14,0,98.33,130.56,115,0,32,150,0,0.77,0,0,0,0,0,0,25.74,0,150,50,37.51,0,55.01,18.33,6,0,47,47,0,0,0,18.33,14.67,0

74,18:15-18:30,14.43,1.84,0,14.43,1.38,0,37.51,1.71,63.29,37.51,0,0,98.33,130.56,115,0,32,150,0,0.77,0,0,0,0,0,0,25.74,0,150,50,37.51,0,57,19,6,0,49.34,49.33,0,0,0,19,15.33,0

75,18:30-18:45,14.43,1.84,0,14.43,1.38,0,37.51,1.71,63.29,37.51,0,0,98.33,130.56,115,0,32,150,0,0.77,0,0,0,0,0,0,25.74,0,150,50,37.51,0,61.99,20.67,6,0,51.66,51.67,0,0,0,20.67,16.33,0

76,18:45-19:00,14.43,1.84,0,14.43,1.38,0,37.51,1.71,63.29,37.51,0,0,98.33,130.56,115,0,32,150,0,0.77,0,0,0,0,0,0,25.74,0,150,50,37.51,0,67.01,22.33,6,0,56,56,0,0,0,22.33,17.67,0

77,19:00-19:15,8.66,1.84,0,8.66,1.3,0,37.51,1.71,63.29,37.51,0,0,98.33,130.56,115,0,32,150,0,0.77,0,0,0,0,0,0,25.74,0,150,50,37.51,0,72,24,6,0,61,61,0,0,0,24,18.67,0

78,19:15-19:30,8.66,1.84,0,8.66,1.3,0,37.51,1.71,63.29,37.51,0,0,98.33,130.56,115,0,32,150,0,0.77,0,0,0,0,0,0,25.23,0,150,50,37.51,0,77.51,25.83,6,0,65,65,0,0,0,25.83,19.67,0

79,19:30-19:45,8.66,1.84,0,8.66,1.3,0,37.51,1.71,63.29,37.51,0,0,98.33,130.56,115,0,0,150,0,0.77,0,0,0,0,0,0,25.23,0,150,50,37.51,0,82.99,27.67,6,0,68.66,68.67,0,0,0,27.67,20.67,0

80,19:45-20:00,8.66,1.84,0,8.66,1.3,0,37.51,1.71,63.29,37.51,0,0,98.33,130.56,115,0,0,150,0,0.77,0,0,0,0,0,0,25.23,0,150,50,37.51,0,87.49,29.17,6,0,70.66,70.67,0,0,0,29.17,21.67,0

81,20:00-20:15,8.66,1.84,0,8.66,1.3,0,34.62,1.66,63.29,34.62,0,0,98.33,130.56,115,0,0,150,0,0.77,0,0,0,0,0,0,25.23,0,250,50,34.62,0,88.99,29.67,6,0,76.66,76.67,0,0,0,29.67,25.67,0

82,20:15-20:30,8.66,1.84,0,8.66,1.3,0,34.62,1.66,63.29,34.62,0,0,98.33,130.56,106.52,0,0,150,0,0.77,0,0,0,0,0,0,25.23,0,250,50,34.62,0,90,30,6,0,78.34,78.33,0,0,0,30,26.67,0

83,20:30-20:45,8.66,1.84,0,8.66,1.3,0,34.62,1.66,63.29,34.62,0,0,98.33,130.56,98.04,0,0,150,0,0.77,0,0,0,0,0,0,25.23,0,250,50,34.62,0,100.01,33.33,8.6,0,79.66,79.67,0,0,0,33.33,31,0

