Time,Block,NR/2024/21485/A/27773,NR/2024/21159/A/27479,NR/2024/21173/A/27486,NR/2024/21142/A/27434,NR/2024/21199/A/27456,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21158/A/27478,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/20711/A/27774,NR/01102023/23072042/L_NR_2012_04,NR/2024/21096/A/27741,NR/2024/21072/A/27725,NR/2024/21622/C,NR/2024/21186/A/27734,NR/2024/21659/C,NR/16072024/31072024/NR/16072024/31072024/717758,NR/2024/21150/A/27472,NR/2024/20688/A/27488,NR/2024/21108/A/27738,NR/2024/21567/A/27722,NR/2024/21210/A/27433,NR/01072024/31072024/R2,NR/2024/20966/A/27426,NR/2024/21023/A/27458,NR/2024/21141/A/27435,NR/2024/21146/A/27474,NR/2024/21062/A/27693,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/20931/A/27659,NR/2024/21148/A/27473,NR/2024/21113/A/27723,NR/2024/21144/A/27516,NR/2024/19779/A/27407,NR/2024/21075/A/27671,NR/30092023/31122025/SH-07,NR/2024/21626/C,NR/2024/20573/A/27695,NR/2024/21103/A/27740,NR/2024/21339/A/27431,NR/2024/21076/A/27668,NR/2024/20574/A/27694,NR/18072024/18072024/IEX_240717_01569,NR/30092023/26122029/SH-06,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/21630/C,NR/2024/21653/C,NR/2024/21183/A/27669,NR/2024/21087/A/27487,NR/2024/21160/A/27475,NR/2024/21623/C,NR/2024/21089/A/27724,NR/2024/21632/C,NR/2024/21619/C,NR/2024/21625/C,NR/2024/21633/C,NR/2024/21629/C,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21099/A/27436,NR/2024/21227/A/27739,NR/2024/21152/A/27425,NR/2024/21156/A/27477,NR/2024/21153/A/27476,NR/2024/21238/A/27672,NR/2024/21496/A/27735,NR/2024/21500/A/27284,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,NR/2024/21618/C,Total

3,00:30-00:45,240.100000,0.870000,24.010000,48.020000,0.000000,13.110000,15.080000,0.670000,38.420000,96.040000,96.040000,96.040000,0.000000,57.290000,37.100000,48.020000,25.950000,0.000000,48.020000,0.870000,66.450000,23.930000,6.130000,40.920000,24.010000,4.800000,0.000000,47.500000,0.360000,0.000000,12.370000,0.000000,0.520000,37.100000,0.480000,0.620000,11.670000,32.000000,33.610000,18.010000,83.730000,0.000000,90.280000,6.000000,96.040000,32.000000,0.000000,53.450000,13.640000,0.000000,21.130000,24.010000,0.970000,93.160000,37.100000,43.220000,163.510000,48.020000,8.930000,96.040000,0.000000,24.010000,12.150000,1.920000,0.610000,1.580000,2.460000,112.380000,7.680000,0,0,0,2320.15

4,00:45-01:00,240.100000,0.870000,24.010000,48.020000,0.000000,13.110000,15.080000,0.670000,38.420000,96.040000,96.040000,96.040000,0.000000,58.300000,37.100000,48.020000,25.950000,0.000000,48.020000,0.870000,66.450000,23.930000,6.130000,41.640000,24.010000,4.800000,0.000000,47.500000,0.360000,0.000000,12.370000,0.000000,0.520000,37.100000,0.480000,0.620000,11.670000,32.000000,33.610000,18.010000,83.730000,0.000000,90.280000,6.000000,96.040000,32.000000,0.000000,53.450000,13.640000,0.000000,21.130000,24.010000,0.970000,93.160000,37.100000,43.220000,163.510000,48.020000,8.930000,96.040000,0.000000,24.010000,12.150000,1.920000,0.610000,1.580000,2.500000,115.160000,7.680000,0,0,0,2324.7

5,01:00-01:15,240.100000,0.870000,24.010000,48.020000,0.000000,13.110000,15.080000,0.670000,38.420000,96.040000,96.040000,96.040000,0.000000,59.390000,37.100000,48.020000,25.950000,0.000000,48.020000,0.870000,66.450000,23.930000,6.130000,42.420000,24.010000,4.800000,0.000000,47.500000,0.360000,0.000000,12.370000,0.000000,0.520000,37.100000,0.480000,0.580000,11.670000,32.000000,33.610000,18.010000,83.730000,0.000000,90.280000,6.000000,96.040000,32.000000,0.000000,53.450000,13.640000,0.000000,21.130000,24.010000,0.970000,93.160000,37.100000,43.220000,163.510000,48.020000,8.930000,96.040000,0.000000,24.010000,12.150000,1.920000,0.610000,1.580000,2.550000,137.330000,7.680000,0,0,0,2348.75

6,01:15-01:30,240.100000,0.870000,24.010000,48.020000,0.000000,13.110000,15.080000,0.670000,38.420000,96.040000,96.040000,96.040000,0.000000,61.680000,37.100000,48.020000,25.950000,0.000000,48.020000,0.870000,66.450000,23.930000,6.130000,44.050000,24.010000,4.800000,0.000000,47.500000,0.360000,0.000000,12.370000,0.000000,0.520000,37.100000,0.480000,0.580000,11.670000,32.000000,33.610000,18.010000,83.730000,0.000000,90.280000,6.000000,96.040000,32.000000,0.000000,53.450000,13.640000,0.000000,21.130000,24.010000,0.970000,93.160000,37.100000,43.220000,163.510000,48.020000,8.930000,96.040000,0.000000,24.010000,12.150000,1.920000,0.610000,1.580000,2.640000,147.060000,7.680000,0,0,0,2362.49

7,01:30-01:45,240.100000,0.870000,24.010000,48.020000,0.000000,13.110000,15.080000,0.670000,38.420000,96.040000,96.040000,96.040000,0.000000,65.760000,37.100000,48.020000,25.950000,0.000000,48.020000,0.870000,66.450000,23.930000,6.130000,46.970000,24.010000,4.800000,0.000000,47.500000,0.360000,0.000000,12.370000,0.000000,0.520000,37.100000,0.480000,0.580000,11.670000,32.000000,33.610000,18.010000,83.730000,0.000000,90.280000,6.000000,96.040000,32.000000,0.000000,53.450000,13.640000,0.000000,21.130000,24.010000,0.970000,93.160000,37.100000,43.220000,163.510000,48.020000,8.930000,96.040000,0.000000,24.010000,12.150000,1.920000,0.610000,1.580000,2.810000,159.720000,6.720000,0,0,0,2381.36

8,01:45-02:00,240.100000,0.870000,24.010000,48.020000,0.000000,13.110000,15.080000,0.670000,38.420000,96.040000,96.040000,96.040000,0.000000,65.160000,37.100000,48.020000,25.950000,0.000000,48.020000,0.870000,66.450000,23.930000,6.130000,46.540000,24.010000,4.800000,0.000000,47.500000,0.360000,0.000000,12.370000,0.000000,0.520000,37.100000,0.480000,0.580000,11.670000,32.000000,33.610000,18.010000,83.730000,0.000000,90.280000,6.000000,96.040000,32.000000,0.000000,53.450000,13.640000,0.000000,21.130000,24.010000,0.970000,93.160000,37.100000,43.220000,163.510000,48.020000,8.930000,96.040000,0.000000,24.010000,12.150000,1.920000,0.610000,1.580000,2.790000,161.350000,6.720000,0,0,0,2381.94

9,02:00-02:15,240.100000,0.870000,24.010000,48.020000,0.000000,13.110000,15.080000,0.670000,38.420000,96.040000,96.040000,96.040000,0.000000,67.230000,37.100000,48.020000,25.950000,0.000000,48.020000,0.870000,66.450000,23.930000,6.130000,48.020000,24.010000,4.800000,0.000000,47.500000,0.360000,0.000000,12.370000,0.000000,0.520000,37.100000,0.480000,0.580000,11.670000,32.000000,0.000000,18.010000,83.730000,0.000000,90.280000,6.000000,96.040000,32.000000,0.000000,53.450000,0.000000,0.000000,21.130000,24.010000,0.970000,93.160000,37.100000,43.220000,163.510000,48.020000,0.000000,96.040000,0.000000,24.010000,0.000000,1.920000,0.610000,1.580000,2.880000,170.370000,6.720000,0,0,0,2326.27

10,02:15-02:30,240.100000,0.870000,24.010000,48.020000,0.000000,13.110000,15.080000,0.670000,38.420000,96.040000,96.040000,96.040000,0.000000,67.230000,37.100000,48.020000,25.950000,0.000000,48.020000,0.870000,66.450000,23.930000,6.130000,48.020000,24.010000,4.800000,0.000000,47.500000,0.360000,0.000000,12.370000,0.000000,0.520000,37.100000,0.480000,0.580000,11.670000,32.000000,0.000000,18.010000,83.730000,0.000000,90.280000,6.000000,96.040000,32.000000,0.000000,53.450000,0.000000,0.000000,21.130000,24.010000,0.970000,93.160000,37.100000,43.220000,163.510000,48.020000,0.000000,96.040000,0.000000,24.010000,0.000000,1.920000,0.610000,1.580000,2.880000,171.960000,6.720000,0,0,0,2327.86

11,02:30-02:45,240.100000,0.870000,24.010000,48.020000,0.000000,13.110000,15.080000,0.670000,38.420000,96.040000,96.040000,96.040000,0.000000,67.230000,37.100000,48.020000,25.950000,0.000000,48.020000,0.870000,66.450000,23.930000,6.130000,48.020000,24.010000,4.800000,0.000000,47.500000,0.360000,0.000000,12.370000,0.000000,0.520000,37.100000,0.480000,0.580000,11.670000,32.000000,0.000000,18.010000,83.730000,0.000000,90.280000,6.000000,96.040000,32.000000,0.000000,53.450000,0.000000,0.000000,21.130000,24.010000,0.970000,93.160000,37.100000,0.000000,163.510000,48.020000,0.000000,96.040000,0.000000,24.010000,0.000000,1.920000,0.610000,1.580000,2.880000,185.850000,5.760000,0,0,0,2297.57

12,02:45-03:00,240.100000,0.870000,24.010000,48.020000,0.000000,13.110000,15.080000,0.670000,38.420000,96.040000,96.040000,96.040000,0.000000,67.230000,37.100000,48.020000,25.950000,0.000000,48.020000,0.870000,66.450000,23.930000,6.130000,48.020000,24.010000,4.800000,0.000000,47.500000,0.360000,0.000000,12.370000,0.000000,0.520000,37.100000,0.480000,0.580000,11.670000,32.000000,0.000000,18.010000,83.730000,0.000000,90.280000,6.000000,96.040000,32.000000,0.000000,53.450000,0.000000,0.000000,21.130000,24.010000,0.970000,93.160000,37.100000,0.000000,163.510000,48.020000,0.000000,96.040000,0.000000,24.010000,0.000000,1.920000,0.610000,1.580000,2.880000,199.810000,5.760000,0,0,0,2311.53

13,03:00-03:15,240.100000,0.870000,24.010000,48.020000,0.000000,13.110000,15.080000,0.670000,0.000000,96.040000,96.040000,96.040000,0.000000,67.230000,37.100000,48.020000,25.950000,0.000000,48.020000,0.870000,66.450000,23.930000,6.130000,48.020000,24.010000,4.800000,0.000000,0.000000,0.360000,0.000000,12.370000,0.000000,0.520000,37.100000,0.480000,0.530000,11.670000,32.000000,0.000000,18.010000,83.730000,0.000000,90.280000,6.000000,96.040000,32.000000,0.000000,53.450000,0.000000,0.000000,21.130000,24.010000,0.970000,93.160000,37.100000,0.000000,163.510000,48.020000,0.000000,96.040000,0.000000,24.010000,0.000000,1.920000,0.610000,1.580000,2.880000,200.010000,5.760000,0,0,0,2225.76

14,03:15-03:30,240.100000,0.870000,24.010000,48.020000,0.000000,13.110000,15.080000,0.670000,0.000000,96.040000,96.040000,96.040000,0.000000,67.230000,37.100000,48.020000,25.950000,0.000000,48.020000,0.870000,66.450000,23.930000,6.130000,48.020000,24.010000,4.800000,0.000000,0.000000,0.360000,0.000000,12.370000,0.000000,0.520000,37.100000,0.480000,0.530000,11.670000,32.000000,0.000000,18.010000,83.730000,0.000000,90.280000,6.000000,96.040000,32.000000,0.000000,53.450000,0.000000,0.000000,21.130000,24.010000,0.970000,93.160000,37.100000,0.000000,163.510000,48.020000,0.000000,96.040000,0.000000,24.010000,0.000000,1.920000,0.610000,1.580000,2.880000,202.010000,5.760000,0,0,0,2227.76

15,03:30-03:45,240.100000,0.870000,24.010000,48.020000,0.000000,13.110000,15.080000,0.670000,0.000000,96.040000,96.040000,96.040000,0.000000,67.230000,37.100000,48.020000,25.950000,0.000000,48.020000,0.870000,66.450000,23.930000,6.130000,48.020000,24.010000,4.800000,0.000000,0.000000,0.360000,0.000000,12.370000,0.000000,0.520000,37.100000,0.480000,0.530000,11.670000,32.000000,0.000000,18.010000,83.730000,0.000000,90.280000,6.000000,96.040000,32.000000,0.000000,53.450000,0.000000,0.000000,21.130000,24.010000,0.970000,93.160000,37.100000,0.000000,163.510000,48.020000,0.000000,96.040000,0.000000,24.010000,0.000000,1.920000,0.610000,1.580000,2.880000,193.740000,5.760000,0,0,0,2219.49

16,03:45-04:00,240.100000,0.870000,24.010000,48.020000,0.000000,13.110000,15.080000,0.670000,0.000000,96.040000,96.040000,96.040000,0.000000,67.230000,37.100000,48.020000,25.950000,0.000000,48.020000,0.870000,66.450000,23.930000,6.130000,48.020000,24.010000,4.800000,0.000000,0.000000,0.360000,0.000000,12.370000,0.000000,0.520000,37.100000,0.480000,0.530000,11.670000,32.000000,0.000000,18.010000,83.730000,0.000000,90.280000,6.000000,96.040000,32.000000,0.000000,53.450000,0.000000,0.000000,21.130000,24.010000,0.970000,93.160000,37.100000,0.000000,163.510000,48.020000,0.000000,96.040000,0.000000,24.010000,0.000000,1.920000,0.610000,1.580000,2.880000,188.760000,6.720000,0,0,0,2215.47

17,04:00-04:15,240.100000,0.870000,24.010000,48.020000,0.000000,12.840000,15.080000,0.670000,0.000000,96.040000,96.040000,96.040000,0.000000,67.230000,37.100000,48.020000,25.950000,0.000000,48.020000,0.870000,66.450000,23.930000,6.130000,48.020000,24.010000,4.800000,0.000000,0.000000,0.360000,0.000000,12.370000,0.000000,0.520000,37.100000,0.480000,0.530000,11.670000,32.000000,0.000000,18.010000,83.730000,0.000000,90.280000,6.000000,96.040000,32.000000,0.000000,53.450000,0.000000,0.000000,21.130000,24.010000,0.970000,0.000000,37.100000,0.000000,163.510000,48.020000,0.000000,96.040000,0.000000,24.010000,0.000000,1.920000,0.610000,1.580000,2.880000,182.420000,6.720000,0,0,0,2115.7

18,04:15-04:30,240.100000,0.870000,24.010000,48.020000,0.000000,12.840000,15.080000,0.670000,0.000000,96.040000,96.040000,96.040000,0.000000,67.230000,37.100000,48.020000,25.950000,0.000000,48.020000,0.870000,66.450000,23.930000,6.130000,48.020000,24.010000,4.800000,0.000000,0.000000,0.360000,0.000000,12.370000,0.000000,0.520000,37.100000,0.480000,0.530000,11.670000,32.000000,0.000000,18.010000,83.730000,0.000000,90.280000,6.000000,96.040000,32.000000,0.000000,53.450000,0.000000,0.000000,21.130000,24.010000,0.970000,0.000000,37.100000,0.000000,163.510000,48.020000,0.000000,96.040000,0.000000,24.010000,0.000000,1.920000,0.610000,1.580000,2.880000,187.110000,6.720000,0,0,0,2120.39

19,04:30-04:45,240.100000,0.870000,24.010000,48.020000,0.000000,12.840000,15.080000,0.670000,0.000000,96.040000,96.040000,96.040000,0.000000,67.230000,37.100000,48.020000,25.950000,0.000000,48.020000,0.870000,66.450000,23.930000,6.130000,48.020000,24.010000,4.800000,0.000000,0.000000,0.360000,0.000000,12.370000,0.000000,0.520000,37.100000,0.480000,0.530000,11.670000,32.000000,0.000000,18.010000,83.730000,0.000000,90.280000,6.000000,96.040000,32.000000,0.000000,53.450000,0.000000,0.000000,21.130000,24.010000,0.970000,0.000000,37.100000,0.000000,163.510000,48.020000,0.000000,96.040000,0.000000,24.010000,0.000000,1.920000,0.610000,1.580000,2.880000,183.300000,6.720000,0,0,0,2116.58

20,04:45-05:00,240.100000,0.870000,24.010000,48.020000,0.000000,12.840000,15.080000,0.670000,0.000000,96.040000,96.040000,96.040000,0.000000,67.230000,37.100000,48.020000,25.950000,0.000000,48.020000,0.870000,66.450000,23.930000,6.130000,48.020000,24.010000,4.800000,0.000000,0.000000,0.360000,0.000000,12.370000,0.000000,0.520000,37.100000,0.480000,0.530000,11.670000,32.000000,0.000000,18.010000,83.730000,0.000000,90.280000,6.000000,96.040000,32.000000,0.000000,53.450000,0.000000,0.000000,21.130000,24.010000,0.970000,0.000000,37.100000,0.000000,163.510000,48.020000,0.000000,96.040000,0.000000,24.010000,0.000000,1.920000,0.610000,1.580000,2.880000,187.640000,6.720000,0,0,0,2120.92

21,05:00-05:15,240.100000,0.870000,24.010000,48.020000,0.000000,12.840000,15.080000,0.670000,0.000000,96.040000,96.040000,96.040000,0.000000,24.010000,37.100000,48.020000,25.950000,0.000000,48.020000,0.870000,66.450000,23.930000,6.130000,48.020000,24.010000,4.800000,0.000000,0.000000,0.360000,0.000000,12.370000,0.000000,0.520000,37.100000,0.480000,0.530000,11.670000,32.000000,0.000000,18.010000,83.730000,0.000000,90.280000,6.000000,96.040000,32.000000,0.000000,53.450000,0.000000,0.000000,21.130000,24.010000,0.970000,0.000000,37.100000,0.000000,163.510000,48.020000,0.000000,96.040000,0.000000,24.010000,0.000000,1.920000,0.610000,1.580000,2.880000,57.350000,6.720000,0,0,0,1947.41

22,05:15-05:30,240.100000,0.870000,24.010000,48.020000,0.000000,12.840000,15.080000,0.670000,0.000000,96.040000,96.040000,96.040000,0.000000,24.010000,37.100000,48.020000,25.950000,0.000000,48.020000,0.870000,66.450000,23.930000,6.130000,48.020000,24.010000,4.800000,0.000000,0.000000,0.360000,0.000000,12.370000,0.000000,0.520000,37.100000,0.480000,0.530000,11.670000,32.000000,0.000000,18.010000,83.730000,0.000000,90.280000,6.000000,96.040000,32.000000,0.000000,53.450000,0.000000,0.000000,21.130000,24.010000,0.970000,0.000000,37.100000,0.000000,163.510000,48.020000,0.000000,96.040000,0.000000,24.010000,0.000000,1.920000,0.610000,1.580000,2.880000,55.000000,6.720000,0,0,0,1945.06

23,05:30-05:45,240.100000,0.870000,24.010000,48.020000,0.000000,12.840000,15.080000,0.670000,0.000000,96.040000,96.040000,96.040000,0.000000,24.010000,37.100000,48.020000,25.950000,0.000000,48.020000,0.870000,66.450000,23.930000,6.130000,48.020000,24.010000,4.800000,0.000000,0.000000,0.360000,0.000000,12.370000,0.000000,0.520000,37.100000,0.480000,0.530000,11.670000,32.000000,0.000000,18.010000,83.730000,0.000000,90.280000,6.000000,96.040000,32.000000,0.000000,53.450000,0.000000,0.000000,21.130000,24.010000,0.970000,0.000000,37.100000,0.000000,163.510000,48.020000,0.000000,96.040000,0.000000,24.010000,0.000000,1.920000,0.610000,1.580000,2.880000,49.990000,5.760000,0,0,0,1939.09

24,05:45-06:00,240.100000,0.870000,24.010000,48.020000,0.000000,12.840000,15.080000,0.670000,0.000000,96.040000,96.040000,96.040000,0.000000,24.010000,37.100000,48.020000,25.950000,0.000000,48.020000,0.870000,66.450000,23.930000,6.130000,48.020000,24.010000,4.800000,0.000000,0.000000,0.360000,0.000000,12.370000,0.000000,0.520000,37.100000,0.480000,0.530000,11.670000,32.000000,0.000000,18.010000,83.730000,0.000000,90.280000,6.000000,96.040000,32.000000,0.000000,53.450000,0.000000,0.000000,21.130000,24.010000,0.970000,0.000000,37.100000,0.000000,163.510000,48.020000,0.000000,96.040000,0.000000,24.010000,0.000000,1.920000,0.610000,1.580000,2.880000,45.800000,5.760000,0,0,0,1934.9

