Column1,Time,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/13082046/L_NR_2021_12,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,NR/22102023/11042047/L_NR_2021_17,L_NR_2019_19,NR/22102023/11042047/L_NR_2021_16,GNARE/NR/2024/12/20/3668,GNARE/SR/2025/01/13/4532,GNA/NR/2025/06/07/5932,NR/30092023/31122025/SH-07,NR/01102023/22052037/LT-59,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/3109,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/07/01/8128,NR/01102023/19072037/LT-05,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/07/16/5917,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/07/23/7329,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/30042040/GNA_LT_35,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/07/01/8154,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/07/16/7255,GNA/NR/2025/07/01/1044,GNA/NR/2025/07/01/2952,GNA/NR/2025/07/01/2786,NR/30092023/26122029/SH-06

7,01:30-01:45,0,29.67,26,0,0,29.67,88.99,0,0,68.33,68.34,0,0,0,0,31.61,-0,23.64,10.51,49.15,0,15.28,19.28,0,10.76,12.67,115.62,0,129.33,96.38,27.26,159.03,0,0,0,0,271.07,18.36,0,0,20.79,6.17,86.93,192.76,5.91,8.53,43.8,30

8,01:45-02:00,0,29.33,27.33,0,0,29.33,88.01,0,0,68.33,68.34,0,0,0,0,31.01,-0,23.64,10.51,49.15,0,15.28,19.28,0,10.76,12.67,115.62,0,129.33,96.38,27.26,159.03,0,0,0,0,271.07,18.36,0,0,20.79,6.17,86.93,192.76,5.91,8.53,43.8,30

9,02:00-02:15,0,29.5,28.67,0,0,29.5,88.5,0,0,66.33,66.34,0,0,0,0,37.02,-0,23.64,10.51,49.15,0,15.28,19.28,0,10.6,12.67,70.28,0,129.33,96.38,27.26,159.03,0,0,0,0,271.07,18.26,0,0,20.79,5.98,86.93,192.76,1.53,4.01,43.8,30

10,02:15-02:30,0,29.83,29.67,0,0,29.83,89.51,0,0,66,66,0,0,0,0,37.02,-0,23.64,10.51,49.15,0,15.28,19.28,0,10.6,12.67,70.28,0,129.33,96.38,27.26,159.03,0,0,0,0,271.07,18.26,0,0,20.79,5.98,86.93,192.76,1.53,4.01,43.8,30

11,02:30-02:45,0,29.83,31.33,0,0,29.83,89.51,0,0,66.33,66.34,0,0,0,0,30.01,-0,23.64,10.51,49.15,0,15.28,19.28,0,10.6,12.67,70.28,0,101.53,96.38,27.26,159.03,0,0,0,0,271.07,18.26,0,0,20.79,5.98,67.01,192.76,1.53,4.01,43.8,30

12,02:45-03:00,0,30.5,32.67,0,0,30.5,91.5,0,0,67.33,67.34,0,0,0,0,29.61,-0,23.64,10.51,49.15,0,15.28,19.28,0,10.6,12.67,70.28,0,101.53,96.38,27.26,159.03,0,0,0,0,271.07,18.26,0,0,20.79,5.98,67.01,192.76,1.53,4.01,43.8,30

13,03:00-03:15,0,30.67,33.67,0,0,30.67,91.99,0,0,67.67,67.66,0,0,0,0,26.01,-0,23.64,10.51,0,0,15.28,19.28,0,10.6,12.67,70.28,0,101.53,96.38,27.26,159.03,0,0,0,0,271.07,18.17,0,0,20.79,5.79,67.01,192.76,1.53,4.01,43.8,30

14,03:15-03:30,0,30.83,34.33,0,0,30.83,92.51,0,0,68.33,68.34,0,0,0,0,26.01,-0,23.64,10.51,0,0,15.28,19.28,0,10.6,12.67,70.28,0,101.53,96.38,27.26,159.03,0,0,0,0,271.07,18.17,0,0,20.79,5.79,67.01,192.76,1.53,4.01,43.8,30

15,03:30-03:45,0,31.5,35.33,0,0,31.5,94.5,0,0,76.67,76.66,0,0,0,0,20.01,-0,23.64,10.51,0,0,15.28,19.28,0,10.6,12.67,70.28,0,101.53,96.38,27.26,159.03,0,0,0,0,271.07,18.17,0,0,20.79,5.79,67.01,192.76,1.53,4.01,43.8,30

16,03:45-04:00,0,31.83,36,0,0,31.83,95.51,0,0,76.67,76.66,0,0,0,0,20.01,-0,23.64,10.51,0,0,15.28,19.28,0,10.6,12.67,70.28,0,101.53,96.38,27.26,159.03,0,0,0,0,271.07,18.17,0,0,20.79,5.79,67.01,192.76,1.53,4.01,43.8,30

17,04:00-04:15,0,33.33,32.67,0,0,33.33,100.01,0,0,76.67,76.66,0,0,0,0,20.01,-0,23.64,10.51,0,0,15.28,19.28,0,10.37,12.67,70.28,0,129.33,96.38,27.26,159.03,0,0,0,0,271.07,18.17,0,0,20.79,5.79,86.93,192.76,3.25,4.01,43.8,30

18,04:15-04:30,0,32.83,33,0,0,32.83,98.51,0,0,76.67,76.66,0,0,0,0,20.01,-0,23.64,10.51,0,0,15.28,19.28,0,10.37,12.67,70.28,0,129.33,96.38,27.26,159.03,0,0,0,0,271.07,18.17,0,0,20.79,5.79,82.7,192.76,3.25,4.01,43.8,30

19,04:30-04:45,0,33.33,26.67,0,0,33.33,100.01,0,0,76.67,76.66,0,0,0,0,22.41,-0,23.64,10.51,0,0,15.28,19.28,0,10.37,12.67,70.28,0,129.33,96.38,27.26,159.03,0,0,0,0,271.07,18.17,0,0,20.79,5.79,82.25,192.76,3.22,4.01,43.8,30

20,04:45-05:00,0,32.83,27.33,0,0,32.83,98.51,0,0,76.67,76.66,0,0,0,0,22.61,-0,23.64,10.51,0,0,15.28,19.28,0,10.37,12.67,70.28,0,129.33,96.38,27.26,159.03,0,0,0,0,271.07,18.17,0,0,20.79,5.79,70.99,192.76,3.22,4.01,43.8,30

21,05:00-05:15,0,30,31.67,0,0,30,90,0,0,73.33,73.34,0,0,0,0,22.81,-0,23.64,10.51,0,0,15.28,19.28,0,10.37,12.67,70.28,0,125.53,96.38,26.24,159.03,0,0,0,0,271.07,18.08,0,0,20.79,5.61,67.01,192.76,1.53,4.01,43.8,30

22,05:15-05:30,0,30,31.67,0,0,30,90,0,0,73.33,73.34,0,0,0,0,23.01,-0,23.64,10.51,0,0,15.28,19.28,0,10.37,12.67,70.28,0,107.48,96.38,26.24,159.03,0,0,0,0,271.07,18.08,0,0,20.79,5.61,67.01,192.76,1.53,4.01,43.8,30

23,05:30-05:45,0,30,31.67,0,0,30,90,0,0,80,80,0,0,0,0,27.01,-0,26.5,10.51,0,0,15.28,19.28,0,10.37,12.67,70.28,0,103.25,96.38,27.25,159.03,0,0,0,0,271.07,18.08,0,0,20.79,5.61,67.01,192.76,3.25,4.69,43.8,30

24,05:45-06:00,0,30,31.67,0,0,30,90,0,0,80,80,0,0,0,0.17,27.01,-0,26.5,10.51,0,0,15.28,19.28,0,10.37,12.67,70.28,0,129.33,96.38,26.75,159.03,0,1,0,0,271.07,18.08,0,0,20.79,5.61,80.22,192.76,3.25,4.67,43.8,30

25,06:00-06:15,7.46,35.83,36.67,1,0,35.83,107.51,1.68,1.34,80,80,0,1.34,1,0.72,22.01,-0,26.5,10.51,0,0,15.28,19.28,0,10.37,12.67,70.28,0,130.4,96.38,26.75,159.03,0,1,1,0.27,271.07,18.08,0,0,20.79,5.61,79.31,192.76,3.21,4.4,43.8,26.5

26,06:15-06:30,12.64,35.83,36.67,2,0,35.83,107.51,4.12,2.51,80,80,1,3.32,2,1.26,22.01,-0,26.5,10.51,0,0,15.28,19.28,0,10.37,12.67,70.28,0,130.4,96.38,26.75,159.03,0,3,2,0.5,271.07,18.08,0,0,20.79,5.61,78.38,192.76,3.19,4.4,43.8,26.5

27,06:30-06:45,18.9,35.83,36.67,3,3,35.83,107.51,14.61,3.68,80,80,2,5.71,3,3.86,20.01,-0,26.5,10.51,0,0,15.28,19.28,0,10.37,12.67,70.28,0.96,130.4,96.38,26.75,159.03,0,4,3,0.74,271.07,18.08,0.96,0.74,20.79,5.61,77.86,192.76,3.19,4.4,43.8,26.5

28,06:45-07:00,25.87,35.83,36.67,6,5,35.83,107.51,22.3,12.46,80,80,3,8.48,7,6.23,20.01,-0,26.5,10.51,0,0,15.28,19.28,0,10.37,12.67,70.28,1.4,130.4,96.38,26.75,159.03,0,6,4,2.49,271.07,18.08,1.4,1.08,20.79,5.61,77.03,192.76,3.16,4.4,43.8,26.5

29,07:00-07:15,33,35.83,36.67,11,8,35.83,107.51,31.1,20.98,80,80,5,11.24,10,9.68,20.01,-0,26.5,10.51,0,0,15.28,19.28,0,10.37,12.67,70.28,2,102.61,96.38,26.75,159.03,0,9,5,4.2,271.07,17.98,2,1.55,20.79,5.42,67.01,192.76,3.2,4.01,43.8,26.5

30,07:15-07:30,33,35.83,36.67,13,13,35.83,107.51,33,31.01,80,80,6,13.49,12,13.17,20.01,-0,26.5,10.51,0,0,15.28,19.28,0,10.37,12.67,70.28,2.64,102.61,96.38,27.25,159.03,0,12,7,6.2,271.07,17.98,2.64,2.05,20.79,5.42,67.01,192.76,3.2,4.01,43.8,26.5

31,07:30-07:45,33,35.83,36.67,17,20,35.83,107.51,33,42.06,80,80,9,16.08,18,16.73,17.01,-0,26.5,10.51,0,0,15.28,19.28,0,10.37,12.67,70.28,3.16,102.61,96.38,28.26,159.03,0,16,8,8.41,232.52,17.98,3.16,2.44,20.79,5.42,67.01,192.76,3.2,4.01,43.8,26.5

32,07:45-08:00,33,35.83,36.67,22,27,35.83,107.51,33,53.53,80,80,12,18.76,24,20.37,17.01,-0,26.5,10.51,0,0,15.28,19.28,0,10.37,12.67,70.28,3.48,102.61,96.38,28.26,159.03,0,21,12,10.71,193.96,17.98,3.48,2.69,20.79,5.42,67.01,192.76,3.2,4.01,43.8,26.5

33,08:00-08:15,33,35.83,36.67,25,33,35.83,107.51,33,58.02,80,80,12,21.42,25,25.01,17.01,-0,26.5,10.51,0,0,15.28,19.28,0,10.37,12.67,70.28,4.71,102.61,96.38,29.26,159.03,0,22,16,11.6,155.41,17.98,4.71,3.64,20.79,5.42,67.01,192.76,3.2,4.01,43.8,26.5

34,08:15-08:30,33,35.83,36.67,30,33,35.83,107.51,33,69.79,80,80,15,24.03,29,29.7,17.21,-0,26.5,10.51,0,0,15.28,19.28,0,10.37,12.67,70.28,5.35,102.61,96.38,30.27,159.03,0,27,18,13.96,149.09,17.98,5.35,4.13,20.79,5.42,67.01,192.76,3.2,4.01,43.8,26.5

35,08:30-08:45,33,35.83,39.33,30,33,35.83,107.51,33,74.22,80,80,18,25.11,37,31.69,12.01,-0,26.5,10.51,0,0,15.28,19.28,0,10.37,12.67,70.28,5.98,102.61,96.38,28.77,159.03,0,31,21,14.84,149.09,17.98,5.98,4.62,20.79,5.42,67.01,192.76,3.22,4.01,43.8,26.5

36,08:45-09:00,33,35.83,39.33,32,33,35.83,107.51,33,84.93,80,80,21,25.85,42,36,12.01,-0,26.5,10.51,0,0,15.28,19.28,0,10.37,12.67,70.28,6.85,102.61,96.38,28.77,159.03,0,36,23,16.99,149.09,17.98,6.85,5.3,20.79,5.42,67.01,192.76,3.22,4.01,43.8,26.5

37,09:00-09:15,33,35.83,41.67,38,33,35.83,107.51,33,99.84,80,80,23,26.83,47,41.94,10.2,-86.31,26.61,10.51,0,0,15.28,19.28,0,10.76,12.67,70.28,7.48,102.61,96.38,28.77,159.03,0,40,25,19.97,192.76,17.9,7.48,5.79,20.79,5.33,67.01,192.76,3.25,8.53,43.8,26.61

38,09:15-09:30,33,35.83,41.67,42,33,35.83,107.51,33,114.76,80,80,25,26.15,51,44.27,10.2,-86.31,26.61,10.51,0,0,15.28,19.28,0,10.76,12.67,70.28,8.81,102.61,96.38,28.77,159.03,0,45,27,22.95,231.31,17.9,8.81,6.81,20.79,5.33,67.01,192.76,3.25,8.53,43.8,26.61

39,09:30-09:45,33,35.83,43.26,55,33,35.83,107.51,33,142.49,86.67,86.66,30,30.56,60,64.22,13.01,-86.31,26.61,10.51,0,0,15.28,19.28,0,10.76,12.67,70.28,9.66,119.87,96.38,29.27,159.03,0,54,28,28.5,271.07,17.9,9.66,7.46,20.79,5.33,67.01,192.76,3.25,8.53,43.8,26.61

40,09:45-10:00,33,35.83,42.99,60,33,35.83,107.51,33,158.87,86.67,86.66,32,35.1,64,70.42,13.01,-86.31,26.61,10.51,0,0,15.28,19.28,0,10.76,12.67,70.28,10.53,129.74,96.38,29.27,159.03,0,58,30,31.78,271.07,17.9,10.53,8.13,20.79,5.33,67.01,192.76,3.25,8.53,43.8,26.61

41,10:00-10:15,33,43.83,43.22,69,33,43.83,131.51,33,171.62,86.67,86.66,35,40.2,70,74.82,13.21,-86.31,26.61,10.51,0,0,15.28,19.28,0,10.76,12.67,70.28,11.17,130.4,96.38,29.27,159.03,0,63,34,34.33,271.07,17.9,11.17,8.63,20.79,5.33,86.93,192.76,3.25,8.53,43.8,26.61

42,10:15-10:30,33,43.5,42.82,74,33,43.5,130.5,33,184.38,86.67,86.66,37,45.61,73,78.75,13.41,-86.31,26.61,10.51,0,0,15.28,19.28,0,10.76,12.67,70.28,11.79,130.4,96.38,29.27,159.03,0,66,35,36.88,271.07,17.9,11.79,9.11,20.79,5.33,86.93,192.76,3.25,8.53,43.8,26.61

43,10:30-10:45,33,39.15,43.45,86,33,39.15,117.45,33,187.5,86.67,86.66,38,40.2,77,90.34,24.01,-86.31,26.61,10.51,0,0,15.28,19.28,0,10.76,12.67,70.28,12.8,130.4,96.38,29.27,159.03,0,69,34,37.5,271.07,17.9,12.8,9.89,20.79,5.33,76,192.76,3.25,8.53,43.8,26.61

44,10:45-11:00,33,39.3,43.26,88,33,39.3,117.9,33,191.67,86.67,86.66,39,40.2,79,92.53,24.61,-86.31,26.61,10.51,0,0,15.28,19.28,0,10.76,12.67,70.28,13.46,130.4,96.38,29.27,159.03,0,72,35,38.33,271.07,17.9,13.46,10.39,20.79,5.33,76,192.76,3.25,8.53,43.8,26.61

45,11:00-11:15,33,39.3,42.67,91,33,39.3,117.9,33,214.37,80,80,40,38.05,80,93.42,25.21,-86.31,26.61,10.51,0,0,15.28,19.28,0,10.76,9.79,70.28,15.91,82.73,96.38,29.27,159.03,0,75,42,42.88,271.07,18.73,15.91,12.29,20.79,4.2,58.05,192.76,3.23,6.64,43.8,26.61

46,11:15-11:30,33,39.15,42.67,91,33,39.15,117.45,33,222.05,80,80,42,38.05,83,94.12,25.81,-86.31,26.61,10.51,0,0,15.28,19.28,0,10.76,9.79,70.28,16.73,82.73,96.38,29.27,159.03,0,75,43,44.41,271.07,18.73,16.73,12.92,20.79,4.2,58.05,192.76,3.23,6.64,43.8,26.61

47,11:30-11:45,33,39.45,42.67,91,33,39.45,118.35,33,226.02,80,80,42,38.05,83,94.89,26.41,-86.31,26.61,10.51,0,0,15.28,19.28,0,10.76,9.79,70.28,16.97,54.94,96.38,29.27,159.03,0,75,44,45.21,231.31,18.73,16.97,13.12,20.79,4.2,38.13,192.76,3.23,6.64,43.8,26.61

48,11:45-12:00,33,39.15,42.67,91,33,39.15,117.45,33,225.82,80,80,42,31.19,83,95,27.21,-86.31,26.61,10.51,0,0,15.28,19.28,0,10.76,9.79,70.28,16.97,54.94,96.38,29.27,159.03,0,75,44,45.16,231.31,18.73,16.97,13.12,20.79,4.2,38.13,192.76,3.23,6.64,43.8,26.61

49,12:00-12:15,33,39.15,42.67,91,33,39.15,117.45,33,230,80,80,45,31.19,90,95,28.61,-86.31,26.7,10.51,0,0,15.28,19.28,0,10.76,9.79,70.28,16.97,54.94,96.38,29.27,159.03,0,75,44,46,231.31,18.73,16.97,13.12,20.79,5.46,38.13,192.76,3.23,6.64,43.8,26.7

50,12:15-12:30,33,39.3,42.67,91,33,39.3,117.9,33,230,80,80,45,31.19,90,95,30.01,-86.31,26.7,10.51,0,0,15.28,19.28,0,10.76,9.79,70.28,16.97,54.94,96.38,29.27,159.03,0,75,44,46,231.31,18.73,16.97,13.12,20.79,5.46,38.13,192.76,3.23,6.64,43.8,26.7

51,12:30-12:45,33,39.45,42.67,91,33,39.45,118.35,33,230,83.33,83.34,45,38.98,90,98.33,31.81,-86.31,26.7,10.51,0,0,15.28,19.28,0,10.76,9.79,70.28,16.97,54.94,96.38,29.27,159.03,0,81,44,46,231.31,18.73,16.97,13.12,20.79,5.46,38.13,192.76,3.23,6.64,43.8,26.7

52,12:45-13:00,33,39.3,42.67,91,33,39.3,117.9,33,230,83.33,83.34,45,38.98,90,97.67,32.81,-86.31,26.7,10.51,0,0,15.28,19.28,0,10.76,9.79,70.28,16.97,54.94,96.38,29.27,159.03,0,81,44,46,231.31,18.73,16.97,13.12,20.79,5.46,38.13,192.76,3.23,6.64,43.8,26.7

53,13:00-13:15,33,39.45,42.67,91,33,39.45,118.35,33,230,83.33,83.34,47,40.11,93,96.33,29.01,-86.31,26.7,10.51,0,0,15.28,19.28,0,10.76,9.79,70.28,16.97,54.94,96.38,29.27,159.03,0,82,44,46,231.31,18.73,16.97,13.12,20.79,5.61,38.13,192.76,3.23,6.64,43.8,26.7

54,13:15-13:30,33,39.3,42.67,91,33,39.3,117.9,33,226.84,83.33,83.34,47,33.14,93,95,29.21,-86.31,26.7,10.51,0,0,15.28,19.28,0,10.76,9.79,70.28,16.97,54.94,96.38,29.27,159.03,0,84,44,45.37,231.31,18.73,16.97,13.12,20.79,5.61,38.13,192.76,3.23,6.64,43.8,26.7

55,13:30-13:45,33,39.3,42.67,91,33,39.3,117.9,33,220.94,83.33,83.34,47,33.14,93,94.33,29.61,-86.31,26.7,10.51,0,0,15.28,19.28,0,10.76,12.67,70.28,16.97,54.94,96.38,29.27,159.03,0,84,44,44.19,231.31,18.73,16.97,13.12,20.79,5.61,38.13,192.76,3.23,8.53,43.8,26.7

56,13:45-14:00,33,39.3,42.67,91,33,39.3,117.9,33,215.19,83.33,83.34,45,37.03,90,93.33,30.01,-86.31,26.7,10.51,0,0,15.28,19.28,0,10.76,12.67,70.28,16.97,54.94,96.38,30.28,159.03,0,84,44,43.04,271.07,18.73,16.97,13.12,20.79,5.61,38.13,192.76,3.23,8.53,43.8,26.7

57,14:00-14:15,33,39.15,42.67,91,33,39.15,117.45,33,220.04,83.33,83.34,43,37.03,85,92.09,30.21,-86.31,26.7,10.51,0,0,15.28,19.28,0,10.76,12.67,70.28,16.97,83.85,96.38,31.28,159.03,0,78,44,44.01,271.07,18.73,16.97,13.12,20.79,5.79,56.07,192.76,3.25,8.53,43.8,26.7

58,14:15-14:30,33,39.45,42.67,91,33,39.45,118.35,33,210.93,83.33,83.34,42,37.03,83,88.41,30.21,-86.31,26.7,10.51,0,0,15.28,19.28,0,10.76,12.67,70.28,16.7,97.6,96.38,31.28,159.03,0,76,44,42.19,271.07,18.73,16.7,12.9,20.79,5.79,56.07,192.76,3.25,8.53,43.8,26.7

59,14:30-14:45,33,39.3,42.67,87,33,39.3,117.9,33,206.41,83.33,83.34,42,37.03,83,91.04,30.41,-86.31,26.7,10.51,0,0,15.28,19.28,0,10.76,12.67,70.28,16.24,112.33,96.38,31.28,159.03,0,75,44,41.28,271.07,18.73,16.24,12.55,20.79,5.79,56.07,192.76,3.22,4.01,43.8,26.7

60,14:45-15:00,33,39.6,42.67,85,33,39.6,118.8,33,195.54,83.33,83.34,40,29.24,80,87.75,30.61,-86.31,26.7,10.51,0,0,15.28,19.28,0,10.76,12.67,70.28,15.82,112.27,96.38,31.28,159.03,0,72,43,39.11,271.07,18.73,15.82,12.22,20.79,5.79,56.07,192.76,3.22,4.01,43.8,26.7

61,15:00-15:15,33,39.3,42.67,81,33,39.3,117.9,33,183.4,83.33,83.34,38,29.24,75,85.18,31.81,-86.31,26.7,10.51,0,0,15.28,19.28,0,10.76,12.67,70.28,15.23,84.93,96.38,31.28,159.03,0,72,41,36.68,271.07,18.73,15.23,11.77,20.79,6.17,56.08,192.76,3.22,4.01,43.8,26.7

62,15:15-15:30,33,39.15,42.67,75,33,39.15,117.45,33,174.32,83.33,83.34,35,29.24,70,79.39,32.01,-86.31,26.7,10.51,0,0,15.28,19.28,0,10.76,12.67,70.28,14.58,84.93,96.38,31.28,159.03,0,69,39,34.86,271.07,18.73,14.58,11.27,20.79,6.17,56.08,192.76,3.22,4.01,43.8,26.7

63,15:30-15:45,33,39.45,42.67,67,33,39.45,118.35,33,171.97,83.33,83.34,35,29.24,70,77.36,33.81,-86.31,26.7,10.51,0,0,15.28,19.28,0,10.76,12.67,70.28,12.47,84.93,96.38,31.28,159.03,0,63,37,34.4,271.07,18.73,12.47,9.64,20.79,6.91,56.08,192.76,3.22,4.01,26.28,26.7

64,15:45-16:00,33,39.3,42.67,62,33,39.3,117.9,33,162.67,83.33,83.34,33,19.49,65,71.68,33.81,-86.31,26.7,10.51,0,0,15.28,19.28,0,10.76,12.67,70.28,11.82,84.93,96.38,31.28,159.03,0,57,35,32.54,271.07,18.73,11.82,9.14,20.79,6.91,56.08,192.76,3.22,4.01,26.28,26.7

65,16:00-16:15,33,39.45,42.67,54,24,39.45,118.35,33,150.87,83.33,83.34,29,19.49,59,67.06,30.21,-86.31,26.7,10.51,0,0,15.28,19.28,0,10.76,12.67,70.28,11.05,84.93,96.38,31.28,159.03,0,49,30,30.18,231.31,18.73,11.05,8.54,20.79,7.24,56.08,192.76,3.22,4.01,26.28,26.7

66,16:15-16:30,33,39.45,42.67,47,16,39.45,118.35,33,138.66,83.33,83.34,26,19.49,52,60.95,30.01,-86.31,26.7,10.51,0,0,15.28,19.28,0,10.76,12.67,70.28,10.24,84.93,96.38,31.28,159.03,0,43,28,27.73,192.76,18.73,10.24,7.92,20.79,7.24,56.07,192.76,3.22,4.01,26.28,26.7

67,16:30-16:45,33,39,42.67,42,8,39,117,33,140.12,83.33,83.34,23,19.49,45,54.59,30.21,-86.31,26.7,10.51,0,0,15.28,19.28,0,10.76,12.67,70.28,9.34,84.93,96.38,30.28,159.03,0,37,25,28.03,192.76,18.73,9.34,7.21,20.79,7.24,56.08,192.76,3.22,4.01,26.28,26.7

68,16:45-17:00,33,39.45,42.67,37,5,39.45,118.35,33,126.22,83.33,83.34,20,19.49,40,47.72,30.81,-0,26.7,10.51,0,0,15.28,19.28,0,10.76,12.67,70.28,8.39,84.93,96.38,30.28,159.03,0,31,22,25.25,192.76,18.73,8.39,6.49,20.79,7.24,56.08,192.76,3.22,4.01,26.28,26.7

69,17:00-17:15,33,35.37,42.67,33,2,35.37,106.11,33,120.83,83,83,18,18.28,35,41.97,31.21,-0,26.7,10.51,0,0,15.28,19.28,0,10.76,9.79,70.28,7.36,82.73,96.38,29.27,159.03,0,27,19,24.17,231.31,19.01,7.36,5.68,20.79,7.71,57.64,192.76,3.2,2.12,26.28,26.7

70,17:15-17:30,32.7,35.51,42.67,30,0,35.51,106.5,33,108.33,81.67,81.66,15,15.18,30,36.61,31.61,-0,26.7,10.51,0,0,15.28,19.28,0,10.76,9.79,70.28,6.29,82.73,96.38,29.27,159.03,0,24,16,21.67,271.07,19.01,6.29,4.87,20.79,7.71,38.13,192.76,3.2,2.12,26.28,26.7

