Column1,Block,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/9154,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/6160,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,GNA/NR/2025/05/01/4138,NR/2025/26199/A/68443,NR/2025/25855/A/68378,NR/2025/26200/A/68442,NR/2025/26101/A/68151,NR/2025/26286/A/68348,NR/2025/26153/A/67997,NR/2025/26312/A/68388,NR/2025/26265/A/68408,NR/2025/26197/A/68445,NR/2025/26291/A/68406,NR/2025/26202/A/68464,NR/2025/26191/A/68134,NR/2025/26085/A/67993,NR/2025/26198/A/68444,NR/2025/26233/A/68409,NR/2025/26201/A/68441,NR/2025/25858/A/68377,NR/2025/26232/A/68410,NR/2025/26002/A/68370,NR/2025/26289/A/68407,NR/2025/26372/C,NR/2025/26386/C,NR/2025/26362/C,NR/2025/26389/C,GNARE/NR/2024/12/20/3668,NR/2025/26395/C,NR/2025/26409/C,NR/2025/26396/C,NR/2025/26394/C,NR/2025/26388/C,NR/2025/26397/C,NR/2025/26406/C,NR/2025/26390/C,NR/2025/26391/C,NR/2025/26399/C,NR/2025/26402/C,NR/2025/26236/A/67996,NR/2025/26363/C,Total
3,00:30-00:45,28.95,28.9,163.76,163.76,67.43,28.9,0,0,122.82,13.49,10.6,14.45,5.78,0,14.45,30,13.64,30,0,43.78,144.5,14.59,0,4.82,62.61,0,96.33,14.59,24.08,96.33,48.16,0.77,43.78,4.82,37.22,0,4.82,0,48.16,98.26,51.03,134.86,0,0,0,48.16,0,0,0,0,0,0,0,0,0,0,0,1758.6000000000001

4,00:45-01:00,28.95,28.9,163.76,163.76,67.43,28.9,0,0,122.82,13.49,10.6,14.45,5.78,0,14.45,30,13.64,30,0,43.78,144.5,14.59,0,4.82,62.61,0,96.33,14.59,24.08,96.33,48.16,0.77,43.78,4.82,37.22,0,4.82,0,48.16,98.26,51.03,134.86,0,0,0,48.16,0,0,0,0,0,0,0,0,0,0,0,1758.6000000000001

5,01:00-01:15,28.95,28.9,163.76,163.76,67.43,28.9,0,0,122.82,13.49,10.6,14.45,5.78,0,14.45,30,13.46,30,0,43.78,144.5,14.59,0,4.82,62.61,0,96.33,14.59,24.08,96.33,48.16,0.67,43.78,4.82,37.22,0,4.82,0,48.16,98.26,51.03,134.86,0,0,0,48.16,0,0,0,0,0,0,0,0,0,0,0,1758.32

6,01:15-01:30,28.95,28.9,163.76,163.76,67.43,28.9,0,0,122.82,13.49,10.6,14.45,5.78,0,14.45,30,13.46,30,0,43.78,144.5,14.59,0,4.82,62.61,0,96.33,14.59,24.08,96.33,48.16,0.67,43.78,4.82,37.22,0,4.82,0,48.16,98.26,51.03,134.86,0,0,0,48.16,0,0,0,0,0,0,0,0,0,0,0,1758.32

7,01:30-01:45,28.95,28.9,163.76,163.76,67.43,28.9,0,0,122.82,13.49,10.6,14.45,5.78,0,14.45,30,13.46,23.51,0,43.78,144.5,14.59,0,4.82,62.61,0,96.33,14.59,24.08,96.33,48.16,0.67,43.78,4.82,37.22,0,4.82,0,48.16,98.26,51.03,134.86,0,0,0,48.16,0,0,0,0,0,0,0,0,0,0,0,1751.8300000000002

8,01:45-02:00,28.95,28.9,163.76,163.76,67.43,28.9,0,0,122.82,13.49,10.6,14.45,5.78,0,14.45,30,13.46,23.51,0,43.78,144.5,14.59,0,4.82,62.61,0,96.33,14.59,24.08,96.33,48.16,0.67,43.78,4.82,37.22,0,4.82,0,48.16,98.26,51.03,134.86,0,0,0,48.16,0,0,0,0,0,0,0,0,0,0,0,1751.8300000000002

9,02:00-02:15,28.95,28.9,163.76,163.76,0,0,0,96.33,122.82,13.49,10.6,0,0,0,14.45,30,13.19,23.51,0,43.78,144.5,14.59,0,4.82,62.61,0,0,14.59,24.08,96.33,48.16,0.63,43.78,4.82,37.22,0,4.82,0,48.16,98.26,51.03,134.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1586.8000000000002

10,02:15-02:30,28.95,28.9,163.76,163.76,0,0,0,96.33,122.82,13.49,10.6,0,0,0,14.45,30,13.19,23.51,0,43.78,144.5,14.59,0,4.82,62.61,0,0,14.59,24.08,96.33,48.16,0.63,43.78,4.82,37.22,0,4.82,0,48.16,98.26,51.03,134.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1586.8000000000002

11,02:30-02:45,28.95,28.9,163.76,163.76,0,0,0,96.33,122.82,13.49,10.6,0,0,0,14.45,30,13.19,23.51,0,43.78,144.5,14.59,0,4.82,62.61,0,0,14.59,24.08,96.33,48.16,0.63,43.78,4.82,37.22,0,4.82,0,48.16,98.26,51.03,134.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1586.8000000000002

12,02:45-03:00,28.95,28.9,163.76,163.76,0,0,0,96.33,122.82,13.49,10.6,0,0,0,14.45,30,13.19,23.51,0,43.78,144.5,14.59,0,4.82,62.61,0,0,14.59,24.08,96.33,48.16,0.63,43.78,4.82,37.22,0,4.82,0,48.16,98.26,51.03,134.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1586.8000000000002

13,03:00-03:15,28.95,28.9,163.76,163.76,0,0,0,96.33,122.82,13.49,10.6,0,0,0,14.45,25.06,12.91,25.06,0,43.78,144.5,14.59,0,4.82,62.61,0,0,14.59,24.08,96.33,48.16,0.48,43.78,4.82,37.22,0,4.82,0,48.16,98.26,51.03,134.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1582.98

14,03:15-03:30,28.95,28.9,163.76,163.76,0,0,0,96.33,122.82,13.49,10.6,0,0,0,14.45,25.06,12.91,25.06,0,43.78,144.5,14.59,0,4.82,62.61,0,0,14.59,24.08,96.33,48.16,0.48,43.78,4.82,37.22,0,4.82,0,48.16,98.26,51.03,134.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1582.98

15,03:30-03:45,28.95,28.9,163.76,163.76,0,0,0,96.33,122.82,13.49,10.6,0,0,0,14.45,26.5,12.91,26.5,0,43.78,144.5,14.59,0,4.82,62.61,0,0,14.59,24.08,96.33,48.16,0.48,43.78,4.82,37.22,0,4.82,0,48.16,78.99,51.03,134.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1566.5900000000001

16,03:45-04:00,28.95,28.9,163.76,163.76,0,0,0,96.33,122.82,13.49,10.6,0,0,0,14.45,26.5,12.91,26.5,0,43.78,144.5,14.59,0,4.82,62.61,0,0,14.59,24.08,96.33,48.16,0.48,43.78,4.82,37.22,0,4.82,0,48.16,78.99,51.03,134.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1566.5900000000001

17,04:00-04:15,28.95,28.9,163.76,163.76,0,0,0,96.33,122.82,13.49,10.6,0,0,0,14.45,26.5,12.63,26.5,0,43.78,0,14.59,0,4.82,62.61,0,0,14.59,24.08,96.33,48.16,0.48,43.78,4.82,37.22,0,4.82,0,48.16,78.99,51.03,134.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1421.8100000000004

18,04:15-04:30,28.95,28.9,163.76,163.76,0,0,0,96.33,122.82,13.49,10.6,0,0,0,14.45,26.5,12.63,26.5,0,43.78,0,14.59,0,4.82,62.61,0,0,14.59,24.08,96.33,48.16,0.48,43.78,4.82,37.22,0,4.82,0,48.16,78.99,51.03,134.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1421.8100000000004

19,04:30-04:45,28.95,28.9,163.76,163.76,0,0,0,96.33,122.82,13.49,10.6,0,0,0,14.45,26.5,12.63,26.5,0,43.78,0,14.59,0,4.82,62.61,0,0,14.59,24.08,96.33,48.16,0.48,43.78,4.82,37.22,0,4.82,0,48.16,78.99,51.03,134.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1421.8100000000004

20,04:45-05:00,28.95,28.9,163.76,163.76,0,0,0,96.33,122.82,13.49,10.6,0,0,0,14.45,26.5,12.63,26.5,0,43.78,0,14.59,0,4.82,62.61,0,0,14.59,24.08,96.33,48.16,0.48,43.78,4.82,37.22,0,4.82,0,48.16,78.99,51.03,134.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1421.8100000000004

21,05:00-05:15,28.95,28.9,163.76,163.76,0,0,0,96.33,122.82,13.49,10.6,0,0,0,14.45,26.5,12.35,26.5,0,43.78,0,14.59,0,4.82,62.61,0,0,14.59,24.08,96.33,48.16,0.48,43.78,4.82,37.22,0,4.82,0,48.16,78.99,51.03,134.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1421.5300000000002

22,05:15-05:30,28.95,28.9,163.76,163.76,0,0,0,96.33,122.82,13.49,10.6,0,0,0,14.45,26.5,12.35,26.5,0,43.78,0,14.59,0,4.82,62.61,0,0,14.59,24.08,96.33,48.16,0.48,43.78,4.82,37.22,0,4.82,0,48.16,78.99,51.03,134.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1421.5300000000002

23,05:30-05:45,28.95,28.9,163.76,163.76,0,0,0,96.33,122.82,13.49,10.6,0,0,0,14.45,26.5,12.35,26.5,0,43.78,0,14.59,0,4.82,62.61,0,0,14.59,24.08,96.33,48.16,0.48,43.78,4.82,37.22,0,4.82,0,48.16,78.99,51.03,134.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1421.5300000000002

24,05:45-06:00,28.95,28.9,163.76,163.76,0,0,0,96.33,122.82,13.49,10.6,0,0,0,14.45,26.5,12.35,26.5,0,43.78,0,14.59,0,4.82,62.61,0,0,14.59,24.08,96.33,48.16,0.48,43.78,4.82,37.22,0,4.82,0,48.16,78.99,51.03,134.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,1422.88

25,06:00-06:15,28.95,28.9,163.76,163.76,0,0,0,96.33,122.82,13.49,10.6,0,0,0,14.45,26.5,12.08,26.5,0,43.78,0,14.59,0,3.85,62.61,0,0,14.59,24.08,96.33,48.16,0.58,43.78,4.82,37.22,0,4.82,0,48.16,78.99,51.03,134.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37,1423.7600000000002

26,06:15-06:30,28.95,28.9,163.76,163.76,0,0,0,96.33,122.82,13.49,10.6,0,0,0,14.45,26.5,12.08,26.5,0,43.78,0,14.59,0,3.85,62.61,0,0,14.59,24.08,96.33,48.16,0.58,43.78,4.82,37.22,0,4.82,0,48.16,78.99,51.03,134.86,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,6.74,1427.4100000000003

27,06:30-06:45,28.95,28.9,163.76,163.76,0,0,0,96.33,122.82,13.49,10.6,0,0,0,14.45,26.5,12.08,26.5,0,43.78,0,14.59,0,3.85,62.61,0,0,14.59,24.08,96.33,48.16,0.58,43.78,4.82,37.22,0,4.82,0,48.16,107.89,51.03,134.86,0,3.64,0,0,0,0,0,0,0,0,0,0,0,0,11.5,1464.4300000000005

28,06:45-07:00,28.95,28.9,163.76,163.76,0,0,0,96.33,122.82,13.49,10.6,0,0,0,14.45,26.5,12.08,26.5,0,43.78,0,14.59,0,3.85,62.61,0,0,14.59,24.08,96.33,48.16,0.58,43.78,4.82,37.22,0,4.82,0,48.16,107.89,51.03,134.86,0,6.62,0,0,0,0,0,0,0,0,0,0,0,0,19.06,1474.9700000000003

29,07:00-07:15,28.95,28.9,163.76,163.76,0,0,0,96.33,122.82,13.49,10.6,0,0,0,14.45,26.26,11.8,30,0,43.78,0,14.59,0,3.85,62.61,0,0,14.59,24.08,96.33,48.16,0.67,43.78,4.82,37.22,0,4.82,0,48.16,0,51.03,134.86,0,10.28,0,0,0,0,0,0,0,0,0,0,0,0,30.34,1385.0900000000001

30,07:15-07:30,28.95,28.9,163.76,163.76,0,0,0,96.33,122.82,13.49,10.6,0,0,0,14.45,26.26,11.8,30,0,43.78,0,14.59,0,3.85,62.61,0,0,14.59,24.08,96.33,48.16,0.67,43.78,4.82,37.22,0,4.82,0,48.16,0,51.03,134.86,0,14.93,0,0,0,0,0,0,0,0,0,0,0,0,40.46,1399.8600000000004

31,07:30-07:45,28.95,28.9,163.76,163.76,0,0,0,96.33,122.82,13.49,10.6,0,0,0,14.45,26.26,11.8,27,0,43.78,0,14.59,0,3.85,62.61,0,0,14.59,24.08,96.33,48.16,0.67,43.78,4.82,37.22,0,4.82,0,48.16,0,51.03,134.86,0,21.29,0,0,0,0,0,0,0,0,0,0,0,0,52.42,1415.1800000000003

32,07:45-08:00,28.95,28.9,163.76,163.76,0,0,0,96.33,122.82,13.49,10.6,0,0,0,14.45,26.26,11.8,27,0,43.78,0,14.59,0,3.85,62.61,0,0,14.59,24.08,96.33,48.16,0.67,43.78,4.82,37.22,0,4.82,0,48.16,0,51.03,134.86,0,27.59,0,0,0,0,0,0,0,0,0,0,0,0,66.47,1435.5300000000002

33,08:00-08:15,28.95,28.9,163.76,163.76,0,0,0,0,122.82,13.49,10.6,0,0,0,14.45,26.26,11.43,27,0,43.78,0,14.59,0,3.85,62.61,0,96.33,14.59,24.08,96.33,48.16,0.96,43.78,4.82,37.22,0,4.82,0,48.16,0,51.03,134.86,0,34.6,0,0,0,0,0,0,0,0,0,0,0,7.71,67.43,1451.1300000000003

34,08:15-08:30,28.95,28.9,163.76,163.76,0,0,0,0,122.82,13.49,10.6,0,0,0,14.45,26.26,11.43,27,0,43.78,0,14.59,0,3.85,62.61,0,96.33,14.59,24.08,96.33,48.16,0.96,43.78,4.82,37.22,0,4.82,0,48.16,0,51.03,134.86,0,42,0,0,0,0,0,0,0,0,0,0,0,7.71,77.06,1468.1600000000003

35,08:30-08:45,28.95,28.9,163.76,163.76,0,0,0,0,122.82,13.49,10.6,0,0,0,14.45,26.93,11.43,26.93,0,43.78,0,14.59,0,3.85,62.61,0,96.33,14.59,24.08,96.33,48.16,0.96,43.78,4.82,37.22,0,4.82,0,48.16,48.16,51.03,134.86,0,49.42,0,0,0,0,0,0,0,0,0,0,0,7.71,94.4,1541.6800000000003

36,08:45-09:00,28.95,28.9,163.76,163.76,0,0,0,0,122.82,13.49,10.6,0,0,0,14.45,26.93,11.43,26.93,0,43.78,0,14.59,0,3.85,62.61,0,96.33,14.59,24.08,96.33,48.16,0.96,43.78,4.82,37.22,0,4.82,0,48.16,48.16,51.03,134.86,0,56.14,0,0,0,0,0,0,0,0,0,0,0,7.71,107.89,1561.8900000000003

37,09:00-09:15,28.95,28.9,163.76,163.76,0,0,0,0,122.82,13.49,10.6,0,0,0,14.45,26.94,11.16,26.94,0,43.78,0,14.59,0,4.82,62.61,0,0,14.59,0,32.86,48.16,0.96,43.78,0,37.22,0,0,0,0,96.33,51.03,134.86,4.82,62.57,0,0,0,96.33,0,48.16,63.47,4.82,24.08,0,52.98,10.6,121.38,1686.5699999999997

38,09:15-09:30,28.95,28.9,163.76,163.76,0,0,0,0,122.82,13.49,10.6,0,0,0,14.45,26.94,11.16,26.94,0,43.78,0,14.59,0,4.82,62.61,0,0,14.59,0,32.86,48.16,0.96,43.78,0,37.22,0,0,0,0,96.33,0,134.86,4.82,68.81,0,0,0,96.33,38.53,48.16,63.47,4.82,24.08,0,52.98,10.6,134.86,1693.79

39,09:30-09:45,28.95,28.9,163.76,163.76,0,0,0,0,122.82,13.49,10.6,0,0,0,14.45,26.94,11.16,26.94,0,43.78,0,14.59,0,4.82,62.61,0,0,14.59,0,32.86,48.16,0.96,43.78,0,37.22,0,0,0,0,154.13,0,134.86,4.82,74.51,0,0,0,96.33,38.53,48.16,63.47,4.82,24.08,0,52.98,10.6,145.46,1767.8899999999999

40,09:45-10:00,28.95,28.9,163.76,163.76,0,0,0,0,122.82,13.49,10.6,0,0,0,14.45,26.94,11.16,26.94,0,43.78,0,14.59,0,4.82,62.61,0,0,14.59,0,32.86,48.16,0.96,43.78,0,37.22,0,0,0,0,154.13,0,134.86,4.82,79.7,0,0,0,96.33,38.53,48.16,63.47,4.82,24.08,0,52.98,10.6,155.09,1782.7099999999998

41,10:00-10:15,28.95,28.9,163.76,163.76,0,0,0,0,122.82,13.49,10.6,0,0,0,14.45,26.94,10.88,26.94,0,43.78,0,14.59,0,4.82,62.61,0,0,14.59,0,32.86,48.16,0.96,43.78,0,37.22,0,0,0,0,192.66,0,134.86,4.82,87.88,0,0,0,96.33,38.53,48.16,63.47,4.82,24.08,0,52.98,12.52,168.58,1844.5499999999997

42,10:15-10:30,28.95,28.9,163.76,163.76,0,0,0,0,122.82,13.49,10.6,0,0,0,14.45,26.94,10.88,26.94,0,43.78,0,14.59,0,4.82,62.61,0,0,14.59,0,32.86,48.16,0.96,43.78,0,37.22,0,0,0,0,192.66,0,134.86,4.82,92.11,0,0,0,96.33,38.53,48.16,63.47,4.82,24.08,0,52.98,12.52,179.17,1859.37

43,10:30-10:45,28.95,28.9,163.76,163.76,0,0,0,0,122.82,13.49,10.6,0,0,0,14.45,26.94,10.88,26.94,0,43.78,0,14.59,0,4.82,62.61,0,0,14.59,0,32.86,48.16,0.96,43.78,0,37.22,0,0,0,0,211.93,0,134.86,4.82,95.98,0,0,0,96.33,38.53,48.16,63.47,4.82,24.08,0,52.98,12.52,188.81,1892.1499999999999

44,10:45-11:00,28.95,28.9,163.76,163.76,0,0,0,0,122.82,13.49,10.6,0,0,0,14.45,26.94,10.88,26.94,0,43.78,0,14.59,0,4.82,62.61,0,0,14.59,0,32.86,48.16,0.96,43.78,0,37.22,0,0,0,0,211.93,0,134.86,4.82,99.31,0,0,0,96.33,38.53,48.16,63.47,4.82,24.08,0,52.98,12.52,195.55,1902.2199999999998

45,11:00-11:15,28.95,28.9,163.76,163.76,0,0,0,0,122.82,13.49,10.6,0,0,0,14.45,26.94,10.69,26.94,0,43.78,0,14.59,0,4.82,62.61,0,0,14.59,0,32.86,48.16,0.96,43.78,0,37.22,0,0,0,0,211.93,0,134.86,4.82,100,0,0,0,96.33,38.53,48.16,63.47,4.82,24.08,0,52.98,13.49,195.55,1903.6900000000003

46,11:15-11:30,28.95,28.9,163.76,163.76,0,0,0,0,122.82,13.49,10.6,0,0,0,14.45,26.94,10.69,26.94,0,43.78,0,14.59,0,4.82,62.61,0,0,14.59,0,32.86,48.16,0.96,43.78,0,37.22,0,0,0,0,211.93,0,134.86,4.82,100,0,0,0,96.33,38.53,48.16,63.47,4.82,24.08,0,52.98,13.49,195.55,1903.6900000000003

47,11:30-11:45,28.95,28.9,163.76,163.76,0,0,0,0,122.82,13.49,10.6,0,0,0,14.45,26.94,10.69,26.94,0,43.78,0,14.59,0,4.82,62.61,0,0,14.59,0,32.86,48.16,0.96,43.78,0,37.22,0,0,0,0,211.93,0,134.86,4.82,100,0,0,0,96.33,38.53,48.16,63.47,4.82,24.08,0,52.98,13.49,195.55,1903.6900000000003

48,11:45-12:00,28.95,28.9,163.76,163.76,0,0,0,0,122.82,13.49,10.6,0,0,0,14.45,26.94,10.69,26.94,0,43.78,0,14.59,0,4.82,62.61,0,0,14.59,0,32.86,48.16,0.96,43.78,0,37.22,0,0,0,0,211.93,0,134.86,4.82,100,0,0,0,96.33,38.53,48.16,63.47,4.82,24.08,0,52.98,13.49,195.55,1903.6900000000003

49,12:00-12:15,28.95,28.9,163.76,163.76,0,0,0,0,122.82,13.49,10.6,0,0,0,14.45,26.95,10.41,26.95,0,43.78,0,14.59,0,4.82,62.61,0,0,14.59,0,32.87,48.16,0.96,43.78,0,37.22,0,0,0,0,211.93,0,134.86,4.82,100,0,0,0,96.33,38.53,48.16,63.46,4.82,24.08,0,52.98,13.49,195.55,1903.4299999999998

50,12:15-12:30,28.95,28.9,163.76,163.76,0,0,0,0,122.82,13.49,10.6,0,0,0,14.45,26.95,10.41,26.95,0,43.78,0,14.59,0,4.82,62.61,0,0,14.59,0,32.87,48.16,0.96,43.78,0,37.22,0,0,0,0,211.93,0,134.86,4.82,100,0,0,0,96.33,38.53,48.16,63.46,4.82,24.08,0,52.98,13.49,195.55,1903.4299999999998

51,12:30-12:45,28.95,28.9,163.76,163.76,0,0,0,0,122.82,13.49,10.6,0,0,0,14.45,26.95,10.41,26.95,0,43.78,0,14.59,0,4.82,62.61,0,0,14.59,0,32.87,48.16,0.96,43.78,0,37.22,0,0,0,0,211.93,0,134.86,4.82,100,0,0,0,96.33,38.53,48.16,63.46,4.82,24.08,0,52.98,13.49,195.55,1903.4299999999998

