Time,Block,NR/2023/12814/F,NR/2023/11712/A,NR/2023/11266/A,NR/2023/12921/F,NR/2023/12872/F,NR/2023/11709/A,NR/2023/10432/A,NR/2023/13683/D,NR/2023/12923/F,NR/2023/10460/A,NR/2023/10651/A,NR/2023/10959/A,NR/2023/13686/D,NR/2023/12916/F,NR/2023/10436/A,NR/2023/12917/F,NR/2023/13369/F,NR/2023/12915/F,NR/2023/11507/A,NR/2023/13685/D,NR/2023/12169/A,NR/2023/13698/C,NR/2023/12924/F,NR/2023/10786/A,NR/2023/13315/F,NR/2023/12920/F,NR/2023/13053/F,NR/2023/12919/F,NR/2023/10705/A,NR/2023/10956/A,NR/2023/12706/A,NR/2023/10947/A,NR/2023/10435/A,NR/2023/10488/A,NR/2023/11953/A,NR/2023/10650/A,NR/2023/12813/F,NR/2023/12661/A,NR/2023/10720/A,NR/2023/13710/C,NR/2023/12922/F,NR/2023/11888/A,NR/2023/13053/F/II,ER/2023/8416/C,NR/2023/13693/D,NR/2023/13687/D,NR/2023/13684/D,WR/2023/16322/C,Total

3,00:30-00:45,85.640000,64.350000,74.820000,0.930000,0.480000,23.170000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,54.190000,34.650000,0.610000,98.710000,4.840000,0.930000,24.190000,0.820000,232.350000,100.160000,6.770000,23.220000,12.850000,48.380000,36.510000,83.220000,62.900000,38.710000,23.710000,16.810000,1.020000,7.620000,0.000000,0.000000,0,0,0,0.000000,1764.5

4,00:45-01:00,85.640000,64.350000,74.820000,0.930000,0.480000,23.170000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,54.190000,34.650000,0.610000,98.710000,4.840000,0.930000,24.190000,0.820000,232.350000,100.160000,6.770000,23.220000,12.850000,48.380000,36.510000,83.220000,62.900000,38.710000,23.710000,16.810000,1.020000,7.620000,0.000000,0.000000,0,0,0,0.000000,1764.5

5,01:00-01:15,85.640000,64.350000,74.820000,0.930000,0.530000,23.170000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,54.190000,34.650000,0.610000,98.710000,4.840000,0.930000,21.070000,0.820000,232.350000,100.160000,6.770000,23.220000,12.850000,48.380000,36.510000,83.220000,62.900000,38.710000,23.710000,16.810000,1.020000,7.620000,3.130000,0.000000,0,0,0,0.000000,1764.56

6,01:15-01:30,85.640000,64.350000,74.820000,0.930000,0.530000,23.170000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,54.190000,34.650000,0.610000,98.710000,4.840000,0.930000,21.070000,0.820000,232.350000,100.160000,6.770000,23.220000,12.850000,48.380000,36.510000,83.220000,62.900000,38.710000,23.710000,16.810000,1.020000,7.620000,3.130000,0.000000,0,0,0,0.000000,1764.56

7,01:30-01:45,85.640000,64.350000,74.820000,0.930000,0.530000,23.170000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,54.190000,34.650000,0.610000,98.710000,4.840000,0.930000,21.070000,0.820000,232.350000,100.160000,6.770000,23.220000,12.850000,48.380000,36.510000,83.220000,62.900000,38.710000,23.710000,16.810000,1.020000,7.620000,3.130000,0.000000,0,0,0,0.000000,1764.56

8,01:45-02:00,85.640000,64.350000,74.820000,0.930000,0.530000,23.170000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,54.190000,34.650000,0.610000,98.710000,4.840000,0.930000,21.070000,0.820000,232.350000,100.160000,6.770000,23.220000,12.850000,48.380000,36.510000,83.220000,62.900000,38.710000,23.710000,16.810000,1.020000,7.620000,3.130000,0.000000,0,0,0,0.000000,1764.56

9,02:00-02:15,85.640000,64.350000,74.820000,0.930000,0.480000,23.170000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,54.190000,34.650000,0.610000,98.710000,4.840000,0.930000,20.810000,0.820000,232.350000,100.160000,6.770000,23.220000,12.850000,48.380000,36.510000,83.220000,62.900000,38.710000,23.710000,16.720000,1.020000,7.620000,3.390000,0.000000,0,0,0,19.000000,1783.42

10,02:15-02:30,85.640000,64.350000,74.820000,0.930000,0.480000,23.170000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,54.190000,34.650000,0.610000,98.710000,4.840000,0.930000,20.810000,0.820000,232.350000,100.160000,6.770000,23.220000,12.850000,48.380000,36.510000,83.220000,62.900000,38.710000,23.710000,16.720000,1.020000,7.620000,3.390000,0.000000,0,0,0,19.000000,1783.42

11,02:30-02:45,85.640000,64.350000,74.820000,0.930000,0.480000,23.170000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,54.190000,34.650000,0.610000,98.710000,4.840000,0.930000,20.810000,0.820000,232.350000,100.160000,6.770000,23.220000,12.850000,48.380000,36.510000,83.220000,62.900000,38.710000,23.710000,16.720000,1.020000,7.620000,3.390000,0.000000,0,0,0,19.000000,1783.42

12,02:45-03:00,85.640000,64.350000,74.820000,0.930000,0.480000,23.170000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,54.190000,34.650000,0.610000,98.710000,4.840000,0.930000,20.810000,0.820000,232.350000,100.160000,6.770000,23.220000,12.850000,48.380000,36.510000,83.220000,62.900000,38.710000,23.710000,16.720000,1.020000,7.620000,3.390000,0.000000,0,0,0,19.000000,1783.42

13,03:00-03:15,85.640000,64.350000,74.820000,0.930000,0.440000,0.000000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,54.190000,34.650000,0.610000,98.710000,4.840000,0.930000,24.190000,0.820000,232.350000,100.160000,6.770000,23.220000,12.850000,48.380000,0.000000,48.380000,62.900000,38.710000,23.710000,16.630000,1.020000,7.620000,0.000000,0.000000,0,0,0,19.000000,1688.76

14,03:15-03:30,85.640000,64.350000,74.820000,0.930000,0.440000,0.000000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,54.190000,34.650000,0.610000,98.710000,4.840000,0.930000,24.190000,0.820000,232.350000,100.160000,6.770000,23.220000,12.850000,48.380000,0.000000,48.380000,62.900000,38.710000,23.710000,16.630000,1.020000,7.620000,0.000000,0.000000,0,0,0,19.000000,1688.76

15,03:30-03:45,85.640000,64.350000,74.820000,0.930000,0.440000,0.000000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,54.190000,34.650000,0.610000,98.710000,4.840000,0.930000,24.190000,0.820000,232.350000,100.160000,6.770000,23.220000,12.850000,48.380000,0.000000,48.380000,62.900000,38.710000,23.710000,16.630000,1.020000,7.620000,0.000000,0.000000,0,0,0,19.000000,1688.76

16,03:45-04:00,85.640000,64.350000,74.820000,0.930000,0.440000,0.000000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,54.190000,34.650000,0.610000,98.710000,4.840000,0.930000,24.190000,0.820000,232.350000,100.160000,6.770000,23.220000,12.850000,48.380000,0.000000,48.380000,62.900000,38.710000,23.710000,16.630000,1.020000,7.620000,0.000000,0.000000,0,0,0,19.000000,1688.76

17,04:00-04:15,85.640000,64.350000,74.820000,0.930000,0.440000,0.000000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,54.190000,34.650000,0.610000,98.710000,4.840000,0.930000,24.190000,0.820000,232.350000,100.160000,6.770000,23.220000,12.850000,48.380000,0.000000,48.380000,62.900000,38.710000,23.710000,16.540000,1.020000,7.620000,0.000000,0.000000,0,0,0,19.000000,1688.67

18,04:15-04:30,85.640000,64.350000,74.820000,0.930000,0.440000,0.000000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,54.190000,34.650000,0.610000,98.710000,4.840000,0.930000,24.190000,0.820000,232.350000,100.160000,6.770000,23.220000,12.850000,48.380000,0.000000,48.380000,62.900000,38.710000,23.710000,16.540000,1.020000,7.620000,0.000000,0.000000,0,0,0,19.000000,1688.67

19,04:30-04:45,85.640000,64.350000,74.820000,0.930000,0.440000,0.000000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,54.190000,34.650000,0.610000,98.710000,4.840000,0.930000,24.190000,0.820000,232.350000,100.160000,6.770000,23.220000,12.850000,48.380000,0.000000,48.380000,62.900000,38.710000,23.710000,16.540000,1.020000,7.620000,0.000000,0.000000,0,0,0,19.000000,1688.67

20,04:45-05:00,85.640000,64.350000,74.820000,0.930000,0.440000,0.000000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,54.190000,34.650000,0.610000,98.710000,4.840000,0.930000,24.190000,0.820000,232.350000,100.160000,6.770000,23.220000,12.850000,48.380000,0.000000,48.380000,62.900000,38.710000,23.710000,16.540000,1.020000,7.620000,0.000000,0.000000,0,0,0,19.000000,1688.67

21,05:00-05:15,85.640000,64.350000,74.820000,0.930000,0.480000,0.000000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,54.190000,34.650000,0.610000,0.000000,4.840000,0.930000,24.190000,0.820000,232.350000,100.160000,6.770000,23.220000,12.850000,48.380000,0.000000,48.380000,62.900000,38.710000,23.710000,16.440000,1.020000,7.620000,0.000000,0.000000,0,0,0,86.000000,1656.9

22,05:15-05:30,85.640000,64.350000,74.820000,0.930000,0.480000,0.000000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,54.190000,34.650000,0.610000,0.000000,4.840000,0.930000,24.190000,0.820000,232.350000,100.160000,6.770000,23.220000,12.850000,48.380000,0.000000,48.380000,62.900000,38.710000,23.710000,16.440000,1.020000,7.620000,0.000000,0.000000,0,0,0,86.000000,1656.9

23,05:30-05:45,85.640000,64.350000,74.820000,0.930000,0.480000,0.000000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,54.190000,34.650000,0.610000,0.000000,4.840000,0.930000,24.190000,0.820000,232.350000,100.160000,6.770000,23.220000,12.850000,48.380000,0.000000,48.380000,62.900000,38.710000,23.710000,16.440000,1.020000,7.620000,0.000000,0.000000,0,0,0,86.000000,1656.9

24,05:45-06:00,85.640000,64.350000,74.820000,0.930000,0.480000,0.000000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,54.190000,34.650000,0.610000,0.000000,4.840000,0.930000,24.190000,0.820000,232.350000,100.160000,6.770000,23.220000,12.850000,48.380000,0.000000,48.380000,62.900000,38.710000,23.710000,16.440000,1.020000,7.620000,0.000000,0.000000,0,0,0,86.000000,1656.9

25,06:00-06:15,85.640000,64.350000,74.820000,0.930000,0.530000,0.000000,43.550000,8.230000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,0.000000,33.630000,0.610000,0.000000,4.840000,0.930000,24.190000,0.820000,15.800000,100.160000,6.770000,0.000000,12.850000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,16.260000,1.020000,7.620000,0.000000,0.000000,1.4,0.6,0,86.000000,1331.38

26,06:15-06:30,85.640000,64.350000,74.820000,0.930000,0.530000,0.000000,43.550000,8.230000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,0.000000,33.630000,0.610000,0.000000,4.840000,0.930000,24.190000,0.820000,15.800000,100.160000,6.770000,0.000000,12.850000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,16.260000,1.020000,7.620000,0.000000,0.000000,6.18,2.65,0,86.000000,1338.21

27,06:30-06:45,85.640000,64.350000,74.820000,0.930000,0.530000,0.000000,43.550000,8.230000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,0.000000,33.630000,0.610000,0.000000,4.840000,0.930000,24.190000,0.820000,15.800000,100.160000,6.770000,0.000000,12.850000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,16.260000,1.020000,7.620000,0.000000,100.000000,10.62,4.55,0,0.000000,1358.55

28,06:45-07:00,85.640000,64.350000,74.820000,0.930000,0.530000,0.000000,43.550000,8.230000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,0.000000,33.630000,0.610000,0.000000,4.840000,0.930000,24.190000,0.820000,15.800000,100.160000,6.770000,0.000000,12.850000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,16.260000,1.020000,7.620000,0.000000,100.000000,16.72,7.17,0,0.000000,1367.27

29,07:00-07:15,85.640000,64.350000,74.820000,0.930000,0.680000,0.000000,43.550000,8.230000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,58.060000,0.000000,32.610000,0.610000,0.000000,4.840000,0.930000,24.190000,0.820000,15.800000,100.160000,6.770000,0.000000,12.850000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,16.170000,1.020000,7.620000,0.000000,100.000000,23.63,10.12,0,0.000000,1424.55

30,07:15-07:30,85.640000,64.350000,74.820000,0.930000,0.680000,0.000000,43.550000,8.230000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,58.060000,0.000000,32.610000,0.610000,0.000000,4.840000,0.930000,24.190000,0.820000,15.800000,100.160000,6.770000,0.000000,12.850000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,16.170000,1.020000,7.620000,0.000000,100.000000,31,13.29,0.61,0.000000,1435.7

31,07:30-07:45,85.640000,64.350000,74.820000,0.930000,0.680000,0.000000,43.550000,8.230000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,58.060000,0.000000,32.610000,0.610000,0.000000,4.840000,0.930000,24.190000,0.820000,15.800000,100.160000,6.770000,0.000000,12.850000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,16.170000,1.020000,7.620000,0.000000,100.000000,39.18,16.79,1.13,0.000000,1447.9

32,07:45:08:00,85.640000,64.350000,74.820000,0.930000,0.680000,0.000000,43.550000,8.230000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,58.060000,0.000000,32.610000,0.610000,0.000000,4.840000,0.930000,24.190000,0.820000,15.800000,100.160000,6.770000,0.000000,12.850000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,16.170000,1.020000,7.620000,0.000000,100.000000,48.03,20.58,1.16,0.000000,1460.57

33,08:00-08:15,85.640000,64.350000,74.820000,0.980000,0.970000,0.000000,43.550000,8.230000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,58.060000,0.000000,32.610000,0.610000,0.000000,4.840000,0.980000,24.190000,0.970000,15.800000,100.160000,6.770000,0.000000,24.190000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,16.170000,1.020000,7.620000,0.000000,100.000000,57.17,24.5,1.74,0.000000,1486.09

34,08:15-08:30,85.640000,64.350000,74.820000,0.980000,0.970000,0.000000,43.550000,8.230000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,58.060000,0.000000,32.610000,0.610000,0.000000,4.840000,0.980000,24.190000,0.970000,15.800000,100.160000,6.770000,0.000000,24.190000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,16.170000,1.020000,7.620000,0.000000,100.000000,66.22,28.38,2.03,0.000000,1499.31

35,08:30-08:45,85.640000,64.350000,74.820000,0.980000,0.970000,0.000000,43.550000,8.230000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,58.060000,0.000000,33.630000,0.610000,0.000000,4.840000,0.980000,24.190000,0.970000,15.800000,100.160000,6.770000,0.000000,24.190000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,16.170000,1.020000,7.620000,0.000000,100.000000,74.82,32.07,2.42,0.000000,1513.01

36,08:45:09:00,85.640000,64.350000,74.820000,0.980000,0.970000,0.000000,43.550000,8.230000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,58.060000,0.000000,33.630000,0.610000,0.000000,4.840000,0.980000,24.190000,0.970000,15.800000,100.160000,6.770000,0.000000,24.190000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,16.170000,1.020000,7.620000,0.000000,100.000000,83.25,35.68,2.71,0.000000,1525.34

37,09:00:09:15,85.640000,64.350000,74.820000,0.980000,0.970000,0.000000,43.550000,8.230000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,24.190000,0.370000,300.460000,58.060000,0.000000,35.670000,0.610000,0.000000,4.840000,0.980000,24.190000,0.970000,15.800000,100.160000,6.770000,0.000000,24.190000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,15.990000,1.020000,7.620000,0.000000,100.000000,91.48,39.21,3.1,0.000000,1563.54

38,09:15-09:30,85.640000,64.350000,74.820000,0.980000,0.970000,0.000000,43.550000,8.230000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,24.190000,0.370000,300.460000,58.060000,0.000000,35.670000,0.610000,0.000000,4.840000,0.980000,24.190000,0.970000,15.800000,100.160000,6.770000,0.000000,24.190000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,15.990000,1.020000,7.620000,0.000000,100.000000,99.51,42.64,3.68,0.000000,1575.58

39,09:30-09:45,85.640000,64.350000,74.820000,0.980000,0.970000,0.000000,43.550000,8.230000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,24.190000,0.370000,300.460000,58.060000,0.000000,35.670000,0.610000,0.000000,4.840000,0.980000,24.190000,0.970000,15.800000,100.160000,6.770000,0.000000,24.190000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,15.990000,1.020000,7.620000,0.000000,100.000000,107.09,45.9,3.87,0.000000,1586.61

40,09:45-10:00,85.640000,64.350000,74.820000,0.980000,0.970000,0.000000,43.550000,8.230000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,24.190000,0.370000,300.460000,58.060000,0.000000,35.670000,0.610000,0.000000,4.840000,0.980000,24.190000,0.970000,15.800000,100.160000,6.770000,0.000000,24.190000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,15.990000,1.020000,7.620000,0.000000,100.000000,114.42,49.04,4.06,0.000000,1597.27

41,10:00-10:15,85.640000,64.350000,74.820000,0.000000,0.970000,0.000000,43.550000,8.230000,0.000000,23.220000,63.140000,25.040000,110.240000,0.000000,24.190000,0.000000,24.190000,0.000000,300.460000,58.060000,0.000000,37.710000,0.000000,90.960000,4.840000,0.000000,24.190000,0.000000,15.800000,100.160000,6.770000,0.000000,24.190000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,15.990000,0.000000,7.620000,0.000000,100.000000,120.2,51.52,4.84,0.000000,1692.33

42,10:15-10:30,85.640000,64.350000,74.820000,0.000000,0.970000,0.000000,43.550000,8.230000,0.000000,23.220000,63.140000,25.040000,110.240000,0.000000,24.190000,0.000000,24.190000,0.000000,300.460000,58.060000,0.000000,37.710000,0.000000,90.960000,4.840000,0.000000,24.190000,0.000000,15.800000,100.160000,6.770000,0.000000,24.190000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,15.990000,0.000000,7.620000,0.000000,100.000000,123.07,52.74,4.84,0.000000,1696.42

43,10:30-10:45,85.640000,64.350000,74.820000,0.000000,0.970000,0.000000,43.550000,8.230000,0.000000,23.220000,63.140000,25.040000,110.240000,0.000000,24.190000,0.000000,24.190000,0.000000,300.460000,58.060000,0.000000,37.710000,0.000000,90.960000,4.840000,0.000000,24.190000,0.000000,15.800000,100.160000,6.770000,0.000000,24.190000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,15.990000,0.000000,7.620000,0.000000,100.000000,124.47,53.34,5.23,0.000000,1698.81

44,10:45-11:00,85.640000,64.350000,74.820000,0.000000,0.970000,0.000000,43.550000,8.230000,0.000000,23.220000,63.140000,25.040000,110.240000,0.000000,24.190000,0.000000,24.190000,0.000000,300.460000,58.060000,0.000000,37.710000,0.000000,90.960000,4.840000,0.000000,24.190000,0.000000,15.800000,100.160000,6.770000,0.000000,24.190000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,15.990000,0.000000,7.620000,0.000000,100.000000,125.39,53.74,6.1,0.000000,1701

