Column1,Block,NR/2025/30334/A/87707,NR/2025/31137/A/88243,NR/2025/31137/A/88244,NR/2025/31138/A/88245,NR/2025/31136/A/88242,NR/2025/31388/C,NR/2025/31136/A/88241,NR/2025/31132/A/87909,GNA/NR/2025/07/01/2236,NR/30092023/31122025/SH-07,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/8230,NR/30092023/26122029/SH-06,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/01/1192,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/2997,NR/2025/29992/A/87845,NR/2025/29915/A/88078,NR/2025/28725/A/88214,NR/2025/31375/C,NR/2025/27978/A/88254,NR/2025/31376/C,NR/2025/31336/C,NR/2025/31352/C,NR/2025/29352/A/87755,NR/2025/26975/A/88175,NR/2025/31372/C,NR/2025/27962/A/88333,NR/2025/29440/A/87762,NR/2025/30101/A/88252,NR/2025/30086/A/88159,NR/2025/31126/A/87848,NR/2025/29628/A/88172,NR/2025/29353/A/87754,NR/2025/30191/A/87706,NR/2025/31324/C,NR/2025/30822/A/87841,NR/2025/31338/C,NR/2025/30121/A/87704,NR/2025/31393/C,NR/2025/29167/A/88080,NR/2025/31395/C,NR/2025/30105/A/88155,NR/2025/30217/A/88154,NR/2025/30067/A/88298,NR/2025/27970/A/88337,NR/2025/29439/A/87844,NR/2025/31361/C,NR/2025/27968/A/88336,NR/2025/31377/C,NR/2025/30084/A/88163,NR/2025/31362/C,NR/2025/27964/A/88335,NR/2025/31373/C,NR/2025/31378/C,NR/2025/31389/C,NR/2025/31391/C,NR/2025/30082/A/88240,NR/2025/29910/A/88170,NR/2025/31363/C,NR/2025/27963/A/88334,NR/2025/31379/C,NR/2025/30083/A/88166,NR/2025/31200/A/87901,NR/2025/31297/C,NR/2025/31296/C,NR/2025/31138/A/88246,GNARE/NR/2024/12/20/3668,NR/2025/29985/A/87842,NR/2025/31395/C/Alternate/1,Total
3,00:30-00:45,0,0,0,0,0,0,0,0,81.75,30,134.89,43.71,224.82,30,19.24,20.75,49.05,17.58,15.24,44.24,20.44,143.07,0,96.18,0,0,0,28.61,26.45,0,96.18,0.91,48.09,24.04,12.5,105.8,81.75,48.09,0,134.65,0,6.73,28.85,54.1,0,16.03,7.69,204.38,0,25.08,0,144.27,0,24.04,0,0,0,0,0,0,48.09,19.24,0,144.27,0,8.01,0,0,0,0,0,0,160.83,2469.64

4,00:45-01:00,0,0,0,0,0,0,0,0,81.75,30,134.89,43.71,224.82,30,19.24,20.75,49.05,17.58,15.24,44.24,20.44,143.07,0,96.18,0,0,0,28.61,26.45,0,96.18,0.91,48.09,24.04,12.5,105.8,81.75,48.09,0,134.65,0,6.73,28.85,54.1,0,16.03,7.69,204.38,0,25.08,0,144.27,0,24.04,0,0,0,0,0,0,48.09,19.24,0,144.27,0,8.01,0,0,0,0,0,0,160.83,2469.64

5,01:00-01:15,0,0,0,0,0,0,0,0,81.75,26.26,134.89,43.71,224.82,26.26,19.24,20.75,49.05,17.4,15.24,44.24,20.44,143.07,0,96.18,0,0,0,28.61,26.45,0,96.18,0.77,48.09,24.04,12.5,105.8,81.75,48.09,0,134.65,0,6.73,28.85,54.1,0,16.03,7.69,204.38,0,25.08,0,144.27,0,24.04,0,0,0,0,0,0,48.09,19.24,0,144.27,0,8.01,0,0,0,0,0,0,160.83,2461.8399999999997

6,01:15-01:30,0,0,0,0,0,0,0,0,81.75,26.94,134.89,43.71,224.82,26.94,19.24,20.75,49.05,17.4,15.24,44.24,20.44,143.07,0,96.18,0,0,0,28.61,26.45,0,96.18,0.77,48.09,24.04,12.5,105.8,81.75,48.09,0,134.65,0,6.73,28.85,54.1,0,16.03,7.69,204.38,0,25.08,0,144.27,0,24.04,0,0,0,0,0,0,48.09,19.24,0,144.27,0,8.01,0,0,0,0,0,0,160.83,2463.2

7,01:30-01:45,0,0,0,0,0,0,0,0,81.75,26.94,134.89,43.71,224.82,26.94,19.24,20.75,49.05,17.4,15.24,44.24,20.44,143.07,0,96.18,0,0,0,28.61,26.45,0,96.18,0.77,48.09,24.04,12.5,105.8,81.75,48.09,0,134.65,0,6.73,28.85,54.1,0,16.03,7.69,204.38,0,25.08,0,144.27,0,24.04,0,0,0,0,0,0,48.09,19.24,0,144.27,0,8.01,0,0,0,0,0,0,160.83,2463.2

8,01:45-02:00,0,0,0,0,0,0,0,0,81.75,26.94,134.89,43.71,224.82,26.94,19.24,20.75,49.05,17.4,15.24,44.24,20.44,143.07,0,96.18,0,0,0,28.61,26.45,0,96.18,0.77,48.09,24.04,12.5,105.8,81.75,48.09,0,134.65,0,6.73,28.85,54.1,0,16.03,7.69,204.38,0,25.08,0,144.27,0,24.04,0,0,0,0,0,0,48.09,19.24,0,144.27,0,8.01,0,0,0,0,0,0,160.83,2463.2

9,02:00-02:15,0,0,0,0,0,0,0,0,81.75,26.94,134.89,43.71,224.82,26.94,19.24,20.75,49.05,17.22,15.24,44.24,20.44,143.07,0,96.18,0,0,0,28.61,26.45,0,96.18,0.67,48.09,24.04,12.5,105.8,81.75,48.09,0,134.65,0,6.73,28.85,54.1,0,16.03,7.69,204.38,0,0,0,144.27,0,24.04,0,0,0,0,0,0,48.09,19.24,0,144.27,0,8.01,0,0,0,0,0,0,160.83,2437.8399999999997

10,02:15-02:30,0,0,0,0,0,0,0,0,81.75,26.94,134.89,43.71,224.82,26.94,19.24,20.75,49.05,17.22,15.24,44.24,20.44,143.07,0,96.18,0,0,0,28.61,26.45,0,96.18,0.67,48.09,24.04,12.5,105.8,81.75,48.09,0,134.65,0,6.73,28.85,54.1,0,16.03,7.69,204.38,0,0,0,144.27,0,24.04,0,0,0,0,0,0,48.09,19.24,0,144.27,0,8.01,0,0,0,0,0,0,160.83,2437.8399999999997

11,02:30-02:45,0,0,0,0,0,0,0,0,81.75,26.94,134.89,43.71,224.82,26.94,19.24,20.75,49.05,17.22,15.24,44.24,20.44,143.07,0,96.18,0,0,0,28.61,26.45,0,96.18,0.67,48.09,24.04,12.5,105.8,81.75,48.09,0,134.65,0,6.73,28.85,54.1,0,16.03,7.69,204.38,0,0,0,144.27,0,24.04,0,0,0,0,0,0,48.09,19.24,0,144.27,0,8.01,0,0,0,0,0,0,160.83,2437.8399999999997

12,02:45-03:00,0,0,0,0,0,0,0,0,81.75,26.94,134.89,43.71,224.82,26.94,19.24,20.75,49.05,17.22,15.24,44.24,20.44,143.07,0,96.18,0,0,0,28.61,26.45,0,96.18,0.67,48.09,24.04,12.5,105.8,81.75,48.09,0,134.65,0,6.73,28.85,54.1,0,16.03,7.69,204.38,0,0,0,144.27,0,24.04,0,0,0,0,0,0,48.09,19.24,0,144.27,0,8.01,0,0,0,0,0,0,160.83,2437.8399999999997

13,03:00-03:15,0,0,0,0,0,0,0,0,81.75,26.94,134.89,43.71,224.82,26.94,19.24,20.75,0,12.71,15.24,44.24,0,143.07,0,96.18,0,0,0,28.61,5.77,0,96.18,0.63,48.09,24.04,12.5,76.58,81.75,48.09,0,0,0,6.73,28.85,54.1,160.83,16.03,7.69,0,0,0,0,144.27,0,24.04,0,0,0,0,0,0,48.09,19.24,0,144.27,0,8.01,0,0,0,0,0,0,0,1974.8699999999994

14,03:15-03:30,0,0,0,0,0,0,0,0,81.75,26.94,134.89,43.71,224.82,26.94,19.24,20.75,0,12.71,15.24,44.24,0,143.07,0,96.18,0,0,0,28.61,5.77,0,96.18,0.63,48.09,24.04,12.5,76.58,81.75,48.09,0,0,0,6.73,28.85,54.1,160.83,16.03,7.69,0,0,0,0,144.27,0,24.04,0,0,0,0,0,0,48.09,19.24,0,144.27,0,8.01,0,0,0,0,0,0,0,1974.8699999999994

15,03:30-03:45,0,0,0,0,0,0,0,0,81.75,26.94,134.89,43.71,224.82,26.94,19.24,20.75,0,12.71,15.24,44.24,0,143.07,0,96.18,0,0,0,28.61,5.77,0,96.18,0.63,48.09,24.04,12.5,76.58,81.75,48.09,0,0,0,6.73,28.85,54.1,160.83,16.03,7.69,0,0,0,0,144.27,0,24.04,0,0,0,0,0,0,48.09,19.24,0,144.27,0,8.01,0,0,0,0,0,0,0,1974.8699999999994

16,03:45-04:00,0,0,0,0,0,0,0,0,81.75,26.94,134.89,43.71,224.82,26.94,19.24,20.75,0,12.71,15.24,44.24,0,143.07,0,96.18,0,0,0,28.61,5.77,0,96.18,0.63,48.09,24.04,12.5,76.58,81.75,48.09,0,0,0,6.73,28.85,54.1,160.83,16.03,7.69,0,0,0,0,144.27,0,24.04,0,0,0,0,0,0,48.09,19.24,0,144.27,0,8.01,0,0,0,0,0,0,0,1974.8699999999994

17,04:00-04:15,0,0,0,0,0,0,0,0,81.75,26.94,134.89,43.71,224.82,26.94,19.24,20.75,0,12.71,15.24,44.24,0,143.07,0,96.18,0,0,0,28.61,5.77,0,96.18,0.63,48.09,24.04,12.5,76.58,81.75,48.09,0,0,0,6.73,28.85,0,160.83,16.03,7.69,0,0,0,0,0,0,24.04,0,0,0,0,0,0,48.09,19.24,0,0,0,8.01,0,0,0,0,0,0,0,1632.2299999999996

18,04:15-04:30,0,0,0,0,0,0,0,0,81.75,26.94,134.89,43.71,224.82,26.94,19.24,20.75,0,12.71,15.24,44.24,0,143.07,0,96.18,0,0,0,28.61,5.77,0,96.18,0.63,48.09,24.04,12.5,76.58,81.75,48.09,0,0,0,6.73,28.85,0,160.83,16.03,7.69,0,0,0,0,0,0,24.04,0,0,0,0,0,0,48.09,19.24,0,0,0,8.01,0,0,0,0,0,0,0,1632.2299999999996

19,04:30-04:45,0,0,0,0,0,0,0,0,81.75,26.94,134.89,43.71,224.82,26.94,19.24,20.75,0,12.71,15.24,44.24,0,143.07,0,96.18,0,0,0,28.61,5.77,0,96.18,0.63,48.09,24.04,12.5,76.58,81.75,48.09,0,0,0,6.73,28.85,0,160.83,16.03,7.69,0,0,0,0,0,0,24.04,0,0,0,0,0,0,48.09,19.24,0,0,0,8.01,0,0,0,0,0,0,0,1632.2299999999996

20,04:45-05:00,0,0,0,0,0,0,0,0,81.75,26.94,134.89,43.71,224.82,26.94,19.24,20.75,0,12.71,15.24,44.24,0,143.07,0,96.18,0,0,0,28.61,5.77,0,96.18,0.63,48.09,24.04,12.5,76.58,81.75,48.09,0,0,0,6.73,28.85,0,160.83,16.03,7.69,0,0,0,0,0,0,24.04,0,0,0,0,0,0,48.09,19.24,0,0,0,8.01,0,0,0,0,0,0,0,1632.2299999999996

21,05:00-05:15,0,0,0,0,0,0,0,0,81.75,26.94,134.89,43.71,224.82,26.94,19.24,20.75,0,12.71,15.24,44.24,0,143.07,0,96.18,0,0,0,28.61,5.77,0,96.18,0.63,48.09,24.04,12.5,76.58,81.75,48.09,0,0,0,6.73,28.85,0,0,16.03,7.69,0,0,0,0,0,0,24.04,0,0,0,0,0,0,48.09,16.58,0,0,0,8.01,0,0,0,0,0,0,160.83,1629.5699999999995

22,05:15-05:30,0,0,0,0,0,0,0,0,81.75,26.94,134.89,43.71,224.82,26.94,19.24,20.75,0,12.71,15.24,44.24,0,143.07,0,96.18,0,0,0,28.61,5.77,0,96.18,0.63,48.09,24.04,12.5,76.58,81.75,48.09,0,0,0,6.73,28.85,0,37.73,16.03,7.69,0,0,0,0,0,0,24.04,0,0,0,0,0,0,48.09,16.58,0,0,0,8.01,0,0,0,0,0,0,123.1,1629.5699999999995

23,05:30-05:45,0,0,0,0,0,0,0,0,81.75,26.94,134.89,43.71,224.82,26.94,19.24,20.75,0,12.71,15.24,44.24,0,143.07,0,96.18,0,0,0,28.61,5.77,0,96.18,0.63,48.09,24.04,10.58,76.58,81.75,48.09,0,0,0,6.73,28.85,0,133.72,16.03,7.69,0,0,0,0,0,0,24.04,0,0,0,0,0,0,48.09,16.58,0,0,0,8.01,0,0,0,0,0,0,27.11,1627.6499999999994

24,05:45-06:00,0,0,0,0,0,0,0,0,81.75,26.94,134.89,43.71,224.82,26.94,19.24,20.75,0,12.71,15.24,44.24,0,143.07,0,96.18,0,0,0,28.61,5.77,0,96.18,0.63,48.09,24.04,10.58,76.58,81.75,48.09,0,0,0,6.73,28.85,0,148.18,16.03,7.69,0,0,0,0,0,0,24.04,0,0,0,0,0,0,48.09,16.58,0,0,0,8.01,0,0,0,0,0.32,1,12.65,1628.9699999999996

25,06:00-06:15,0,0,0,0,0,0,0,0,81.75,26.94,134.89,43.71,224.82,26.94,19.24,20.75,0,12.71,15.24,44.24,0,143.07,0,96.18,0,0,0,28.61,5.77,0,96.18,0.82,48.09,24.04,10.58,76.58,81.75,48.09,0,0,0,6.73,28.85,0,81.29,16.03,7.69,0,0,0,0,0,0,24.04,0,0,0,0,0,0,48.09,16.58,0,0,0,8.01,0,0,0,0,2.13,3,79.54,1632.9699999999996

26,06:15-06:30,0,0,0.05,0,0.05,0,0,0,81.75,26.94,134.89,43.71,224.82,26.94,19.24,20.75,0,12.71,15.24,44.24,0,143.07,0,96.18,0,0,0,28.61,5.77,0,96.18,0.82,48.09,24.04,10.58,76.58,81.75,48.09,0,0,0,6.73,28.85,0,124.46,16.03,7.69,0,0,0,0,0,0,24.04,0,0,0,0,0,0,48.09,16.58,0,0,0,8.01,0,0,0,0.05,3.21,7,36.38,1638.2099999999998

27,06:30-06:45,0,0.04,0.1,0.04,0.1,0.84,0.07,0,81.75,26.94,134.89,43.71,224.82,26.94,19.24,20.75,0,12.71,15.24,44.24,0,143.07,0,96.18,0,0,0,28.61,5.77,0,96.18,0.82,48.09,24.04,10.58,76.58,81.75,48.09,0,0,0,6.73,28.85,0,160.83,16.03,7.69,0,0,0,0,0,0,24.04,0,0,0,0,0,0,48.09,16.58,0,0,0,8.01,0,0,0,0.1,5.92,11,0,1646.0499999999995

28,06:45-07:00,0,0.09,0.1,0.09,0.1,1.38,0.13,0,81.75,26.94,134.89,43.71,224.82,26.94,19.24,20.75,0,12.71,15.24,44.24,0,143.07,0,96.18,0,0,0,28.61,5.77,0,96.18,0.82,48.09,24.04,10.58,76.58,81.75,48.09,0,0,0,6.73,28.85,0,160.83,16.03,7.69,0,0,0,0,0,0,24.04,0,0,0,0,0,0,48.09,16.58,0,0,0,8.01,0,0,0,0.1,9.77,14,0,1653.5999999999995

29,07:00-07:15,0,0.14,0.1,0.14,0.1,0.38,0.22,0,81.75,26.94,134.89,43.71,224.82,26.94,19.24,20.75,0,16.66,15.24,44.24,0,143.07,0,96.18,0,0,0,28.61,5.77,0,96.18,0.87,48.09,24.04,10.58,76.58,81.75,48.09,0,0,0,6.73,28.85,0,160.83,16.03,7.69,0,0,0,0,0,0,24.04,0,0,0,0,0,0,48.09,16.58,0,0,0,8.01,0,0,0,0.1,14.16,21,0,1668.1799999999992

30,07:15-07:30,0,0.19,0.1,0.19,0.1,0.62,0.29,0,81.75,26.94,134.89,43.71,224.82,26.94,19.24,20.75,0,16.66,15.24,44.24,0,143.07,0,96.18,0,0,0,28.61,5.77,0,96.18,0.87,48.09,24.04,10.58,76.58,81.75,48.09,0,0,0,6.73,28.85,0,160.83,16.03,7.69,0,0,0,0,0,0,24.04,0,0,0,0,0,0,48.09,16.58,0,0,0,8.01,0,0,0,0.1,18.84,28,0,1680.269999999999

31,07:30-07:45,0,0.19,0.1,0.19,0.1,0.86,0.29,0,81.75,26.94,134.89,43.71,224.82,26.94,19.24,20.75,0,16.66,15.24,44.24,0,143.07,0,96.18,0,0,0,28.61,5.77,0,96.18,0.87,48.09,24.04,9.62,76.58,81.75,48.09,0,0,0,6.73,28.85,0,160.83,16.03,7.69,0,0,0,0,0,0,24.04,0,0,0,0,0,0,48.09,16.58,0,0,0,8.01,0,0,0,0.1,23.44,35,0,1691.1499999999992

32,07:45-08:00,0,0.19,0.1,0.19,0.1,1.38,0.29,0,81.75,26.94,134.89,43.71,224.82,26.94,19.24,20.75,0,16.66,15.24,44.24,0,143.07,0,96.18,0,0,0,28.61,5.77,0,96.18,0.87,48.09,24.04,9.62,76.58,81.75,48.09,0,0,0,6.73,28.85,0,160.83,16.03,7.69,0,0,0,0,0,0,24.04,0,0,0,0,0,0,48.09,16.58,0,0,0,8.01,0,0,0,0.1,28.59,42,0,1703.819999999999

33,08:00-08:15,2.92,0.19,0.1,0.19,0.1,1.81,0.29,0,81.75,26.94,134.89,26.23,224.82,26.94,19.24,20.75,0,16.57,15.24,44.24,0,143.07,0,96.18,0,0,0,28.61,5.77,0,96.18,0.96,48.09,24.04,9.62,76.58,81.75,48.09,0,0,0,6.73,28.85,0,160.83,16.03,7.69,0,0,0,0,0,0,24.04,0,0,0,0,0,0,48.09,16.58,0,0,0,8.01,1.64,0,0,0.1,33.8,56,0,1710.5399999999993

34,08:15-08:30,3.41,0.19,0.1,0.19,0.1,2.05,0.29,0,81.75,26.94,134.89,26.23,224.82,26.94,19.24,20.75,0,16.57,15.24,44.24,0,143.07,0,96.18,0,0,0,28.61,5.77,0,96.18,0.96,48.09,24.04,9.62,76.58,81.75,48.09,0,0,0,6.73,28.85,0,160.83,16.03,7.69,0,0,0,0,0,0,24.04,0,0,0,0,0,0,48.09,16.58,0,0,0,8.01,1.64,0,0,0.1,39.18,67,0,1727.6499999999994

35,08:30-08:45,3.93,0.19,0.1,0.19,0.19,2.29,0.29,0,81.75,26.94,134.89,26.23,224.82,26.94,19.24,20.75,0,16.57,15.24,44.24,0,143.07,0,96.18,0,0,0,28.61,5.77,0,96.18,0.96,48.09,24.04,9.62,76.58,81.75,48.09,0,0,0,6.73,28.85,0,160.83,16.03,7.69,0,0,0,0,0,0,24.04,0,0,0,0,0,0,48.09,16.58,0,0,0,8.01,1.64,0,0,0.1,44.64,74,0,1740.9599999999996

36,08:45-09:00,4.46,0.19,0.1,0.19,0.19,2.53,0.29,0,81.75,26.94,134.89,26.23,224.82,26.94,19.24,20.75,0,16.57,15.24,44.24,0,143.07,0,96.18,0,0,0,28.61,5.77,0,96.18,0.96,48.09,24.04,9.62,76.58,81.75,48.09,0,0,0,6.73,28.85,0,160.83,16.03,7.69,0,0,0,0,0,0,24.04,0,0,0,0,0,0,48.09,16.58,0,0,0,8.01,1.64,0,0,0.1,50.51,81,0,1754.5999999999995

37,09:00-09:15,4.94,0.19,0.1,0.19,0.19,2.77,0.29,0,81.75,26.96,134.89,26.23,224.82,26.96,19.24,20.75,0,16.48,15.24,0,0,0,8.01,0,24.04,143.07,0.96,28.61,5.77,76.58,0,0,0,0,10.58,0,81.75,0,44.24,0,48.09,0,28.85,0,160.83,0,0,0,0,0,0,0,16.03,0,0,0,16.58,7.69,96.18,48.09,0,0,96.18,0,24.04,0,1.64,6.73,48.09,0.1,56.09,98,0,1778.8099999999995

