Column1,Block,NR/2025/31129/C,NR/2025/31110/C,NR/2025/30334/A/86684,NR/2025/29985/A/86824,GNARE/NR/2024/12/20/3668,NR/2025/30086/A/87171,NR/2025/30084/A/87172,NR/2025/29910/A/87176,NR/2025/29992/A/86677,NR/2025/30105/A/87170,NR/2025/30067/A/87268,NR/2025/29915/A/86736,NR/2025/29628/A/87178,NR/2025/31076/C,NR/2025/29439/A/87030,NR/2025/31102/C/Alternate/1,NR/2025/27970/A/87138,NR/2025/30191/A/86686,NR/2025/26975/A/87181,NR/2025/27968/A/87137,NR/2025/30217/A/87169,NR/2025/30082/A/87162,NR/2025/30993/C,NR/2025/27962/A/87134,NR/2025/31097/C,NR/2025/31105/C,NR/2025/30083/A/87173,NR/2025/31098/C,NR/2025/31106/C,NR/2025/30121/A/86689,NR/2025/31107/C,NR/2025/29167/A/86738,NR/2025/31044/C,NR/2025/27978/A/87198,NR/2025/31102/C,NR/2025/30492/A/86806,NR/2025/30822/A/86822,NR/2025/27964/A/87136,NR/2025/29353/A/87103,NR/2025/29440/A/86670,NR/2025/29352/A/87105,NR/2025/27963/A/87135,NR/2025/31104/C,NR/2025/28725/A/87139,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/01/8230,NR/2025/31031/C,NR/2025/31061/C,NR/2025/31108/C,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/8154,NR/2025/31057/C,NR/2025/31006/C,NR/2025/31007/C,NR/2025/30101/A/87190,NR/2025/31059/C,NR/2025/31060/C,NR/30092023/26122029/SH-06,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/2236,NR/30092023/31122025/SH-07,GNA/NR/2025/07/01/2786,NR/01082024/19092033/Chanju/TPDDL/01082024,Total
3,00:30-00:45,0,0,0,0,0,26.23,26.23,19.24,44.24,17.49,204.38,20.44,105.8,0,25.08,192.36,0,48.09,26.45,144.27,7.69,48.09,0,96.18,0,0,8.74,0,0,6.73,0,54.1,0,96.18,0,12.5,134.65,0,81.75,0.91,28.61,144.27,0,143.07,49.05,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,30,15.24,81.75,6,43.71,13.17,2434.5299999999997

4,00:45-01:00,0,0,0,0,0,26.23,26.23,19.24,44.24,17.49,204.38,20.44,105.8,0,25.08,192.36,0,48.09,26.45,144.27,7.69,48.09,0,96.18,0,0,8.74,0,0,6.73,0,54.1,0,96.18,0,12.5,134.65,0,81.75,0.91,28.61,144.27,0,143.07,49.05,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,30,15.24,81.75,6,43.71,13.17,2434.5299999999997

5,01:00-01:15,0,0,0,0,0,26.23,26.23,19.24,44.24,17.49,204.38,20.44,105.8,0,25.08,192.36,0,48.09,26.45,144.27,7.69,48.09,0,96.18,0,0,8.74,0,0,6.73,0,54.1,0,96.18,0,12.5,134.65,0,81.75,0.77,28.61,144.27,0,143.07,49.05,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,30,15.24,81.75,0,43.71,13.17,2428.3899999999994

6,01:15-01:30,0,0,0,0,0,26.23,26.23,19.24,44.24,17.49,204.38,20.44,105.8,0,25.08,192.36,0,48.09,26.45,144.27,7.69,48.09,0,96.18,0,0,8.74,0,0,6.73,0,54.1,0,96.18,0,12.5,134.65,0,81.75,0.77,28.61,144.27,0,143.07,49.05,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,30,15.24,81.75,0,43.71,13.17,2428.3899999999994

7,01:30-01:45,0,0,0,0,0,26.23,26.23,19.24,44.24,17.49,204.38,20.44,105.8,0,25.08,192.36,0,48.09,26.45,144.27,7.69,48.09,0,96.18,0,0,8.74,0,0,6.73,0,54.1,0,96.18,0,12.5,134.65,0,81.75,0.77,28.61,144.27,0,143.07,49.05,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,30,15.24,81.75,13.39,43.71,13.17,2441.7799999999993

8,01:45-02:00,0,0,0,0,0,26.23,26.23,19.24,44.24,17.49,204.38,20.44,105.8,0,25.08,192.36,0,48.09,26.45,144.27,7.69,48.09,0,96.18,0,0,8.74,0,0,6.73,0,54.1,0,96.18,0,12.5,134.65,0,81.75,0.77,28.61,144.27,0,143.07,49.05,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,30,15.24,81.75,13.39,43.71,13.17,2441.7799999999993

9,02:00-02:15,0,0,0,0,0,26.23,26.23,19.24,44.24,17.49,204.38,20.44,105.8,0,0,192.36,0,48.09,26.45,144.27,7.69,24.04,0,96.18,0,0,4.37,0,0,6.73,0,54.1,0,96.18,0,12.5,134.65,0,81.75,0.67,28.61,144.27,0,143.07,49.05,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,30,15.24,81.75,19.39,43.71,13.17,2394.1799999999994

10,02:15-02:30,0,0,0,0,0,26.23,26.23,19.24,44.24,17.49,204.38,20.44,105.8,0,0,192.36,0,48.09,26.45,144.27,7.69,24.04,0,96.18,0,0,4.37,0,0,6.73,0,54.1,0,96.18,0,12.5,134.65,0,81.75,0.67,28.61,144.27,0,143.07,49.05,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,30,15.24,81.75,19.39,43.71,13.17,2394.1799999999994

11,02:30-02:45,0,0,0,0,0,26.23,26.23,19.24,44.24,17.49,204.38,20.44,105.8,0,0,192.36,0,48.09,26.45,144.27,7.69,24.04,0,96.18,0,0,4.37,0,0,6.73,0,54.1,0,96.18,0,12.5,134.65,0,81.75,0.67,28.61,144.27,0,143.07,49.05,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,30,15.24,81.75,19.39,43.71,13.17,2394.1799999999994

12,02:45-03:00,0,0,0,0,0,26.23,26.23,19.24,44.24,17.49,204.38,20.44,105.8,0,0,192.36,0,48.09,26.45,144.27,7.69,24.04,0,96.18,0,0,4.37,0,0,6.73,0,54.1,0,96.18,0,12.5,134.65,0,81.75,0.67,28.61,144.27,0,143.07,49.05,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,30,15.24,81.75,19.39,43.71,13.17,2394.1799999999994

13,03:00-03:15,0,0,0,0,0,26.23,26.23,19.24,44.24,17.49,0,0,76.58,0,0,0.8,0,48.09,5.77,144.27,7.69,24.04,0,96.18,0,0,4.37,0,0,6.73,0,54.1,0,96.18,191.56,12.5,0,0,81.75,0.63,28.61,144.27,0,143.07,0,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,23.7,15.24,81.75,23.7,43.71,13.17,1933.7300000000002

14,03:15-03:30,0,0,0,0,0,26.23,26.23,19.24,44.24,17.49,0,0,76.58,0,0,0,0,48.09,5.77,144.27,7.69,24.04,0,96.18,0,0,4.37,0,0,6.73,0,54.1,0,96.18,192.36,12.5,0,0,81.75,0.63,28.61,144.27,0,143.07,0,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,23.7,15.24,81.75,23.7,43.71,13.17,1933.7300000000002

15,03:30-03:45,0,0,0,0,0,26.23,26.23,19.24,44.24,17.49,0,0,76.58,0,0,0,0,48.09,5.77,144.27,7.69,24.04,0,96.18,0,0,4.37,0,0,6.73,0,54.1,0,96.18,192.36,12.5,0,0,81.75,0.63,28.61,144.27,0,143.07,0,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,23.7,15.24,81.75,23.7,43.71,13.17,1933.7300000000002

16,03:45-04:00,0,0,0,0,0,26.23,26.23,19.24,44.24,17.49,0,0,76.58,0,0,0.21,0,48.09,5.77,144.27,7.69,24.04,0,96.18,0,0,4.37,0,0,6.73,0,54.1,0,96.18,192.15,12.5,0,0,81.75,0.63,28.61,144.27,0,143.07,0,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,23.7,15.24,81.75,23.7,43.71,13.17,1933.7300000000002

17,04:00-04:15,0,0,0,0,0,26.23,26.23,19.24,44.24,17.49,0,0,76.58,0,0,0,0,48.09,5.77,0,7.69,24.04,0,96.18,0,0,4.37,0,0,6.73,0,0,0,96.18,192.36,12.5,0,0,81.75,0.63,28.61,0,0,143.07,0,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,26.7,15.24,81.75,26.7,43.71,17.03,1600.9500000000003

18,04:15-04:30,0,0,0,0,0,26.23,26.23,19.24,44.24,17.49,0,0,76.58,0,0,0,0,48.09,5.77,0,7.69,24.04,0,96.18,0,0,4.37,0,0,6.73,0,0,0,96.18,192.36,12.5,0,0,81.75,0.63,28.61,0,0,143.07,0,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,26.7,15.24,81.75,26.7,43.71,17.03,1600.9500000000003

19,04:30-04:45,0,0,0,0,0,26.23,26.23,19.24,44.24,17.49,0,0,76.58,0,0,0,0,48.09,5.77,0,7.69,24.04,0,96.18,0,0,4.37,0,0,6.73,0,0,0,96.18,192.36,12.5,0,0,81.75,0.63,28.61,0,0,143.07,0,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,26.7,15.24,81.75,26.7,43.71,17.03,1600.9500000000003

20,04:45-05:00,0,0,0,0,0,26.23,26.23,19.24,44.24,17.49,0,0,76.58,0,0,0,0,48.09,5.77,0,7.69,24.04,0,96.18,0,0,4.37,0,0,6.73,0,0,0,96.18,192.36,12.5,0,0,81.75,0.63,28.61,0,0,143.07,0,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,26.7,15.24,81.75,26.7,43.71,17.03,1600.9500000000003

21,05:00-05:15,0,0,0,0,0,26.23,26.23,16.58,44.24,17.49,0,0,76.58,0,0,192.36,0,48.09,5.77,0,7.69,24.04,0,96.18,0,0,4.37,0,0,6.73,0,0,0,96.18,0,12.5,0,0,81.75,0.63,28.61,0,0,143.07,0,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,26.7,15.24,81.75,26.7,43.71,16.84,1598.1

22,05:15-05:30,0,0,0,0,0,26.23,26.23,16.58,44.24,17.49,0,0,76.58,0,0,161.96,0,48.09,5.77,0,7.69,24.04,0,96.18,0,0,4.37,0,0,6.73,0,0,0,96.18,30.4,12.5,0,0,81.75,0.63,28.61,0,0,143.07,0,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,26.7,15.24,81.75,26.7,43.71,16.84,1598.1000000000004

23,05:30-05:45,0,0,0,0,0.3,26.23,26.23,16.58,44.24,17.49,0,0,76.58,0,0,59.51,0,48.09,5.77,0,7.69,24.04,0,96.18,0,0,4.37,0,0,6.73,0,0,0,96.18,132.85,11.54,0,0,81.75,0.63,28.61,0,0,143.07,0,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,26.7,15.24,81.75,26.7,43.71,16.84,1597.44

24,05:45-06:00,0,0,0,1,0.54,26.23,26.23,16.58,44.24,17.49,0,0,76.58,0,0,47.06,0,48.09,5.77,0,7.69,24.04,0,96.18,0,0,4.37,0,0,6.73,0,0,0,96.18,145.3,11.54,0,0,81.75,0.63,28.61,0,0,143.07,0,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,26.7,15.24,81.75,26.7,43.71,16.84,1598.6799999999998

25,06:00-06:15,0,0,0,3,2.11,26.23,26.23,16.58,44.24,17.49,0,0,76.58,0,0,120.76,0,48.09,5.77,0,7.69,24.04,0,96.18,0,0,4.37,0,0,6.73,0,0,0,96.18,71.6,11.54,0,0,81.75,0.82,28.61,0,0,143.07,0,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,26.7,15.24,81.75,26.7,43.71,16.75,1602.3500000000001

26,06:15-06:30,0,0,0,7,3.68,26.23,26.23,16.58,44.24,17.49,0,0,76.58,0,0,75.7,0,48.09,5.77,0,7.69,24.04,0,96.18,0,0,4.37,0,0,6.73,0,0,0,96.18,116.66,11.54,0,0,81.75,0.82,28.61,0,0,143.07,0,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,26.7,15.24,81.75,26.7,43.71,16.75,1607.9200000000003

27,06:30-06:45,0,0.35,0,11,8.25,26.23,26.23,16.58,44.24,17.49,0,0,76.58,0,0,0,0,48.09,5.77,0,7.69,24.04,0,96.18,0,0,4.37,0,0,6.73,0,0,0,96.18,192.36,11.54,0,0,81.75,0.82,28.61,0,0,143.07,0,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,26.7,15.24,81.75,26.7,43.71,16.75,1616.8400000000004

28,06:45-07:00,0,0.57,0,16,11.79,26.23,26.23,16.58,44.24,17.49,0,0,76.58,0,0,0,0,48.09,5.77,0,7.69,24.04,0,96.18,0,0,4.37,0,0,6.73,0,0,0,96.18,192.36,11.54,0,0,81.75,0.82,28.61,0,0,143.07,0,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,26.7,15.24,81.75,26.7,43.71,16.75,1625.6000000000001

29,07:00-07:15,0,0.82,0,25,17.11,26.23,26.23,16.58,44.24,17.49,0,0,76.58,0,0,0,0,48.09,5.77,0,7.69,24.04,0,96.18,0,0,4.37,0,0,6.73,0,0,0,96.18,192.36,11.54,0,0,81.75,0.87,28.61,0,0,143.07,0,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,26.7,15.24,81.75,26.7,43.71,14.54,1638.01

30,07:15-07:30,0,1.23,0,32,22.57,26.23,26.23,16.58,44.24,17.49,0,0,76.58,0,0,0,0,48.09,5.77,0,7.69,24.04,0,96.18,0,0,4.37,0,0,6.73,0,0,0,96.18,192.36,11.54,0,0,81.75,0.87,28.61,0,0,143.07,0,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,26.7,15.24,81.75,26.7,43.71,14.54,1650.8800000000003

31,07:30-07:45,0,1.6,0,39,22.46,26.23,26.23,16.58,44.24,17.49,0,0,76.58,0,0,0,0,48.09,5.77,0,7.69,24.04,0,96.18,0,0,4.37,0,0,6.73,0,0,0,96.18,192.36,11.54,0,0,81.75,0.87,28.61,0,0,143.07,0,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,30,15.24,81.75,19.64,43.71,14.54,1654.38

32,07:45-08:00,0,2.17,0,49,27.53,26.23,26.23,16.58,44.24,17.49,0,0,76.58,0,0,0,0,48.09,5.77,0,7.69,24.04,0,96.18,0,0,4.37,0,0,6.73,0,0,0,96.18,192.36,11.54,0,0,81.75,0.87,28.61,0,0,143.07,0,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,30,15.24,81.75,19.64,43.71,14.54,1670.02

33,08:00-08:15,0,1.21,3.01,60,33.07,26.23,26.23,16.58,44.24,17.49,0,0,76.58,0,0,0,0,48.09,5.77,0,7.69,24.04,0,96.18,0,0,4.37,0,0,6.73,0,0,0,96.18,192.36,11.54,0,0,81.75,0.96,28.61,0,0,143.07,0,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,26.7,15.24,81.75,26.7,43.71,13.17,1691.0900000000004

34,08:15-08:30,0,1.45,3.48,70,38.52,26.23,26.23,16.58,44.24,17.49,0,0,76.58,0,0,0,0,48.09,5.77,0,7.69,24.04,0,96.18,0,0,4.37,0,0,6.73,0,0,0,96.18,192.36,11.54,0,0,81.75,0.96,28.61,0,0,143.07,0,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,26.7,15.24,81.75,26.7,43.71,13.17,1707.2500000000002

35,08:30-08:45,0,1.58,3.97,81,44.05,26.23,26.23,16.58,44.24,17.49,0,0,76.58,0,0,0,0,48.09,5.77,0,7.69,24.04,0,96.18,0,0,4.37,0,0,6.73,0,0,0,96.18,192.36,13.47,0,0,81.75,0.96,28.61,0,0,143.07,0,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,26.7,15.24,81.75,26.7,43.71,13.17,1726.3300000000002

36,08:45-09:00,0,1.58,4.45,95,49.85,26.23,26.23,16.58,44.24,17.49,0,0,76.58,0,0,0,0,48.09,5.77,0,7.69,24.04,0,96.18,0,0,4.37,0,0,6.73,0,0,0,96.18,192.36,13.47,0,0,81.75,0.96,28.61,0,0,143.07,0,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,26.7,15.24,81.75,26.7,43.71,13.17,1746.6100000000004

37,09:00-09:15,0,1.94,4.89,105,55.49,0,0,0,0,0,0,0,0,0.96,0,0,0,0,5.77,0,0,0,48.09,0,96.18,43.71,0,32.14,29.03,0,7.69,0,48.09,0,192.36,13.47,0,0,81.75,0,28.61,0,14.57,0,0,224.82,44.24,96.18,37.16,134.89,19.24,20.75,143.07,76.58,16.58,0,0,0,26.8,15.24,81.75,26.8,43.71,13.17,1830.72

38,09:15-09:30,0,1.94,5.24,112,61.2,0,0,0,0,0,0,0,0,0.96,0,0,0,0,5.77,0,0,0,48.09,0,96.18,43.71,0,32.14,29.03,0,7.69,0,48.09,0,192.36,13.47,0,0,81.75,0,28.61,0,14.57,0,0,224.82,44.24,96.18,37.16,134.89,19.24,20.75,143.07,76.58,16.58,0,0,0,26.8,15.24,81.75,26.8,43.71,13.17,1843.78

39,09:30-09:45,0,2.07,5.56,123,66.61,0,0,0,0,0,0,0,0,0.96,0,0,0,0,5.77,0,0,0,48.09,0,96.18,43.71,0,32.14,29.03,0,7.69,0,48.09,0,192.36,13.47,0,0,81.75,0,28.61,0,14.57,0,0,224.82,44.24,96.18,37.16,134.89,19.24,20.75,143.07,76.58,16.58,0,0,0,26.8,15.24,81.75,26.8,43.71,13.17,1860.64

40,09:45-10:00,0,2.07,5.85,133,71.6,0,0,0,0,0,0,0,0,0.96,0,0,0,0,5.77,0,0,0,48.09,0,96.18,43.71,0,32.14,29.03,0,7.69,0,48.09,0,192.36,13.47,0,0,81.75,0,28.61,0,14.57,0,0,224.82,44.24,96.18,37.16,134.89,19.24,20.75,143.07,76.58,16.58,0,0,0,26.8,15.24,81.75,26.8,43.71,13.17,1875.9199999999998

41,10:00-10:15,1.44,2.42,6.17,144,76.59,0,0,0,0,0,0,0,0,0.96,0,0,0,0,5.77,0,0,0,48.09,0,96.18,43.71,0,32.14,29.03,0,7.69,0,48.09,0,192.36,13.47,0,0,81.75,0,28.61,0,14.57,0,0,224.82,44.24,96.18,37.16,134.89,19.24,20.75,143.07,76.58,16.58,0,0,0,26.8,15.24,81.75,26.8,43.71,13.17,1894.0200000000002

42,10:15-10:30,1.44,2.42,6.42,151,87.23,0,0,0,0,0,0,0,0,0.96,0,0,0,0,5.77,0,0,0,48.09,0,96.18,43.71,0,32.14,29.03,0,7.69,0,48.09,0,192.36,13.47,0,0,81.75,0,28.61,0,14.57,0,0,224.82,44.24,96.18,37.16,134.89,19.24,20.75,143.07,76.58,16.58,0,0,0,26.8,15.24,81.75,26.8,43.71,13.17,1911.91

43,10:30-10:45,1.44,2.55,5.25,144,79.14,0,0,0,0,0,0,0,0,0.96,0,0,0,0,5.77,0,0,0,48.09,0,96.18,43.71,0,32.14,29.03,0,7.69,0,48.09,0,192.36,13.47,0,0,81.75,0,28.61,0,14.57,0,0,224.82,44.24,96.18,37.16,134.89,19.24,20.75,143.07,76.58,16.58,0,0,0,26.8,15.24,81.75,26.8,43.71,13.17,1895.78

44,10:45-11:00,1.44,2.67,5.25,151,83.81,0,0,0,0,0,0,0,0,0.96,0,0,0,0,5.77,0,0,0,48.09,0,96.18,43.71,0,32.14,29.03,0,7.69,0,48.09,0,192.36,13.47,0,0,81.75,0,28.61,0,14.57,0,0,224.82,44.24,96.18,37.16,134.89,19.24,20.75,143.07,76.58,16.58,0,0,0,26.8,15.24,81.75,26.8,43.71,13.17,1907.57

45,11:00-11:15,1.44,2.67,5.25,154,88.36,0,0,0,0,0,0,0,0,0.96,0,0,0,0,5.77,0,0,0,48.09,0,96.18,43.71,0,32.14,29.03,0,7.69,0,48.09,0,192.36,13.47,0,0,81.75,0,28.61,0,14.57,0,0,224.82,44.24,96.18,37.16,134.89,19.24,20.75,143.07,76.58,16.58,0,0,0,26.8,15.24,81.75,26.8,43.71,15.93,1917.88

