Block,Time Block,KGSU1AND2,KGSU3AND4,DHAULIGNGA,FSTPP I & II,DULHASTI,JHAJJAR,DADRT2,CHAMERA3,DADRI_LF,ANTA_LF,AURY_GF,AURY_LF,DADRI_GF,ANTA_GF,AURY_CRF,DADRI_CRF,DADRI_RF,ANTA_RF,AURY_RF,ANTA_CRF,KUDGI,NLCEXP,NLCIIST1,NJPC,MAPS,NLCIIST2,PARBATI3,NLCTS2EXP,NNTPP,NAPP,NTPL,PARBATI2,KKNPPU2,KOLDAM,KISHANGANGA,KOTESHWR,KHSTPP-II,KKNP,TALA,VALLURNTECL,UNCHAHAR4,TALST2,TEHRIPSP,URI2,TANAKPUR,UNCHAHAR3,TEHRI,TelanganaSTPP,UNCHAHAR2,URI,TANDA2,UNCHAHAR1,KHSTPP-I,RAPPC,RIHAND2,SASAN,RIHAND1,RAPPB,SINGRAULI_HYDRO,SIMHST1,RSTPSU1TO6,SIMHST2,RAPPD,RSTPSU7,SINGRAULI,SALAL,SEWA2,RAMPUR,RIHAND3,CHAMERA1,BSIUL,CHAMERA2,BRBCL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
10,02:15-02:30,0,0,42.37,16.39,56.81,383.73,475.89,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,74.26,0,0,23.79,0,54.63,0,10.29,8.42,7.29,142.82,0,0.28,0,2.31,0,0,36.87,5.45,26.87,18.19,0,43.07,49.08,6.1,20.66,44.23,65.92,91.78,396.78,61.32,0,0.67,0,0,0,24.78,0,149.04,82.53,0,6.8,88.76,40.73,12.6,47.25,11.75,0,0,0,0,0

11,02:30-02:45,0,0,42.37,16.39,56.81,383.74,506.81,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,74.26,0,0,23.79,0,54.63,0,10.29,8.42,7.29,142.82,0,0.28,0,2.31,0,0,36.87,5.45,26.87,18.19,0,43.07,49.08,6.1,20.66,44.23,65.92,91.8,396.78,61.35,0,0.67,0,0,0,24.78,0,149.04,82.53,0,6.8,88.79,40.73,12.6,47.25,11.97,0,0,0,0,0

12,02:45-03:00,0,0,42.37,16.39,56.81,424.05,528.54,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,74.26,0,0,23.79,0,54.63,0,10.29,8.42,7.29,142.82,0,0.28,0,2.31,0,0,36.87,5.45,26.87,18.19,0,43.05,49.08,5.96,20.66,44.23,65.92,91.8,396.78,61.35,0,0.67,0,0,0,24.78,0,149.04,82.53,0,6.8,88.79,40.73,12.6,47.25,11.94,0,0,0,0,0

13,03:00-03:15,0,0,42.37,16.39,56.81,432.04,528.87,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,71.28,0,0,23.79,0,54.63,0,10.29,8.42,7.29,142.82,0,0.17,0,2.31,0,0,36.87,5.45,26.87,18.19,0,43.05,49.49,5.96,20.66,44.23,65.92,91.78,396.78,61.32,0,0.67,0,0,0,24.78,0,149.04,80.28,0,6.8,88.76,40.73,12.6,47.25,14.96,0,0,0,0,0

14,03:15-03:30,0,0,42.37,16.39,56.81,432.05,528.87,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,71.28,0,0,23.79,0,54.63,0,10.29,8.42,7.29,142.82,0,0.17,0,2.31,0,0,36.87,5.45,26.87,18.19,0,43.05,49.49,5.96,20.66,44.23,65.92,91.78,396.78,61.32,0,0.67,0,0,0,24.78,0,149.04,80.28,0,6.8,88.76,40.73,12.6,47.25,13.94,0,0,0,0,0

15,03:30-03:45,0,0,42.37,16.39,56.81,432.05,528.87,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,71.28,0,0,23.79,0,54.63,0,10.29,8.42,7.29,142.82,0,0.17,0,2.31,0,0,36.87,5.45,26.87,18.19,0,43.05,49.49,5.96,20.66,44.23,65.92,91.78,396.78,61.32,0,0.67,0,0,0,24.78,0,149.04,80.28,0,6.8,88.76,40.73,12.6,47.25,16.06,0,0,0,0,0

16,03:45-04:00,0,0,42.37,16.39,56.81,432.05,528.87,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,71.28,0,0,23.79,0,54.63,0,10.29,8.42,7.29,142.82,0,0,0,2.31,0,0,36.87,5.45,26.87,18.19,0,43.05,49.49,5.96,20.66,44.23,65.92,91.78,396.78,61.32,0,0.67,0,0,0,24.78,0,149.04,80.28,0,6.8,88.76,40.73,12.6,47.25,17.63,0,0,0,0,0

17,04:00-04:15,0,0,42.37,16.39,56.81,432.05,532.29,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,65.35,0,0,23.79,0,54.63,0,10.29,8.42,7.29,142.82,0,0,0,2.31,0,0,36.87,5.45,26.87,18.19,0,43.05,49.08,5.96,20.66,44.23,65.92,92.77,396.78,62.02,0,0.67,0,0,0,24.78,0,149.04,80.28,0,6.8,89.26,40.73,12.6,47.25,19.33,0,0,0,0,0

18,04:15-04:30,0,0,42.37,16.39,56.81,432.05,532.29,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,65.35,0,0,23.79,0,54.63,0,10.29,8.42,7.29,142.82,0,0,0,2.31,0,0,36.87,5.45,26.87,18.19,0,43.05,49.08,5.96,20.66,44.23,65.92,92.77,396.78,62.02,0,0.67,0,0,0,24.78,0,149.04,80.28,0,6.8,89.26,40.73,12.6,47.25,17.9,0,0,0,0,0

19,04:30-04:45,0,0,42.37,16.39,56.81,432.05,532.29,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,65.35,0,0,23.79,0,54.63,0,10.29,8.42,7.29,142.82,0,0,0,2.31,0,0,36.87,5.45,26.87,18.19,0,43.05,49.08,5.96,20.66,44.23,65.92,92.77,396.78,62.02,0,0.67,0,0,0,24.78,0,149.04,80.28,0,6.8,89.26,40.73,12.6,47.25,19.17,0,0,0,0,0

20,04:45-05:00,0,0,42.37,16.39,56.81,432.05,532.29,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,65.35,0,0,23.79,0,54.63,0,10.29,8.42,7.29,142.82,0,0,0,2.31,0,0,36.87,5.45,26.87,18.19,0,43.05,49.08,5.96,20.66,44.23,65.92,92.77,396.78,62.02,0,0.67,0,0,0,24.78,0,149.04,80.28,0,6.8,89.26,40.73,12.6,47.25,19.33,0,0,0,0,0

21,05:00-05:15,0,0,42.37,15.23,56.81,374.07,531.58,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,62.37,0,0,23.79,0,54.63,0,10.29,8.42,7.29,142.82,0,0,0,2.31,0,0,36.87,5.45,23.01,18.19,0,37.6,49.08,6.2,18.73,44.23,65.92,100.73,396.78,67.94,0,0.67,0,0,0,24.78,0,149.04,80.28,0,6.8,95.72,40.73,12.6,47.25,19.33,0,0,0,0,0

22,05:15-05:30,0,0,42.37,16.38,56.81,412.35,483.27,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,62.37,0,0,23.79,0,54.63,0,10.29,8.42,7.29,142.82,0,0,0,2.31,0,0,36.87,5.45,26.43,18.19,0,43.3,49.08,6.2,20.66,44.23,65.92,100.73,396.78,67.94,0,0.67,0,0,0,24.78,0,149.04,80.28,0,6.8,95.72,40.73,12.6,47.25,19.33,0,0,0,0,0

23,05:30-05:45,0,0,42.37,16.39,56.81,378.15,483.27,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,62.37,0,0,23.79,0,54.63,0,10.29,8.42,7.29,142.82,0,0,0,2.31,0,0,36.87,9.65,26.87,18.19,0,43.4,49.08,6.2,20.66,44.23,65.92,100.73,396.78,67.94,0,0.67,0,0,0,24.78,0,149.04,80.28,0,6.8,95.72,40.73,12.6,47.25,19.33,0,0,0,0,0

24,05:45-06:00,0,0,42.37,16.39,56.81,316.1,483.27,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,62.37,0,0,23.79,0,54.63,0,10.29,8.42,7.29,142.82,0,0,0,2.31,0,0,36.87,9.65,26.87,9.09,0,43.4,49.08,6.2,20.66,44.23,65.92,100.73,396.78,67.94,0,0.67,0,0,0,24.78,0,149.04,80.28,0,6.8,95.72,40.73,12.6,47.25,19.33,0,0,0,0,0

25,06:00-06:15,0,0,42.37,16.39,56.81,264.88,464.53,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,65.35,0,0,23.79,0,54.63,0,10.29,8.42,7.29,142.82,0,0,0,2.15,0,0,36.87,11.63,26.87,9.09,0,43.21,49.08,5.96,20.66,44.23,65.92,121.47,396.78,95.51,0,0.67,0,0,0,24.78,0,149.04,80.28,0,6.8,127.91,40.73,12.6,47.25,19.33,0,0,0,0,0

26,06:15-06:30,0,0,42.37,16.39,56.81,264.88,392.81,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,65.35,0,0,23.79,0,54.63,0,10.29,8.42,7.29,142.82,0,0,0,1.84,0,0,36.87,11.63,26.87,0,0,43.05,49.08,5.96,20.66,44.23,65.92,121.47,396.78,95.51,0,0.67,0,0,0,24.78,0,149.04,80.28,0,6.8,127.91,40.73,12.6,47.25,19.33,0,0,0,0,0

27,06:30-06:45,0,0,42.37,16.39,56.81,264.88,304.86,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,65.35,0,0,23.79,0,54.63,0,10.29,8.42,7.29,142.82,0,0,0,3.3,0,0,36.87,6.18,26.87,0,0,43.55,49.08,6.2,18.73,44.23,65.92,121.47,396.78,95.51,0,0.67,0,0,0,24.78,0,149.04,80.28,0,6.8,127.91,40.73,12.6,47.25,19.33,0,0,0,0,0

28,06:45-07:00,0,0,42.37,16.39,56.81,264.88,251.71,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,65.35,0,0,23.79,0,54.63,0,10.29,8.42,7.29,142.82,0,0,0,2.8,0,0,36.87,6.18,24.44,0,0,39.51,49.08,6.2,18.73,44.23,65.92,121.47,396.78,95.51,0,0.67,0,0,0,24.78,0,149.04,80.28,0,6.8,127.91,40.73,12.6,47.25,19.33,0,0,0,0,0

29,07:00-07:15,0,0,42.37,16.39,56.81,264.88,142.54,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,65.35,0,0,23.79,0,54.63,0,10.29,8.42,7.29,142.82,0,0,0,2.31,0,0,36.87,6.18,23.44,0,0,37.75,49.08,6.2,18.26,44.23,65.92,121.47,396.78,95.51,0,0.67,0,0,0,24.78,0,149.04,80.28,0,6.8,127.91,40.73,12.6,47.25,18.75,0,0,0,0,0

30,07:15-07:30,0,0,42.37,16.39,56.81,264.88,34.29,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,65.35,0,0,23.79,0,54.63,0,10.29,8.42,7.29,142.82,0,0,0,2.31,0,0,36.87,6.18,23.01,0,0,37.6,49.08,6.2,18.73,44.23,65.92,121.47,396.78,95.51,0,0.67,0,0,0,24.78,0,149.04,80.28,0,6.8,127.91,40.73,12.6,47.25,19.33,0,0,0,0,0

31,07:30-07:45,0,0,42.37,15.23,56.81,222.92,7.38,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,65.35,0,0,23.79,0,54.63,0,10.29,8.42,7.29,124.11,0,0,0,2.31,0,0,36.87,6.18,23.01,0,0,37.6,49.08,6.2,18.73,40.54,65.92,121.47,396.78,95.51,0,0.67,0,0,0,24.78,0,149.04,80.28,0,6.8,127.91,40.73,12.6,47.25,19.33,0,0,0,0,0

32,07:45-08:00,0,0,42.37,15.23,56.81,222.92,7.38,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,65.35,0,0,23.79,0,54.63,0,10.29,8.42,7.29,123.51,0,0,0,2.31,0,0,36.87,6.18,23.01,0,0,37.6,49.08,6.2,18.73,37.46,65.92,121.47,396.78,95.51,0,0.67,0,0,0,24.78,0,149.04,80.28,0,6.8,127.91,40.73,12.6,47.25,19.33,0,0,0,0,0

33,08:00-08:15,0,0,42.37,15.23,56.81,222.92,7.38,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,65.35,0,0,23.79,0,54.63,0,10.29,8.42,7.29,123.49,0,0,0,2.31,0,0,36.87,6.18,18.39,0,0,29.95,49.08,6.2,14.51,37.46,65.92,121.47,396.78,95.51,0,0.67,0,0,0,24.78,0,131.05,80.28,0,6.8,127.91,40.73,12.6,47.25,19.33,0,0,0,0,0

34,08:15-08:30,0,0,42.37,15.23,56.81,222.92,7.38,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,65.35,0,0,23.79,0,54.63,0,10.29,8.42,7.29,123.49,0,0.23,0,2.31,0,0,36.87,6.18,18.39,0,0,29.95,49.08,6.2,14.51,37.46,65.92,121.47,396.78,95.51,0,0.67,0,0,0,24.78,0,131.05,80.28,0,6.8,127.91,40.73,12.6,47.25,18.58,0,0,0,0,0

35,08:30-08:45,0,0,42.37,14.86,56.81,224.76,7.38,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,65.35,0,0,23.79,0,54.63,0,10.29,8.42,7.29,123.49,0,1.85,0,2.31,0,0,36.87,7.42,18.39,0,0,29.95,49.08,6.2,14.51,37.46,65.92,121.47,396.78,95.51,0,0.67,0,0,0,24.78,0,131.05,80.28,0,6.8,127.91,40.73,12.6,47.25,18.47,0,0,0,0,0

36,08:45-09:00,0,0,42.37,14.86,56.81,225.11,7.38,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,65.35,0,0,23.79,0,54.63,0,10.29,8.42,7.29,123.49,0,1.85,0,2.31,0,0,36.87,7.42,18.39,0,0,29.95,49.08,6.2,14.51,37.46,65.92,121.47,396.78,95.51,0,0.67,0,0,0,24.78,0,131.05,80.28,0,6.8,127.91,40.73,12.6,47.25,18.86,0,0,0,0,0

37,09:00-09:15,0,0,42.37,13.51,56.81,225.45,7.38,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,65.35,0,0,23.79,0,54.63,0,10.29,8.42,10.09,123.51,0,1.85,0,2.31,0,0,36.87,7.42,18.39,0,0,29.95,49.08,6.2,14.51,37.46,65.92,121.47,396.78,95.51,0,0.67,0,0,0,24.78,0,131.05,80.28,0,6.8,127.91,40.73,12.6,47.25,19.33,0,0,0,0,0

38,09:15-09:30,0,0,42.37,13.51,56.81,225.45,7.38,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,65.35,0,0,23.79,0,54.63,0,10.29,8.42,10.09,123.51,0,1.85,0,2.31,0,0,36.87,7.42,18.39,0,0,29.95,49.08,6.2,14.51,37.46,65.92,121.47,396.78,95.51,0,0.67,0,0,0,24.78,0,149.04,80.28,0,6.8,127.91,40.73,12.6,47.25,19.17,0,0,0,0,0

39,09:30-09:45,0,0,42.37,15.04,56.81,243.19,7.38,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,65.35,0,0,23.79,0,54.63,0,10.29,8.42,10.09,137.44,0,1.85,0,2.31,0,0,36.87,7.42,22.25,0,0,35.74,49.08,6.2,16.21,44.23,65.92,121.47,396.78,95.51,0,0.67,0,0,0,24.78,0,149.04,80.28,0,6.8,127.91,40.73,12.6,47.25,19.33,0,0,0,0,0

40,09:45-10:00,0,0,42.37,15.04,56.81,258.02,7.38,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,65.35,0,0,23.79,0,54.63,0,10.29,8.42,10.09,142.82,0,1.85,0,2.31,0,0,36.87,7.42,18.39,0,0,29.95,49.08,6.2,14.51,44.23,65.92,121.47,396.78,95.51,0,0.67,0,0,0,24.78,0,149.04,80.28,0,6.8,127.91,40.73,12.6,47.25,19.33,0,0,0,0,0

41,10:00-10:15,0,0,42.37,15.04,56.81,272.86,7.38,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,65.35,0,0,23.79,0,54.63,0,10.29,8.42,10.09,126.79,0,1.85,0,2.31,0,0,36.87,7.42,18.39,0,0,29.95,49.08,3.78,14.51,44.23,65.92,121.47,396.78,95.51,0,0.67,0,0,0,24.78,0,149.04,80.28,0,6.8,127.91,40.73,6.3,47.25,19.33,0,0,0,0,0

42,10:15-10:30,0,0,42.37,15.04,56.81,287.7,7.38,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,65.35,0,0,23.79,0,54.63,0,10.29,8.42,10.09,129.54,0,1.85,0,2.31,0,0,36.87,7.42,18.39,0,0,29.95,49.08,3.78,14.51,44.23,65.92,121.47,396.78,95.51,0,0.67,0,0,0,24.78,0,149.04,80.28,0,6.8,127.91,40.73,6.3,47.25,19.33,0,0,0,0,0

43,10:30-10:45,0,0,42.37,15.04,56.81,302.54,7.38,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,65.35,0,0,23.79,0,54.63,0,10.29,8.42,10.09,134.19,0,1.85,0,2.31,0,0,36.87,7.42,18.39,0,0,29.95,49.08,5.66,14.51,44.23,65.92,121.47,396.78,95.51,0,0.67,0,0,0,24.78,0,149.04,80.28,0,6.8,127.91,27.15,6.3,47.25,15.2,0,0,0,0,0

44,10:45-11:00,0,0,42.37,15.04,56.81,317.58,7.38,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,65.35,0,0,23.79,0,54.63,0,10.29,8.42,10.09,134.19,0,1.85,0,2.31,0,0,36.87,7.42,18.39,0,0,29.95,49.08,5.66,14.51,44.23,65.92,121.47,396.78,95.51,0,0.67,0,0,0,24.78,0,149.04,80.28,0,6.8,127.91,27.15,6.3,47.25,12.98,0,0,0,0,0

45,11:00-11:15,0,0,42.37,15.04,56.81,315.32,7.38,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,65.35,0,0,23.79,0,54.63,0,10.29,8.42,10.09,134.19,0,1.85,0,2.31,0,0,36.87,11.63,13.28,0,0,23.96,51.2,5.66,10.44,44.23,65.92,121.47,396.78,95.51,0,0.67,0,0,0,24.78,0,149.04,80.28,0,6.8,127.91,27.15,6.3,47.25,13.05,0,0,0,0,0

46,11:15-11:30,0,0,42.37,15.04,56.81,315.32,7.38,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,65.35,0,0,23.79,0,54.63,0,10.29,8.42,10.09,134.19,0,1.85,0,2.31,0,0,36.87,11.63,13.28,0,0,23.96,51.2,5.66,10.44,44.23,65.92,121.47,396.78,95.51,0,0.67,0,0,0,24.78,0,149.04,80.28,0,6.8,127.91,27.15,6.3,47.25,12.14,0,0,0,0,0

47,11:30-11:45,0,0,42.37,15.04,56.81,341.1,7.38,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,56.43,0,0,23.79,0,54.63,0,10.29,8.42,10.09,123.51,0,1.85,0,2.31,0,0,36.87,11.63,13.28,0,0,23.96,51.2,5.39,10.44,43.34,65.92,121.47,401.46,95.51,0,0.67,0,0,0,24.78,0,149.04,80.28,0,6.8,127.91,27.15,6.3,47.25,15.21,0,0,0,0,0

48,11:45-12:00,0,0,42.37,15.04,56.81,341.1,7.38,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,56.43,0,0,23.79,0,54.63,0,10.29,8.42,10.09,123.51,0,1.48,0,2.31,0,0,36.87,11.63,13.28,0,0,23.96,51.2,5.39,10.44,43.34,65.92,121.47,402.22,95.51,0,0.67,0,0,0,24.78,0,149.04,80.28,0,6.8,127.91,27.15,6.3,47.25,19.33,0,0,0,0,0

49,12:00-12:15,0,0,42.37,16.8,38.4,357.59,7.38,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,56.43,0,0,23.79,0,54.63,0,10.29,8.42,10.09,123.51,0,1.85,0,1.93,0,0,36.87,7.42,17.85,0,0,29.36,51.2,3.78,14.18,37.46,65.92,121.47,402.22,95.51,0,0.67,0,0,0,24.78,0,149.04,80.28,0,6.8,127.91,27.15,6.3,47.25,19.33,0,0,0,0,0

50,12:15-12:30,0,0,42.37,16.8,38.4,357.59,7.38,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,56.43,0,0,23.79,0,54.63,0,10.29,8.42,10.09,123.51,0,1.85,0,1.93,0,0,36.87,7.42,17.85,0,0,29.36,51.2,3.78,14.18,37.46,65.92,121.47,402.22,95.51,0,0.67,0,0,0,24.78,0,149.04,80.28,0,6.8,127.91,27.15,6.3,47.25,19.33,0,0,0,0,0

51,12:30-12:45,0,0,42.37,16.8,38.4,357.59,7.38,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,56.43,0,0,23.79,0,54.63,0,10.29,8.42,10.09,123.51,0,1.85,0,1.93,0,0,36.87,9.29,17.85,0,0,29.36,51.2,3.78,14.18,32.84,65.92,121.47,402.22,95.51,0,0.67,0,0,0,24.78,0,149.04,80.28,0,6.8,127.91,27.15,6.3,47.25,19.33,0,0,0,0,0

52,12:45-13:00,0,0,42.37,16.8,38.4,357.59,7.38,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,0,0,56.43,0,0,23.79,0,54.63,0,10.29,8.42,10.09,123.51,0,1.85,0,1.93,0,0,36.87,9.29,17.85,0,0,29.36,51.2,3.78,14.18,32.84,65.92,121.47,402.22,95.51,0,0.67,0,0,0,24.78,0,149.04,80.28,0,6.8,127.91,27.15,6.3,47.25,19.33,0,0,0,0,0

