Column1,Block,NR/2025/26236/A/69006,GNARE/NR/2024/12/20/3668,NR/2025/26335/A/69184,NR/2025/26153/A/69005,NR/2025/26202/A/69552,NR/2025/26490/C,NR/2025/26201/A/69516,NR/2025/26491/C,NR/2025/26232/A/69499,NR/2025/26291/A/69495,NR/2025/26197/A/69530,NR/2025/26200/A/69521,NR/2025/26233/A/69498,NR/2025/26002/A/69471,NR/2025/26198/A/69529,NR/2025/26191/A/69039,NR/2025/25858/A/69480,NR/2025/26199/A/69525,NR/2025/25855/A/69479,NR/2025/26101/A/69176,NR/2025/26286/A/69144,NR/2025/26085/A/68995,NR/2025/26289/A/69496,NR/2025/26535/C,NR/2025/26536/C,NR/2025/26534/C,NR/30092023/26122029/SH-06,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/4138,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/9154,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/7902,NR/2025/26529/C,NR/2025/26510/C,NR/2025/26525/C,NR/2025/26530/C,NR/2025/26531/C,NR/2025/26494/C,NR/2025/26312/A/69020,NR/2025/26336/A/69186,NR/2025/26265/A/69497,NR/2025/26492/C,NR/2025/26493/C,Total
3,00:30-00:45,0,0,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,0,43.87,144.8,0,4.83,0.77,48.26,0,0,0,26.5,0,29.01,164.1,0,12.75,26.5,28.96,10.62,14.48,5.79,14.48,164.1,123.08,13.51,0,67.57,0,28.96,0,0,0,51.13,19.31,0,0,135.14,96.53,0,0,1626.78

4,00:45-01:00,0,0,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,0,43.87,144.8,0,4.83,0.77,48.26,0,0,0,26.5,0,29.01,164.1,0,12.75,26.5,28.96,10.62,14.48,5.79,14.48,164.1,123.08,13.51,0,67.57,0,28.96,0,0,0,51.13,19.31,0,0,135.14,96.53,0,0,1626.78

5,01:00-01:15,0,0,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,0,43.87,144.8,0,4.83,0.68,48.26,0,0,0,26.5,0,29.01,164.1,0,12.57,26.5,28.96,10.62,14.48,5.79,14.48,164.1,123.08,13.51,0,67.57,0,28.96,0,0,0,51.13,19.31,0,0,135.14,96.53,0,0,1626.51

6,01:15-01:30,0,0,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,0,43.87,144.8,0,4.83,0.68,48.26,0,0,0,26.5,0,29.01,164.1,0,12.57,26.5,28.96,10.62,14.48,5.79,14.48,164.1,123.08,13.51,0,67.57,0,28.96,0,0,0,51.13,19.31,0,0,135.14,96.53,0,0,1626.51

7,01:30-01:45,0,0,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,0,43.87,144.8,0,4.83,0.68,48.26,0,0,0,26.5,0,29.01,164.1,0,12.57,26.5,28.96,10.62,14.48,5.79,14.48,164.1,123.08,13.51,0,67.57,0,28.96,0,0,0,51.13,19.31,0,0,135.14,96.53,0,0,1626.51

8,01:45-02:00,0,0,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,0,43.87,144.8,0,4.83,0.68,48.26,0,0,0,26.5,0,29.01,164.1,0,12.57,26.5,28.96,10.62,14.48,5.79,14.48,164.1,123.08,13.51,0,67.57,0,28.96,0,0,0,51.13,19.31,0,0,135.14,96.53,0,0,1626.51

9,02:00-02:15,0,0,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,0,43.87,144.8,0,4.83,0.63,48.26,0,0,0,26.5,0,29.01,164.1,0,12.38,26.5,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,96.53,0,0,0,0,51.13,19.31,0,0,135.14,0,0,0,1509.4700000000003

10,02:15-02:30,0,0,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,0,43.87,144.8,0,4.83,0.63,48.26,0,0,0,26.5,0,29.01,164.1,0,12.38,26.5,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,96.53,0,0,0,0,51.13,19.31,0,0,135.14,0,0,0,1509.4700000000003

11,02:30-02:45,0,0,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,0,43.87,144.8,0,4.83,0.63,48.26,0,0,0,26.5,0,29.01,164.1,0,12.38,26.5,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,96.53,0,0,0,0,51.13,19.31,0,0,135.14,0,0,0,1509.4700000000003

12,02:45-03:00,0,0,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,0,43.87,144.8,0,4.83,0.63,48.26,0,0,0,26.5,0,29.01,164.1,0,12.38,26.5,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,96.53,0,0,0,0,51.13,19.31,0,0,135.14,0,0,0,1509.4700000000003

13,03:00-03:15,0,0,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,0,43.87,144.8,0,4.83,0.48,48.26,0,0,0,26.5,0,29.01,164.1,0,12.19,26.5,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,96.53,0,0,0,0,51.13,19.31,0,0,135.14,0,0,0,1509.13

14,03:15-03:30,0,0,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,0,43.87,144.8,0,4.83,0.48,48.26,0,0,0,26.5,0,29.01,164.1,0,12.19,26.5,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,96.53,0,0,0,0,51.13,19.31,0,0,135.14,0,0,0,1509.13

15,03:30-03:45,0,0,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,0,43.87,144.8,0,4.83,0.48,48.26,0,0,0,26.5,0,29.01,164.1,0,12.19,26.5,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,96.53,0,0,0,0,51.13,19.31,0,0,135.14,0,0,0,1509.13

16,03:45-04:00,0,0,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,0,43.87,144.8,0,4.83,0.48,48.26,0,0,0,26.5,0,29.01,164.1,0,12.19,26.5,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,96.53,0,0,0,0,51.13,19.31,0,0,135.14,0,0,0,1509.13

17,04:00-04:15,0,0,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,0,43.87,0,0,4.83,0.48,48.26,0,0,0,26.5,0,29.01,164.1,0,12.01,26.5,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,96.53,0,0,0,0,51.13,19.31,0,0,135.14,0,0,0,1364.15

18,04:15-04:30,0,0,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,0,43.87,0,0,4.83,0.48,48.26,0,0,0,26.5,0,29.01,164.1,0,12.01,26.5,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,96.53,0,0,0,0,51.13,19.31,0,0,135.14,0,0,0,1364.15

19,04:30-04:45,0,0,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,0,43.87,0,0,4.83,0.48,48.26,0,0,0,26.5,0,29.01,164.1,0,12.01,26.5,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,96.53,0,0,0,0,51.13,19.31,0,0,135.14,0,0,0,1364.15

20,04:45-05:00,0,0,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,0,43.87,0,0,4.83,0.48,48.26,0,0,0,26.5,0,29.01,164.1,0,12.01,26.5,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,96.53,0,0,0,0,51.13,19.31,0,0,135.14,0,0,0,1364.15

21,05:00-05:15,0,0,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,0,43.87,0,0,4.83,0.48,48.26,0,0,0,26.5,0,29.01,164.1,0,11.82,26.5,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,96.53,0,0,0,0,51.13,19.31,0,0,135.14,0,0,0,1363.96

22,05:15-05:30,0,0,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,0,43.87,0,0,4.83,0.48,48.26,0,0,0,26.5,0,29.01,164.1,0,11.82,26.5,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,96.53,0,0,0,0,51.13,19.31,0,0,135.14,0,0,0,1363.96

23,05:30-05:45,0,0.22,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,0,43.87,0,0,4.83,0.48,48.26,0,0,0,26.5,0,29.01,164.1,0,12.1,26.5,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,96.53,0,0,0,0,51.13,19.31,0,0,135.14,0,0,0,1364.46

24,05:45-06:00,0,0.24,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,0,43.87,0,0,4.83,0.48,48.26,0,0,0,26.5,0,29.01,164.1,0,12.1,26.5,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,96.53,0,0,0,0,51.13,19.31,0,0,135.14,0,0,0,1364.48

25,06:00-06:15,0,1.27,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,0,43.87,0,0,3.86,0.58,48.26,0,0,0,26.5,0,29.01,164.1,0,10.9,26.5,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,96.53,0,0,0,0,51.13,19.31,0,0,135.14,0,0,0,1363.44

26,06:15-06:30,0,2.76,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,0,43.87,0,0,3.86,0.58,48.26,0,0,0,26.5,0,29.01,164.1,0,10.9,26.5,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,96.53,0,0,0,0,51.13,19.31,0,0,135.14,0,0,0,1364.9299999999998

27,06:30-06:45,0,4.89,1,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,0,43.87,0,0,3.86,0.58,48.26,0,0,0,26.5,0,29.01,164.1,0,10.9,26.5,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,96.53,0,0,0,0,51.13,19.31,0,0,135.14,0,0,0,1368.06

28,06:45-07:00,0,7.61,4,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,0,43.87,0,0,3.86,0.58,48.26,0,0,0,26.5,0,29.01,164.1,0,10.9,26.5,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,96.53,0,0,0,0,51.13,19.31,0,0,135.14,0,0,0,1373.7800000000002

29,07:00-07:15,0,10.69,14,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,0,43.87,0,0,3.86,0.68,48.26,0,0,0,26.5,0,29.01,164.1,0,10.71,26.5,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,96.53,0,0,0,0,51.13,19.31,0,0,135.14,0,0,0,1386.77

30,07:15-07:30,0,14.7,28,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,0,43.87,0,0,3.86,0.68,48.26,0,0,0,26.5,0,29.01,164.1,0,10.71,26.5,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,96.53,0,0,0,0,51.13,19.31,0,0,135.14,0,0,0,1404.7800000000002

31,07:30-07:45,0,19.27,28,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,0,43.87,0,0,3.86,0.68,48.26,0,0,0,26.93,0,29.01,164.1,0,10.71,26.93,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,96.53,0,0,0,0,51.13,19.31,0,0,135.14,0,0,0,1410.21

32,07:45-08:00,0,24.64,39,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,0,43.87,0,0,3.86,0.68,48.26,0,0,0,26.93,0,29.01,164.1,0,10.71,26.93,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,96.53,0,0,0,0,51.13,19.31,0,0,135.14,0,0,0,1426.58

33,08:00-08:15,7.72,30.89,49,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,0,43.87,0,0,3.86,0.97,48.26,0,0,0,26.93,0,29.01,164.1,0,10.63,26.93,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,0,0,0,0,0,51.13,19.31,0,0,135.14,96.53,0,0,1450.76

34,08:15-08:30,7.72,36.2,60,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,0,43.87,0,0,3.86,0.97,48.26,0,0,0,26.93,0,29.01,164.1,0,10.63,26.93,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,0,0,0,0,11.58,51.13,19.31,0,0,135.14,96.53,0,0,1478.6499999999999

35,08:30-08:45,7.72,15,74,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,0,43.87,0,0,3.86,0.97,48.26,0,0,0,26.93,0,29.01,164.1,0,10.63,26.93,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,0,0,0,0,11.58,51.13,19.31,0,0,135.14,96.53,0,0,1471.45

36,08:45-09:00,7.72,16.67,88,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,0,43.87,0,0,3.86,0.97,48.26,0,0,0,26.93,0,29.01,164.1,0,10.63,26.93,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,0,0,0,0,59.85,51.13,19.31,0,0,135.14,96.53,0,0,1535.3899999999996

37,09:00-09:15,10.62,20,56,62.74,33.26,96.53,37.3,24.13,0,0,14.62,14.62,0,0,43.87,48.26,0,43.87,0,0,4.83,0.97,0,0,0,0,26.94,0,29.01,164.1,0,10.43,26.94,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,0,0,63.27,53.09,59.85,51.13,19.31,48.26,0,135.14,0,4.83,4.83,1563.5

38,09:15-09:30,10.62,23.33,67,62.74,33.26,96.53,37.3,24.13,0,0,14.62,14.62,0,0,43.87,48.26,0,43.87,0,0,4.83,0.97,0,0,0,0,26.94,0,29.01,164.1,0,10.43,26.94,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,0,0,63.27,53.09,59.85,51.13,19.31,48.26,0,135.14,0,4.83,4.83,1577.83

39,09:30-09:45,10.62,26.67,102,62.74,33.26,96.53,37.3,24.13,0,0,14.62,14.62,0,0,43.87,48.26,0,43.87,0,0,4.83,0.97,0,0,0,0,26.94,0,29.01,164.1,0,10.43,26.94,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,0,0,63.27,53.09,88.81,51.13,19.31,48.26,0,135.14,0,4.83,4.83,1645.1299999999997

40,09:45-10:00,10.62,30,112,62.74,33.26,96.53,37.3,24.13,0,0,14.62,14.62,0,0,43.87,48.26,0,43.87,0,0,4.83,0.97,0,0,0,0,26.94,0,29.01,164.1,0,10.43,26.94,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,0,0,63.27,53.09,88.81,51.13,19.31,48.26,0,135.14,0,4.83,4.83,1658.46

41,10:00-10:15,12.55,33.33,123,62.74,33.26,96.53,37.3,24.13,0,0,14.62,14.62,0,0,43.87,48.26,0,43.87,0,0,4.83,0.97,0,0,0,0,26.94,0,29.01,164.1,0,10.25,26.94,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,0,0,63.27,53.09,108.11,0,38.61,48.26,0,135.14,0,4.83,4.83,1662.0099999999998

42,10:15-10:30,12.55,36.67,133,62.74,33.26,96.53,37.3,24.13,0,0,14.62,14.62,0,0,43.87,48.26,0,43.87,0,0,4.83,0.97,0,0,0,0,26.94,0,29.01,164.1,0,10.25,26.94,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,0,0,63.27,53.09,108.11,0,38.61,48.26,0,135.14,0,4.83,4.83,1675.35

43,10:30-10:45,12.55,66.33,168,62.74,33.26,96.53,37.3,24.13,0,0,14.62,14.62,0,0,43.87,48.26,0,43.87,0,0,4.83,0.97,0,0,0,0,26.94,0,29.01,164.1,0,10.25,26.94,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,0,0,63.27,53.09,108.11,0,38.61,48.26,0,135.14,0,4.83,4.83,1740.0099999999998

44,10:45-11:00,12.55,69,182,62.74,33.26,96.53,37.3,24.13,0,0,14.62,14.62,0,0,43.87,48.26,0,43.87,0,0,4.83,0.97,0,0,0,0,26.94,0,29.01,164.1,0,10.25,26.94,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,0,0,63.27,53.09,108.11,0,38.61,48.26,0,135.14,0,4.83,4.83,1756.6799999999998

45,11:00-11:15,13.51,71.67,182,62.74,33.26,96.53,37.3,24.13,0,0,14.62,14.62,0,0,43.87,48.26,0,43.87,0,0,4.83,0.97,0,0,0,0,26.94,0,29.01,164.1,0,10.16,26.94,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,0,0,63.27,53.09,108.11,0,38.61,48.26,0,135.14,0,4.83,4.83,1760.2199999999998

46,11:15-11:30,13.51,75,182,62.74,33.26,96.53,37.3,24.13,0,0,14.62,14.62,0,0,43.87,48.26,0,43.87,0,0,4.83,0.97,0,0,0,0,26.94,0,29.01,164.1,0,10.16,26.94,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,0,0,63.27,53.09,108.11,0,38.61,48.26,0,135.14,0,4.83,4.83,1763.5499999999997

47,11:30-11:45,13.51,88.33,182,62.74,33.26,96.53,37.3,24.13,0,0,14.62,14.62,0,0,43.87,48.26,0,43.87,0,0,4.83,0.97,0,0,0,0,26.94,0,29.01,164.1,0,10.16,26.94,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,0,0,63.27,53.09,108.11,0,38.61,48.26,0,135.14,0,4.83,4.83,1776.8799999999997

48,11:45-12:00,13.51,88.33,182,62.74,33.26,96.53,37.3,24.13,0,0,14.62,14.62,0,0,43.87,48.26,0,43.87,0,0,4.83,0.97,0,0,0,0,26.94,0,29.01,164.1,0,10.16,26.94,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,0,0,63.27,53.09,108.11,0,38.61,48.26,0,135.14,0,4.83,4.83,1776.8799999999997

49,12:00-12:15,13.51,91.67,168,62.74,33.26,96.53,37.3,24.13,0,0,14.62,14.62,0,0,43.87,48.26,0,43.87,0,0,4.83,0.97,0,0,0,0,26.95,0,29.01,164.1,0,9.98,26.95,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,0,0,63.27,53.09,108.11,0,38.61,48.26,0,135.14,0,4.83,4.83,1766.06

50,12:15-12:30,13.51,91.67,168,62.74,33.26,96.53,37.3,24.13,0,0,14.62,14.62,0,0,43.87,48.26,0,43.87,0,0,4.83,0.97,0,0,0,0,26.95,0,29.01,164.1,0,9.98,26.95,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,0,0,63.27,53.09,108.11,0,38.61,48.26,0,135.14,0,4.83,4.83,1766.06

51,12:30-12:45,13.51,91.67,161,62.74,33.26,96.53,37.3,24.13,0,0,14.62,14.62,0,0,43.87,48.26,0,43.87,0,0,4.83,0.97,0,0,0,0,26.95,0,29.01,164.1,0,9.98,26.95,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,0,0,63.27,53.09,108.11,0,38.61,48.26,0,135.14,0,4.83,4.83,1759.06

52,12:45-13:00,13.51,91.67,154,62.74,33.26,96.53,37.3,24.13,0,0,14.62,14.62,0,0,43.87,48.26,0,43.87,0,0,4.83,0.97,0,0,0,0,26.95,0,29.01,164.1,0,9.98,26.95,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,0,0,63.27,53.09,108.11,0,38.61,48.26,0,135.14,0,4.83,4.83,1752.06

53,13:00-13:15,13.51,66.67,179,62.74,33.26,96.53,37.3,24.13,0,0,14.62,14.62,0,0,43.87,48.26,0,43.87,0,0,5.79,0.97,0,0,0,0,26.95,0,29.01,164.1,0,9.88,26.95,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,0,0,63.27,53.09,108.11,0,38.61,48.26,0,135.14,0,4.83,4.83,1752.9199999999996

