Column1,Block,NR/2025/32532/A/96428,NR/2025/32532/A/96427,NR/2025/32599/A/96415,NR/2025/32534/A/96430,NR/2025/32534/A/96429,NR/2025/32535/A/96431,GNARE/NR/2024/12/20/3668,NR/2025/32535/A/96432,NR/2025/32375/A/96500,NR/2025/31046/A/96466,NR/2025/31047/A/96467,NR/2025/32559/A/96507,NR/2025/31041/A/96464,NR/2025/33233/A/96320,NR/2025/32004/A/96518,NR/2025/31042/A/96465,NR/2025/32554/A/96468,NR/2025/32262/A/96356,NR/2025/29440/A/96070,NR/2025/32610/A/96506,NR/2025/29992/A/96076,NR/2025/32556/A/96510,NR/2025/33489/C,NR/2025/33490/C,NR/2025/32598/A/96325,NR/2025/31421/A/96503,NR/2025/33491/C,NR/2025/32455/A/96601,NR/2025/33460/C,NR/2025/33461/C,NR/2025/33462/C,NR/2025/33418/C,NR/2025/32397/A/96015,NR/2025/33421/C,NR/2025/33422/C,NR/2025/33466/C,NR/2025/33482/C,NR/2025/33394/C,NR/2025/32653/A/96210,NR/2025/32652/A/96212,NR/2025/32857/A/96198,NR/2025/33474/C,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/4452,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/6475,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6452,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/6209,Total
3,00:30-00:45,0,0,0,0,0,0,0,0,48.18,96.35,0,26.27,96.35,14.45,105.98,0,163.8,54.2,0.87,26.27,44.32,26.27,0,0,81.9,48.18,0,48.18,0,0,12.53,28.9,8.67,0,0,192.7,0,0,0,0,0,0,10.1,15.27,19.37,96.35,20.79,26.93,8.76,48.18,24.09,26.93,24.09,19.27,8.76,48.18,1521.4399999999996

4,00:45-01:00,0,0,0,0,0,0,0,0,48.18,96.35,0,26.27,96.35,14.45,105.98,0,163.8,54.2,0.87,26.27,44.32,26.27,0,0,81.9,48.18,0,48.18,0,0,12.53,28.9,8.67,0,0,192.7,0,0,0,0,0,0,10.1,15.27,19.37,96.35,20.79,26.93,8.76,48.18,24.09,26.93,24.09,19.27,8.76,48.18,1521.4399999999996

5,01:00-01:15,0,0,0,0,0,0,0,0,48.18,96.35,0,26.27,96.35,14.45,105.98,0,163.8,54.2,0.63,26.27,44.32,26.27,0,0,81.9,48.18,0,48.18,0,0,12.53,28.9,8.67,0,0,192.7,0,0,0,0,0,0,10.1,15.27,19.37,96.35,20.79,26.93,8.76,48.18,24.09,26.93,24.09,19.27,8.76,48.18,1521.1999999999996

6,01:15-01:30,0,0,0,0,0,0,0,0,48.18,96.35,0,26.27,96.35,14.45,105.98,0,163.8,54.2,0.63,26.27,44.32,26.27,0,0,81.9,48.18,0,48.18,0,0,12.53,28.9,8.67,0,0,192.7,0,0,0,0,0,0,10.1,15.27,19.37,96.35,20.79,26.93,8.76,48.18,24.09,26.93,24.09,19.27,8.76,48.18,1521.1999999999996

7,01:30-01:45,0,0,0,0,0,0,0,0,48.18,96.35,0,26.27,96.35,14.45,105.98,0,163.8,54.2,0.63,26.27,44.32,26.27,0,0,81.9,48.18,0,48.18,0,0,12.53,28.9,8.67,0,0,192.7,0,0,0,0,0,0,10.1,15.27,19.37,96.35,20.79,26.93,8.76,48.18,24.09,26.93,24.09,19.27,8.76,48.18,1521.1999999999996

8,01:45-02:00,0,0,0,0,0,0,0,0,48.18,96.35,0,26.27,96.35,14.45,105.98,0,163.8,54.2,0.63,26.27,44.32,26.27,0,0,81.9,48.18,0,48.18,0,0,12.53,28.9,8.67,0,0,192.7,0,0,0,0,0,0,10.1,15.27,19.37,96.35,20.79,26.93,8.76,48.18,24.09,26.93,24.09,19.27,8.76,48.18,1521.1999999999996

9,02:00-02:15,0,0,0,0,0,0,0,0,48.18,96.35,0,26.27,96.35,14.45,105.98,0,163.8,54.2,0.63,26.27,44.32,26.27,0,0,81.9,48.18,0,0,0,0,12.53,28.9,8.67,0,0,192.7,0,0,0,0,0,0,10.1,15.27,19.37,96.35,20.79,26.93,8.76,48.18,24.09,26.93,24.09,19.27,8.76,96.35,1521.1899999999994

10,02:15-02:30,0,0,0,0,0,0,0,0,48.18,96.35,0,26.27,96.35,14.45,105.98,0,163.8,54.2,0.63,26.27,44.32,26.27,0,0,81.9,48.18,0,0,0,0,12.53,28.9,8.67,0,0,192.7,0,0,0,0,0,0,10.1,15.27,19.37,96.35,20.79,26.93,8.76,48.18,24.09,26.93,24.09,19.27,8.76,96.35,1521.1899999999994

11,02:30-02:45,0,0,0,0,0,0,0,0,48.18,96.35,0,26.27,96.35,14.45,105.98,0,163.8,54.2,0.63,26.27,44.32,26.27,0,0,81.9,48.18,0,0,0,0,12.53,28.9,8.67,0,0,192.7,0,0,0,0,0,0,10.1,15.27,19.37,96.35,20.79,26.93,8.76,48.18,24.09,26.93,24.09,19.27,8.76,96.35,1521.1899999999994

12,02:45-03:00,0,0,0,0,0,0,0,0,48.18,96.35,0,26.27,96.35,14.45,105.98,0,163.8,54.2,0.63,26.27,44.32,26.27,0,0,81.9,48.18,0,0,0,0,12.53,28.9,8.67,0,0,192.7,0,0,0,0,0,0,10.1,15.27,19.37,96.35,20.79,26.93,8.76,48.18,24.09,26.93,24.09,19.27,8.76,96.35,1521.1899999999994

13,03:00-03:15,0,0,0,0,0,0,0,0,48.18,96.35,0,26.27,96.35,14.45,76.71,0,163.8,54.2,0.53,26.27,44.32,26.27,0,0,81.9,48.18,0,0,0,0,12.53,28.9,8.67,0,0,192.7,0,0,0,0,0,0,10.1,15.27,19.37,96.35,20.79,26.93,8.76,48.18,24.09,26.93,24.09,19.27,8.76,96.35,1491.8199999999993

14,03:15-03:30,0,0,0,0,0,0,0,0,48.18,96.35,0,26.27,96.35,14.45,76.71,0,163.8,54.2,0.53,26.27,44.32,26.27,0,0,81.9,48.18,0,0,0,0,12.53,28.9,8.67,0,0,192.7,0,0,0,0,0,0,10.1,15.27,19.37,96.35,20.79,26.93,8.76,48.18,24.09,26.93,24.09,19.27,8.76,96.35,1491.8199999999993

15,03:30-03:45,0,0,0,0,0,0,0,0,48.18,96.35,0,26.27,96.35,14.45,76.71,0,163.8,54.2,0.53,26.27,44.32,26.27,0,0,81.9,48.18,0,0,0,0,12.53,28.9,8.67,0,0,192.7,0,0,0,0,0,0,10.1,15.27,19.37,96.35,20.79,26.93,8.76,48.18,24.09,26.93,24.09,19.27,8.76,96.35,1491.8199999999993

16,03:45-04:00,0,0,0,0,0,0,0,0,48.18,96.35,0,26.27,96.35,14.45,76.71,0,163.8,54.2,0.53,26.27,44.32,26.27,0,0,81.9,48.18,0,0,0,0,12.53,28.9,8.67,0,0,192.7,0,0,0,0,0,0,10.1,15.27,19.37,96.35,20.79,26.93,8.76,48.18,24.09,26.93,24.09,19.27,8.76,96.35,1491.8199999999993

17,04:00-04:15,0,0,0,0,0,0,0,0,48.18,0,0,26.27,0,14.45,76.71,0,163.8,0,0.53,26.27,44.32,26.27,0,0,81.9,48.18,0,0,0,0,12.53,28.9,8.67,0,0,192.7,0,0,0,0,0,0,10.1,15.27,19.37,96.35,20.79,26.93,8.76,48.18,24.09,26.93,24.09,19.27,8.76,96.35,1244.9199999999996

18,04:15-04:30,0,0,0,0,0,0,0,0,48.18,0,0,26.27,0,14.45,76.71,0,163.8,0,0.53,26.27,44.32,26.27,0,0,81.9,48.18,0,0,0,0,12.53,28.9,8.67,0,0,192.7,0,0,0,0,0,0,10.1,15.27,19.37,96.35,20.79,26.93,8.76,48.18,24.09,26.93,24.09,19.27,8.76,96.35,1244.9199999999996

19,04:30-04:45,0,0,0,0,0,0,0,0,48.18,0,0,26.27,0,14.45,76.71,0,163.8,0,0.53,26.27,44.32,26.27,0,0,81.9,48.18,0,0,0,0,12.53,28.9,8.67,0,0,192.7,0,0,0,0,0,0,10.1,15.27,19.37,96.35,20.79,26.93,8.76,48.18,24.09,26.93,24.09,19.27,8.76,96.35,1244.9199999999996

20,04:45-05:00,0,0,0,0,0,0,0,0,48.18,0,0,26.27,0,14.45,76.71,0,163.8,0,0.53,26.27,44.32,26.27,0,0,81.9,48.18,0,0,0,0,12.53,28.9,8.67,0,0,192.7,0,0,0,0,0,0,10.1,15.27,19.37,96.35,20.79,26.93,8.76,48.18,24.09,26.93,24.09,19.27,8.76,96.35,1244.9199999999996

21,05:00-05:15,0,0,0,0,0,0,0,0,48.18,0,0,26.27,0,14.45,76.71,0,163.8,0,0.53,26.27,44.32,26.27,0,0,81.9,48.18,0,0,0,0,12.53,28.9,8.67,0,0,192.7,0,0,0,0,0,0,10.1,15.27,19.37,96.35,20.79,26.93,8.76,48.18,24.09,26.93,24.09,19.27,8.76,96.35,1244.9199999999996

22,05:15-05:30,0,0,0,0,0,0,0,0,48.18,0,0,26.27,0,14.45,76.71,0,163.8,0,0.53,26.27,44.32,26.27,0,0,81.9,48.18,0,0,0,0,12.53,28.9,8.67,0,0,192.7,0,0,0,0,0,0,10.1,15.27,19.37,96.35,20.79,26.93,8.76,48.18,24.09,26.93,24.09,19.27,8.76,96.35,1244.9199999999996

23,05:30-05:45,0,0,0,0,0,0,0,0,48.18,0,0,26.27,0,14.45,76.71,0,163.8,0,0.53,26.27,44.32,26.27,0,0,81.9,48.18,0,0,0,0,11.56,28.9,8.67,0,0,192.7,0,0,0,0,0,0,10.1,15.27,19.37,96.35,20.79,26.93,8.76,48.18,24.09,26.93,24.09,19.27,8.76,96.35,1243.9499999999996

24,05:45-06:00,0,0,0,0,0,0,0.49,0,48.18,0,0,26.27,0,14.45,76.71,0,163.8,0,0.53,26.27,44.32,26.27,0,0,81.9,48.18,0,0,0,0,11.56,28.9,8.67,0,0,192.7,0,0,0,0,0,0,10.1,15.27,19.37,96.35,20.79,26.93,8.76,48.18,24.09,26.93,24.09,19.27,8.76,96.35,1244.4399999999996

25,06:00-06:15,0,0,1,0,0,0,1.73,0,48.18,0,0,26.27,0,14.45,76.71,0,163.8,0,0.82,26.27,44.32,26.27,0,0,81.9,48.18,0,0,0,0,11.56,28.9,0,0,0,192.7,0,0,0,0,0,0,10.1,15.27,19.37,96.35,20.79,26.93,8.76,48.18,24.09,26.93,24.09,19.27,8.76,96.35,1238.2999999999995

26,06:15-06:30,0,0,4,0,0,0,2.96,0,48.18,0,0,26.27,0,14.45,76.71,0,163.8,0,0.82,26.27,44.32,26.27,0,0,81.9,48.18,0,0,0,0,11.56,28.9,0,0,0,192.7,0,0,0,0,0,0,10.1,15.27,19.37,96.35,20.79,26.93,8.76,48.18,24.09,26.93,24.09,19.27,8.76,96.35,1242.5299999999995

27,06:30-06:45,0,0.2,8,0,0.11,0.05,4.19,0,48.18,0,0,26.27,0,14.45,76.71,0,163.8,0,0.82,26.27,44.32,26.27,0,0,81.9,48.18,0,0,0,0,11.56,28.9,0,0,0,192.7,0,0,0,0,0,0.84,10.1,15.27,19.37,96.35,20.79,26.93,8.76,48.18,24.09,26.93,24.09,19.27,8.76,96.35,1248.9599999999996

28,06:45-07:00,0,0.32,14,0,0.15,0.08,5.43,0,48.18,0,0,26.27,0,14.45,76.71,0,163.8,0,0.82,26.27,44.32,26.27,0,0,81.9,48.18,0,0,0,0,11.56,28.9,0,0,0,192.7,0,0,0,0,0,1.38,10.1,15.27,19.37,96.35,20.79,26.93,8.76,48.18,24.09,26.93,24.09,19.27,8.76,96.35,1256.9299999999994

29,07:00-07:15,0,0.39,18,0,0.19,0.19,8.51,0,48.18,0,0,26.27,0,14.45,76.71,0,163.8,0,0.87,26.27,44.32,26.27,0,0,81.9,48.18,0,0,0,0,11.56,28.9,0,0,0,192.7,0,0,0,0,0,1.98,10.1,15.27,19.37,96.35,20.79,26.93,8.76,48.18,24.09,26.93,24.09,19.27,8.76,96.35,1264.8799999999997

30,07:15-07:30,0,0.39,25,0,0.19,0.19,11.59,0,48.18,0,0,26.27,0,14.45,76.71,0,163.8,0,0.87,26.27,44.32,26.27,0,0,81.9,48.18,0,0,0,0,11.56,28.9,0,0,0,192.7,0,0,0,0,0,2.98,10.1,15.27,19.37,96.35,20.79,26.93,8.76,48.18,24.09,26.93,24.09,19.27,8.76,96.35,1275.9599999999996

31,07:30-07:45,0,0.39,32,0,0.19,0.19,14.68,0,48.18,0,0,26.27,0,14.45,76.71,0,163.8,0,0.87,26.27,44.32,26.27,0,0,81.9,48.18,0,0,0,0,11.56,28.9,0,0,0,192.7,0,0,0,0,0,3.86,10.1,15.27,19.37,96.35,20.79,26.93,8.76,48.18,24.09,26.93,24.09,19.27,8.76,96.35,1286.9299999999998

32,07:45-08:00,0.04,0.48,39,0.03,0.29,0.19,17.76,0.02,48.18,0,0,26.27,0,14.45,76.71,0,163.8,0,0.87,26.27,44.32,26.27,0,0,81.9,48.18,0,0,0,0,11.56,28.9,0,0,0,192.7,0,0,0,0,0,5.26,10.1,15.27,19.37,96.35,20.79,26.93,8.76,48.18,24.09,26.93,24.09,19.27,8.76,96.35,1298.6899999999996

33,08:00-08:15,0.15,0.48,46,0.12,0.29,0.19,26.4,0.11,48.18,0,0,26.27,0,14.45,76.71,0,163.8,0,0.96,26.27,44.32,26.27,0,0,81.9,48.18,0,0,0,0,11.56,28.9,0,0,0,192.7,0,0,0,1.64,1.16,6.2,10.1,15.27,19.37,96.35,20.79,26.93,8.76,48.18,24.09,26.93,24.09,19.27,8.76,96.35,1318.4499999999998

34,08:15-08:30,0.28,0.48,53,0.22,0.29,0.19,30.86,0.18,48.18,0,0,26.27,0,14.45,76.71,0,163.8,0,0.96,26.27,44.32,26.27,0,0,81.9,48.18,0,0,0,0,11.56,28.9,0,0,0,192.7,0,0,0,1.64,1.16,8.55,10.1,15.27,19.37,96.35,20.79,26.93,8.76,48.18,24.09,26.93,24.09,19.27,8.76,96.35,1332.5599999999995

35,08:30-08:45,0.39,0.48,56,0.3,0.29,0.19,35.33,0.25,48.18,0,0,26.27,0,14.45,76.71,0,163.8,0,0.96,26.27,44.32,26.27,0,0,81.9,48.18,0,0,0,0,13.49,28.9,0,0,0,192.7,0,0,0,1.64,1.16,5.89,10.1,15.27,19.37,96.35,20.79,18.48,8.76,48.18,24.09,18.48,24.09,19.27,8.76,96.35,1322.6599999999996

36,08:45-09:00,0.46,0.48,63,0.33,0.29,0.19,39.79,0.33,48.18,0,0,26.27,0,14.45,76.71,0,163.8,0,0.96,26.27,44.32,26.27,0,0,81.9,48.18,0,0,0,0,13.49,28.9,0,0,0,192.7,0,0,0,1.64,1.16,5.89,10.1,15.27,19.37,96.35,20.79,18.48,8.76,48.18,24.09,18.48,24.09,19.27,8.76,96.35,1334.2999999999995

37,09:00-09:15,0.57,0.48,74,0.46,0.29,0.19,46.58,0.4,0,0,0,0,0,14.45,0,0,0,0,0.96,0,26.23,0,43.79,43.79,81.9,0,37.23,0,48.18,48.18,13.49,192.7,0,0,0,192.7,76.71,18.09,0,1.64,1.16,5.89,10.1,15.27,19.37,96.35,20.79,18.53,8.76,48.18,24.09,18.53,24.09,19.27,8.76,96.35,1398.4999999999995

38,09:15-09:30,0.66,0.48,84,0.52,0.29,0.19,53.37,0.45,0,0,0,0,0,14.45,0,0,0,0,0.96,0,26.23,0,43.79,43.79,81.9,0,37.23,0,48.18,48.18,13.49,192.7,0,0,0,192.7,76.71,18.09,0,1.64,1.16,6.87,10.1,15.27,19.37,96.35,20.79,18.53,8.76,48.18,24.09,18.53,24.09,19.27,8.76,96.35,1416.4699999999996

39,09:30-09:45,0.41,0.13,91,0.33,0.08,0.05,60.16,0.29,0,0,0,0,0,14.45,0,0,0,0,0.96,0,26.23,0,43.79,43.79,81.9,0,37.23,0,48.18,48.18,13.49,192.7,0,0,0,192.7,76.71,18.09,0,1.64,1.16,6.87,10.1,15.27,19.37,96.35,20.79,18.53,8.76,48.18,24.09,18.53,24.09,19.27,8.76,96.35,1428.9599999999996

40,09:45-10:00,0.4,0.15,102,0.32,0.1,0.06,66.2,0.28,0,0,0,0,0,14.45,0,0,0,0,0.96,0,26.23,0,43.79,43.79,81.9,0,37.23,0,48.18,48.18,13.49,192.7,0,0,0,192.7,76.71,18.09,0,1.64,1.16,7.84,10.1,15.27,19.37,96.35,20.79,18.53,8.76,48.18,24.09,18.53,24.09,19.27,8.76,96.35,1446.9899999999996

41,10:00-10:15,0.38,0,116,0.3,0,0,70.8,0.26,0,0,0,0,0,14.45,0,0,0,0,0.96,0,26.23,0,43.79,43.79,81.9,0,37.23,0,48.18,48.18,13.49,192.7,0,0,0,192.7,76.71,18.09,1.45,1.64,1.16,7.84,10.1,15.27,15.49,96.35,20.79,18.53,8.76,48.18,24.09,18.53,24.09,19.27,8.76,96.35,1462.7899999999997

42,10:15-10:30,0.57,0.02,126,0.45,0.01,0.01,75.37,0.4,0,0,0,0,0,14.45,0,0,0,0,0.96,0,26.23,0,43.79,43.79,81.9,0,37.23,0,48.18,48.18,13.49,192.7,0,0,0,192.7,76.71,18.09,1.45,1.64,1.16,7.84,10.1,15.27,15.49,96.35,20.79,18.53,8.76,48.18,24.09,18.53,24.09,19.27,8.76,96.35,1477.8799999999997

43,10:30-10:45,0.4,0.18,126,0.28,0.12,0.08,71.93,0.39,0,0,0,0,0,14.45,0,0,0,0,0.96,0,26.23,0,43.79,43.79,81.9,0,37.23,0,48.18,48.18,13.49,192.7,0,0,0,192.7,76.71,18.09,1.45,1.64,1.16,11.55,10.1,15.27,15.49,96.35,20.79,18.53,8.76,48.18,24.09,18.53,24.09,19.27,8.76,96.35,1478.1399999999996

44,10:45-11:00,0.36,0.03,133,0.48,0.02,0.01,76.03,0.39,0,0,0,0,0,14.45,0,0,0,0,0.96,0,26.23,0,43.79,43.79,81.9,0,37.23,0,48.18,48.18,13.49,192.7,0,0,0,192.7,76.71,18.09,1.45,1.64,1.16,12.83,10.1,15.27,15.49,96.35,20.79,18.53,8.76,48.18,24.09,18.53,24.09,19.27,8.76,96.35,1490.3599999999997

45,11:00-11:15,0,0.13,126,0.48,0.08,0.06,65.21,0.39,0,0,0,0,0,14.45,0,0,0,0,0.96,0,26.23,0,43.79,43.79,81.9,0,37.23,0,48.18,48.18,13.49,192.7,0,0,0,192.7,76.71,18.09,1.45,1.64,1.16,14.11,10.1,15.27,15.49,96.35,20.79,18.53,8.76,48.18,24.09,18.53,24.09,19.27,8.76,96.35,1473.6699999999996

46,11:15-11:30,0.67,0.22,126,0.48,0.13,0.19,68.11,0.39,0,0,0,0,0,14.45,0,0,0,0,0.96,0,26.23,0,43.79,43.79,81.9,0,37.23,0,48.18,48.18,13.49,192.7,0,0,0,192.7,76.71,18.09,1.45,1.64,1.16,15.55,10.1,15.27,15.49,96.35,20.79,18.53,8.76,48.18,24.09,18.53,24.09,19.27,8.76,96.35,1478.9499999999998

47,11:30-11:45,0.67,0.22,119,0.48,0.13,0.19,77.88,0.39,0,0,0,0,0,14.45,0,0,0,0,0.96,0,26.23,0,43.79,43.79,81.9,0,37.23,0,48.18,48.18,13.49,192.7,0,0,0,192.7,76.71,18.09,1.45,1.64,1.16,16.93,10.1,15.27,15.49,96.35,20.79,18.53,8.76,48.18,24.09,18.53,24.09,19.27,8.76,96.35,1483.1

48,11:45-12:00,0.67,0.32,119,0.48,0.19,0.19,83.88,0.39,0,0,0,0,0,14.45,0,0,0,0,0.96,0,26.23,0,43.79,43.79,81.9,0,37.23,0,48.18,48.18,13.49,192.7,0,0,0,192.7,76.71,18.09,1.45,1.64,1.16,18.21,10.1,15.27,15.49,96.35,20.79,18.53,8.76,48.18,24.09,18.53,24.09,19.27,8.76,96.35,1490.5399999999997

49,12:00-12:15,0.67,0.32,119,0.48,0.19,0.19,78.33,0.39,0,0,0,0,0,14.45,0,0,0,0,0.96,0,26.23,0,43.79,43.79,81.9,0,37.23,0,48.18,48.18,13.49,192.7,0,0,0,192.7,76.71,18.09,1.45,1.64,1.16,19.4,10.1,15.27,19.55,96.35,20.79,18.73,8.76,48.18,24.09,18.73,24.09,19.27,8.76,96.35,1490.6399999999999

50,12:15-12:30,0.67,0.32,119,0.48,0.19,0.19,79.33,0.39,0,0,0,0,0,14.45,0,0,0,0,0.96,0,26.23,0,43.79,43.79,81.9,0,37.23,0,48.18,48.18,13.49,192.7,0,0,0,192.7,76.71,18.09,1.45,1.64,1.16,19.69,10.1,15.27,19.55,96.35,20.79,18.73,8.76,48.18,24.09,18.73,24.09,19.27,8.76,96.35,1491.9299999999998

