Column1,Block,NR/2025/27317/C,NR/2025/27405/C,NR/2025/27323/C,NR/2025/26082/A/75160,NR/2025/26101/A/74865,NR/2025/26822/A/75172,NR/2025/26233/A/75179,NR/2025/27149/A/74800,NR/2025/26005/A/74708,NR/2025/26879/A/74824,NR/2025/26291/A/75176,NR/2025/25861/A/75134,NR/2025/26827/A/75168,NR/2025/25967/A/75141,NR/2025/27398/C,NR/2025/27370/C,NR/2025/26289/A/75177,GNA/NR/2025/05/01/4138,NR/2025/27406/C,NR/2025/26336/A/74826,NR/2025/27319/C,NR/2025/27408/C,NR/2025/27318/C,NR/2025/27412/C,NR/2025/26265/A/75178,NR/2025/26004/A/74705,NR/2025/27396/C,NR/2025/27413/C,NR/2025/26085/A/74614,NR/2025/27397/C,NR/2025/27341/C,NR/2025/26959/A/74802,NR/2025/25860/A/75133,NR/2025/27320/C,NR/2025/26202/A/75158,NR/2025/25859/A/75132,NR/2025/27316/C,NR/2025/27322/C,NR/2025/27382/C,NR/2025/26191/A/74702,NR/2025/26828/A/75201,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/7791,NR/30092023/26122029/SH-06,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/9252,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/9395,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/16/9317,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/3877,NR/2025/26829/A/75167,NR/2025/26785/A/74676,NR/2025/26232/A/75180,NR/2025/26153/A/74677,NR/2025/26825/A/75169,NR/2025/26379/A/75140,NR/2025/27409/C,NR/2025/27410/C,NR/2025/26335/A/74825,GNARE/NR/2024/12/20/3668,NR/2025/26755/A/74674,Total
3,00:30-00:45,0,0,0,47.33,0,8.78,4.83,1.93,48.3,33.81,24.15,0,26.34,164.22,0,0,48.3,0,0,111.09,0,0,0,96.6,96.6,48.3,0,88.6,0.77,98.68,0,6.76,0,0,96.6,0,0,0,204.79,48.3,8.78,67.62,0,0,20.53,14.49,13.52,0,17.56,14.49,0,0,13.68,28.98,82.11,5.8,164.22,10.63,28.98,26.34,0,4.83,62.79,26.34,164.22,0,0,0,0,0,2080.99

4,00:45-01:00,0,0,0,47.33,0,8.78,4.83,1.93,48.3,33.81,24.15,0,26.34,164.22,0,0,48.3,0,0,111.09,0,0,0,96.6,96.6,48.3,0,88.6,0.77,98.68,0,6.76,0,0,96.6,0,0,0,175.81,48.3,8.78,67.62,0,0,20.53,14.49,13.52,0,17.56,14.49,0,0,13.68,28.98,82.11,5.8,164.22,10.63,28.98,26.34,0,4.83,62.79,26.34,164.22,0,0,0,0,0,2052.0099999999998

5,01:00-01:15,0,0,0,47.33,0,8.78,4.83,1.93,48.3,33.81,24.15,0,26.34,164.22,0,0,48.3,0,0,111.09,0,0,0,96.6,96.6,48.3,0,88.6,0.68,98.68,0,6.76,0,0,96.6,0,0,0,175.81,48.3,8.78,67.62,0,0,20.53,14.49,13.52,0,17.56,14.49,0,0,13.22,28.98,82.11,5.8,164.22,10.63,28.98,26.34,0,4.83,62.79,26.34,164.22,0,0,0,0,0,2051.4599999999996

6,01:15-01:30,0,0,0,47.33,0,8.78,4.83,1.93,48.3,33.81,24.15,0,26.34,164.22,0,0,48.3,0,0,111.09,0,0,0,96.6,96.6,48.3,0,88.6,0.68,98.68,0,6.76,0,0,96.6,0,0,0,175.81,48.3,8.78,67.62,0,0,20.53,14.49,13.52,0,17.56,14.49,0,0,13.22,28.98,82.11,5.8,164.22,10.63,28.98,26.34,0,4.83,62.79,26.34,164.22,0,0,0,0,0,2051.4599999999996

7,01:30-01:45,0,0,0,47.33,0,8.78,4.83,1.93,48.3,33.81,24.15,0,26.34,164.22,0,0,48.3,0,0,111.09,0,0,0,96.6,96.6,48.3,0,88.6,0.68,98.68,0,6.76,0,0,96.6,0,0,0,175.81,48.3,8.78,67.62,0,26.5,20.53,14.49,13.52,26.5,17.56,14.49,0,0,13.22,28.98,82.11,5.8,164.22,10.63,28.98,26.34,0,4.83,62.79,26.34,164.22,0,0,0,0,0,2104.4599999999996

8,01:45-02:00,0,0,0,47.33,0,8.78,4.83,1.93,48.3,33.81,24.15,0,26.34,164.22,0,0,48.3,0,0,111.09,0,0,0,96.6,96.6,48.3,0,88.6,0.68,98.68,0,6.76,0,0,96.6,0,0,0,96.6,48.3,8.78,67.62,0,26.5,20.53,14.49,13.52,26.5,17.56,14.49,0,0,13.22,28.98,82.11,5.8,164.22,10.63,28.98,26.34,0,4.83,62.79,26.34,164.22,0,0,0,0,0,2025.2499999999995

9,02:00-02:15,0,0,0,47.33,0,8.78,4.83,1.93,48.3,33.81,24.15,0,26.34,164.22,0,0,48.3,0,0,111.09,0,0,0,96.6,0,48.3,0,88.6,0.63,98.68,0,6.76,0,0,96.6,0,0,0,96.6,48.3,8.78,0,0,26.5,20.53,0,13.52,26.5,17.56,14.49,96.6,0,13.03,0,82.11,0,164.22,10.63,28.98,26.34,0,4.83,62.79,26.34,164.22,0,0,0,0,0,1908.1199999999997

10,02:15-02:30,0,0,0,47.33,0,8.78,4.83,1.93,48.3,33.81,24.15,0,26.34,164.22,0,0,48.3,0,0,111.09,0,0,0,96.6,0,48.3,0,88.6,0.63,98.68,0,6.76,0,0,96.6,0,0,0,96.6,48.3,8.78,0,0,26.5,20.53,0,13.52,26.5,17.56,14.49,96.6,0,13.03,0,82.11,0,164.22,10.63,28.98,26.34,0,4.83,62.79,26.34,164.22,0,0,0,0,0,1908.1199999999997

11,02:30-02:45,0,0,0,47.33,0,8.78,4.83,1.93,48.3,33.81,24.15,0,26.34,164.22,0,0,48.3,0,0,111.09,0,0,0,96.6,0,48.3,0,88.6,0.63,98.68,0,6.76,0,0,96.6,0,0,0,96.6,48.3,8.78,0,0,26.5,20.53,0,13.52,26.5,17.56,14.49,96.6,0,13.03,0,82.11,0,164.22,10.63,28.98,26.34,0,4.83,62.79,26.34,164.22,0,0,0,0,0,1908.1199999999997

12,02:45-03:00,0,0,0,47.33,0,8.78,4.83,1.93,48.3,33.81,24.15,0,26.34,164.22,0,0,48.3,0,0,111.09,0,0,0,96.6,0,48.3,0,88.6,0.63,98.68,0,6.76,0,0,96.6,0,0,0,48.3,48.3,8.78,0,0,26.5,20.53,0,13.52,26.5,17.56,14.49,96.6,0,13.03,0,82.11,0,164.22,10.63,28.98,26.34,0,4.83,62.79,26.34,164.22,0,0,0,0,0,1859.8199999999997

13,03:00-03:15,0,0,0,47.33,0,8.78,4.83,1.93,48.3,33.81,24.15,0,26.34,164.22,0,0,48.3,0,0,111.09,0,0,0,0,0,48.3,0,0,0.48,98.68,0,6.76,0,0,96.6,0,0,0,32.2,48.3,8.78,0,0,26.5,20.53,0,13.52,26.5,17.56,14.49,96.6,0,12.85,0,82.11,0,164.22,10.63,28.98,26.34,0,4.83,62.79,26.34,164.22,0,0,0,0,0,1658.1899999999996

14,03:15-03:30,0,0,0,47.33,0,8.78,4.83,1.93,48.3,33.81,24.15,0,26.34,164.22,0,0,48.3,0,0,111.09,0,0,0,0,0,48.3,0,0,0.48,98.68,0,6.76,0,0,96.6,0,0,0,32.2,48.3,8.78,0,0,26.5,20.53,0,13.52,26.5,17.56,14.49,96.6,0,12.85,0,82.11,0,164.22,10.63,28.98,26.34,0,4.83,62.79,26.34,164.22,0,0,0,0,0,1658.1899999999996

15,03:30-03:45,0,0,0,47.33,0,8.78,4.83,1.93,48.3,33.81,24.15,0,26.34,164.22,0,0,48.3,0,0,111.09,0,0,0,0,0,48.3,0,0,0.48,98.68,0,6.76,0,0,96.6,0,0,0,32.2,48.3,8.78,0,0,26.5,20.53,0,13.52,26.5,17.56,14.49,96.6,0,12.85,0,82.11,0,164.22,10.63,28.98,26.34,0,4.83,62.79,26.34,164.22,0,0,0,0,0,1658.1899999999996

16,03:45-04:00,0,0,0,47.33,0,8.78,4.83,1.93,48.3,33.81,24.15,0,26.34,164.22,0,0,48.3,0,0,111.09,0,0,0,0,0,48.3,0,0,0.48,98.68,0,6.76,0,0,96.6,0,0,0,32.2,48.3,8.78,0,0,26.5,20.53,0,13.52,26.5,17.56,14.49,96.6,0,12.85,0,82.11,0,164.22,10.63,28.98,26.34,0,4.83,62.79,26.34,164.22,0,0,0,0,0,1658.1899999999996

17,04:00-04:15,0,0,0,47.33,0,8.78,4.83,1.93,48.3,0,24.15,0,26.34,164.22,48.3,0,48.3,0,0,111.09,0,0,0,0,0,48.3,0,0,0.48,98.68,0,6.76,0,0,96.6,0,0,0,0,48.3,8.78,0,0,26.5,20.53,0,13.52,26.5,17.56,14.49,96.6,0,12.66,0,82.11,0,164.22,10.63,28.98,26.34,0,4.83,62.79,26.34,164.22,0,0,0,0,0,1640.2899999999997

18,04:15-04:30,0,0,0,47.33,0,8.78,4.83,1.93,48.3,0,24.15,0,26.34,164.22,48.3,0,48.3,0,0,111.09,0,0,0,0,0,48.3,0,0,0.48,98.68,0,6.76,0,0,96.6,0,0,0,0,48.3,8.78,0,0,26.5,20.53,0,13.52,26.5,17.56,14.49,96.6,0,12.66,0,82.11,0,164.22,10.63,28.98,26.34,0,4.83,62.79,26.34,164.22,0,0,0,0,0,1640.2899999999997

19,04:30-04:45,0,0,0,47.33,0,8.78,4.83,1.93,48.3,0,24.15,0,26.34,164.22,48.3,0,48.3,0,0,111.09,0,0,0,0,0,48.3,0,0,0.48,98.68,0,6.76,0,0,96.6,0,0,0,0,48.3,8.78,0,0,26.5,20.53,0,13.52,26.5,17.56,14.49,96.6,0,12.66,0,82.11,0,164.22,10.63,28.98,26.34,0,4.83,62.79,26.34,164.22,0,0,0,0,0,1640.2899999999997

20,04:45-05:00,0,0,0,47.33,0,8.78,4.83,1.93,48.3,0,24.15,0,26.34,164.22,48.3,0,48.3,0,0,111.09,0,0,0,0,0,48.3,0,0,0.48,98.68,0,6.76,0,0,96.6,0,0,0,0,48.3,8.78,0,0,26.5,20.53,0,13.52,26.5,17.56,14.49,96.6,0,12.66,0,82.11,0,164.22,10.63,28.98,26.34,0,4.83,62.79,26.34,164.22,0,0,0,0,0,1640.2899999999997

21,05:00-05:15,0,0,0,47.33,0,8.78,4.83,1.93,48.3,0,24.15,0,26.34,164.22,48.3,0,48.3,0,0,0,0,0,0,0,0,48.3,0,0,0.48,98.68,0,6.76,0,0,96.6,0,0,0,0,48.3,8.78,0,0,26.5,20.53,0,13.52,26.5,17.56,14.49,96.6,0,12.38,0,82.11,0,164.22,10.63,28.98,26.34,0,4.83,62.79,26.34,164.22,0,0,0,0,0,1528.9199999999998

22,05:15-05:30,0,0,0,47.33,0,8.78,4.83,1.93,48.3,0,24.15,0,26.34,164.22,48.3,0,48.3,0,0,0,0,0,0,0,0,48.3,0,0,0.48,98.68,0,6.76,0,0,96.6,0,0,0,0,48.3,8.78,0,0,26.5,20.53,0,13.52,26.5,17.56,14.49,96.6,0,12.38,0,82.11,0,164.22,10.63,28.98,26.34,0,4.83,62.79,26.34,164.22,0,0,0,0,0,1528.9199999999998

23,05:30-05:45,0,0,0,47.33,0,8.78,4.83,1.93,48.3,0,24.15,0,26.34,164.22,48.3,0,48.3,0,0,0,0,0,0,0,0,48.3,0,0,0.48,98.68,0,5.8,0,0,96.6,0,0,0,0,48.3,8.78,0,0,26.5,20.53,0,13.52,3,17.56,14.49,96.6,0,12.38,0,82.11,0,164.22,10.63,28.98,26.34,0,4.83,62.79,26.34,164.22,0,0,0,0,0,1504.4599999999998

24,05:45-06:00,0,0,0,47.33,0,8.78,4.83,1.93,48.3,0,24.15,0,26.34,164.22,48.3,0,48.3,0,0,0,0,0,0,0,0,48.3,0,0,0.48,98.68,0,5.8,0,0,96.6,0,0,0,0,48.3,8.78,0,0,26.5,20.53,0,13.52,3,17.56,14.49,96.6,0,12.38,0,82.11,0,164.22,10.63,28.98,26.34,0,4.83,62.79,26.34,164.22,0,0,0,0.07,0,1504.5299999999997

25,06:00-06:15,0,0,0,47.33,0,8.78,4.83,2.9,48.3,0,24.15,0,26.34,164.22,48.3,0,48.3,0,0,0,0,0,0,0,0,48.3,0,0,0.58,98.68,0,4.83,0,0,96.6,0,0,0,0,48.3,8.78,0,0,3,20.53,0,13.52,3,17.56,14.49,96.6,0,12.11,0,82.11,0,164.22,10.63,28.98,26.34,0,4.83,62.79,26.34,164.22,0,0,0.97,0.45,0,1482.2099999999998

26,06:15-06:30,0,0,0,47.33,0,8.78,4.83,2.9,48.3,0,24.15,0,26.34,164.22,48.3,0,48.3,0,0,0,0,0,0,0,0,48.3,0,0,0.58,98.68,0,4.83,0,0,96.6,0,0,0,0,48.3,8.78,0,0,3,20.53,0,13.52,3,17.56,14.49,96.6,0,12.11,0,82.11,0,164.22,10.63,28.98,26.34,0,4.83,62.79,26.34,164.22,0,0,3.86,0.83,0,1485.4799999999996

27,06:30-06:45,0,0,0,47.33,0,8.78,4.83,2.9,48.3,0,24.15,0,26.34,164.22,48.3,0,48.3,0,0,0,0,0,0,0,0,48.3,0,0,0.58,98.68,0,4.83,0,0,96.6,0,0,0,0,48.3,8.78,0,0,3,20.53,0,13.52,3,17.56,14.49,96.6,0,12.11,0,82.11,0,164.22,10.63,28.98,26.34,0,4.83,62.79,26.34,164.22,0,0,6.76,4.74,0,1492.2899999999997

28,06:45-07:00,0,0,0,47.33,0,8.78,4.83,2.9,48.3,0,24.15,0,26.34,164.22,48.3,0,48.3,0,0,0,0,0,0,0,0,48.3,0,0,0.58,98.68,0,4.83,0,0,96.6,0,0,0,0,48.3,8.78,0,0,3,20.53,0,13.52,3,17.56,14.49,96.6,0,12.11,0,82.11,0,164.22,10.63,28.98,26.34,0,4.83,62.79,26.34,164.22,0,0,13.52,7.76,0,1502.0699999999997

29,07:00-07:15,0,0,0,47.33,0,8.78,4.83,2.9,48.3,0,24.15,0,26.34,164.22,48.3,0,48.3,0,0,0,0,0,0,0,0,48.3,0,0,0.68,98.68,0,4.83,0,0,96.6,0,0,0,0,48.3,8.78,0,0,3,20.53,0,13.52,3,17.56,14.49,96.6,0,11.83,0,82.11,0,164.22,10.63,28.98,26.34,0,4.83,62.79,26.34,164.22,0,0,24.15,11.71,0,1516.47

30,07:15-07:30,0,0,0,47.33,0,8.78,4.83,2.9,48.3,0,24.15,0,26.34,164.22,48.3,0,48.3,0,0,0,0,0,0,0,0,48.3,0,0,0.68,98.68,0,4.83,0,0,96.6,0,0,0,0,48.3,8.78,0,0,3,20.53,0,13.52,3,17.56,14.49,96.6,0,11.83,0,82.11,0,164.22,10.63,28.98,26.34,0,4.83,62.79,26.34,164.22,0,0,33.81,16.82,0,1531.2399999999998

31,07:30-07:45,0,0,0,47.33,0,8.78,4.83,2.9,48.3,0,24.15,0,26.34,164.22,48.3,0,48.3,0,0,0,0,0,0,0,0,48.3,0,0,0.68,98.68,0,4.83,0,0,96.6,0,0,0,0,48.3,8.78,0,0,3,20.53,0,13.52,3,17.56,14.49,96.6,0,11.83,0,82.11,0,164.22,10.63,28.98,26.34,0,4.83,62.79,26.34,164.22,0,0,51.2,22.81,0,1554.62

32,07:45-08:00,0,0,0,47.33,0,8.78,4.83,2.9,48.3,0,24.15,0,26.34,164.22,48.3,0,48.3,0,0,0,0,0,0,0,0,48.3,0,0,0.68,98.68,0,4.83,0,0,96.6,0,0,0,0,48.3,8.78,0,0,3,20.53,0,13.52,3,17.56,14.49,96.6,0,11.83,0,82.11,0,164.22,10.63,28.98,26.34,0,4.83,62.79,26.34,164.22,0,0,64.72,29.46,0,1574.79

33,08:00-08:15,0,0,0,47.33,0,8.78,4.83,2.9,48.3,0,24.15,0,26.34,164.22,48.3,0,48.3,0,0,0,0,0,0,0,96.6,48.3,0,0,0.97,98.68,0,4.83,0,0,96.6,0,0,0,57.96,48.3,8.78,0,0,3,20.53,0,13.52,3,17.56,14.49,0,0,11.65,0,82.11,0,164.22,10.63,28.98,26.34,0,4.83,62.79,26.34,164.22,0,0,81.14,36.56,7.73,1664.11

34,08:15-08:30,0,0,0,47.33,0,8.78,4.83,2.9,48.3,0,24.15,0,26.34,164.22,48.3,0,48.3,0,0,0,0,0,0,0,96.6,48.3,0,0,0.97,98.68,0,4.83,0,0,96.6,0,0,0,57.96,48.3,8.78,0,0,3,20.53,0,13.52,3,17.56,14.49,0,0,11.65,0,82.11,0,164.22,10.63,28.98,26.34,0,4.83,62.79,26.34,164.22,0,0,94.67,43.69,7.73,1684.77

35,08:30-08:45,0,0,0,47.33,0,8.78,4.83,2.9,48.3,0,24.15,0,26.34,164.22,48.3,0,48.3,0,0,0,0,0,0,0,96.6,48.3,0,0,0.97,98.68,0,4.83,0,0,96.6,0,0,0,57.96,48.3,8.78,0,0,0,20.53,0,13.52,0,17.56,14.49,0,0,11.65,0,82.11,0,164.22,10.63,28.98,26.34,0,4.83,62.79,26.34,164.22,0,0,98.53,50.84,7.73,1689.7799999999997

36,08:45-09:00,0,0,0,47.33,0,8.78,4.83,2.9,48.3,0,24.15,0,26.34,164.22,48.3,0,48.3,0,0,0,0,0,0,0,96.6,48.3,0,0,0.97,98.68,0,4.83,0,0,96.6,0,0,0,57.96,48.3,8.78,0,0,0,20.53,0,13.52,0,17.56,14.49,0,0,11.65,0,82.11,0,164.22,10.63,28.98,26.34,0,4.83,62.79,26.34,164.22,0,0,112.06,57.98,7.73,1710.4499999999998

37,09:00-09:15,48.3,8.78,52.84,47.33,0,0,0,2.9,48.3,0,0,0,0,164.22,48.3,164.22,0,0,26.34,0,4.83,26.34,24.15,0,0,48.3,96.6,0,0.97,98.68,48.3,4.83,0,4.83,0,0,96.6,53.13,57.96,0,0,0,0,26.61,20.53,0,13.52,26.61,17.56,14.49,0,0,12.58,0,82.11,0,164.22,10.63,28.98,0,0,0,9.95,0,0,8.78,26.34,125.58,64.72,10.63,1840.8899999999999

38,09:15-09:30,48.3,8.78,52.84,47.33,0,0,0,2.9,48.3,0,0,0,0,164.22,48.3,164.22,0,0,26.34,0,4.83,26.34,24.15,0,0,48.3,96.6,0,0.97,98.68,48.3,4.83,0,4.83,0,0,96.6,53.13,122.36,0,0,0,0,26.61,20.53,0,13.52,26.61,17.56,14.49,0,0,12.58,0,82.11,0,164.22,10.63,28.98,0,0,0,9.95,0,0,8.78,26.34,135.24,70.82,10.63,1921.0499999999997

39,09:30-09:45,48.3,8.78,52.84,47.33,0,0,0,2.9,48.3,0,0,0,0,164.22,48.3,164.22,0,0,26.34,0,4.83,26.34,24.15,0,0,48.3,96.6,0,0.97,98.68,48.3,4.83,0,4.83,0,0,96.6,53.13,122.36,0,0,0,0,26.61,20.53,0,13.52,26.61,17.56,14.49,0,0,12.58,0,82.11,0,164.22,10.63,28.98,0,0,0,9.95,0,0,8.78,26.34,145.87,76.72,10.63,1937.5799999999997

40,09:45-10:00,48.3,8.78,52.84,47.33,0,0,0,2.9,48.3,0,0,0,0,164.22,48.3,164.22,0,0,26.34,0,4.83,26.34,24.15,0,0,48.3,96.6,0,0.97,98.68,48.3,4.83,0,4.83,0,0,96.6,53.13,122.36,0,0,0,0,26.61,20.53,0,13.52,26.61,17.56,14.49,0,0,12.58,0,82.11,0,164.22,10.63,28.98,0,0,0,9.95,0,0,8.78,26.34,155.53,82.22,10.63,1952.7399999999998

