Time,Block,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/19699/A/24391,NR/2024/20557/A/24383,NR/2024/19919/A/24377,NR/2024/20554/A/23910,NR/2024/19475/A/24317,NR/2024/20524/A/24401,NR/2024/20037/A/24030,NR/2024/21205/C,NR/2024/20560/A/24379,NR/2024/20597/A/24357,NR/2024/20144/A/24070,NR/2024/19918/A/24380,NR/01062024/30062024/1000011195-SIEL-BRPL(DISCOM),NR/2024/19978/A/24382,NR/2024/19637/A/24058,NR/2024/21182/C,NR/2024/19355/A/24371,NR/2024/21203/C,NR/2024/20572/A/24378,NR/2024/21020/A/24059,NR/01062024/30062024/8588/OAN/GMRETL/GPHHPPL-BRPL,NR/30092023/26122029/SH-06,NR/2024/20142/A/24071,NR/2024/20553/A/23921,NR/2024/20599/A/24026,NR/20062024/30062024/1000011400-GOHP-BRPL(DISCOM),NR/01062024/30062024/APPCPL/180/F25/GNA/12300,NR/01062024/30062024/IIPL/(JPL(TM)-BRPL)/BRPLT-169/24-25/1,NR/2024/19683/A/23960,NR/2024/19432/A/24393,NR/2024/20211/A/24073,NR/2024/20130/A/24087,NR/01062024/30062024/IEPL01,NR/2024/20537/A/24338,NR/2024/20048/A/24359,NR/2024/20552/A/23923,NR/2024/20558/A/24381,NR/2024/20513/A/24077,NR/2024/19791/A/24384,NR/01062024/30062024/1000011034-ACBL-BRPL,NR/2024/21181/C,NR/2024/21211/C,NR/2024/20109/A/24369,NR/2024/19642/A/24457,NR/2024/19640/A/24454,NR/2024/20050/A/24358,NR/01062024/30062024/R2,NR/01062024/30062024/NDMC/D-46/EE(Power)/2024,NR/28062024/28062024/IEX_240627_01332,NR/2024/20516/A/24075,NR/2024/19779/A/23948,NR/2024/21215/C,NR/2024/19988/A/24032,NR/2024/19966/A/24044,NR/2024/19760/A/24035,NR/2024/20598/A/24024,NR/2024/20515/A/24076,NR/2024/20777/A/24022,NR/2024/20540/A/23788,NR/30092023/31122025/SH-07,NR/16062024/30062024/1000011196-KWHPS-BRPL(DISCOM),NR/2024/20090/A/23928,NR/2024/19588/A/24089,NR/2024/20141/A/24072,NR/01062024/30062024/1000011017-PPGCL-BRPL,NR/01062024/30062024/JPL-BRPL(PTC)GNA,NR/2024/20212/A/24074,NR/2024/19757/A/24388,NR/2024/20041/A/24360,NR/01102023/23072042/L_NR_2012_04,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,NR/2024/21180/C,Total
12,02:45-03:00,0.000000,48.240000,10.960000,308.700000,0.000000,192.940000,0.000000,72.350000,86.820000,32.890000,0.000000,0.880000,13.510000,48.240000,84.100000,0.000000,17.360000,96.470000,86.820000,32.890000,1.930000,24.120000,32.000000,0.520000,0.000000,0.000000,67.530000,38.590000,24.120000,1.930000,24.120000,1.590000,0.480000,38.590000,0.000000,36.180000,0.000000,32.890000,0.680000,64.710000,24.120000,168.580000,0.000000,241.180000,11.720000,90.680000,108.530000,24.120000,21.750000,0.000000,0.970000,0.530000,0.000000,96.470000,0.000000,0.000000,0.000000,0.880000,0.000000,7.720000,32.000000,0.000000,1.930000,66.750000,0.350000,15.710000,48.240000,0.610000,48.600000,0.000000,0.000000,0,0,0,2534.59

13,03:00-03:15,0.000000,48.240000,10.960000,308.700000,0.000000,192.940000,0.000000,72.350000,86.820000,32.890000,0.000000,0.880000,13.510000,48.240000,84.100000,0.000000,17.360000,96.470000,86.820000,32.890000,2.890000,24.120000,32.000000,0.520000,0.000000,0.000000,67.530000,0.000000,24.120000,1.930000,24.120000,1.590000,0.480000,38.590000,57.880000,36.180000,0.000000,32.890000,0.680000,64.710000,24.120000,168.580000,0.000000,183.290000,11.720000,90.680000,108.530000,24.120000,21.750000,0.000000,0.970000,0.480000,0.000000,96.470000,0.000000,0.000000,0.000000,0.880000,0.000000,6.750000,32.000000,0.000000,1.930000,66.750000,0.350000,15.710000,48.240000,0.610000,48.600000,0.000000,0.000000,0,0,0,2495.93

14,03:15-03:30,0.000000,48.240000,10.960000,308.700000,0.000000,192.940000,0.000000,72.350000,86.820000,32.890000,0.000000,0.880000,13.510000,48.240000,84.100000,0.000000,17.360000,96.470000,86.820000,32.890000,2.890000,24.120000,32.000000,0.520000,0.000000,0.000000,67.530000,0.000000,24.120000,1.930000,24.120000,1.590000,0.480000,38.590000,57.880000,36.180000,0.000000,32.890000,0.680000,64.710000,24.120000,168.580000,0.000000,183.290000,11.720000,90.680000,108.530000,24.120000,21.750000,0.000000,0.970000,0.480000,0.000000,96.470000,0.000000,0.000000,0.000000,0.880000,0.000000,6.750000,32.000000,0.000000,1.930000,66.750000,0.350000,15.710000,48.240000,0.610000,48.600000,0.000000,0.000000,0,0,0,2495.93

15,03:30-03:45,0.000000,48.240000,10.960000,308.700000,0.000000,192.940000,0.000000,72.350000,86.820000,32.890000,0.000000,0.880000,13.510000,48.240000,84.100000,0.000000,17.360000,96.470000,86.820000,32.890000,2.890000,24.120000,26.540000,0.520000,0.000000,0.000000,67.530000,0.000000,24.120000,1.930000,24.120000,1.590000,0.480000,38.590000,57.880000,36.180000,0.000000,32.890000,0.680000,64.710000,24.120000,168.580000,0.000000,183.290000,11.720000,90.680000,108.530000,24.120000,21.750000,0.000000,0.970000,0.480000,0.000000,96.470000,0.000000,0.000000,0.000000,0.880000,0.000000,6.750000,26.540000,0.000000,1.930000,66.750000,0.350000,15.710000,48.240000,0.610000,48.600000,0.000000,0.000000,0,0,0,2485.01

16,03:45-04:00,0.000000,48.240000,10.960000,308.700000,0.000000,192.940000,0.000000,72.350000,86.820000,32.890000,0.000000,0.880000,13.510000,48.240000,84.100000,0.000000,17.360000,96.470000,86.820000,32.890000,2.890000,24.120000,26.540000,0.520000,0.000000,0.000000,67.530000,0.000000,24.120000,1.930000,24.120000,1.590000,0.480000,38.590000,57.880000,36.180000,0.000000,32.890000,0.680000,64.710000,24.120000,168.580000,0.000000,183.290000,11.720000,90.680000,108.530000,24.120000,21.750000,0.000000,0.970000,0.480000,0.000000,96.470000,0.000000,0.000000,0.000000,0.880000,0.000000,6.750000,26.540000,0.000000,1.930000,66.750000,0.350000,15.710000,48.240000,0.610000,48.600000,0.000000,0.000000,0,0,0,2485.01

17,04:00-04:15,0.000000,48.240000,10.960000,308.700000,0.000000,192.940000,0.000000,72.350000,86.820000,32.890000,0.000000,0.880000,13.510000,48.240000,84.100000,0.000000,17.360000,96.470000,86.820000,32.890000,2.890000,24.120000,26.540000,0.520000,0.000000,0.000000,67.530000,0.000000,24.120000,1.930000,24.120000,1.590000,0.480000,38.590000,57.880000,36.180000,0.000000,32.890000,0.680000,64.710000,24.120000,168.580000,0.000000,183.290000,11.720000,90.680000,108.530000,24.120000,21.750000,0.000000,0.970000,0.480000,0.000000,96.470000,0.000000,0.000000,0.000000,0.880000,0.000000,6.750000,26.540000,0.000000,1.930000,66.750000,0.350000,15.710000,48.240000,0.610000,48.600000,0.000000,0.000000,0,0,0,2485.01

18,04:15-04:30,0.000000,48.240000,10.960000,308.700000,0.000000,192.940000,0.000000,72.350000,86.820000,32.890000,0.000000,0.880000,13.510000,48.240000,84.100000,0.000000,17.360000,96.470000,86.820000,32.890000,2.890000,24.120000,26.540000,0.520000,0.000000,0.000000,67.530000,0.000000,24.120000,1.930000,24.120000,1.590000,0.480000,38.590000,57.880000,36.180000,0.000000,32.890000,0.680000,64.710000,24.120000,168.580000,0.000000,183.290000,11.720000,90.680000,108.530000,24.120000,21.750000,0.000000,0.970000,0.480000,0.000000,96.470000,0.000000,0.000000,0.000000,0.880000,0.000000,6.750000,26.540000,0.000000,1.930000,66.750000,0.350000,15.710000,48.240000,0.610000,48.600000,0.000000,0.000000,0,0,0,2485.01

19,04:30-04:45,0.000000,48.240000,10.960000,308.700000,0.000000,192.940000,0.000000,72.350000,86.820000,32.890000,0.000000,0.880000,13.510000,48.240000,84.100000,0.000000,17.360000,96.470000,86.820000,32.890000,2.890000,24.120000,32.000000,0.520000,0.000000,0.000000,67.530000,0.000000,24.120000,1.930000,24.120000,1.590000,0.480000,38.590000,57.880000,36.180000,0.000000,32.890000,0.680000,64.710000,24.120000,168.580000,0.000000,183.290000,11.720000,90.680000,108.530000,24.120000,21.750000,0.000000,0.970000,0.480000,0.000000,96.470000,0.000000,0.000000,0.000000,0.880000,0.000000,6.750000,25.860000,0.000000,1.930000,66.750000,0.350000,15.710000,48.240000,0.610000,48.600000,0.000000,0.000000,0,0,0,2489.79

20,04:45-05:00,0.000000,48.240000,10.960000,308.700000,0.000000,192.940000,0.000000,72.350000,86.820000,32.890000,0.000000,0.880000,13.510000,48.240000,84.100000,0.000000,17.360000,96.470000,86.820000,32.890000,2.890000,24.120000,32.000000,0.520000,0.000000,0.000000,67.530000,0.000000,24.120000,1.930000,24.120000,1.590000,0.480000,38.590000,57.880000,36.180000,0.000000,32.890000,0.680000,64.710000,24.120000,168.580000,0.000000,183.290000,11.720000,90.680000,108.530000,24.120000,21.750000,0.000000,0.970000,0.480000,0.000000,96.470000,0.000000,0.000000,0.000000,0.880000,0.000000,6.750000,25.860000,0.000000,1.930000,66.750000,0.350000,15.710000,48.240000,0.610000,48.600000,0.000000,0.000000,0,0,0,2489.79

21,05:00-05:15,0.000000,48.240000,10.960000,73.320000,0.000000,192.940000,0.000000,72.350000,86.820000,32.890000,0.000000,0.880000,13.510000,48.240000,84.100000,0.000000,24.120000,96.470000,86.820000,32.890000,2.890000,24.120000,32.000000,0.520000,0.000000,0.000000,67.530000,0.000000,24.120000,1.930000,24.120000,1.590000,0.480000,38.590000,57.880000,36.180000,0.000000,32.890000,0.680000,64.710000,24.120000,168.580000,0.000000,183.290000,11.720000,90.680000,108.530000,24.120000,21.750000,0.000000,0.970000,0.530000,0.000000,96.470000,0.000000,0.000000,0.000000,0.880000,0.000000,6.750000,25.860000,0.000000,1.930000,66.750000,0.350000,24.120000,48.240000,0.610000,48.600000,0.000000,0.000000,0,0,0,2269.63

22,05:15-05:30,0.000000,48.240000,10.960000,73.320000,0.000000,192.940000,0.000000,72.350000,86.820000,32.890000,0.000000,0.880000,13.510000,48.240000,84.100000,0.000000,24.120000,96.470000,86.820000,32.890000,2.890000,24.120000,32.000000,0.520000,0.000000,0.000000,67.530000,0.000000,24.120000,1.930000,24.120000,1.590000,0.480000,38.590000,57.880000,36.180000,0.000000,32.890000,0.680000,64.710000,24.120000,168.580000,0.000000,183.290000,11.720000,90.680000,108.530000,24.120000,21.750000,0.000000,0.970000,0.530000,0.000000,96.470000,0.000000,0.000000,0.000000,0.880000,0.000000,6.750000,25.860000,0.000000,1.930000,66.750000,0.350000,24.120000,48.240000,0.610000,48.600000,0.000000,0.000000,0,0,0,2269.63

23,05:30-05:45,0.000000,48.240000,10.960000,73.320000,0.000000,192.940000,0.000000,72.350000,86.820000,32.890000,0.000000,0.880000,13.510000,48.240000,84.100000,0.000000,24.120000,96.470000,86.820000,32.890000,2.890000,24.120000,32.000000,0.520000,0.000000,0.000000,67.530000,0.000000,24.120000,1.930000,24.120000,1.590000,0.480000,38.590000,57.880000,36.180000,0.000000,32.890000,0.680000,64.710000,24.120000,168.580000,0.000000,183.290000,11.720000,90.680000,108.530000,24.120000,21.750000,0.000000,0.970000,0.530000,0.000000,96.470000,0.000000,0.000000,0.000000,0.880000,0.000000,6.750000,25.860000,0.000000,1.930000,66.750000,0.350000,24.120000,48.240000,0.610000,48.600000,0.000000,0.000000,0,0,0,2269.63

