Time,Block,NR/2023/14732/D,NR/2023/13983/F,NR/2023/13283/A,NR/2023/11204/A,NR/2023/11458/A,NR/2023/11892/A,NR/2023/11524/A,NR/2023/13858/A,NR/2023/13573/A,NR/2023/11654/A,NR/2023/14735/D,NR/2023/11521/A,NR/2023/11315/A,NR/2023/11954/A,NR/2023/11205/A,NR/2023/13573/A/II,NR/2023/12646/A,NR/2023/14756/C,NR/2023/14733/D,NR/2023/14136/F,NR/2023/11325/A,ER/2023/9024/C,NR/2023/11739/A,NR/2023/11264/A,NR/2023/11469/A,NR/2023/13983/F/II,NR/2023/11470/A,NR/2023/11697/A,NR/2023/13859/A,NR/2023/11328/A,NR/2023/14750/C,NR/2023/14187/F,NR/2023/13284/A,NR/2023/14734/D,NR/2023/13283/A/II,NR/2023/11203/A,NR/2023/14751/C,Total

3,00:30-00:45,0,0.000000,1.260000,82.960000,98.390000,66.460000,192.920000,77.170000,59.420000,257.550000,0,48.230000,22.190000,36.390000,231.610000,3.280000,23.080000,5.790000,192.920000,0.000000,24.120000,63.000000,42.430000,21.510000,84.870000,0.870000,21.220000,27.780000,177.970000,48.230000,5.450000,3.860000,64.820000,0,22.850000,62.940000,0.000000,2071.54

4,00:45-01:00,0,0.000000,1.260000,82.960000,98.390000,66.460000,192.920000,77.170000,59.420000,257.550000,0,48.230000,22.190000,36.390000,231.610000,3.280000,23.080000,5.790000,192.920000,0.000000,24.120000,63.000000,42.430000,21.510000,84.870000,0.870000,21.220000,27.780000,177.970000,48.230000,5.450000,3.860000,64.820000,0,22.850000,62.940000,0.000000,2071.54

5,01:00-01:15,0,0.000000,1.260000,82.960000,98.390000,66.460000,192.920000,77.170000,59.420000,257.550000,0,48.230000,22.190000,36.390000,231.610000,3.280000,23.080000,5.790000,192.920000,0.000000,24.120000,63.000000,42.430000,21.510000,84.870000,0.680000,21.220000,27.780000,177.970000,48.230000,5.450000,3.860000,64.820000,0,22.850000,62.940000,0.000000,2071.35

6,01:15-01:30,0,0.000000,1.260000,82.960000,98.390000,66.460000,192.920000,77.170000,59.420000,257.550000,0,48.230000,22.190000,36.390000,231.610000,3.280000,23.080000,5.790000,192.920000,0.000000,24.120000,63.000000,42.430000,21.510000,84.870000,0.680000,21.220000,27.780000,177.970000,48.230000,5.450000,3.860000,64.820000,0,22.850000,62.940000,0.000000,2071.35

7,01:30-01:45,0,0.000000,1.260000,82.960000,98.390000,66.460000,192.920000,77.170000,59.420000,257.550000,0,48.230000,22.190000,36.390000,231.610000,3.280000,23.080000,5.790000,192.920000,0.000000,24.120000,63.000000,42.430000,21.510000,84.870000,0.680000,21.220000,27.780000,177.970000,48.230000,5.450000,3.860000,64.820000,0,22.850000,62.940000,0.000000,2071.35

8,01:45-02:00,0,0.000000,1.260000,82.960000,98.390000,66.460000,192.920000,77.170000,59.420000,257.550000,0,48.230000,22.190000,36.390000,231.610000,3.280000,23.080000,5.790000,192.920000,0.000000,24.120000,63.000000,42.430000,21.510000,84.870000,0.680000,21.220000,27.780000,177.970000,48.230000,5.450000,3.860000,64.820000,0,22.850000,62.940000,0.000000,2071.35

9,02:00-02:15,0,0.000000,1.260000,82.960000,98.390000,66.460000,192.920000,77.170000,59.420000,257.550000,0,48.230000,22.190000,36.390000,231.610000,3.280000,23.080000,5.790000,192.920000,0.000000,24.120000,63.000000,42.430000,21.510000,84.870000,0.580000,21.220000,27.780000,177.970000,48.230000,5.450000,3.860000,64.820000,0,22.850000,62.940000,0.000000,2071.25

10,02:15-02:30,0,0.000000,1.260000,82.960000,98.390000,66.460000,192.920000,77.170000,59.420000,257.550000,0,48.230000,22.190000,36.390000,231.610000,3.280000,23.080000,5.790000,192.920000,0.000000,24.120000,63.000000,42.430000,21.510000,84.870000,0.580000,21.220000,27.780000,177.970000,48.230000,5.450000,3.860000,64.820000,0,22.850000,62.940000,0.000000,2071.25

11,02:30-02:45,0,0.000000,1.260000,82.960000,98.390000,66.460000,192.920000,77.170000,59.420000,257.550000,0,48.230000,22.190000,36.390000,231.610000,3.280000,23.080000,5.790000,192.920000,0.000000,24.120000,63.000000,42.430000,21.510000,84.870000,0.580000,21.220000,27.780000,177.970000,48.230000,5.450000,3.860000,64.820000,0,22.850000,62.940000,0.000000,2071.25

12,02:45-03:00,0,0.000000,1.260000,82.960000,98.390000,66.460000,192.920000,77.170000,59.420000,257.550000,0,48.230000,22.190000,36.390000,231.610000,3.280000,23.080000,5.790000,192.920000,0.000000,24.120000,63.000000,42.430000,21.510000,84.870000,0.580000,21.220000,27.780000,177.970000,48.230000,5.450000,3.860000,64.820000,0,22.850000,62.940000,0.000000,2071.25

13,03:00-03:15,0,0.280000,0.000000,48.230000,98.390000,0.000000,192.920000,77.170000,62.700000,257.550000,0,48.230000,22.190000,0.000000,231.610000,0.000000,0.000000,5.790000,192.920000,0.000000,24.120000,63.000000,42.430000,21.510000,84.870000,0.250000,21.220000,27.780000,177.970000,48.230000,5.450000,3.860000,64.820000,0,24.120000,62.940000,0.000000,1910.55

14,03:15-03:30,0,0.280000,0.000000,48.230000,98.390000,0.000000,192.920000,77.170000,62.700000,257.550000,0,48.230000,22.190000,0.000000,231.610000,0.000000,0.000000,5.790000,192.920000,0.000000,24.120000,63.000000,42.430000,21.510000,84.870000,0.250000,21.220000,27.780000,177.970000,48.230000,5.450000,3.860000,64.820000,0,24.120000,62.940000,0.000000,1910.55

15,03:30-03:45,0,0.280000,0.000000,48.230000,98.390000,0.000000,192.920000,77.170000,62.700000,257.550000,0,48.230000,22.190000,0.000000,231.610000,0.000000,0.000000,5.790000,192.920000,0.000000,24.120000,63.000000,42.430000,21.510000,84.870000,0.250000,21.220000,27.780000,177.970000,48.230000,5.450000,3.860000,64.820000,0,24.120000,62.940000,0.000000,1910.55

16,03:45-04:00,0,0.280000,0.000000,48.230000,98.390000,0.000000,192.920000,77.170000,62.700000,257.550000,0,48.230000,22.190000,0.000000,231.610000,0.000000,0.000000,5.790000,192.920000,0.000000,24.120000,63.000000,42.430000,21.510000,84.870000,0.250000,21.220000,27.780000,177.970000,48.230000,5.450000,3.860000,64.820000,0,24.120000,62.940000,0.000000,1910.55

17,04:00-04:15,0,0.530000,0.000000,48.230000,98.390000,0.000000,192.920000,77.170000,62.700000,257.550000,0,48.230000,22.190000,0.000000,231.610000,0.000000,0.000000,5.790000,192.920000,0.000000,24.120000,63.000000,42.430000,21.510000,84.870000,0.000000,21.220000,27.780000,177.970000,48.230000,5.450000,3.860000,64.820000,0,24.120000,62.940000,0.000000,1910.55

18,04:15-04:30,0,0.530000,0.000000,48.230000,98.390000,0.000000,192.920000,77.170000,62.700000,257.550000,0,48.230000,22.190000,0.000000,231.610000,0.000000,0.000000,5.790000,192.920000,0.000000,24.120000,63.000000,42.430000,21.510000,84.870000,0.000000,21.220000,27.780000,177.970000,48.230000,5.450000,3.860000,64.820000,0,24.120000,62.940000,0.000000,1910.55

19,04:30-04:45,0,0.530000,0.000000,48.230000,98.390000,0.000000,192.920000,77.170000,62.700000,257.550000,0,48.230000,22.190000,0.000000,231.610000,0.000000,0.000000,5.790000,192.920000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,27.780000,177.970000,48.230000,5.450000,3.860000,64.820000,0,24.120000,62.940000,0.000000,1847.55

20,04:45-05:00,0,0.530000,0.000000,48.230000,98.390000,0.000000,192.920000,77.170000,62.700000,257.550000,0,48.230000,22.190000,0.000000,231.610000,0.000000,0.000000,5.790000,192.920000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,27.780000,177.970000,48.230000,5.450000,3.860000,64.820000,0,24.120000,62.940000,0.000000,1847.55

21,05:00-05:15,0,0.530000,0.000000,48.230000,0.000000,0.000000,192.920000,77.170000,62.700000,257.550000,0,48.230000,22.190000,0.000000,231.610000,0.000000,0.000000,5.790000,192.920000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,27.780000,177.970000,48.230000,5.450000,3.860000,64.820000,0,24.120000,62.940000,0.000000,1749.16

22,05:15-05:30,0,0.530000,0.000000,48.230000,0.000000,0.000000,192.920000,77.170000,62.700000,257.550000,0,48.230000,22.190000,0.000000,231.610000,0.000000,0.000000,5.790000,192.920000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,27.780000,177.970000,48.230000,5.450000,3.860000,64.820000,0,24.120000,62.940000,0.000000,1749.16

23,05:30-05:45,0,0.530000,0.000000,48.230000,0.000000,0.000000,192.920000,77.170000,62.700000,257.550000,0,48.230000,22.190000,0.000000,231.610000,0.000000,0.000000,5.790000,192.920000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,27.780000,177.970000,48.230000,5.450000,3.860000,64.820000,0,24.120000,62.940000,0.000000,1749.16

24,05:45-06:00,0,0.530000,0.000000,48.230000,0.000000,0.000000,192.920000,77.170000,62.700000,257.550000,0,48.230000,22.190000,0.000000,231.610000,0.000000,0.000000,5.790000,192.920000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,27.780000,177.970000,48.230000,5.450000,3.860000,64.820000,0,24.120000,62.940000,0.000000,1749.16

25,06:00-06:15,0.6,0.680000,0.000000,7.720000,0.000000,0.000000,192.920000,77.170000,62.700000,257.550000,0,48.230000,22.190000,0.000000,15.750000,0.000000,0.000000,5.790000,192.920000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,3.860000,0.000000,1.4,24.120000,62.940000,0.000000,1402.34

26,06:15-06:30,2.7,0.680000,0.000000,7.720000,0.000000,0.000000,192.920000,77.170000,62.700000,257.550000,0.1,48.230000,22.190000,0.000000,15.750000,0.000000,0.000000,5.790000,192.920000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,3.860000,0.000000,6.3,24.120000,62.940000,0.000000,1409.44

27,06:30-06:45,4.5,0.680000,0.000000,7.720000,0.000000,0.000000,192.920000,77.170000,62.700000,257.550000,0.51,48.230000,22.190000,0.000000,15.750000,0.000000,0.000000,5.790000,192.920000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,3.860000,0.000000,10.5,24.120000,62.940000,0.000000,1415.85

28,06:45-07:00,7.5,0.680000,0.000000,7.720000,0.000000,0.000000,192.920000,77.170000,62.700000,257.550000,0.89,48.230000,22.190000,0.000000,15.750000,0.000000,0.000000,5.790000,192.920000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,3.860000,0.000000,17.5,24.120000,62.940000,0.000000,1426.23

29,07:00-07:15,10.5,0.680000,0.000000,7.720000,0.000000,0.000000,192.920000,77.170000,62.700000,257.550000,1.31,48.230000,22.190000,0.000000,15.750000,0.000000,0.000000,5.790000,192.920000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,0.960000,0.000000,24.5,24.120000,62.940000,0.000000,1433.75

30,07:15-07:30,10.5,0.680000,0.000000,7.720000,0.000000,0.000000,192.920000,77.170000,62.700000,257.550000,1.77,48.230000,22.190000,0.000000,15.750000,0.000000,0.000000,5.790000,192.920000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,0.960000,0.000000,24.5,24.120000,62.940000,0.000000,1434.21

31,07:30-07:45,16.5,0.680000,0.000000,7.720000,0.000000,0.000000,192.920000,77.170000,62.700000,257.550000,2.32,48.230000,22.190000,0.000000,15.750000,0.000000,0.000000,5.790000,192.920000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,0.960000,0.000000,38.5,24.120000,62.940000,0.000000,1454.76

32,07:45:08:00,22.5,0.680000,0.000000,7.720000,0.000000,0.000000,192.920000,77.170000,62.700000,257.550000,2.79,48.230000,22.190000,0.000000,15.750000,0.000000,0.000000,5.790000,192.920000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,0.960000,0.000000,52.5,24.120000,62.940000,0.000000,1475.23

33,08:00-08:15,26.4,0.960000,0.000000,7.720000,0.000000,0.000000,192.920000,77.170000,62.700000,257.550000,2.33,48.230000,22.190000,0.000000,15.750000,0.000000,0.000000,5.790000,147.340000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,0.960000,0.000000,61.6,24.120000,62.940000,0.000000,1442.47

34,08:15-08:30,30,0.960000,0.000000,7.720000,0.000000,0.000000,192.920000,77.170000,62.700000,257.550000,2.33,48.230000,22.190000,0.000000,15.750000,0.000000,0.000000,5.790000,147.340000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,0.960000,0.000000,70,24.120000,62.940000,0.000000,1454.47

35,08:30-08:45,34.5,0.960000,0.000000,7.720000,0.000000,0.000000,192.920000,77.170000,62.700000,257.550000,2.33,48.230000,22.190000,0.000000,15.750000,0.000000,0.000000,5.790000,147.340000,0.000000,24.120000,100.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,0.960000,0.000000,80.5,24.120000,62.940000,0.000000,1569.47

36,08:45:09:00,39,0.960000,0.000000,7.720000,0.000000,0.000000,192.920000,77.170000,62.700000,257.550000,2.33,48.230000,22.190000,0.000000,15.750000,0.000000,0.000000,5.790000,147.340000,0.000000,24.120000,100.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,0.960000,0.000000,91,24.120000,62.940000,0.000000,1584.47

37,09:00:09:15,45,0.960000,0.000000,7.720000,0.000000,0.000000,192.920000,77.170000,62.700000,257.550000,3.79,48.230000,22.190000,0.000000,15.750000,0.000000,0.000000,5.790000,147.340000,24.120000,24.120000,100.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,0.960000,0.000000,105,24.120000,62.940000,0.000000,1630.05

38,09:15-09:30,48.9,0.960000,0.000000,7.720000,0.000000,0.000000,192.920000,77.170000,62.700000,257.550000,3.79,48.230000,22.190000,0.000000,15.750000,0.000000,0.000000,5.790000,147.340000,24.120000,24.120000,100.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,0.960000,0.000000,114.1,24.120000,62.940000,0.000000,1643.05

39,09:30-09:45,53.7,0.960000,0.000000,7.720000,0.000000,0.000000,192.920000,77.170000,62.700000,257.550000,3.38,48.230000,22.190000,0.000000,15.750000,0.000000,0.000000,5.790000,147.340000,24.120000,24.120000,100.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,0.960000,0.000000,125.3,24.120000,62.940000,0.000000,1658.64

40,09:45-10:00,57.6,0.960000,0.000000,7.720000,0.000000,0.000000,192.920000,77.170000,62.700000,257.550000,3.38,48.230000,22.190000,0.000000,15.750000,0.000000,0.000000,5.790000,147.340000,24.120000,24.120000,100.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,0.960000,0.000000,134.4,24.120000,62.940000,0.000000,1671.64

41,10:00-10:15,60.6,0.960000,0.000000,7.720000,90.670000,0.000000,192.920000,77.170000,62.700000,257.550000,3.38,48.230000,22.190000,0.000000,15.750000,0.000000,0.000000,5.790000,147.340000,24.120000,24.120000,100.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,0.000000,0.960000,0.000000,141.4,24.120000,62.940000,0.000000,1766.86

42,10:15-10:30,64.5,0.960000,0.000000,7.720000,90.670000,0.000000,192.920000,77.170000,62.700000,257.550000,3.38,48.230000,22.190000,0.000000,15.750000,0.000000,0.000000,5.790000,147.340000,24.120000,24.120000,100.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,0.000000,0.960000,0.000000,150.5,24.120000,62.940000,0.000000,1779.86

43,10:30-10:45,67.8,0.960000,0.000000,7.720000,90.670000,0.000000,192.920000,77.170000,62.700000,257.550000,3.86,48.230000,22.190000,0.000000,15.750000,0.000000,0.000000,5.790000,147.340000,24.120000,24.120000,100.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,0.000000,0.960000,0.000000,158.2,24.120000,62.940000,0.000000,1791.34

44,10:45-11:00,70.5,0.960000,0.000000,7.720000,90.670000,0.000000,192.920000,77.170000,62.700000,257.550000,3.86,48.230000,22.190000,0.000000,15.750000,0.000000,0.000000,5.790000,147.340000,24.120000,24.120000,100.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,0.000000,0.960000,0.000000,164.5,24.120000,62.940000,0.000000,1800.34

45,11:00-11:15,73.5,0.960000,0.000000,7.720000,90.670000,0.000000,192.920000,77.170000,62.700000,257.550000,4.15,48.230000,22.190000,0.000000,15.750000,0.000000,0.000000,5.790000,147.340000,24.120000,24.120000,100.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,0.000000,0.960000,0.000000,171.5,24.120000,62.940000,30.000000,1840.63

46,11:15-11:30,75,0.960000,0.000000,7.720000,90.670000,0.000000,192.920000,77.170000,62.700000,257.550000,4.05,48.230000,22.190000,0.000000,15.750000,0.000000,0.000000,5.790000,147.340000,24.120000,24.120000,100.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,0.000000,0.960000,0.000000,175,24.120000,62.940000,30.000000,1845.53

47,11:30-11:45,75,0.960000,0.000000,7.720000,90.670000,0.000000,192.920000,77.170000,62.700000,257.550000,5.31,48.230000,22.190000,0.000000,15.750000,0.000000,0.000000,5.790000,147.340000,24.120000,24.120000,100.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,0.000000,0.960000,0.000000,175,24.120000,62.940000,30.000000,1846.79

48,11:45-12:00,75,0.960000,0.000000,7.720000,90.670000,0.000000,192.920000,77.170000,62.700000,257.550000,6.27,48.230000,22.190000,0.000000,15.750000,0.000000,0.000000,5.790000,147.340000,24.120000,24.120000,100.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,0.000000,0.960000,0.000000,175,24.120000,62.940000,30.000000,1847.75

49,12:00-12:15,75,0.960000,0.000000,7.720000,90.670000,0.000000,192.920000,77.170000,62.700000,257.550000,7.23,48.230000,22.190000,0.000000,15.750000,0.000000,0.000000,5.790000,147.340000,24.120000,24.120000,100.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,0.000000,0.960000,0.000000,175,24.120000,62.940000,30.000000,1848.71

50,12:15-12:30,75,0.960000,0.000000,7.720000,90.670000,0.000000,192.920000,77.170000,62.700000,257.550000,7.72,48.230000,22.190000,0.000000,15.750000,0.000000,0.000000,5.790000,147.340000,24.120000,24.120000,100.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,0.000000,0.960000,0.000000,175,24.120000,62.940000,30.000000,1849.2

51,12:30-12:45,75,0.960000,0.000000,7.720000,90.670000,0.000000,192.920000,77.170000,62.700000,257.550000,8.2,48.230000,22.190000,0.000000,15.750000,0.000000,0.000000,5.790000,147.340000,24.120000,24.120000,100.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,0.000000,0.960000,0.000000,175,24.120000,62.940000,30.000000,1849.68

52,12:45-13:00,75,0.960000,0.000000,7.720000,90.670000,0.000000,192.920000,77.170000,62.700000,257.550000,9.15,48.230000,22.190000,0.000000,15.750000,0.000000,0.000000,5.790000,147.340000,24.120000,24.120000,100.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,0.000000,0.960000,0.000000,175,24.120000,62.940000,30.000000,1850.63

53,13:00-13:15,75,0.960000,0.000000,7.720000,90.670000,0.000000,192.920000,77.170000,62.700000,257.550000,7.91,48.230000,22.190000,0.000000,15.750000,0.000000,0.000000,5.790000,147.340000,24.120000,24.120000,100.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,0.000000,0.960000,0.000000,175,24.120000,62.940000,30.000000,1849.39

54,13:15-13:30,75,0.960000,0.000000,7.720000,90.670000,0.000000,192.920000,77.170000,62.700000,257.550000,7.23,48.230000,22.190000,0.000000,15.750000,0.000000,0.000000,5.790000,147.340000,24.120000,24.120000,100.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,0.000000,0.960000,0.000000,175,24.120000,62.940000,30.000000,1848.71

55,13:30-13:45,75,0.960000,0.000000,7.720000,90.670000,0.000000,192.920000,77.170000,62.700000,257.550000,5.79,48.230000,22.190000,0.000000,15.750000,0.000000,0.000000,5.790000,147.340000,24.120000,24.120000,100.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,0.000000,0.960000,0.000000,175,24.120000,62.940000,30.000000,1847.27

56,13:45-14:00,75,0.960000,0.000000,7.720000,90.670000,0.000000,192.920000,77.170000,62.700000,257.550000,3.86,48.230000,22.190000,0.000000,15.750000,0.000000,0.000000,5.790000,147.340000,24.120000,24.120000,100.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,0.000000,0.960000,0.000000,175,24.120000,62.940000,30.000000,1845.34

57,14:00-14:15,72,0.960000,0.000000,7.720000,106.110000,0.000000,192.920000,77.170000,62.700000,257.550000,3.38,48.230000,22.190000,0.000000,15.750000,0.000000,23.080000,5.790000,147.340000,24.120000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,0.000000,0.960000,0.000000,168,24.120000,62.940000,30.000000,1773.38

58,14:15-14:30,69,0.960000,0.000000,7.720000,106.110000,0.000000,192.920000,77.170000,62.700000,257.550000,3.38,48.230000,22.190000,0.000000,15.750000,0.000000,23.080000,5.790000,147.340000,24.120000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,0.000000,0.960000,0.000000,161,24.120000,62.940000,30.000000,1763.38

59,14:30-14:45,66,0.960000,0.000000,7.720000,106.110000,0.000000,192.920000,77.170000,62.700000,257.550000,3.38,48.230000,22.190000,0.000000,15.750000,0.000000,23.080000,5.790000,147.340000,24.120000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,0.000000,0.960000,0.000000,154,24.120000,62.940000,30.000000,1753.38

60,14:45-15:00,64.5,0.960000,0.000000,7.720000,106.110000,0.000000,192.920000,77.170000,62.700000,257.550000,2.89,48.230000,22.190000,0.000000,15.750000,0.000000,23.080000,5.790000,147.340000,24.120000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,0.000000,0.960000,0.000000,150.5,24.120000,62.940000,30.000000,1747.89

