Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,NR/26072023/25122043/L_NR_2023_10,L_NR_2019_19,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,NR/26072023/31072042/L_NR_2023_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,NR/01102023/06022042/L_NR_2012_02,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/05012040/L_NR_2020_02,NR/30092023/26122029/SH-06,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2024/09/01/4802,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/7196,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/01/6566,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/3451,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/7908,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01082024/30092024/LT_MEJA_DELHI,NR/01102023/19072037/LT-05,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_35,NR/30092023/31122025/SH-07
6,01:15-01:30,0,16.67,50,0,0,0,0,0,0,36.82,0,0,0,0,0,42.67,16.34,16.66,42.67,223.24,53.23,30.29,4.66,26.8708,0,96.79,0,0,57.78,12.47,48.4,96.79,24.74,24.2,15.06,48.4,2.42,32.91,21.78,132.8,4.38,70.55,0,0,26.8708

7,01:30-01:45,0,17.5,52.5,0,0,0,0,0,0,37.42,0,0,0,0,0,45,16.34,17.5,45,223.24,53.23,30.29,4.66,26.8708,0,96.79,0,0,57.78,12.47,48.4,96.79,24.74,24.2,15.06,48.4,2.42,32.91,21.78,132.8,4.38,70.55,0,0,26.8708

8,01:45-02:00,0,18,54,0,0,0,0,0,0,37.62,0,0,0,0,0,46.67,16,18,46.67,223.24,53.23,30.29,4.66,26.8708,0,96.79,0,0,57.78,12.47,48.4,96.79,24.74,24.2,15.06,48.4,2.42,32.91,21.78,132.8,4.02,70.55,0,0,26.8708

9,02:00-02:15,0,18.33,55,0,0,0,0,0,0,38.22,0,0,0,0,0,47,16.34,18.34,47,171.94,53.23,30.29,4.66,26.8708,0,96.79,0,0,57.78,12.47,48.4,96.79,24.74,24.2,15.06,48.4,2.42,32.91,21.78,132.8,3.95,70.55,0,0,26.8708

10,02:15-02:30,0,19.67,59,0,0,0,0,0,0,38.62,0,0,0,0,0,47,16,19.66,47,171.94,53.23,30.29,4.66,26.8708,0,96.79,0,0,57.78,12.47,48.4,96.79,24.74,24.2,15.06,48.4,2.42,32.91,21.78,132.8,3.95,70.55,0,0,26.8708

11,02:30-02:45,0,20.5,61.5,0,0,0,0,0,0,27.01,0,0,0,0,0,48,15.66,20.5,48,171.94,53.23,29.78,4.66,26.8708,0,96.79,0,0,57.78,12.47,48.4,96.79,24.74,24.2,15.06,48.4,2.42,32.91,21.78,132.8,3.95,70.55,0,0,26.8708

12,02:45-03:00,0,21.5,64.5,0,0,0,0,0,0,27.01,0,0,0,0,0,48.67,15.34,21.5,48.67,171.94,53.23,29.78,4.66,26.8708,0,96.79,0,0,57.78,12.47,48.4,96.79,24.74,24.2,15.06,48.4,2.42,32.91,21.78,112.47,3.95,70.55,0,0,26.8708

13,03:00-03:15,0,21.67,65,0,0,0,0,0,0,27.01,0,0,0,0,0,48.67,14.66,21.66,48.67,171.94,53.23,29.78,4.66,26.8708,0,96.79,0,0,57.78,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,92.14,3.95,70.55,0,0,26.8708

14,03:15-03:30,0,22,66,0,0,0,0,0,0,26.61,0,0,0,0,0,49,14.34,22,49,171.94,53.23,29.78,4.66,26.8708,0,96.79,0,0,57.78,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,75.26,3.95,70.55,0,0,26.8708

15,03:30-03:45,0,21.83,65.5,0,0,0,0,0,0,26.21,0,0,0,0,0,49,14,21.84,49,111.31,53.23,29.78,4.66,26.8708,0,96.79,0,0,57.78,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,75.26,3.95,70.55,0,0,26.8708

16,03:45-04:00,0,22,66,0,0,0,0,0,0,25.61,0,0,0,0,0,49.67,13.34,22,49.67,111.31,53.23,29.78,4.66,26.8708,0,96.79,0,0,57.78,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,75.26,3.95,70.55,0,0,26.8708

17,04:00-04:15,0,22,66,0,0,0,0,0,0,25.01,0,0,0,0,0,47,21.66,22,47,111.31,53.23,29.78,4.66,26.8708,0,96.79,0,0,57.78,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,75.26,3.95,70.55,0,0,26.8708

18,04:15-04:30,0,22.17,66.5,0,0,0,0,0,0,24.21,0,0,0,0,0,47.33,21.34,22.16,47.33,111.31,53.23,29.78,4.66,26.8708,0,96.79,0,0,57.78,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,75.26,3.95,70.55,0,0,26.8708

19,04:30-04:45,0,22.17,66.5,0,0,0,0,0,0,23.61,0,0,0,0,0,47.67,21.34,22.16,47.67,111.31,53.23,29.27,4.66,26.8708,0,96.79,0,0,57.78,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,75.26,3.95,70.55,0,0,26.8708

20,04:45-05:00,0,22.33,67,0,0,0,0,0,0,22.81,0,0,0,0,0,48,21.34,22.34,48,111.31,53.23,29.27,4.66,26.8708,0,96.79,0,0,57.78,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,75.26,3.95,70.55,0,0,26.8708

21,05:00-05:15,0,22.5,67.5,0,0,0,0,0,0,25.01,0,0,0,0,0,56.33,21,22.5,56.33,111.31,53.23,29.27,4.66,26.8708,0,96.79,0,0,57.78,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,75.26,3.95,70.55,0,0,26.8708

22,05:15-05:30,0,22.67,68,0,0,0,0,0,0,25.41,0,0,0,0,0,57,21,22.66,57,111.31,53.23,29.27,4.66,26.8708,0,96.79,0,0,57.78,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,75.26,3.95,70.55,0,0,26.8708

23,05:30-05:45,0,23,69,0,0,0,0,0,0,25.01,0,0,0,0,0,57.67,21,23,57.67,111.31,53.23,29.27,4.66,26.8708,0,96.79,0,0,57.78,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,75.26,3.95,70.55,0,0,26.8708

24,05:45-06:00,0,23.17,69.5,0,0,0,0,0,0,24.81,0,0,0,0,0,58.33,21,23.16,58.33,111.31,53.23,30.28,4.66,26.8708,0,96.79,0,0,57.78,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,75.26,3.95,70.55,0,0,26.8708

25,06:00-06:15,0,23.5,70.5,1,0.03,1,0,1,0.82,32.01,0,0,13.76,13.48,1,59,20,23.5,59,171.94,53.23,30.28,4.66,26.8708,0,96.79,0,0,57.78,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,75.26,3.75,70.55,0,0,26.8708

26,06:15-06:30,1,23.83,71.5,1,1.64,2,2.95,2,2.92,32.81,1,0.59,24.18,23.7,4,59.67,20,23.84,59.67,171.94,53.23,30.28,4.66,26.8708,0,96.79,0,0,57.78,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,75.26,3.75,70.55,0,0,26.8708

27,06:30-06:45,5,24.17,72.5,3,4.44,3,7.31,5,4.94,33.01,3,1.46,33,32.66,7,60,20,24.16,60,171.94,53.23,29.27,4.66,26.8708,0,96.79,0.55,0.57,57.78,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,75.26,3.75,70.55,0,0.55,26.8708

28,06:45-07:00,12,24.17,72.5,6,9.04,5,12.48,8,7.94,33.21,4,2.49,33,33,14,60,20,24.16,60,171.94,53.23,28.26,4.66,26.8708,0,96.79,0.8,0.82,57.78,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,75.26,3.75,70.55,0,0.8,26.8708

29,07:00-07:15,20,24.17,72.5,9,15.48,7,16.93,10,10,28.01,5,3.38,33,33,21,60,20,24.16,60,171.94,53.23,28.26,4.66,26.8708,0,96.79,1.17,1.2,57.78,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,75.26,3.75,70.55,0,1.17,26.8708

30,07:15-07:30,30,24.17,72.5,12,22.29,8,22.51,12,13,28.01,6,4.5,33,33,28,60,20,24.16,60,171.94,53.23,28.26,4.66,26.8708,0,96.79,1.58,1.61,57.78,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,75.26,3.75,70.55,0,1.58,26.8708

31,07:30-07:45,32.67,24.17,72.5,16,30.71,12,31.18,15,17,30.01,7,6.24,32.66,32.67,39,54.67,20,24.16,54.67,111.31,53.23,29.27,4.66,26.8708,0,96.79,2.02,2.06,57.78,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,75.26,3.75,70.55,0,2.02,26.8708

32,07:45-08:00,33,24.17,72.5,21,37.84,16,41.62,22,20,30.01,10,8.32,33,33,49,55.67,20,24.16,55.67,111.31,53.23,30.28,4.66,26.8708,0,96.79,2.63,2.69,57.78,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,75.26,3.75,70.55,0,2.63,26.8708

33,08:00-08:15,33,24.17,72.5,24,45.05,20,56.18,30,24,33.01,15,11.23,33,33,56,55.67,20,24.16,55.67,111.31,53.23,29.27,4.66,26.8708,0,96.79,3.25,3.33,57.78,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,75.26,3.75,70.55,0,3.25,26.8708

34,08:15-08:30,33,23.83,71.5,30,51.92,23,68.13,37,31,33.21,18,13.62,33,33,70,55.33,20,23.84,55.33,111.31,53.23,29.27,4.66,26.8708,0,96.79,3.87,3.96,57.78,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,75.26,3.75,70.55,0,3.87,26.8708

35,08:30-08:45,33,23.67,71,37,58.84,26,83.24,44,37,27.01,21,16.65,33,33,88,55.33,19.66,23.66,55.33,111.31,53.23,29.78,4.66,26.8708,0,96.79,4.5,4.6,57.78,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,75.26,3.75,70.55,0,4.5,26.8708

36,08:45-09:00,33,23.5,70.5,43,65.63,29,94.39,51,44,26.01,24,18.88,33,33,102,55,19.34,23.5,55,111.31,53.23,28.77,4.66,26.8708,0,96.79,5.09,5.22,57.78,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,75.26,3.75,70.55,0,5.09,26.8708

37,09:00-09:15,33,11.83,35.5,51,72.46,32,113.59,55,52,25.01,27,22.72,33,33,119,35.67,13.34,11.84,35.67,111.31,53.23,28.77,4.66,26.8708,0,96.79,5.63,5.78,57.78,12.47,48.4,96.79,24.74,24.2,11.83,48.4,2.42,0,21.78,75.26,3.75,70.55,0,5.63,26.8708

38,09:15-09:30,33,11.67,35,55,78.46,34,124.51,62,57,24.01,30,24.9,33,33,130,35.67,13.34,11.66,35.67,111.31,53.23,26.75,4.66,26.8708,0,96.79,6.16,6.31,57.78,12.47,48.4,96.79,24.74,24.2,11.83,48.4,2.42,0,21.78,75.26,3.75,70.55,0,6.16,26.8708

39,09:30-09:45,33,9.5,28.5,60,82.61,38,151.53,68,65,23.01,32,30.3,33,33,140,27,11.66,9.5,27,111.31,53.23,27.26,4.66,26.8708,0,96.79,10.79,11.07,57.78,12.47,48.4,96.79,24.74,24.2,11.83,48.4,2.42,0,21.78,75.26,3.75,70.55,0,10.79,26.8708

40,09:45-10:00,33,9.33,28,64,86.48,40,166.92,76,71,22.41,36,33.38,33,33,151,26.33,11.66,9.34,26.33,111.31,53.23,28.26,4.66,26.8708,0,96.79,11.62,11.91,57.78,12.47,48.4,96.79,24.74,24.2,11.83,48.4,2.42,0,21.78,75.26,3.75,70.55,0,11.62,26.8708

41,10:00-10:15,33,14.33,43,69,88.9,41,166.86,80,76,22.61,38,33.37,33,33,161,41.67,15,14.34,41.67,111.31,53.23,29.77,4.66,26.8708,0,0,12.22,12.53,57.78,12.47,48.4,96.79,24.74,24.2,11.83,0,2.42,0,21.78,75.26,3.75,70.55,0,12.22,26.8708

42,10:15-10:30,33,14.5,43.5,73,89.18,42,175.22,85,80,23.21,40,35.04,33,33,172,43.33,15.34,14.5,43.33,111.31,53.23,28.76,4.66,26.8708,0,0,12.84,13.16,57.78,12.47,48.4,96.79,24.74,24.2,11.83,0,2.42,0,21.78,75.26,3.75,70.55,0,12.84,26.8708

43,10:30-10:45,33,14.67,44,75,91.71,43,185.17,87,83,17.81,41,37.03,33,33,175,50,15.66,14.66,50,111.31,53.23,28.76,4.66,26.8708,0,0,13.42,13.76,57.78,12.47,48.4,96.79,24.74,24.2,11.83,0,2.42,0,21.78,75.26,3.75,70.55,0,13.42,26.8708

44,10:45-11:00,33,14.67,44,76,93.94,44,193.66,88,85,16.41,42,38.73,33,33,179,51,16,14.66,51,111.31,53.23,29.27,4.66,26.8708,0,0,13.85,14.19,57.78,12.47,48.4,96.79,24.74,24.2,11.83,0,2.42,0,21.78,75.26,3.75,70.55,0,13.85,26.8708

45,11:00-11:15,33,14.83,44.5,76,95.98,45,196.8,88,85,15.21,42,39.36,33,33,179,51.67,21,14.84,51.67,111.31,53.23,29.27,4.66,26.8708,0,0,14.76,15.14,57.78,12.47,48.4,96.79,24.74,24.2,11.83,0,2.42,0,21.78,75.26,3.75,70.55,0,14.76,26.8708

46,11:15-11:30,33,14.83,44.5,76,97.51,45,198.66,88,85,14.01,42,39.73,33,33,179,53.33,21.34,14.84,53.33,111.31,53.23,29.27,4.66,26.8708,0,0,14.96,15.34,57.78,12.47,48.4,96.79,24.74,24.2,11.83,0,2.42,0,21.78,75.26,3.75,70.55,0,14.96,26.8708

47,11:30-11:45,33,20.17,60.5,76,96.84,45,214.39,88,86,22.41,42,42.88,33,33,179,54,21.66,20.16,54,171.94,53.23,28.25,4.66,26.8708,0,0,15.16,15.54,57.78,12.47,48.4,96.79,24.74,24.2,11.83,0,2.42,0,21.78,75.26,3.75,70.55,0,15.16,26.8708

48,11:45-12:00,33,20.67,62,76,96.31,45,216.03,88,86,22.21,42,43.2,33,33,179,54.67,21.34,20.66,54.67,171.94,53.23,28.25,4.66,26.8708,0,0,15.35,15.73,57.78,12.47,48.4,96.79,24.74,24.2,11.83,0,2.42,0,21.78,75.26,3.75,70.55,0,15.35,26.8708

49,12:00-12:15,33,21,63,79,99.17,46,225,88,88,18.41,42,45,33,33,186,55,21,21,55,130.67,53.23,28.25,4.94,26.8708,0,0,15.59,15.98,57.78,12.47,48.4,96.79,24.74,24.2,15.53,0,2.42,0,21.78,75.26,3.75,70.55,0,15.59,26.8708

50,12:15-12:30,33,21.17,63.5,79,98.48,46,225,88,88,18.81,42,45,33,33,186,55,22,21.16,55,106.47,53.23,28.25,4.94,26.8708,0,0,15.59,15.98,57.78,12.47,48.4,96.79,24.74,24.2,15.53,0,2.42,0,21.78,75.26,3.75,70.55,0,15.59,26.8708

51,12:30-12:45,33,21.33,64,79,98.53,46,229.17,88,88,19.21,42,45.83,33,33,186,55,16.66,21.34,55,106.47,53.23,28.76,4.94,26.8708,0,0,15.59,15.98,57.78,12.47,48.4,96.79,24.74,24.2,15.53,0,2.42,0,21.78,75.26,3.97,70.55,0,15.59,26.8708

52,12:45-13:00,33,21.5,64.5,79,98.17,46,229.17,88,88,19.61,42,45.83,33,33,186,55.33,16.34,21.5,55.33,106.47,53.23,28.76,4.94,26.8708,0,0,15.59,15.98,57.78,12.47,48.4,96.79,24.74,24.2,15.53,0,2.42,0,21.78,75.26,3.97,70.55,0,15.59,26.8708

53,13:00-13:15,33,21.67,65,72,96.99,44,229.17,88,88,19.81,42,45.83,33,33,168,56.33,16,21.66,56.33,106.47,53.23,28.25,5.02,26.8708,0,0,15.59,15.98,57.78,12.47,48.4,96.79,24.74,24.2,15.53,0,2.42,0,21.78,75.26,3.97,70.55,0,15.59,26.8708

54,13:15-13:30,33,21.83,65.5,72,96.45,44,229.17,88,88,20.21,42,45.83,33,33,168,57.33,15.66,21.84,57.33,106.47,53.23,28.25,5.02,26.8708,0,0,15.59,15.98,57.78,12.47,48.4,96.79,24.74,24.2,15.53,0,2.42,0,21.78,75.26,3.97,70.55,0,15.59,26.8708

55,13:30-13:45,33,20,60,72,99.16,42,229.17,85,85,26.01,40,45.83,33,33,168,53,20.66,20,53,106.47,53.23,28.25,5.02,26.8708,0,0,15.59,15.98,57.78,12.47,48.4,96.79,24.74,24.2,15.53,0,2.42,0,21.78,75.26,3.75,70.55,0,15.59,26.8708

56,13:45-14:00,33,20.17,60.5,72,95.54,41,229.17,85,85,27.01,40,45.83,33,33,168,52.67,20,20.16,52.67,138.41,53.23,28.25,5.02,26.8708,0,0,15.17,15.56,57.78,12.47,48.4,96.79,24.74,24.2,15.53,0,2.42,0,21.78,75.26,3.75,70.55,0,15.17,26.8708

57,14:00-14:15,33,20.33,61,70,91.7,41,229.17,84,85,28.01,40,45.83,33,33,165,53,19.66,20.34,53,171.94,53.23,28.25,5.22,26.8708,0,0,14.74,15.1,57.78,12.47,48.4,96.79,24.74,24.2,15.53,0,2.42,0,21.78,75.26,3.75,70.55,0,14.74,26.8708

58,14:15-14:30,33,20.5,61.5,70,87.53,40,229.17,83,82,29.01,40,45.83,33,33,165,53,19.34,20.5,53,171.94,53.23,28.25,5.22,26.8708,0,0,14.26,14.61,57.78,12.47,48.4,96.79,24.74,24.2,15.53,0,2.42,0,21.78,75.26,3.75,70.55,0,14.26,26.8708

59,14:30-14:45,33,20.67,62,69,83.38,40,222.23,85,80,30.01,40,44.44,33,33,161,53.67,19,20.66,53.67,171.94,53.23,28.25,5.22,26.8708,0,0,13.72,14.07,57.78,12.47,48.4,96.79,24.74,24.2,15.53,0,2.42,0,21.78,75.26,3.75,70.55,0,13.72,26.8708

60,14:45-15:00,33,20.83,62.5,66,79.02,39,210.11,80,78,31.01,38,42.02,33,33,154,54.33,18.34,20.84,54.33,171.94,53.23,28.25,5.22,26.8708,0,0,13.19,13.51,57.78,12.47,48.4,96.79,24.74,24.2,15.53,0,2.42,0,21.78,95.59,3.75,70.55,0,13.19,26.8708

61,15:00-15:15,33,21,63,66,83.49,38,214.39,78,73,32.01,37,42.88,33,33,154,53.67,21.34,21,53.67,171.94,53.23,28.25,5.58,26.8708,0,0,12.45,12.76,57.78,12.47,48.4,96.79,24.74,24.2,15.53,0,2.42,0,21.78,115.92,3.75,70.55,0,12.45,26.8708

62,15:15-15:30,33,21.17,63.5,61,78.79,35,205.81,73,68,33.21,35,41.16,33,33,144,53,21,21.16,53,171.94,53.23,28.25,5.58,26.8708,0,0,11.64,11.94,57.78,12.47,48.4,96.79,24.74,24.2,15.53,0,2.42,0,21.78,132.8,3.75,70.55,0,11.64,26.8708

63,15:30-15:45,33,19.33,58,60,73.17,33,193.88,66,65,35.01,32,38.77,33,33,140,52.33,20.66,19.34,52.33,171.94,53.23,28.25,5.58,26.8708,0,0,9.69,9.93,57.78,12.47,48.4,96.79,24.74,24.2,15.53,0,2.42,0,21.78,132.8,3.75,70.55,0,9.69,26.8708

64,15:45-16:00,33,19.5,58.5,55,67.1,30,183.67,61,60,36.82,29,36.73,33,33,130,51.67,20,19.5,51.67,171.94,53.23,28.25,5.58,26.8708,0,0,8.97,9.19,57.78,12.47,48.4,96.79,24.74,24.2,15.53,0,2.42,0,21.78,132.8,3.75,70.55,0,8.97,26.8708

65,16:00-16:15,33,19.67,59,48,59.83,27,171.05,54,52,44.02,26,34.21,33,33,112,54.67,18.66,19.66,54.67,171.94,53.23,28.25,5.95,26.8708,0,0,8.31,8.52,57.78,12.47,48.4,96.79,24.74,24.2,15.53,0,2.42,0,21.78,132.8,3.75,70.55,0,8.31,26.8708

66,16:15-16:30,33,20,60,42,51.55,25,156.89,49,48,44.02,23,31.38,33,33,98,54.33,18.66,20,54.33,171.94,53.23,28.25,5.95,26.8708,0,0,7.4,7.59,57.78,12.47,48.4,96.79,24.74,24.2,15.53,0,2.42,0,21.78,132.8,3.75,70.55,0,7.4,26.8708

67,16:30-16:45,22,18.33,55,36,35.13,20,140.13,45,39,44.02,22,28.03,33,33,84,54.33,18.66,18.34,54.33,220.33,53.23,28.25,5.95,26.8708,0,0,6.68,6.84,76.74,12.47,48.4,96.79,24.74,24.2,15.53,0,2.42,0,21.78,132.8,3.75,70.55,0,6.68,26.8708

68,16:45-17:00,12,18.17,54.5,31,27.81,17,121.88,39,33,44.02,18,24.37,33,33,74,53.32,18.66,18.16,53.32,223.24,53.23,28.25,5.95,26.8708,0,0,5.75,5.89,76.74,12.47,48.4,96.79,24.74,24.2,15.53,0,2.42,0,21.78,132.8,3.75,70.55,0,5.75,26.8708

69,17:00-17:15,7,17.83,53.5,27,20.3,9,103.25,32,18,44.02,15,20.65,33,33,63,51.38,18.66,17.84,51.38,223.24,53.23,28.25,6.33,26.8708,0,96.79,4.72,4.84,76.74,12.47,48.4,96.79,24.74,24.2,15.53,48.4,2.42,0,21.78,132.8,3.75,70.55,0,4.72,26.8708

70,17:15-17:30,1,17.83,53.5,21,12.91,8,85.29,26,17,44.02,12,17.06,33,33,49,51.67,18.34,17.84,51.67,223.24,77.43,28.25,6.33,26.8708,0,96.79,3.87,3.96,76.74,12.47,48.4,96.79,24.74,24.2,15.53,48.4,2.42,0,21.78,132.8,3.75,70.55,0,3.87,26.8708

71,17:30-17:45,0,17.5,52.5,16,5.69,7,69.08,20,15,44.02,10,13.81,33,33,39,50.33,18,17.5,50.33,232.92,77.43,28.25,6.33,26.8708,0,96.79,2.91,2.99,76.74,12.47,48.4,96.79,24.74,24.2,15.53,48.4,2.42,0,21.78,132.8,3.75,70.55,0,2.91,26.8708

72,17:45-18:00,0,17.17,51.5,12,0.38,7,54.74,15,13,44.02,7,10.95,24.2,23.73,28,49,18,17.16,49,257.99,100.84,28.25,6.33,26.8708,0,96.79,2.16,2.22,76.74,12.47,48.4,96.79,24.74,24.2,15.53,48.4,2.42,0,21.78,132.8,3.75,70.55,0,2.16,26.8708

73,18:00-18:15,0,16.83,50.5,7,0,7,42.17,9,12,44.02,5,8.43,0,0,18,36.67,17.66,16.84,36.67,257.99,93.58,29.27,6.79,26.8708,0,96.79,1.64,1.69,77.43,12.47,48.4,96.79,24.74,24.2,15.53,48.4,2.42,0,21.78,132.8,3.75,70.55,0,1.64,26.8708

74,18:15-18:30,0,16.33,49,4,0,5,30.95,3,8,44.02,2,6.19,0,0,11,36,17.66,16.34,36,257.99,93.58,29.27,6.79,26.8708,0,96.79,1.21,1.24,77.43,12.47,48.4,96.79,24.74,24.2,15.53,48.4,2.42,0,21.78,132.8,3.75,85.34,0,1.21,26.8708

75,18:30-18:45,0,15.67,47,3,0,3,20.97,1,6,44.02,1,4.19,0,0,7,35.33,18.2,15.66,35.33,257.99,93.58,29.27,6.79,32,0,96.79,0.57,0.59,77.43,12.47,48.4,96.79,24.74,24.2,15.53,48.4,2.42,0,21.78,132.8,3.75,93.88,0,0.57,25.9614

76,18:45-19:00,0,15.33,46,1,0,2,12.48,0,4,44.02,0,2.49,0,0,4,34.67,15.78,15.34,34.67,257.99,93.58,29.27,6.79,32,0,96.79,0.33,0.34,77.43,12.47,48.4,96.79,24.74,24.2,15.53,48.4,2.42,0,21.78,132.8,3.75,102.41,0,0.33,25.9614

