Column1,Block,GNA/NR/2024/12/26/3604,GNA/NR/2024/12/01/1899,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/2197,GNA/NR/2024/12/01/1475,WR/2024/25054/A/46835,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,NR/2024/24457/C,NR/30092023/26122029/SH-06,GNA/NR/2024/12/01/3428,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/26/3210,GNA/NR/2024/12/01/1599,GNA/NR/2024/12/01/7739,NR/2024/24455/C,NR/2024/24225/A/46783,NR/2024/24224/A/46781,NR/2024/24454/C,NR/2024/24071/A/46605,NR/2024/24227/A/46785,NER/2024/2770/A/46833,NR/2024/24052/A/46606,NR/2024/24051/A/46607,NR/2024/24146/A/46596,NR/2024/24097/A/46600,NR/2024/24088/A/46602,NR/2024/24060/A/46861,NR/2024/23952/A/46579,NR/2024/24456/C,Total
3,00:30-00:45,0,8.74,22.3,22.3,26.23,0,0,0,0,0,8.74,0,1.65,150,0,142.69,47.56,0,0,0,0,0,0,0,2.89,0,5.77,7.7,0.96,17.32,0.43,0,465.2799999999999

4,00:45-01:00,0,8.74,22.3,22.3,26.23,0,0,0,0,0,8.74,0,1.65,150,0,142.69,47.56,0,0,0,0,0,0,0,2.89,0,5.77,7.7,0.96,17.32,0.43,0,465.2799999999999

5,01:00-01:15,0,8.74,22.3,22.3,26.23,0,0,0,0,0,8.74,0,1.65,150,0,142.69,47.56,0,0,0,0,0,0,0,2.89,0,5.77,7.7,0.96,17.32,0.38,0,465.2299999999999

6,01:15-01:30,0,8.74,22.3,22.3,26.23,0,0,0,0,0,8.74,0,1.65,150,0,142.69,47.56,0,0,0,0,0,0,0,2.89,0,5.77,7.7,0.96,17.32,0.38,0,465.2299999999999

7,01:30-01:45,0,8.74,22.3,22.3,26.23,0,0,0,0,0,8.74,0,1.65,150,0,142.69,47.56,0,0,0,0,0,0,0,2.89,0,5.77,7.7,0.96,17.32,0.38,0,465.2299999999999

8,01:45-02:00,0,8.74,22.3,22.3,26.23,0,0,0,0,0,8.74,0,1.65,150,0,142.69,47.56,0,0,0,0,0,0,0,2.89,0,5.77,7.7,0.96,17.32,0.38,0,465.2299999999999

9,02:00-02:15,0,8.74,22.3,22.3,26.23,0,0,0,0,0,8.74,0,1.65,150,0,142.69,47.56,0,0,0,0,0,0,0,2.89,0,5.77,7.7,0.96,17.32,0.38,0,465.2299999999999

10,02:15-02:30,0,8.74,22.3,22.3,26.23,0,0,0,0,0,8.74,0,1.65,150,0,142.69,47.56,0,0,0,0,0,0,0,2.89,0,5.77,7.7,0.96,17.32,0.38,0,465.2299999999999

11,02:30-02:45,0,8.74,22.3,22.3,26.23,0,0,0,0,0,8.74,0,1.65,150,0,142.69,47.56,0,0,0,0,0,0,0,2.89,0,5.77,7.7,0.96,17.32,0.38,0,465.2299999999999

12,02:45-03:00,0,8.74,22.3,22.3,26.23,0,0,0,0,0,8.74,0,1.65,150,0,142.69,47.56,0,0,0,0,0,0,0,2.89,0,5.77,7.7,0.96,17.32,0.38,0,465.2299999999999

13,03:00-03:15,0,8.74,22.3,22.3,26.23,0,0,0,0,0,8.74,0,1.74,150,0,142.69,47.56,0,0,0,0,0,0,0,2.89,0,5.77,7.7,0.96,17.32,0.34,0,465.2799999999999

14,03:15-03:30,0,8.74,22.3,22.3,26.23,0,0,0,0,0,8.74,0,1.74,150,0,142.69,47.56,0,0,0,0,0,0,0,2.89,0,5.77,7.7,0.96,17.32,0.34,0,465.2799999999999

15,03:30-03:45,0,8.74,22.3,22.3,26.23,0,0,0,0,0,8.74,0,1.74,150,0,142.69,47.56,0,0,0,0,0,0,0,2.89,0,5.77,7.7,0.96,17.32,0.34,0,465.2799999999999

16,03:45-04:00,0,8.74,22.3,22.3,26.23,0,0,0,0,0,8.74,0,1.74,150,0,142.69,47.56,0,0,0,0,0,0,0,2.89,0,5.77,7.7,0.96,17.32,0.34,0,465.2799999999999

17,04:00-04:15,0,8.74,22.3,22.3,26.23,0,0,0,0,0,8.74,0,1.65,150,0,142.69,47.56,0,0,0,0,0,0,0,2.89,0,5.77,7.7,0.96,17.32,0.43,0,465.2799999999999

18,04:15-04:30,0,8.74,22.3,22.3,26.23,0,0,0,0,0,8.74,0,1.65,150,0,142.69,47.56,0,0,0,0,0,0,0,2.89,0,5.77,7.7,0.96,17.32,0.43,0,465.2799999999999

19,04:30-04:45,0,8.74,22.3,22.3,26.23,0,0,0,0,0,8.74,0,1.65,150,0,142.69,47.56,0,0,0,0,0,0,0,2.89,0,5.77,7.7,0.96,17.32,0.43,0,465.2799999999999

20,04:45-05:00,0,8.74,22.3,22.3,26.23,0,0,0,0,0,8.74,0,1.65,150,0,142.69,47.56,0,0,0,0,0,0,0,2.89,0,5.77,7.7,0.96,17.32,0.43,0,465.2799999999999

21,05:00-05:15,0,8.74,22.3,22.3,26.23,0,0,0,0,0,8.74,0,1.65,150,0,142.69,47.56,0,0,0,0,0,0,38.48,2.89,0,5.77,7.7,4.81,17.32,0.43,0,507.60999999999996

22,05:15-05:30,0,8.74,22.3,22.3,26.23,0,0,0,0,0,8.74,0,1.65,150,0,142.69,47.56,0,0,0,0,0,0,38.48,2.89,0,5.77,7.7,4.81,17.32,0.43,0,507.60999999999996

23,05:30-05:45,0,8.74,22.3,22.3,26.23,0,0,0,0,0,8.74,0,1.65,150,0,142.69,47.56,0,0,0,0,0,0,38.48,2.89,2.89,5.77,14.43,4.81,17.32,0.43,0,517.2299999999999

24,05:45-06:00,0,8.74,22.3,22.3,26.23,0,0,0,0,0,8.74,0,1.65,150,0,142.69,47.56,0,0,0,0,0,0,38.48,2.89,2.89,5.77,14.43,4.81,17.32,0.43,0,517.2299999999999

25,06:00-06:15,144.3,8.74,22.3,22.3,26.23,0,0,0,0,0,8.74,0,1.65,150,0,0,0,0,0.19,0.29,0,0,0.19,38.48,2.89,2.89,5.77,14.43,4.81,17.32,0.43,0,471.95000000000005

26,06:15-06:30,144.3,8.74,25.97,25.97,26.23,0,0,0,0,0,8.74,0,1.65,150,0,0,0,0,0.19,0.29,0,0,0.19,38.48,2.89,2.89,5.77,14.43,4.81,17.32,0.43,0,479.29

27,06:30-06:45,144.3,8.74,25.97,25.97,26.23,0,0,0,0,0,8.74,0,1.65,150,0,0,0,0,0.19,0.29,0,0,0.19,38.48,2.89,2.89,5.77,14.43,4.81,17.32,0.43,0,479.29

28,06:45-07:00,144.3,13.47,25.97,25.97,26.23,0,0,0,0,0,13.47,0,1.65,150,0,0,0,0,0.19,0.29,0,0,0.19,38.48,2.89,2.89,5.77,14.43,4.81,17.32,0.43,0,488.75

29,07:00-07:15,144.3,13.47,25.97,25.97,26.23,0,0,0,0,0,13.47,0,1.74,150,0,0,0,0,0.19,0.29,0,0,0.19,38.48,2.89,2.89,5.77,14.43,4.81,28.86,0.53,0,500.47999999999996

30,07:15-07:30,144.3,13.47,25.97,25.97,26.23,0,0,0,0,0,13.47,0,1.74,150,44.25,0,0,0,0.38,0.38,0,0,0.19,38.48,2.89,2.89,5.77,14.43,4.81,28.86,0.53,0,545.0099999999999

31,07:30-07:45,144.3,13.47,25.97,25.97,43.29,0,0,0,0,0,13.47,0,1.74,150,46.18,0,0,0,0.38,0.58,0,0,0.29,38.48,2.89,2.89,5.77,14.43,4.81,28.86,0.53,0,564.3

32,07:45-08:00,144.3,13.47,25.97,25.97,43.29,0,0,0,0,0,13.47,0,1.74,150,50.02,0,0,0,0.38,0.58,0,0,0.29,38.48,2.89,2.89,5.77,14.43,4.81,28.86,0.53,0,568.1399999999999

33,08:00-08:15,144.3,13.47,33.67,33.67,43.29,0,0,0,0,0,13.47,0,1.65,150,54.83,0,0,0,0.48,0.67,0,0,0.29,38.48,2.89,2.89,5.77,14.43,4.81,28.86,0.82,0,588.74

34,08:15-08:30,144.3,13.47,33.67,33.67,43.29,0,0,0,0,0,13.47,0,1.65,150,57.72,0,0,0,0.48,0.77,0,0,0.38,38.48,2.89,2.89,5.77,14.43,4.81,28.86,0.82,0,591.8199999999999

35,08:30-08:45,144.3,13.47,33.67,33.67,43.29,0,0,0,0,0,13.47,0,1.65,150,57.72,0,0,0,0.48,0.77,0,0,0.38,38.48,2.89,0,5.77,7.7,4.81,28.86,0.82,0,582.2

36,08:45-09:00,144.3,13.47,33.67,33.67,43.29,0,0,0,0,0,13.47,0,1.65,150,50.02,0,0,0,0.48,0.77,0,0,0.38,38.48,2.89,0,5.77,7.7,4.81,28.86,0.82,0,574.5

37,09:00-09:15,144.3,14.43,36.56,36.56,43.29,0,0,0,0,0,14.43,0,1.65,150,25.01,0,0,0,0.48,0.77,0,3.85,0.38,0,2.89,0,5.77,7.7,4.81,28.86,0.82,0,522.5600000000001

38,09:15-09:30,144.3,14.43,36.56,36.56,43.29,0,0,0,0,0,14.43,0,1.65,150,31.75,0,0,0,0.48,0.87,0,3.85,0.38,0,2.89,0,5.77,7.7,4.81,28.86,0.82,0,529.4000000000001

39,09:30-09:45,144.3,14.43,36.56,36.56,43.29,0,0,0,0,0,14.43,0,1.65,150,44.25,0,0,0,0.58,0.87,0,3.85,0.38,0,2.89,0,5.77,7.7,4.81,28.86,0.82,0,542

40,09:45-10:00,144.3,14.43,36.56,36.56,43.29,0,0,0,0,0,14.43,0,1.65,150,43.29,0,0,0,0.58,0.87,0,3.85,0.38,0,2.89,0,5.77,7.7,4.81,28.86,0.82,0,541.0400000000001

41,10:00-10:15,144.3,14.43,36.56,36.56,43.29,0,0,0,0,0,14.43,0,1.65,150,0,0,0,0,0.58,0.87,0,4.81,0.38,0,2.89,0,5.77,7.7,4.81,28.86,0.82,0,498.71

42,10:15-10:30,144.3,14.43,36.56,36.56,43.29,0,0,0,0,0,14.43,0,1.65,150,0,0,0,0,0.58,0.96,0,4.81,0.38,0,2.89,0,5.77,7.7,4.81,28.86,0.82,0,498.79999999999995

43,10:30-10:45,144.3,14.43,33.67,33.67,38.48,0,0,0,13.08,0,14.43,0,1.65,150,0,0,0,0,0.58,0.96,20.68,4.81,0.38,0,2.89,0,5.77,7.7,4.81,28.86,0.82,7.02,528.99

44,10:45-11:00,144.3,14.43,33.67,33.67,38.48,0,0,0,13.08,0,14.43,0,1.65,150,0,0,0,0,0.58,0.96,23.38,4.81,0.38,0,2.89,0,5.77,7.7,4.81,28.86,0.82,7.02,531.6899999999999

45,11:00-11:15,144.3,14.43,28.86,28.86,38.48,0,0,0,13.08,0,14.43,0,1.74,150,0,0,0,7.31,0.58,0.96,25.49,6.73,0.38,0,3.85,0,5.77,7.7,0,28.86,0.82,7.02,529.6500000000001

46,11:15-11:30,144.3,14.43,28.86,28.86,38.48,0,0,0,13.08,0,14.43,0,1.74,150,0,0,0,5.48,0.58,0.96,27.32,6.73,0.38,0,3.85,0,5.77,7.7,0,28.86,0.82,7.02,529.6500000000001

47,11:30-11:45,144.3,14.43,28.86,28.86,26.23,0,0,0,13.08,0,14.43,0,1.74,150,0,0,0,3.66,0.58,0.96,29.15,6.73,0.38,0,3.85,0,5.77,7.7,0,28.86,0.82,7.02,517.4100000000001

48,11:45-12:00,144.3,14.43,28.86,28.86,26.23,0,0,0,13.08,0,14.43,0,1.74,150,0,0,0,1.73,0.58,0.96,31.07,6.73,0.48,0,3.85,0,5.77,7.7,0,28.86,0.82,7.02,517.5000000000001

49,12:00-12:15,144.3,14.43,28.86,28.86,26.23,0,0,0,13.08,0,14.43,0,1.65,150,0,0,0,0.19,0.67,0.96,32.61,6.73,0.38,0,3.85,0,5.77,7.7,0,28.86,0.82,7.02,517.4000000000001

50,12:15-12:30,144.3,14.43,28.86,28.86,26.23,0,0,0,13.08,0,14.43,0,1.65,150,0,0,0,0,0.67,0.96,32.8,6.73,0.38,0,3.85,0,5.77,7.7,0,28.86,0.82,7.02,517.4000000000001

51,12:30-12:45,144.3,14.43,28.86,28.86,26.23,0,0,0,13.08,0,14.43,0,1.65,150,0,0,0,0,0.67,0.96,32.8,6.73,0.38,0,3.85,0,5.77,7.7,0,28.86,0.82,7.02,517.4000000000001

52,12:45-13:00,144.3,14.43,28.86,28.86,26.23,0,0,0,13.08,0,14.43,0,1.65,150,0,0,0,0,0.67,0.96,32.8,6.73,0.38,0,3.85,0,5.77,7.7,0,28.86,0.82,7.02,517.4000000000001

53,13:00-13:15,144.3,14.43,22.3,22.3,33.67,0,0,0,13.08,0,14.43,0,1.65,150,0,0,0,0,0.67,0.96,32.8,5.77,0.38,0,3.85,0,5.77,7.7,0,28.86,0.77,7.02,510.71

54,13:15-13:30,144.3,8.74,22.3,22.3,33.67,0,0,0,13.08,0,8.74,0,1.65,150,0,0,0,0.58,0.67,0.96,32.23,5.77,0.38,0,3.85,0,5.77,7.7,0,28.86,0.77,7.02,499.34000000000003

55,13:30-13:45,144.3,8.74,22.3,22.3,33.67,0,0,0,13.08,0,8.74,0,1.65,150,0,0,0,2.02,0.67,0.96,30.78,5.77,0.38,0,3.85,0,5.77,7.7,0,28.86,0.77,7.02,499.33

56,13:45-14:00,144.3,8.74,22.3,22.3,33.67,0,0,0,13.08,0,8.74,0,1.65,150,0,0,0,3.56,0.67,0.96,29.24,5.77,0.38,0,3.85,0,5.77,7.7,0,28.86,0.77,7.02,499.33000000000004

57,14:00-14:15,144.3,8.74,22.3,22.3,28.86,0,0,0,13.08,0,8.74,0,1.65,150,0,0,0,5.58,0.67,0.96,27.22,4.81,0.38,0,3.85,0,5.77,7.7,0,28.86,0.77,7.02,493.56000000000006

58,14:15-14:30,144.3,8.74,22.3,22.3,28.86,0,0,0,13.08,0,8.74,0,1.65,150,0,0,0,7.98,0.67,0.96,24.82,4.81,0.38,0,3.85,0,5.77,7.7,0,28.86,0.77,7.02,493.56000000000006

59,14:30-14:45,144.3,8.74,22.3,22.3,28.86,0,0,0,13.08,0,8.74,0,1.65,150,0,0,0,10.77,0.67,0.96,22.03,4.81,0.38,0,3.85,0,5.77,7.7,0,28.86,0.77,7.02,493.56000000000006

60,14:45-15:00,144.3,8.74,22.3,22.3,28.86,0,0,0,13.08,0,8.74,0,1.65,150,0,0,0,13.76,0.67,0.96,19.05,4.81,0.38,0,3.85,0,5.77,7.7,0,28.86,0.77,7.02,493.57000000000005

61,15:00-15:15,144.3,13.47,22.3,22.3,28.86,0,0,0,13.08,0,13.47,0,1.65,150,0,0,0,17.03,0.67,0.96,15.78,4.81,0.38,0,3.85,0,5.77,7.7,0,28.86,0.63,7.02,502.89

62,15:15-15:30,144.3,13.47,22.3,22.3,28.86,0,0,0,13.08,0,13.47,0,1.65,150,0,0,0,20.68,0.67,1.06,12.12,4.81,0.38,0,3.85,0,5.77,7.7,0,28.86,0.63,7.02,502.98

63,15:30-15:45,144.3,13.47,22.3,22.3,28.86,0,0,0,13.08,0,13.47,0,1.65,150,0,0,0,10.1,0.67,0.96,22.7,4.81,0.38,0,3.85,0,5.77,7.7,0,28.86,0.63,7.02,502.88

64,15:45-16:00,144.3,13.47,22.3,22.3,28.86,0,0,0,13.08,0,13.47,0,1.65,150,0,0,0,13.66,0.67,0.96,18.95,4.81,0.38,0,3.85,0,5.77,7.7,0,28.86,0.63,7.02,502.69

65,16:00-16:15,144.3,13.47,28.86,28.86,43.29,0,0,0,13.08,0,13.47,0,1.74,150,0,0,0,0,0.77,0.96,15.39,2.89,0.38,0,3.85,0,5.77,7.7,0,28.86,0.48,7.02,511.14

66,16:15-16:30,144.3,13.47,28.86,28.86,43.29,0,0,0,13.08,0,13.47,0,1.74,150,0,0,0,0,0.77,0.96,12.03,2.89,0.38,0,3.85,0,5.77,7.7,0,28.86,0.48,7.02,507.78

67,16:30-16:45,144.3,13.47,36.56,36.56,43.29,0,0,0,0,0,13.47,0,1.74,150,0,0,0,0,0.77,0.96,0,2.89,0.48,0,3.85,0,5.77,7.7,0,28.86,0.48,0,491.15000000000003

68,16:45-17:00,144.3,13.47,36.56,36.56,43.29,0,0,0,0,0,13.47,0,1.74,150,0,0,0,0,0.67,0.96,0,2.89,0.38,0,3.85,0,5.77,7.7,0,28.86,0.48,0,490.95000000000005

69,17:00-17:15,144.3,13.47,36.56,36.56,43.29,0,0,0,0,0,13.47,0,1.65,150,133.72,0,0,0,0.58,0.96,0,0.96,0.38,0,3.85,0,5.77,7.7,3.85,28.86,0.48,0,626.4100000000002

70,17:15-17:30,144.3,13.47,36.56,36.56,43.29,0,0,0,0,0,13.47,0,1.65,150,130.83,0,0,0,0.58,0.96,0,0.96,0.38,0,3.85,0,5.77,7.7,3.85,28.86,0.48,0,623.5200000000002

71,17:30-17:45,144.3,13.47,33.67,33.67,43.29,0,0,0,0,0,13.47,0,1.65,150,134.68,0,0,0,0.58,0.96,0,0.96,0.38,0,3.85,0,5.77,7.7,3.85,28.86,0.48,0,621.5900000000003

72,17:45-18:00,144.3,13.47,33.67,33.67,43.29,0,0,0,0,0,13.47,0,1.65,150,136.6,0,0,0,0.58,0.96,0,0.96,0.38,0,3.85,0,5.77,7.7,3.85,28.86,0.48,0,623.5100000000002

73,18:00-18:15,144.3,13.47,33.67,33.67,43.29,38.48,50,150,0,0,13.47,0,1.65,150,174.12,0,0,0,0.58,0.96,0,0,0.38,38.48,3.85,0,5.77,7.7,3.85,28.86,0.53,0,937.0800000000002

74,18:15-18:30,144.3,13.47,33.67,33.67,43.29,38.48,50,150,0,0,13.47,0,1.65,150,186.63,0,0,0,0.58,0.96,0,0,0.38,38.48,3.85,0,5.77,7.7,3.85,28.86,0.53,0,949.5900000000001

75,18:30-18:45,144.3,13.47,33.67,33.67,43.29,38.48,50,150,0,0,13.47,0,1.65,150,190.48,0,0,0,0.58,0.96,0,0,0.38,38.48,3.85,0,5.77,7.7,3.85,28.86,0.53,0,953.4400000000002

76,18:45-19:00,144.3,13.47,33.67,33.67,43.29,38.48,50,150,0,0,13.47,0,1.65,150,191.44,0,0,0,0.58,0.87,0,0,0.38,38.48,3.85,0,5.77,7.7,3.85,28.86,0.53,0,954.3100000000002

77,19:00-19:15,144.3,13.47,28.86,28.86,43.29,38.48,50,150,0,0,13.47,0,1.65,150,0,0,0,0,0,0,0,0,0,38.48,3.85,0,5.77,7.7,3.85,28.86,0.53,0,751.4200000000002

78,19:15-19:30,144.3,13.47,28.86,28.86,38.48,38.48,50,150,0,0,13.47,0,1.65,150,0,0,0,0,0,0,0,0,0,38.48,3.85,0,5.77,7.7,3.85,28.86,0.53,0,746.61

79,19:30-19:45,144.3,13.47,28.86,28.86,38.48,38.48,50,150,0,0,13.47,0,1.65,150,0,0,0,0,0,0,0,0,0,38.48,3.85,0,5.77,7.7,3.85,28.86,0.53,0,746.61

80,19:45-20:00,144.3,13.47,28.86,28.86,38.48,38.48,50,150,0,0,13.47,0,1.65,150,0,0,0,0,0,0,0,0,0,38.48,3.85,0,5.77,7.7,3.85,28.86,0.53,0,746.61

81,20:00-20:15,144.3,13.47,28.86,28.86,26.23,38.48,50,250,0,0,13.47,0,1.74,150,0,0,0,0,0,0,0,0,0,38.48,3.85,0,5.77,7.7,3.85,28.86,0.53,0,834.4500000000002

82,20:15-20:30,144.3,13.47,28.86,28.86,26.23,38.48,50,250,0,0,13.47,0,1.74,150,0,0,0,0,0,0,0,0,0,38.48,3.85,0,5.77,7.7,3.85,28.86,0.53,0,834.4500000000002

83,20:30-20:45,144.3,13.47,28.86,28.86,26.23,38.48,50,250,0,0,13.47,0,1.74,150,0,0,0,0,0,0,0,0,0,38.48,3.85,0,5.77,7.7,3.85,28.86,0.53,0,834.4500000000002

84,20:45-21:00,144.3,13.47,28.86,28.86,26.23,38.48,50,250,0,0,13.47,0,1.74,150,0,0,0,0,0,0,0,0,0,38.48,3.85,0,5.77,7.7,3.85,28.86,0.53,0,834.4500000000002

85,21:00-21:15,144.3,13.47,28.86,28.86,26.23,38.48,50,250,0,0,13.47,0,1.65,150,0,0,0,0,0,0,0,0,0,0,3.85,0,5.77,7.7,3.85,28.86,0.53,0,795.8800000000001

86,21:15-21:30,144.3,13.47,28.86,28.86,26.23,38.48,50,250,0,0,13.47,0,1.65,150,0,0,0,0,0,0,0,0,0,0,3.85,0,5.77,7.7,3.85,28.86,0.53,0,795.8800000000001

87,21:30-21:45,144.3,13.47,22.3,22.3,26.23,38.48,50,250,0,0,13.47,0,1.65,150,0,0,0,0,0,0,0,0,0,0,3.85,0,5.77,7.7,3.85,28.86,0.53,0,782.7600000000001

88,21:45-22:00,144.3,13.47,22.3,22.3,26.23,38.48,50,250,0,0,13.47,0,1.65,150,0,0,0,0,0,0,0,0,0,0,3.85,0,5.77,7.7,3.85,28.86,0.53,0,782.7600000000001

89,22:00-22:15,144.3,13.47,22.3,22.3,26.23,38.48,50,250,0,0,13.47,0,1.65,150,0,142.69,47.56,0,0,0,0,0,0,0,2.89,0,5.77,7.7,0.96,28.86,0.48,0,969.1100000000001

90,22:15-22:30,144.3,8.74,22.3,22.3,26.23,38.48,50,250,0,0,8.74,0,1.65,150,0,142.69,47.56,0,0,0,0,0,0,0,2.89,0,5.77,7.7,0.96,28.86,0.48,0,959.6500000000001

91,22:30-22:45,144.3,8.74,22.3,22.3,26.23,38.48,50,250,0,0,8.74,0,1.65,150,0,142.69,47.56,0,0,0,0,0,0,0,2.89,0,5.77,7.7,0.96,28.86,0.48,0,959.6500000000001

92,22:45-23:00,144.3,8.74,22.3,22.3,26.23,38.48,50,250,0,0,8.74,0,1.65,150,0,142.69,47.56,0,0,0,0,0,0,0,2.89,0,5.77,7.7,0.96,28.86,0.48,0,959.6500000000001

93,23:00-23:15,144.3,8.74,22.3,22.3,26.23,38.48,50,250,0,0,8.74,0,1.65,150,0,142.69,47.56,0,0,0,0,0,0,0,2.89,0,5.77,7.7,0.96,28.86,0.43,0,959.6

94,23:15-23:30,144.3,8.74,22.3,22.3,26.23,38.48,50,250,0,0,8.74,0,1.65,150,0,142.69,47.56,0,0,0,0,0,0,0,2.89,0,5.77,7.7,0.96,28.86,0.43,0,959.6

95,23:30-23:45,144.3,8.74,22.3,22.3,26.23,38.48,50,250,0,0,8.74,0,1.65,150,0,142.69,47.56,0,0,0,0,0,0,0,2.89,0,5.77,7.7,0.96,28.86,0.43,0,959.6

96,23:45-24:00,144.3,8.74,22.3,22.3,26.23,38.48,50,250,0,0,8.74,0,1.65,150,0,142.69,47.56,0,0,0,0,0,0,0,2.89,0,5.77,7.7,0.96,28.86,0.43,0,959.6

