Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/25518/A/57879,WR/2025/26427/A/57859,WR/2025/26582/A/58058,NR/2025/25517/A/57884,WR/2025/26499/A/58060,NR/2025/25516/A/57877,NR/2025/25612/C,NR/2025/25611/C,NR/30092023/31122025/SH-07,GNA/NR/2025/03/01/6891,GNA/NR/2025/03/01/9482,NR/30092023/26122029/SH-06,GNA/WR/2025/01/01/8625,GNA/WR/2025/01/01/9606,GNA/SR/2025/03/01/7500,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/5143,GNA/NR/2025/03/01/3469,GNA/WR/2025/03/01/6406,WR/2025/26426/A/57858,GNA/NR/2025/03/01/2563,NR/2025/25159/A/57772,GNA/NR/2025/03/01/8036,Total
42,10:15-10:30,84.92,0.29,0,0,0.29,40.32,0.58,38.4,14.4,0,0,17.28,0,0,0,0,4.04,23.04,5.76,0,6.72,0,0,23.04,0.91,23.04,283.03000000000003

43,10:30-10:45,91.62,0.29,0,0,0.38,40.32,0.58,38.4,14.4,0,0,17.28,0,0,0,0,4.04,23.04,5.76,0,6.72,0,0,23.04,0.91,23.04,289.82000000000005

44,10:45-11:00,95.85,0.29,0,0,0.38,40.32,0.58,38.4,14.4,0,0,17.28,0,0,0,0,4.04,23.04,5.76,0,6.72,0,0,23.04,0.91,23.04,294.05000000000007

45,11:00-11:15,97.59,0.29,0,0,0.38,40.32,0.58,38.4,14.4,0,0,17.28,0,0,0,0,4.04,23.04,5.76,0,6.72,0,0,23.04,0.91,23.04,295.7900000000001

46,11:15-11:30,98.31,0.29,0,0,0.48,40.32,0.58,38.4,14.4,0,0,17.28,0,0,0,0,4.04,23.04,5.76,0,6.72,0,0,23.04,0.91,23.04,296.61000000000007

47,11:30-11:45,96.67,0.29,0,0,0.58,40.32,0.58,38.4,14.4,0,0,17.28,0,0,0,0,4.04,23.04,5.76,0,6.72,0,0,23.04,0.91,23.04,295.07000000000005

48,11:45-12:00,96.67,0.29,0,0,0.58,40.32,0.58,38.4,14.4,0,0,17.28,0,0,0,0,4.04,23.04,5.76,0,6.72,0,0,23.04,0.91,23.04,295.07000000000005

49,12:00-12:15,96.67,0.29,0,0,0.58,40.32,0.58,38.4,14.4,0,0,17.28,0,0,0,0,4.04,23.04,5.76,0,6.72,0,0,23.04,0.91,23.04,295.07000000000005

50,12:15-12:30,96.67,0.29,0,0,0.58,40.32,0.58,38.4,14.4,0,0,17.28,0,0,0,0,4.04,23.04,5.76,0,6.72,0,0,23.04,0.91,23.04,295.07000000000005

51,12:30-12:45,96.67,0.29,0,0,0.38,40.32,0.58,38.4,14.4,0,0,17.28,0,0,0,0,4.04,23.04,5.76,0,6.72,0,0,23.04,0.91,23.04,294.87000000000006

52,12:45-13:00,96.67,0.38,0,0,0.48,40.32,0.58,38.4,14.4,0,0,17.28,0,0,0,0,4.04,23.04,5.76,0,6.72,0,0,23.04,0.91,23.04,295.06000000000006

53,13:00-13:15,96.67,0.38,0,0,0.48,40.32,0.58,38.4,14.4,0,0,17.28,0,0,0,0,4.04,23.04,5.76,0,6.72,0,0,23.04,0.91,23.04,295.06000000000006

54,13:15-13:30,96.67,0.29,0,0,0.48,40.32,0.58,38.4,14.4,0,0,17.28,0,0,0,0,4.04,23.04,5.76,0,6.72,0,0,23.04,0.91,23.04,294.9700000000001

55,13:30-13:45,96.67,0.29,0,0,0.48,40.32,0.58,38.4,14.4,0,0,17.28,0,0,0,0,4.04,23.04,5.76,0,6.72,0,0,23.04,0.91,23.04,294.9700000000001

56,13:45-14:00,96.67,0.29,0,0,0.48,40.32,0.58,38.4,14.4,0,0,17.28,0,0,0,0,4.04,23.04,5.76,0,6.72,0,0,23.04,0.91,23.04,294.9700000000001

57,14:00-14:15,96.67,0.29,0,0,0.48,40.32,0.58,38.4,14.4,0,0,17.28,0,0,0,0,4.04,23.04,5.76,0,6.72,0,0,23.04,0.91,23.04,294.9700000000001

58,14:15-14:30,96.67,0.29,0,0,0.48,40.32,0.77,38.4,14.4,0,0,17.28,0,0,0,0,4.04,23.04,5.76,0,6.72,0,0,23.04,0.91,23.04,295.1600000000001

59,14:30-14:45,96.67,0.29,0,0,0.48,40.32,0.77,38.4,14.4,0,0,17.28,0,0,0,0,4.04,23.04,5.76,0,6.72,0,0,23.04,0.91,23.04,295.1600000000001

60,14:45-15:00,96.51,0.29,0,0,0.48,40.32,0.77,38.4,14.4,0,0,17.28,0,0,0,0,4.04,23.04,5.76,0,6.72,0,0,23.04,0.91,23.04,295.00000000000006

61,15:00-15:15,80.94,0.29,0,0,0.48,40.32,0.67,38.4,14.4,0,0,17.28,0,0,0,0,4.04,23.04,5.76,0,6.72,0,0,23.04,0.67,23.04,279.09

62,15:15-15:30,74.16,0.29,0,0,0.48,40.32,0.67,38.4,14.4,0,0,17.28,0,0,0,0,4.04,23.04,5.76,0,6.72,0,0,23.04,0.67,23.04,272.30999999999995

63,15:30-15:45,56.05,0.29,0,0,0.48,40.32,0.67,38.4,14.4,0,0,17.28,0,0,0,0,4.04,23.04,5.76,0,6.72,0,0,23.04,0.67,23.04,254.19999999999993

64,15:45-16:00,48.71,0.29,0,0,0.38,40.32,0.58,38.4,14.4,0,0,17.28,0,0,0,0,4.04,23.04,5.76,0,6.72,0,0,23.04,0.67,23.04,246.66999999999996

65,16:00-16:15,51.77,0.29,0,0,0.38,40.32,0.58,38.4,14.4,0,0,17.28,0,0,0,0,3.96,23.04,5.76,0,6.72,0,0,23.04,0.53,23.04,249.51

66,16:15-16:30,47.88,0.29,0,0,0.38,40.32,0.58,38.4,14.4,0,0,17.28,0,0,0,0,3.96,23.04,5.76,0,6.72,0,0,23.04,0.53,23.04,245.61999999999998

67,16:30-16:45,44.39,0.29,0,0,0.48,40.32,0.58,38.4,14.4,0,0,17.28,0,0,0,0,3.96,23.04,5.76,0,6.72,0,0,23.04,0.53,23.04,242.22999999999996

68,16:45-17:00,39.23,0.29,0,0,0.58,40.32,0.58,38.4,14.4,0,0,17.28,0,0,0,0,3.96,23.04,5.76,0,6.72,0,0,23.04,0.53,23.04,237.16999999999996

69,17:00-17:15,32.23,0.29,0,0,0.58,40.32,0.58,0,0,0,0,17.28,0,100,0,0,3.96,25.92,5.76,0,6.72,0,0,25.92,0.53,25.92,286.00999999999993

70,17:15-17:30,26.53,0.29,0,0,0.38,40.32,0.58,0,0,0,0,17.28,0,100,0,0,3.96,25.92,5.76,0,6.72,0,0,25.92,0.53,25.92,280.10999999999996

71,17:30-17:45,21.06,0.29,0,0,0.38,40.32,0.58,0,0,0,0,17.28,0,100,0,0,3.96,25.92,5.76,0,6.72,0,0,25.92,0.53,25.92,274.64

72,17:45-18:00,15.6,0.27,0,0,0.36,40.32,0.53,0,0,0,0,17.28,0,100,0,0,3.96,25.92,5.76,0,6.72,0,0,25.92,0.53,25.92,269.09

73,18:00-18:15,11.87,0,0,0,0,40.32,0,0,0,0,0,17.28,0,100,50,0,4.04,25.92,5.76,0,6.72,0,0,25.92,0.53,25.92,314.28000000000003

74,18:15-18:30,8.14,0,0,0,0,40.32,0,0,0,0,0,17.28,0,100,50,0,4.04,25.92,5.76,0,6.72,0,0,25.92,0.53,25.92,310.55

75,18:30-18:45,4.41,0,0,0,0,40.32,0,0,0,0,0,17.28,0,100,50,50,4.04,28.8,5.76,0,6.72,0,0,28.8,0.53,28.8,365.46000000000004

76,18:45-19:00,0.68,0,0,0,0,40.32,0,0,0,0,0,17.28,0,100,50,50,4.04,28.8,5.76,0,6.72,0,0,28.8,0.53,28.8,361.73

77,19:00-19:15,0.38,0,0,0,0,40.32,0,0,0,0,0,17.28,0,100,50,50,4.22,28.8,5.76,0,6.72,0,0,28.8,0.62,28.8,361.7000000000001

78,19:15-19:30,0,0,0,0,0,40.32,0,0,0,0,0,17.28,0,100,50,50,4.22,28.8,5.76,0,6.72,0,0,28.8,0.62,28.8,361.3200000000001

79,19:30-19:45,0,0,0,0,0,40.32,0,0,0,0,0,17.28,0,100,50,50,4.22,28.8,5.76,0,6.72,0,0,28.8,0.62,28.8,361.3200000000001

80,19:45-20:00,0,0,0,0,0,40.32,0,0,0,0,0,17.28,0,100,50,50,4.22,28.8,5.76,0,6.72,0,0,28.8,0.62,28.8,361.3200000000001

81,20:00-20:15,0,0,0,0,0,40.32,0,0,0,0,0,17.28,0,100,75,50,4.41,28.8,5.76,0,6.72,0,48,28.8,0.62,28.8,434.5100000000001

82,20:15-20:30,0,0,0,0,0,40.32,0,0,0,0,0,17.28,0,100,75,50,4.41,28.8,5.76,0,6.72,0,48,28.8,0.62,28.8,434.5100000000001

83,20:30-20:45,0,0,0,0,0,40.32,0,0,0,0,0,17.28,0,100,75,50,4.41,28.8,5.76,0,6.72,0,48,28.8,0.62,28.8,434.5100000000001

84,20:45-21:00,0,0,0,0,0,40.32,0,0,0,0,0,17.28,0,100,75,50,4.41,28.8,5.76,0,6.72,0,48,28.8,0.62,28.8,434.5100000000001

85,21:00-21:15,0,0,0,0,0,40.32,0,0,0,0,0,17.28,0,100,75,50,4.41,28.8,5.76,0,6.72,0,48,28.8,0.62,28.8,434.5100000000001

86,21:15-21:30,0,0,0,0,0,40.32,0,0,0,0,0,17.28,0,100,75,50,4.41,28.8,5.76,0,6.72,0,48,28.8,0.62,28.8,434.5100000000001

87,21:30-21:45,0,0,0,0,0,40.32,0,0,0,0,0,17.28,0,100,75,50,4.41,28.8,5.76,0,6.72,0,48,28.8,0.62,28.8,434.5100000000001

88,21:45-22:00,0,0,0,0,0,40.32,0,0,0,0,0,17.28,0,100,75,50,4.41,28.8,5.76,0,6.72,0,48,28.8,0.62,28.8,434.5100000000001

89,22:00-22:15,0,0,24,24,0,40.32,0,0,0,2.5,63.42,17.28,2.5,100,75,50,4.32,23.04,5.76,190.26,6.72,0,48,23.04,0.53,23.04,723.7299999999999

90,22:15-22:30,0,0,24,24,0,40.32,0,0,0,2.5,63.42,17.28,2.5,100,75,50,4.32,23.04,5.76,190.26,6.72,0,48,23.04,0.53,23.04,723.7299999999999

91,22:30-22:45,0,0,24,24,0,40.32,0,0,0,2.5,63.42,17.28,2.5,100,75,50,4.32,23.04,5.76,190.26,6.72,0,48,23.04,0.53,23.04,723.7299999999999

92,22:45-23:00,0,0,24,24,0,40.32,0,0,0,2.5,63.42,17.28,2.5,100,75,50,4.32,23.04,5.76,190.26,6.72,0,48,23.04,0.53,23.04,723.7299999999999

93,23:00-23:15,0,0,24,24,0,40.32,0,0,0,2.5,63.42,17.28,2.5,0,75,50,4.32,23.04,5.76,190.26,6.72,0,48,23.04,0.48,23.04,623.68

94,23:15-23:30,0,0,24,24,0,40.32,0,0,0,2.5,63.42,17.28,2.5,0,75,50,4.32,23.04,5.76,190.26,6.72,0,48,23.04,0.48,23.04,623.68

95,23:30-23:45,0,0,24,24,0,40.32,0,0,0,2.5,63.42,17.28,2.5,0,75,50,4.32,23.04,5.76,190.26,6.72,0,48,23.04,0.48,23.04,623.68

96,23:45-24:00,0,0,24,24,0,40.32,0,0,0,2.5,63.42,17.28,2.5,0,75,50,4.32,23.04,5.76,190.26,6.72,0,48,23.04,0.48,23.04,623.68

