Column1,Block,NR/2025/27728/A/77263,NR/2025/27726/A/77264,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/2569,NR/2025/26570/A/77233,NR/2025/26445/A/77363,NR/2025/27850/C,NR/2025/27281/A/77392,NR/2025/27157/A/76904,NR/2025/27904/C,NR/2025/27900/C,NR/2025/27902/C,NR/2025/26564/A/77231,NR/2025/27903/C,NR/2025/26563/A/77230,NR/2025/27088/A/77344,NR/2025/26569/A/77232,NR/2025/27782/A/77261,NR/2025/27870/C,NR/2025/27361/A/76949,NR/2025/27873/C,NR/2025/27162/A/77266,NR/2025/27874/C,NR/2025/27884/C,NR/2025/27167/A/76980,NR/2025/27727/A/77262,NR/2025/26085/A/76996,NR/2025/27725/A/77265,NR/2025/26561/A/77229,NR/2025/26975/A/77267,NR/2025/27499/A/77252,NR/2025/27242/A/76990,NR/2025/27791/C,NR/2025/27724/A/77020,NR/2025/27819/C,NR/2025/26889/A/77253,NR/2025/27826/C,NR/2025/27359/A/76953,NR/2025/27885/C,NR/2025/26777/A/76903,NR/2025/27886/C,NR/2025/26860/A/76945,NR/2025/27393/A/76947,NR/2025/27788/C,NR/2025/27901/C,NR/2025/27168/A/76985,NR/2025/26952/A/76816,NR/2025/27462/A/76833,NR/2025/26785/A/76838,NR/2025/27360/A/76951,NR/2025/26861/A/77198,NR/2025/27356/A/76955,GNARE/NR/2024/12/20/3668,NR/2025/27622/A/77172,Total
3,00:30-00:45,26.32,26.32,26.7,26.7,11.82,20.51,11.9,11.89,20.51,41.02,0,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,217.07,0,0,0,0,0,0,164.08,0,8.77,0,38.61,0,55.92,0,0,20.51,26.32,0.68,8.77,0,27.03,8.69,0,0,10.62,0,5.79,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,164.08,0,0,0,1828.32

4,00:45-01:00,26.32,26.32,26.7,26.7,11.82,20.51,11.9,11.89,20.51,41.02,0,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,217.07,0,0,0,0,0,0,164.08,0,8.77,0,38.61,0,55.92,0,0,20.51,26.32,0.68,8.77,0,27.03,8.69,0,0,10.62,0,5.79,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,164.08,0,0,0,1828.32

5,01:00-01:15,26.32,26.32,26.7,26.7,11.73,20.51,11.9,11.89,20.51,41.02,0,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,217.07,0,0,0,0,0,0,164.08,0,8.77,0,38.61,0,55.92,0,0,20.51,26.32,0.68,8.77,0,27.03,8.69,0,0,10.62,0,5.79,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,164.08,0,0,0,1828.2299999999998

6,01:15-01:30,26.32,26.32,26.7,26.7,11.73,20.51,11.9,11.89,20.51,41.02,0,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,217.07,0,0,0,0,0,0,164.08,0,8.77,0,38.61,0,55.92,0,0,20.51,26.32,0.68,8.77,0,27.03,8.69,0,0,10.62,0,5.79,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,164.08,0,0,0,1828.2299999999998

7,01:30-01:45,26.32,26.32,26.7,26.7,11.73,20.51,11.9,11.89,20.51,41.02,0,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,217.07,0,0,0,0,0,0,164.08,0,8.77,0,38.61,0,55.92,0,0,20.51,26.32,0.68,8.77,0,27.03,8.69,0,0,10.62,0,5.79,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,164.08,0,0,0,1828.2299999999998

8,01:45-02:00,26.32,26.32,26.7,26.7,11.73,20.51,11.9,11.89,20.51,41.02,0,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,217.07,0,0,0,0,0,0,164.08,0,8.77,0,38.61,0,55.92,0,0,20.51,26.32,0.68,8.77,0,27.03,8.69,0,0,10.62,0,5.79,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,164.08,0,0,0,1828.2299999999998

9,02:00-02:15,26.32,26.32,26.94,26.94,11.64,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,217.07,0,0,0,0,0,0,164.08,0,8.77,0,38.61,0,55.92,0,0,20.51,26.32,0.63,8.77,0,27.03,0,0,0,10.62,0,0,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,0,0,0,0,1814.09

10,02:15-02:30,26.32,26.32,26.94,26.94,11.64,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,217.07,0,0,0,0,0,0,164.08,0,8.77,0,38.61,0,55.92,0,0,20.51,26.32,0.63,8.77,0,27.03,0,0,0,10.62,0,0,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,0,0,0,0,1814.09

11,02:30-02:45,26.32,26.32,26.94,26.94,11.64,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,217.07,0,0,0,0,0,0,164.08,0,8.77,0,38.61,0,55.92,0,0,20.51,26.32,0.63,8.77,0,27.03,0,0,0,10.62,0,0,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,0,0,0,0,1814.09

12,02:45-03:00,26.32,26.32,26.94,26.94,11.64,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,217.07,0,0,0,0,0,0,164.08,0,8.77,0,38.61,0,55.92,0,0,20.51,26.32,0.63,8.77,0,27.03,0,0,0,10.62,0,0,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,0,0,0,0,1814.09

13,03:00-03:15,26.32,26.32,26.94,26.94,11.54,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,217.07,0,0,0,0,0,0,164.08,0,8.77,0,38.61,0,55.92,0,0,20.51,26.32,0.53,8.77,0,5.79,0,0,0,10.62,0,0,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,0,0,0,0,1792.6499999999999

14,03:15-03:30,26.32,26.32,26.94,26.94,11.54,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,217.07,0,0,0,0,0,0,164.08,0,8.77,0,38.61,0,55.92,0,0,20.51,26.32,0.53,8.77,0,5.79,0,0,0,10.62,0,0,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,0,0,0,0,1792.6499999999999

15,03:30-03:45,26.32,26.32,26.94,26.94,11.54,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,217.07,0,0,0,0,0,0,164.08,0,8.77,0,38.61,0,55.92,0,0,20.51,26.32,0.53,8.77,0,5.79,0,0,0,10.62,0,0,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,0,0,0,0,1792.6499999999999

16,03:45-04:00,26.32,26.32,26.94,26.94,11.54,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,217.07,0,0,0,0,0,0,164.08,0,8.77,0,38.61,0,55.92,0,0,20.51,26.32,0.53,8.77,0,5.79,0,0,0,10.62,0,0,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,0,0,0,0,1792.6499999999999

17,04:00-04:15,26.32,26.32,26.94,26.94,11.46,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,0,0,0,0,0,0,0,164.08,0,8.77,0,38.61,0,55.92,0,0,20.51,26.32,0.53,8.77,0,5.79,0,0,0,10.62,0,0,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,0,0,0,0,1575.5

18,04:15-04:30,26.32,26.32,26.94,26.94,11.46,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,0,0,0,0,0,0,0,164.08,0,8.77,0,38.61,0,55.92,0,0,20.51,26.32,0.53,8.77,0,5.79,0,0,0,10.62,0,0,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,0,0,0,0,1575.5

19,04:30-04:45,26.32,26.32,26.94,26.94,11.46,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,0,0,0,0,0,0,0,164.08,0,8.77,0,38.61,0,55.92,0,0,20.51,26.32,0.53,8.77,0,5.79,0,0,0,10.62,0,0,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,0,0,0,0,1575.5

20,04:45-05:00,26.32,26.32,26.94,26.94,11.46,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,0,0,0,0,0,0,0,164.08,0,8.77,0,38.61,0,55.92,0,0,20.51,26.32,0.53,8.77,0,5.79,0,0,0,10.62,0,0,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,0,0,0,0,1575.5

21,05:00-05:15,26.32,26.32,26.94,26.94,11.27,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,0,0,0,0,0,0,0,164.08,0,8.77,0,38.61,0,55.92,0,0,20.51,26.32,0.63,8.77,0,5.79,0,0,0,10.62,0,0,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,0,0,0,0,1575.4099999999999

22,05:15-05:30,26.32,26.32,26.94,26.94,11.27,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,0,0,0,0,0,0,0,164.08,0,8.77,0,38.61,0,55.92,0,0,20.51,26.32,0.63,8.77,0,5.79,0,0,0,10.62,0,0,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,0,0,0.02,0,1575.4299999999998

23,05:30-05:45,26.32,26.32,26.94,26.94,11.27,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,0,0,0,0,0,0,0,164.08,0,8.77,0,38.61,0,55.92,0,0,20.51,26.32,0.63,8.77,0,5.79,0,0,0,10.62,0,0,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,0,0,0.1,0,1575.5099999999998

24,05:45-06:00,26.32,26.32,26.94,26.94,11.27,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,0,0,0,0,0,0,0,164.08,0,8.77,0,38.61,0,55.92,0,0,20.51,26.32,0.63,8.77,0,5.79,0,0,0,9.65,0,0,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,0,0,0.12,0,1574.5599999999997

25,06:00-06:15,26.32,26.32,26.94,26.94,11.08,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,0,0,0,0,0,0,0,164.08,0,8.77,0,0,0,55.92,0,0,20.51,26.32,0.68,8.77,0,5.79,0,0,0,9.65,0,0,0,0,27.03,164.08,164.33,90.25,0,0,0,20.51,0,9.65,0,0,0,1,0.61,0,1363.5599999999997

26,06:15-06:30,26.32,26.32,26.94,26.94,11.08,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,0,0,0,0,0,0,0,164.08,0,8.77,0,0,0,55.92,0,0,20.51,26.32,0.68,8.77,0,5.79,0,0,0,9.65,0,0,0,0,27.03,164.08,164.33,90.25,0,0,0,20.51,0,9.65,0,0,0,4,1.29,0,1367.2399999999998

27,06:30-06:45,26.32,26.32,26.94,26.94,11.08,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,0,0,0,0,0,0,0,164.08,0,8.77,0,0,0,55.92,0,0,20.51,26.32,0.68,8.77,0,5.79,0,0,0,9.65,0,0,0,0,27.03,164.08,164.33,90.25,0,0,0,20.51,0,9.65,0,0,0,7,4.31,0,1373.2599999999998

28,06:45-07:00,26.32,26.32,26.94,26.94,11.08,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,0,0,0,0,0,0,0,164.08,0,8.77,0,0,0,55.92,0,0,20.51,26.32,0.68,8.77,0,5.79,0,0,0,9.65,0,0,0,0,27.03,164.08,164.33,90.25,0,0,0,20.51,0,9.65,0,0,0,14,7.19,0,1383.1399999999999

29,07:00-07:15,26.32,26.32,26.94,26.94,10.99,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,0,0,0,0,0,0,0,164.08,0,8.77,0,0,0,55.92,0,0,20.51,26.32,0.87,8.77,0,5.79,0,0,0,9.65,0,0,0,0,27.03,164.08,164.33,90.25,0,0,0,20.51,0,9.65,0,0,0,25,10.81,0,1397.86

30,07:15-07:30,26.32,26.32,26.94,26.94,10.99,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,0,0,0,0,0,0,0,164.08,0,8.77,0,0,0,55.92,0,0,20.51,26.32,0.87,8.77,0,5.79,0,0,0,9.65,0,0,0,0,27.03,164.08,164.33,90.25,0,0,0,20.51,0,9.65,0,0,0,35,15.5,0,1412.55

31,07:30-07:45,26.32,26.32,26.94,26.94,10.99,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,0,0,0,0,0,0,0,164.08,0,8.77,0,0,0,55.92,0,0,20.51,26.32,0.87,8.77,0,5.79,0,0,0,9.65,0,0,0,0,27.03,164.08,164.33,90.25,0,0,0,20.51,0,9.65,0,0,0,49,21.08,0,1432.1299999999999

32,07:45-08:00,26.32,26.32,26.94,26.94,10.99,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,0,0,0,0,0,0,0,164.08,0,8.77,0,0,0,55.92,0,0,20.51,26.32,0.87,8.77,0,5.79,0,0,0,9.65,0,0,0,0,27.03,164.08,164.33,90.25,0,0,0,20.51,0,9.65,0,0,0,63,27.27,0,1452.32

33,08:00-08:15,30.25,30.25,26.94,26.94,10.9,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,0,0,0,0,0,0,0,164.08,0,14.62,0,0,0,55.92,0,0,20.51,43.87,0.97,14.62,0,5.79,0,0,0,9.65,0,0,0,0,27.03,164.08,164.33,90.25,0,0,0,20.51,0,9.65,0,0,0,77,33.94,5.79,1515.8999999999999

34,08:15-08:30,30.25,30.25,26.94,26.94,10.9,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,0,0,0,0,0,0,0,164.08,0,14.62,0,0,0,55.92,0,0,20.51,43.87,0.97,14.62,0,5.79,0,0,0,10.62,0,0,0,0,27.03,164.08,164.33,90.25,0,0,0,20.51,0,9.65,0,0,0,88,40.65,5.79,1534.58

35,08:30-08:45,30.25,30.25,26.94,26.94,10.9,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,0,0,0,0,0,0,0,164.08,0,14.62,0,0,0,55.92,0,0,20.51,43.87,0.97,14.62,0,5.79,0,0,0,10.62,0,0,0,0,27.03,164.08,164.33,90.25,0,0,0,20.51,0,9.65,0,0,0,102,47.35,5.79,1555.2799999999997

36,08:45-09:00,30.25,30.25,26.94,26.94,10.9,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,0,0,0,0,0,0,0,164.08,0,14.62,0,0,0,55.92,0,0,20.51,43.87,0.97,14.62,0,5.79,0,0,0,10.62,0,0,0,0,27.03,164.08,164.33,90.25,0,0,0,20.51,0,9.65,0,0,0,116,54.18,5.4,1575.72

37,09:00-09:15,0,0,26.95,26.95,10.81,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,90.25,0,0,30.25,14.62,43.87,0,14.62,0,0,0,0,164.08,0,5.79,0,55.92,164.08,20.51,0,0.97,0,0,0,0,0,53.09,10.62,9.65,0,0,0,27.03,0,164.33,0,0,24.85,30.25,20.51,0,0,0,0,0,130,60.82,8.08,1652.0599999999995

38,09:15-09:30,0,0,26.95,26.95,10.81,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,90.25,0,0,30.25,14.62,43.87,0,14.62,0,0,0,0,164.08,0,5.79,0,55.92,164.08,20.51,0,0.97,0,0,0,0,0,53.09,11.58,9.65,0,0,0,27.03,0,164.33,0,0,24.85,30.25,20.51,0,0,0,0,0,137,66.48,8.69,1666.2899999999997

39,09:30-09:45,0,0,26.95,26.95,10.81,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,90.25,0,0,30.25,14.62,43.87,0,14.62,0,0,0,0,164.08,0,5.79,0,55.92,164.08,20.51,0,0.97,0,0,0,0,0,53.09,11.58,9.65,0,0,0,27.03,0,164.33,0,0,24.85,30.25,20.51,0,0,0,0,0,147,78.16,8.69,1687.9699999999998

40,09:45-10:00,0,0,26.95,26.95,10.81,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,90.25,0,0,30.25,14.62,43.87,0,14.62,0,0,0,0,164.08,0,5.79,0,55.92,164.08,20.51,0,0.97,0,0,0,0,0,53.09,11.58,9.65,0,0,0,27.03,0,164.33,0,0,24.85,30.25,20.51,0,0,0,0,0,158,83.74,8.69,1704.5499999999997

41,10:00-10:15,0,0,26.95,26.95,10.71,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,90.25,0,0,30.25,14.62,43.87,0,14.62,0,0,0,0,164.08,0,5.79,0,55.92,164.08,20.51,0,0.97,0,0,0,0,0,53.09,11.58,9.65,0,0,0,27.03,0,164.33,0,0,24.85,30.25,20.51,0,0,0,0,0,168,88.76,11.58,1722.3599999999997

42,10:15-10:30,0,0,26.95,26.95,10.71,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,90.25,0,0,30.25,14.62,43.87,0,14.62,0,0,0,0,164.08,0,5.79,0,55.92,164.08,20.51,0,0.97,0,0,0,0,0,53.09,11.58,9.65,0,0,0,27.03,0,164.33,0,0,24.85,30.25,20.51,0,0,0,0,0,175,93.42,11.58,1734.0199999999998

43,10:30-10:45,0,0,26.95,26.95,10.71,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,90.25,0,0,30.25,14.62,43.87,0,14.62,0,0,0,0,164.08,0,5.79,0,55.92,164.08,20.51,0,0.97,0,0,0,0,0,53.09,11.58,9.65,0,0,0,27.03,0,164.33,0,0,24.85,30.25,20.51,0,0,0,0,0,182,97.58,11.58,1745.1799999999996

