Time,Block,NR/2024/20599/A/21929,NR/2024/20540/A/21711,NR/2024/20553/A/21865,NR/2024/20554/A/21827,NR/2024/19699/A/22394,NR/2024/20050/A/22251,NR/2024/20090/A/21869,NR/2024/20211/A/22202,NR/2024/19966/A/21976,NR/2024/20724/C,NR/2024/20041/A/22256,NR/2024/20144/A/22198,NR/2024/20751/C,NR/2024/19683/A/21889,NR/2024/20824/C,NR/2024/20759/C,NR/2024/20537/A/22429,NR/2024/19918/A/22331,NR/2024/19919/A/22326,NR/2024/19637/A/21966,NR/2024/20714/C,NR/2024/20142/A/22199,NR/2024/19988/A/22167,NR/2024/20515/A/22191,NR/2024/20598/A/21927,NR/2024/20552/A/21866,NR/2024/20734/C,NR/2024/20712/C,NR/2024/19588/A/21943,NR/2024/20513/A/22188,NR/2024/19475/A/22244,NR/2024/20713/C,NR/2024/20130/A/21989,NR/2024/20516/A/22189,NR/2024/19757/A/22392,NR/2024/20597/A/22245,NR/2024/20748/C,NR/2024/20557/A/22388,NR/2024/20560/A/22386,NR/2024/20524/A/22271,NR/2024/20558/A/22387,NR/2024/19779/A/21852,NR/2024/20572/A/22385,NR/2024/20738/C,NR/2024/20037/A/21958,NR/2024/20048/A/22253,NR/2024/19432/A/22396,NR/2024/20212/A/22204,NR/2024/19760/A/21959,NR/2024/19355/A/22431,NR/2024/19791/A/22335,NR/2024/20109/A/22430,NR/2024/20141/A/22200,Total

3,00:30-00:45,0.000000,7.730000,46.420000,0.000000,46.420000,144.900000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,0.000000,1.930000,0.000000,0.000000,0.000000,12.990000,297.040000,0.000000,168.760000,0.520000,96.600000,0.880000,0.000000,27.850000,0.000000,9.660000,66.840000,0.680000,185.660000,0,0.480000,0.980000,46.760000,0.000000,96.600000,10.550000,31.650000,19.320000,31.650000,0.630000,31.650000,0.000000,69.620000,48.300000,23.200000,0.610000,0.000000,92.820000,62.270000,241.500000,0.350000,1928.22

4,00:45-01:00,0.000000,7.730000,46.130000,0.000000,46.130000,144.900000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,0.000000,1.930000,0.000000,0.000000,0.000000,12.920000,295.220000,0.000000,168.760000,0.520000,96.600000,0.880000,0.000000,27.680000,0.000000,9.660000,66.840000,0.680000,184.520000,0,0.480000,0.980000,46.470000,0.000000,96.600000,10.480000,31.450000,19.320000,31.450000,0.630000,31.450000,0.000000,69.190000,48.300000,23.070000,0.610000,0.000000,92.250000,61.880000,241.500000,0.350000,1921.96

5,01:00-01:15,0.000000,7.730000,41.670000,0.000000,41.670000,144.900000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,0.000000,1.930000,0.000000,0.000000,0.000000,11.670000,266.680000,0.000000,168.760000,0.520000,96.600000,0.880000,0.000000,25.000000,0.000000,9.660000,66.840000,0.680000,166.680000,0,0.480000,0.980000,41.980000,0.000000,96.600000,9.470000,28.410000,19.320000,28.410000,0.580000,0.000000,0.000000,62.500000,48.300000,20.840000,0.610000,0.000000,83.340000,55.900000,241.500000,0.350000,1795.84

6,01:15-01:30,0.000000,7.730000,41.510000,0.000000,41.510000,144.900000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,0.000000,1.930000,0.000000,0.000000,0.000000,11.620000,265.640000,0.000000,168.760000,0.520000,96.600000,0.880000,0.000000,24.900000,0.000000,9.660000,66.840000,0.680000,166.030000,0,0.480000,0.980000,41.820000,0.000000,96.600000,9.430000,28.300000,19.320000,28.300000,0.580000,0.000000,0.000000,62.260000,48.300000,20.750000,0.610000,0.000000,83.020000,55.690000,241.500000,0.350000,1792.4

7,01:30-01:45,0.000000,7.730000,41.470000,0.000000,41.470000,144.900000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,0.000000,1.930000,0.000000,0.000000,0.000000,11.610000,265.410000,0.000000,96.740000,0.520000,96.600000,0.880000,0.000000,24.880000,0.000000,9.660000,66.840000,0.680000,165.880000,0,0.480000,0.980000,41.790000,0.000000,96.600000,9.420000,28.270000,19.320000,28.270000,0.580000,0.000000,0.000000,62.200000,48.300000,20.730000,0.610000,0.000000,82.940000,55.630000,241.500000,0.350000,1719.57

8,01:45-02:00,0.000000,7.730000,41.450000,0.000000,41.450000,144.900000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,0.000000,1.930000,0.000000,0.000000,0.000000,11.610000,265.310000,0.000000,61.830000,0.520000,96.600000,0.880000,0.000000,24.870000,0.000000,9.660000,66.840000,0.680000,165.820000,0,0.480000,0.980000,41.770000,0.000000,96.600000,9.420000,28.270000,19.320000,28.270000,0.580000,0.000000,0.000000,62.180000,48.300000,20.730000,0.610000,0.000000,82.910000,55.610000,241.500000,0.350000,1684.36

9,02:00-02:15,0.000000,7.730000,0.000000,0.000000,42.350000,144.900000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,15.570000,1.930000,0.000000,0.000000,0.000000,11.860000,271.040000,0.000000,3.430000,0.520000,96.600000,0.880000,0.000000,0.000000,0.000000,9.660000,66.840000,0.680000,169.400000,0,0.480000,0.980000,42.670000,0.000000,96.600000,9.620000,28.870000,0.000000,28.870000,0.530000,28.870000,0.000000,63.520000,48.300000,21.170000,0.610000,0.000000,84.700000,56.820000,241.500000,0.350000,1602.25

10,02:15-02:30,0.000000,7.730000,0.000000,0.000000,42.220000,144.900000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,15.570000,1.930000,0.000000,0.000000,0.000000,11.820000,270.220000,0.000000,44.370000,0.520000,96.600000,0.880000,0.000000,0.000000,0.000000,9.660000,66.840000,0.680000,168.890000,0,0.480000,0.980000,42.540000,0.000000,96.600000,9.590000,28.790000,0.000000,28.790000,0.530000,28.790000,0.000000,63.330000,48.300000,21.110000,0.610000,0.000000,84.440000,56.650000,241.500000,0.350000,1640.61

11,02:30-02:45,0.000000,7.730000,0.000000,0.000000,41.530000,144.900000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,15.570000,1.930000,0.000000,0.000000,0.000000,11.630000,265.810000,0.000000,0.000000,0.520000,96.600000,0.880000,0.000000,0.000000,0.000000,9.660000,66.840000,0.680000,166.130000,0,0.480000,0.980000,41.850000,0.000000,96.600000,9.440000,28.310000,0.000000,28.310000,0.530000,28.310000,0.000000,62.300000,48.300000,20.770000,0.610000,0.000000,83.070000,55.720000,241.500000,0.350000,1582.24

12,02:45-03:00,0.000000,7.730000,0.000000,0.000000,41.450000,144.900000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,15.570000,1.930000,0.000000,0.000000,0.000000,11.610000,265.310000,0.000000,0.000000,0.520000,96.600000,0.880000,0.000000,0.000000,0.000000,9.660000,66.840000,0.680000,165.810000,0,0.480000,0.980000,41.770000,0.000000,96.600000,9.420000,28.270000,0.000000,28.270000,0.530000,28.270000,0.000000,62.180000,48.300000,20.730000,0.610000,0.000000,82.910000,55.610000,241.500000,0.350000,1580.67

13,03:00-03:15,0.000000,6.760000,0.000000,0.000000,39.590000,144.900000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,15.570000,1.930000,0.000000,8.430000,57.960000,11.080000,253.330000,0.000000,0.000000,0.520000,96.600000,0.880000,0.000000,0.000000,0.000000,9.660000,66.840000,0.680000,158.330000,0,0.480000,0.980000,39.890000,0.000000,96.600000,8.990000,26.990000,0.000000,26.990000,0.480000,26.990000,0.000000,59.370000,48.300000,19.790000,0.610000,0.000000,79.160000,53.100000,183.540000,0.350000,1550.07

14,03:15-03:30,0.000000,6.760000,0.000000,0.000000,38.950000,144.900000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,15.570000,1.930000,0.000000,8.830000,57.960000,10.910000,249.290000,0.000000,0.000000,0.520000,96.600000,0.880000,0.000000,0.000000,0.000000,9.660000,66.840000,0.680000,155.810000,0,0.480000,0.980000,39.250000,0.000000,96.600000,8.850000,26.560000,0.000000,26.560000,0.480000,26.560000,0.000000,58.420000,48.300000,19.470000,0.610000,0.000000,77.900000,52.260000,183.540000,0.350000,1537.66

15,03:30-03:45,0.000000,6.760000,0.000000,0.000000,40.230000,144.900000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,15.570000,1.930000,0.000000,13.810000,57.960000,11.260000,257.500000,0.000000,0.000000,0.520000,96.600000,0.880000,0.000000,0.000000,0.000000,9.660000,66.840000,0.680000,160.940000,0,0.480000,0.980000,40.540000,0.000000,96.600000,9.140000,27.430000,0.000000,27.430000,0.480000,27.430000,0.000000,60.360000,48.300000,20.120000,0.610000,0.000000,80.470000,53.980000,183.540000,0.350000,1568.68

16,03:45-04:00,0.000000,6.760000,0.000000,0.000000,39.670000,144.900000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,15.570000,1.930000,0.000000,9.460000,57.960000,11.110000,253.890000,0.000000,0.000000,0.520000,96.600000,0.880000,0.000000,0.000000,0.000000,9.660000,66.840000,0.680000,158.680000,0,0.480000,0.980000,39.970000,0.000000,96.600000,9.010000,27.050000,0.000000,27.050000,0.480000,27.050000,0.000000,59.510000,48.300000,19.830000,0.610000,0.000000,79.340000,53.230000,183.540000,0.350000,1552.89

17,04:00-04:15,0.000000,6.760000,0.000000,0.000000,37.810000,144.900000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,15.570000,1.930000,0.000000,57.960000,57.960000,10.590000,241.980000,0.000000,0.000000,0.520000,96.600000,0.880000,0.000000,0.000000,0.000000,9.660000,66.840000,0.680000,151.240000,0,0.480000,0.980000,38.100000,0.000000,96.600000,8.590000,25.780000,0.000000,25.780000,0.480000,25.780000,0.000000,56.710000,48.300000,18.900000,0.610000,0.000000,75.620000,50.720000,183.540000,0.350000,1563.6

18,04:15-04:30,0.000000,6.760000,0.000000,0.000000,39.190000,144.900000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,15.570000,1.930000,0.000000,57.960000,57.960000,10.970000,250.830000,0.000000,0.000000,0.520000,96.600000,0.880000,0.000000,0.000000,0.000000,9.660000,66.840000,0.680000,156.770000,0,0.480000,0.980000,39.490000,0.000000,96.600000,8.910000,26.720000,0.000000,26.720000,0.480000,26.720000,0.000000,58.790000,48.300000,19.600000,0.610000,0.000000,78.380000,52.580000,183.540000,0.350000,1591.67

19,04:30-04:45,0.000000,6.760000,0.000000,0.000000,39.480000,144.900000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,15.570000,1.930000,0.000000,57.960000,57.960000,11.050000,252.710000,0.000000,0.000000,0.520000,96.600000,0.880000,0.000000,0.000000,0.000000,9.660000,66.840000,0.680000,157.940000,0,0.480000,0.980000,39.790000,0.000000,96.600000,8.970000,26.920000,0.000000,26.920000,0.480000,26.920000,0.000000,59.230000,48.300000,19.750000,0.610000,0.000000,78.970000,52.980000,183.540000,0.350000,1597.63

20,04:45-05:00,0.000000,6.760000,0.000000,0.000000,39.350000,144.900000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,15.570000,1.930000,0.000000,57.960000,57.960000,11.010000,251.830000,0.000000,0.000000,0.520000,96.600000,0.880000,0.000000,0.000000,0.000000,9.660000,66.840000,0.680000,157.390000,0,0.480000,0.980000,39.640000,0.000000,96.600000,8.940000,26.830000,0.000000,26.830000,0.480000,26.830000,0.000000,59.020000,48.300000,19.680000,0.610000,0.000000,78.690000,52.790000,183.540000,0.350000,1594.83

21,05:00-05:15,0.000000,6.760000,0.000000,0.000000,48.260000,144.900000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,39.720000,1.930000,0.000000,57.960000,57.960000,13.510000,73.360000,0.000000,112.540000,0.520000,96.600000,0.880000,0.000000,0.000000,0.000000,62.790000,66.840000,0.680000,193.040000,0,0.480000,0.980000,48.630000,0.000000,96.600000,10.960000,32.900000,0.000000,32.900000,0.530000,32.900000,0.000000,72.390000,48.300000,24.130000,0.610000,0.000000,96.520000,64.740000,183.540000,0.350000,1730.11

22,05:15-05:30,0.000000,6.760000,0.000000,0.000000,48.210000,144.900000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,39.720000,1.930000,0.000000,57.960000,57.960000,13.500000,73.280000,0.000000,112.540000,0.520000,96.600000,0.880000,0.000000,0.000000,0.000000,62.790000,66.840000,0.680000,192.830000,0,0.480000,0.980000,48.580000,0.000000,96.600000,10.950000,32.870000,0.000000,32.870000,0.530000,32.870000,0.000000,72.310000,48.300000,24.100000,0.610000,0.000000,96.420000,64.670000,183.540000,0.350000,1729.33

23,05:30-05:45,0.000000,6.760000,0.000000,0.000000,48.170000,144.900000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,39.720000,1.930000,0.000000,57.960000,57.960000,13.490000,73.220000,0.000000,112.540000,0.520000,96.600000,0.880000,0.000000,0.000000,0.000000,62.790000,66.840000,0.680000,192.700000,0,0.480000,0.980000,48.540000,0.000000,96.600000,10.940000,32.840000,0.000000,32.840000,0.530000,32.840000,0.000000,72.270000,48.300000,24.090000,0.610000,0.000000,96.350000,64.640000,183.540000,0.350000,1728.8

24,05:45-06:00,0.000000,6.760000,0.000000,0.000000,48.150000,144.900000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,39.720000,1.930000,0.000000,57.960000,57.960000,13.490000,73.180000,0.000000,112.540000,0.520000,96.600000,0.880000,0.000000,0.000000,0.000000,62.790000,66.840000,0.680000,192.580000,0,0.480000,0.980000,48.510000,0.000000,96.600000,10.940000,32.820000,0.000000,32.820000,0.530000,32.820000,0.000000,72.220000,48.300000,24.070000,0.610000,0.000000,96.290000,64.600000,183.540000,0.350000,1728.36

25,06:00-06:15,0.000000,6.760000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,0.000000,73.420000,0.000000,112.540000,0.520000,96.600000,0.880000,0.000000,0.000000,135.240000,62.790000,66.840000,0.680000,193.200000,0,0.480000,0.980000,48.670000,0.000000,96.600000,10.970000,32.930000,0.000000,32.930000,0.530000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,0.000000,96.600000,64.800000,183.540000,0.350000,1754.78

26,06:15-06:30,0.000000,6.760000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,39.720000,1.930000,0.000000,0.000000,57.960000,0.000000,73.420000,0.000000,112.540000,0.520000,96.600000,0.880000,0.000000,0.000000,135.240000,62.790000,66.840000,0.680000,193.200000,0,0.480000,0.980000,48.670000,0.000000,96.600000,10.970000,32.930000,0.000000,32.930000,0.530000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,0.000000,96.600000,64.800000,183.540000,0.350000,1697.9

27,06:30-06:45,0.000000,6.760000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,0.000000,73.420000,0.000000,112.540000,0.520000,96.600000,0.880000,0.000000,0.000000,135.240000,62.790000,66.840000,0.680000,193.200000,0.52,0.480000,0.980000,48.670000,0.000000,96.600000,10.970000,32.930000,0.000000,32.930000,0.530000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,0.000000,96.600000,64.800000,183.540000,0.350000,1755.3

28,06:45-07:00,0.000000,6.760000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,0.000000,73.420000,0.000000,112.540000,0.520000,96.600000,0.880000,0.000000,0.000000,135.240000,62.790000,66.840000,0.680000,193.200000,0.69,0.480000,0.980000,48.670000,0.000000,96.600000,10.970000,32.930000,0.000000,32.930000,0.530000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,0.000000,96.600000,64.800000,183.540000,0.350000,1755.47

29,07:00-07:15,0.000000,6.760000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,0.000000,73.420000,0.000000,112.540000,0.520000,96.600000,0.880000,0.000000,0.000000,0.000000,62.790000,66.840000,0.680000,193.200000,0.88,0.480000,0.980000,48.670000,0.000000,0.000000,10.970000,32.930000,0.000000,32.930000,0.680000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,0.000000,96.600000,64.800000,183.540000,0.350000,1523.97

30,07:15-07:30,0.000000,6.760000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,0.000000,73.420000,0.000000,112.540000,0.520000,96.600000,0.880000,0.000000,0.000000,0.000000,62.790000,66.840000,0.680000,193.200000,1.11,0.480000,0.980000,48.670000,0.000000,0.000000,10.970000,32.930000,0.000000,32.930000,0.680000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,0.000000,96.600000,64.800000,183.540000,0.350000,1524.2

31,07:30-07:45,0.000000,6.760000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,0.000000,73.420000,0.000000,112.540000,0.520000,96.600000,0.880000,0.000000,0.000000,0.000000,62.790000,66.840000,0.680000,193.200000,1.4,0.480000,0.980000,48.670000,0.000000,0.000000,10.970000,32.930000,0.000000,32.930000,0.680000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,0.000000,96.600000,64.800000,183.540000,0.350000,1524.49

32,07:45:08:00,0.000000,6.760000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,0.000000,73.420000,0.000000,112.540000,0.520000,96.600000,0.880000,0.000000,0.000000,0.000000,62.790000,66.840000,0.680000,193.200000,1.96,0.480000,0.980000,48.670000,0.000000,0.000000,10.970000,32.930000,0.000000,32.930000,0.680000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,0.000000,96.600000,64.800000,183.540000,0.350000,1525.05

33,08:00-08:15,0.000000,6.760000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,0.000000,73.420000,0.000000,112.540000,0.520000,96.600000,0.880000,0.000000,0.000000,0.000000,62.790000,66.840000,0.680000,193.200000,2.25,0.480000,0.980000,243.200000,0.000000,0.000000,10.970000,32.930000,0.000000,32.930000,0.970000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,0.000000,96.600000,64.800000,183.540000,0.350000,1720.16

34,08:15-08:30,0.000000,6.760000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,0.000000,73.420000,0.000000,112.540000,0.520000,96.600000,0.880000,0.000000,0.000000,0.000000,62.790000,66.840000,0.680000,193.200000,2.83,0.480000,0.980000,243.200000,0.000000,0.000000,10.970000,32.930000,0.000000,32.930000,0.970000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,0.000000,96.600000,64.800000,183.540000,0.350000,1720.74

35,08:30-08:45,0.000000,6.760000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,0.000000,121.710000,0.000000,112.540000,0.520000,96.600000,0.880000,0.000000,0.000000,0.000000,62.790000,66.840000,0.680000,193.200000,4.61,0.480000,0.980000,243.200000,0.000000,0.000000,10.970000,32.930000,0.000000,32.930000,0.970000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,0.000000,96.600000,64.800000,183.540000,0.350000,1770.81

36,08:45:09:00,0.000000,6.760000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,0.000000,121.710000,0.000000,112.540000,0.520000,96.600000,0.880000,0.000000,0.000000,0.000000,62.790000,66.840000,0.680000,193.200000,5.47,0.480000,0.980000,243.200000,0.000000,0.000000,10.970000,32.930000,0.000000,32.930000,0.970000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,0.000000,96.600000,64.800000,183.540000,0.350000,1771.67

37,09:00:09:15,0.000000,9.660000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,38.640000,0.000000,48.300000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,0.000000,121.710000,24.150000,112.540000,0.520000,96.600000,0.880000,0.000000,0.000000,0.000000,62.790000,66.840000,0.680000,193.200000,6.05,0.480000,0.980000,243.200000,0.000000,0.000000,10.970000,32.930000,0.000000,32.930000,0.970000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,48.300000,96.600000,64.800000,183.540000,0.350000,1934.54

38,09:15-09:30,0.000000,9.660000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,38.640000,0.000000,48.300000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,0.000000,121.710000,24.150000,112.540000,0.520000,96.600000,0.880000,0.000000,0.000000,0.000000,62.790000,66.840000,0.680000,193.200000,6.25,0.480000,0.980000,243.200000,0.000000,0.000000,10.970000,32.930000,0.000000,32.930000,0.970000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,48.300000,96.600000,64.800000,183.540000,0.350000,1934.74

