Column1,Block,NR/2024/23769/A/42920,NR/2024/23420/A/42926,NR/2024/23909/A/43040,WR/2024/24788/A/43092,NR/2024/23809/A/42919,GNA/NR/2024/11/01/5428,GNA/NR/2024/11/01/3646,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/9061,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/11/01/1868,GNA/WR/2024/11/01/4200,GNA/NR/2024/11/01/5474,GNA/WR/2024/10/15/7089,GNA/NR/2024/11/01/9042,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/4503,NR/30092023/26122029/SH-06,NR/2024/23932/C,NR/2024/23940/C,NR/2024/23941/C,Total
4,00:45-01:00,5.78,0.48,0,0,4.82,26.03,87.2,26.03,26.03,3.13,8.68,0,261.61,0,17.35,26.87,8.68,26.87,0,0,0,529.5600000000001

5,01:00-01:15,5.78,0.48,0,0,4.82,26.03,87.2,26.03,26.03,3.13,8.68,0,261.61,0,17.35,26.87,8.68,26.87,0,0,0,529.5600000000001

6,01:15-01:30,5.78,0.48,0,0,4.82,26.03,87.2,26.03,26.03,3.13,8.68,0,261.61,0,17.35,26.87,8.68,26.87,0,0,0,529.5600000000001

7,01:30-01:45,5.78,0.48,0,0,4.82,26.03,87.2,26.03,26.03,3.13,8.68,0,261.61,0,17.35,26.87,8.68,26.87,0,0,0,529.5600000000001

8,01:45-02:00,5.78,0.48,0,0,4.82,26.03,87.2,26.03,26.03,3.13,8.68,0,261.61,0,17.35,26.87,8.68,26.87,0,0,0,529.5600000000001

9,02:00-02:15,5.78,0.48,0,0,4.82,26.03,87.2,26.03,26.03,3.13,8.68,0,261.61,0,17.35,26.87,8.68,26.87,0,0,0,529.5600000000001

10,02:15-02:30,5.78,0.48,0,0,4.82,26.03,87.2,26.03,26.03,3.13,8.68,0,261.61,0,17.35,26.87,8.68,26.87,0,0,0,529.5600000000001

11,02:30-02:45,5.78,0.48,0,0,4.82,26.03,87.2,26.03,26.03,3.13,8.68,0,261.61,0,17.35,26.87,8.68,26.87,0,0,0,529.5600000000001

12,02:45-03:00,5.78,0.48,0,0,4.82,26.03,87.2,26.03,26.03,3.13,8.68,0,261.61,0,17.35,26.87,8.68,26.87,0,0,0,529.5600000000001

13,03:00-03:15,5.78,0.43,0,0,4.82,26.03,87.2,26.03,26.03,3.13,8.68,0,261.61,0,17.35,26.87,8.68,26.87,0,0,0,529.51

14,03:15-03:30,5.78,0.43,0,0,4.82,26.03,87.2,26.03,26.03,3.13,8.68,0,261.61,0,17.35,26.87,8.68,26.87,0,0,0,529.51

15,03:30-03:45,5.78,0.43,0,0,4.82,26.03,87.2,26.03,26.03,3.13,8.68,0,261.61,0,17.35,26.87,8.68,26.87,0,0,0,529.51

16,03:45-04:00,5.78,0.43,0,0,4.82,26.03,87.2,26.03,26.03,3.13,8.68,0,261.61,0,17.35,26.87,8.68,26.87,0,0,0,529.51

17,04:00-04:15,5.78,0.43,0,0,4.82,26.03,87.2,26.03,26.03,3.13,8.68,0,261.61,0,17.35,26.87,8.68,26.87,0,0,0,529.51

18,04:15-04:30,5.78,0.43,0,0,4.82,26.03,87.2,26.03,26.03,3.13,8.68,0,261.61,0,17.35,26.87,8.68,26.87,0,0,0,529.51

19,04:30-04:45,5.78,0.43,0,0,4.82,26.03,87.2,26.03,26.03,3.13,8.68,0,261.61,0,17.35,26.87,8.68,26.87,0,0,0,529.51

20,04:45-05:00,5.78,0.43,0,0,4.82,26.03,87.2,26.03,26.03,3.13,8.68,0,261.61,0,17.35,26.87,8.68,26.87,0,0,0,529.51

21,05:00-05:15,5.78,0.43,0,0,4.82,26.03,87.2,26.03,26.03,3.13,8.68,0,261.61,0,17.35,26.87,8.68,26.87,0,0,0,529.51

22,05:15-05:30,5.78,0.43,0,0,4.82,26.03,87.2,26.03,26.03,3.13,8.68,0,261.61,0,17.35,26.87,8.68,26.87,0,0,0,529.51

23,05:30-05:45,5.78,0.43,0,0,4.82,26.03,87.2,26.03,26.03,3.13,8.68,0,261.61,0,17.35,26.87,8.68,26.87,0,0,0,529.51

24,05:45-06:00,5.78,0.43,0,0,4.82,26.03,87.2,26.03,26.03,3.13,8.68,0,261.61,0,17.35,26.87,8.68,26.87,0,0,0,529.51

25,06:00-06:15,5.78,0.43,0,0,4.82,26.03,0,26.03,26.03,3.13,8.68,0,0,0,17.35,26.87,8.68,26.87,0,0,0,180.70000000000002

26,06:15-06:30,5.78,0.43,0,0,4.82,26.03,0,26.03,26.03,3.13,8.68,0,0,0,17.35,26.87,8.68,26.87,0,0,0,180.70000000000002

27,06:30-06:45,5.78,0.43,0,0,4.82,26.03,0,26.03,26.03,3.13,8.68,0,0,0,17.35,26.87,8.68,26.87,0,0,0,180.70000000000002

28,06:45-07:00,5.78,0.43,0,0,4.82,26.03,0,26.03,26.03,3.13,8.68,0,0,0,17.35,26.87,8.68,26.87,0.15,0,0,180.85000000000002

29,07:00-07:15,5.78,0.58,0,0,4.82,26.03,0,26.03,26.03,3.13,8.68,0,0,0,17.35,26.87,8.68,26.87,0.47,0,0,181.32000000000002

30,07:15-07:30,5.78,0.58,0,0,4.82,26.03,0,26.03,26.03,3.13,8.68,0,0,0,17.35,26.87,8.68,26.87,0.84,0,0,181.69000000000003

31,07:30-07:45,5.78,0.58,0,0,4.82,34.71,0,34.71,34.71,3.13,8.68,0,0,0,17.35,26.87,8.68,26.87,1.22,0,0,208.11

32,07:45-08:00,5.78,0.58,0,0,4.82,34.71,0,34.71,34.71,3.13,8.68,0,0,0,17.35,26.87,8.68,26.87,1.7,0,0,208.59

33,08:00-08:15,5.78,0.96,0,0,4.82,34.71,0,34.71,34.71,3.13,8.68,0,0,0,17.35,26.87,8.68,26.87,2.26,0,0,209.53

34,08:15-08:30,5.78,0.96,0,0,4.82,34.71,0,34.71,34.71,3.13,8.68,0,0,0,17.35,26.87,8.68,26.87,2.88,0,0,210.15

35,08:30-08:45,5.78,0.96,0,0,4.82,36.64,0,36.64,36.64,3.13,8.68,0,0,0,17.35,26.87,8.68,26.87,3.4,0,0,216.46

36,08:45-09:00,5.78,0.96,0,0,4.82,36.64,0,36.64,36.64,3.13,8.68,0,0,0,17.35,26.87,8.68,26.87,4.03,0,0,217.09

37,09:00-09:15,5.78,0.87,0,0,4.82,28.92,0,28.92,28.92,3.13,8.68,0,0,0,17.35,26.87,8.68,26.87,4.57,24.1,28.92,247.39999999999998

38,09:15-09:30,5.78,0.87,0,0,4.82,28.92,0,28.92,28.92,3.13,8.68,0,0,0,17.35,26.87,8.68,26.87,5.09,24.1,28.92,247.92000000000002

39,09:30-09:45,5.78,0.87,0,0,4.82,28.92,0,28.92,28.92,3.13,8.68,0,0,0,17.35,26.87,8.68,26.87,5.6,24.1,28.92,248.43

40,09:45-10:00,5.78,0.87,0,0,4.82,28.92,0,28.92,28.92,3.13,8.68,0,0,0,17.35,26.87,8.68,26.87,6.04,24.1,28.92,248.87

41,10:00-10:15,5.78,0.87,0,0,4.82,36.64,0,36.64,36.64,3.13,8.68,0,0,0,17.35,26.87,8.68,26.87,6.45,24.1,28.92,272.44

42,10:15-10:30,5.78,0.87,0,0,4.82,36.64,0,36.64,36.64,3.13,8.68,0,0,0,17.35,26.87,8.68,26.87,6.85,24.1,28.92,272.84

43,10:30-10:45,5.78,0.87,0,0,4.82,36.64,0,36.64,36.64,3.13,8.68,0,0,0,17.35,26.87,8.68,26.87,7.14,24.1,28.92,273.13

44,10:45-11:00,5.78,0.87,0,0,4.82,35.67,0,35.67,35.67,3.13,8.68,0,0,0,17.35,26.87,8.68,26.87,7.39,24.1,28.92,270.46999999999997

45,11:00-11:15,5.78,0.87,0,0,4.82,35.67,0,35.67,35.67,3.04,8.68,0,0,0,17.35,26.87,8.68,26.87,7.62,24.1,28.92,270.61

46,11:15-11:30,5.78,0.87,0,0,4.82,35.67,0,35.67,35.67,3.04,8.68,0,0,0,17.35,26.87,8.68,26.87,7.74,24.1,28.92,270.73

47,11:30-11:45,5.78,0.87,0,0,4.82,35.67,0,35.67,35.67,3.04,8.68,0,0,0,17.35,26.87,8.68,26.87,7.86,24.1,28.92,270.85

48,11:45-12:00,5.78,0.87,0,0,4.82,34.71,0,34.71,34.71,3.04,8.68,0,0,0,17.35,26.87,8.68,26.87,7.89,24.1,28.92,268

49,12:00-12:15,5.78,0.87,0,0,4.82,34.71,0,34.71,34.71,3.04,8.68,0,0,0,17.35,26.87,8.68,26.87,8,24.1,28.92,268.11

50,12:15-12:30,5.78,0.87,0,0,4.82,34.71,0,34.71,34.71,3.04,8.68,0,0,0,17.35,26.87,8.68,26.87,7.67,24.1,28.92,267.78

51,12:30-12:45,5.78,0.87,0,0,4.82,34.71,0,34.71,34.71,3.04,8.68,0,0,0,17.35,26.87,8.68,26.87,7.53,24.1,28.92,267.64

52,12:45-13:00,5.78,0.87,0,0,4.82,34.71,0,34.71,34.71,3.04,8.68,0,0,0,17.35,26.87,8.68,26.87,7.59,24.1,28.92,267.7

53,13:00-13:15,5.78,0.77,0,0,4.82,34.71,0,34.71,34.71,3.04,8.68,0,0,0,17.35,26.87,8.68,26.87,7.52,24.1,28.92,267.53000000000003

54,13:15-13:30,5.78,0.77,0,0,4.82,34.71,0,34.71,34.71,3.04,8.68,0,0,0,17.35,26.87,8.68,26.87,7.36,24.1,28.92,267.37

55,13:30-13:45,5.78,0.77,0,0,4.82,34.71,0,34.71,34.71,3.04,8.68,0,0,0,17.35,26.87,8.68,26.87,7.12,24.1,28.92,267.13

56,13:45-14:00,5.78,0.77,0,0,4.82,34.71,0,34.71,34.71,3.04,8.68,0,0,0,17.35,26.87,8.68,26.87,6.92,24.1,28.92,266.93

57,14:00-14:15,5.78,0.96,0,0,4.82,34.71,0,34.71,34.71,3.04,8.68,0,0,0,17.35,26.87,8.68,26.87,6.76,24.1,28.92,266.96

58,14:15-14:30,5.78,0.96,0,0,4.82,34.71,0,34.71,34.71,3.04,8.68,0,0,0,17.35,26.87,8.68,26.87,6.25,24.1,28.92,266.45

59,14:30-14:45,5.78,0.96,0,0,4.82,34.71,0,34.71,34.71,3.04,8.68,0,0,0,17.35,26.87,8.68,26.87,5.6,24.1,28.92,265.8

60,14:45-15:00,5.78,0.96,0,0,4.82,34.71,0,34.71,34.71,3.04,8.68,0,0,0,17.35,26.87,8.68,26.87,5.32,24.1,28.92,265.52

61,15:00-15:15,5.78,0.87,0,0,4.82,34.71,0,34.71,34.71,3.04,8.68,0,0,0,17.35,26.87,8.68,26.87,4.69,24.1,28.92,264.8

62,15:15-15:30,5.78,0.87,0,0,4.82,34.71,0,34.71,34.71,3.04,8.68,0,0,0,17.35,26.87,8.68,26.87,4.04,24.1,28.92,264.15

63,15:30-15:45,5.78,0.87,0,0,4.82,34.71,0,34.71,34.71,3.04,8.68,0,0,0,17.35,26.87,8.68,26.87,3.43,24.1,28.92,263.54

64,15:45-16:00,5.78,0.87,0,0,4.82,34.71,0,34.71,34.71,3.04,8.68,0,0,0,17.35,26.87,8.68,26.87,2.87,27.96,25.07,262.99

65,16:00-16:15,5.78,0.77,0.96,0,4.82,36.64,0,36.64,36.64,3.04,8.68,0,0,0,17.35,21.08,8.68,21.08,2.37,32.59,20.44,257.56

66,16:15-16:30,5.78,0.77,0.96,0,4.82,36.64,0,36.64,36.64,3.04,8.68,0,0,0,17.35,25.16,8.68,32,1.82,25.65,16,260.63

67,16:30-16:45,5.78,0.77,0.96,0,4.82,36.64,0,36.64,36.64,3.04,8.68,0,0,0,17.35,28.95,8.68,32,1.43,15.23,11.86,249.46999999999997

68,16:45-17:00,5.78,0.77,0.96,0,4.82,36.64,0,36.64,36.64,3.04,8.68,0,0,0,17.35,29.52,8.68,32,0.97,7.04,8.19,237.72

69,17:00-17:15,5.78,0.58,0.96,0,4.82,36.64,0,36.64,36.64,3.04,8.68,0,0,0,17.35,32,8.68,32,0.62,0,0,224.43

70,17:15-17:30,5.78,0.58,0.96,0,4.82,36.64,0,36.64,36.64,3.04,8.68,0,0,0,17.35,32,8.68,32,0.35,0,0,224.16

71,17:30-17:45,5.78,0.58,1.93,0,4.82,36.64,0,36.64,36.64,3.04,8.68,0,0,0,17.35,32,8.68,32,0.13,0,0,224.91

72,17:45-18:00,5.78,0.58,1.93,0,4.82,36.64,0,36.64,36.64,3.04,8.68,0,0,0,17.35,32,8.68,32,0,0,0,224.78

73,18:00-18:15,5.78,0.63,1.93,38.56,4.82,36.64,0,36.64,36.64,3.04,8.68,50,0,150,17.35,32,8.68,32,0,0,0,463.39000000000004

74,18:15-18:30,5.78,0.63,1.93,38.56,4.82,36.64,0,36.64,36.64,3.04,8.68,50,0,150,17.35,32,8.68,32,0,0,0,463.39000000000004

75,18:30-18:45,5.78,0.63,1.93,38.56,4.82,36.64,0,36.64,36.64,3.04,8.68,50,0,150,17.35,0,8.68,32,0,0,0,431.39000000000004

76,18:45-19:00,5.78,0.63,1.93,38.56,4.82,36.64,0,36.64,36.64,3.04,8.68,50,0,150,17.35,0,8.68,32,0,0,0,431.39000000000004

77,19:00-19:15,5.78,0.63,1.93,38.56,4.82,36.64,0,36.64,36.64,3.13,8.68,50,0,150,17.35,15.47,8.68,15.47,0,0,0,430.42000000000013

78,19:15-19:30,5.78,0.63,1.93,38.56,4.82,36.64,0,36.64,36.64,3.13,8.68,50,0,150,17.35,24.08,8.68,24.08,0,0,0,447.64000000000004

79,19:30-19:45,5.78,0.63,1.93,38.56,4.82,36.64,0,36.64,36.64,3.13,8.68,50,0,150,17.35,26.87,8.68,26.87,0,0,0,453.2200000000001

80,19:45-20:00,5.78,0.63,1.93,38.56,4.82,36.64,0,36.64,36.64,3.13,8.68,50,0,150,17.35,26.87,8.68,26.87,0,0,0,453.2200000000001

81,20:00-20:15,5.78,0.63,1.93,38.56,4.82,26.03,0,26.03,26.03,3.13,8.68,50,0,200,17.35,26.87,8.68,26.87,0,0,0,471.39000000000004

82,20:15-20:30,5.78,0.63,1.93,38.56,4.82,26.03,0,26.03,26.03,3.13,8.68,50,0,200,17.35,26.87,8.68,26.87,0,0,0,471.39000000000004

83,20:30-20:45,5.78,0.63,1.93,38.56,4.82,26.03,0,26.03,26.03,3.13,8.68,50,0,200,17.35,26.87,8.68,26.87,0,0,0,471.39000000000004

84,20:45-21:00,5.78,0.63,1.93,38.56,4.82,26.03,0,26.03,26.03,3.13,8.68,50,0,200,17.35,26.87,8.68,26.87,0,0,0,471.39000000000004

85,21:00-21:15,5.78,0.63,0.96,38.56,4.82,26.03,0,26.03,26.03,3.13,8.68,50,0,200,17.35,26.87,8.68,26.87,0,0,0,470.42

86,21:15-21:30,5.78,0.63,0.96,38.56,4.82,26.03,0,26.03,26.03,3.13,8.68,50,0,200,17.35,26.87,8.68,26.87,0,0,0,470.42

87,21:30-21:45,5.78,0.63,0.96,38.56,4.82,26.03,0,26.03,26.03,3.13,8.68,50,0,200,17.35,26.87,8.68,26.87,0,0,0,470.42

88,21:45-22:00,5.78,0.63,0.96,38.56,4.82,26.03,0,26.03,26.03,3.13,8.68,50,0,200,17.35,26.87,8.68,26.87,0,0,0,470.42

89,22:00-22:15,5.78,0.63,0.96,38.56,4.82,26.03,87.2,26.03,26.03,3.13,8.68,50,261.61,200,17.35,26.87,8.68,26.87,0,0,0,819.23

90,22:15-22:30,5.78,0.63,0.96,38.56,4.82,26.03,87.2,26.03,26.03,3.13,8.68,50,261.61,200,17.35,26.87,8.68,26.87,0,0,0,819.23

91,22:30-22:45,5.78,0.63,0,38.56,4.82,26.03,87.2,26.03,26.03,3.13,8.68,50,261.61,200,17.35,26.87,8.68,26.87,0,0,0,818.27

92,22:45-23:00,5.78,0.63,0,38.56,4.82,26.03,87.2,26.03,26.03,3.13,8.68,50,261.61,200,17.35,26.87,8.68,26.87,0,0,0,818.27

93,23:00-23:15,5.78,0.63,0,38.56,4.82,26.03,87.2,26.03,26.03,3.13,8.68,50,261.61,200,17.35,26.87,8.68,26.87,0,0,0,818.27

94,23:15-23:30,5.78,0.63,0,38.56,4.82,26.03,87.2,26.03,26.03,3.13,8.68,50,261.61,200,17.35,26.87,8.68,26.87,0,0,0,818.27

95,23:30-23:45,5.78,0.63,0,38.56,4.82,26.03,87.2,26.03,26.03,3.13,8.68,50,261.61,200,17.35,0,8.68,0,0,0,0,764.53

96,23:45-24:00,5.78,0.63,0,38.56,4.82,26.03,87.2,26.03,26.03,3.13,8.68,50,261.61,200,17.35,0,8.68,0,0,0,0,764.53

