Time,Block,NR/2023/17358/C,ER/2023/11091/C,NR/2023/17350/C,NR/2023/16191/A,NR/2023/13385/A,NR/2023/16185/A,NR/2023/16073/A,NR/2023/17345/D,NR/2023/13150/A,NR/2023/17351/C,NR/2023/17363/C,NR/2023/13165/A,NR/2023/13254/A,NR/2023/13253/A,NR/2023/17357/C,NR/2023/13387/A,NR/2023/17349/C,NR/2023/13148/A,NR/2023/13168/A,NR/2023/13383/A,NR/2023/17355/C,NR/2023/15770/A,NR/2023/17354/C,NR/2023/16291/F,NR/2023/16077/A,NR/2023/17343/D,NR/2023/17356/C,Total
17,04:00-04:15,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,0.000000,99.330000,5.050000,0.000000,34.550000,36.560000,0.000000,28.790000,8.790000,0.580000,85.320000,0,122.840000,833.75

18,04:15-04:30,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,0.000000,99.330000,5.050000,0.000000,34.550000,36.560000,0.000000,28.790000,8.790000,0.580000,85.320000,0,97.890000,808.8

19,04:30-04:45,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,0.000000,99.330000,5.050000,0.000000,34.550000,36.560000,0.000000,28.790000,8.790000,0.580000,85.320000,0,0.000000,710.91

20,04:45-05:00,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,0.000000,99.330000,5.050000,0.000000,34.550000,36.560000,0.000000,28.790000,8.790000,0.580000,85.320000,0,0.000000,710.91

21,05:00-05:15,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,0.000000,99.330000,5.050000,0.000000,34.550000,36.560000,0.000000,28.790000,8.790000,0.580000,85.320000,0,0.000000,710.91

22,05:15-05:30,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,0.000000,99.330000,5.050000,0.000000,34.550000,36.560000,0.000000,28.790000,8.790000,0.580000,85.320000,0,0.000000,710.91

23,05:30-05:45,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,0.000000,99.330000,5.050000,0.000000,34.550000,36.560000,0.000000,28.790000,8.790000,0.580000,85.320000,0,0.000000,710.91

24,05:45-06:00,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,0.000000,99.330000,5.050000,0.000000,34.550000,36.560000,0.000000,28.790000,8.790000,0.580000,85.320000,0,0.000000,710.91

25,06:00-06:15,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,0.000000,99.330000,5.050000,0.000000,34.550000,0.000000,0.000000,28.790000,8.700000,0.670000,0.000000,0,0.000000,589.03

26,06:15-06:30,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,0.000000,99.330000,5.050000,0.000000,34.550000,0.000000,0.000000,28.790000,8.700000,0.670000,0.000000,0,0.000000,589.03

27,06:30-06:45,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,0.000000,99.330000,5.050000,0.000000,34.550000,0.000000,0.000000,28.790000,8.700000,0.670000,0.000000,0.1,0.000000,589.13

28,06:45-07:00,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,0.000000,99.330000,5.050000,0.000000,34.550000,0.000000,0.000000,28.790000,8.700000,0.670000,0.000000,0.51,0.000000,589.54

29,07:00-07:15,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,0.000000,99.330000,5.050000,0.000000,34.550000,0.000000,0.000000,28.790000,8.610000,0.670000,0.000000,0.85,0.000000,589.79

30,07:15-07:30,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,0.000000,99.330000,5.050000,0.000000,34.550000,0.000000,0.000000,28.790000,8.610000,0.670000,0.000000,1.25,0.000000,590.19

31,07:30-07:45,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,0.000000,99.330000,5.050000,0.000000,34.550000,0.000000,0.000000,28.790000,8.610000,0.670000,0.000000,1.57,0.000000,590.51

32,07:45:08:00,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,0.000000,99.330000,5.050000,0.000000,34.550000,0.000000,0.000000,28.790000,8.610000,0.670000,0.000000,1.84,0.000000,590.78

33,08:00-08:15,0.000000,0.000000,18.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,30.000000,0.000000,22.070000,19.470000,47.980000,0.000000,99.330000,5.050000,0.000000,34.550000,0.000000,0.000000,28.790000,8.610000,0.960000,0.000000,2.25,0.000000,639.48

34,08:15-08:30,0.000000,0.000000,18.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,30.000000,0.000000,22.070000,19.470000,47.980000,0.000000,99.330000,5.050000,0.000000,34.550000,0.000000,0.000000,28.790000,8.610000,0.960000,0.000000,2.82,0.000000,640.05

35,08:30-08:45,0.000000,0.000000,18.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,30.000000,0.000000,22.070000,19.470000,47.980000,0.000000,99.330000,5.050000,0.000000,34.550000,0.000000,0.000000,28.790000,8.610000,0.960000,0.000000,3.38,0.000000,640.61

36,08:45:09:00,0.000000,0.000000,18.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,30.000000,0.000000,22.070000,19.470000,47.980000,0.000000,99.330000,5.050000,0.000000,34.550000,0.000000,0.000000,28.790000,8.610000,0.960000,0.000000,3.71,0.000000,640.94

37,09:00:09:15,0.000000,0.000000,18.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,30.000000,8.160000,22.070000,19.470000,47.980000,0.000000,99.330000,5.050000,0.000000,34.550000,0.000000,0.000000,28.790000,8.520000,0.960000,0.000000,4.27,0.000000,649.57

38,09:15-09:30,0.000000,0.000000,18.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,30.000000,8.160000,22.070000,19.470000,47.980000,0.000000,99.330000,6.060000,0.000000,34.550000,0.000000,0.000000,28.790000,8.520000,0.960000,0.000000,4.46,0.000000,650.77

39,09:30-09:45,0.000000,0.000000,18.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,30.000000,8.160000,22.070000,19.470000,47.980000,0.000000,99.330000,6.060000,0.000000,34.550000,0.000000,0.000000,28.790000,8.520000,0.960000,0.000000,4.8,0.000000,651.11

40,09:45-10:00,0.000000,0.000000,18.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,30.000000,8.160000,22.070000,19.470000,47.980000,0.000000,99.330000,6.060000,0.000000,34.550000,0.000000,0.000000,28.790000,8.520000,0.960000,0.000000,5.04,0.000000,651.35

41,10:00-10:15,0.000000,50.000000,18.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,30.000000,8.160000,22.070000,19.470000,47.980000,0.000000,99.330000,5.050000,0.000000,34.550000,0.000000,0.000000,28.790000,8.520000,0.960000,0.000000,5.28,0.000000,700.58

42,10:15-10:30,0.000000,50.000000,18.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,30.000000,8.160000,22.070000,19.470000,47.980000,0.000000,99.330000,5.050000,0.000000,34.550000,0.000000,0.000000,28.790000,8.520000,0.960000,0.000000,5.65,0.000000,700.95

43,10:30-10:45,0.000000,50.000000,18.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,30.000000,8.160000,22.070000,19.470000,47.980000,0.000000,99.330000,5.050000,0.000000,34.550000,0.000000,0.000000,28.790000,8.520000,0.960000,0.000000,5.76,0.000000,701.06

44,10:45-11:00,0.000000,50.000000,18.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,30.000000,8.160000,22.070000,19.470000,47.980000,0.000000,99.330000,5.050000,0.000000,34.550000,0.000000,0.000000,28.790000,8.520000,0.960000,0.000000,5.76,0.000000,701.06

45,11:00-11:15,0.000000,50.000000,18.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,30.000000,8.160000,22.070000,19.470000,47.980000,0.000000,99.330000,5.050000,0.000000,34.550000,0.000000,0.000000,28.790000,8.520000,0.960000,0.000000,5.95,0.000000,701.25

46,11:15-11:30,0.000000,50.000000,18.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,30.000000,8.160000,22.070000,19.470000,47.980000,0.000000,99.330000,5.050000,0.000000,34.550000,0.000000,0.000000,28.790000,8.520000,0.960000,0.000000,6.24,0.000000,701.54

47,11:30-11:45,0.000000,50.000000,18.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,30.000000,8.160000,22.070000,19.470000,47.980000,0.000000,99.330000,5.050000,0.000000,34.550000,0.000000,0.000000,28.790000,8.520000,0.960000,0.000000,6.43,0.000000,701.73

48,11:45-12:00,0.000000,50.000000,18.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,30.000000,8.160000,22.070000,19.470000,47.980000,0.000000,99.330000,5.050000,0.000000,34.550000,0.000000,0.000000,28.790000,8.520000,0.960000,0.000000,6.53,0.000000,701.83

49,12:00-12:15,0.000000,50.000000,18.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,30.000000,8.160000,22.070000,19.470000,47.980000,0.000000,99.330000,5.050000,0.000000,34.550000,0.000000,0.000000,28.790000,8.430000,0.960000,0.000000,6.62,0.000000,701.83

50,12:15-12:30,0.000000,50.000000,18.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,30.000000,8.160000,22.070000,19.470000,47.980000,0.000000,99.330000,5.050000,0.000000,34.550000,0.000000,0.000000,28.790000,8.430000,0.960000,0.000000,6.91,0.000000,702.12

51,12:30-12:45,0.000000,50.000000,18.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,30.000000,8.160000,22.070000,19.470000,47.980000,0.000000,99.330000,5.050000,0.000000,34.550000,0.000000,0.000000,28.790000,8.430000,0.960000,0.000000,7.1,0.000000,702.31

52,12:45-13:00,0.000000,50.000000,18.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,30.000000,8.160000,22.070000,19.470000,47.980000,0.000000,99.330000,5.050000,0.000000,34.550000,0.000000,0.000000,28.790000,8.430000,0.960000,0.000000,7.49,0.000000,702.7

53,13:00-13:15,0.000000,50.000000,18.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,30.000000,8.160000,22.070000,19.470000,47.980000,0.000000,99.330000,5.050000,0.000000,34.550000,0.000000,0.000000,28.790000,8.430000,0.960000,0.000000,7.68,0.000000,702.89

54,13:15-13:30,0.000000,50.000000,18.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,30.000000,8.160000,22.070000,19.470000,47.980000,0.000000,99.330000,5.050000,0.000000,34.550000,0.000000,0.000000,28.790000,8.430000,0.960000,0.000000,7.2,0.000000,702.41

55,13:30-13:45,0.000000,50.000000,18.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,30.000000,8.160000,22.070000,19.470000,47.980000,0.000000,99.330000,5.050000,0.000000,34.550000,0.000000,0.000000,28.790000,8.430000,0.960000,0.000000,7.15,0.000000,702.36

56,13:45-14:00,0.000000,50.000000,18.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,30.000000,8.160000,22.070000,19.470000,47.980000,0.000000,99.330000,5.050000,0.000000,34.550000,0.000000,0.000000,28.790000,8.430000,0.960000,0.000000,6.96,0.000000,702.17

57,14:00-14:15,0.000000,0.000000,18.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,30.000000,8.160000,22.070000,19.470000,47.980000,0.000000,99.330000,5.050000,0.000000,34.550000,0.000000,0.000000,28.790000,8.520000,0.960000,0.000000,4.94,0.000000,650.24

58,14:15-14:30,0.000000,0.000000,18.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,30.000000,8.160000,22.070000,19.470000,47.980000,0.000000,99.330000,5.050000,0.000000,34.550000,0.000000,0.000000,28.790000,8.520000,0.960000,0.000000,4.8,0.000000,650.1

59,14:30-14:45,0.000000,0.000000,18.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,30.000000,8.160000,22.070000,19.470000,47.980000,0.000000,99.330000,5.050000,0.000000,34.550000,0.000000,0.000000,28.790000,8.520000,0.960000,0.000000,4.65,0.000000,649.95

60,14:45-15:00,0.000000,0.000000,18.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,30.000000,8.160000,22.070000,19.470000,47.980000,0.000000,99.330000,5.050000,0.000000,34.550000,0.000000,0.000000,28.790000,8.520000,0.960000,0.000000,4.46,0.000000,649.76

61,15:00-15:15,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,8.160000,22.070000,19.470000,47.980000,0.000000,99.330000,6.060000,0.000000,34.550000,0.000000,0.000000,28.790000,8.610000,0.860000,0.000000,4.08,0.000000,602.38

62,15:15-15:30,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,8.160000,22.070000,19.470000,47.980000,0.000000,99.330000,6.060000,0.000000,34.550000,0.000000,0.000000,28.790000,8.610000,0.860000,0.000000,3.6,0.000000,601.9

63,15:30-15:45,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,8.160000,22.070000,19.470000,47.980000,0.000000,99.330000,6.060000,0.000000,34.550000,0.000000,0.000000,28.790000,8.610000,0.860000,0.000000,3.74,0.000000,602.04

64,15:45-16:00,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,8.160000,22.070000,19.470000,47.980000,0.000000,99.330000,6.060000,0.000000,34.550000,0.000000,0.000000,28.790000,8.610000,0.860000,0.000000,3.65,0.000000,601.95

65,16:00-16:15,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,8.160000,22.070000,19.470000,47.980000,0.000000,99.330000,6.060000,0.000000,34.550000,0.000000,0.000000,28.790000,8.790000,0.820000,0.000000,3.61,0.000000,602.05

66,16:15-16:30,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,8.160000,22.070000,19.470000,47.980000,0.000000,99.330000,6.060000,0.000000,34.550000,0.000000,0.000000,28.790000,8.790000,0.820000,0.000000,3.47,0.000000,601.91

67,16:30-16:45,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,8.160000,22.070000,19.470000,47.980000,0.000000,99.330000,6.060000,0.000000,34.550000,0.000000,0.000000,28.790000,8.790000,0.820000,0.000000,3.07,0.000000,601.51

68,16:45-17:00,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,8.160000,22.070000,19.470000,47.980000,0.000000,99.330000,6.060000,0.000000,34.550000,0.000000,0.000000,28.790000,8.790000,0.820000,0.000000,2.39,0.000000,600.83

69,17:00-17:15,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,47.980000,99.330000,6.060000,0.000000,34.550000,0.000000,119.960000,28.790000,8.980000,0.820000,0.000000,1.39,0.000000,759.8

70,17:15-17:30,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,47.980000,99.330000,7.060000,0.000000,34.550000,0.000000,119.960000,28.790000,8.980000,0.820000,0.000000,1.06,0.000000,760.47

71,17:30-17:45,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,47.980000,99.330000,7.060000,0.000000,34.550000,0.000000,119.960000,28.790000,8.980000,0.820000,0.000000,0.8,0.000000,760.21

72,17:45-18:00,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,23.990000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,47.980000,99.330000,7.060000,0.000000,34.550000,0.000000,119.960000,28.790000,8.980000,0.820000,0.000000,0.44,0.000000,759.85

73,18:00-18:15,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,0.000000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,191.940000,99.330000,7.060000,36.210000,34.550000,0.000000,119.960000,28.790000,9.170000,0.820000,0.000000,0.18,0.000000,915.96

74,18:15-18:30,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,0.000000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,191.940000,99.330000,7.060000,36.210000,34.550000,0.000000,119.960000,28.790000,9.170000,0.820000,0.000000,0,0.000000,915.78

75,18:30-18:45,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,0.000000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,191.940000,99.330000,7.060000,36.210000,34.550000,0.000000,119.960000,28.790000,9.170000,0.820000,0.000000,0,0.000000,915.78

76,18:45-19:00,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,0.000000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,191.940000,99.330000,7.060000,36.210000,34.550000,0.000000,119.960000,28.790000,9.170000,0.820000,0.000000,0,0.000000,915.78

77,19:00-19:15,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,0.000000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,191.940000,99.330000,7.060000,36.210000,34.550000,0.000000,191.940000,28.790000,9.350000,0.820000,0.000000,0,0.000000,987.94

78,19:15-19:30,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,0.000000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,191.940000,99.330000,7.060000,36.210000,34.550000,0.000000,191.940000,28.790000,9.350000,0.820000,0.000000,0,0.000000,987.94

79,19:30-19:45,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,0.000000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,191.940000,99.330000,6.060000,36.210000,34.550000,0.000000,191.940000,28.790000,9.350000,0.820000,0.000000,0,0.000000,986.94

80,19:45-20:00,0.000000,0.000000,0.000000,41.750000,49.660000,38.390000,0.000000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,191.940000,99.330000,6.060000,36.210000,34.550000,0.000000,191.940000,28.790000,9.350000,0.820000,0.000000,0,16.310000,1003.25

81,20:00-20:15,23.990000,0.000000,0.000000,41.750000,49.660000,38.390000,0.000000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,191.940000,99.330000,6.060000,36.210000,34.550000,0.000000,191.940000,28.790000,9.530000,0.770000,0.000000,0,47.030000,1058.09

82,20:15-20:30,23.990000,0.000000,0.000000,41.750000,49.660000,38.390000,0.000000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,191.940000,99.330000,6.060000,36.210000,34.550000,0.000000,191.940000,28.790000,9.530000,0.770000,0.000000,0,76.780000,1087.84

83,20:30-20:45,23.990000,0.000000,0.000000,41.750000,49.660000,38.390000,0.000000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,191.940000,99.330000,6.060000,36.210000,34.550000,0.000000,191.940000,28.790000,9.530000,0.770000,0.000000,0,116.120000,1127.18

