Column1,Block,SR/2025/17432/C,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/7663,NR/2025/28126/C,GNA/NR/2025/06/01/9719,NR/2025/28195/C,NR/2025/28184/C,NR/2025/28197/C,NR/2025/28154/C,NR/2025/28185/C,NR/2025/28198/C,NR/2025/28156/C,NR/2025/28186/C,NR/2025/28157/C,NR/2025/28187/C,NR/2025/28188/C,NR/30092023/26122029/SH-06,NR/2025/28159/C,NR/30092023/31122025/SH-07,NR/2025/26860/A/78162,NR/2025/26570/A/78433,NR/2025/27167/A/78196,NR/2025/27727/A/78466,NR/2025/26564/A/78431,NR/2025/26563/A/78430,NR/2025/28211/C,NR/2025/27725/A/78469,NR/2025/27281/A/78587,NR/2025/28100/C,NR/2025/27359/A/78166,NR/2025/26777/A/78146,NR/2025/27157/A/78032,NR/2025/26569/A/78432,NR/2025/28107/C,NR/2025/26785/A/78073,NR/2025/27242/A/78194,NR/2025/27782/A/78465,NR/2025/27724/A/78134,NR/2025/27499/A/78490,NR/2025/27162/A/78477,NR/2025/26085/A/78023,NR/2025/27168/A/78199,NR/2025/28212/C,NR/2025/27728/A/78467,NR/2025/27393/A/78163,NR/2025/27726/A/78468,NR/2025/27462/A/78053,NR/2025/26861/A/78443,NR/2025/28213/C,NR/2025/26952/A/78111,NR/2025/26889/A/78491,NR/2025/26445/A/78533,NR/2025/27088/A/78529,NR/2025/26561/A/78429,NR/2025/27360/A/78165,NR/2025/26975/A/78479,NR/2025/27361/A/78164,GNARE/NR/2024/12/20/3668,NR/2025/27356/A/78167,NR/2025/27622/A/78052,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/4973,Total
3,00:30-00:45,0,13.21,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,30,0,30,90.25,0,20.75,26.32,0,144.78,164.33,8.77,24.85,0,33.78,164.08,217.07,144.78,0,0,0,8.77,10.62,8.69,55.92,0.68,20.75,27.99,26.32,135.13,26.32,9.65,164.08,0,0,5.79,96.52,164.08,144.78,28.96,27.03,38.61,0,0,0,11.89,11.9,28.96,20.75,41.02,0,20.75,53.57,41.02,2405.2900000000004

4,00:45-01:00,0,13.21,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,30,0,30,90.25,0,20.75,26.32,0,144.78,164.33,8.77,24.85,0,33.78,164.08,217.07,144.78,0,0,0,8.77,10.62,8.69,55.92,0.68,20.75,27.99,26.32,135.13,26.32,9.65,164.08,0,0,5.79,96.52,164.08,144.78,28.96,27.03,38.61,0,0,0,11.89,11.9,28.96,20.75,41.02,0,20.75,53.57,41.02,2405.2900000000004

5,01:00-01:15,0,13.21,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,30,0,30,90.25,0,20.75,26.32,0,144.78,164.33,8.77,24.85,0,33.78,164.08,217.07,144.78,0,0,0,8.77,10.62,8.69,55.92,0.68,20.75,27.99,26.32,135.13,26.32,9.65,164.08,0,0,5.79,96.52,164.08,144.78,28.96,27.03,38.61,0,0,0,11.89,11.9,28.96,20.75,41.02,0,20.75,53.57,41.02,2405.2900000000004

6,01:15-01:30,0,13.21,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,30,0,30,90.25,0,20.75,26.32,0,144.78,164.33,8.77,24.85,0,33.78,164.08,217.07,144.78,0,0,0,8.77,10.62,8.69,55.92,0.68,20.75,27.99,26.32,135.13,26.32,9.65,164.08,0,0,5.79,96.52,164.08,144.78,28.96,27.03,38.61,0,0,0,11.89,11.9,28.96,20.75,41.02,0,20.75,53.57,41.02,2405.2900000000004

7,01:30-01:45,0,13.21,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,30,0,30,90.25,0,20.75,26.32,0,144.78,164.33,8.77,24.85,0,33.78,164.08,217.07,144.78,0,0,0,8.77,10.62,8.69,55.92,0.68,20.75,27.99,26.32,135.13,26.32,9.65,164.08,0,0,5.79,96.52,164.08,144.78,28.96,27.03,38.61,0,0,0,11.89,11.9,28.96,20.75,41.02,0,20.75,53.57,41.02,2405.2900000000004

8,01:45-02:00,0,13.21,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,30,0,30,90.25,0,20.75,26.32,0,144.78,164.33,8.77,24.85,0,33.78,164.08,217.07,144.78,0,0,0,8.77,10.62,8.69,55.92,0.68,20.75,27.99,26.32,135.13,26.32,9.65,164.08,0,0,5.79,96.52,164.08,144.78,28.96,27.03,38.61,0,0,0,11.89,11.9,28.96,20.75,41.02,0,20.75,53.57,41.02,2405.2900000000004

9,02:00-02:15,0,13.02,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,30,0,23.64,90.25,0,20.75,26.32,0,144.78,164.33,8.77,24.85,0,33.78,164.08,217.07,144.78,0,0,0,8.77,10.62,0,55.92,0.63,20.75,27.99,26.32,135.13,26.32,9.65,0,0,0,0,96.52,164.08,144.78,28.96,27.03,38.61,0,0,0,11.89,11.9,28.96,20.75,41.02,164.08,20.75,53.57,41.02,2384.2100000000005

10,02:15-02:30,0,13.02,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,30,0,23.64,90.25,0,20.75,26.32,0,144.78,164.33,8.77,24.85,0,33.78,164.08,217.07,144.78,0,0,0,8.77,10.62,0,55.92,0.63,20.75,27.99,26.32,135.13,26.32,9.65,0,0,0,0,96.52,164.08,144.78,28.96,27.03,38.61,0,0,0,11.89,11.9,28.96,20.75,41.02,164.08,20.75,53.57,41.02,2384.2100000000005

11,02:30-02:45,0,13.02,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,30,0,23.64,90.25,0,20.75,26.32,0,144.78,164.33,8.77,24.85,0,33.78,164.08,217.07,144.78,0,0,0,8.77,10.62,0,55.92,0.63,20.75,27.99,26.32,135.13,26.32,9.65,0,0,0,0,96.52,164.08,144.78,28.96,27.03,38.61,0,0,0,11.89,11.9,28.96,20.75,41.02,164.08,20.75,53.57,41.02,2384.2100000000005

12,02:45-03:00,0,13.02,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,30,0,23.64,90.25,0,20.75,26.32,0,144.78,164.33,8.77,24.85,0,33.78,164.08,217.07,144.78,0,0,0,8.77,10.62,0,55.92,0.63,20.75,27.99,26.32,135.13,26.32,9.65,0,0,0,0,96.52,164.08,144.78,28.96,27.03,38.61,0,0,0,11.89,11.9,28.96,20.75,41.02,164.08,20.75,53.57,41.02,2384.2100000000005

13,03:00-03:15,0,13.02,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,30,0,23.64,90.25,0,20.75,26.32,0,144.78,164.33,8.77,24.85,0,33.78,164.08,217.07,144.78,0,0,0,8.77,10.62,0,55.92,0.53,20.75,27.99,26.32,135.13,26.32,9.65,0,0,0,0,96.52,164.08,144.78,28.96,5.79,38.61,0,0,0,11.89,11.9,28.96,20.75,41.02,164.08,20.75,53.57,41.02,2362.87

14,03:15-03:30,0,13.02,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,30,0,23.64,90.25,0,20.75,26.32,0,144.78,164.33,8.77,24.85,0,33.78,164.08,217.07,144.78,0,0,0,8.77,10.62,0,55.92,0.53,20.75,27.99,26.32,135.13,26.32,9.65,0,0,0,0,96.52,164.08,144.78,28.96,5.79,38.61,0,0,0,11.89,11.9,28.96,20.75,41.02,164.08,20.75,53.57,41.02,2362.87

15,03:30-03:45,0,13.02,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,26.5,0,26.5,90.25,0,20.75,26.32,0,144.78,164.33,8.77,24.85,0,33.78,164.08,217.07,144.78,0,0,0,8.77,10.62,0,55.92,0.53,20.75,27.99,26.32,135.13,26.32,9.65,0,0,0,0,96.52,164.08,144.78,28.96,5.79,38.61,0,0,0,11.89,11.9,28.96,20.75,41.02,164.08,20.75,53.57,41.02,2362.23

16,03:45-04:00,0,13.02,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,26.5,0,26.5,90.25,0,20.75,26.32,0,144.78,164.33,8.77,24.85,0,33.78,164.08,217.07,144.78,0,0,0,8.77,10.62,0,55.92,0.53,20.75,27.99,26.32,135.13,26.32,9.65,0,0,0,0,96.52,164.08,144.78,28.96,5.79,38.61,0,0,0,11.89,11.9,28.96,20.75,41.02,164.08,20.75,53.57,41.02,2362.23

17,04:00-04:15,0,12.84,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,26.5,0,26.5,90.25,0,20.75,26.32,0,0,164.33,8.77,24.85,0,33.78,164.08,0,0,0,0,0,8.77,10.62,0,55.92,0.53,20.75,27.99,26.32,135.13,26.32,9.65,0,0,0,0,96.52,164.08,144.78,28.96,5.79,38.61,0,0,0,11.89,11.9,28.96,20.75,41.02,164.08,20.75,53.57,41.02,1855.4199999999998

18,04:15-04:30,0,12.84,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,26.5,0,26.5,90.25,0,20.75,26.32,0,0,164.33,8.77,24.85,0,33.78,164.08,0,0,0,0,0,8.77,10.62,0,55.92,0.53,20.75,27.99,26.32,135.13,26.32,9.65,0,0,0,0,96.52,164.08,144.78,28.96,5.79,38.61,0,0,0,11.89,11.9,28.96,20.75,41.02,164.08,20.75,53.57,41.02,1855.4199999999998

19,04:30-04:45,0,12.84,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,26.5,0,26.5,90.25,0,20.75,26.32,0,0,164.33,8.77,24.85,0,33.78,164.08,0,0,0,0,0,8.77,10.62,0,55.92,0.53,20.75,27.99,26.32,135.13,26.32,9.65,0,0,0,0,96.52,164.08,144.78,28.96,5.79,38.61,0,0,0,11.89,11.9,28.96,20.75,41.02,164.08,20.75,53.57,41.02,1855.4199999999998

20,04:45-05:00,0,12.84,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,26.5,0,26.5,90.25,0,20.75,26.32,0,0,164.33,8.77,24.85,0,33.78,164.08,0,0,0,0,0,8.77,10.62,0,55.92,0.53,20.75,27.99,26.32,135.13,26.32,9.65,0,0,0,0,96.52,164.08,144.78,28.96,5.79,38.61,0,0,0,11.89,11.9,28.96,20.75,41.02,164.08,20.75,53.57,41.02,1855.4199999999998

21,05:00-05:15,0,12.75,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,26.5,0,26.5,90.25,0,20.75,26.32,0,0,164.33,8.77,24.85,0,33.78,164.08,0,0,0,0,0,8.77,10.62,0,55.92,0.63,20.75,27.99,26.32,135.13,26.32,9.65,0,0,0,0,96.52,164.08,144.78,28.96,5.79,38.61,0,0,0,11.89,11.9,28.96,20.75,41.02,164.08,20.75,53.57,41.02,1855.43

22,05:15-05:30,0,12.75,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,26.5,0,26.5,90.25,0,20.75,26.32,0,0,164.33,8.77,24.85,0,33.78,164.08,0,0,0,0,0,8.77,10.62,0,55.92,0.63,20.75,27.99,26.32,135.13,26.32,9.65,0,0,0,0,96.52,164.08,144.78,28.96,5.79,38.61,0,0,0,11.89,11.9,28.96,20.75,41.02,164.08,20.75,53.57,41.02,1855.43

23,05:30-05:45,0,12.75,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,26.5,0,26.5,90.25,0,20.75,26.32,0,0,164.33,8.77,24.85,0,33.78,164.08,0,0,0,0,0,8.77,10.62,0,55.92,0.63,20.75,27.99,26.32,135.13,26.32,9.65,0,0,0,0,96.52,164.08,144.78,28.96,5.79,38.61,0,0,0,11.89,11.9,28.96,20.75,41.02,164.08,20.75,53.57,41.02,1855.43

24,05:45-06:00,0,12.75,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,26.5,0,26.5,90.25,0,20.75,26.32,0,0,164.33,8.77,24.85,0,33.78,164.08,0,0,0,0,0,8.77,9.65,0,55.92,0.63,20.75,27.99,26.32,135.13,26.32,9.65,0,0,0,0,96.52,164.08,144.78,28.96,5.79,38.61,0,0,0,11.89,11.9,28.96,20.75,41.02,164.08,20.75,53.57,41.02,1854.46

25,06:00-06:15,0,11.82,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,26.5,0,26.5,90.25,0,20.75,26.32,0,0,164.33,8.77,24.85,0,0,164.08,0,0,0,0,0,8.77,9.65,0,55.92,0.68,20.75,27.99,26.32,0,26.32,9.65,0,0,0,0,96.52,164.08,144.78,0,5.79,0,0,1,0,11.89,11.9,28.96,20.75,41.02,164.08,20.75,53.57,41.02,1618.1

26,06:15-06:30,0,11.82,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,26.5,0,26.5,90.25,0,20.75,26.32,0,0,164.33,8.77,24.85,0,0,164.08,0,0,0,0,0,8.77,9.65,0,55.92,0.68,20.75,27.99,26.32,0,26.32,9.65,0,0,0,0,96.52,164.08,144.78,0,5.79,0,0.46,4,0,11.89,11.9,28.96,20.75,41.02,164.08,20.75,53.57,41.02,1621.56

27,06:30-06:45,0,11.82,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,26.5,0,26.5,90.25,0,20.75,26.32,0,0,164.33,8.77,24.85,0,0,164.08,0,0,0,0,0,8.77,9.65,0,55.92,0.68,20.75,27.99,26.32,0,26.32,9.65,0,0,0,0,96.52,164.08,144.78,0,5.79,0,5.39,7,0,11.89,11.9,28.96,20.75,41.02,164.08,20.75,53.57,41.02,1629.49

28,06:45-07:00,0,11.82,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,26.5,0,26.5,90.25,0,20.75,26.32,0,0,164.33,8.77,24.85,0,0,164.08,0,0,0,0,0,8.77,9.65,0,55.92,0.68,20.75,27.99,26.32,0,26.32,9.65,0,0,0,0,96.52,164.08,144.78,0,5.79,0,8.47,14,0,11.89,11.9,28.96,20.75,41.02,164.08,20.75,53.57,41.02,1639.57

29,07:00-07:15,0,11.73,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,26.5,0,26.5,90.25,0,20.75,26.32,0,0,164.33,8.77,24.85,0,0,164.08,0,0,0,0,33.78,8.77,9.65,0,55.92,0.87,20.75,27.99,26.32,0,26.32,9.65,0,0,0,0,96.52,164.08,144.78,0,5.79,0,12.27,25,0,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,1676.6599999999999

30,07:15-07:30,0,11.73,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,26.93,0,26.93,90.25,0,20.75,26.32,0,0,164.33,8.77,24.85,0,0,164.08,0,0,0,0,33.78,8.77,9.65,0,55.92,0.87,20.75,27.99,26.32,0,26.32,9.65,0,0,0,0,96.52,164.08,144.78,0,5.79,0,17.05,35,0,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,1692.2999999999997

31,07:30-07:45,0,11.73,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,26.93,0,26.93,90.25,0,20.75,26.32,0,0,164.33,8.77,24.85,0,0,164.08,0,0,0,0,33.78,8.77,9.65,0,55.92,0.87,20.75,27.99,26.32,0,26.32,9.65,0,0,0,0,96.52,164.08,144.78,0,5.79,0,22.69,49,0,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,1711.9399999999998

32,07:45-08:00,0,11.73,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,26.93,0,26.93,90.25,0,20.75,26.32,0,0,164.33,8.77,24.85,0,0,164.08,0,0,0,0,33.78,8.77,9.65,0,55.92,0.87,20.75,27.99,26.32,0,26.32,9.65,0,0,0,0,96.52,164.08,144.78,0,5.79,0,28.96,63,0,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,1732.2099999999998

33,08:00-08:15,0,11.64,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,26.93,0,26.93,90.25,0,20.75,26.32,0,0,164.33,8.77,24.85,0,0,164.08,0,0,0,0,33.78,8.77,9.65,0,55.92,0.97,20.75,27.99,26.32,0,26.32,9.65,0,0,0,0,96.52,164.08,144.78,0,5.79,0,35.67,77,4.36,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,1757.29

34,08:15-08:30,0,11.64,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,26.93,0,26.93,90.25,0,20.75,26.32,0,0,164.33,8.77,24.85,0,0,164.08,0,0,0,0,33.78,8.77,10.62,0,55.92,0.97,20.75,27.99,26.32,0,26.32,9.65,0,0,0,0,96.52,164.08,144.78,0,5.79,0,42.48,91,5.2,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,1779.91

35,08:30-08:45,0,11.64,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,26.93,0,26.93,90.25,0,20.75,26.32,0,0,164.33,8.77,24.85,0,0,164.08,0,0,0,0,33.78,8.77,10.62,0,55.92,0.97,20.75,27.99,26.32,0,26.32,9.65,0,0,0,0,96.52,164.08,144.78,0,5.79,0,49.28,102,5.79,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,1798.3

36,08:45-09:00,0,11.64,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,26.93,0,26.93,90.25,0,20.75,26.32,0,0,164.33,8.77,24.85,0,0,164.08,0,0,0,0,33.78,8.77,10.62,0,55.92,0.97,20.75,27.99,26.32,0,26.32,9.65,0,0,0,0,96.52,164.08,144.78,0,5.79,0,56.15,116,5.79,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,1819.17

37,09:00-09:15,0,11.54,41.02,0,20.75,164.08,8.77,5.79,90.25,26.32,55.92,0,26.32,0,8.77,26.32,26.94,128.97,26.94,0,0,20.75,0,0,0,164.33,0,0,24.85,0,0,0,0,53.09,0,33.78,0,10.62,0,0,0.97,20.75,27.99,0,0,0,0,0,164.08,0,0,96.52,0,15.81,0,0,0,62.72,126,7.68,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,1880.99

38,09:15-09:30,0,11.54,41.02,0,20.75,164.08,8.77,5.79,90.25,26.32,55.92,0,26.32,0,8.77,26.32,26.94,128.97,26.94,0,0,20.75,0,0,0,164.33,0,0,24.85,0,0,0,0,53.09,0,33.78,0,11.58,0,0,0.97,20.75,27.99,0,0,0,0,0,164.08,0,0,96.52,0,15.81,0,0,0,68.66,140,8.41,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,1902.6200000000001

39,09:30-09:45,0,11.54,41.02,0,20.75,164.08,8.77,5.79,90.25,26.32,55.92,0,26.32,0,8.77,26.32,26.94,128.97,26.94,0,0,20.75,0,0,0,164.33,0,0,24.85,0,0,0,0,53.09,0,33.78,0,11.58,0,0,0.97,20.75,27.99,0,0,0,0,0,164.08,0,0,96.52,0,15.81,0,0,0,75.57,151,8.69,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,1920.81

40,09:45-10:00,0,11.54,41.02,0,20.75,164.08,8.77,5.79,90.25,26.32,55.92,0,26.32,0,8.77,26.32,26.94,128.97,26.94,0,0,20.75,0,0,0,164.33,0,0,24.85,0,0,0,0,53.09,0,33.78,0,11.58,0,0,0.97,20.75,27.99,0,0,0,0,0,164.08,0,0,96.52,0,15.81,0,0,0,80.89,161,8.69,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,1936.13

