Block,Time,L_NR_2022_10,L_NR_2020_07,L_NR_2020_05,L_NR_2018_61,L_NR_2022_08,L_NR_2012_07,L_NR_2021_13,L_NR_2020_02,L_NR_2019_07,L_NR_2019_05,L_NR_2021_16,L_NR_2019_06,L_NR_2021_15,L_NR_2012_02,L_NR_2019_19,LT-36,L_NR_2022_09,L_NR_2020_06,L_NR_2021_14,LT-31,L_NR_2021_17,LT-05,LT-59,L_NR_2021_12,SH-06,L_NR_2012_01,LT-35,L_NR_2023_07,L_NR_2019_11,L_NR_2023_10,SH-07,L_NR_2012_04,L_NR_2023_04
27,06:30-06:45,13.33,6.66,20,19.28,6.67,74.120000,0.23,4.650000,15.75,5.85,5,1,0.32,261.560000,12.832848,0.200000,13.33,6.67,0.62,0.190000,3,115.990000,5.130000,1.16,24.550000,101.250000,0.190000,1.48,4.690000,0.64,24.550000,271.860000,29.800000

28,06:45-07:00,13.33,6.66,20,18.06,6.67,74.120000,1.15,4.650000,24.88,15.49,9,15.3,1.08,261.560000,20.959344,0.650000,13.33,6.67,1.88,0.630000,4,115.990000,5.130000,5.76,24.550000,101.250000,0.630000,5.47,4.690000,2.34,24.550000,271.860000,29.800000

29,07:00-07:15,13.33,6.66,20,16.73,6.67,74.120000,2.73,4.550000,28.15,28.15,11,28.15,2.55,261.560000,29.13456,1.330000,13.33,6.67,4.22,1.290000,6,115.990000,5.060000,13.63,24.550000,101.250000,1.290000,12.29,4.690000,5.27,24.550000,271.860000,29.800000

30,07:15-07:30,13.33,6.66,20,15.68,6.67,74.120000,3.93,4.550000,28.65,28.65,16,28.65,4.69,261.560000,38.420592,2.160000,13.33,6.67,8.55,2.100000,8,115.990000,5.060000,19.66,24.550000,101.250000,2.100000,21,4.690000,9,24.550000,271.860000,29.800000

31,07:30-07:45,13.33,6.66,20,13.08,6.67,74.120000,8.49,4.550000,30.17,30.17,19,30.16,7.47,261.560000,48.33024,3.200000,13.33,6.67,15.12,3.110000,10,115.990000,5.060000,42.48,24.550000,101.250000,3.110000,39,4.690000,16,24.550000,271.860000,29.800000

32,07:45:08:00,13.33,6.66,20,19.94,6.67,74.120000,12.59,4.550000,30.67,30.67,25,30.66,12.22,261.560000,58.629648,4.350000,13.33,6.67,21.36,4.240000,13,115.990000,5.060000,62.96,26.010000,101.250000,4.240000,53,4.690000,22,26.010000,271.860000,29.800000

33,08:00-08:15,13.33,6.66,20,19.14,6.67,74.120000,16.85,4.550000,31.83,31.83,27,31.84,15.77,261.560000,68.315184,5.580000,13.33,6.67,28.41,5.430000,14,107.470000,5.060000,84.25,26.010000,101.250000,5.430000,67,4.690000,28,26.010000,271.860000,29.800000

34,08:15-08:30,13.33,6.66,20,18.33,6.67,74.120000,21.09,4.550000,32.17,32.17,33,32.16,19.49,261.560000,77.347872,6.820000,13.33,6.67,35.83,6.660000,17,98.930000,5.060000,105.45,26.010000,101.250000,6.660000,81,4.690000,34,26.010000,271.860000,29.800000

35,08:30-08:45,13.33,6.66,20,17.94,6.67,74.120000,25.19,4.550000,32.17,32.17,40,32.16,23.16,261.560000,85.79592,8.040000,13.33,6.67,43.22,7.850000,20,90.410000,5.060000,125.96,26.010000,101.250000,7.850000,95,4.690000,40,26.010000,271.860000,29.750000

36,08:45:09:00,13.33,6.66,20,28.34,6.67,74.120000,29.19,4.550000,32.17,32.17,47,32.16,26.51,261.560000,93.483936,9.240000,13.33,6.67,50.42,9.020000,23,81.880000,5.060000,145.97,26.010000,101.250000,9.020000,109,4.690000,46,26.010000,271.860000,29.750000

37,09:00:09:15,13.33,6.66,20,27.94,6.67,74.120000,32.42,4.550000,30.83,30.84,55,30.83,29.52,261.560000,93.824976,10.360000,13.33,6.67,57.2,10.110000,27,70.500000,5.060000,162.12,26.010000,101.250000,10.110000,123,4.610000,52,26.010000,271.860000,28.750000

38,09:15-09:30,13.33,6.66,20,27.74,6.67,74.120000,36.09,4.550000,30.83,30.84,59,30.83,32.25,261.560000,98.307216,11.430000,13.33,6.67,63.69,11.150000,30,70.500000,5.060000,180.44,26.010000,101.250000,11.150000,133,4.610000,57,26.010000,271.860000,28.750000

39,09:30-09:45,13.33,6.66,20,27.14,6.67,74.120000,40,4.550000,30.83,30.84,65,30.83,33.69,261.560000,101.8248,12.390000,13.33,6.67,69.83,12.080000,32,115.990000,5.060000,200,26.010000,101.250000,12.080000,144,4.610000,61,26.010000,271.860000,29.710000

40,09:45-10:00,13.33,6.66,20,26.47,6.67,74.120000,43,4.550000,30.83,30.84,68,30.83,35.83,261.560000,104.621328,13.240000,13.33,6.67,75.23,12.910000,34,115.990000,5.060000,215.03,26.010000,101.250000,12.910000,154,4.610000,66,26.010000,271.860000,28.700000

41,10:00-10:15,13.33,6.66,20,26.27,6.67,74.120000,45.12,4.550000,30.83,30.84,71,30.83,37.69,261.560000,109.171776,13.950000,13.33,6.67,80.23,13.610000,36,115.990000,5.130000,225.59,26.010000,101.250000,13.610000,165,4.610000,70,26.010000,271.860000,29.660000

42,10:15-10:30,13.33,6.66,20,26.07,6.67,74.120000,45.83,4.550000,30.83,30.84,72,30.83,38,261.560000,114.706368,14.530000,13.33,6.67,84.59,14.170000,36,115.990000,5.130000,229.17,26.010000,101.250000,14.170000,172,4.610000,73,26.010000,271.860000,29.660000

43,10:30-10:45,13.33,6.66,20,25.94,6.67,74.120000,45.83,4.550000,30.83,30.84,75,30.83,39,261.560000,114.599184,15.030000,13.33,6.67,86.49,14.670000,37,115.990000,5.130000,229.17,26.010000,101.250000,14.670000,179,4.610000,76,26.010000,271.860000,30.630000

44,10:45-11:00,13.33,5.84,17.5,25.74,6.67,74.120000,45.83,4.550000,31.17,31.16,77,31.17,40.61,261.560000,120.77688,15.450000,13.33,5.83,88.57,15.070000,39,115.990000,5.130000,229.17,26.010000,101.250000,15.070000,182,4.610000,78,26.010000,271.860000,30.630000

45,11:00-11:15,13.33,5.84,17.5,24.07,6.67,65.010000,45.83,4.470000,31.17,31.16,79,31.17,41.67,261.560000,124.4796,15.780000,13.33,5.83,89.45,15.390000,39,115.990000,5.210000,229.17,26.010000,101.250000,15.390000,189,4.690000,81,26.010000,271.860000,28.620000

46,11:15-11:30,13.33,5.84,17.5,24.47,6.67,65.010000,45.83,4.470000,31.17,31.16,79,31.17,42.47,261.560000,126.253008,16.000000,13.33,5.83,91.13,15.600000,39,115.990000,5.210000,229.17,26.010000,101.250000,15.600000,189,4.690000,81,26.010000,271.860000,28.620000

47,11:30-11:45,13.33,5.84,17.5,25.14,6.67,74.120000,45.83,4.470000,31.17,31.16,78,31.17,42.5,261.560000,126.954576,16.080000,13.33,5.83,91.33,15.690000,39,115.990000,5.210000,229.17,26.010000,101.250000,15.690000,189,4.690000,81,26.010000,271.860000,28.620000

48,11:45-12:00,13.33,5.84,17.5,26.14,6.67,74.120000,45.83,4.470000,31.17,31.16,78,31.17,42.5,261.560000,126.652512,16.170000,13.33,5.83,91.32,15.780000,39,115.990000,5.210000,229.17,26.010000,101.250000,15.780000,189,4.690000,81,26.010000,271.860000,26.690000

49,12:00-12:15,13.33,5.84,17.5,26.54,6.67,74.120000,45.83,4.470000,31.17,31.16,78,31.17,42.5,261.560000,129.751104,16.180000,13.33,5.83,91.33,15.790000,39,115.990000,4.750000,229.17,26.010000,101.250000,15.790000,191,4.840000,82,26.010000,271.860000,27.690000

50,12:15-12:30,13.33,5.84,17.5,27,6.67,74.120000,45.83,4.470000,31.17,31.16,78,31.17,42.5,261.560000,128.221296,16.120000,13.33,5.83,91.35,15.730000,39,115.990000,4.980000,229.17,26.010000,101.250000,15.730000,191,4.840000,82,26.010000,271.860000,27.690000

51,12:30-12:45,13.33,5.84,17.5,29.14,6.67,74.120000,45.83,4.470000,31.17,31.16,78,31.17,42.5,261.560000,126.389424,16.120000,13.33,5.83,91.38,15.730000,39,115.990000,4.980000,229.17,26.010000,101.250000,15.730000,191,4.840000,82,26.010000,271.860000,27.690000

52,12:45-13:00,13.33,5.84,17.5,30.27,6.67,74.120000,45.83,4.470000,31.17,31.16,79,31.17,42.5,261.560000,123.008256,16.110000,13.33,5.83,91.32,15.720000,39,115.990000,4.980000,229.17,26.010000,101.250000,15.720000,191,4.840000,82,26.010000,271.860000,27.690000

53,13:00-13:15,13.33,5.84,17.5,30.66,6.67,65.010000,42.5,4.470000,31.17,31.16,79,31.17,42.5,261.560000,118.798848,16.070000,13.33,5.83,91.32,15.680000,39,115.990000,5.060000,212.5,26.010000,101.250000,15.680000,191,5.070000,82,26.010000,271.860000,27.690000

54,13:15-13:30,13.33,5.84,17.5,30.22,6.67,65.010000,42.5,4.470000,31.17,31.16,79,31.17,42.5,261.560000,114.365328,16.040000,13.33,5.83,91.31,15.650000,39,115.990000,5.060000,212.5,26.010000,101.250000,15.650000,191,5.070000,82,26.010000,271.860000,27.690000

55,13:30-13:45,13.33,5.84,17.5,29.45,6.67,74.120000,42.5,4.470000,31.17,31.16,79,31.17,42,261.560000,106.823472,16.010000,13.33,5.83,91.13,15.610000,40,115.990000,5.060000,212.5,26.010000,101.250000,15.610000,191,5.070000,82,26.010000,271.860000,27.690000

56,13:45-14:00,13.33,5.84,17.5,28.57,6.67,74.120000,42.5,4.470000,31.17,31.16,79,31.17,37.5,261.560000,100.577568,15.580000,13.33,5.83,89.99,15.190000,40,115.990000,5.060000,212.5,26.010000,101.250000,15.190000,191,5.070000,82,26.010000,271.860000,27.690000

57,14:00-14:15,13.33,5.84,17.5,28.13,6.67,74.120000,42.5,4.470000,31.17,31.16,76,31.17,37.5,261.560000,96.865104,15.210000,13.33,5.83,89.26,14.840000,38,115.990000,5.060000,212.5,26.010000,101.250000,14.840000,189,5.310000,81,26.010000,271.860000,27.690000

58,14:15-14:30,13.33,5.84,17.5,28.52,6.67,74.120000,42.5,4.470000,31.17,31.16,75,31.17,37.5,261.560000,93.064944,14.830000,13.33,5.83,87.98,14.470000,37,115.990000,5.060000,212.5,26.010000,101.250000,14.470000,182,5.310000,78,26.010000,271.860000,27.690000

59,14:30-14:45,13.33,5.84,17.5,29.13,6.67,74.120000,41.72,4.470000,31.17,31.16,71,31.17,36.5,261.560000,87.871392,14.240000,13.33,5.83,85.93,13.900000,36,115.990000,5.210000,208.61,26.010000,101.250000,13.900000,175,5.310000,75,26.010000,271.860000,29.630000

60,14:45-15:00,13.33,5.84,17.5,29.73,6.67,74.120000,38.7,4.470000,31.17,31.16,69,31.17,34.5,261.560000,81.781392,13.660000,13.33,5.83,84.02,13.320000,34,115.990000,5.210000,193.53,26.010000,101.250000,13.320000,168,5.310000,72,26.010000,271.860000,29.630000

61,15:00-15:15,13.33,5.84,17.5,31.63,6.67,74.120000,41.14,4.550000,31.17,31.16,67,31.17,32.5,261.560000,78.332016,11.530000,13.33,5.83,56.67,11.250000,33,115.990000,5.210000,205.69,26.010000,101.250000,11.250000,161,5.460000,69,26.010000,271.860000,29.630000

62,15:15-15:30,13.33,5.84,17.5,18.14,6.67,74.120000,38.55,4.550000,31.17,31.16,62,31.17,30.5,261.560000,69.932688,11.040000,13.33,5.83,58,10.770000,31,115.990000,5.210000,192.73,26.010000,101.250000,10.770000,151,5.460000,64,26.010000,271.860000,29.630000

63,15:30-15:45,13.33,5.84,17.5,17.61,6.67,74.120000,35.75,4.550000,31.17,31.16,54,31.17,28.5,261.560000,61.494384,10.340000,13.33,5.83,58.33,10.090000,27,115.990000,5.210000,178.74,26.010000,101.250000,10.090000,133,5.460000,57,26.010000,271.860000,29.630000

64,15:45-16:00,13.33,5.84,17.5,16.74,6.67,74.120000,32.82,4.550000,31.17,31.16,49,31.17,26.5,261.560000,53.05608,9.550000,13.33,5.83,56.67,9.320000,25,115.990000,5.210000,164.1,26.010000,101.250000,9.320000,123,5.460000,52,26.010000,271.860000,29.630000

65,16:00-16:15,13.33,6.34,19,16.34,6.67,74.120000,18.29,4.550000,31.17,31.16,46,31.17,23.5,261.560000,44.500848,8.600000,13.33,6.33,54.25,8.390000,23,115.990000,5.600000,91.43,26.010000,101.250000,8.390000,109,5.460000,46,26.010000,271.860000,29.630000

66,16:15-16:30,13.33,6.66,20,16.94,6.67,74.120000,16.28,4.550000,31.17,31.16,43,31.17,15,261.560000,36.54,7.600000,13.33,6.67,48.25,7.420000,21,115.990000,5.600000,81.38,26.010000,101.250000,7.420000,95,5.460000,40,26.010000,271.860000,29.630000

67,16:30-16:45,13.33,6.66,20,28.41,6.67,74.120000,14.73,4.550000,31.17,31.16,39,31.17,14,261.560000,33.110112,6.630000,13.33,6.67,42.12,6.470000,20,115.990000,5.600000,73.66,30.930000,101.250000,6.470000,81,5.460000,34,26.010000,271.860000,29.630000

68,16:45-17:00,13.33,6.66,20,28.94,6.67,74.120000,13.72,4.550000,31.17,31.16,37,31.17,13,261.560000,23.541504,5.600000,13.33,6.67,35.64,5.460000,18,115.990000,5.600000,68.61,30.930000,101.250000,5.460000,67,5.460000,28,26.010000,271.860000,29.630000

69,17:00-17:15,13.33,6.66,20,29.81,6.67,74.120000,11.18,4.650000,33,32.07,33,22.31,12,261.560000,15.220128,4.560000,13.33,6.67,29.01,4.460000,17,115.990000,5.750000,55.93,30.930000,101.250000,4.460000,53,5.460000,22,22.770000,271.860000,29.630000

70,17:15-17:30,13.33,6.66,20,30.94,6.67,74.120000,7.5,4.650000,24,17.22,29,10.4,9,261.560000,8.86704,3.510000,13.33,6.67,22.55,3.430000,15,115.990000,5.750000,37.5,30.930000,101.250000,3.430000,42,5.460000,18,22.770000,271.860000,29.630000

71,17:30-17:45,13.33,6.66,20,42.02,6.67,74.120000,6.12,4.650000,12.24,7.21,24,0.36,6,261.560000,4.365312,2.630000,13.33,6.67,16.12,2.560000,12,115.990000,5.750000,30.58,30.930000,101.250000,2.560000,32,5.460000,13,22.770000,271.860000,29.630000

72,17:45-18:00,13.33,6.66,20,42.02,6.67,74.120000,3.58,4.650000,4.44,1.22,17,0,3.6,261.560000,1.60776,1.790000,13.33,6.67,10.39,1.750000,9,115.990000,5.750000,17.92,30.930000,101.250000,1.750000,21,5.460000,9,13.110000,271.860000,27.690000

73,18:00-18:15,13.33,6.66,20,42.02,6.67,74.120000,2.62,4.740000,0,0,9,0,1.93,261.560000,0.175392,1.080000,13.33,6.67,0.95,1.060000,4,115.990000,5.750000,13.1,30.930000,101.250000,1.060000,11,5.840000,4,13.110000,271.860000,27.690000

74,18:15-18:30,13.33,6.66,20,42.02,7,74.120000,1.7,4.740000,0,0,7,0,0.68,261.560000,0,0.530000,13.33,6.67,0.31,0.530000,3,115.990000,5.750000,8.52,30.930000,101.250000,0.530000,4,5.840000,1,13.110000,271.860000,27.690000

75,18:30-18:45,13.33,6.66,20,42.02,7,74.120000,0.01,4.740000,0,0,3,0,0,261.560000,0,0.130000,13.33,6.67,0,0.130000,2,115.990000,5.750000,0.04,30.140000,101.250000,0.130000,0,5.840000,0,30.140000,271.860000,27.690000

76,18:45-19:00,13.33,6.66,20,42.02,7,74.120000,0,4.740000,0,0,1,0,0,261.560000,0,0.000000,13.33,6.67,0,0.000000,0,115.990000,5.750000,0.01,30.140000,101.250000,0.000000,0,5.840000,0,30.140000,271.860000,27.690000

77,19:00-19:15,13.33,6.66,20,42.02,7,74.120000,0,4.830000,0,0,0,0,0,261.560000,0,0.000000,13.33,6.67,0,0.000000,0,115.990000,5.750000,0,30.630000,101.250000,0.000000,0,5.620000,0,30.630000,271.860000,28.660000

78,19:15-19:30,13.33,6.66,20,42.02,7,74.120000,0,4.830000,0,0,0,0,0,261.560000,0,0.000000,13.33,6.67,0,0.000000,0,115.990000,5.750000,0,30.630000,101.250000,0.000000,0,5.620000,0,30.630000,271.860000,28.660000

79,19:30-19:45,20.84,6.66,20,42.62,7,74.120000,0,4.830000,0,0,0,0,0,261.560000,0,0.000000,20.84,6.67,0,0.000000,0,115.990000,5.750000,0,30.630000,101.250000,0.000000,0,5.620000,0,30.630000,271.860000,28.660000

80,19:45-20:00,21.51,7.77,23.28,42.62,8.51,74.120000,0,4.830000,0,0,0,0,0,261.560000,0,0.000000,21.51,7.76,0,0.000000,0,115.990000,5.750000,0,30.630000,101.250000,0.000000,0,5.620000,0,30.630000,271.860000,28.660000

81,20:00-20:15,21.84,7.75,23.26,42.62,8.44,74.120000,0,4.830000,0,0,0,0,0,261.560000,0,0.000000,21.84,7.75,0,0.000000,0,115.990000,5.750000,0,30.630000,101.250000,0.000000,0,5.380000,0,30.630000,271.860000,28.660000

82,20:15-20:30,22.17,7.74,23.23,42.62,8.37,74.120000,0,4.830000,0,0,0,0,0,261.560000,0,0.000000,22.17,7.74,0,0.000000,0,115.990000,5.750000,0,30.630000,101.250000,0.000000,0,5.380000,0,30.630000,271.860000,28.660000

83,20:30-20:45,22.84,7.74,23.23,42.62,8.28,74.120000,0,4.830000,0,0,0,0,0,261.560000,0,0.000000,22.84,7.74,0,0.000000,0,115.990000,5.600000,0,30.630000,101.250000,0.000000,0,5.380000,0,30.630000,271.860000,28.660000

84,20:45-21:00,23.17,7.73,23.18,42.62,8.22,74.120000,0,4.830000,0,0,0,0,0,261.560000,0,0.000000,23.17,7.73,0,0.000000,0,115.990000,5.600000,0,30.630000,101.250000,0.000000,0,5.380000,0,30.630000,271.860000,28.660000

85,21:00-21:15,23.84,7.56,22.7,42.62,8.11,74.120000,0,4.830000,0,0,0,0,0,261.560000,0,0.000000,23.84,7.57,0,0.000000,0,115.990000,5.600000,0,30.930000,101.250000,0.000000,0,5.230000,0,30.930000,271.860000,27.690000

86,21:15-21:30,24.51,6.92,20.76,35.61,8.04,74.120000,0,4.830000,0,0,0,0,0,261.560000,0,0.000000,24.51,6.92,0,0.000000,0,115.990000,5.600000,0,30.930000,101.250000,0.000000,0,5.230000,0,30.930000,271.860000,27.690000

87,21:30-21:45,25.58,7.77,23.28,35.15,9.29,74.120000,0,4.830000,0,0,0,0,0,261.560000,0,0.000000,25.58,7.76,0,0.000000,0,115.990000,5.440000,0,30.930000,101.250000,0.000000,0,5.230000,0,30.930000,271.860000,27.690000

88,21:45-22:00,25.93,7.75,23.26,34.79,9.22,74.120000,0,4.830000,0,0,0,0,0,261.560000,0,0.000000,25.93,7.75,0,0.000000,0,115.990000,5.440000,0,30.930000,101.250000,0.000000,0,5.230000,0,30.930000,271.860000,27.690000

89,22:00-22:15,26.75,7.74,23.23,34.52,9.18,74.120000,0,4.740000,0,0,0,0,0,261.560000,0,0.000000,26.75,7.74,0,0.000000,0,115.990000,5.440000,0,30.930000,101.250000,0.000000,0,5.230000,0,30.930000,271.860000,28.700000

90,22:15-22:30,35.28,7.74,23.23,29.54,9.12,74.120000,0,4.740000,0,0,0,0,0,261.560000,0,0.000000,35.28,7.74,0,0.000000,0,115.990000,5.440000,0,30.930000,101.250000,0.000000,0,5.230000,0,30.930000,271.860000,28.700000

91,22:30-22:45,35.25,7.73,23.18,29.22,7.33,74.120000,0,4.740000,0,0,0,0,0,261.560000,0,0.000000,35.25,7.73,0,0.000000,0,115.990000,5.290000,0,10.120000,101.250000,0.000000,0,5.230000,0,10.120000,271.860000,28.700000

92,22:45-23:00,35.7,7.56,22.7,29.06,7.33,74.120000,0,4.740000,0,0,0,0,0,261.560000,0,0.000000,35.7,7.57,0,0.000000,0,115.990000,5.290000,0,10.120000,101.250000,0.000000,0,5.230000,0,10.120000,271.860000,28.700000

93,23:00-23:15,35.82,7.34,22,28.8,7.33,74.120000,0,4.740000,0,0,0,0,0,261.560000,0,0.000000,35.82,7.33,0,0.000000,0,115.990000,5.290000,0,10.120000,101.250000,0.000000,0,5.000000,0,10.120000,271.860000,27.780000

94,23:15-23:30,36.03,7.34,22,34.19,7.33,74.120000,0,4.740000,0,0,0,0,0,261.560000,0,0.000000,36.03,7.33,0,0.000000,0,115.990000,5.290000,0,10.120000,101.250000,0.000000,0,5.000000,0,10.120000,271.860000,27.780000

95,23:30-23:45,36.55,7.34,22,34.18,7.33,74.120000,0,4.740000,0,0,0,0,0,261.560000,0,0.000000,36.55,7.33,0,0.000000,0,115.990000,5.290000,0,10.120000,101.250000,0.000000,0,5.000000,0,10.120000,271.860000,27.780000

