Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/25752/A/62749,WR/2025/27369/A/63280,WR/2025/27361/A/63302,NR/2025/25929/C,WR/2025/27350/A/62900,NR/2025/25792/A/63290,NR/2025/25794/A/63289,NR/2025/25923/C,NR/2025/25791/A/63291,NR/2025/25790/A/63292,NR/2025/25828/A/62907,NR/2025/25886/A/62906,NR/2025/25795/A/62959,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/01/6490,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/10/9513,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/1333,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/5285,Total
4,00:45-01:00,0,0,48.12,48.12,164.59,144.38,32.81,32.81,3.85,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,48.12,9.49,9.62,2.89,52.5,36.58,48.12,2.89,2.89,816.68

5,01:00-01:15,0,0,48.12,48.12,164.59,144.38,32.81,32.81,3.85,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,48.12,9.39,9.62,2.89,52.5,36.58,48.12,2.89,2.89,816.5799999999999

6,01:15-01:30,0,0,48.12,48.12,164.59,144.38,32.81,32.81,3.85,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,48.12,9.39,9.62,2.89,52.5,36.58,48.12,2.89,2.89,816.5799999999999

7,01:30-01:45,0,0,48.12,48.12,164.59,144.38,32.81,32.81,3.85,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,48.12,9.39,9.62,2.89,52.5,36.58,48.12,2.89,2.89,816.5799999999999

8,01:45-02:00,0,0,48.12,48.12,164.59,144.38,32.81,32.81,3.85,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,48.12,9.39,9.62,2.89,52.5,36.58,48.12,2.89,2.89,816.5799999999999

9,02:00-02:15,0,0,48.12,48.12,150.15,144.38,32.81,32.81,3.85,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,48.12,9.31,9.62,2.89,0,36.58,48.12,2.89,2.89,749.56

10,02:15-02:30,0,0,48.12,48.12,150.15,144.38,32.81,32.81,3.85,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,48.12,9.31,9.62,2.89,0,36.58,48.12,2.89,2.89,749.56

11,02:30-02:45,0,0,48.12,48.12,150.15,144.38,32.81,32.81,3.85,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,48.12,9.31,9.62,2.89,0,36.58,48.12,2.89,2.89,749.56

12,02:45-03:00,0,0,48.12,48.12,150.15,144.38,32.81,32.81,3.85,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,48.12,9.31,9.62,2.89,0,36.58,48.12,2.89,2.89,749.56

13,03:00-03:15,0,0,48.12,48.12,150.15,144.38,32.81,32.81,3.85,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,9.21,9.62,2.89,0,36.58,48.12,2.89,2.89,701.34

14,03:15-03:30,0,0,48.12,48.12,150.15,144.38,32.81,32.81,3.85,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,9.21,9.62,2.89,0,36.58,48.12,2.89,2.89,701.34

15,03:30-03:45,0,0,48.12,48.12,150.15,144.38,32.81,32.81,3.85,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,9.21,9.62,2.89,0,36.58,48.12,2.89,2.89,701.34

16,03:45-04:00,0,0,48.12,48.12,150.15,144.38,32.81,32.81,3.85,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,9.21,9.62,2.89,0,36.58,48.12,2.89,2.89,701.34

17,04:00-04:15,0,0,48.12,48.12,150.15,144.38,32.81,32.81,3.85,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,9.03,9.62,2.89,0,36.58,48.12,2.89,2.89,701.16

18,04:15-04:30,0,0,48.12,48.12,150.15,144.38,32.81,32.81,3.85,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,9.03,9.62,2.89,0,36.58,48.12,2.89,2.89,701.16

19,04:30-04:45,0,0,48.12,48.12,150.15,144.38,32.81,32.81,3.85,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,9.03,9.62,2.89,0,36.58,48.12,2.89,2.89,701.16

20,04:45-05:00,0,0,48.12,48.12,150.15,144.38,32.81,32.81,3.85,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,9.03,9.62,2.89,0,36.58,48.12,2.89,2.89,701.16

21,05:00-05:15,0,0,48.12,48.12,150.15,144.38,32.81,32.81,3.85,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,8.85,9.62,2.89,0,36.58,48.12,2.89,2.89,700.98

22,05:15-05:30,0,0,48.12,48.12,150.15,144.38,32.81,32.81,3.85,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,8.85,9.62,2.89,0,36.58,48.12,2.89,2.89,700.98

23,05:30-05:45,0,0,48.12,48.12,150.15,144.38,32.81,32.81,3.85,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,8.85,9.62,2.89,0,36.58,48.12,2.89,2.89,700.98

24,05:45-06:00,0,0,48.12,48.12,150.15,144.38,32.81,32.81,3.85,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,8.85,9.62,2.89,0,36.58,48.12,2.89,2.89,700.98

25,06:00-06:15,0,0,48.12,48.12,201.16,144.38,32.81,32.81,3.85,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,8.66,9.62,2.89,0,36.58,48.12,2.89,2.89,751.7999999999998

26,06:15-06:30,0.39,0,48.12,48.12,201.16,144.38,32.81,32.81,3.85,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,8.66,9.62,2.89,0,36.58,48.12,2.89,2.89,752.1899999999998

27,06:30-06:45,0.16,0,48.12,48.12,201.16,144.38,32.81,32.81,3.85,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,8.66,9.62,2.89,0,36.58,48.12,2.89,2.89,751.9599999999999

28,06:45-07:00,1.39,0,48.12,48.12,201.16,144.38,32.81,32.81,3.85,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,8.66,9.62,2.89,0,36.58,48.12,2.89,2.89,753.1899999999998

29,07:00-07:15,4.41,0,48.12,48.12,201.16,144.38,32.81,32.81,3.85,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,8.47,9.62,2.89,0,36.58,48.12,2.89,2.89,756.0199999999999

30,07:15-07:30,8.39,0,48.12,48.12,201.16,144.38,32.81,32.81,3.85,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,8.47,9.62,2.89,0,36.58,48.12,2.89,2.89,759.9999999999999

31,07:30-07:45,13.74,0,48.12,48.12,0,144.38,32.81,32.81,3.85,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,8.47,9.62,2.89,0,36.58,48.12,2.89,2.89,564.1899999999999

32,07:45-08:00,20.64,0,48.12,48.12,0,144.38,32.81,32.81,3.85,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,8.47,9.62,2.89,0,36.58,48.12,2.89,2.89,571.09

33,08:00-08:15,28.39,3.85,48.12,48.12,67.38,0,32.81,32.81,3.85,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,8.29,9.62,2.89,0,36.58,48.12,2.89,2.89,505.51000000000005

34,08:15-08:30,36.21,3.85,48.12,48.12,67.38,0,32.81,32.81,3.85,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,8.29,9.62,2.89,0,36.58,48.12,2.89,2.89,513.33

35,08:30-08:45,44.43,3.85,48.12,48.12,67.38,0,32.81,32.81,3.85,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,8.29,9.62,2.89,0,36.58,48.12,2.89,2.89,521.55

36,08:45-09:00,52.54,3.85,48.12,48.12,67.38,0,32.81,32.81,3.85,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,8.29,9.62,2.89,0,36.58,48.12,2.89,2.89,529.66

37,09:00-09:15,60.52,6.74,48.12,48.12,67.38,0,32.81,32.81,4.81,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,8.2,9.62,2.89,0,36.58,48.12,2.89,2.89,541.4

38,09:15-09:30,67.94,6.74,48.12,48.12,182.88,0,32.81,32.81,4.81,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,8.2,9.62,2.89,0,36.58,48.12,2.89,2.89,664.32

39,09:30-09:45,74.96,6.74,48.12,48.12,182.88,0,32.81,32.81,4.81,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,8.2,9.62,2.89,0,36.58,48.12,2.89,2.89,671.34

40,09:45-10:00,81.51,6.74,48.12,48.12,182.88,0,32.81,32.81,4.81,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,8.2,9.62,2.89,0,36.58,48.12,2.89,2.89,677.89

41,10:00-10:15,87.29,8.66,48.12,48.12,182.88,0,32.81,32.81,4.81,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,8.1,9.62,2.89,0,36.58,48.12,2.89,2.89,685.49

42,10:15-10:30,92.91,8.66,48.12,48.12,182.88,0,32.81,32.81,4.81,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,8.1,9.62,2.89,0,36.58,48.12,2.89,2.89,691.11

43,10:30-10:45,97.29,8.66,48.12,48.12,182.88,0,32.81,32.81,4.81,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,8.1,9.62,2.89,0,36.58,48.12,2.89,2.89,695.49

44,10:45-11:00,100,8.66,48.12,48.12,182.88,0,32.81,32.81,4.81,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,8.1,9.62,2.89,0,36.58,48.12,2.89,2.89,698.1999999999999

45,11:00-11:15,100,8.66,48.12,48.12,182.88,0,32.81,32.81,4.81,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,8.02,9.62,2.89,0,36.58,48.12,2.89,2.89,698.1199999999999

46,11:15-11:30,100,8.66,48.12,48.12,195.39,0,32.81,32.81,4.81,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,8.02,9.62,2.89,0,36.58,48.12,2.89,2.89,710.6299999999999

47,11:30-11:45,100,8.66,48.12,48.12,195.39,0,32.81,32.81,4.81,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,8.02,9.62,2.89,0,36.58,48.12,2.89,2.89,710.6299999999999

48,11:45-12:00,100,8.66,48.12,48.12,195.39,0,32.81,32.81,4.81,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,8.02,9.62,2.89,0,36.58,48.12,2.89,2.89,710.6299999999999

49,12:00-12:15,100,8.66,48.12,48.12,195.39,0,32.81,32.81,4.81,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,7.83,9.62,2.89,0,36.58,48.12,2.89,2.89,710.4399999999999

50,12:15-12:30,100,8.66,48.12,48.12,195.39,0,32.81,32.81,4.81,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,7.83,9.62,2.89,0,36.58,48.12,2.89,2.89,710.4399999999999

51,12:30-12:45,100,8.66,48.12,48.12,195.39,0,32.81,32.81,4.81,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,7.83,9.62,2.89,0,36.58,48.12,2.89,2.89,710.4399999999999

52,12:45-13:00,100,8.66,48.12,48.12,195.39,0,32.81,32.81,4.81,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,7.83,9.62,2.89,0,36.58,48.12,2.89,2.89,710.4399999999999

53,13:00-13:15,100,8.66,48.12,48.12,195.39,0,32.81,32.81,4.81,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,7.74,9.62,2.89,0,36.58,48.12,2.89,2.89,710.3499999999999

54,13:15-13:30,100,8.66,48.12,48.12,195.39,0,32.81,32.81,4.81,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,7.74,9.62,2.89,0,36.58,48.12,2.89,2.89,710.3499999999999

55,13:30-13:45,100,8.66,48.12,48.12,195.39,0,32.81,32.81,4.81,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,7.74,9.62,2.89,0,36.58,48.12,2.89,2.89,710.3499999999999

56,13:45-14:00,100,8.66,48.12,48.12,195.39,0,32.81,32.81,4.81,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,7.74,9.62,2.89,0,36.58,48.12,2.89,2.89,710.3499999999999

57,14:00-14:15,100,7.7,48.12,48.12,195.39,0,32.81,32.81,5.78,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,7.64,9.62,2.89,0,36.58,48.12,2.89,2.89,710.2599999999999

58,14:15-14:30,100,7.7,48.12,48.12,195.39,0,32.81,32.81,5.78,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,7.64,9.62,2.89,0,36.58,48.12,2.89,2.89,710.2599999999999

59,14:30-14:45,100,7.7,48.12,48.12,182.88,0,32.81,32.81,5.78,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,7.64,9.62,2.89,0,36.58,48.12,2.89,2.89,697.7499999999999

60,14:45-15:00,100,7.7,48.12,48.12,182.88,0,32.81,32.81,5.78,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,7.64,9.62,2.89,0,36.58,48.12,2.89,2.89,697.7499999999999

61,15:00-15:15,100,6.74,48.12,48.12,182.88,0,32.81,32.81,5.78,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,7.92,9.62,2.89,0,36.58,48.12,2.89,2.89,697.0699999999999

62,15:15-15:30,97.89,6.74,48.12,48.12,182.88,0,32.81,32.81,5.78,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,7.92,9.62,2.89,0,36.58,48.12,2.89,2.89,694.9599999999999

63,15:30-15:45,91.98,6.74,48.12,48.12,182.88,0,32.81,32.81,5.78,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,7.92,9.62,2.89,0,36.58,48.12,2.89,2.89,689.05

64,15:45-16:00,85.9,6.74,48.12,48.12,115.5,0,32.81,32.81,5.78,21.88,10.93,0,0,10.93,9.62,9.62,32,32,0,1.92,0,7.92,9.62,2.89,0,36.58,48.12,2.89,2.89,615.59

65,16:00-16:15,77.84,3.85,48.12,48.12,115.5,0,32.81,32.81,4.81,21.88,10.93,1.92,0,10.93,9.62,9.62,32,32,50,1.92,0,8.2,9.62,2.89,0,36.58,48.12,2.89,2.89,655.87

66,16:15-16:30,71.54,3.85,48.12,48.12,115.5,0,32.81,32.81,4.81,21.88,10.93,1.92,0,10.93,9.62,9.62,32,32,50,1.92,0,8.2,9.62,2.89,0,36.58,48.12,2.89,2.89,649.57

67,16:30-16:45,64.07,3.85,48.12,48.12,67.38,0,32.81,32.81,4.81,21.88,10.93,1.92,0,10.93,9.62,9.62,32,32,50,1.92,0,8.2,9.62,2.89,0,36.58,48.12,2.89,2.89,593.98

68,16:45-17:00,56.56,3.85,48.12,48.12,67.38,0,32.81,32.81,4.81,21.88,10.93,1.92,0,10.93,9.62,9.62,32,32,50,1.92,0,8.2,9.62,2.89,0,36.58,48.12,2.89,2.89,586.47

69,17:00-17:15,48.41,0,48.12,48.12,241.59,0,32.81,32.81,2.89,21.88,10.93,1.92,1.92,10.93,9.62,9.62,32,32,50,1.92,0,8.57,9.62,2.89,0,36.58,48.12,2.89,2.89,749.0500000000001

70,17:15-17:30,40.79,0,48.12,48.12,241.59,0,32.81,32.81,2.89,21.88,10.93,1.92,1.92,10.93,9.62,9.62,32,32,50,1.92,0,8.57,9.62,2.89,0,36.58,48.12,2.89,2.89,741.4300000000001

71,17:30-17:45,32.39,0,48.12,48.12,241.59,0,32.81,32.81,2.89,21.88,10.93,1.92,1.92,10.93,9.62,9.62,32,32,50,1.92,0,8.57,9.62,2.89,0,36.58,48.12,2.89,2.89,733.0300000000001

72,17:45-18:00,23.42,0,48.12,48.12,241.59,0,32.81,32.81,2.89,21.88,10.93,1.92,1.92,10.93,9.62,9.62,32,32,50,1.92,0,8.57,9.62,2.89,0,36.58,48.12,2.89,2.89,724.0600000000001

73,18:00-18:15,16.24,0,48.12,48.12,241.59,48.12,32.81,32.81,1.92,21.88,10.93,1.92,2.89,10.93,9.62,9.62,32,32,50,1.92,0,9.11,9.62,2.89,0,36.58,48.12,2.89,2.89,765.54

74,18:15-18:30,10.3,0,48.12,48.12,241.59,48.12,32.81,32.81,1.92,21.88,10.93,1.92,2.89,10.93,9.62,9.62,32,32,50,1.92,0,9.11,9.62,2.89,0,36.58,48.12,2.89,2.89,759.6

75,18:30-18:45,5.72,0,48.12,48.12,241.59,48.12,32.81,32.81,1.92,21.88,10.93,1.92,2.89,10.93,9.62,9.62,32,32,50,1.92,0,9.11,9.62,2.89,0,36.58,48.12,2.89,2.89,755.02

76,18:45-19:00,2.79,0,48.12,48.12,241.59,48.12,32.81,32.81,1.92,21.88,10.93,1.92,2.89,10.93,9.62,9.62,32,32,50,1.92,0,9.11,9.62,2.89,0,36.58,48.12,2.89,2.89,752.09

77,19:00-19:15,0,0,48.12,48.12,241.59,48.12,32.81,32.81,1.92,21.88,10.93,1.92,2.89,10.93,9.62,9.62,32,32,50,1.92,0,9.49,9.62,2.89,0,36.58,48.12,2.89,2.89,749.68

78,19:15-19:30,0,0,48.12,48.12,241.59,48.12,32.81,32.81,1.92,21.88,10.93,1.92,2.89,10.93,9.62,9.62,32,32,50,1.92,0,9.49,9.62,2.89,0,36.58,48.12,2.89,2.89,749.68

79,19:30-19:45,0,0,48.12,48.12,241.59,48.12,32.81,32.81,1.92,21.88,10.93,1.92,2.89,10.93,9.62,9.62,32,32,50,1.92,0,9.49,9.62,2.89,0,36.58,48.12,2.89,2.89,749.68

80,19:45-20:00,0,0,48.12,48.12,241.59,48.12,32.81,32.81,1.92,21.88,10.93,1.92,2.89,10.93,9.62,9.62,32,32,50,1.92,0,9.49,9.62,2.89,0,36.58,48.12,2.89,2.89,749.68

81,20:00-20:15,0,0,48.12,48.12,241.59,48.12,32.81,32.81,1.92,21.88,10.93,1.92,1.92,10.93,9.62,9.62,32,32,50,1.92,0,9.86,9.62,2.89,0,36.58,48.12,2.89,2.89,749.08

82,20:15-20:30,0,0,48.12,48.12,241.59,48.12,32.81,32.81,1.92,21.88,10.93,1.92,1.92,10.93,9.62,9.62,32,32,50,1.92,0,9.86,9.62,2.89,0,36.58,48.12,2.89,2.89,749.08

83,20:30-20:45,0,0,48.12,48.12,241.59,48.12,32.81,32.81,1.92,21.88,10.93,1.92,1.92,10.93,9.62,9.62,32,32,50,1.92,0,9.86,9.62,2.89,0,36.58,48.12,2.89,2.89,749.08

84,20:45-21:00,0,0,48.12,48.12,251.21,48.12,32.81,32.81,1.92,21.88,10.93,1.92,1.92,10.93,9.62,9.62,32,32,50,1.92,0,9.86,9.62,2.89,0,36.58,48.12,2.89,2.89,758.7

85,21:00-21:15,0,0,48.12,48.12,251.21,48.12,32.81,32.81,1.92,21.88,10.93,1.92,1.92,10.93,9.62,9.62,32,32,50,1.92,0,9.86,9.62,2.89,0,36.58,48.12,2.89,2.89,758.7

86,21:15-21:30,0,0,48.12,48.12,251.21,48.12,32.81,32.81,1.92,21.88,10.93,1.92,1.92,10.93,9.62,9.62,32,32,50,1.92,0,9.86,9.62,2.89,0,36.58,48.12,2.89,2.89,758.7

87,21:30-21:45,0,0,48.12,48.12,251.21,48.12,32.81,32.81,1.92,21.88,10.93,1.92,1.92,10.93,9.62,9.62,32,32,50,1.92,0,9.86,9.62,2.89,0,36.58,48.12,2.89,2.89,758.7

88,21:45-22:00,0,0,48.12,48.12,251.21,48.12,32.81,32.81,2.89,21.88,10.93,1.92,0.96,10.93,9.62,9.62,32,32,50,1.92,0,9.86,9.62,2.89,0,36.58,48.12,2.89,2.89,758.7099999999999

89,22:00-22:15,0,0,48.12,48.12,251.21,48.12,32.81,32.81,1.92,21.88,10.93,0,2.89,10.93,9.62,9.62,32,32,50,1.92,0,9.86,9.62,2.89,0,36.58,48.12,2.89,2.89,757.75

90,22:15-22:30,0,0,48.12,48.12,251.21,48.12,32.81,32.81,2.89,21.88,10.93,0,1.92,10.93,9.62,9.62,32,32,50,1.92,0,9.86,9.62,2.89,0,36.58,48.12,2.89,2.89,757.75

91,22:30-22:45,0,0,48.12,48.12,251.21,48.12,32.81,32.81,3.85,21.88,10.93,0,0.96,10.93,9.62,9.62,32,32,50,1.92,0,9.86,9.62,2.89,0,36.58,48.12,2.89,2.89,757.75

92,22:45-23:00,0,0,48.12,48.12,251.21,48.12,32.81,32.81,3.85,21.88,10.93,0,0.96,10.93,9.62,9.62,32,32,50,1.92,0,9.86,9.62,2.89,0,36.58,48.12,2.89,2.89,757.75

93,23:00-23:15,0,0,48.12,48.12,251.21,48.12,32.81,32.81,3.85,21.88,10.93,0,0,10.93,9.62,9.62,32,32,50,1.92,0,9.86,9.62,2.89,0,36.58,48.12,2.89,2.89,756.79

94,23:15-23:30,0,0,48.12,48.12,251.21,48.12,32.81,32.81,3.85,21.88,10.93,0,0,10.93,9.62,9.62,32,32,50,1.92,0,9.86,9.62,2.89,0,36.58,48.12,2.89,2.89,756.79

95,23:30-23:45,0,0,48.12,48.12,164.59,48.12,32.81,32.81,3.85,21.88,10.93,0,0,10.93,9.62,9.62,32,32,50,1.92,0,9.86,9.62,2.89,0,36.58,48.12,2.89,2.89,670.1700000000001

96,23:45-24:00,0,0,48.12,48.12,164.59,48.12,32.81,32.81,3.85,21.88,10.93,0,0,10.93,9.62,9.62,32,32,50,1.92,0,9.86,9.62,2.89,0,36.58,48.12,2.89,2.89,670.1700000000001

