Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/30334/A/85154,NR/2025/29985/A/85295,NR/2025/30574/C,GNA/NR/2025/07/01/8139,NR/2025/30067/A/85703,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/1192,NR/2025/30646/C,NR/2025/30217/A/85620,NR/2025/30082/A/85635,NR/2025/29915/A/85206,NR/2025/29628/A/85639,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/01/2236,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/2786,NR/2025/27978/A/85623,GNA/NR/2025/07/01/8230,NR/2025/30083/A/85629,NR/2025/30639/C,NR/2025/30640/C,NR/2025/30649/C,NR/2025/30101/A/85616,NR/2025/30492/A/85587,NR/2025/29440/A/85184,NR/2025/30086/A/85626,NR/2025/27962/A/85602,NR/2025/30084/A/85627,NR/2025/26975/A/85642,NR/2025/30622/C,NR/2025/30191/A/85156,NR/2025/30516/C,NR/2025/30641/C,NR/2025/30579/C,NR/2025/29353/A/85460,NR/2025/30121/A/85162,NR/2025/30105/A/85624,NR/2025/29167/A/85207,NR/2025/29910/A/85636,NR/2025/27970/A/85606,NR/2025/29439/A/85239,NR/2025/29986/A/85297,NR/2025/29992/A/85253,NR/2025/30648/C,NR/2025/30596/C,NR/2025/27968/A/85605,NR/2025/27964/A/85604,NR/2025/30576/C,NR/2025/27963/A/85603,NR/2025/29352/A/85462,NR/2025/28725/A/85568,NR/2025/30642/C,NR/2025/30647/C,NR/2025/30650/C,NR/2025/30531/C,NR/2025/30623/C,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,Total
15,03:30-03:45,0,0,0,0,134.99,0,15.26,0,0,7.7,48.12,0,76.63,20.76,81.81,19.25,43.75,96.25,224.98,8.75,0,0,0,0,12.51,0.63,26.25,96.25,26.25,5.78,0,48.12,0,163.87,0,81.81,6.74,15.44,54.14,19.25,0,0,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.69,4.43,26.69,1771.8400000000004

16,03:45-04:00,0,0,0,0,134.99,0,15.26,0,0,7.7,48.12,0,76.63,20.76,81.81,19.25,43.75,96.25,224.98,8.75,0,0,0,0,12.51,0.63,26.25,96.25,26.25,5.78,0,48.12,0,163.87,0,81.81,6.74,15.44,54.14,19.25,0,0,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.69,4.43,26.69,1771.8400000000004

17,04:00-04:15,0,0,0,0,134.99,0,15.26,0,0,7.7,48.12,0,76.63,20.76,81.81,19.25,43.75,96.25,224.98,8.75,0,0,0,0,12.51,0.63,26.25,96.25,26.25,5.78,0,48.12,0,163.87,0,81.81,6.74,15.44,0,19.25,0,0,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.69,4.43,26.69,1717.7000000000003

18,04:15-04:30,0,0,0,0,134.99,0,15.26,0,0,7.7,48.12,0,76.63,20.76,81.81,19.25,43.75,96.25,224.98,8.75,0,0,0,0,12.51,0.63,26.25,96.25,26.25,5.78,0,48.12,0,163.87,0,81.81,6.74,15.44,0,19.25,0,0,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.69,4.43,26.69,1717.7000000000003

19,04:30-04:45,0,0,0,0,134.99,0,15.26,0,0,7.7,48.12,0,76.63,20.76,81.81,19.25,43.75,96.25,224.98,8.75,0,0,0,0,12.51,0.63,26.25,96.25,26.25,5.78,0,48.12,0,163.87,0,81.81,6.74,15.44,0,19.25,0,0,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.69,13.76,26.69,1727.0300000000002

20,04:45-05:00,0,0,0,0,134.99,0,15.26,0,0,7.7,48.12,0,76.63,20.76,81.81,19.25,43.75,96.25,224.98,8.75,0,0,0,0,12.51,0.63,26.25,96.25,26.25,5.78,0,48.12,0,163.87,0,81.81,6.74,15.44,0,19.25,0,0,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.69,13.76,26.69,1727.0300000000002

21,05:00-05:15,0,0,0,0,134.99,0,15.26,0,0,7.7,48.12,0,76.63,20.76,81.81,19.25,43.75,96.25,224.98,8.75,0,0,0,0,12.51,0.63,26.25,96.25,26.25,5.78,0,48.12,0,163.87,0,81.81,6.74,15.44,0,16.59,0,0,0,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.69,13.76,26.69,1589.6200000000001

22,05:15-05:30,0,0,0,0,134.99,0,15.26,0,0,7.7,48.12,0,76.63,20.76,81.81,19.25,43.75,96.25,224.98,8.75,0,0,0,0,12.51,0.63,26.25,96.25,26.25,5.78,0,48.12,0,163.87,0,81.81,6.74,15.44,0,16.59,0,0,0,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.69,13.76,26.69,1589.6200000000001

23,05:30-05:45,0,0,0,0,134.99,0,15.26,0,0,7.7,48.12,0,76.63,20.76,81.81,19.25,43.75,96.25,224.98,8.75,0,0,0,0,11.55,0.63,26.25,96.25,26.25,5.78,0,48.12,0,163.87,0,81.81,6.74,15.44,0,16.59,0,0,0,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.69,13.76,26.69,1588.66

24,05:45-06:00,0.59,0,1,0,134.99,0,15.26,0,0,7.7,48.12,0,76.63,20.76,81.81,19.25,43.75,96.25,224.98,8.75,0,0,0,0,11.55,0.63,26.25,96.25,26.25,5.78,0,48.12,0,163.87,0,81.81,6.74,15.44,0,16.59,0,0,0,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.69,13.76,26.69,1590.2500000000002

25,06:00-06:15,1.78,0,3,0,134.99,0,15.26,0,0,7.7,48.12,0,76.63,20.76,81.81,19.25,43.75,96.25,224.98,8.75,0,0,0,48.12,11.55,0.82,26.25,96.25,26.25,5.78,0,48.12,0,163.87,0,81.81,6.74,15.44,0,16.59,0,0,0,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.69,13.76,26.69,1641.7500000000002

26,06:15-06:30,2.97,0,7,0,134.99,0,15.26,0,0,7.7,48.12,0,76.63,20.76,81.81,19.25,43.75,96.25,224.98,8.75,0,0,0,48.12,11.55,0.82,26.25,96.25,26.25,5.78,0,48.12,0,163.87,0,81.81,6.74,15.44,0,16.59,0,0,0,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.69,13.76,26.69,1646.9400000000003

27,06:30-06:45,4.15,0,11,0,134.99,0,15.26,0,0,7.7,48.12,0,76.63,20.76,81.81,19.25,43.75,96.25,224.98,8.75,0,0,0,48.12,11.55,0.82,26.25,96.25,26.25,5.78,0,48.12,0,163.87,0,81.81,6.74,15.44,0,16.59,0,0,0,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.69,13.76,26.69,1652.1200000000001

28,06:45-07:00,5.34,0,16,0,134.99,0,15.26,0,0,7.7,48.12,0,76.63,20.76,81.81,19.25,43.75,96.25,224.98,8.75,0,0,0,48.12,11.55,0.82,26.25,96.25,26.25,5.78,0,48.12,0,163.87,0,81.81,6.74,16.54,0,16.59,0,0,0,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.69,13.76,26.69,1659.41

29,07:00-07:15,7.39,0,21,0,134.99,0,15.26,0,0,7.7,48.12,0,76.63,20.76,81.81,19.25,43.75,96.25,224.98,8.75,0,0,0,48.12,11.55,0.87,26.25,96.25,26.25,5.78,0,48.12,0,163.87,0,81.81,6.74,17.47,0,16.59,0,0,0,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.69,13.76,26.69,1667.44

30,07:15-07:30,9.45,0,28,0,134.99,0,15.26,0,0,7.7,48.12,0,76.63,20.76,81.81,19.25,43.75,96.25,224.98,8.75,0,0,0,48.12,11.55,0.87,26.25,96.25,26.25,5.78,0,48.12,0,163.87,0,81.81,6.74,17.5,0,16.59,0,0,0,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.69,13.76,26.69,1676.53

31,07:30-07:45,11.51,0,39,0,134.99,0,15.26,0,0,7.7,48.12,0,76.63,20.76,81.81,19.25,43.75,96.25,224.98,8.75,0,0,0,48.12,11.55,0.87,26.25,96.25,26.25,5.78,0,48.12,0,163.87,0,81.81,6.74,17.5,0,16.59,0,0,0,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.69,13.76,26.69,1689.59

32,07:45-08:00,13.56,0,53,0,134.99,0,15.26,0,0,7.7,48.12,0,76.63,20.76,81.81,19.25,43.75,96.25,224.98,8.75,0,0,0,48.12,11.55,0.87,26.25,96.25,26.25,5.78,0,48.12,0,163.87,0,81.81,6.74,17.5,0,16.59,0,0,0,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.69,13.76,26.69,1705.64

33,08:00-08:15,19.34,3.63,67,0,134.99,0,15.26,0,0,7.7,48.12,0,76.63,20.76,81.81,19.25,43.75,96.25,224.98,8.75,0,0,0,48.12,11.55,0.96,26.25,96.25,26.25,5.78,0,48.12,0,163.87,0,81.81,6.74,17.5,0,16.59,0,0,0,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.7,14.55,26.7,1729.95

34,08:15-08:30,25.12,4.23,81,0,134.99,0,15.26,0,0,7.7,48.12,0,76.63,20.76,81.81,19.25,43.75,96.25,224.98,8.75,0,0,0,48.12,11.55,0.96,26.25,96.25,26.25,5.78,0,48.12,0,163.87,0,81.81,6.74,17.5,0,16.59,0,0,0,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.7,14.55,26.7,1750.3300000000002

35,08:30-08:45,30.9,4.81,95,0,134.99,0,15.26,0,0,7.7,48.12,0,76.63,20.76,81.81,19.25,43.75,96.25,224.98,8.75,0,0,0,48.12,13.48,0.96,26.25,96.25,26.25,5.78,0,48.12,0,163.87,0,81.81,6.74,17.5,0,16.59,0,0,0,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.7,14.55,26.7,1772.6200000000001

36,08:45-09:00,36.68,5.37,109,0,134.99,0,15.26,0,0,7.7,48.12,0,76.63,20.76,81.81,19.25,43.75,96.25,224.98,8.75,0,0,0,48.12,13.48,0.96,26.25,96.25,26.25,5.78,0,48.12,0,163.87,0,81.81,6.74,17.5,0,16.59,0,0,0,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.7,14.55,26.7,1792.9600000000003

37,09:00-09:15,53.31,5.85,119,48.12,134.99,0,15.26,0,14.58,0,0,0,0,20.76,81.81,19.25,43.75,0,224.98,0,48.12,96.25,7.7,0,13.48,0,0,0,0,5.78,76.63,0,48.12,163.87,96.25,81.81,0,0,0,0,0,0,0,0,15.44,0.96,0,0,143.17,0,28.63,0,27.91,43.75,37.19,44.28,16.59,26.8,14.55,26.8,1845.7399999999998

38,09:15-09:30,57.37,6.26,130,48.12,134.99,0,15.26,0,14.58,0,0,0,0,20.76,81.81,19.25,43.75,0,224.98,0,48.12,96.25,7.7,0,13.48,0,0,0,0,5.78,76.63,0,48.12,163.87,96.25,81.81,0,0,0,0,0,0,0,0,15.44,0.96,0,0,143.17,0,28.63,0,27.91,43.75,37.19,44.28,16.59,26.8,14.55,26.8,1861.21

39,09:30-09:45,61.43,6.55,140,48.12,134.99,0,15.26,0,14.58,0,0,0,0,20.76,81.81,19.25,43.75,0,224.98,0,48.12,96.25,7.7,0,13.48,0,0,0,0,5.78,76.63,0,48.12,163.87,96.25,81.81,0,0,0,0,0,0,0,0,15.44,0.96,0,0,143.17,0,28.63,0,27.91,43.75,37.19,44.28,16.59,26.8,14.55,26.8,1875.56

40,09:45-10:00,65.49,6.94,151,48.12,134.99,0,15.26,0,14.58,0,0,0,0,20.76,81.81,19.25,43.75,0,224.98,0,48.12,96.25,7.7,0,13.48,0,0,0,0,5.78,76.63,0,48.12,163.87,96.25,81.81,0,0,0,0,0,0,0,0,15.44,0.96,0,0,143.17,0,28.63,0,27.91,43.75,37.19,44.28,16.59,26.8,14.55,26.8,1891.0100000000002

41,10:00-10:15,63.7,7.31,161,48.12,134.99,0,15.26,0,14.58,0,0,0,0,20.76,81.81,19.25,43.75,0,224.98,0,48.12,96.25,7.7,0,13.48,0,0,0,0,5.78,76.63,0,48.12,163.87,96.25,81.81,0,0,0,0,0,0,0,0,15.44,0.96,0,0,143.17,0,28.63,0,27.91,43.75,37.19,44.28,16.59,26.8,14.55,26.8,1899.5900000000001

42,10:15-10:30,61.9,7.41,168,48.12,134.99,0,15.26,0,14.58,0,0,0,0,20.76,81.81,19.25,43.75,0,224.98,0,48.12,96.25,7.7,0,13.48,0,0,0,0,5.78,76.63,0,48.12,163.87,96.25,81.81,0,0,0,0,0,0,0,0,15.44,0.96,0,0,143.17,0,28.63,0,27.91,43.75,37.19,44.28,16.59,26.8,14.55,26.8,1904.8899999999999

43,10:30-10:45,60.11,5.26,175,48.12,134.99,0,15.26,0,14.58,0,0,0,0,20.76,81.81,19.25,43.75,0,224.98,0,48.12,96.25,7.7,0,13.48,0,0,0,0,5.78,76.63,0,48.12,163.87,96.25,81.81,0,0,0,0,0,0,0,0,15.44,0.96,0,0,143.17,0,28.63,0,27.91,43.75,37.19,44.28,16.59,26.96,14.55,26.96,1908.27

44,10:45-11:00,58.06,5.25,179,48.12,134.99,0,15.26,0,14.58,0,0,0,0,20.76,81.81,19.25,43.75,0,224.98,0,48.12,96.25,7.7,0,13.48,0,0,0,0,5.78,76.63,0,48.12,163.87,96.25,81.81,0,0,0,0,0,0,0,0,15.44,0.96,0,0,143.17,0,28.63,0,27.91,43.75,37.19,44.28,16.59,26.96,14.55,26.96,1910.21

45,11:00-11:15,59.53,5.25,179,48.12,134.99,0,15.26,0,14.58,0,0,0,0,20.76,81.81,19.25,43.75,0,224.98,0,48.12,96.25,7.7,0,13.48,0,0,0,0,5.78,76.63,0,48.12,163.87,96.25,81.81,0,0,0,0,0,0,0,0,15.44,0.96,0,0,143.17,0,28.63,0,27.91,43.75,37.19,44.28,16.59,26.96,14.55,26.96,1911.6800000000003

46,11:15-11:30,60.87,5.25,179,48.12,134.99,0,15.26,0,14.58,0,0,0,0,20.76,81.81,19.25,43.75,0,224.98,0,48.12,96.25,7.7,0,13.48,0,0,0,0,5.78,76.63,0,48.12,163.87,96.25,81.81,0,0,0,0,0,0,0,0,15.44,0.96,0,0,143.17,0,28.63,0,27.91,43.75,37.19,44.28,16.59,26.96,14.55,26.96,1913.02

47,11:30-11:45,61.73,5.25,179,48.12,134.99,0,15.26,0,14.58,0,0,0,0,20.76,81.81,19.25,43.75,0,224.98,0,48.12,96.25,7.7,0,13.48,0,0,0,0,5.78,76.63,0,48.12,163.87,96.25,81.81,0,0,0,0,0,0,0,0,15.44,0.96,0,0,143.17,0,28.63,0,27.91,43.75,37.19,44.28,16.59,26.96,14.55,26.96,1913.88

48,11:45-12:00,62.77,5.25,179,48.12,134.99,0,15.26,0,14.58,0,0,0,0,20.76,81.81,19.25,43.75,0,224.98,0,48.12,96.25,7.7,0,13.48,0,0,0,0,5.78,76.63,0,48.12,163.87,96.25,81.81,0,0,0,0,0,0,0,0,15.44,0.96,0,0,143.17,0,28.63,0,27.91,43.75,37.19,44.28,16.59,26.96,14.55,26.96,1914.92

