Time,Block,WR/2023/19090/A,NR/2023/17165/A,NR/2023/17726/C,NR/2023/17263/F,NR/2023/17402/F,NR/2023/14875/A,NR/2023/17510/F,NR/2023/17496/F,NR/2023/17344/F,NR/2023/17730/C,Total
37,09:00:09:15,0.000000,62.910000,5.34,0.000000,161.300000,0.000000,1.010000,6.780000,0.970000,5.820000,244.13

38,09:15-09:30,0.000000,62.910000,5.61,0.000000,161.300000,0.000000,1.010000,6.780000,0.970000,5.820000,244.4

39,09:30-09:45,0.000000,62.910000,5.81,0.000000,161.300000,0.000000,1.010000,6.780000,0.970000,5.820000,244.6

40,09:45-10:00,0.000000,62.910000,5.9,0.000000,161.300000,0.000000,1.010000,6.780000,0.970000,5.820000,244.69

41,10:00-10:15,0.000000,62.910000,6.19,0.000000,161.300000,0.000000,1.010000,6.780000,0.970000,5.820000,244.98

42,10:15-10:30,0.000000,62.910000,6.39,0.000000,161.300000,0.000000,1.010000,6.780000,0.970000,5.820000,245.18

43,10:30-10:45,0.000000,62.910000,6.58,0.000000,161.300000,0.000000,1.010000,6.780000,0.970000,5.820000,245.37

44,10:45-11:00,0.000000,62.910000,6.78,0.000000,161.300000,0.000000,1.010000,6.780000,0.970000,5.820000,245.57

45,11:00-11:15,0.000000,62.910000,6.97,0.000000,161.300000,0.000000,1.010000,6.780000,0.970000,5.820000,245.76

46,11:15-11:30,0.000000,62.910000,7.16,0.000000,161.300000,0.000000,1.010000,6.780000,0.970000,5.820000,245.95

47,11:30-11:45,0.000000,62.910000,7.26,0.000000,161.300000,0.000000,1.010000,6.780000,0.970000,5.820000,246.05

48,11:45-12:00,0.000000,62.910000,7.36,0.000000,161.300000,0.000000,1.010000,6.780000,0.970000,5.820000,246.15

49,12:00-12:15,0.000000,62.910000,7.55,0.000000,161.300000,0.000000,1.010000,6.780000,0.970000,5.820000,246.34

50,12:15-12:30,0.000000,62.910000,7.94,0.000000,161.300000,0.000000,1.010000,6.780000,0.970000,5.820000,246.73

51,12:30-12:45,0.000000,62.910000,8.13,0.000000,161.300000,0.000000,1.010000,6.780000,0.970000,5.820000,246.92

52,12:45-13:00,0.000000,62.910000,8.52,0.000000,161.300000,0.000000,1.010000,6.780000,0.970000,5.820000,247.31

53,13:00-13:15,0.000000,62.910000,8.9,0.000000,161.300000,0.000000,1.010000,6.780000,0.970000,5.820000,247.69

54,13:15-13:30,0.000000,62.910000,8.52,0.000000,161.300000,0.000000,1.010000,6.780000,0.970000,5.820000,247.31

55,13:30-13:45,0.000000,62.910000,7.74,0.000000,161.300000,0.000000,1.010000,6.780000,0.970000,5.820000,246.53

56,13:45-14:00,0.000000,62.910000,7.16,0.000000,161.300000,0.000000,1.010000,6.780000,0.970000,5.820000,245.95

57,14:00-14:15,0.000000,62.910000,6.97,0.000000,161.300000,0.000000,1.010000,6.780000,0.970000,5.820000,245.76

58,14:15-14:30,0.000000,62.910000,6.68,0.000000,161.300000,0.000000,1.010000,6.780000,0.970000,5.820000,245.47

59,14:30-14:45,0.000000,62.910000,6.29,0.000000,161.300000,0.000000,1.010000,6.780000,0.970000,5.820000,245.08

60,14:45-15:00,0.000000,62.910000,6.22,0.000000,161.300000,0.000000,1.010000,6.780000,0.970000,5.820000,245.01

61,15:00-15:15,0.000000,62.910000,5.88,0.000000,161.300000,0.000000,1.010000,6.780000,0.970000,5.820000,244.67

62,15:15-15:30,0.000000,62.910000,5.45,0.000000,161.300000,0.000000,1.010000,6.780000,0.970000,5.820000,244.24

63,15:30-15:45,0.000000,62.910000,4.69,0.000000,161.300000,0.000000,1.010000,6.780000,0.970000,5.820000,243.48

64,15:45-16:00,0.000000,62.910000,4.11,0.000000,161.300000,0.000000,1.010000,6.780000,0.970000,5.820000,242.9

65,16:00-16:15,0.000000,62.910000,3.59,0.000000,161.300000,0.000000,1.010000,6.780000,0.870000,5.910000,242.37

66,16:15-16:30,0.000000,62.910000,3.19,0.000000,161.300000,0.000000,1.010000,6.780000,0.870000,5.910000,241.97

67,16:30-16:45,0.000000,62.910000,2.6,0.000000,161.300000,0.000000,1.010000,6.780000,0.870000,5.910000,241.38

68,16:45-17:00,0.000000,62.910000,1.92,0.000000,161.300000,0.000000,1.010000,6.780000,0.870000,5.910000,240.7

69,17:00-17:15,0.000000,62.910000,1.36,0.000000,161.300000,0.000000,1.010000,6.780000,0.770000,6.010000,240.14

70,17:15-17:30,0.000000,62.910000,0.84,0.000000,161.300000,0.000000,1.010000,6.780000,0.770000,6.010000,239.62

71,17:30-17:45,0.000000,62.910000,0.43,0.000000,161.300000,0.000000,1.010000,6.780000,0.770000,6.010000,239.21

72,17:45-18:00,0.000000,62.910000,0.23,0.000000,161.300000,0.000000,1.010000,6.780000,0.770000,6.010000,239.01

73,18:00-18:15,100.000000,62.910000,0.1,0.000000,0.000000,0.000000,1.010000,6.780000,0.730000,6.100000,177.63

74,18:15-18:30,100.000000,62.910000,0,0.000000,0.000000,0.000000,1.010000,6.780000,0.730000,6.100000,177.53

75,18:30-18:45,100.000000,62.910000,0,0.000000,0.000000,0.000000,1.010000,6.780000,0.730000,6.100000,177.53

76,18:45-19:00,100.000000,62.910000,0,0.000000,0.000000,0.000000,1.010000,6.780000,0.730000,6.100000,177.53

77,19:00-19:15,100.000000,62.910000,0,0.000000,0.000000,0.000000,1.010000,6.780000,0.730000,6.280000,177.71

78,19:15-19:30,100.000000,62.910000,0,0.000000,0.000000,0.000000,1.010000,6.780000,0.730000,6.280000,177.71

79,19:30-19:45,100.000000,62.910000,0,0.000000,0.000000,0.000000,1.010000,6.780000,0.730000,6.280000,177.71

80,19:45-20:00,100.000000,62.910000,0,0.000000,0.000000,0.000000,1.010000,6.780000,0.730000,6.280000,177.71

81,20:00-20:15,100.000000,62.910000,0,0.000000,0.000000,0.000000,1.010000,6.780000,0.730000,6.280000,177.71

82,20:15-20:30,100.000000,62.910000,0,0.000000,0.000000,0.000000,1.010000,6.780000,0.730000,6.280000,177.71

83,20:30-20:45,100.000000,62.910000,0,0.000000,0.000000,0.000000,1.010000,6.780000,0.730000,6.280000,177.71

84,20:45-21:00,100.000000,62.910000,0,0.000000,0.000000,0.000000,1.010000,6.780000,0.730000,6.280000,177.71

85,21:00-21:15,100.000000,62.910000,0,0.000000,0.000000,0.000000,1.010000,6.780000,0.730000,6.190000,177.62

86,21:15-21:30,100.000000,62.910000,0,0.000000,0.000000,0.000000,1.010000,6.780000,0.730000,6.190000,177.62

87,21:30-21:45,100.000000,62.910000,0,0.000000,0.000000,0.000000,1.010000,6.780000,0.730000,6.190000,177.62

88,21:45-22:00,100.000000,62.910000,0,0.000000,0.000000,0.000000,1.010000,6.780000,0.730000,6.190000,177.62

89,22:00-22:15,100.000000,62.910000,0,159.210000,0.000000,68.340000,1.010000,6.780000,0.680000,6.100000,405.03

90,22:15-22:30,100.000000,62.910000,0,159.210000,0.000000,68.340000,1.010000,6.780000,0.680000,6.100000,405.03

91,22:30-22:45,100.000000,62.910000,0,159.210000,0.000000,68.340000,1.010000,6.780000,0.680000,6.100000,405.03

92,22:45-23:00,100.000000,62.910000,0,159.210000,0.000000,68.340000,1.010000,6.780000,0.680000,6.100000,405.03

93,23:00-23:15,100.000000,62.910000,0,159.210000,0.000000,68.340000,1.010000,6.780000,0.630000,6.010000,404.89

94,23:15-23:30,100.000000,62.910000,0,159.210000,0.000000,68.340000,1.010000,6.780000,0.630000,6.010000,404.89

95,23:30-23:45,100.000000,62.910000,0,159.210000,0.000000,68.340000,1.010000,6.780000,0.630000,6.010000,404.89

96,23:45-24:00,100.000000,62.910000,0,159.210000,0.000000,68.340000,1.010000,6.780000,0.630000,6.010000,404.89

