Column1,Time,NR/26072023/25122043/L_NR_2023_10,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/22052037/LT-59,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_35,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_02,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_36,GNA/NR/2024/10/01/9582,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/10/01/3642,GNA/NR/2024/10/01/6101,NR/01102023/05012040/L_NR_2020_02,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_07,GNA/WR/2024/10/15/7089,GNA/NR/2024/10/16/2350,GNA/NR/2024/10/01/9072,GNA/NR/2024/10/16/4393,GNA/NR/2024/10/01/8106
14,03:15-03:30,0,0,0,0,0,0,0,0,0,0,14,41,41,14,0,13.17,13.17,39.49,0,2.64,18.55,4.34,28.26,0,0,32,171.51,70.39,0,12.42,273,26.33,26.33,2.41,53.1,2.76,57.64,0,47.56,26.33,142.69,12.42

15,03:30-03:45,0,0,0,0,0,0,0,0,0,0,13.66,40.67,40.67,12.01,0,13,13,39,0,2.64,26.32,4.34,28.26,0,0,32,171.51,70.39,0,12.42,273,26.33,26.33,2.41,53.1,2.76,57.64,0,47.56,26.33,142.69,12.42

16,03:45-04:00,0,0,0,0,0,0,0,0,0,0,13.34,40.33,40.33,11.01,0,12.83,12.83,38.51,0,2.64,26.32,4.34,28.26,0,0,32,171.51,70.39,0,12.42,273,26.33,26.33,2.41,53.1,2.76,57.64,0,47.56,26.33,142.69,12.42

17,04:00-04:15,0,0,0,0,0,0,0,0,0,0,13,39.67,39.67,10.01,0,12.83,12.83,38.51,0,2.48,26.32,4.34,28.26,0,0,32,171.51,70.39,0,12.42,273,26.33,26.33,2.41,53.1,2.76,57.64,0,47.56,26.33,142.69,12.42

18,04:15-04:30,0,0,0,0,0,0,0,0,0,0,12.66,38.67,38.67,9.01,0,12.67,12.67,37.99,0,2.48,26.32,4.34,28.26,0,0,32,171.51,70.39,0,12.42,273,26.33,26.33,2.41,53.1,2.76,57.64,0,47.56,26.33,142.69,12.42

19,04:30-04:45,0,0,0,0,0,0,0,0,0,0,12.34,37.67,37.67,7.41,0,13.67,13.66,41,0,2.48,26.32,4.34,28.26,0,0,32,171.51,70.39,0,12.42,273,26.33,26.33,2.41,53.1,2.76,57.64,0,47.56,26.33,142.69,12.42

20,04:45-05:00,0,0,0,0,0,0,0,0,0,0,12.34,37,37,7.41,0,13.5,13.5,40.5,0,2.48,26.32,4.34,28.76,0,0,32,171.51,70.39,0,12.42,273,26.33,26.33,2.41,53.1,2.76,57.64,0,47.56,26.33,142.69,12.42

21,05:00-05:15,0,0,0,0,0,0,0,0,0,0,11.66,35.67,35.67,7.41,0,13.17,13.16,39.5,0,2.48,26.32,4.24,28.76,0,0,32,171.51,70.39,0,12.42,273,26.33,26.33,2.41,53.1,2.76,57.64,0,47.56,26.33,142.69,12.42

22,05:15-05:30,0,0,0,0,0,0,0,0,0,0,11,34.33,34.33,7.41,0,13,13,39,0,2.48,26.32,4.24,28.76,0,0,32,171.51,70.39,0,12.42,273,26.33,26.33,2.41,53.1,2.76,57.64,0,47.56,26.33,142.69,12.42

23,05:30-05:45,0,0,0,0,0,0,0,0,0,0,10.34,30.33,30.33,7.2,0,12.67,12.66,38,0,2.48,26.32,4.24,28.76,0,0,32,171.51,70.39,0,12.42,273,26.33,26.33,2.41,53.1,2.76,57.64,0,47.56,26.33,142.69,12.42

24,05:45-06:00,0,0,0,0,0,0,0,0,0,0,9.34,29.33,29.33,7.2,0,12.33,12.34,37,0,2.48,26.32,4.24,28.76,0,0,32,171.51,70.39,0,12.42,273,26.33,26.33,2.41,53.1,2.76,57.64,0,47.56,26.33,142.69,12.42

25,06:00-06:15,0,0,0,1,0,0,0,0,0,2,11.66,25.33,25.33,7.2,6.27,12.33,12.34,37,7.01,2.33,26.32,4.24,28.76,0,0,32,171.51,70.39,0,12.42,273,26.33,26.33,2.41,53.1,2.76,57.64,0,0,26.33,0,12.42

26,06:15-06:30,0,1,0,2,0,1,0,0,0.05,8,11.66,25,25,7.2,13.42,12.33,12.34,37,15,2.33,26.32,4.24,28.26,0,0,32,171.51,70.39,0,12.42,273,26.33,26.33,2.41,53.1,2.76,57.64,0,0,26.33,0,12.42

27,06:30-06:45,1,4,0,5,0,3,0.02,2,3.34,10,11.34,24,24,7.2,21.74,12.17,12.16,36.5,24.31,2.33,26.32,4.24,27.25,0.32,0.32,32,206.18,70.39,0.32,12.42,273,26.33,26.33,2.41,53.1,2.76,57.64,0,0,26.33,0,12.42

28,06:45-07:00,3,7,2,8,0.13,4,0.67,3,11.22,14,10.66,23.33,23.33,7.2,25.08,12,12,36,28.05,2.33,26.32,4.24,26.74,0.72,0.72,32,206.18,70.39,0.73,12.42,273,26.33,26.33,2.41,53.1,2.76,76.55,0,0,26.33,0,12.42

29,07:00-07:15,6,14,5,10,1.22,5,6.09,6,19.17,18,10,22,22,7.2,27.72,12,12,36,31,2.33,26.32,4.24,25.73,1.33,1.33,32,206.18,70.39,1.37,12.42,273,26.33,26.33,2.37,60.83,2.68,87.09,0,0,26.33,0,12.42

30,07:15-07:30,10,25,7,15,3.22,7,16.09,10,27.3,24,9,21,21,7.2,33,11.83,11.84,35.5,33,2.33,26.32,4.24,24.73,2.23,2.23,32,206.18,70.39,2.28,12.42,273,26.33,26.33,2.37,60.83,2.68,87.09,0,0,26.33,0,12.42

31,07:30-07:45,16,39,8,18,6.07,9,30.34,13,37.5,32.5,8.34,20,20,7.2,32.5,11.83,11.84,35.5,32.5,2.33,26.32,4.24,24.73,3.08,3.08,32,206.18,70.39,3.16,12.42,273,26.33,26.33,2.37,53.1,2.68,87.09,0,0,26.33,0,12.42

32,07:45-08:00,22,53,11,25,9.49,12,47.46,19,48.87,32.84,8,19,19,7.2,32.83,11.83,11.84,35.5,32.83,2.33,26.32,4.24,24.73,4.03,4.03,32,171.51,70.39,4.14,12.42,273,37.3,37.3,2.37,53.1,2.68,57.64,0,0,37.3,0,12.42

33,08:00-08:15,27,63,16,32,13.33,15,66.65,26,60.59,33,7.66,17.33,17.33,7.2,33,9.83,9.84,29.5,33,2.33,26.32,4.24,25.23,5.1,5.1,32,171.51,70.39,5.23,12.42,273,37.3,37.3,2.37,53.1,2.68,57.64,0,0,37.3,0,12.42

34,08:15-08:30,33,77,20,39,17.23,19,86.17,33,71.67,33,7.34,15.67,15.67,7.2,33,9.5,9.5,28.5,33,2.33,26.32,4.24,25.73,6.18,6.18,32,171.51,70.39,6.34,12.42,231.72,37.3,37.3,2.37,53.1,2.68,57.64,0,0,37.3,0,12.42

35,08:30-08:45,39,91,24,46,21.12,22,105.62,41,81.58,33,7,19,19,7.2,33,9.17,9.16,27.5,33,2.33,26.32,4.24,26.24,7.48,7.48,32,171.51,70.39,7.67,12.42,231.72,37.3,37.3,2.37,53.1,2.68,57.64,0,0,37.3,0,12.42

36,08:45-09:00,45,105,27,53,24.83,25,124.17,48,90.65,33,6.66,18.33,18.33,7.2,33,8.83,8.84,26.5,33,2.33,26.32,4.24,26.74,8.54,8.54,32,171.51,70.39,8.75,12.42,231.72,37.3,37.3,2.37,53.1,2.68,57.64,0,0,37.3,0,12.42

37,09:00-09:15,51,119,29,60,28.69,28,143.46,57,99.32,33,6.66,17.67,17.67,7.2,33,8.5,8.5,25.5,33,2.33,26.32,4.24,27.75,9.64,9.64,32,171.51,70.39,9.88,12.42,231.72,37.3,37.3,2.37,53.1,2.61,57.64,0,0,37.3,0,12.42

38,09:15-09:30,57,133,32,66,32.09,32,160.44,63,107.16,33,6.66,16.67,16.67,7.2,33,8.17,8.16,24.5,33,2.33,26.32,4.24,28.76,10.75,10.75,32,171.51,70.39,11.02,12.42,273,37.3,37.3,2.37,53.1,2.61,57.64,0,0,37.3,0,12.42

39,09:30-09:45,63,147,34,72,35.3,35,176.5,68,114.01,33,6.66,15.67,15.67,7.2,33,7.83,7.84,23.5,33,2.33,26.32,4.24,28.76,11.72,11.72,32,171.51,70.39,12,12.42,273,37.3,37.3,2.37,53.1,2.61,57.64,0,0,37.3,0,12.42

40,09:45-10:00,67,158,36,77,38.24,37,191.21,75,119.96,33,6.66,14.33,14.33,7.2,33,7.5,7.5,22.5,33,2.33,26.32,4.24,28.76,12.7,12.7,32,171.51,70.39,13.02,12.42,273,37.3,37.3,2.37,53.1,2.61,57.64,0,0,37.3,0,12.42

41,10:00-10:15,70,165,38,80,40.98,38,204.88,78,124.98,33,6.66,13.33,13.33,7.2,33,7.17,7.16,21.5,33,2.33,26.32,4.24,28.76,13.35,13.35,32,171.51,70.39,13.69,12.42,273,37.3,37.3,2.46,53.1,2.61,57.64,0,0,37.3,0,12.42

42,10:15-10:30,73,172,40,83,43.35,39,216.78,83,129.33,33,6.66,13.33,13.33,7.2,33,7.17,7.16,21.5,33,2.33,26.32,4.24,28.76,14.33,14.33,32,171.51,70.39,14.69,12.42,273,37.3,37.3,2.46,53.1,2.61,57.64,0,0,37.3,0,12.42

43,10:30-10:45,76,179,42,85,45.46,40,227.32,88,133.16,33,6.66,13.33,13.33,7.2,33,7.17,7.16,21.5,33,2.33,26.32,4.24,28.76,14.97,14.97,32,171.51,70.39,15.35,12.42,273,37.3,37.3,2.46,53.1,2.61,57.64,0,0,37.3,0,12.42

44,10:45-11:00,79,186,43,88,47,42,235,90,136.32,33,6.66,13.33,13.33,7.2,33,7.17,7.16,21.5,33,2.33,26.32,4.24,28.76,15.47,15.47,32,171.51,70.39,15.86,12.42,273,37.3,37.3,2.46,53.1,2.61,57.64,0,0,37.3,0,12.42

45,11:00-11:15,82,193,44,91,47.83,44,239.17,90,139.03,33,6.66,13.33,13.33,7.2,33,7.17,7.16,21.5,33,2.4,18.55,4.24,28.76,15.47,15.47,32,171.51,70.39,15.86,12.42,273,37.3,37.3,2.46,53.1,2.46,57.64,0,0,37.3,0,12.42

46,11:15-11:30,82,193,44,91,49.33,44,246.67,91,141.05,33,6.66,13.33,13.33,7.2,33,7.17,7.16,21.5,33,2.4,18.55,4.24,28.76,15.47,15.47,32,171.51,70.39,15.86,12.42,273,37.3,37.3,2.46,53.1,2.46,57.64,0,0,37.3,0,12.42

47,11:30-11:45,82,193,45,91,50,44,250,91,142.38,33,6.66,13.33,13.33,7.2,33,7.17,7.16,21.5,33,2.4,18.55,4.24,28.76,15.47,15.47,32,171.51,70.39,15.86,12.42,273,37.3,37.3,2.46,53.1,2.46,57.64,0,0,37.3,0,12.42

48,11:45-12:00,82,193,45,91,50,44,250,91,143.02,33,6.66,14.33,14.33,7.2,33,7.17,7.16,21.5,33,2.4,18.55,4.24,28.76,15.47,15.47,32,171.51,70.39,15.86,12.42,273,37.3,37.3,2.46,53.1,2.46,57.64,0,0,37.3,0,12.42

49,12:00-12:15,82,193,45,91,50,44,250,91,143.13,33,6.66,15.33,15.33,7.2,33,7.17,7.16,21.5,33,2.4,18.55,4.24,28.76,15.47,15.47,32,171.51,70.39,15.86,12.42,273,37.3,37.3,2.46,53.1,2.46,76.55,0,0,37.3,0,12.42

50,12:15-12:30,82,193,45,91,50,44,250,91,142.15,33,6.66,16.33,16.33,7.2,33,7.17,7.16,21.5,33,2.4,18.55,4.24,28.76,15.47,15.47,32,171.51,70.39,15.86,12.42,273,37.3,37.3,2.46,53.1,2.46,76.55,0,0,37.3,0,12.42

51,12:30-12:45,82,193,45,91,50,44,250,91,140.19,33,6.66,17.33,17.33,7.2,33,7.5,7.5,22.5,33,2.4,18.55,4.24,28.76,15.47,15.47,32,171.51,70.39,15.86,12.42,273,37.3,37.3,2.46,53.1,2.46,76.55,0,0,37.3,0,12.42

52,12:45-13:00,82,193,45,91,50,44,250,91,137.48,33,6.66,18.67,18.67,7.2,33,8,8,24,33,2.4,18.55,4.24,28.76,15.47,15.47,32,171.51,70.39,15.86,12.42,273,37.3,37.3,2.46,53.1,2.46,76.55,0,0,37.3,0,12.42

53,13:00-13:15,82,193,44,91,50,44,250,91,133.97,33,6.66,23,23,7.6,33,8.17,8.16,24.5,33,2.4,18.55,4.24,28.76,15.47,15.47,32,171.51,70.39,15.86,12.42,273,37.3,37.3,2.51,53.1,2.68,76.55,0,0,37.3,0,12.42

54,13:15-13:30,82,193,43,91,50,44,250,91,129.78,33,6.66,24,24,7.8,33,8.5,8.5,25.5,33,2.4,18.55,4.24,28.76,15.47,15.47,32,171.51,70.39,15.86,12.42,273,37.3,37.3,2.51,53.1,2.68,76.55,0,0,37.3,0,12.42

55,13:30-13:45,82,193,42,91,48.33,44,241.67,91,125.66,33,10,26,26,8,33,9.5,9.5,28.5,33,2.4,18.55,4.24,28.76,15.47,15.47,32,171.51,70.39,15.86,12.42,273,37.3,37.3,2.51,53.1,2.68,76.55,0,0,37.3,0,12.42

56,13:45-14:00,81,189,42,91,47.17,43,235.83,90,120.15,33,10,27.33,27.34,8.2,33,9.83,9.84,29.5,33,2.4,18.55,4.24,28.76,15.39,15.39,32,171.51,70.39,15.78,12.42,273,37.3,37.3,2.51,53.1,2.68,76.55,0,0,37.3,0,12.42

57,14:00-14:15,79,186,39,83,45.74,40,228.73,88,114.31,33,15,31,31,9.2,33,13.33,13.34,40,33,2.48,18.55,4.24,28.76,14.99,14.99,32,171.51,66.23,15.37,12.42,273,37.3,37.3,2.51,53.1,2.76,76.55,0,0,37.3,0,12.42

58,14:15-14:30,78,182,38,78,43.99,38,219.93,84,107.72,33,15.66,31,31,9.8,33,13.33,13.34,40,33,2.48,18.55,4.24,28.76,14.54,14.54,32,171.51,66.23,14.9,12.42,273,37.3,37.3,2.51,53.1,2.76,76.55,0,0,37.3,0,12.42

59,14:30-14:45,73,172,36,74,41.82,36,209.09,79,100.22,33,16.34,31.67,31.66,10,33,14.67,14.66,44,33,2.48,5.95,4.24,29.26,14.07,14.07,32,228.42,66.23,14.41,12.42,273,37.3,37.3,2.51,53.1,2.76,76.55,0,0,37.3,0,12.42

60,14:45-15:00,69,161,35,70,39.24,33,196.18,75,92.12,33,17,31.67,31.66,10,33,14.67,14.66,44,33,2.48,5.95,4.24,29.26,13.44,13.44,32,228.42,66.23,13.77,12.42,273,37.3,37.3,2.51,53.1,2.76,76.55,0,0,37.3,0,12.42

61,15:00-15:15,64,151,33,64,36.7,30,183.53,70,83.34,33,18.34,32,32,10.2,33,15.83,15.84,47.5,33,2.64,17.55,4.15,29.26,12.6,12.6,32,262.13,66.23,12.91,12.42,273,37.3,37.3,2.55,56,2.99,87.09,0,0,37.3,0,12.42

62,15:15-15:30,60,140,30,58,34,27,169.98,64,73.65,33,18.34,32,32,10.2,33,15.83,15.84,47.5,33,2.64,17.55,4.15,29.26,11.85,11.85,32,262.13,66.23,12.15,12.42,273,37.3,37.3,2.55,65.65,2.99,87.09,0,0,37.3,0,12.42

63,15:30-15:45,54,126,27,51,30.67,24,153.38,57,63.54,33,18.34,32.33,32.34,10,33,15.83,15.84,47.5,33,2.64,17.55,4.15,30.78,10.93,10.93,32,262.13,115.44,11.19,12.42,273,37.3,37.3,2.55,75.31,2.99,87.09,0,0,37.3,0,12.42

64,15:45-16:00,48,112,25,44,27.32,21,136.59,52,52.95,33,18.34,32.33,32.34,10,33,15.83,15.84,47.5,33,2.64,0,4.15,30.78,10.09,10.09,32,262.13,115.44,10.35,12.42,273,37.3,37.3,2.55,77.24,2.99,87.09,0,0,37.3,0,12.42

65,16:00-16:15,42,98,21,37,23.85,18,119.24,43,41.88,33,14.66,32.33,32.34,8.8,33,15.5,15.5,46.5,33,2.8,0,4.15,31.28,9.11,9.11,32,262.13,115.44,9.34,12.42,273,37.3,37.3,2.55,100.59,3.22,87.09,0,0,37.3,0,12.42

66,16:15-16:30,36,84,17,30,20.02,14,100.12,37,30.85,33,14,32.33,32.34,9.2,33,15.17,15.16,45.5,33,2.8,0,4.15,31.28,8.14,8.14,32,262.13,115.44,8.34,12.42,273,37.3,37.3,2.55,100.59,3.22,87.09,0,0,37.3,0,12.42

67,16:30-16:45,30,70,13,22,16.13,11,80.66,29,20.75,33,13.66,32.33,32.34,8.6,33,12.17,12.16,36.5,33,2.95,31.43,4.15,31.28,7.07,7.07,31.43,262.13,115.44,7.24,12.42,273,37.3,37.3,2.55,100.59,3.22,87.09,0,0,37.3,0,12.42

68,16:45-17:00,24,56,11,15,12.28,7,61.41,22,12.81,22,13,32.33,32.34,8,26.22,12.67,12.66,38,29.33,2.95,32,4.15,31.28,5.99,5.99,32,262.13,115.44,6.14,12.42,273,37.3,37.3,2.55,100.59,3.22,87.09,0,0,37.3,0,12.42

69,17:00-17:15,18,42,7,10,8.5,5,42.51,15,7.94,15,12.34,27.33,27.33,7.2,22.47,12.83,12.84,38.5,25.13,3.11,32,4.15,31.28,4.99,4.99,32,262.13,115.44,5.11,14.48,273,37.3,43.88,2.55,100.59,3.53,87.09,0,0,37.3,0,14.48

70,17:15-17:30,12,28,5,7,5.26,4,26.32,12,4.61,9,12,27.33,27.33,7.2,11.82,12.5,12.5,37.5,13.23,3.11,32,4.15,31.28,4.09,4.09,32,262.13,115.44,4.19,14.48,273,37.3,43.88,2.55,100.59,3.53,87.09,0,0,37.3,0,14.48

71,17:30-17:45,7,18,2,4,2.56,2,12.81,7,1.14,2,11.34,26.33,26.33,9,2.28,12.33,12.34,37,2.55,3.42,31.43,4.15,31.28,3.12,3.12,31.43,262.13,115.44,3.2,14.48,273,37.3,43.88,2.55,92.27,3.22,87.09,0,0,37.3,0,14.48

72,17:45-18:00,4,11,0,1,0.83,0,4.14,3,0,0,11,26,26,9,1.52,11.83,11.84,35.5,1.7,3.42,31.43,4.15,31.28,2.26,2.26,31.43,262.13,115.44,2.32,14.48,273,37.3,43.88,2.55,92.27,3.22,87.09,0,0,37.3,0,14.48

73,18:00-18:15,2,5,0,0,0.05,0,0.26,2,0,0,10.34,25.67,25.67,9,0,10,10,30,0,3.42,31.5,4.24,31.28,1.63,1.63,31.5,262.13,115.44,1.67,14.48,273,37.3,43.88,2.46,92.27,3.22,87.09,125,0,37.3,0,14.48

74,18:15-18:30,0,1,0,0,0,0,0,0,0,0,10,25.67,25.67,9,0,9.83,9.84,29.5,0,3.42,31.5,4.24,31.28,1.15,1.15,31.5,262.13,115.44,1.17,14.48,273,37.3,43.88,2.46,92.27,3.22,87.09,125,0,37.3,0,14.48

75,18:30-18:45,0,0,0,0,0,0,0,0,0,0,9.66,25.67,25.67,7.2,0,9.67,9.66,29,0,3.42,31.5,4.24,31.28,0.6,0.6,31.5,262.13,115.44,0.61,12.42,273,37.3,43.88,2.46,92.27,3.22,87.09,125,0,37.3,0,12.42

76,18:45-19:00,0,0,0,0,0,0,0,0,0,0,9.34,19,19,7.2,0,9.33,9.34,28,0,3.42,31.5,4.24,31.28,0.29,0.29,31.5,262.13,115.44,0.29,12.42,273,37.3,43.88,2.46,92.27,3.22,87.09,125,0,37.3,0,12.42

77,19:00-19:15,0,0,0,0,0,0,0,0,0,0,6.66,19,19,7.2,0,7.5,7.5,22.5,0,3.26,31.5,4.24,31.28,0,0,31.5,262.13,115.44,0,12.42,273,37.3,43.88,2.46,92.27,3.53,87.09,125,0,37.3,0,12.42

78,19:15-19:30,0,0,0,0,0,0,0,0,0,0,6.66,18.67,18.67,7.2,0,7.5,7.5,22.5,0,3.26,31.5,4.24,30.28,0,0,31.5,262.13,115.44,0,12.42,273,37.3,43.88,2.46,92.27,3.53,87.09,125,0,37.3,0,12.42

79,19:30-19:45,0,0,0,0,0,0,0,0,0,0,6.66,13.33,13.33,7.2,0,7.5,7.5,22.5,0,3.26,31.5,4.24,30.28,0,0,31.5,262.13,115.44,0,12.42,273,37.3,43.88,2.46,92.27,3.53,87.09,125,0,37.3,0,12.42

80,19:45-20:00,0,0,0,0,0,0,0,0,0,0,6.66,13.33,13.33,7.2,0,7.5,7.5,22.5,0,3.26,31.5,4.24,30.28,0,0,31.5,262.13,115.44,0,12.42,273,37.3,43.88,2.46,92.27,3.53,87.09,125,0,37.3,0,12.42

81,20:00-20:15,0,0,0,0,0,0,0,0,0,0,6.66,18.33,18.33,7.2,0,7.5,7.5,22.5,0,3.11,31.5,4.34,30.28,0,0,31.5,262.13,115.44,0,12.42,273,37.3,43.88,2.41,92.27,3.46,87.09,200,0,37.3,0,12.42

82,20:15-20:30,0,0,0,0,0,0,0,0,0,0,6.66,17.67,17.67,7.2,0,7.5,7.5,22.5,0,3.11,31.5,4.34,30.28,0,0,31.5,262.13,115.44,0,12.42,273,37.3,43.88,2.41,92.27,3.46,87.09,200,0,37.3,0,12.42

83,20:30-20:45,0,0,0,0,0,0,0,0,0,0,6.66,21.67,21.67,7.2,0,7.5,7.5,22.5,0,3.11,31.5,4.34,30.28,0,0,31.5,262.13,115.44,0,12.42,273,37.3,43.88,2.41,92.27,3.46,87.09,200,0,37.3,0,12.42

84,20:45-21:00,0,0,0,0,0,0,0,0,0,0,6.66,21.67,21.67,7.2,0,7.5,7.5,22.5,0,3.11,31.5,4.34,30.28,0,0,31.5,262.13,66.23,0,12.42,273,26.33,26.33,2.41,92.27,3.46,87.09,200,0,26.33,0,12.42

85,21:00-21:15,0,0,0,0,0,0,0,0,0,0,6.66,22,22,7.2,0,7.5,7.5,22.5,0,2.95,0,4.34,30.28,0,0,0,262.13,66.23,0,12.42,273,26.33,26.33,2.41,92.27,3.3,87.09,200,0,26.33,0,12.42

