Block,Time,KHSTPP-I,KKNPPU2,KOTESHWR,NLCTS2EXP,RAPPC,SIMHST1,SINGRAULI_HYDRO,TelanganaSTPP,ANTA_LF,BSIUL,CHAMERA2,MAPS,NAPP,NLCEXP,NTPL,PARBATI3,RSTPSU7,UNCHAHAR4,URI,VALLURNTECL,ANTA_CRF,BRBCL,CHAMERA3,DULHASTI,JHAJJAR,KGSU3AND4,RSTPSU1TO6,TANAKPUR,TEHRI,DADRI_LF,KISHANGANGA,KKNP,KOLDAM,NNTPP,RAPPB,RIHAND1,RIHAND2,SALAL,SEWA2,SINGRAULI,UNCHAHAR2,URI2,AURY_GF,AURY_LF,SASAN,SIMHST2,DADRI_RF,FSTPP I & II,KHSTPP-II,KUDGI,NJPC,RAMPUR,TANDA2,ANTA_GF,KGSU1AND2,NLCIIST1,RIHAND3,UNCHAHAR1,UNCHAHAR3,ANTA_RF,CHAMERA1,DADRT2,DHAULIGNGA,NLCIIST2,TALA,TALST2,AURY_CRF,AURY_RF,DADRI_CRF,DADRI_GF
33,08:00-08:15,45.22,0,39.83,0,54.31,0,0,0,0,13.04,26.34,0,44.32,0,0,0,0,0,26.49,0,0,20,19.38,32.95,654.3,0,0,1.28,62.24,23.57,0,0,0,0,0,92,118.75,1.4,5.27,125.96,42.39,4.31,0,0,416.25,0,67.18,15.29,148.3,0,113.64,0,0,0,0,0,124.32,20.56,26.39,45.47,14.05,682.79,27.41,0,0,0,0,70.59,2.19,0

34,08:15-08:30,45.22,0,39.83,0,54.31,0,0,0,0,13.04,26.34,0,44.32,0,0,0,0,0,1.11,0,0,20,19.38,32.95,654.3,0,0,1.28,62.24,23.57,0,0,0,0,0,92,118.75,1.4,5.08,125.96,42.39,4.31,0,0,416.25,0,67.18,15.29,148.3,0,94.7,0,0,0,0,0,124.32,20.56,26.39,45.47,13.99,682.79,15.98,0,0,0,0,70.59,2.19,0

35,08:30-08:45,45.22,0,19.72,0,54.31,0,0,0,0,6.52,3.33,0,44.32,0,0,0,0,0,1.11,0,0,20,9.67,32.95,654.3,0,0,1.28,62.24,23.57,0,0,0,0,0,92,118.75,1.4,5.06,125.96,42.39,4.31,0,0,388.12,0,67.18,15.29,148.3,0,75.76,0,0,0,0,0,124.32,20.56,26.39,45.25,13.99,682.79,8.62,0,0,0,0,70.59,2.19,0

36,08:45-09:00,45.22,0,8.88,0,54.31,0,0,0,0,6.52,0,0,44.32,0,0,0,0,0,1.11,0,0,20,0,32.95,654.3,0,0,1.28,62.24,23.57,0,0,0,0,0,92,118.75,1.4,0,125.96,42.39,4.31,0,0,367.88,0,67.18,15.29,148.3,0,58.72,0,0,0,0,0,124.32,20.56,26.39,45.05,0,682.79,0,0,0,0,0,70.59,2.19,0

37,09:00-09:15,45.22,0,8.88,0,54.31,0,0,0,0,1.1,0,0,44.32,0,0,0,0,0,1.11,0,0,20,0,16.48,622.3,0,0,1.28,62.24,23.57,0,0,0,0,0,92,118.75,1.4,0,125.96,42.39,4.31,0,0,347.62,0,67.18,15.29,148.3,0,56.82,0,0,0,0,0,124.32,20.56,26.39,44.83,0,682.79,0,0,0,0,0,70.59,2.19,0

38,09:15-09:30,45.22,0,8.88,0,54.31,0,0,0,0,0,0,0,44.32,0,0,0,0,0,26.49,0,0,20,0,16.48,622.3,0,0,1.28,62.24,23.57,0,0,0,0,0,92,118.75,1.4,0,125.96,42.39,4.31,0,0,327.38,0,67.18,15.29,148.3,0,39.78,0,0,0,0,0,124.32,20.56,26.39,44.83,0,682.79,0,0,0,0,0,70.59,2.19,0

39,09:30-09:45,45.22,0,8.88,0,54.31,0,0,0,0,0,0,0,44.32,0,0,0,0,0,26.49,0,0,20,0,16.48,572.3,0,0,1.28,46.68,23.57,0,0,0,0,0,92,118.75,1.4,0,125.96,42.39,8.07,0,0,307.12,0,67.18,15.29,148.3,0,19.03,0,0,0,0,0,124.32,20.56,26.39,44.63,0,682.79,0,0,0,0,0,70.59,2.19,0

40,09:45-10:00,45.22,0,8.88,0,54.31,0,0,0,0,0,0,0,44.32,0,0,0,0,0,1.11,0,0,20,0,16.48,572.3,0,0,1.28,46.68,23.57,0,0,0,0,0,92,118.75,1.4,0,125.96,42.39,8.07,0,0,286.88,0,67.18,15.29,148.3,0,0,0,0,0,0,0,124.32,20.56,26.39,44.41,0,682.79,0,0,0,0,0,70.59,2.19,0

41,10:00-10:15,45.22,0,8.88,0,54.31,0,0,0,0,0,0,0,44.32,0,0,0,0,0,1.11,0,0,20,0,16.48,572.3,0,0,1.28,31.12,23.57,0,0,0,0,0,92,118.75,1.4,0,125.96,42.39,8.07,0,0,266.62,0,67.18,15.29,148.3,0,0,0,0,0,0,0,124.32,20.56,26.39,44.31,0,682.79,0,0,0,0,0,70.59,2.19,0

