Column1,Block,GNA/NR/2025/08/01/5126,NR/2025/34583/C,NR/2025/32534/A/100863,NR/2025/32535/A/100864,NR/2025/33632/A/100604,NR/2025/32532/A/100860,NR/2025/33633/A/100603,NR/2025/32535/A/100865,NR/2025/32532/A/100861,NR/2025/32599/A/100945,NR/2025/33637/A/100601,NR/2025/32534/A/100862,NR/2025/34571/C,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/34078/A/100511,NR/2025/34570/C,NR/2025/31043/A/100909,NR/2025/32559/A/100914,NR/2025/34587/C,NR/2025/32610/A/100913,NR/2025/34586/C,NR/2025/29440/A/100450,NR/2025/34540/C,NR/2025/29992/A/100510,NR/2025/31421/A/100930,NR/2025/34524/C,NR/2025/34525/C,NR/2025/32262/A/100439,NR/2025/34568/C,NR/2025/34569/C,NR/2025/32455/A/101013,NR/2025/34584/C,NR/2025/31049/A/100906,NR/2025/32397/A/100370,NR/2025/31048/A/100907,NR/2025/34247/A/100869,NR/2025/32556/A/100915,NR/2025/34263/A/100719,NR/2025/31045/A/100908,NR/2025/32004/A/100918,NR/2025/32375/A/100925,GNARE/NR/2024/12/20/3668,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/4452,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/2414,Total
3,00:30-00:45,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,12.51,0,96.21,26.24,192.42,26.24,0,0.87,0,44.26,48.1,0,0,54.12,0,0,48.1,0,0,8.66,96.21,163.56,26.24,81.78,0,105.83,48.1,0,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,33.67,81.78,40.89,1390.01

4,00:45-01:00,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,12.51,0,96.21,26.24,192.42,26.24,0,0.87,0,44.26,48.1,0,0,54.12,0,0,48.1,0,0,8.66,96.21,163.56,26.24,81.78,0,105.83,48.1,0,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,33.67,81.78,40.89,1390.01

5,01:00-01:15,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,12.51,0,96.21,26.24,192.42,26.24,0,0.63,0,44.26,48.1,0,0,54.12,0,0,48.1,0,0,8.66,96.21,163.56,26.24,81.78,0,105.83,48.1,0,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,33.67,81.78,40.89,1389.77

6,01:15-01:30,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,12.51,0,96.21,26.24,192.42,26.24,0,0.63,0,44.26,48.1,0,0,54.12,0,0,48.1,0,0,8.66,96.21,163.56,26.24,81.78,0,105.83,48.1,0,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,33.67,81.78,40.89,1389.77

7,01:30-01:45,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,12.51,0,96.21,26.24,192.42,26.24,0,0.63,0,44.26,48.1,0,0,54.12,0,0,48.1,0,0,8.66,96.21,163.56,26.24,81.78,0,105.83,48.1,0,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,33.67,81.78,40.89,1389.77

8,01:45-02:00,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,12.51,0,96.21,26.24,192.42,26.24,0,0.63,0,44.26,48.1,0,0,54.12,0,0,48.1,0,0,8.66,96.21,163.56,26.24,81.78,0,105.83,48.1,0,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,33.67,81.78,40.89,1389.77

9,02:00-02:15,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,12.51,0,96.21,26.24,192.42,26.24,0,0.63,0,44.26,48.1,0,0,54.12,0,0,0,0,0,8.66,96.21,163.56,26.24,81.78,0,105.83,48.1,0,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1389.78

10,02:15-02:30,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,12.51,0,96.21,26.24,192.42,26.24,0,0.63,0,44.26,48.1,0,0,54.12,0,0,0,0,0,8.66,96.21,163.56,26.24,81.78,0,105.83,48.1,0,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1389.78

11,02:30-02:45,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,12.51,0,96.21,26.24,192.42,26.24,0,0.63,0,44.26,48.1,0,0,54.12,0,0,0,0,0,8.66,96.21,163.56,26.24,81.78,0,105.83,48.1,0,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1389.78

12,02:45-03:00,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,12.51,0,96.21,26.24,192.42,26.24,0,0.63,0,44.26,48.1,0,0,54.12,0,0,0,0,0,8.66,96.21,163.56,26.24,81.78,0,105.83,48.1,0,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1389.78

13,03:00-03:15,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,12.51,0,96.21,26.24,192.42,26.24,0,0.53,0,44.26,48.1,0,0,54.12,0,0,0,0,0,8.66,96.21,163.56,26.24,81.78,0,76.6,48.1,0,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1360.45

14,03:15-03:30,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,12.51,0,96.21,26.24,192.42,26.24,0,0.53,0,44.26,48.1,0,0,54.12,0,0,0,0,0,8.66,96.21,163.56,26.24,81.78,0,76.6,48.1,0,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1360.45

15,03:30-03:45,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,12.51,0,96.21,26.24,192.42,26.24,0,0.53,0,44.26,48.1,0,0,54.12,0,0,0,0,0,8.66,96.21,163.56,26.24,81.78,0,76.6,48.1,0,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1360.45

16,03:45-04:00,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,12.51,0,96.21,26.24,192.42,26.24,0,0.53,0,44.26,48.1,0,0,54.12,0,0,0,0,0,8.66,96.21,163.56,26.24,81.78,0,76.6,48.1,0,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1360.45

17,04:00-04:15,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,12.51,0,0,26.24,192.42,26.24,0,0.53,0,44.26,48.1,0,0,0,0,0,0,0,0,8.66,0,163.56,26.24,81.78,0,76.6,48.1,0,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1113.9100000000003

18,04:15-04:30,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,12.51,0,0,26.24,192.42,26.24,0,0.53,0,44.26,48.1,0,0,0,0,0,0,0,0,8.66,0,163.56,26.24,81.78,0,76.6,48.1,0,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1113.9100000000003

19,04:30-04:45,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,12.51,0,0,26.24,192.42,26.24,0,0.53,0,44.26,48.1,0,0,0,0,0,0,0,0,8.66,0,163.56,26.24,81.78,0,76.6,48.1,0,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1113.9100000000003

20,04:45-05:00,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,12.51,0,0,26.24,192.42,26.24,0,0.53,0,44.26,48.1,0,0,0,0,0,0,0,0,8.66,0,163.56,26.24,81.78,0,76.6,48.1,0,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1113.9100000000003

21,05:00-05:15,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,12.51,0,0,26.24,192.42,26.24,0,0.53,0,44.26,48.1,0,0,0,0,0,0,0,0,8.66,0,163.56,26.24,81.78,0,76.6,48.1,0,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1113.9100000000003

22,05:15-05:30,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,12.51,0,0,26.24,192.42,26.24,0,0.53,0,44.26,48.1,0,0,0,0,0,0,0,0,8.66,0,163.56,26.24,81.78,0,76.6,48.1,0.01,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1113.9200000000003

23,05:30-05:45,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,11.55,0,0,26.24,192.42,26.24,0,0.53,0,44.26,48.1,0,0,0,0,0,0,0,0,8.66,0,163.56,26.24,81.78,0,76.6,48.1,0.07,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1113.0200000000002

24,05:45-06:00,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,11.55,0,0,26.24,192.42,26.24,0,0.53,0,44.26,48.1,0,0,0,0,0,0,0,0,8.66,0,163.56,26.24,81.78,0,76.6,48.1,0.06,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1113.0100000000002

25,06:00-06:15,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,11.55,0,0,26.24,192.42,26.24,0,0.82,0,44.26,48.1,0,0,0,0,0,0,0,0,0,0,163.56,26.24,81.78,0,76.6,48.1,1.41,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1105.9900000000002

26,06:15-06:30,20.44,0,0,0,0,0,0,0,0,2,0,0,0,0,11.55,0,0,26.24,192.42,26.24,0,0.82,0,44.26,48.1,0,0,0,0,0,0,0,0,0,0,163.56,26.24,81.78,0,76.6,48.1,2.89,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1109.4700000000003

27,06:30-06:45,20.44,0.84,0,0.05,0,0.17,0,0,0,6,0,0.09,0,0,11.55,0,0,26.24,192.42,26.24,0,0.82,0,44.26,48.1,0,0,0,0,0,0,0,0,0,0,163.56,26.24,81.78,0,76.6,48.1,4.58,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1116.3100000000002

28,06:45-07:00,20.44,1.38,0,0.07,0,0.28,0,0,0,11,0,0.13,0,0,11.55,0,0,26.24,192.42,26.24,0,0.82,0,44.26,48.1,0,0,0,0,0,0,0,0,0,0,163.56,26.24,81.78,0,76.6,48.1,6.5,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1123.9400000000003

29,07:00-07:15,20.44,1.97,0,0.19,0,0.38,0,0,0,18,0,0.19,0,0,11.55,0,0,26.24,192.42,26.24,0,0.87,0,44.26,48.1,0,0,0,0,0,0,0,0,0,0,163.56,26.24,81.78,0,76.6,48.1,10.76,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1136.1200000000003

30,07:15-07:30,20.44,2.97,0,0.19,0,0.38,0,0,0,28,0,0.19,0,0,11.55,0,0,26.24,192.42,26.24,0,0.87,0,44.26,48.1,0,0,0,0,0,0,0,0,0,0,163.56,26.24,81.78,0,76.6,48.1,15.27,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1151.6300000000003

31,07:30-07:45,20.44,3.86,0,0.19,0,0.38,0,0,0,39,0,0.19,0,0,11.55,0,0,26.24,192.42,26.24,0,0.87,0,44.26,48.1,0,0,0,0,0,0,0,0,0,0,163.56,26.24,81.78,0,76.6,48.1,20.16,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1168.41

32,07:45-08:00,20.44,5.25,0.13,0.19,0,0.48,0,0.09,0.16,49,0,0.29,0,0,11.55,0,0,26.24,192.42,26.24,0,0.87,0,44.26,48.1,0,0,0,0,0,0,0,0,0,0,163.56,26.24,81.78,0,76.6,48.1,25.22,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1185.4400000000003

33,08:00-08:15,20.44,6.19,0.24,0.19,1.15,0.48,0,0.21,0.32,63,1.64,0.29,0,0,11.55,0,0,26.24,192.42,26.24,0,0.96,0,44.26,48.1,0,0,0,0,0,0,0,0,0,0,163.56,26.24,81.78,0,76.6,48.1,31.2,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1209.6300000000003

34,08:15-08:30,20.44,8.53,0.36,0.19,1.15,0.48,0,0.31,0.46,77,1.64,0.29,0,0,11.55,0,0,26.24,192.42,26.24,0,0.96,0,44.26,48.1,0,0,0,0,0,0,0,0,0,0,163.56,26.24,81.78,0,76.6,48.1,37.42,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1232.5500000000002

35,08:30-08:45,20.44,5.88,0.49,0.19,1.15,0.48,0,0.42,0.63,88,1.64,0.29,0,0,13.47,0,0,26.24,192.42,26.24,0,0.96,0,44.26,48.1,0,0,0,0,0,0,0,0,0,0,163.56,26.24,81.78,0,76.6,48.1,43.85,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1249.6600000000003

36,08:45-09:00,20.44,5.88,0.61,0.19,1.15,0.48,0,0.61,0.87,102,1.64,0.29,0,0,13.47,0,0,26.24,192.42,26.24,0,0.96,0,44.26,48.1,0,0,0,0,0,0,0,0,0,0,163.56,26.24,81.78,0,76.6,48.1,50.02,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1270.38

37,09:00-09:15,20.44,5.88,0.77,0.19,1.15,0.48,0,0.67,0.96,116,1.64,0.29,76.6,0,13.47,37.18,0,0,192.42,0,48.1,0.96,163.56,44.26,0,0,0,0,43.73,43.73,0,48.1,0,0,0,0,0,81.78,0,0,0,55.59,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1336.18

38,09:15-09:30,20.44,6.86,0.77,0.19,1.15,0.48,0,0.67,0.96,130,1.64,0.29,76.6,0,13.47,37.18,0,0,192.42,0,48.1,0.96,163.56,44.26,0,0,0,0,43.73,43.73,0,48.1,0,0,0,0,0,81.78,0,0,0,61.25,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1356.8200000000002

39,09:30-09:45,20.44,6.86,0.77,0.19,1.15,0.48,0,0.67,0.96,144,1.64,0.29,76.6,0,13.47,37.18,0,0,192.42,0,48.1,0.96,163.56,44.26,0,0,0,0,43.73,43.73,0,48.1,0,0,0,0,0,81.78,0,0,0,66.88,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1376.45

40,09:45-10:00,20.44,7.83,0.77,0.19,1.15,0.48,0,0.67,0.96,154,1.64,0.29,76.6,0,13.47,37.18,0,0,192.42,0,48.1,0.96,163.56,44.26,0,0,0,0,43.73,43.73,0,48.1,0,0,0,0,0,81.78,0,0,0,72.04,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1392.5800000000002

41,10:00-10:15,20.44,7.83,0.77,0.19,1.15,0.48,1.44,0.67,0.96,165,1.64,0.29,76.6,0,13.47,37.18,0,0,192.42,0,48.1,0.96,163.56,44.26,0,0,0,0,43.73,43.73,0,48.1,0,0,0,0,0,81.78,0,0,0,71.85,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1404.8300000000002

42,10:15-10:30,20.44,7.83,0.67,0.19,1.15,0.48,1.44,0.58,0.96,168,1.64,0.29,76.6,0,13.47,37.18,0,0,192.42,0,48.1,0.96,163.56,44.26,0,0,0,0,43.73,43.73,0,48.1,0,0,0,0,0,81.78,0,0,0,75.19,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1410.98

43,10:30-10:45,20.44,11.54,0.38,0.19,1.15,0.48,1.44,0.38,0.58,179,1.64,0.29,76.6,0,13.47,37.18,0,0,192.42,0,48.1,0.96,163.56,44.26,0,0,0,0,43.73,43.73,0,48.1,0,0,0,0,0,81.78,0,0,0,80.19,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1429.82

44,10:45-11:00,20.44,12.82,0.38,0.19,1.15,0.48,1.44,0.38,0.58,186,1.64,0.29,76.6,0,13.47,37.18,0,0,192.42,0,48.1,0.96,163.56,44.26,0,0,0,0,43.73,43.73,0,48.1,0,0,0,0,0,81.78,0,0,0,85.19,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1443.1000000000001

45,11:00-11:15,20.44,14.09,0.38,0.19,1.15,0.48,1.44,0.38,0.58,189,1.64,0.29,76.6,0,13.47,37.18,0,0,192.42,0,48.1,0.96,163.56,44.26,0,0,0,0,43.73,43.73,0,48.1,0,0,0,0,0,81.78,0,0,0,96.67,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1458.8500000000001

46,11:15-11:30,20.44,15.53,0.38,0.19,1.15,0.48,1.44,0.38,0.58,189,1.64,0.29,76.6,0,13.47,37.18,0,0,192.42,0,48.1,0.96,163.56,44.26,0,0,0,0,43.73,43.73,0,48.1,0,0,0,0,0,81.78,0,0,0,96.67,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1460.2900000000002

47,11:30-11:45,20.44,16.9,0.38,0.19,1.15,0.48,1.44,0.38,0.58,189,1.64,0.29,76.6,0,13.47,37.18,0,0,192.42,0,48.1,0.96,163.56,44.26,0,0,0,0,43.73,43.73,0,48.1,0,0,0,0,0,81.78,0,0,0,96.67,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1461.6600000000003

48,11:45-12:00,20.44,18.18,0.38,0.19,1.15,0.48,1.44,0.38,0.58,189,1.64,0.29,76.6,0,13.47,37.18,0,0,192.42,0,48.1,0.96,163.56,44.26,0,0,0,0,43.73,43.73,0,48.1,0,0,0,0,0,81.78,0,0,0,96.56,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1462.8300000000002

49,12:00-12:15,20.44,19.37,0.38,0.19,1.15,0.48,1.44,0.38,0.58,179,1.64,0.29,76.6,0,13.47,37.18,0,0,192.42,0,48.1,0.96,163.56,44.26,0,0,0,0,43.73,43.73,0,48.1,0,0,0,0,0,81.78,0,0,0,96.67,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1454.13

50,12:15-12:30,20.44,19.67,0.38,0.19,1.15,0.48,1.44,0.38,0.58,179,1.64,0.29,76.6,0,13.47,37.18,0,0,192.42,0,48.1,0.96,163.56,44.26,0,0,0,0,43.73,43.73,0,48.1,0,0,0,0,0,81.78,0,0,0,96.67,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1454.43

51,12:30-12:45,20.44,19.93,0.38,0.19,1.15,0.48,1.44,0.38,0.58,161,1.64,0.29,76.6,0,13.47,37.18,0,0,192.42,0,48.1,0.96,163.56,44.26,0,0,0,0,43.73,43.73,0,48.1,0,0,0,0,0,81.78,0,0,0,96.67,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1436.69

52,12:45-13:00,20.44,20.2,0.38,0.19,1.15,0.48,1.44,0.38,0.58,161,1.64,0.29,76.6,0,13.47,37.18,0,0,192.42,0,48.1,0.96,163.56,44.26,0,0,0,0,43.73,43.73,0,48.1,0,0,0,0,0,81.78,0,0,0,96.67,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1436.96

53,13:00-13:15,20.44,8.81,0.38,0.19,1.15,0.48,1.44,0.38,0.58,133,1.64,0.29,76.6,0,13.47,37.18,0,0,192.42,0,48.1,0.96,163.56,44.26,0,0,0,0,43.73,43.73,0,48.1,0,0,0,0,0,81.78,0,0,0,96.67,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1397.57

54,13:15-13:30,20.44,8.81,0.38,0.19,1.15,0.48,1.44,0.38,0.58,133,1.64,0.29,76.6,0,13.47,37.18,0,0,192.42,0,48.1,0.96,163.56,44.26,0,0,0,0,43.73,43.73,0,48.1,0,0,0,0,0,81.78,0,0,0,96.67,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1397.57

55,13:30-13:45,20.44,8.81,0.38,0.19,1.15,0.48,1.44,0.38,0.58,133,1.64,0.29,76.6,0,13.47,37.18,0,0,192.42,0,48.1,0.96,163.56,44.26,0,0,0,0,43.73,43.73,0,48.1,0,0,0,0,0,81.78,0,0,0,85.31,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1386.21

