Time,Block,NR/2023/11469/A,NR/2023/14888/C,NR/2023/14887/C,NR/2023/11654/A,NR/2023/14879/C,NR/2023/13283/A,NR/2023/13284/A,NR/2023/12646/A,NR/2023/11203/A,NR/2023/11315/A,NR/2023/14867/D,NR/2023/11328/A,NR/2023/14885/C,NR/2023/14868/D,NR/2023/14864/D,NR/2023/14890/C,NR/2023/11325/A,NR/2023/14187/F,NR/2023/14688/F,NR/2023/13859/A,NR/2023/13858/A,NR/2023/11470/A,NR/2023/11739/A,NR/2023/11954/A,NR/2023/11458/A,NR/2023/13983/F,NR/2023/14873/C,NR/2023/14893/C,NR/2023/11697/A,NR/2023/14688/F/II,NR/2023/14884/C,NR/2023/14882/C,NR/2023/13983/F/II,NR/2023/13573/A,ER/2023/9115/C,NR/2023/14869/D,WR/2023/17287/C,NR/2023/14863/D,NR/2023/14866/D,Total
6,01:15-01:30,84.940000,8.210000,0.000000,152.530000,19.120000,24.140000,85.820000,23.100000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,0.000000,24.140000,3.860000,0.000000,181.010000,84.470000,21.230000,42.470000,36.420000,98.470000,0.490000,0.970000,21.240000,36.780000,24.140000,6.760000,0.000000,0.180000,62.750000,0.000000,0,0.000000,0,0,1369.78

7,01:30-01:45,84.940000,8.210000,0.000000,152.530000,19.120000,24.140000,85.820000,23.100000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,0.000000,24.140000,3.860000,0.000000,181.010000,84.470000,21.230000,42.470000,36.420000,98.470000,0.490000,0.970000,0.000000,36.780000,24.140000,6.760000,0.000000,0.180000,62.750000,0.000000,0,0.000000,0,0,1348.54

8,01:45-02:00,84.940000,8.210000,0.000000,152.530000,19.120000,24.140000,85.820000,23.100000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,0.000000,24.140000,3.860000,0.000000,181.010000,84.470000,21.230000,42.470000,36.420000,98.470000,0.490000,0.970000,0.000000,36.780000,24.140000,6.760000,0.000000,0.180000,62.750000,0.000000,0,0.000000,0,0,1348.54

9,02:00-02:15,84.940000,0.000000,0.000000,152.530000,19.120000,24.140000,85.820000,23.100000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,0.000000,24.140000,3.860000,0.000000,181.010000,84.470000,21.230000,42.470000,36.420000,98.470000,0.420000,0.970000,0.000000,36.780000,24.140000,6.760000,0.000000,0.160000,62.750000,0.000000,0,0.000000,0,0,1340.24

10,02:15-02:30,84.940000,0.000000,0.000000,152.530000,19.120000,24.140000,85.820000,23.100000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,0.000000,24.140000,3.860000,0.000000,181.010000,84.470000,21.230000,42.470000,36.420000,98.470000,0.420000,0.970000,0.000000,36.780000,24.140000,6.760000,0.000000,0.160000,62.750000,0.000000,0,0.000000,0,0,1340.24

11,02:30-02:45,84.940000,0.000000,0.000000,152.530000,19.120000,24.140000,85.820000,23.100000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,0.000000,24.140000,3.860000,0.000000,181.010000,84.470000,21.230000,42.470000,36.420000,98.470000,0.420000,0.970000,0.000000,36.780000,24.140000,6.760000,0.000000,0.160000,62.750000,0.000000,0,0.000000,0,0,1340.24

12,02:45-03:00,84.940000,0.000000,0.000000,152.530000,19.120000,24.140000,85.820000,23.100000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,0.000000,24.140000,3.860000,0.000000,181.010000,84.470000,21.230000,42.470000,36.420000,98.470000,0.420000,0.970000,0.000000,36.780000,24.140000,6.760000,0.000000,0.160000,62.750000,0.000000,0,0.000000,0,0,1340.24

13,03:00-03:15,84.940000,0.000000,0.000000,152.530000,19.120000,24.140000,85.820000,0.000000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,0.000000,24.140000,3.860000,20.270000,181.010000,84.470000,21.230000,42.470000,0.000000,98.470000,0.530000,0.000000,0.000000,36.780000,3.860000,6.760000,0.000000,0.000000,62.750000,0.000000,0,0.000000,0,0,1279.69

14,03:15-03:30,84.940000,0.000000,0.000000,152.530000,19.120000,24.140000,85.820000,0.000000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,0.000000,24.140000,3.860000,20.270000,181.010000,84.470000,21.230000,42.470000,0.000000,98.470000,0.530000,0.000000,0.000000,36.780000,3.860000,6.760000,0.000000,0.000000,62.750000,0.000000,0,0.000000,0,0,1279.69

15,03:30-03:45,84.940000,0.000000,0.000000,152.530000,19.120000,24.140000,85.820000,0.000000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,0.000000,24.140000,3.860000,20.270000,181.010000,84.470000,21.230000,42.470000,0.000000,98.470000,0.530000,0.000000,0.000000,36.780000,3.860000,6.760000,0.000000,0.000000,62.750000,0.000000,0,0.000000,0,0,1279.69

16,03:45-04:00,84.940000,0.000000,0.000000,152.530000,19.120000,24.140000,85.820000,0.000000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,0.000000,24.140000,3.860000,20.270000,181.010000,84.470000,21.230000,42.470000,0.000000,98.470000,0.530000,0.000000,0.000000,36.780000,3.860000,6.760000,0.000000,0.000000,62.750000,0.000000,0,0.000000,0,0,1279.69

17,04:00-04:15,84.940000,0.000000,0.000000,152.530000,19.120000,24.140000,85.820000,0.000000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,0.000000,24.140000,3.860000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,98.470000,0.530000,0.000000,0.000000,36.780000,0.000000,6.760000,0.000000,0.000000,62.750000,0.000000,0,0.000000,0,0,1279.7

18,04:15-04:30,84.940000,0.000000,0.000000,152.530000,19.120000,24.140000,85.820000,0.000000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,0.000000,24.140000,3.860000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,98.470000,0.530000,0.000000,0.000000,36.780000,0.000000,6.760000,0.000000,0.000000,62.750000,0.000000,0,0.000000,0,0,1279.7

19,04:30-04:45,84.940000,0.000000,0.000000,152.530000,19.120000,24.140000,85.820000,0.000000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,0.000000,24.140000,3.860000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,98.470000,0.530000,0.000000,0.000000,36.780000,0.000000,6.760000,0.000000,0.000000,62.750000,0.000000,0,0.000000,0,0,1279.7

20,04:45-05:00,84.940000,0.000000,0.000000,152.530000,19.120000,24.140000,85.820000,0.000000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,0.000000,24.140000,3.860000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,98.470000,0.530000,0.000000,0.000000,36.780000,0.000000,6.760000,0.000000,0.000000,62.750000,0.000000,0,0.000000,0,0,1279.7

21,05:00-05:15,84.940000,0.000000,0.000000,152.530000,19.120000,24.140000,85.820000,0.000000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,0.000000,24.140000,3.860000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,0.000000,0.530000,0.000000,0.000000,36.780000,0.000000,6.760000,0.000000,0.000000,62.750000,0.000000,0,0.000000,0,0,1181.23

22,05:15-05:30,84.940000,0.000000,0.000000,152.530000,19.120000,24.140000,85.820000,0.000000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,0.000000,24.140000,3.860000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,0.000000,0.530000,0.000000,0.000000,36.780000,0.000000,6.760000,0.000000,0.000000,62.750000,0.000000,0,0.000000,0,0,1181.23

23,05:30-05:45,84.940000,0.000000,0.000000,152.530000,19.120000,24.140000,85.820000,0.000000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,0.000000,24.140000,3.860000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,0.000000,0.530000,0.000000,0.000000,36.780000,0.000000,6.760000,0.000000,0.000000,62.750000,0.000000,0,0.000000,0,0,1181.23

24,05:45-06:00,84.940000,0.000000,0.000000,152.530000,19.120000,24.140000,85.820000,0.000000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,0.000000,24.140000,3.860000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,0.000000,0.530000,0.000000,0.000000,36.780000,0.000000,6.760000,0.000000,0.000000,62.750000,0.000000,0,0.000000,0,0,1181.23

25,06:00-06:15,84.940000,0.000000,0.000000,152.530000,19.120000,24.140000,0.000000,0.000000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,0.000000,24.140000,3.860000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,62.750000,0.000000,0.6,0.000000,0,1.4,1060.78

26,06:15-06:30,84.940000,0.000000,0.000000,152.530000,19.120000,24.140000,0.000000,0.000000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,0.000000,24.140000,3.860000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,62.750000,0.000000,2.7,0.000000,0,6.3,1067.78

27,06:30-06:45,84.940000,0.000000,0.000000,152.530000,19.120000,24.140000,0.000000,0.000000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,0.000000,24.140000,3.860000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,0.000000,0.680000,0.970000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,62.750000,0.000000,4.5,0.000000,0,10.5,1074.75

28,06:45-07:00,84.940000,0.000000,0.000000,152.530000,19.120000,24.140000,0.000000,0.000000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,0.000000,24.140000,3.860000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,0.000000,0.680000,0.970000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,62.750000,0.000000,7.5,0.000000,0.17,17.5,1084.92

29,07:00-07:15,84.940000,0.000000,0.000000,152.530000,19.120000,24.140000,0.000000,0.000000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,0.000000,24.140000,0.970000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,0.000000,0.680000,3.860000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,62.750000,0.000000,13.5,0.000000,0.57,31.5,1105.32

30,07:15-07:30,84.940000,0.000000,0.000000,152.530000,19.120000,24.140000,0.000000,0.000000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,0.000000,24.140000,0.970000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,0.000000,0.680000,3.860000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,62.750000,0.000000,16.5,0.000000,0.87,38.5,1115.62

31,07:30-07:45,84.940000,0.000000,0.000000,152.530000,19.120000,24.140000,0.000000,0.000000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,0.000000,24.140000,0.970000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,0.000000,0.680000,3.860000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,62.750000,0.000000,21,0.000000,1.1,49,1130.85

32,07:45:08:00,84.940000,0.000000,0.000000,152.530000,19.120000,24.140000,0.000000,0.000000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,0.000000,24.140000,0.970000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,0.000000,0.680000,3.860000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,62.750000,0.000000,24.3,0.000000,1.52,56.7,1142.27

33,08:00-08:15,84.940000,0.000000,0.000000,152.530000,19.120000,24.140000,0.000000,0.000000,62.990000,22.200000,19.310000,48.270000,0.000000,0.000000,193.080000,0.000000,24.140000,0.970000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,0.000000,0.970000,3.860000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,62.750000,78.000000,27,0.000000,2.06,63,1249.41

34,08:15-08:30,84.940000,0.000000,0.000000,152.530000,19.120000,24.140000,0.000000,0.000000,62.990000,22.200000,19.310000,48.270000,0.000000,0.000000,193.080000,0.000000,24.140000,0.970000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,0.000000,0.970000,3.860000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,62.750000,78.000000,31.5,0.000000,2.27,73.5,1264.62

35,08:30-08:45,84.940000,0.000000,0.000000,152.530000,19.120000,24.140000,0.000000,0.000000,62.990000,22.200000,19.310000,48.270000,0.000000,0.000000,193.080000,0.000000,24.140000,0.970000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,0.000000,0.970000,3.860000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,62.750000,78.000000,36,0.000000,2.72,84,1280.07

36,08:45:09:00,84.940000,0.000000,0.000000,152.530000,19.120000,24.140000,0.000000,0.000000,62.990000,22.200000,19.310000,48.270000,0.000000,0.000000,193.080000,0.000000,24.140000,0.970000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,0.000000,0.970000,3.860000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,62.750000,78.000000,39.6,0.000000,2.8,92.4,1292.15

37,09:00:09:15,84.940000,0.000000,0.000000,152.530000,19.120000,24.140000,0.000000,0.000000,62.990000,22.200000,19.310000,48.270000,0.000000,24.140000,193.080000,0.000000,24.140000,0.970000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,0.000000,0.970000,6.760000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,62.750000,78.000000,43.5,0.000000,3.44,101.5,1332.83

38,09:15-09:30,84.940000,0.000000,0.000000,152.530000,19.120000,24.140000,0.000000,0.000000,62.990000,22.200000,19.310000,48.270000,0.000000,24.140000,193.080000,0.000000,24.140000,0.970000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,0.000000,0.970000,6.760000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,62.750000,78.000000,48.9,0.000000,4.45,114.1,1351.84

39,09:30-09:45,84.940000,0.000000,0.000000,152.530000,19.120000,24.140000,0.000000,0.000000,62.990000,22.200000,19.310000,48.270000,0.000000,24.140000,147.470000,0.000000,24.140000,0.970000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,0.000000,0.970000,6.760000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,62.750000,78.000000,52.5,0.000000,5.08,122.5,1318.86

40,09:45-10:00,84.940000,0.000000,0.000000,152.530000,19.120000,24.140000,0.000000,0.000000,62.990000,22.200000,19.310000,48.270000,0.000000,24.140000,147.470000,0.000000,24.140000,0.970000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,0.000000,0.970000,6.760000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,62.750000,78.000000,55.5,0.000000,5.9,129.5,1329.68

41,10:00-10:15,84.940000,0.000000,0.000000,152.530000,19.120000,24.140000,0.000000,0.000000,62.990000,22.200000,19.310000,48.270000,0.000000,24.140000,147.470000,0.000000,24.140000,0.970000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,90.750000,0.970000,6.760000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,62.750000,78.000000,61.5,0.000000,5.85,143.5,1440.38

42,10:15-10:30,84.940000,0.000000,0.000000,152.530000,19.120000,24.140000,0.000000,0.000000,62.990000,22.200000,19.310000,48.270000,0.000000,24.140000,147.470000,0.000000,24.140000,0.970000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,90.750000,0.970000,6.760000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,62.750000,78.000000,65.1,0.000000,6.35,151.9,1452.88

43,10:30-10:45,84.940000,0.000000,0.000000,152.530000,19.120000,24.140000,0.000000,0.000000,62.990000,22.200000,19.310000,48.270000,0.000000,24.140000,147.470000,0.000000,24.140000,0.970000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,90.750000,0.970000,6.760000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,62.750000,78.000000,69,0.000000,6.53,161,1466.06

44,10:45-11:00,84.940000,0.000000,0.000000,152.530000,19.120000,24.140000,0.000000,0.000000,62.990000,22.200000,19.310000,48.270000,0.000000,24.140000,147.470000,0.000000,24.140000,0.970000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,90.750000,0.970000,6.760000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,62.750000,78.000000,72,0.000000,3.98,168,1473.51

45,11:00-11:15,84.940000,0.000000,0.000000,152.530000,16.360000,24.140000,0.000000,0.000000,62.990000,22.200000,19.310000,48.270000,0.000000,24.140000,147.470000,0.000000,24.140000,0.970000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,90.750000,0.970000,6.760000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,62.750000,78.000000,73.5,0.000000,4.58,171.5,1476.35

46,11:15-11:30,84.940000,0.000000,0.000000,152.530000,16.360000,24.140000,0.000000,0.000000,62.990000,22.200000,19.310000,48.270000,0.000000,24.140000,147.470000,0.000000,24.140000,0.970000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,90.750000,0.970000,6.760000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,62.750000,78.000000,75,0.000000,6.05,175,1482.82

47,11:30-11:45,84.940000,0.000000,0.000000,152.530000,16.360000,24.140000,0.000000,0.000000,62.990000,22.200000,19.310000,48.270000,0.000000,24.140000,147.470000,0.000000,24.140000,0.970000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,90.750000,0.970000,6.760000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,62.750000,78.000000,75,0.000000,5.36,175,1482.13

48,11:45-12:00,84.940000,0.000000,0.000000,152.530000,16.360000,24.140000,0.000000,0.000000,62.990000,22.200000,19.310000,48.270000,0.000000,24.140000,147.470000,0.000000,24.140000,0.970000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,90.750000,0.970000,6.760000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,62.750000,78.000000,75,0.000000,6.08,175,1482.85

49,12:00-12:15,84.940000,0.000000,0.000000,152.530000,16.360000,24.140000,0.000000,0.000000,62.990000,22.200000,19.310000,48.270000,0.000000,24.140000,147.470000,0.000000,24.140000,0.970000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,90.750000,0.970000,6.760000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,62.750000,78.000000,75,0.000000,7.02,175,1483.79

50,12:15-12:30,84.940000,0.000000,0.000000,152.530000,16.360000,24.140000,0.000000,0.000000,62.990000,22.200000,19.310000,48.270000,0.000000,24.140000,147.470000,0.000000,24.140000,0.970000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,90.750000,0.970000,6.760000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,62.750000,78.000000,75,0.000000,5.1,175,1481.87

51,12:30-12:45,84.940000,0.000000,0.000000,152.530000,16.360000,24.140000,0.000000,0.000000,62.990000,22.200000,19.310000,48.270000,0.000000,24.140000,193.080000,0.000000,24.140000,0.970000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,90.750000,0.970000,6.760000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,62.750000,78.000000,75,0.000000,6.59,175,1528.97

52,12:45-13:00,84.940000,0.000000,0.000000,152.530000,16.360000,24.140000,0.000000,0.000000,62.990000,22.200000,19.310000,48.270000,0.000000,24.140000,193.080000,0.000000,24.140000,0.970000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,90.750000,0.970000,6.760000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,62.750000,78.000000,75,0.000000,3.92,175,1526.3

53,13:00-13:15,84.940000,0.000000,0.000000,152.530000,16.360000,24.140000,0.000000,0.000000,62.990000,22.200000,19.310000,48.270000,0.000000,24.140000,193.080000,0.000000,24.140000,0.970000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,90.750000,0.970000,6.760000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,62.750000,78.000000,75,0.000000,4.86,175,1527.24

54,13:15-13:30,84.940000,0.000000,0.000000,152.530000,16.360000,24.140000,0.000000,0.000000,62.990000,22.200000,19.310000,48.270000,0.000000,24.140000,193.080000,0.000000,24.140000,0.970000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,90.750000,0.970000,6.760000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,62.750000,78.000000,75,0.000000,5.7,175,1528.08

55,13:30-13:45,84.940000,0.000000,0.000000,152.530000,16.360000,24.140000,0.000000,0.000000,62.990000,22.200000,19.310000,48.270000,0.000000,24.140000,193.080000,0.000000,24.140000,0.970000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,90.750000,0.970000,6.760000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,62.750000,78.000000,75,0.000000,4.84,175,1527.22

56,13:45-14:00,84.940000,0.000000,0.000000,152.530000,16.360000,24.140000,0.000000,0.000000,62.990000,22.200000,19.310000,48.270000,0.000000,24.140000,193.080000,0.000000,24.140000,0.970000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,90.750000,0.970000,6.760000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,62.750000,78.000000,73.5,0.000000,4.71,171.5,1522.09

57,14:00-14:15,84.940000,0.000000,0.000000,152.530000,16.360000,24.140000,0.000000,23.100000,62.990000,22.200000,19.310000,48.270000,0.000000,24.140000,193.080000,0.000000,24.140000,0.970000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,106.190000,0.970000,6.760000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,62.750000,0.000000,72,0.000000,4.2,168,1477.12

