Column1,Time,GNARE/SR/2025/01/13/4532,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,NR/26072023/31072042/L_NR_2023_07,L_NR_2019_19,WR/01102023/16072048/L_NR_2022_08,NR/26072023/25122043/L_NR_2023_10,WR/01102023/31032046/L_NR_2020_05,NR/01102023/25072045/L_NR_2021_15,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),GNA/NR/2025/04/01/1333,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/6490,NR/01102023/19072037/LT-05,NR/01102023/31102037/L_NR_2019_11,NR/01102023/22052037/LT-59,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/8510,GNA/SR/2025/04/01/2597,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/01/8964,GNA/NR/2025/04/01/7960,NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/04/01/8456,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_36,NR/01102023/05012040/L_NR_2020_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/30092023/26122029/SH-06,GNARE/NR/2024/12/20/3668,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/04/01/9334,GNA/WR/2025/04/01/4420
12,02:45-03:00,7,0,27.83,71,0,0,27,0,83.5,0,27.84,71,0,0,0,2.89,28.25,2.89,9.62,66.02,3.07,3.11,26.93,7.68,0,7.19,86.8,9.62,48.12,1.92,9.62,0,36.57,0,260.4,10.34,0,0,2.61,272.09,26.93,0,0,0,0,0,100.25,2.89,0

13,03:00-03:15,7,0,27.5,71.66,0,0,28.33,0,82.5,0,27.5,71.67,0,0,0,2.89,28.25,2.89,9.62,66.02,3.07,2.94,26.93,7.68,0,7.19,86.8,9.62,48.12,1.92,9.62,0,36.57,0,260.4,10.34,0,0,2.61,272.09,26.93,0,0,0,0,0,100.25,2.89,0

14,03:15-03:30,7,0,27.33,72.34,0,0,28.67,0,82.01,0,27.33,72.33,0,0,0,2.89,28.25,2.89,9.62,66.02,3.07,2.94,26.93,7.68,0,7.19,86.8,9.62,48.12,1.92,9.62,0,36.57,0,260.4,10.34,0,0,2.61,272.09,26.93,0,0,0,0,0,100.25,2.89,0

15,03:30-03:45,7,0,27.33,73.34,0,0,28.67,0,82.01,0,27.33,73.33,0,0,0,2.89,28.25,2.89,9.62,66.02,3.07,2.94,26.93,7.68,0,7.19,86.8,9.62,48.12,1.92,9.62,0,36.57,0,260.4,10.34,0,0,2.61,272.09,26.93,0,0,0,0,0,100.25,2.89,0

16,03:45-04:00,7,0,27.33,75,0,0,29.67,0,82.01,0,27.33,75,0,0,0,2.89,28.25,2.89,9.62,66.02,3.07,2.94,26.93,7.68,0,7.19,86.8,9.62,48.12,1.92,9.62,0,36.57,0,260.4,10.34,0,0,2.61,272.09,26.93,0,0,0,0,0,100.25,2.89,0

17,04:00-04:15,7,0,27.33,76.66,0,0,29.33,0,82.01,0,27.33,76.67,0,0,0,2.89,28.25,2.89,9.62,66.02,2.99,2.94,26.93,7.68,0,7.09,86.8,9.62,48.12,1.92,9.62,0,36.57,0,260.4,10.34,0,0,2.52,272.09,26.93,0,0,0,0,0,100.25,2.89,0

18,04:15-04:30,7,0,27.33,77,0,0,28.33,0,82.01,0,27.33,77,0,0,0,2.89,28.25,2.89,9.62,66.02,2.99,2.94,26.93,7.68,0,7.09,86.8,9.62,48.12,1.92,9.62,0,36.57,0,260.4,10.34,0,0,2.52,272.09,26.93,0,0,0,0,0,100.25,2.89,0

19,04:30-04:45,6.8,0,31.67,77,0,0,28,0,94.99,0,31.67,77,0,0,0,2.89,28.25,2.89,9.62,66.02,2.99,2.94,26.93,7.68,0,7.09,86.8,9.62,48.12,1.92,9.62,0,36.57,0,260.4,10.34,0,0,2.52,272.09,26.93,0,0,0,0,0,100.25,2.89,0

20,04:45-05:00,6.6,0,31.33,75.66,0,0,28,0,94.01,0,31.33,75.67,0,0,0,2.89,28.25,2.89,9.62,66.02,2.99,2.94,26.93,7.68,0,7.09,86.8,9.62,48.12,1.92,9.62,0,36.57,0,260.4,10.34,0,0,2.52,272.09,26.93,0,0,0,0,0,100.25,2.89,0

21,05:00-05:15,6.2,0,31,73.34,0,0,27.67,0,93,0,31,73.33,0,0,0,2.89,28.25,2.89,9.62,66.02,2.92,2.94,26.93,7.68,0,7,86.8,9.62,48.12,1.92,9.62,0,36.57,0,260.4,10.34,0,0,2.52,272.09,26.93,0,0,0,0,0,100.25,2.89,0

22,05:15-05:30,6,0,30.83,71.66,0,0,27,0,92.51,0,30.83,71.67,0,0,0,2.89,28.25,2.89,9.62,66.02,2.92,2.94,26.93,7.68,0,7,86.8,9.62,48.12,1.92,9.62,0,36.57,0,260.4,10.34,0,0,2.52,272.09,26.93,0,0,0,0,0,100.25,2.89,0

23,05:30-05:45,5.8,0,30,76,0,0,28.33,0,90,0,30,76,0,0,0,2.89,28.25,2.89,9.62,66.02,2.92,2.94,26.93,7.68,0,7,86.8,9.62,48.12,1.92,9.62,0,36.57,0,260.4,10.34,0,0,2.52,272.09,26.93,0,0,0,0,0,100.25,2.89,0

24,05:45-06:00,5.6,0,29.17,75,0,0,28,0,87.49,0,29.17,75,0,0,0,2.89,28.25,2.89,9.62,84.88,2.92,2.94,26.93,7.68,0,7,86.8,9.62,48.12,1.92,9.62,0,36.57,0,260.4,10.34,0,0,2.52,272.09,26.93,0,0,0,0,0,100.25,2.89,0

25,06:00-06:15,4.4,4.26,28.33,74.34,0,0.09,27.67,0,85.01,0,28.33,74.33,0,0,0,2.89,28.25,2.89,9.62,115.06,2.92,2.71,21.55,7.68,0,6.91,86.8,9.62,48.12,1.92,9.62,0,36.57,0,260.4,10.34,0,0,2.52,272.09,30,0,0,0,0,0,100.25,2.89,0

26,06:15-06:30,4.4,9.55,27.5,73.66,0,2.86,27.33,0,82.5,0,27.5,73.67,0.16,5.04,0,2.89,27.24,2.89,9.62,115.06,2.92,2.71,26.26,7.68,0,6.91,86.8,9.62,48.12,1.92,9.62,0,36.57,0,260.4,10.34,0,0,2.52,272.09,30,0.31,0.82,0,0,0,100.25,2.89,0

27,06:30-06:45,4.4,17.57,30,73,1,6.61,26.67,0,90,1,30,73,0.62,11.6,1,2.89,27.24,2.89,9.62,115.06,3.15,2.71,26.26,7.68,0,6.91,86.8,9.62,48.12,1.92,9.62,0,36.57,0,260.4,10.34,0,0,2.52,272.09,30,0.88,3.08,0,1,0,100.25,2.89,0

28,06:45-07:00,4.4,28.06,29.17,72.34,4,12.71,26.67,1,87.49,3,29.17,72.33,1.88,25.2,4,2.89,26.23,2.89,9.62,66.02,3.15,2.71,26.26,7.68,0,6.91,86.8,9.62,48.12,1.92,9.62,0,36.57,0.73,260.4,10.34,0.73,0.73,2.52,272.09,30,2.98,9.4,1,2,1,100.25,2.89,0

29,07:00-07:15,4.2,31.1,28.33,71.66,14,20.49,26,6,85.01,5,28.33,71.67,3.64,31.1,9,2.89,26.23,2.89,9.62,66.02,3.15,2.71,26.93,4.81,0,6.81,86.8,9.62,48.12,1.92,9.62,0,36.57,1.53,260.4,6.74,1.53,1.53,2.52,272.09,26.93,6.34,18.19,7,3,3,100.25,2.89,0

30,07:15-07:30,4.2,30.1,27.5,70,28,29.38,24,12,82.5,7,27.5,70,6.07,30.1,14,2.89,25.23,2.89,9.62,66.02,3.15,2.71,26.93,4.81,0,6.81,76.3,9.62,48.12,1.92,9.62,0,36.57,2.37,225.1,6.74,2.37,2.37,2.52,272.09,26.93,10.73,30.36,10,8,5,100.25,2.89,0

31,07:30-07:45,4,29.35,30.83,75,42,38.78,23.67,18,92.51,12,30.83,75,9.21,29.35,22,2.89,25.23,2.89,9.62,66.02,3.15,2.71,26.93,1.92,0,6.81,64.11,9.62,48.12,1.92,9.62,0,36.57,3.34,169.59,6.74,3.34,3.34,2.52,230.95,26.93,16.56,46.04,17,13,8,100.25,2.89,0

32,07:45-08:00,4,27.4,30.33,75,56,48.43,23.33,24,91.01,16,30.33,75,12.63,27.4,27.4,2.89,25.23,2.89,9.62,66.02,3.15,2.71,26.93,1.92,0,6.81,46.19,9.62,48.12,1.92,9.62,0,36.57,4.45,138.57,6.74,4.45,4.45,2.52,192.46,26.93,23.78,63.13,27,19,13,52.93,2.89,0

33,08:00-08:15,3.8,29.47,29.17,75,70,58.02,23,30,87.49,21,29.17,75,17.23,29.47,29.46,2.89,26.23,2.89,9.62,70.17,3.07,2.71,26.93,1.92,0,6.73,46.19,9.62,48.12,1.92,9.62,0,36.57,5.66,109.7,6.74,5.66,5.66,2.52,149.65,26.93,31.56,86.16,33,30,17,52.93,2.89,0

34,08:15-08:30,3.8,30.3,28,71.66,88,67.58,22.33,37,84,25,28,71.67,21.46,30.3,30.3,2.89,26.23,2.89,9.62,70.17,3.07,2.71,26.93,1.92,0,6.73,46.19,9.62,48.12,1.92,9.62,0,36.57,6.91,109.7,6.74,6.91,6.91,2.52,149.65,26.93,39.56,107.28,40,39,20,52.93,2.89,0

35,08:30-08:45,3.8,31.9,26.67,67,105,76.67,21.67,45,79.99,28,26.67,67,25.28,31.9,31.9,2.89,27.24,2.89,9.62,70.17,3.07,2.71,26.93,1.92,0,6.73,46.19,9.62,48.12,1.92,9.62,0,36.57,8.15,109.7,4.12,8.15,8.15,2.52,149.65,26.93,47.83,126.39,49,43,24,52.93,2.89,0

36,08:45-09:00,3.6,31.9,25,65,123,91.88,21.67,52,75,31,25,65,29.39,31.9,31.9,2.89,27.24,2.89,9.62,70.17,3.07,2.71,26.93,1.92,0,6.73,46.19,9.62,48.12,1.92,9.62,0,36.57,9.25,109.7,4.12,9.25,9.25,2.52,149.65,26.93,55.91,146.94,57,50,28,52.93,2.89,0

37,09:00-09:15,3.4,32.23,25,60,137,101.08,22.33,58,75,34,25,60,33.28,32.23,32.24,2.89,26.24,2.89,9.62,70.17,2.92,2.87,26.94,1.92,0,6.63,46.19,9.62,48.12,1.92,9.62,0,36.57,10.43,109.7,4.12,10.43,10.43,2.52,149.65,26.94,63.7,166.39,63,59,32,52.93,2.89,0

38,09:15-09:30,3.4,32.23,25,60,151,109.63,24.33,64,75,36,25,60,36.92,32.23,32.24,2.89,25.23,2.89,9.62,70.17,2.92,2.87,26.94,1.92,0,6.63,46.19,9.62,48.12,1.92,9.62,0,36.57,10.85,109.7,4.12,10.85,10.85,2.52,149.65,26.94,70.81,184.58,72,66,36,52.93,2.89,0

39,09:30-09:45,3.4,32.5,30,60.66,165,117.26,29.33,70,90,39,30,60.67,40.31,32.5,32.5,2.89,25.23,2.89,9.62,70.17,3.3,2.87,26.94,1.92,0,6.63,46.19,9.62,48.12,1.92,9.62,0,36.57,10.93,109.7,4.12,10.93,10.93,2.52,149.65,26.94,77.59,201.54,79,71,39,52.93,2.89,0

40,09:45-10:00,3.6,32.5,30.83,61,179,124.02,29.67,76,92.51,41,30.83,61,43.45,32.5,32.5,2.89,25.23,2.89,9.62,70.17,3.3,2.87,26.94,1.92,0,6.63,46.19,9.62,48.12,1.92,9.62,0,36.57,10.81,109.7,4.12,10.81,10.81,2.52,149.65,26.94,83.78,217.24,87,78,43,52.93,2.89,0

41,10:00-10:15,5,32.5,31.33,66.66,189,130.21,30,81,94.01,43,31.33,66.67,46.22,32.5,32.5,2.89,25.23,2.89,9.62,70.17,3.22,2.87,26.94,1.92,0,6.63,46.19,9.62,48.12,1.92,9.62,0,36.57,10.62,109.7,4.12,10.62,10.62,2.47,149.65,26.94,89.21,231.1,90,85,45,52.93,2.89,0

42,10:15-10:30,6,32.5,31.67,67.66,196,136,31.67,84,94.99,45,31.67,67.67,48.22,32.5,32.5,2.89,25.23,2.89,9.62,70.17,3.22,2.87,26.94,1.92,0,6.63,46.19,9.62,48.12,1.92,9.62,0,36.57,10.47,109.7,4.12,10.47,10.47,2.47,149.65,26.94,94.5,241.1,93,89,47,52.93,2.89,0

43,10:30-10:45,6,32.5,32,73.34,203,141.67,32.33,87,96,48,32,73.33,49.25,32.5,32.5,2.89,25.23,2.89,9.62,70.17,3.22,2.79,26.94,1.92,0,6.63,46.19,9.62,48.12,1.92,9.62,0,36.57,10.46,109.7,4.12,10.46,10.46,2.47,149.65,26.94,100,246.25,98,93,49,52.93,2.89,0

44,10:45-11:00,6,32.5,32.83,75,207,142.3,33,88,98.51,48,32.83,75,49.33,32.5,32.5,2.89,25.23,2.89,9.62,70.17,3.22,2.79,26.94,1.92,0,6.63,46.19,9.62,48.12,1.92,9.62,0,36.57,10.35,109.7,4.12,10.35,10.35,2.47,149.65,26.94,100,246.67,100,95,50,52.93,2.89,0

45,11:00-11:15,7,32.5,33.33,78.34,210,146.66,33.67,90,100.01,49,33.33,78.33,49.33,32.5,32.5,2.89,25.23,2.89,9.62,70.17,3.15,2.94,26.94,4.24,0,6.63,46.19,9.62,48.12,1.92,9.62,0,36.57,10.29,109.7,4.12,10.29,10.29,2.47,149.65,26.94,100,246.67,100,98,50,52.93,2.89,0

46,11:15-11:30,7,32.5,33.5,80,210,149.8,34.67,90,100.5,49,33.5,80,49.33,32.5,32.5,2.89,25.23,2.89,9.62,70.17,3.15,2.94,26.94,4.19,0,6.63,46.19,9.62,48.12,1.92,9.62,0,36.57,10.29,109.7,4.12,10.29,10.29,2.47,149.65,26.94,100,246.67,100,98,50,52.93,2.89,0

47,11:30-11:45,7,32.5,34.17,80,210,152.23,40,90,102.49,50,34.17,80,49.33,32.5,32.5,2.89,26.24,2.89,9.62,70.17,3.15,2.94,26.94,4.06,0,6.63,46.19,9.62,48.12,1.92,9.62,0,36.57,10.29,109.7,4.12,10.29,10.29,2.47,149.65,26.94,100,246.67,100,98,50,52.93,2.89,0

48,11:45-12:00,7,32.5,35,80,210,154.05,40,90,105,50,35,80,49.33,32.5,32.5,2.89,26.24,2.89,9.62,70.17,3.15,2.94,26.94,4.06,0,6.63,46.19,9.62,48.12,1.92,9.62,0,36.57,10.28,109.7,4.12,10.28,10.28,2.47,149.65,26.94,100,246.67,100,98,50,52.93,2.89,0

49,12:00-12:15,7,32.5,37.5,80,210,155.05,40,90,112.5,50,37.5,80,49.33,32.5,32.5,2.89,26.24,2.89,9.62,70.17,3.15,2.94,26.95,4.06,0,6.63,46.19,9.62,48.12,1.92,9.62,0,36.57,10.28,109.7,4.12,10.28,10.28,2.52,149.65,26.95,100,246.67,100,98,50,52.93,2.89,0

50,12:15-12:30,7,32.5,37.33,80,210,155.53,40,90,112.01,50,37.33,80,49.33,32.5,32.5,2.89,26.24,2.89,9.62,70.17,3.15,2.94,26.95,4.06,0,6.63,46.19,9.62,48.12,1.92,9.62,0,36.57,10.27,109.7,4.12,10.27,10.27,2.52,149.65,26.95,100,246.67,100,98,50,52.93,2.89,0

51,12:30-12:45,7,32.5,37.17,80,210,154.65,40,90,111.49,49,37.17,80,48.83,32.5,32.5,2.89,26.24,2.89,9.62,70.17,3.15,2.94,26.95,4.06,0,6.63,46.19,9.62,48.12,1.92,9.62,0,36.57,10.27,109.7,4.12,10.27,10.27,2.52,149.65,26.95,100,244.17,100,98,50,52.93,2.89,0

52,12:45-13:00,7,32.5,37,80,210,152.75,40,90,111,49,37,80,48.83,32.5,32.5,2.89,26.24,2.89,9.62,70.17,3.15,2.94,26.95,4.06,0,6.63,46.19,9.62,48.12,1.92,9.62,0,36.57,10.29,109.7,4.12,10.29,10.29,2.52,149.65,26.95,100,244.17,100,98,50,52.93,2.89,0

53,13:00-13:15,7,32.5,36.83,80,210,150.47,45,90,110.51,49,36.83,80,48.83,32.5,32.5,2.89,26.24,2.89,9.62,70.17,3.38,2.94,26.95,4.06,0,6.63,46.19,9.62,48.12,1.92,9.62,0,36.57,10.27,109.7,4.12,10.27,10.27,2.7,149.65,26.95,100,244.17,100,98,50,52.93,2.89,0

54,13:15-13:30,7,32.5,36.67,80,210,146.78,45,90,109.99,49,36.67,80,48.83,32.5,32.5,2.89,26.24,2.89,9.62,70.17,3.38,2.94,26.95,4.06,0,6.63,46.19,9.62,48.12,1.92,9.62,0,36.57,10.26,109.7,4.12,10.26,10.26,2.7,149.65,26.95,100,244.17,100,98,50,52.93,2.89,0

55,13:30-13:45,7,32.5,38.33,83.34,207,142.44,45,88,115.01,48,38.33,83.33,49.81,32.5,32.5,2.89,27.25,2.89,9.62,70.17,3.38,2.94,26.95,4.06,0,6.63,46.19,9.62,48.12,1.92,9.62,0,36.57,10.26,109.7,4.12,10.26,10.26,2.7,149.65,26.95,100,249.05,99,98,49,52.93,2.89,0

56,13:45-14:00,7,32.5,38.33,83.34,203,137.35,45,87,115.01,48,38.33,83.33,49.81,32.5,32.5,2.89,27.25,2.89,9.62,70.17,3.38,2.94,26.95,4.06,0,6.63,46.19,9.62,48.12,1.92,9.62,0,36.57,10.27,109.7,4.12,10.27,10.27,2.7,149.65,26.95,100,249.05,97,98,48,52.93,2.89,0

57,14:00-14:15,7,32.5,38.33,83.34,196,126.26,45,84,115.01,47,38.33,83.33,49.81,32.5,32.5,2.89,26.24,2.89,9.62,70.17,3.53,2.94,26.95,4.06,0,6.63,46.19,9.62,48.12,1.92,9.62,0,36.57,10.29,109.7,4.12,10.29,10.29,2.9,149.65,26.95,100,249.05,93,97,47,52.93,2.89,0

58,14:15-14:30,7,32.5,38.33,83.34,193,121.7,45,82,115.01,46,38.33,83.33,49.81,32.5,32.5,2.89,26.24,2.89,9.62,70.17,3.53,2.94,26.95,4.06,0,6.63,46.19,9.62,48.12,1.92,9.62,0,36.57,10.27,109.7,4.12,10.27,10.27,2.9,192.46,26.95,100,249.05,92,94,46,52.93,2.89,0

59,14:30-14:45,7.8,32.5,38.33,83.34,186,115.86,45,79,115.01,45,38.33,83.33,49.81,32.5,32.5,2.89,26.24,2.89,9.62,70.17,3.53,2.94,26.95,4.06,0,6.63,46.19,9.62,48.12,1.92,9.62,0,36.57,10.26,109.7,4.12,10.26,10.26,2.9,230.95,26.95,100,249.05,89,91,44,52.93,2.89,0

60,14:45-15:00,8.4,32.5,38.33,83.34,179,109.62,45,76,115.01,43,38.33,83.33,48.87,32.5,32.5,2.89,27.25,2.89,9.62,70.17,3.53,2.94,26.95,4.06,0,6.63,46.19,9.62,48.12,1.92,9.62,0,36.57,10.4,109.7,4.12,10.4,10.4,2.9,272.09,26.95,100,244.32,85,89,43,52.93,2.89,0

61,15:00-15:15,9.2,32.67,38.33,83.34,172,103.11,45,73,115.01,41,38.33,83.33,46.68,32.67,32.66,2.89,28.26,2.89,9.62,70.17,3.53,3.11,26.95,4.06,0,6.63,46.19,9.62,48.12,1.92,9.62,0,36.57,10.5,109.7,6.74,10.5,10.5,3.08,272.09,26.95,100,233.37,82,83,41,52.93,2.89,0

62,15:15-15:30,9.4,32.67,38.33,83.34,161,95.9,45,69,115.01,39,38.33,83.33,44.04,32.67,32.66,2.89,29.27,2.89,9.62,70.17,3.53,3.11,26.95,4.06,0,6.63,46.19,9.62,48.12,1.92,9.62,0,36.57,10.6,109.7,6.74,10.6,10.6,3.08,272.09,26.95,92.83,220.18,77,80,38,52.93,2.89,0

63,15:30-15:45,9.8,32.67,38.33,86.66,151,88.74,45,64,115.01,36,38.33,86.67,41.18,32.67,32.66,2.89,26.24,2.89,9.62,70.17,3.53,3.11,26.95,4.06,0,6.63,46.19,9.62,48.12,1.92,9.62,0,36.57,10.67,157.82,6.74,10.67,10.67,3.08,272.09,26.95,87.3,205.87,72,73,36,52.93,2.89,0

64,15:45-16:00,10,32.67,38.33,86.66,140,81.17,45,60,115.01,33,38.33,86.67,37.99,32.67,32.66,2.89,26.24,2.89,9.62,70.17,3.53,3.11,26.95,4.06,0,6.63,46.19,9.62,48.12,1.92,9.62,0,36.57,10.49,165.22,6.74,10.49,10.49,3.08,272.09,26.95,81.1,189.93,67,67,33,52.93,2.89,0

65,16:00-16:15,11,32.67,38.33,86,130,72.83,45,55,115.01,31,38.33,86,34.72,32.67,32.66,2.89,25.23,2.89,9.62,70.17,3.69,3.11,26.95,4.06,0,6.73,46.19,9.62,48.12,1.92,9.62,3.66,36.57,9.94,165.22,6.74,9.94,9.94,3.18,272.09,26.95,74.03,173.58,62,62,31,52.93,2.89,50

66,16:15-16:30,12.61,32.67,38.33,85.34,116,63.84,45,49,115.01,27,38.33,85.33,31.3,32.67,32.66,2.89,25.23,2.89,9.62,70.17,3.69,3.11,26.95,4.06,0,6.73,46.19,9.62,48.12,1.92,9.62,0,36.57,8.85,165.22,6.74,8.85,8.85,3.18,272.09,26.95,67.5,156.52,55,55,28,52.93,2.89,50

67,16:30-16:45,14.41,32.67,38.33,85,102,59.74,45,43,115.01,22,38.33,85,26.39,32.67,32.66,2.89,25.74,2.89,9.62,66.02,3.69,3.11,26.95,3.97,0,6.73,46.19,9.62,48.12,1.92,9.62,0,36.57,7.69,165.22,6.74,7.69,7.69,3.18,272.09,26.95,59.92,131.92,49,48,24,52.93,2.89,50

68,16:45-17:00,14.81,32.67,38.33,84.66,84,49.22,45,36,115.01,19,38.33,84.67,22.86,32.67,32.66,2.89,25.74,2.89,9.62,66.02,3.69,3.11,26.95,3.97,0,6.73,46.19,9.62,48.12,1.92,9.62,0,36.57,6.62,165.22,6.74,6.62,6.62,3.18,272.09,26.95,52.39,114.31,40,42,20,100.25,2.89,50

