Block,Time,KOTESHWR,AURY_GF,DADRT2,TANDA2,KOLDAM,UNCHAHAR3,SINGRAULI,ANTA_CRF,SEWA2,URI,UNCHAHAR4,DADRI_LF,NJPC,UNCHAHAR2,RIHAND2,JHAJJAR,KISHANGANGA,CHAMERA1,RIHAND1,DADRI_CRF,AURY_RF,TANAKPUR,DADRI_GF,AURY_CRF,RIHAND3,DHAULIGNGA,SINGRAULI_HYDRO,BSIUL,RAPPB,RAPPC,DADRI_RF,ANTA_RF,SALAL,DULHASTI,ANTA_GF,URI2,TEHRI,ANTA_LF,RAMPUR,UNCHAHAR1,PARBATI3,CHAMERA2,AURY_LF,CHAMERA3,NAPP,KUDGI,BRBCL,SASAN,KHSTPP-II,KHSTPP-I,TALA,FSTPP I & II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
11,02:30-02:45,8.591807,0.000000,289.959634,0.000000,0.000000,12.499462,100.208700,0.000000,0.000000,42.755712,0.000000,0.000000,22.005250,20.292601,56.726838,330.156200,0.000000,0.000000,89.074400,0.000000,0.000000,6.449374,0.000000,0.000000,119.733058,1.278992,0.759388,6.313439,0.000000,25.432968,0.000000,0.000000,12.938057,31.909649,0.000000,10.419381,0.000000,0.000000,0.000000,9.623908,0.000000,0.000000,0.000000,0.000000,40.017255,0.00,15.505146,405.453114,94.079316,36.529121,4.269762,9.932377,0,0,0,0,0

12,02:45-03:00,8.591807,0.000000,289.959634,0.000000,0.000000,12.499462,100.208700,0.000000,0.000000,42.755712,0.000000,0.000000,22.005250,20.292601,56.726838,330.156200,0.000000,0.000000,89.074400,0.000000,0.000000,6.449374,0.000000,0.000000,119.733058,1.278992,0.759388,6.313439,0.000000,25.432968,0.000000,0.000000,12.938057,31.909649,0.000000,10.419381,0.000000,0.000000,0.000000,9.623908,0.000000,0.000000,0.000000,0.000000,40.017255,0.00,16.871772,405.453114,94.079316,36.529121,4.269762,9.932377,0,0,0,0,0

13,03:00-03:15,8.591807,0.000000,289.959634,0.000000,0.000000,12.499462,100.208700,0.000000,0.000000,14.964499,0.000000,0.000000,22.005250,20.292601,56.726838,330.156200,0.000000,0.000000,89.074400,0.000000,0.000000,6.449374,0.000000,0.000000,119.733058,1.278992,0.759388,6.313439,0.000000,25.432968,0.000000,0.000000,23.626016,31.909649,0.000000,10.419381,0.000000,0.000000,0.000000,9.623908,0.000000,0.000000,0.000000,0.000000,40.017255,0.00,17.106134,405.453114,94.079316,36.529121,4.269762,9.932377,0,0,0,0,0

14,03:15-03:30,8.591807,0.000000,289.959634,0.000000,0.000000,12.499462,100.208700,0.000000,0.000000,14.964499,0.000000,0.000000,22.005250,20.292601,56.726838,330.156200,0.000000,0.000000,89.074400,0.000000,0.000000,6.449374,0.000000,0.000000,119.733058,1.278992,0.759388,6.313439,0.000000,25.432968,0.000000,0.000000,23.626016,31.909649,0.000000,10.419381,0.000000,0.000000,0.000000,9.623908,0.000000,0.000000,0.000000,0.000000,40.017255,0.00,17.380146,405.453114,94.079316,36.529121,4.269762,9.932377,0,0,0,0,0

15,03:30-03:45,8.591807,0.000000,289.959634,0.000000,0.000000,12.499462,100.208700,0.000000,0.000000,14.964499,0.000000,0.000000,22.005250,20.292601,56.726838,330.156200,0.000000,0.000000,89.074400,0.000000,0.000000,6.449374,0.000000,0.000000,119.733058,1.278992,0.759388,6.313439,0.000000,25.432968,0.000000,0.000000,23.626016,31.909649,0.000000,10.419381,0.000000,0.000000,0.000000,9.623908,0.000000,0.000000,0.000000,0.000000,40.017255,0.00,17.568907,405.453114,94.079316,36.529121,4.269762,9.932377,0,0,0,0,0

16,03:45-04:00,8.591807,0.000000,289.959634,0.000000,0.000000,12.499462,100.208700,0.000000,0.000000,14.964499,0.000000,0.000000,22.005250,20.292601,56.726838,330.156200,0.000000,0.000000,89.074400,0.000000,0.000000,6.449374,0.000000,0.000000,119.733058,1.278992,0.759388,6.313439,0.000000,25.432968,0.000000,0.000000,23.626016,31.909649,0.000000,10.419381,0.000000,0.000000,0.000000,9.623908,0.000000,0.000000,0.000000,0.000000,40.017255,0.00,16.836562,405.453114,94.079316,36.529121,4.269762,9.932377,0,0,0,0,0

17,04:00-04:15,8.591807,0.000000,289.959634,0.000000,0.000000,12.499462,100.208700,0.000000,0.000000,14.964499,0.000000,0.000000,22.005250,20.292601,56.726838,330.156200,0.000000,0.000000,89.074400,0.000000,0.000000,6.449374,0.000000,0.000000,119.733058,1.278992,0.759388,0.000000,0.000000,25.432968,0.000000,0.000000,23.626016,31.909649,0.000000,10.419381,0.000000,0.000000,0.000000,9.623908,0.000000,0.000000,0.000000,0.000000,40.017255,0.00,18.878128,405.453114,94.079316,36.529121,4.269762,9.932377,0,0,0,0,0

18,04:15-04:30,8.591807,0.000000,289.959634,0.000000,0.000000,12.499462,100.208700,0.000000,0.000000,14.964499,0.000000,0.000000,22.005250,20.292601,56.726838,330.156200,0.000000,0.000000,89.074400,0.000000,0.000000,6.449374,0.000000,0.000000,119.733058,1.278992,0.759388,0.000000,0.000000,25.432968,0.000000,0.000000,23.626016,31.909649,0.000000,10.419381,0.000000,0.000000,0.000000,9.623908,0.000000,0.000000,0.000000,0.000000,40.017255,0.00,19.364004,405.453114,94.079316,36.529121,4.269762,9.932377,0,0,0,0,0

19,04:30-04:45,8.591807,0.000000,289.959634,0.000000,0.000000,12.499462,100.208700,0.000000,0.000000,10.688928,0.000000,0.000000,22.005250,20.292601,56.726838,330.156200,0.000000,0.000000,89.074400,0.000000,0.000000,6.449374,0.000000,0.000000,119.733058,1.278992,0.759388,0.000000,0.000000,25.432968,0.000000,0.000000,23.626016,31.909649,0.000000,10.419381,0.000000,0.000000,0.000000,9.623908,0.000000,0.000000,0.000000,0.000000,40.017255,0.00,19.364004,405.453114,94.079316,36.529121,4.269762,9.932377,0,0,0,0,0

20,04:45-05:00,8.591807,0.000000,289.959634,0.000000,0.000000,12.499462,100.208700,0.000000,0.000000,10.688928,0.000000,0.000000,22.005250,20.292601,56.726838,330.156200,0.000000,0.000000,89.074400,0.000000,0.000000,6.449374,0.000000,0.000000,119.733058,1.278992,0.759388,0.000000,0.000000,25.432968,0.000000,0.000000,23.626016,31.909649,0.000000,10.419381,0.000000,0.000000,0.000000,9.623908,0.000000,12.647984,0.000000,0.000000,40.017255,0.00,19.364004,405.453114,94.079316,42.734993,4.269762,13.436776,0,0,0,0,0

21,05:00-05:15,8.591807,0.000000,289.959634,0.000000,0.000000,12.499462,100.208700,0.000000,4.129954,10.688928,0.000000,0.000000,22.005250,20.292601,56.726838,330.156200,0.000000,0.000000,89.074400,0.000000,0.000000,6.449374,0.000000,0.000000,119.733058,1.278992,0.759388,0.000000,0.000000,25.432968,0.000000,0.000000,23.626016,31.909649,0.000000,11.721804,0.000000,0.000000,0.000000,9.623908,0.000000,12.751233,0.000000,0.000000,40.017255,0.00,19.364004,405.453114,94.079316,42.734993,4.269762,13.436776,0,0,0,0,0

22,05:15-05:30,8.591807,0.000000,328.310220,0.000000,0.000000,12.499462,100.208700,0.000000,5.110818,10.688928,0.000000,0.000000,41.809974,23.675272,56.726838,330.156200,0.000000,0.000000,89.074400,0.000000,0.000000,6.449374,0.000000,0.000000,119.733058,1.278992,0.759388,0.000000,0.000000,25.432968,0.000000,0.000000,23.626016,31.909649,0.000000,11.721804,15.066160,0.000000,0.000000,9.623908,0.000000,12.647984,0.000000,0.000000,40.017255,0.00,19.364004,405.453114,94.079316,42.734993,4.269762,13.436776,0,0,0,0,0

23,05:30-05:45,8.591807,0.000000,330.698489,0.000000,0.000000,19.076541,100.208700,0.000000,15.301479,47.031283,0.000000,0.000000,59.597551,23.677137,56.726838,439.078700,0.000000,8.413658,89.074400,0.000000,0.000000,6.449374,0.000000,0.000000,119.733058,8.825046,0.759388,0.000000,0.000000,25.432968,0.000000,0.000000,23.626016,31.909649,0.000000,11.721804,30.132320,0.000000,0.000000,15.566236,3.081296,12.647984,0.000000,0.000000,40.017255,0.00,19.364004,405.453114,94.079316,42.734993,4.269762,13.436776,0,0,0,0,0

24,05:45-06:00,17.183614,0.000000,330.698489,0.000000,0.000000,19.076541,100.208700,0.000000,15.301479,47.031283,0.000000,0.000000,82.519686,23.677137,56.726838,443.758301,0.000000,8.413658,89.074400,0.000000,0.000000,6.449374,0.000000,0.000000,119.733058,17.650092,0.759388,0.000000,0.000000,25.432968,0.000000,0.000000,23.626016,31.909649,0.000000,11.721804,45.198481,0.000000,0.000000,15.566236,6.162593,25.425029,0.000000,0.000000,40.017255,0.00,19.364004,405.453114,94.079316,42.734993,4.269762,13.436776,0,0,0,0,0

25,06:00-06:15,25.775420,0.000000,326.167894,0.000000,0.000000,16.171941,100.208700,0.000000,15.301479,10.688928,0.000000,0.000000,100.857394,19.804337,56.726838,355.464851,0.000000,27.153169,89.074400,0.000000,0.000000,7.441585,0.000000,0.000000,119.733058,26.475139,0.759388,3.195060,0.000000,25.432968,0.000000,0.000000,23.626016,47.864474,0.000000,11.721804,60.264641,0.000000,0.000000,12.857837,31.660938,25.425029,0.000000,9.370085,40.017255,0.00,19.364004,405.453114,94.079316,42.734993,4.269762,10.570867,0,0,0,0,0

26,06:15-06:30,28.639356,0.000000,284.499567,0.000000,0.000000,12.499462,100.208700,0.000000,15.301479,10.688928,0.000000,0.000000,135.882416,16.429483,56.726838,330.156200,0.000000,40.767997,89.074400,0.000000,0.000000,7.441585,0.000000,0.000000,119.733058,35.382040,0.759388,18.940316,0.000000,25.432968,0.000000,0.000000,23.626016,47.864474,0.000000,11.721804,60.264641,0.000000,0.000000,9.623908,31.660938,38.253698,0.000000,28.138611,40.017255,0.00,19.364004,405.453114,94.079316,42.734993,4.269762,9.563976,0,0,0,0,0

27,06:30-06:45,28.639356,0.000000,284.199425,0.000000,0.000000,12.499462,100.208700,0.000000,15.301479,10.688928,0.000000,0.000000,135.882416,16.429483,56.726838,332.092600,0.000000,40.767997,89.074400,0.000000,0.000000,6.201321,0.000000,0.000000,119.733058,35.382040,0.759388,18.940316,0.000000,25.432968,0.000000,0.000000,23.626016,47.864474,0.000000,9.768170,60.264641,0.000000,0.000000,9.623908,31.660938,38.253698,0.000000,28.138611,19.233099,0.00,19.364004,405.453114,94.079316,42.734993,4.269762,6.059577,0,0,0,0,0

28,06:45-07:00,28.639356,0.000000,284.199425,0.000000,0.000000,12.499462,100.208700,0.000000,15.301479,10.688928,0.000000,0.000000,135.882416,16.429483,56.726838,332.092600,0.000000,40.767997,89.074400,0.000000,0.000000,6.201321,0.000000,0.000000,119.733058,35.382040,0.759388,18.940316,0.000000,25.432968,0.000000,0.000000,23.626016,47.864474,0.000000,9.768170,60.264641,0.000000,0.000000,9.623908,31.660938,38.253698,0.000000,28.138611,19.233099,0.00,19.364004,405.453114,94.079316,42.734993,4.269762,6.059577,0,0,0,0,0

29,07:00-07:15,28.639356,0.000000,284.199425,0.000000,0.000000,12.499462,100.208700,0.000000,15.301479,10.688928,0.000000,0.000000,135.882416,16.429483,56.726838,332.092600,0.000000,40.767997,89.074400,0.000000,0.000000,6.201321,0.000000,0.000000,119.733058,35.382040,0.759388,18.940316,0.000000,25.432968,0.000000,0.000000,23.626016,47.864474,0.000000,9.768170,60.264641,0.000000,0.000000,9.623908,31.660938,38.253698,0.000000,28.138611,19.233099,0.00,19.364004,405.453114,94.079316,42.734993,4.269762,9.563976,0,0,0,0,0

30,07:15-07:30,17.183614,0.000000,293.571601,0.000000,0.000000,12.499462,100.208700,0.000000,15.301479,10.688928,0.000000,0.000000,100.857394,16.429483,56.726838,332.092600,0.000000,19.886828,89.074400,0.000000,0.000000,6.201321,0.000000,0.000000,119.733058,26.475139,0.759388,6.313439,0.000000,25.432968,0.000000,0.000000,23.626016,31.909649,0.000000,9.768170,60.264641,0.000000,0.000000,9.623908,31.660938,38.253698,0.000000,9.370085,19.233099,0.00,19.364004,405.453114,94.079316,42.734993,4.269762,9.563976,0,0,0,0,0

31,07:30-07:45,8.591807,0.000000,293.571601,0.000000,0.000000,12.499462,100.208700,0.000000,15.301479,10.688928,0.000000,0.000000,82.519686,16.429483,56.726838,332.092600,0.000000,8.413658,89.074400,0.000000,0.000000,6.201321,0.000000,0.000000,119.733058,17.650092,0.759388,6.313439,0.000000,25.432968,0.000000,0.000000,23.626016,15.954825,0.000000,11.721804,60.264641,0.000000,0.000000,9.623908,3.697556,25.425029,0.000000,0.000000,19.233099,0.00,19.364004,405.453114,94.079316,42.734993,4.269762,9.563976,0,0,0,0,0

32,07:45:08:00,8.591807,0.000000,284.199425,0.000000,0.000000,12.499462,100.208700,0.000000,15.301479,47.031283,0.000000,0.000000,59.597551,16.429483,56.726838,332.092600,0.000000,0.000000,89.074400,0.000000,0.000000,6.201321,0.000000,0.000000,119.733058,8.825046,0.759388,6.313439,0.000000,25.432968,0.000000,0.000000,23.626016,15.954825,0.000000,30.883045,60.264641,0.000000,0.000000,9.623908,0.000000,12.647984,0.000000,0.000000,19.233099,0.00,19.364004,405.453114,94.079316,42.734993,4.269762,9.563976,0,0,0,0,0

33,08:00-08:15,8.591807,0.000000,284.199425,0.000000,0.000000,12.499462,100.208700,0.000000,15.301479,47.031283,0.000000,0.000000,41.259843,16.429483,56.726838,332.092600,0.000000,0.000000,89.074400,0.000000,0.000000,6.201321,0.000000,0.000000,119.733058,8.825046,0.759388,6.313439,0.000000,25.432968,0.000000,0.000000,12.938057,15.954825,0.000000,30.883045,60.264641,0.000000,0.000000,9.623908,0.000000,12.647984,0.000000,0.000000,19.233099,0.00,19.364004,405.453114,94.079316,42.734993,4.269762,9.563976,0,0,0,0,0

