Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/27356/A/77719,NR/2025/27622/A/77583,NR/2025/28037/C,NR/2025/26777/A/77654,NR/2025/28038/C,NR/2025/26569/A/77964,NR/2025/27985/C,NR/2025/28067/C,NR/2025/27782/A/77991,NR/2025/27499/A/77994,NR/2025/26570/A/77965,NR/2025/28068/C,NR/2025/28076/C,NR/2025/27361/A/77716,SR/2025/17354/C,NR/2025/28071/C,NR/2025/28077/C,NR/2025/28082/C,NR/2025/27987/C,NR/2025/26564/A/77963,NR/2025/28083/C,NR/2025/28058/C,NR/2025/27168/A/77747,NR/2025/28005/C,NR/2025/27726/A/78000,NR/2025/27462/A/77586,NR/2025/28078/C,NR/2025/28073/C,NR/2025/27728/A/77999,NR/2025/27088/A/78015,NR/2025/28079/C,NR/2025/26861/A/77977,NR/2025/26860/A/77966,NR/2025/26975/A/78003,NR/2025/26445/A/78019,NR/2025/26561/A/77961,NR/2025/27727/A/77992,NR/2025/26952/A/77557,NR/2025/27162/A/78002,NR/2025/26889/A/77995,NR/2025/28035/C,NR/2025/26785/A/77595,NR/2025/27281/A/78070,NR/2025/26563/A/77962,NR/2025/28036/C,NR/2025/27157/A/77653,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/2569,NR/2025/27360/A/77717,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/2025/27242/A/77754,NR/2025/27724/A/77691,NR/2025/27359/A/77718,NR/2025/27393/A/77714,NR/2025/27167/A/77746,NR/2025/27725/A/78001,GNA/NR/2025/06/01/7782,NR/2025/26085/A/77593,GNA/NR/2025/06/01/5280,NR/01082024/19092033/Chanju/TPDDL/01082024,Total
30,07:15-07:30,15.5,35,0,0,135.13,0,0,0,0,8.77,0,0,0,28.96,0,0,0,108.45,0,0,0,0,0,16.89,0,26.32,9.65,0,0,26.32,135.13,0,0,74.32,5.79,96.52,144.78,26.32,0,55.92,0,0,0,24.85,0,0,0,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,0,26.94,26.94,0,9.65,0,0,16.89,8.77,11.89,0.87,11.9,10.99,1447.8900000000003

31,07:30-07:45,21.08,49,0,0,135.13,0,0,0,0,8.77,0,0,0,28.96,0,0,0,108.45,0,0,0,0,0,16.89,0,26.32,9.65,0,0,26.32,135.13,0,0,74.32,5.79,96.52,144.78,26.32,0,55.92,0,0,0,24.85,0,0,0,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,0,26.94,26.94,0,9.65,0,0,16.89,8.77,11.89,0.87,11.9,10.99,1467.4700000000007

32,07:45-08:00,27.27,63,0,0,135.13,0,0,0,0,8.77,0,0,0,28.96,0,0,0,108.45,0,0,0,0,0,16.89,0,26.32,9.65,0,0,26.32,135.13,0,0,74.32,5.79,96.52,144.78,26.32,0,55.92,0,0,0,24.85,0,0,0,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,0,26.94,26.94,0,9.65,0,0,16.89,8.77,11.89,0.87,11.9,10.99,1487.6600000000003

33,08:00-08:15,33.94,77,5.79,0,135.13,0,0,0,0,14.62,0,0,0,28.96,0,0,0,108.45,0,0,0,0,0,16.89,0,43.87,9.65,0,0,37.3,135.13,0,0,74.32,5.79,96.52,144.78,43.87,0,55.92,0,0,0,24.85,0,0,0,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,0,26.94,26.94,0,9.65,0,0,16.89,14.62,11.89,0.97,11.9,10.9,1571.9100000000003

34,08:15-08:30,40.65,91,5.79,0,135.13,0,0,0,0,14.62,0,0,0,28.96,0,0,0,108.45,0,0,0,0,0,16.89,0,43.87,9.65,0,0,37.3,135.13,0,0,74.32,5.79,96.52,144.78,43.87,0,55.92,0,0,0,24.85,0,0,0,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,0,26.94,26.94,0,10.62,0,0,16.89,14.62,11.89,0.97,11.9,10.9,1593.5900000000001

35,08:30-08:45,47.35,105,5.79,0,135.13,0,0,0,0,14.62,0,0,0,28.96,0,0,0,108.45,0,0,0,0,0,16.89,0,43.87,9.65,0,0,37.3,135.13,0,0,74.32,5.79,96.52,144.78,43.87,0,55.92,0,0,0,24.85,0,0,0,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,0,26.94,26.94,0,10.62,0,0,16.89,14.62,11.89,0.97,11.9,10.9,1614.29

36,08:45-09:00,54.18,119,5.79,0,135.13,0,0,0,0,14.62,0,0,0,28.96,0,0,0,108.45,0,0,0,0,0,16.89,0,43.87,9.65,0,0,37.3,135.13,0,0,74.32,5.79,96.52,144.78,43.87,0,55.92,0,0,0,24.85,0,0,0,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,0,26.94,26.94,0,10.62,0,0,16.89,14.62,11.89,0.97,11.9,10.9,1635.1200000000003

37,09:00-09:15,60.82,133,8.69,128.97,0,74.32,0,24.85,5.79,0,0,0,55.92,28.96,0,0,135.13,108.45,9.65,53.09,0,29.92,135.13,16.89,0,0,0,29.92,9.65,0,0,29.92,0,0,0,96.52,15.81,0,0,0,0,0,0,0,0,0,0,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,0,26.95,26.95,0,10.62,0,0,16.89,0,11.89,0.97,11.9,10.81,1656.8100000000004

38,09:15-09:30,66.48,147,8.69,128.97,0,74.32,0,24.85,5.79,0,0,0,55.92,28.96,0,0,135.13,108.45,9.65,53.09,0,29.92,135.13,16.89,0,0,0,29.92,9.65,0,0,29.92,0,0,0,96.52,15.81,0,0,0,0,0,0,0,0,0,0,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,0,26.95,26.95,0,11.58,0,0,16.89,0,11.89,0.97,11.9,10.81,1677.4300000000007

39,09:30-09:45,74.3,161,8.69,128.97,0,74.32,0,24.85,5.79,0,0,0,55.92,28.96,0,0,135.13,108.45,9.65,53.09,0,29.92,135.13,16.89,0,0,0,29.92,9.65,0,0,29.92,0,0,0,96.52,15.81,0,0,0,0,0,0,0,0,0,0,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,0,26.95,26.95,0,11.58,0,0,16.89,0,11.89,0.97,11.9,10.81,1699.250000000001

40,09:45-10:00,79.61,172,8.69,128.97,0,74.32,0,24.85,5.79,0,0,0,55.92,28.96,0,0,135.13,108.45,9.65,53.09,0,29.92,135.13,16.89,0,0,0,29.92,9.65,0,0,29.92,0,0,0,96.52,15.81,0,0,0,0,0,0,0,0,0,0,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,0,26.95,26.95,0,11.58,0,0,16.89,0,11.89,0.97,11.9,10.81,1715.5600000000009

