Column1,Block,NR/2025/32098/C,GNARE/NR/2024/12/20/3668,NR/2025/31136/A/91020,NR/2025/31136/A/91021,NR/2025/31137/A/91022,NR/2025/31137/A/91023,NR/2025/31138/A/91026,NR/2025/31138/A/91029,NR/2025/31347/A/90537,NR/2025/29985/A/90988,NR/2025/31992/C,NR/2025/31979/C,NR/2025/30067/A/91058,NR/2025/27973/A/91041,NR/2025/30121/A/90543,NR/2025/29167/A/90611,NR/2025/29439/A/90695,NR/2025/31420/A/90802,NR/2025/31419/A/90803,NR/2025/30082/A/91118,NR/2025/27975/A/91042,NR/2025/30083/A/91078,NR/2025/30217/A/91069,NR/2025/30105/A/91070,NR/2025/27965/A/91039,NR/2025/27966/A/91040,NR/2025/30084/A/91074,NR/2025/29910/A/91086,NR/2025/29992/A/90643,NR/2025/27978/A/91127,NR/2025/29915/A/90609,NR/2025/31780/A/90986,NR/2025/30086/A/91072,NR/2025/29628/A/91091,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/23/7329,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/01/8139,NR/30092023/31122025/SH-07,NR/2025/28728/A/91009,NR/30092023/26122029/SH-06,NR/2025/32040/C,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/16/5917,GNA/NR/2025/07/01/3109,NR/2025/31978/C,NR/2025/29353/A/91054,NR/2025/30101/A/91123,NR/2025/32095/C,NR/2025/32093/C,NR/2025/31870/A/90949,NR/2025/32094/C,NR/2025/29440/A/90522,NR/2025/32007/C,NR/2025/32096/C,NR/2025/32097/C,NR/2025/32071/C,NR/2025/32072/C,NR/2025/32055/C,NR/2025/32090/C,NR/2025/32043/C,NR/2025/32086/C,NR/2025/32044/C,NR/2025/30191/A/90540,NR/2025/32091/C,NR/2025/32092/C,NR/2025/32092/C/Alternate/1,NR/2025/29352/A/91056,GNA/NR/2025/07/01/2786,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/16/7255,Total
3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,0,0,204.23,96.11,6.73,54.06,25.07,0,0,48.06,0,8.74,7.69,17.47,96.11,0,26.21,19.22,44.21,96.11,20.42,96.11,26.21,105.72,20.73,134.79,49.02,0,32,81.69,32,0,15.23,81.69,19.22,0,81.69,48.06,0,0,12.49,0,0.91,0,0,0,0,0,0,0,0,0,0,48.06,0,0,192.22,28.59,43.68,13.16,163.39,2097.1000000000004

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,0,0,204.23,96.11,6.73,54.06,25.07,0,0,48.06,0,8.74,7.69,17.47,96.11,0,26.21,19.22,44.21,96.11,20.42,96.11,26.21,105.72,20.73,134.79,49.02,0,32,81.69,32,0,15.23,81.69,19.22,0,81.69,48.06,0,0,12.49,0,0.91,0,0,0,0,0,0,0,0,0,0,48.06,0,0,192.22,28.59,43.68,13.16,163.39,2097.1000000000004

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,0,0,204.23,96.11,6.73,54.06,25.07,0,0,48.06,0,8.74,7.69,17.47,96.11,0,26.21,19.22,44.21,96.11,20.42,96.11,26.21,105.72,20.73,134.79,49.02,0,32,81.69,32,0,15.23,81.69,19.22,0,81.69,48.06,0,0,12.49,0,0.77,0,0,0,0,0,0,0,0,0,0,48.06,0,0,192.22,28.59,43.68,13.16,163.39,2096.9600000000005

6,01:15-01:30,0,0,0,0,0,0,0,0,0,0,0,0,204.23,96.11,6.73,54.06,25.07,0,0,48.06,0,8.74,7.69,17.47,96.11,0,26.21,19.22,44.21,96.11,20.42,96.11,26.21,105.72,20.73,134.79,49.02,0,32,81.69,32,0,15.23,81.69,19.22,0,81.69,48.06,0,0,12.49,0,0.77,0,0,0,0,0,0,0,0,0,0,48.06,0,0,192.22,28.59,43.68,13.16,163.39,2096.9600000000005

7,01:30-01:45,0,0,0,0,0,0,0,0,0,0,0,0,204.23,96.11,6.73,54.06,25.07,0,0,48.06,0,8.74,7.69,17.47,96.11,0,26.21,19.22,44.21,96.11,20.42,96.11,26.21,105.72,20.73,134.79,49.02,0,30,81.69,30,0,15.23,81.69,19.22,0,81.69,48.06,0,0,12.49,0,0.77,0,0,0,0,0,0,0,0,0,0,48.06,0,0,192.22,28.59,43.68,13.16,163.39,2092.9600000000005

8,01:45-02:00,0,0,0,0,0,0,0,0,0,0,0,0,204.23,96.11,6.73,54.06,25.07,0,0,48.06,0,8.74,7.69,17.47,96.11,0,26.21,19.22,44.21,96.11,20.42,96.11,26.21,105.72,20.73,134.79,49.02,0,30,81.69,30,0,15.23,81.69,19.22,0,81.69,48.06,0,0,12.49,0,0.77,0,0,0,0,0,0,0,0,0,0,48.06,0,0,192.22,28.59,43.68,13.16,163.39,2092.9600000000005

9,02:00-02:15,0,0,0,0,0,0,0,0,0,0,0,0,204.23,96.11,6.73,54.06,0,0,0,48.06,0,8.74,7.69,17.47,96.11,0,26.21,19.22,44.21,96.11,20.42,0,26.21,105.72,20.73,134.79,49.02,0,23.64,81.69,30,0,15.23,81.69,19.22,0,81.69,48.06,0,0,12.49,0,0.67,0,0,0,0,0,0,0,0,0,0,48.06,0,0,192.22,28.59,43.68,13.16,163.39,1965.3200000000006

10,02:15-02:30,0,0,0,0,0,0,0,0,0,0,0,0,204.23,96.11,6.73,54.06,0,0,0,48.06,0,8.74,7.69,17.47,96.11,0,26.21,19.22,44.21,96.11,20.42,0,26.21,105.72,20.73,134.79,49.02,0,23.64,81.69,30,0,15.23,81.69,19.22,0,81.69,48.06,0,0,12.49,0,0.67,0,0,0,0,0,0,0,0,0,0,48.06,0,0,192.22,28.59,43.68,13.16,163.39,1965.3200000000006

11,02:30-02:45,0,0,0,0,0,0,0,0,0,0,0,0,204.23,96.11,6.73,54.06,0,0,0,48.06,0,8.74,7.69,17.47,96.11,0,26.21,19.22,44.21,96.11,20.42,0,26.21,105.72,20.73,134.79,49.02,0,23.64,81.69,30,0,15.23,81.69,19.22,0,81.69,48.06,0,0,12.49,0,0.67,0,0,0,0,0,0,0,0,0,0,48.06,0,0,192.22,28.59,43.68,13.16,163.39,1965.3200000000006

12,02:45-03:00,0,0,0,0,0,0,0,0,0,0,0,0,204.23,96.11,6.73,54.06,0,0,0,48.06,0,8.74,7.69,17.47,96.11,0,26.21,19.22,44.21,96.11,20.42,0,26.21,105.72,20.73,134.79,49.02,0,23.64,81.69,30,0,15.23,81.69,19.22,0,81.69,48.06,0,0,12.49,0,0.67,0,0,0,0,0,0,0,0,0,0,48.06,0,0,192.22,28.59,43.68,13.16,163.39,1965.3200000000006

13,03:00-03:15,0,0,0,0,0,0,0,0,0,0,0,0,0,96.11,6.73,54.06,0,0,0,48.06,0,8.74,7.69,17.47,96.11,0,26.21,19.22,44.21,96.11,0,0,26.21,76.52,20.73,134.79,0,0,23.64,81.69,30,0,15.23,81.69,19.22,0,81.69,48.06,0,0,12.49,0,0.62,0,0,0,0,0,0,0,0,0,0,48.06,0,192.22,0,28.59,43.68,13.16,163.39,1662.4

14,03:15-03:30,0,0,0,0,0,0,0,0,0,0,0,0,0,96.11,6.73,54.06,0,0,0,48.06,0,8.74,7.69,17.47,96.11,0,26.21,19.22,44.21,96.11,0,0,26.21,76.52,20.73,134.79,0,0,23.64,81.69,30,0,15.23,81.69,19.22,0,81.69,48.06,0,0,12.49,0,0.62,0,0,0,0,0,0,0,0,0,0,48.06,0,192.22,0,28.59,43.68,13.16,163.39,1662.4

15,03:30-03:45,0,0,0,0,0,0,0,0,0,0,0,0,0,96.11,6.73,54.06,0,0,0,48.06,0,8.74,7.69,17.47,96.11,0,26.21,19.22,44.21,96.11,0,0,26.21,76.52,20.73,134.79,0,0,23.64,81.69,30,0,15.23,81.69,19.22,0,81.69,48.06,0,0,12.49,0,0.62,0,0,0,0,0,0,0,0,0,0,48.06,0,192.22,0,28.59,43.68,13.16,163.39,1662.4

16,03:45-04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,96.11,6.73,54.06,0,0,0,48.06,0,8.74,7.69,17.47,96.11,0,26.21,19.22,44.21,96.11,0,0,26.21,76.52,20.73,134.79,0,0,23.64,81.69,30,0,15.23,81.69,19.22,0,81.69,48.06,0,0,12.49,0,0.62,0,0,0,0,0,0,0,0,0,0,48.06,0,192.22,0,28.59,43.68,13.16,163.39,1662.4

17,04:00-04:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,0,0,48.06,0,8.74,7.69,17.47,0,0,26.21,19.22,44.21,96.11,0,0,26.21,76.52,20.73,134.79,0,0,26.5,81.69,26.5,0,15.23,81.69,19.22,0,81.69,48.06,0,0,12.49,0,0.62,0,0,0,0,0,0,0,0,0,0,48.06,0,192.22,0,28.59,43.68,13.16,163.39,1415.48

18,04:15-04:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,0,0,48.06,0,8.74,7.69,17.47,0,0,26.21,19.22,44.21,96.11,0,0,26.21,76.52,20.73,134.79,0,0,26.5,81.69,26.5,0,15.23,81.69,19.22,0,81.69,48.06,0,0,12.49,0,0.62,0,0,0,0,0,0,0,0,0,0,48.06,0,192.22,0,28.59,43.68,13.16,163.39,1415.48

19,04:30-04:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,0,0,48.06,0,8.74,7.69,17.47,0,0,26.21,19.22,44.21,96.11,0,0,26.21,76.52,20.73,134.79,0,0,26.5,81.69,26.5,0,15.23,81.69,19.22,0,81.69,48.06,0,0,12.49,0,0.62,0,0,0,0,0,0,0,0,0,0,48.06,0,192.22,0,28.59,43.68,13.16,163.39,1415.48

20,04:45-05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,0,0,48.06,0,8.74,7.69,17.47,0,0,26.21,19.22,44.21,96.11,0,0,26.21,76.52,20.73,134.79,0,0,26.5,81.69,26.5,0,15.23,81.69,19.22,0,81.69,48.06,0,0,12.49,0,0.62,0,0,0,0,0,0,0,0,0,0,48.06,0,192.22,0,28.59,43.68,13.16,163.39,1415.48

21,05:00-05:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,0,0,48.06,0,8.74,7.69,17.47,0,0,26.21,16.57,44.21,96.11,0,0,26.21,76.52,20.73,134.79,0,0,26.5,81.69,26.5,0,15.23,81.69,19.22,0,81.69,48.06,0,0,12.49,0,0.62,0,0,0,0,0,0,0,0,0,0,48.06,0,192.22,0,28.59,43.68,17.75,163.39,1417.42

22,05:15-05:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,0,0,48.06,0,8.74,7.69,17.47,0,0,26.21,16.57,44.21,96.11,0,0,26.21,76.52,20.73,134.79,0,0,26.5,81.69,26.5,0,15.23,81.69,19.22,0,81.69,48.06,0,0,12.49,0,0.62,0,0,0,0,0,0,0,0,0,0,48.06,0,192.22,0,28.59,43.68,17.75,163.39,1417.42

23,05:30-05:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,0,0,48.06,0,8.74,7.69,17.47,0,0,26.21,16.57,44.21,96.11,0,0,26.21,76.52,20.73,134.79,0,0,26.5,81.69,26.5,0,15.23,81.69,19.22,0,81.69,48.06,0,0,11.53,0,0.62,0,0,0,0,0,0,0,0,0,0,48.06,0,192.22,0,28.59,43.68,17.75,163.39,1416.46

24,05:45-06:00,0,0.6,0,0,0,0,0,0,0,1,0,0,0,0,6.73,0,0,0,0,48.06,0,8.74,7.69,17.47,0,0,26.21,16.57,44.21,96.11,0,0,26.21,76.52,20.73,134.79,0,0,26.5,81.69,26.5,0,15.23,81.69,19.22,0,81.69,48.06,0,0,11.53,0,0.62,0,0,0,0,0,0,0,0,0,0,48.06,0,192.22,0,28.59,43.68,17.75,163.39,1418.06

25,06:00-06:15,0,2.77,0,0.07,0.02,0,0.02,0,0,3,0,0,0,0,6.73,0,0,0,0,48.06,0,8.74,7.69,17.47,0,0,26.21,16.57,44.21,96.11,0,0,26.21,76.52,20.73,134.79,0,0,26.5,81.69,26.5,0,15.23,81.69,19.22,0,81.69,48.06,0,0,11.53,0,0.82,0,0,0,0,0,0,0,0,0,0,48.06,0,192.22,0,28.59,43.68,17.75,163.39,1422.54

26,06:15-06:30,0,4.94,0,0.17,0.04,0,0.04,0,0,7,0,0,0,0,6.73,0,0,0,0,48.06,0,8.74,7.69,17.47,0,0,26.21,16.57,44.21,96.11,0,0,26.21,76.52,20.73,134.79,0,0,26.5,81.69,26.5,0,15.23,81.69,19.22,0,81.69,48.06,0,0,11.53,0,0.82,0,0,0,0,0,0,0,0,0,0,48.06,0,192.22,0,28.59,43.68,17.75,163.39,1428.8500000000004

27,06:30-06:45,0.84,5,0,0.24,0.12,0,0.06,0,0,11,0,0,0,0,6.73,0,0,0,0,48.06,0,8.74,7.69,17.47,0,0,26.21,16.57,44.21,96.11,0,0,26.21,76.52,20.73,134.79,0,0,26.5,81.69,26.5,0,15.23,81.69,19.22,0,81.69,48.06,0,0,11.53,0,0.82,0,0,0,0,0,0,0,0,0,0,48.06,0,192.22,0,28.59,43.68,17.75,163.39,1433.92

28,06:45-07:00,1.37,8.25,0.04,0.33,0.16,0.02,0.09,0.02,0,14,0,0,0,0,6.73,0,0,0,0,48.06,0,8.74,7.69,17.47,0,0,26.21,16.57,44.21,96.11,0,0,26.21,76.52,20.73,134.79,0,0,26.5,81.69,26.5,0,15.23,81.69,19.22,0,81.69,48.06,0,0,11.53,0,0.82,0,0,0,0,0,0,0,0,0,0,48.06,0,192.22,0,28.59,43.68,17.75,163.39,1440.94

29,07:00-07:15,1.97,12.46,0.14,0.38,0.19,0.1,0.1,0.1,0,25,0,0,0,0,6.73,0,0,0,0,48.06,0,8.74,7.69,17.47,0,0,26.21,16.57,44.21,96.11,0,0,26.21,76.52,20.73,134.79,0,0,26.5,81.69,26.5,0,15.23,81.69,19.22,0,81.69,48.06,0,0,11.53,0,0.86,0,0,0,0,0,0,0,0,0,0,48.06,0,192.22,0,28.59,43.68,17.57,163.39,1456.96

30,07:15-07:30,2.97,17.2,0.27,0.38,0.19,0.17,0.19,0.17,0,32,0,0,0,0,6.73,0,0,0,0,48.06,0,8.74,7.69,17.47,0,0,26.21,16.57,44.21,96.11,0,0,26.21,76.52,20.73,134.79,0,0,26.5,81.69,26.5,0,15.23,81.69,19.22,0,81.69,48.06,0,0,11.53,0,0.86,0,0,0,0,0,0,0,0,0,0,48.06,0,192.22,0,28.59,43.68,17.57,163.39,1470.06

31,07:30-07:45,3.85,22.13,0.4,0.38,0.19,0.32,0.19,0.27,0,39,0,0,0,0,6.73,0,0,0,0,48.06,0,8.74,7.69,17.47,0,0,26.21,16.57,44.21,96.11,0,0,26.21,76.52,20.73,134.79,0,0,26.5,81.69,26.5,0,15.23,81.69,19.22,0,81.69,48.06,0,0,11.53,0,0.86,0,0,0,0,0,0,0,0,0,0,48.06,0,192.22,0,28.59,43.68,17.57,163.39,1483.25

32,07:45-08:00,5.25,27.34,0.96,0.38,0.29,0.37,0.19,0.32,0,49,0,0,0,0,6.73,0,0,0,0,48.06,0,8.74,7.69,17.47,0,0,26.21,16.57,44.21,96.11,0,0,26.21,76.52,20.73,134.79,0,0,26.5,81.69,26.5,0,15.23,81.69,19.22,0,81.69,48.06,0,0,11.53,0,0.86,0,0,0,0,0,0,0,0,0,0,48.06,0,192.22,0,28.59,43.68,17.57,163.39,1500.62

33,08:00-08:15,6.18,32.98,0.96,0.38,0.29,0.47,0.19,0.4,9.61,63,0,0,0,0,6.73,0,0,1.63,0,48.06,0,8.74,7.69,17.47,0,0,26.21,16.57,44.21,96.11,0,0,26.21,76.52,20.73,134.79,0,0,26.5,81.69,26.5,0,15.23,81.69,19.22,0,81.69,48.06,0,0,11.53,0,0.96,0,0,0,0,0,0,0,0,0,0,48.06,0,192.22,0,28.59,43.68,17.57,163.39,1532.71

34,08:15-08:30,8.52,38.77,0.96,0.38,0.29,0.77,0.19,0.46,9.61,74,0,0,0,0,6.73,0,0,1.63,0,48.06,0,8.74,7.69,17.47,0,0,26.21,16.57,44.21,96.11,0,0,26.21,76.52,20.73,134.79,0,0,26.5,81.69,26.5,0,15.23,81.69,19.22,0,81.69,48.06,0,0,11.53,0,0.96,0,0,0,0,0,0,0,0,0,0,48.06,0,192.22,0,28.59,43.68,17.57,163.39,1552.1999999999998

35,08:30-08:45,5.87,45.08,0.96,0.38,0.29,0.77,0.19,0.58,9.61,84,0,0,0,0,6.73,0,0,1.63,0,48.06,0,8.74,7.69,17.47,0,0,26.21,16.57,44.21,96.11,0,0,26.21,76.52,20.73,134.79,0,0,26.5,81.69,26.5,0,15.23,81.69,19.22,0,81.69,48.06,0,0,13.46,0,0.96,0,0,0,0,0,0,0,0,0,0,48.06,0,192.22,0,28.59,43.68,13.17,163.39,1563.5100000000002

36,08:45-09:00,5.87,51.92,0.96,0.48,0.29,0.77,0.19,0.67,9.61,95,0,0,0,0,6.73,0,0,1.63,0,48.06,0,8.74,7.69,17.47,0,0,26.21,16.57,44.21,96.11,0,0,26.21,76.52,20.73,134.79,0,0,26.5,81.69,26.5,0,15.23,81.69,19.22,0,81.69,48.06,0,0,13.46,0,0.96,0,0,0,0,0,0,0,0,0,0,48.06,0,192.22,0,28.59,43.68,13.17,163.39,1581.54

37,09:00-09:15,5.87,54.95,0.96,0.48,0.29,0.77,0.19,0.67,9.61,102,44.21,6.73,0,0,0,0,0,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.73,134.79,0,0,26.61,0,26.61,81.69,15.23,81.69,19.22,48.06,81.69,0,29.12,14.56,13.46,30.12,0,48.06,7.69,30.12,76.52,16.57,0.96,96.11,0,48.06,0,0,0,192.22,0,28.59,43.68,13.17,163.39,1617.08

38,09:15-09:30,6.85,60.9,0.96,0.48,0.29,0.77,0.19,0.67,9.61,112,44.21,6.73,0,0,0,0,0,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.73,134.79,0,0,26.61,0,26.61,81.69,15.23,81.69,19.22,48.06,81.69,0,29.12,14.56,13.46,30.12,0,48.06,7.69,30.12,76.52,16.57,0.96,96.11,0,48.06,0,0,0,192.22,0,28.59,43.68,13.17,163.39,1634.0100000000002

39,09:30-09:45,6.85,66.28,0.96,0.48,0.29,0.77,0.19,0.67,9.61,109,44.21,6.73,0,0,0,0,0,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.73,134.79,0,0,26.61,0,26.61,81.69,15.23,81.69,19.22,48.06,81.69,0,29.12,14.56,13.46,30.12,0,48.06,7.69,30.12,76.52,16.57,0.96,96.11,0,48.06,0,0,0,192.22,0,28.59,43.68,13.17,163.39,1636.3899999999999

40,09:45-10:00,7.82,71.04,0.96,0.48,0.29,0.77,0.19,0.67,9.61,116,44.21,6.73,0,0,0,0,0,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.73,134.79,0,0,26.61,0,26.61,81.69,15.23,81.69,19.22,48.06,81.69,0,29.12,14.56,13.46,30.12,0,48.06,7.69,30.12,76.52,16.57,0.96,96.11,0,48.06,0,0,0,192.22,0,28.59,43.68,13.17,163.39,1649.1200000000003

