Block,Time,SINGRAULI_HYDRO,ANTA_RF,DADRI_CRF,AURY_LF,PARBATI3,NAPP,UNCHAHAR3,DULHASTI,CHAMERA1,SALAL,UNCHAHAR1,TANDA2,UNCHAHAR2,CHAMERA3,ANTA_CRF,BSIUL,AURY_RF,JHAJJAR,NJPC,DADRI_RF,RIHAND1,KISHANGANGA,DADRI_LF,DHAULIGNGA,UNCHAHAR4,RAPPB,DADRI_GF,URI,SEWA2,URI2,AURY_CRF,RIHAND3,RAMPUR,SINGRAULI,KOLDAM,DADRT2,ANTA_LF,TEHRI,KOTESHWR,RAPPC,CHAMERA2,AURY_GF,ANTA_GF,TANAKPUR,RIHAND2,SASAN,TALA,KHSTPP-II,BRBCL,KHSTPP-I,KUDGI,FSTPP I & II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
15,03:30-03:45,0.572986,0.000000,0.000000,0.000000,0.000000,0.000000,9.526732,15.921867,0.000000,12.349968,6.666780,0.000000,7.565346,0.000000,0.000000,0.000000,0.000000,226.023166,21.959794,0.000000,88.890400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,48.000816,0.000000,14.297055,0.000000,119.485727,0.000000,114.833450,0.000000,173.916000,0.000000,0.000000,8.574059,49.657366,0.000000,0.000000,0.000000,3.713107,114.132375,404.615574,0.000000,33.324238,16.220149,14.174154,59.90,1.797132,0,0,0,0,0

16,03:45-04:00,0.572986,0.000000,0.000000,0.000000,0.000000,0.000000,9.526732,15.921867,0.000000,12.349968,6.666780,0.000000,7.565346,0.000000,0.000000,0.000000,0.000000,226.023166,21.959794,0.000000,88.890400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,48.000816,0.000000,14.297055,0.000000,119.485727,0.000000,114.833450,0.000000,173.916000,0.000000,0.000000,8.574059,49.657366,0.000000,0.000000,0.000000,3.713107,114.132375,404.615574,0.000000,33.324238,15.645623,14.174154,57.97,1.797132,0,0,0,0,0

17,04:00-04:15,0.572986,0.000000,0.000000,0.000000,0.000000,0.000000,9.526732,15.921867,0.000000,12.349968,6.666780,0.000000,7.565346,0.000000,0.000000,0.000000,0.000000,226.023166,21.959794,0.000000,88.890400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.666848,0.000000,10.397858,0.000000,119.485727,0.000000,105.171450,0.000000,173.916000,0.000000,0.000000,8.574059,49.657366,0.000000,0.000000,0.000000,3.713107,114.132375,404.615574,0.000000,33.324238,16.739513,14.174154,58.94,1.797132,0,0,0,0,0

18,04:15-04:30,0.572986,0.000000,0.000000,0.000000,0.000000,0.000000,9.526732,15.921867,0.000000,12.349968,6.666780,0.000000,7.565346,0.000000,0.000000,0.000000,0.000000,226.023166,21.959794,0.000000,88.890400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.666848,0.000000,10.397858,0.000000,119.485727,0.000000,105.171450,0.000000,173.916000,0.000000,0.000000,8.574059,49.657366,0.000000,0.000000,0.000000,3.713107,114.132375,404.615574,0.000000,33.324238,19.323975,14.174154,59.90,1.797132,0,0,0,0,0

19,04:30-04:45,0.572986,0.000000,0.000000,0.000000,0.000000,0.000000,9.526732,15.921867,0.000000,12.349968,6.666780,0.000000,7.565346,0.000000,0.000000,0.000000,0.000000,226.023166,21.959794,0.000000,88.890400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.666848,0.000000,10.397858,0.000000,119.485727,0.000000,95.509450,0.000000,173.916000,0.000000,0.000000,8.574059,49.657366,0.000000,0.000000,0.000000,3.713107,114.132375,404.615574,0.000000,33.324238,19.324022,14.174154,59.90,1.797132,0,0,0,0,0

