Column1,Block,GNA/NR/2024/08/16/9423,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/16082024/31082024/APL-Raigarh_august,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,NR/01082024/31082024/SKS-Raigarh,GNA/NR/2024/08/16/6265,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/31082024/jitpl,NR/16082024/31082024/MPL/24-25/STOA/128,GNA/NR/2024/08/16/8581,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/08/16/7438,NR/2024/22590/C,NR/2024/22594/C,NR/2024/21968/A/32485,NR/2024/21970/A/32486,NR/2024/21911/A/32443,NR/2024/21961/A/32478,NR/2024/22010/A/32538,NR/2024/21938/A/32477,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/22554/C,NR/2024/22432/A/32241,NR/2024/21658/A/32191,NR/2024/22014/A/32185,NR/2024/21983/A/32227,NR/2024/21974/A/32488,NR/2024/21814/A/32489,NR/2024/21971/A/32487,NR/2024/21933/A/32237,NR/2024/22498/A/32540,NR/2024/21860/A/32552,NR/2024/22042/A/32184,NR/2024/21966/A/32242,NR/2024/22279/A/32181,NR/2024/21943/A/32501,NR/2024/21956/A/32504,NR/2024/22591/C,NR/2024/21918/A/32536,SR/2024/13898/C,NR/2024/21954/A/32502,NR/2024/22606/C,NR/2024/22592/C,NR/2024/21940/A/32503,NR/2024/22535/A/32430,NR/2024/22534/A/32432,NR/2024/22593/C,Total
7,01:30-01:45,48.08,38.47,96.17,26.8708,26.8708,12.39,96.17,24.04,48.08,11.93,21.16,37.22,96.17,13.59,56.74,0,0,37.15,12.39,0,97.37,11.68,32.46,0,240.42,8.66,0.58,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,67.32,163.73,90.4,158.68,23.97,28.26,27.89,83.84,0,0,0,1958.2616000000003

8,01:45-02:00,48.08,38.47,96.17,26.8708,26.8708,12.39,96.17,24.04,48.08,11.93,21.16,37.22,96.17,13.59,56.74,0,0,37.15,12.39,0,97.37,11.68,32.46,0,240.42,8.66,0.58,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,67.32,163.73,90.4,177.91,23.97,28.77,27.89,83.84,0,0,0,1978.0016000000003

9,02:00-02:15,48.08,38.47,96.17,26.9071,26.9071,12.39,0,24.04,48.08,11.93,21.16,0,96.17,17.71,0,0,0,37.15,12.39,0,97.37,11.68,32.46,0,240.42,8.66,0.58,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,67.32,163.73,90.4,187.53,23.97,0,27.89,83.84,0,0,0,1772.9142

10,02:15-02:30,48.08,38.47,96.17,26.9071,26.9071,12.39,0,24.04,48.08,11.93,21.16,0,96.17,17.71,0,0,0,37.15,12.39,0,97.37,11.68,32.46,0,240.42,8.66,0.58,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,67.32,163.73,90.4,0,23.97,0,27.89,83.84,0,0,0,1585.3842

11,02:30-02:45,48.08,38.47,96.17,26.9071,26.9071,12.39,0,24.04,48.08,11.93,21.16,0,96.17,17.71,0,0,0,37.15,12.39,0,97.37,11.68,32.46,0,240.42,8.66,0.58,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,67.32,163.73,90.4,0,23.97,0,27.89,83.84,0,0,0,1585.3842

12,02:45-03:00,48.08,38.47,96.17,26.9071,26.9071,12.39,0,24.04,48.08,11.93,21.16,0,96.17,17.71,0,0,0,37.15,12.39,0,97.37,11.68,32.46,0,240.42,8.66,0.58,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,67.32,163.73,90.4,0,23.97,0,27.89,83.84,0,0,0,1585.3842

13,03:00-03:15,48.08,0,96.17,26.9071,26.9071,12.39,0,24.04,48.08,11.93,21.16,0,96.17,17.71,0,0,0,37.15,12.39,0,97.37,11.68,32.46,0,240.42,8.66,0.58,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,67.32,163.73,90.4,0,23.97,0,27.89,83.84,0,0,0,1546.9142

14,03:15-03:30,48.08,0,96.17,26.9071,26.9071,12.39,0,24.04,48.08,11.93,21.16,0,96.17,17.71,0,0,0,37.15,12.39,0,97.37,11.68,32.46,0,240.42,8.66,0.58,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,67.32,163.73,90.4,0,23.97,0,27.89,83.84,0,0,0,1546.9142

15,03:30-03:45,48.08,0,96.17,26.9071,26.9071,12.39,0,24.04,48.08,11.93,21.16,0,96.17,17.71,0,0,0,37.15,12.39,0,97.37,11.68,32.46,0,240.42,8.66,0.58,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,67.32,163.73,90.4,115.4,23.97,0,27.89,83.84,0,0,0,1662.3142

16,03:45-04:00,48.08,0,96.17,26.9071,26.9071,12.39,0,24.04,48.08,11.93,21.16,0,96.17,17.71,0,0,0,37.15,12.39,0,97.37,11.68,32.46,0,240.42,8.66,0.58,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,67.32,163.73,90.4,115.4,23.97,0,27.89,83.84,0,0,0,1662.3142

17,04:00-04:15,48.08,0,96.17,26.9071,26.9071,12.39,0,24.04,48.08,11.93,21.16,0,96.17,17.71,0,0,0,37.15,12.39,0,97.37,11.68,32.46,0,240.42,8.66,0.53,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,67.32,163.73,90.4,115.4,23.97,0,27.89,83.84,0,0,0,1662.2641999999998

18,04:15-04:30,48.08,0,96.17,26.9071,26.9071,12.39,0,24.04,48.08,11.93,21.16,0,96.17,17.71,0,0,0,37.15,12.39,0,97.37,11.68,32.46,0,240.42,8.66,0.53,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,67.32,163.73,90.4,211.57,23.97,0,27.89,83.84,0,0,0,1758.4341999999997

19,04:30-04:45,48.08,0,96.17,26.9071,26.9071,12.39,0,24.04,48.08,11.93,21.16,0,96.17,17.71,0,0,0,37.15,12.39,0,97.37,11.68,32.46,0,240.42,8.66,0.53,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,67.32,163.73,90.4,211.57,23.97,0,27.89,83.84,0,0,0,1758.4341999999997

20,04:45-05:00,48.08,0,96.17,26.9071,26.9071,12.39,0,24.04,48.08,11.93,21.16,0,96.17,17.71,0,0,0,37.15,12.39,0,97.37,11.68,32.46,0,240.42,8.66,0.53,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,67.32,163.73,90.4,211.57,23.97,0,27.89,83.84,0,0,0,1758.4341999999997

21,05:00-05:15,48.08,0,96.17,26.9071,26.9071,12.39,0,24.04,48.08,11.93,21.16,0,96.17,16.52,0,0,0,37.15,12.39,0,97.37,11.68,32.46,0,240.42,8.66,0.53,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,24.04,163.73,90.4,322.17,23.97,0,27.89,83.84,0,0,0,1824.5642

22,05:15-05:30,48.08,0,96.17,26.9071,26.9071,12.39,0,24.04,48.08,11.93,21.16,0,96.17,16.52,0,0,0,37.15,12.39,0,97.37,11.68,32.46,0,240.42,8.66,0.53,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,24.04,163.73,90.4,326.98,23.97,0,27.89,83.84,0,0,0,1829.3742

23,05:30-05:45,48.08,0,96.17,26.9071,26.9071,12.39,0,24.04,48.08,11.93,21.16,0,96.17,16.52,0,0,0,37.15,12.39,0,97.37,11.68,32.46,0,240.42,8.66,0.53,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,24.04,163.73,90.4,331.79,23.97,0,27.89,83.84,0,0,0,1834.1842

24,05:45-06:00,48.08,0,96.17,26.9071,26.9071,12.39,0,24.04,48.08,11.93,21.16,0,96.17,16.52,0,0,0,37.15,12.39,0,97.37,11.68,32.46,0,240.42,7.69,0.53,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,24.04,163.73,90.4,336.6,23.97,0,27.89,83.84,0,0,0,1838.0242

25,06:00-06:15,48.08,0,96.17,26.9071,26.9071,12.39,0,24.04,48.08,11.93,21.16,0,96.17,16.34,0,0,0,37.15,12.39,0,0,11.68,0,0,240.42,7.69,0.63,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,24.04,163.73,90.4,250.04,23.97,0,27.89,83.84,0,0,0,1621.5542

26,06:15-06:30,48.08,0,96.17,26.9071,26.9071,12.39,0,24.04,48.08,11.93,21.16,0,96.17,16.34,0,0,0,37.15,12.39,0,0,11.68,0,0,240.42,7.69,0.63,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,24.04,163.73,90.4,235.62,23.97,0,27.89,83.84,0,0,0,1607.1342000000002

27,06:30-06:45,48.08,0,96.17,26.9071,26.9071,12.39,0,24.04,48.08,11.93,21.16,0,96.17,16.34,0,0,0,37.15,12.39,0,0,11.68,0,0,240.42,7.69,0.63,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,24.04,163.73,90.4,230.81,23.97,0,27.89,83.84,0,0,0,1602.3242

28,06:45-07:00,48.08,0,96.17,26.9071,26.9071,12.39,0,24.04,48.08,11.93,21.16,0,96.17,16.34,0,0,0,37.15,12.39,0,0,11.68,0,0,240.42,7.69,0.63,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,24.04,163.73,90.4,235.62,23.97,0,27.89,83.84,0,0,0,1607.1342000000002

29,07:00-07:15,48.08,0,96.17,26.9071,26.9071,12.39,0,24.04,48.08,11.93,21.16,0,96.17,16.34,0,0,0,37.15,12.39,0,0,11.68,0,0,240.42,7.69,0.72,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,24.04,163.73,90.4,245.23,23.97,0,27.89,83.84,0,0,0,1616.8342000000002

30,07:15-07:30,48.08,0,96.17,26.9071,26.9071,12.39,0,24.04,48.08,11.93,21.16,0,96.17,16.34,0,0,0,37.15,12.39,0,0,11.68,0,0,240.42,7.69,0.72,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,24.04,163.73,90.4,250.04,23.97,0,27.89,83.84,0,0,0,1621.6442000000002

31,07:30-07:45,48.08,0,96.17,26.9071,26.9071,12.39,0,24.04,48.08,11.93,21.16,0,96.17,16.34,0,0,0,37.15,12.39,0,0,11.68,0,0,240.42,7.69,0.72,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,24.04,163.73,90.4,0,23.97,0,27.89,83.84,0,0,0,1371.6042000000002

32,07:45-08:00,48.08,0,96.17,26.9071,26.9071,12.39,0,24.04,48.08,11.93,21.16,0,96.17,16.34,0,0,0,37.15,12.39,0,0,11.68,0,0,240.42,7.69,0.72,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,24.04,163.73,90.4,0,23.97,0,27.89,83.84,0,0,0,1371.6042000000002

33,08:00-08:15,48.08,0,96.17,26.9071,26.9071,12.39,0,24.04,48.08,11.93,21.16,0,96.17,16.07,0,0,0,37.15,12.39,0,0,11.68,0,0,240.42,8.66,0.96,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,24.04,163.73,90.4,0,23.97,0,27.89,83.84,0,0,0,1372.5442

34,08:15-08:30,48.08,0,96.17,26.9071,26.9071,12.39,0,24.04,48.08,11.93,21.16,0,96.17,16.07,0,0,0,37.15,12.39,0,0,11.68,0,0,240.42,8.66,0.96,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,24.04,163.73,90.4,0,23.97,0,27.89,83.84,0,0,0,1372.5442

35,08:30-08:45,48.08,0,96.17,26.9071,26.9071,12.39,0,24.04,48.08,11.93,21.16,0,96.17,16.07,0,0,0,37.15,12.39,0,0,11.68,0,0,240.42,8.66,0.96,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,24.04,163.73,90.4,0,23.97,0,27.89,83.84,0,0,0,1372.5442

36,08:45-09:00,48.08,0,96.17,26.9071,26.9071,12.39,0,24.04,48.08,11.93,21.16,0,96.17,16.07,0,0,0,37.15,12.39,0,0,11.68,0,0,240.42,9.62,0.96,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,24.04,163.73,90.4,0,23.97,0,27.89,83.84,0,0,0,1373.5042

37,09:00-09:15,48.08,0,0,26.9071,26.9071,12.39,0,0,0,11.93,0,0,0,16.07,0,0,17.5,37.15,12.39,96.17,0,11.68,0,0,240.42,9.62,0.96,1.92,48.08,37.15,48.08,37.15,24.04,21.16,48.08,3.85,96.17,4.81,38.47,24.04,163.73,90.4,0,23.97,0,27.89,83.84,10.58,24.81,0,1426.3942

38,09:15-09:30,48.08,0,0,26.9071,26.9071,12.39,0,0,0,11.93,0,0,0,16.07,0,0,12.89,37.15,12.39,96.17,0,11.68,0,0,240.42,11.54,0.96,1.92,48.08,37.15,48.08,37.15,24.04,21.16,48.08,3.85,96.17,4.81,38.47,24.04,163.73,90.4,0,23.97,0,27.89,83.84,10.58,29.43,0,1428.3242

39,09:30-09:45,48.08,0,0,26.9071,26.9071,12.39,0,0,0,11.93,0,0,0,16.07,0,0,0,37.15,12.39,96.17,0,11.68,0,0,240.42,11.54,0.96,1.92,48.08,37.15,48.08,37.15,24.04,21.16,48.08,3.85,96.17,4.81,38.47,24.04,163.73,90.4,0,23.97,0,27.89,83.84,0,32.6,0,1408.0241999999998

40,09:45-10:00,48.08,0,0,26.9071,26.9071,12.39,0,0,0,11.93,0,0,0,16.07,0,0,0,37.15,12.39,96.17,0,11.68,0,0,240.42,11.54,0.96,1.92,48.08,37.15,48.08,37.15,24.04,21.16,48.08,3.85,96.17,4.81,38.47,24.04,163.73,90.4,0,23.97,0,27.89,83.84,0,33.66,0,1409.0842

41,10:00-10:15,48.08,0,0,26.9071,26.9071,12.39,0,0,0,11.93,0,0,0,14.05,0,0,0,37.15,12.39,96.17,0,11.68,0,0,240.42,11.54,0.96,1.92,48.08,37.15,48.08,37.15,24.04,21.16,48.08,3.85,96.17,4.81,38.47,24.04,163.73,90.4,0,23.97,0,27.89,83.84,0,34.43,0,1407.8342

42,10:15-10:30,48.08,0,0,26.9071,26.9071,12.39,0,0,0,11.93,0,0,0,14.05,0,0,0,37.15,12.39,96.17,0,11.68,0,0,240.42,12.5,0.96,1.92,48.08,37.15,48.08,37.15,24.04,21.16,48.08,3.85,96.17,4.81,38.47,24.04,163.73,90.4,0,23.97,0,27.89,83.84,0,35.49,0,1409.8542

43,10:30-10:45,48.08,0,0,26.9071,26.9071,12.39,0,0,0,11.93,0,0,0,14.05,0,0,0.77,37.15,12.39,96.17,0,11.68,0,0,240.42,12.5,0.96,1.92,48.08,37.15,48.08,37.15,24.04,21.16,48.08,3.85,96.17,4.81,38.47,24.04,163.73,90.4,0,23.97,0,27.89,83.84,1.92,37.89,0,1414.9442000000001

44,10:45-11:00,48.08,0,0,26.9071,26.9071,12.39,0,0,0,11.93,0,0,0,14.05,0,0,0.96,37.15,12.39,96.17,0,11.68,0,0,240.42,12.5,0.96,1.92,48.08,37.15,48.08,37.15,24.04,21.16,48.08,3.85,96.17,4.81,38.47,24.04,163.73,90.4,0,23.97,0,27.89,83.84,2.89,38.76,0,1416.9742

45,11:00-11:15,48.08,0,0,26.9071,26.9071,12.39,0,0,0,11.93,0,0,0,14.05,0,0,0.96,37.15,12.39,96.17,0,11.68,0,0,240.42,12.5,0.96,1.92,48.08,37.15,48.08,37.15,24.04,21.16,48.08,3.85,96.17,4.81,38.47,24.04,163.73,90.4,0,23.97,0,27.89,83.84,5.19,40.2,0,1420.7142000000001

46,11:15-11:30,48.08,0,0,26.9071,26.9071,12.39,0,0,0,11.93,0,0,0,14.05,0,0,0.38,37.15,12.39,96.17,0,11.68,0,0,240.42,12.5,0.96,1.92,48.08,37.15,48.08,37.15,24.04,21.16,48.08,3.85,96.17,4.81,38.47,24.04,163.73,90.4,0,23.97,0,27.89,83.84,5.1,41.35,0,1421.1942

47,11:30-11:45,48.08,0,0,26.9071,26.9071,12.39,0,0,0,11.93,0,0,0,14.05,0,0,0,37.15,12.39,96.17,0,11.68,0,0,240.42,12.5,0.96,1.92,48.08,37.15,48.08,37.15,24.04,21.16,48.08,3.85,96.17,4.81,38.47,24.04,163.73,90.4,0,23.97,0,27.89,83.84,4.9,42.31,0,1421.5742

48,11:45-12:00,48.08,0,0,26.9071,26.9071,12.39,0,0,0,11.93,0,0,0,14.05,0,0,0,37.15,12.39,96.17,0,11.68,0,0,240.42,12.5,0.96,1.92,48.08,37.15,48.08,37.15,24.04,21.16,48.08,3.85,96.17,4.81,38.47,24.04,163.73,90.4,0,23.97,0,27.89,83.84,4.9,42.31,0,1421.5742

49,12:00-12:15,48.08,0,0,26.9071,26.9071,12.39,0,0,0,11.93,0,0,0,15.89,0,6.53,0,37.15,12.39,96.17,0,11.68,0,0,240.42,12.5,0.96,1.92,48.08,37.15,48.08,37.15,24.04,21.16,48.08,3.85,96.17,4.81,38.47,24.04,163.73,90.4,0,23.97,0,27.89,83.84,4.9,42.31,0,1429.9442000000001

50,12:15-12:30,48.08,0,0,26.9071,26.9071,12.39,0,0,0,11.93,0,0,0,15.89,0,6.94,0,37.15,12.39,96.17,0,11.68,0,0,240.42,12.5,0.96,1.92,48.08,37.15,48.08,37.15,24.04,21.16,48.08,3.85,96.17,4.81,38.47,24.04,163.73,90.4,0,23.97,0,27.89,83.84,4.9,42.31,0,1430.3542

51,12:30-12:45,48.08,0,0,26.9071,26.9071,12.39,0,0,0,11.93,0,0,0,15.89,0,4.65,0,37.15,12.39,96.17,0,11.68,0,0,240.42,12.5,0.96,1.92,48.08,37.15,48.08,37.15,24.04,21.16,48.08,3.85,96.17,4.81,38.47,24.04,163.73,90.4,0,23.97,0,27.89,83.84,4.9,42.31,0,1428.0642

52,12:45-13:00,48.08,0,0,26.9071,26.9071,12.39,0,0,0,11.93,0,0,0,15.89,0,3.31,0,37.15,12.39,96.17,0,11.68,0,0,240.42,12.5,0.96,1.92,48.08,37.15,48.08,37.15,24.04,21.16,48.08,3.85,96.17,4.81,38.47,24.04,163.73,90.4,0,23.97,0,27.89,83.84,4.9,42.31,0,1426.7242

53,13:00-13:15,48.08,0,0,26.9071,26.9071,12.39,0,0,0,11.93,0,0,0,15.89,0,8.19,0,37.15,12.39,96.17,0,11.68,0,0,240.42,12.5,0.96,1.92,48.08,37.15,48.08,37.15,24.04,21.16,48.08,3.85,96.17,4.81,38.47,24.04,163.73,90.4,0,23.97,0,27.89,83.84,4.9,42.31,0,1431.6042

54,13:15-13:30,48.08,0,0,26.9071,26.9071,12.39,0,0,0,11.93,0,0,0,15.89,0,8.72,0,37.15,12.39,96.17,0,11.68,0,0,240.42,12.5,0.96,1.92,48.08,37.15,48.08,37.15,24.04,21.16,48.08,3.85,96.17,4.81,38.47,24.04,163.73,90.4,0,23.97,0,27.89,83.84,5,42.31,0,1432.2341999999999

55,13:30-13:45,48.08,0,0,24.0835,24.0835,12.39,0,0,0,11.93,0,0,0,15.89,0,6.71,0.29,37.15,12.39,96.17,0,11.68,0,0,240.42,12.5,0.96,1.92,48.08,37.15,48.08,37.15,24.04,21.16,48.08,3.85,96.17,4.81,38.47,24.04,163.73,90.4,0,23.97,0,27.89,83.84,5.1,41.64,0,1424.297

