Column1,Block,GNA/NR/2025/04/16/2341,GNA/NR/2025/04/16/2139,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/1333,NR/2025/26178/C,NR/2025/26179/C,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/01/5285,NR/2025/26181/C,NR/2025/26176/C,NR/2025/26173/C,NR/2025/26175/C,NR/2025/26180/C,NR/2025/26177/C,NR/2025/26085/A/67178,NR/2025/25945/A/67273,NR/2025/25955/A/67269,WR/2025/27361/A/67284,WR/2025/27350/A/66787,NR/2025/26170/C,NR/2025/26172/C,NR/2025/26155/C,NR/2025/26031/A/66840,NR/2025/25947/A/67272,NR/2025/25948/A/67270,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/01/6216,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/6490,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/1831,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/16/4327,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/16/6639,NR/2025/26171/C,GNARE/NR/2024/12/20/3668,NR/2025/25752/A/66733,Total
6,01:15-01:30,19.23,96.15,2.88,2.88,20.48,18.94,14.42,2.88,22.5,4.13,12.4,5.29,22.79,4.62,0.48,43.7,28.97,24.04,0,26.92,2.21,213.45,3.85,43.7,14.57,32,43.7,14.57,9.62,9.86,32,9.62,9.62,1.92,52.5,72.11,0,48.08,72.11,18.08,0,0,1077.2700000000002

7,01:30-01:45,19.23,96.15,2.88,2.88,13.65,18.94,14.42,2.88,22.5,4.13,12.5,5.1,22.79,4.62,0.48,43.7,28.97,24.04,0,26.92,2.21,213.45,3.85,43.7,14.57,32,43.7,14.57,9.62,9.86,32,9.62,9.62,1.92,52.5,72.11,0,48.08,72.11,18.08,0,0,1070.3500000000001

8,01:45-02:00,19.23,96.15,2.88,2.88,13.65,18.94,14.42,2.88,22.5,4.13,12.69,4.52,22.79,4.62,0.48,43.7,28.97,24.04,0,26.92,2.21,213.45,3.85,43.7,14.57,32,43.7,14.57,9.62,9.86,32,9.62,9.62,1.92,52.5,72.11,0,48.08,72.11,17.79,0,0,1069.67

9,02:00-02:15,19.23,96.15,2.88,2.88,13.65,18.94,14.42,2.88,22.5,3.75,11.73,3.75,22.79,4.62,0.48,43.7,28.97,24.04,96.15,26.92,2.21,213.45,3.85,43.7,14.57,32,43.7,14.57,9.62,9.76,32,9.62,9.62,1.92,0,72.11,0,48.08,72.11,16.73,0,0,1110.0500000000002

10,02:15-02:30,19.23,96.15,2.88,2.88,13.65,18.94,14.42,2.88,22.5,3.75,10.86,3.08,22.79,4.62,0.48,43.7,28.97,24.04,96.15,26.92,2.21,213.45,3.85,43.7,14.57,32,43.7,14.57,9.62,9.76,32,9.62,9.62,1.92,0,72.11,0,48.08,72.11,15.29,0,0,1107.0700000000002

11,02:30-02:45,19.23,96.15,2.88,2.88,13.65,18.94,14.42,2.88,22.5,3.75,9.9,2.69,22.79,4.62,0.48,43.7,28.97,24.04,96.15,25.96,2.21,213.45,3.85,43.7,14.57,32,43.7,14.57,9.62,9.76,32,9.62,9.62,1.92,0,72.11,0,48.08,72.11,14.71,0,0,1104.1800000000003

12,02:45-03:00,19.23,96.15,2.88,2.88,13.65,18.94,14.42,2.88,22.5,3.75,9.04,2.69,22.79,4.62,0.48,43.7,28.97,24.04,96.15,25.96,2.21,213.45,3.85,43.7,14.57,32,43.7,14.57,9.62,9.76,32,9.62,9.62,1.92,0,72.11,0,48.08,72.11,12.69,0,0,1101.3000000000002

13,03:00-03:15,19.23,96.15,2.88,2.88,13.65,18.94,14.42,2.88,22.5,3.75,8.17,2.6,22.79,4.62,0.43,43.7,28.97,24.04,96.15,22.11,2.21,213.45,3.85,43.7,14.57,0,43.7,14.57,9.62,9.66,32,9.62,9.62,1.92,0,72.11,0,48.08,72.11,9.62,0,0,1061.27

14,03:15-03:30,19.23,96.15,2.88,2.88,13.65,18.94,14.42,2.88,22.5,3.75,7.21,2.6,22.79,4.62,0.43,43.7,28.97,24.04,96.15,22.11,2.21,213.45,3.85,43.7,14.57,0,43.7,14.57,9.62,9.66,32,9.62,9.62,1.92,0,72.11,0,48.08,72.11,9.62,0,0,1060.3100000000002

15,03:30-03:45,19.23,96.15,2.88,2.88,13.65,18.94,14.42,2.88,22.5,3.75,6.35,2.6,22.79,4.62,0.43,43.7,28.97,24.04,96.15,22.11,2.21,213.45,3.85,43.7,14.57,0,43.7,14.57,9.62,9.66,32,9.62,9.62,1.92,0,72.11,0,48.08,72.11,9.62,0,0,1059.45

16,03:45-04:00,19.23,96.15,2.88,2.88,13.65,18.94,14.42,2.88,22.5,3.75,5.77,2.5,22.79,4.62,0.43,43.7,28.97,24.04,96.15,22.11,2.21,213.45,3.85,43.7,14.57,0,43.7,14.57,9.62,9.66,32,9.62,9.62,1.92,0,72.11,0,48.08,72.11,9.62,0,0,1058.77

17,04:00-04:15,19.23,96.15,2.88,2.88,13.65,18.94,14.42,2.88,22.5,3.75,5.77,2.31,22.79,4.62,0.48,43.7,28.97,24.04,96.15,22.11,2.21,213.45,3.85,43.7,14.57,0,43.7,14.57,9.62,9.48,32,9.62,9.62,1.92,0,72.11,0,48.08,72.11,9.62,0,0,1058.45

18,04:15-04:30,19.23,96.15,2.88,2.88,13.65,18.94,14.42,2.88,22.5,3.75,5.77,2.21,22.79,4.62,0.48,43.7,28.97,24.04,96.15,22.11,2.21,223.07,3.85,43.7,14.57,0,43.7,14.57,9.62,9.48,32,9.62,9.62,1.92,0,72.11,0,48.08,72.11,9.62,0,0,1067.97

19,04:30-04:45,19.23,96.15,2.88,2.88,13.65,18.94,14.42,2.88,22.5,3.75,5.77,2.12,22.79,4.62,0.48,43.7,28.97,24.04,96.15,22.11,2.21,223.07,3.85,43.7,14.57,0,43.7,14.57,9.62,9.48,32,9.62,9.62,1.92,0,72.11,0,48.08,72.11,9.62,0,0,1067.88

20,04:45-05:00,19.23,96.15,2.88,2.88,13.65,18.94,14.42,2.88,22.5,3.75,5.77,1.83,22.79,4.62,0.48,43.7,28.97,24.04,96.15,22.11,2.21,223.07,3.85,43.7,14.57,0,43.7,14.57,9.62,9.48,32,9.62,9.62,1.92,0,72.11,0,48.08,72.11,9.62,0,0,1067.5900000000001

21,05:00-05:15,19.23,96.15,2.88,2.88,13.65,18.94,14.42,2.88,22.5,3.75,5.87,1.83,22.79,4.62,0.48,43.7,28.97,24.04,96.15,22.11,2.21,223.07,3.85,43.7,14.57,32,43.7,14.57,9.62,9.3,32,9.62,9.62,1.92,0,72.11,0,48.08,72.11,9.62,0,0,1099.51

22,05:15-05:30,19.23,96.15,2.88,2.88,13.65,18.94,14.42,2.88,22.5,3.75,5.87,2.12,22.79,4.62,0.48,43.7,28.97,24.04,96.15,23.08,2.21,223.07,3.85,43.7,14.57,32,43.7,14.57,9.62,9.3,32,9.62,9.62,1.92,0,72.11,0,48.08,72.11,9.62,0,0,1100.77

23,05:30-05:45,19.23,96.15,2.88,2.88,13.65,18.94,14.42,2.88,22.5,3.75,5.87,2.02,22.79,4.62,0.48,43.7,28.97,24.04,96.15,23.08,2.21,223.07,3.85,43.7,14.57,32,43.7,14.57,9.62,9.3,32,9.62,9.62,1.92,0,72.11,0,48.08,72.11,9.62,0,0,1100.67

24,05:45-06:00,19.23,96.15,2.88,2.88,13.65,9.42,14.42,2.88,22.5,3.75,5.87,2.6,22.79,4.62,0.48,43.7,28.97,24.04,96.15,23.08,2.21,223.07,3.85,43.7,14.57,32,43.7,14.57,9.62,9.3,32,9.62,9.62,1.92,0,72.11,0,48.08,72.11,9.62,0,0,1091.73

25,06:00-06:15,19.23,96.15,2.88,2.88,13.65,9.42,14.42,2.88,22.5,3.75,5.38,2.69,11.35,4.62,0.58,43.7,28.97,24.04,96.15,23.08,2.21,223.07,3.85,43.7,14.57,32,43.7,14.57,9.62,9.11,32,9.62,9.62,1.92,0,72.11,0,48.08,72.11,9.62,0,0,1079.8

26,06:15-06:30,19.23,96.15,2.88,2.88,13.65,9.42,14.42,2.88,22.5,3.75,5.19,2.79,11.35,4.62,0.58,43.7,28.97,24.04,96.15,23.08,2.21,223.07,3.85,43.7,14.57,32,43.7,14.57,9.62,9.11,32,9.62,9.62,1.92,0,72.11,0,48.08,72.11,9.62,0.25,0,1079.96

27,06:30-06:45,19.23,96.15,2.88,2.88,13.65,9.42,14.42,2.88,22.5,3.75,5.19,2.98,11.35,4.62,0.58,43.7,28.97,24.04,96.15,23.08,2.21,242.3,3.85,43.7,14.57,32,43.7,14.57,9.62,9.11,32,9.62,9.62,1.92,0,72.11,0,48.08,72.11,9.62,1.87,0,1101

28,06:45-07:00,19.23,96.15,2.88,2.88,13.65,9.42,14.42,2.88,22.5,3.75,4.52,2.5,11.35,4.62,0.58,43.7,28.97,24.04,96.15,21.15,2.21,242.3,3.85,43.7,14.57,32,43.7,14.57,9.62,9.11,32,9.62,9.62,1.92,0,72.11,0,48.08,72.11,9.62,5.95,0,1102.0000000000002

29,07:00-07:15,19.23,96.15,2.88,2.88,13.65,9.42,14.42,2.88,22.5,3.37,4.52,2.5,11.35,4.62,0.62,43.7,28.97,24.04,96.15,21.15,2.21,242.3,3.85,43.7,14.57,32,43.7,14.57,9.62,9.02,25.36,9.62,9.62,1.92,0,72.11,0,48.08,72.11,9.62,10.45,0,1099.43

30,07:15-07:30,19.23,96.15,2.88,2.88,13.65,9.42,14.42,2.88,22.5,3.37,4.52,2.31,11.35,4.62,0.62,43.7,28.97,24.04,96.15,21.15,2.21,242.3,3.85,43.7,14.57,32,43.7,14.57,9.62,9.02,25.36,9.62,9.62,1.92,0,72.11,0,48.08,72.11,9.62,16.86,0,1105.65

31,07:30-07:45,19.23,96.15,2.88,2.88,13.65,9.42,14.42,2.88,22.5,3.37,4.52,2.31,22.79,4.62,0.62,43.7,28.97,24.04,96.15,21.15,2.21,242.3,3.85,43.7,14.57,32,43.7,14.57,9.62,9.02,25.36,9.62,9.62,1.92,0,72.11,0,48.08,72.11,9.62,24.23,0,1124.46

32,07:45-08:00,19.23,96.15,2.88,2.88,13.65,9.42,14.42,2.88,22.5,3.37,4.52,1.44,22.79,4.62,0.62,43.7,28.97,24.04,96.15,24.04,2.21,242.3,3.85,43.7,14.57,32,43.7,14.57,9.62,9.02,25.36,9.62,9.62,1.92,0,72.11,0,48.08,72.11,9.62,32.87,0,1135.12

33,08:00-08:15,19.23,96.15,2.88,2.88,13.65,9.42,14.42,2.88,22.5,0,0,0,22.79,0,0.96,43.7,28.97,24.04,0,0,0,223.07,3.85,43.7,14.57,26.78,43.7,14.57,9.62,8.84,26.78,9.62,9.62,1.92,0,72.11,0,48.08,72.11,9.62,41.5,3.85,988.3800000000002

34,08:15-08:30,19.23,96.15,2.88,2.88,13.65,9.42,14.42,2.88,22.5,0,0,0,22.79,0,0.96,43.7,28.97,24.04,0,0,0,223.07,3.85,43.7,14.57,26.78,43.7,14.57,9.62,8.84,26.78,9.62,9.62,1.92,0,72.11,0,48.08,72.11,9.62,49.61,3.85,996.4900000000002

35,08:30-08:45,19.23,96.15,2.88,2.88,13.65,9.42,14.42,2.88,22.5,0,0,0,22.79,0,0.96,43.7,28.97,24.04,0,0,0,223.07,3.85,43.7,14.57,26.78,43.7,14.57,9.62,8.84,26.78,9.62,9.62,1.92,0,72.11,0,48.08,72.11,0,57.58,3.85,994.8400000000003

36,08:45-09:00,19.23,96.15,2.88,2.88,13.65,9.42,14.42,2.88,22.5,0,0,0,22.79,0,0.96,43.7,28.97,24.04,0,0,0,223.07,3.85,43.7,14.57,26.78,43.7,14.57,9.62,8.84,26.78,9.62,9.62,1.92,0,72.11,0,48.08,72.11,0,65.28,3.85,1002.5400000000002

37,09:00-09:15,19.23,96.15,2.88,2.88,0,0,14.42,2.88,0,0,0,0,0,0,0.96,43.7,28.97,24.04,0,0,0,223.07,4.81,43.7,14.57,26.78,43.7,14.57,9.62,8.74,26.78,9.62,9.62,1.92,0,72.11,0,48.08,72.11,0,72.47,6.73,945.1100000000001

38,09:15-09:30,19.23,96.15,2.88,2.88,0,0,14.42,2.88,0,0,0,0,0,0,0.96,43.7,28.97,24.04,0,0,0,223.07,4.81,43.7,14.57,26.78,43.7,14.57,9.62,8.74,26.78,9.62,9.62,1.92,0,72.11,0,48.08,72.11,0,78.91,6.73,951.5500000000001

39,09:30-09:45,19.23,96.15,2.88,2.88,0,0,14.42,2.88,0,0,0,0,0,0,0.96,43.7,28.97,24.04,0,0,0,223.07,4.81,43.7,14.57,26.78,43.7,14.57,9.62,8.74,26.78,9.62,9.62,1.92,0,72.11,0,48.08,72.11,0,84.88,6.73,957.5200000000001

40,09:45-10:00,19.23,96.15,2.88,2.88,0,0,14.42,2.88,0,0,0,0,0,0,0.96,43.7,28.97,24.04,0,0,0,223.07,4.81,43.7,14.57,26.78,43.7,14.57,9.62,8.74,26.78,9.62,9.62,1.92,0,72.11,0,48.08,72.11,0,90.92,6.73,963.5600000000001

41,10:00-10:15,19.23,96.15,2.88,2.88,0,0,14.42,2.88,0,0,0,0,0,0,0.96,43.7,28.97,24.04,0,0,0,232.68,4.81,43.7,14.57,26.78,43.7,14.57,9.62,8.65,26.78,9.62,9.62,1.92,0,72.11,0,48.08,72.11,0,96.26,7.12,978.8100000000002

42,10:15-10:30,19.23,96.15,2.88,2.88,0,0,14.42,2.88,0,0,0,0,0,0,0.96,43.7,28.97,24.04,0,0,0,232.68,4.81,43.7,14.57,26.78,43.7,14.57,9.62,8.65,26.78,9.62,9.62,1.92,0,72.11,0,48.08,72.11,0,98.33,7.31,981.0700000000002

43,10:30-10:45,19.23,96.15,2.88,2.88,0,0,14.42,2.88,0,0,0,0,0,0,0.96,43.7,28.97,24.04,0,0,0,232.68,4.81,43.7,14.57,26.78,43.7,14.57,9.62,8.65,26.78,9.62,9.62,1.92,0,72.11,0,48.08,72.11,0,100,8.65,984.0800000000002

44,10:45-11:00,19.23,96.15,2.88,2.88,0,0,14.42,2.88,0,0,0,0,0,0,0.96,43.7,28.97,24.04,0,0,0,232.68,4.81,43.7,14.57,26.78,43.7,14.57,9.62,8.65,26.78,9.62,9.62,1.92,0,72.11,0,48.08,72.11,0,100,7.69,983.1200000000002

45,11:00-11:15,19.23,96.15,2.88,2.88,0,0,14.42,2.88,0,0,0,0,0,0,0.96,43.7,28.97,24.04,0,0,0,232.68,4.81,43.7,14.57,26.78,43.7,14.57,9.62,8.46,26.78,9.62,9.62,1.92,0,72.11,0,48.08,72.11,0,100,7.79,983.0300000000002

46,11:15-11:30,19.23,96.15,2.88,2.88,0,0,14.42,2.88,0,0,0,0,0,0,0.96,43.7,28.97,24.04,0,0,0,232.68,4.81,43.7,14.57,26.78,43.7,14.57,9.62,8.46,26.78,9.62,9.62,1.92,0,72.11,0,48.08,72.11,0,100,7.79,983.0300000000002

47,11:30-11:45,19.23,96.15,2.88,2.88,0,0,14.42,2.88,0,0,0,0,0,0,0.96,43.7,28.97,24.04,0,0,0,232.68,4.81,43.7,14.57,26.78,43.7,14.57,9.62,8.46,26.78,9.62,9.62,1.92,0,72.11,0,48.08,72.11,0,100,7.79,983.0300000000002

48,11:45-12:00,19.23,96.15,2.88,2.88,0,0,14.42,2.88,0,0,0,0,0,0,0.96,43.7,28.97,24.04,0,0,0,232.68,4.81,43.7,14.57,26.78,43.7,14.57,9.62,8.46,26.78,9.62,9.62,1.92,0,72.11,0,48.08,72.11,0,100,7.79,983.0300000000002

49,12:00-12:15,19.23,96.15,2.88,2.88,0,0,14.42,2.88,0,0,0,0,0,0,0.96,43.7,28.97,24.04,0,0,0,232.68,4.81,43.7,14.57,26.78,43.7,14.57,9.62,8.37,26.78,9.62,9.62,1.92,0,72.11,0,48.08,72.11,0,100,7.79,982.9400000000002

50,12:15-12:30,19.23,96.15,2.88,2.88,0,0,14.42,2.88,0,0,0,0,0,0,0.96,43.7,28.97,24.04,0,0,0,232.68,4.81,43.7,14.57,26.78,43.7,14.57,9.62,8.37,26.78,9.62,9.62,1.92,0,72.11,0,48.08,72.11,0,100,7.79,982.9400000000002

51,12:30-12:45,19.23,96.15,2.88,2.88,0,0,14.42,2.88,0,0,0,0,0,0,0.96,43.7,28.97,24.04,0,0,0,232.68,4.81,43.7,14.57,26.78,43.7,14.57,9.62,8.37,26.78,9.62,9.62,1.92,0,72.11,0,48.08,72.11,0,100,7.79,982.9400000000002

52,12:45-13:00,19.23,96.15,2.88,2.88,0,0,14.42,2.88,0,0,0,0,0,0,0.96,43.7,28.97,24.04,0,0,0,232.68,4.81,43.7,14.57,26.78,43.7,14.57,9.62,8.37,26.78,9.62,9.62,1.92,0,72.11,0,48.08,72.11,0,100,7.79,982.9400000000002

53,13:00-13:15,19.23,96.15,2.88,2.88,0,0,14.42,2.88,0,0,0,0,0,0,0.96,43.7,28.97,24.04,0,0,0,232.68,4.81,43.7,14.57,26.78,43.7,14.57,9.62,8.28,26.78,9.62,9.62,1.92,0,72.11,0,48.08,72.11,0,100,7.79,982.8500000000001

54,13:15-13:30,19.23,96.15,2.88,2.88,0,0,14.42,2.88,0,0,0,0,0,0,0.96,43.7,28.97,24.04,0,0,0,232.68,4.81,43.7,14.57,26.78,43.7,14.57,9.62,8.28,26.78,9.62,9.62,1.92,0,72.11,0,48.08,72.11,0,100,7.79,982.8500000000001

55,13:30-13:45,19.23,96.15,2.88,2.88,0,0,14.42,2.88,0,0,0,0,0,0,0.96,43.7,28.97,24.04,0,0,0,232.68,4.81,43.7,14.57,26.78,43.7,14.57,9.62,8.28,26.78,9.62,9.62,1.92,0,72.11,0,48.08,72.11,0,100,7.79,982.8500000000001

56,13:45-14:00,19.23,96.15,2.88,2.88,0,0,14.42,2.88,0,0,0,0,0,0,0.96,43.7,28.97,24.04,0,0,0,232.68,4.81,43.7,14.57,26.78,43.7,14.57,9.62,8.28,26.78,9.62,9.62,1.92,0,72.11,0,48.08,72.11,0,100,7.79,982.8500000000001

57,14:00-14:15,19.23,96.15,2.88,2.88,0,0,14.42,2.88,0,0,0,0,0,0,0.96,43.7,28.97,24.04,0,0,0,232.68,5.77,43.7,14.57,26.78,43.7,14.57,9.62,8.19,26.78,9.62,9.62,1.92,0,72.11,0,48.08,72.11,0,100,6.92,982.8500000000001

58,14:15-14:30,19.23,96.15,2.88,2.88,0,0,14.42,2.88,0,0,0,0,0,0,0.96,43.7,28.97,24.04,0,0,0,232.68,5.77,43.7,14.57,26.78,43.7,14.57,9.62,8.19,26.78,9.62,9.62,1.92,0,72.11,0,48.08,72.11,0,100,6.92,982.8500000000001

59,14:30-14:45,19.23,96.15,2.88,2.88,0,0,14.42,2.88,0,0,0,0,0,0,0.96,43.7,28.97,24.04,0,0,0,232.68,5.77,43.7,14.57,26.78,43.7,14.57,9.62,8.19,26.78,9.62,9.62,1.92,0,72.11,0,48.08,72.11,0,100,5.38,981.3100000000002

60,14:45-15:00,19.23,96.15,2.88,2.88,0,0,14.42,2.88,0,0,0,0,0,0,0.96,43.7,28.97,24.04,0,0,0,213.45,5.77,43.7,14.57,26.78,43.7,14.57,9.62,8.19,26.78,9.62,9.62,1.92,0,72.11,0,48.08,72.11,0,98.31,6.44,961.4500000000003

61,15:00-15:15,19.23,96.15,2.88,2.88,13.65,9.42,14.42,2.88,0,0,0,0,11.35,0,0.96,43.7,28.97,24.04,0,0,0,213.45,5.77,43.7,14.57,26.78,43.7,14.57,9.62,8.19,26.78,9.62,9.62,1.92,0,72.11,0,48.08,72.11,0,94.52,5.77,991.4100000000001

62,15:15-15:30,19.23,96.15,2.88,2.88,13.65,9.42,14.42,2.88,0,0,0,0,11.35,0,0.96,43.7,28.97,24.04,0,0,0,213.45,5.77,43.7,14.57,26.78,43.7,14.57,9.62,8.19,26.78,9.62,9.62,1.92,0,72.11,0,48.08,72.11,0,88.52,5.77,985.4100000000001

63,15:30-15:45,19.23,96.15,2.88,2.88,13.65,9.42,14.42,2.88,0,0,0,0,11.35,0,0.96,43.7,28.97,24.04,0,0,0,213.45,5.77,43.7,14.57,26.78,43.7,14.57,9.62,8.19,26.78,9.62,9.62,1.92,0,72.11,0,48.08,72.11,0,83.52,5.77,980.4100000000001

64,15:45-16:00,19.23,96.15,2.88,2.88,13.65,9.42,14.42,2.88,0,0,0,0,11.35,0,0.96,43.7,28.97,24.04,0,0,0,213.45,5.77,43.7,14.57,26.78,43.7,14.57,9.62,8.19,26.78,9.62,9.62,1.92,0,72.11,0,48.08,72.11,0,76.85,5.87,973.8400000000001

65,16:00-16:15,19.23,96.15,2.88,2.88,13.65,9.42,14.42,2.88,0,0,0,0,11.35,0,0.82,43.7,28.97,24.04,0,20.19,0,213.45,6.73,43.7,14.57,26.78,43.7,14.57,9.62,8.37,26.78,9.62,9.62,1.92,0,72.11,50,48.08,72.11,0,70.81,3.27,1036.39

