Column1,Block,NR/2024/22265/C,NR/2024/22274/C,NR/2024/22275/C,NR/2024/22278/C,NR/2024/22052/A/30471,NR/2024/22273/C,NR/2024/22058/A/30474,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,NR/30092023/31122025/SH-07,NR/2024/22014/A/30424,NR/01082024/31082024/SKS-Raigarh,NR/2024/21860/A/30720,NR/2024/21966/A/30439,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21968/A/30744,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/21954/A/30703,NR/2024/21983/A/30435,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug24,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/2024/22081/A/30719,NR/2024/21814/A/30756,NR/2024/22042/A/30423,NR/2024/21970/A/30746,NR/2024/21974/A/30749,NR/2024/21961/A/30660,NR/2024/21938/A/30661,NR/2024/21971/A/30748,NR/2024/22010/A/30747,NR/2024/21956/A/30706,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,DD20240805NR26059,NR/2024/21909/A/30640,NR/2024/21943/A/30702,NR/2024/22228/A/30696,NR/2024/21918/A/30707,NR/2024/21940/A/30704,NR/2024/22080/A/30317,NR/01082024/15082024/APL-Raigarh,NR/2024/21658/A/30406,NR/2024/22277/C,NR/01082024/31082024/jitpl,NR/30092023/26122029/SH-06,Total
13,03:00-03:15,29.13,27.92,163.93,0,0,0,0,0,0,26.3026,1.93,12.4,48.14,0,0,37.2,14.52,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,81.25,27.09,37.2,11.69,67.4,0,0,0,38.52,0,90.51,83.95,8.67,192.58,0.63,0,12.16,26.3026,1502.0152000000003

14,03:15-03:30,8.91,27.92,163.93,0,0,0,0,0,0,26.3026,1.93,12.4,48.14,0,0,37.2,14.52,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,81.25,27.09,37.2,11.69,67.4,0,0,0,38.52,0,90.51,83.95,8.67,192.58,0.63,0,12.16,26.3026,1481.7952000000002

15,03:30-03:45,0,27.92,163.93,0,0,0,0,0,0,26.3026,1.93,12.4,48.14,0,0,37.2,14.52,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,81.25,27.09,37.2,11.69,67.4,0,0,0,38.52,0,90.51,83.95,8.67,192.58,0.63,0,12.16,26.3026,1472.8852000000004

16,03:45-04:00,0,27.92,163.93,0,0,0,0,0,0,26.3026,1.93,12.4,48.14,0,0,37.2,14.52,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,81.25,27.09,37.2,11.69,67.4,0,0,0,38.52,0,90.51,83.95,8.67,192.58,0.63,0,12.16,26.3026,1472.8852000000004

17,04:00-04:15,0,27.92,163.93,0,0,0,0,0,0,26.3026,1.93,12.4,48.14,0,0,37.2,14.52,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,81.25,27.09,37.2,11.69,67.4,0,0,0,38.52,0,90.51,83.95,8.67,192.58,0.53,0,12.16,26.3026,1472.7852000000003

18,04:15-04:30,0,27.92,163.93,0,0,0,0,0,0,26.3026,1.93,12.4,48.14,0,0,37.2,14.52,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,81.25,27.09,37.2,11.69,67.4,0,0,0,38.52,0,90.51,83.95,8.67,192.58,0.53,0,12.16,26.3026,1472.7852000000003

19,04:30-04:45,0,27.92,163.93,0,0,0,0,0,0,26.3026,1.93,12.4,48.14,0,0,37.2,14.52,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,81.25,27.09,37.2,11.69,67.4,0,0,0,38.52,0,90.51,83.95,7.7,192.58,0.53,0,12.16,26.3026,1471.8152000000002

20,04:45-05:00,0,27.92,163.93,0,0,0,0,0,0,26.3026,1.93,12.4,48.14,0,0,37.2,14.52,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,81.25,27.09,37.2,11.69,67.4,0,0,0,38.52,0,90.51,83.95,7.7,192.58,0.53,0,12.16,26.3026,1471.8152000000002

21,05:00-05:15,0,27.92,163.93,0,0,0,0,0,0,26.3026,1.93,12.4,48.14,0,0,37.2,17.28,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,81.25,27.09,37.2,11.69,24.07,0,0,0,38.52,0,90.51,83.95,7.7,192.58,0.53,0,12.16,26.3026,1431.2452000000003

22,05:15-05:30,0,27.92,163.93,0,0,0,0,0,0,26.3026,1.93,12.4,48.14,0,0,37.2,17.28,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,81.25,27.09,37.2,11.69,24.07,0,0,0,38.52,0,90.51,83.95,7.7,192.58,0.53,0,12.16,26.3026,1431.2452000000003

23,05:30-05:45,0,27.92,163.93,0,0,0,0,0,0,26.3026,1.93,12.4,48.14,0,0,37.2,17.28,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,81.25,27.09,37.2,11.69,24.07,0,0,0,38.52,0,90.51,83.95,7.7,192.58,0.53,0,12.16,26.3026,1431.2452000000003

24,05:45-06:00,0,27.92,163.93,0,0,0,0,0,0,26.3026,1.93,12.4,48.14,0,0,37.2,17.28,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,81.25,27.09,37.2,11.69,24.07,0,0,0,38.52,0,90.51,83.95,7.7,192.58,0.53,0,12.16,26.3026,1431.2452000000003

25,06:00-06:15,0,27.92,163.93,0,0,0,0,0,0,26.3026,1.93,12.4,48.14,0,0,37.2,17.28,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,0,0,38.52,0,90.51,83.95,7.7,192.58,0.67,0,12.16,26.3026,1323.0452000000002

26,06:15-06:30,0,27.92,163.93,0,0,0,0,0,0,26.3026,1.93,12.4,48.14,0,0,37.2,17.28,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,0,0,38.52,0,90.51,83.95,7.7,192.58,0.67,0,12.16,26.3026,1323.0452000000002

27,06:30-06:45,0,27.92,163.93,0,0,0.18,0,0,0,26.3026,1.93,12.4,48.14,0,0,37.2,17.28,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,0,0,38.52,0,90.51,83.95,8.67,192.58,0.67,0,12.16,26.3026,1324.1952000000003

28,06:45-07:00,0,27.92,163.93,0,0,0.62,0,0,0,26.3026,1.93,12.4,48.14,0,0,37.2,17.28,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,0,0,38.52,0,90.51,83.95,8.67,192.58,0.67,0,12.16,26.3026,1324.6352000000004

29,07:00-07:15,0,27.92,163.93,0,0,0.93,0,0,0,26.3026,1.93,12.4,48.14,0,0,37.2,17.28,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,0,0,38.52,0,90.51,83.95,8.67,192.58,0.77,0,12.16,26.3026,1325.0452000000002

30,07:15-07:30,0,27.92,163.93,0,0,1.26,0,0,0,26.3026,1.93,12.4,48.14,0,0,37.2,17.28,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,0,0,38.52,0,90.51,83.95,8.67,192.58,0.77,0,12.16,26.3026,1325.3752000000002

31,07:30-07:45,0,27.92,163.93,0,0,1.84,0,0,0,26.8708,1.93,12.4,48.14,0,0,37.2,17.28,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,0,0,38.52,0,90.51,83.95,8.67,192.58,0.77,0,12.16,26.8708,1327.0916000000002

32,07:45-08:00,0,27.92,163.93,0,0,3.05,0,0,0,26.8708,1.93,12.4,48.14,0,0,37.2,17.28,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,0,0,38.52,0,90.51,83.95,8.67,192.58,0.77,0,12.16,26.8708,1328.3016000000002

33,08:00-08:15,0,27.92,163.93,0,0,3.31,0,0,0,26.8708,1.93,12.4,48.14,0,0,37.2,17.28,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,0,0,38.52,0,90.51,83.95,8.67,192.58,0.96,0,12.16,26.8708,1328.7516000000003

34,08:15-08:30,0,27.92,163.93,0,0,4.16,0,0,0,26.8708,1.93,12.4,48.14,0,0,37.2,17.28,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,0,0,38.52,0,90.51,83.95,8.67,192.58,0.96,0,12.16,26.8708,1329.6016000000002

35,08:30-08:45,0,27.92,163.93,0,0,4,0,0,0,26.8708,1.93,12.4,48.14,0,0,37.2,17.28,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,0,0,38.52,0,90.51,83.95,8.67,192.58,0.96,0,12.16,26.8708,1329.4416

36,08:45-09:00,0,27.92,163.93,0,0,3.81,0,0,0,26.8708,1.93,12.4,48.14,0,0,37.2,17.28,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,0,0,38.52,0,90.51,83.95,8.67,192.58,0.96,0,12.16,26.8708,1329.2516000000003

37,09:00-09:15,0,27.92,163.93,0,19.26,3.93,10.59,0,0,26.8708,1.93,12.4,48.14,48.14,0,37.2,17.28,24,48.14,0,0,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,0,192.58,38.52,0,90.51,83.95,9.63,0,0.96,21.47,12.16,26.8708,1381.6516000000004

38,09:15-09:30,0,27.92,163.93,0,25.04,4.18,10.59,0,0,26.8708,1.93,12.4,48.14,48.14,0,37.2,17.28,24,48.14,0,0,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,0,192.58,38.52,0,90.51,83.95,9.63,0,0.96,17.33,12.16,26.8708,1383.5416000000002

39,09:30-09:45,0,27.92,109.29,0,28.89,4.31,10.59,0,0,26.8708,1.93,12.4,48.14,48.14,0,37.2,17.28,24,48.14,0,0,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,0,192.58,38.52,0,90.51,83.95,11.55,0,0.96,13.48,12.16,26.8708,1330.9516000000003

40,09:45-10:00,0,27.92,109.29,0,32.74,3.88,10.59,0,0,26.8708,1.93,12.4,48.14,48.14,0,37.2,17.28,24,48.14,0,0,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,0,192.58,38.52,0,90.51,83.95,11.55,0,0.96,9.63,12.16,26.8708,1330.5216000000003

41,10:00-10:15,0,27.92,109.29,0,32.74,3.47,10.59,0,0,26.8708,1.93,12.4,48.14,48.14,0,37.2,15.44,24,48.14,0,0,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,0,192.58,38.52,0,90.51,83.95,11.55,0,0.96,9.63,12.16,26.8708,1328.2716000000003

42,10:15-10:30,0,27.92,109.29,0,32.74,5.13,10.59,0,0,26.8708,1.93,12.4,48.14,48.14,0,37.2,15.44,24,48.14,0,0,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,0,192.58,38.52,0,90.51,83.95,11.55,0,0.96,9.63,12.16,26.8708,1329.9316000000003

43,10:30-10:45,0,27.92,109.29,0,36.59,5.74,10.59,0,0,26.8708,1.93,12.4,48.14,48.14,0,37.2,15.44,24,48.14,0,0,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,0,192.58,38.52,0,90.51,83.95,12.52,0,0.96,5.78,12.16,26.8708,1331.5116000000003

44,10:45-11:00,0,27.92,109.29,0,39.48,4.42,10.59,0,0,26.8708,1.93,12.4,48.14,48.14,0,37.2,15.44,24,48.14,0,0,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,0,192.58,38.52,0,90.51,83.95,12.52,0,0.96,2.89,12.16,26.8708,1330.1916000000003

45,11:00-11:15,0,27.92,109.29,0,41.4,4.32,10.59,0,0,26.8708,1.93,12.4,48.14,48.14,0,37.2,15.44,24,48.14,0,0,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,0,192.58,38.52,0,90.51,83.95,12.52,0,0.96,0.96,12.16,26.8708,1330.0816000000002

46,11:15-11:30,0,27.92,109.29,0,42.37,5.15,10.59,0,0,26.8708,1.93,12.4,48.14,48.14,0,37.2,15.44,24,48.14,0,0,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,0,192.58,38.52,0,90.51,83.95,12.52,0,0.96,0,12.16,26.8708,1330.9216000000001

47,11:30-11:45,0,27.92,109.29,0,42.37,4.94,10.59,0,0,26.8708,1.93,12.4,48.14,48.14,0,37.2,15.44,24,48.14,0,0,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,0,192.58,38.52,0,90.51,83.95,12.52,0,0.96,0,12.16,26.8708,1330.7116

48,11:45-12:00,0,27.92,109.29,0,42.37,6.65,10.59,0,0,26.8708,1.93,12.4,48.14,48.14,0,37.2,15.44,24,48.14,0,0,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,0,192.58,38.52,0,90.51,83.95,12.52,0,0.96,0,12.16,26.8708,1332.4216000000001

49,12:00-12:15,0,27.92,109.29,0,42.37,4.93,10.59,0,0,26.8708,1.93,12.4,48.14,48.14,0,37.2,17.74,24,48.14,0,0,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,0,192.58,38.52,0,90.51,83.95,12.52,0,0.96,0,12.16,26.8708,1333.0016000000003

50,12:15-12:30,0,27.92,109.29,0,42.37,6.62,10.59,0,0,26.8708,1.93,12.4,48.14,48.14,0,37.2,17.74,24,48.14,0,0,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,0,192.58,38.52,0,90.51,83.95,12.52,0,0.96,0,12.16,26.8708,1334.6916

51,12:30-12:45,0,27.92,109.29,0,42.37,6.7,10.59,0,0,26.8708,1.93,12.4,48.14,48.14,0,37.2,17.74,24,48.14,0,0,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,0,192.58,38.52,0,90.51,83.95,12.52,0,0.96,0,12.16,26.8708,1334.7716000000003

52,12:45-13:00,0,27.92,109.29,0,42.37,9.63,10.59,0,0,26.8708,1.93,12.4,48.14,48.14,0,37.2,17.74,24,48.14,0,0,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,0,192.58,38.52,0,90.51,83.95,12.52,0,0.96,0,12.16,26.8708,1337.7016

53,13:00-13:15,0,27.92,109.29,0,42.37,6.34,10.59,0,0,26.8708,1.93,12.4,48.14,48.14,0,37.2,17.74,24,48.14,0,0,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,0,192.58,38.52,0,90.51,83.95,12.52,0,0.96,0,12.16,26.8708,1334.4116000000001

54,13:15-13:30,0,27.92,109.29,0,42.37,6.42,10.59,0,0,26.8708,1.93,12.4,48.14,48.14,0,37.2,17.74,24,48.14,0,0,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,0,192.58,38.52,0,90.51,83.95,12.52,0,0.96,0,12.16,26.8708,1334.4916000000003

55,13:30-13:45,0,27.92,163.93,0,42.37,6.67,10.59,0,0,26.8708,1.93,12.4,48.14,48.14,0,37.2,17.74,24,48.14,0,0,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,0,192.58,38.52,0,90.51,83.95,12.52,0,0.96,0,12.16,26.8708,1389.3816000000002

56,13:45-14:00,0,27.92,163.93,0,42.37,4.86,10.59,0,0,26.8708,1.93,12.4,48.14,48.14,0,37.2,17.74,24,48.14,0,0,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,0,192.58,38.52,0,90.51,83.95,12.52,0,0.96,0,12.16,26.8708,1387.5716000000002

57,14:00-14:15,0,27.92,163.93,0,42.37,4.33,10.59,0,0,26.8708,1.93,12.4,48.14,48.14,0,37.2,14.52,24,48.14,0,0,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,0,192.58,38.52,0,90.51,83.95,12.52,0,0.96,0,12.16,26.8708,1383.8216000000002

58,14:15-14:30,0,27.92,163.93,0,42.37,2.08,10.59,0,0,26.8708,1.93,12.4,48.14,48.14,0,37.2,14.52,24,48.14,0,0,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,0,192.58,38.52,0,90.51,83.95,12.52,0,0.96,0,12.16,26.8708,1381.5716000000002

59,14:30-14:45,0,27.92,163.93,0,42.37,4.39,10.59,0,0,26.8708,1.93,12.4,48.14,48.14,0,37.2,14.52,24,48.14,0,0,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,0,192.58,38.52,0,90.51,83.95,12.52,0,0.96,0,12.16,26.8708,1383.8816000000002

60,14:45-15:00,0,27.92,163.93,0,39.48,7.69,10.59,0,0,26.8708,1.93,12.4,48.14,48.14,0,37.2,14.52,24,48.14,0,0,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,0,192.58,38.52,0,90.51,83.95,12.52,0,0.96,2.89,12.16,26.8708,1387.1816000000001

61,15:00-15:15,0,27.92,163.93,0,38.52,7.75,10.59,0,0,26.8708,1.93,12.4,48.14,48.14,0,37.2,14.52,24,48.14,0,0,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,0,192.58,38.52,44.37,90.51,83.95,12.52,0,0.96,3.85,12.16,26.8708,1431.6116

62,15:15-15:30,0,27.92,163.93,0,33.7,4.48,10.59,0,0,26.8708,1.93,12.4,48.14,48.14,0,37.2,14.52,24,48.14,0,0,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,0,192.58,38.52,44.37,90.51,83.95,12.52,0,0.96,8.67,12.16,26.8708,1428.3416

63,15:30-15:45,0,27.92,163.93,0,31.78,3.55,10.59,0,0,26.8708,1.93,12.4,48.14,48.14,0,37.2,14.52,24,48.14,0,0,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,0,192.58,38.52,44.37,90.51,83.95,12.52,0,0.96,10.59,12.16,26.8708,1427.4116

64,15:45-16:00,0,27.92,163.93,0,26.96,3.02,10.59,0,0,26.8708,1.93,12.4,48.14,48.14,0,37.2,14.52,24,48.14,0,0,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,0,192.58,38.52,44.37,90.51,83.95,12.52,0,0.96,15.41,12.16,26.8708,1426.8816000000002

