Column1,Block,NR/2025/32652/A/94894,NR/2025/32653/A/94892,GNARE/NR/2024/12/20/3668,NR/2025/32534/A/95180,NR/2025/32535/A/95181,NR/2025/32532/A/95175,NR/2025/32599/A/95169,NR/2025/32532/A/95176,NR/2025/33126/C,NR/2025/32534/A/95178,NR/2025/32535/A/95182,NR/2025/32857/A/94880,NR/30092023/31122025/SH-07,NR/2025/33221/C,NR/2025/33091/C,NR/2025/32375/A/95231,NR/2025/33137/C,NR/2025/32397/A/94748,NR/2025/32598/A/95221,NR/2025/32702/A/94845,NR/2025/32556/A/95243,NR/2025/33140/C,NR/2025/32262/A/94769,NR/2025/32455/A/95250,NR/2025/33127/C,NR/2025/33095/C,NR/2025/33129/C,NR/2025/33096/C,NR/2025/32559/A/95242,NR/2025/31046/A/95149,NR/2025/33130/C,NR/2025/33044/C,NR/2025/32610/A/95239,NR/2025/32004/A/95247,NR/2025/29440/A/94737,NR/2025/33145/C,NR/2025/31047/A/95150,NR/2025/32554/A/95141,NR/2025/31041/A/95147,NR/2025/33131/C,NR/2025/31421/A/95235,NR/2025/31042/A/95148,NR/2025/29992/A/95064,GNA/NR/2025/08/01/6187,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/5784,Total
3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,0,0,8.35,0,0,47.99,0,8.64,81.58,12.48,26.17,0,53.99,47.99,0,0,0,0,26.17,95.98,0,0,26.17,105.58,0.86,191.96,0,163.17,95.98,0,47.99,0,44.15,28.86,14.51,30.5,19.2,14.54,40.79,20.4,33.59,20.71,20.4,15.21,14.54,81.58,1440.03

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,0,0,8.35,0,0,47.99,0,8.64,81.58,12.48,26.17,0,53.99,47.99,0,0,0,0,26.17,95.98,0,0,26.17,105.58,0.86,191.96,0,163.17,95.98,0,47.99,0,44.15,28.86,14.51,30.5,19.2,14.54,40.79,20.4,33.59,20.71,20.4,15.21,14.54,81.58,1440.03

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,0,0,17.68,0,0,47.99,0,8.64,81.58,12.48,26.17,0,53.99,47.99,0,0,0,0,26.17,95.98,0,0,26.17,105.58,0.62,191.96,0,163.17,95.98,0,47.99,0,44.15,28.86,14.51,30.5,19.2,14.54,40.79,20.4,33.59,20.71,20.4,15.21,14.54,81.58,1449.1200000000001

6,01:15-01:30,0,0,0,0,0,0,0,0,0,0,0,0,17.68,0,0,47.99,0,8.64,81.58,12.48,26.17,0,53.99,47.99,0,0,0,0,26.17,95.98,0,0,26.17,105.58,0.62,191.96,0,163.17,95.98,0,47.99,0,44.15,28.86,14.51,30.5,19.2,14.54,40.79,20.4,33.59,20.71,20.4,15.21,14.54,81.58,1449.1200000000001

7,01:30-01:45,0,0,0,0,0,0,0,0,0,0,0,0,17.68,0,0,47.99,0,8.64,81.58,12.48,26.17,0,53.99,47.99,0,0,0,0,26.17,95.98,0,0,26.17,105.58,0.62,191.96,0,163.17,95.98,0,47.99,0,44.15,28.86,14.51,30.5,19.2,14.54,40.79,20.4,33.59,20.71,20.4,15.21,14.54,81.58,1449.1200000000001

8,01:45-02:00,0,0,0,0,0,0,0,0,0,0,0,0,17.68,0,0,47.99,0,8.64,81.58,12.48,26.17,0,53.99,47.99,0,0,0,0,26.17,95.98,0,0,26.17,105.58,0.62,191.96,0,163.17,95.98,0,47.99,0,44.15,28.86,14.51,30.5,19.2,14.54,40.79,20.4,33.59,20.71,20.4,15.21,14.54,81.58,1449.1200000000001

9,02:00-02:15,0,0,0,0,0,0,0,0,0,0,0,0,25.28,0,0,47.99,0,8.64,81.58,12.48,26.17,0,53.99,0,0,0,0,0,26.17,95.98,0,0,26.17,105.58,0.62,191.96,0,163.17,95.98,0,47.99,0,44.15,28.86,14.51,30.5,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1456.72

10,02:15-02:30,0,0,0,0,0,0,0,0,0,0,0,0,25.28,0,0,47.99,0,8.64,81.58,12.48,26.17,0,53.99,0,0,0,0,0,26.17,95.98,0,0,26.17,105.58,0.62,191.96,0,163.17,95.98,0,47.99,0,44.15,28.86,14.51,30.5,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1456.72

11,02:30-02:45,0,0,0,0,0,0,0,0,0,0,0,0,25.28,0,0,47.99,0,8.64,81.58,12.48,26.17,0,53.99,0,0,0,0,0,26.17,95.98,0,0,26.17,105.58,0.62,191.96,0,163.17,95.98,0,47.99,0,44.15,28.86,14.51,30.5,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1456.72

12,02:45-03:00,0,0,0,0,0,0,0,0,0,0,0,0,25.28,0,0,47.99,0,8.64,81.58,12.48,26.17,0,53.99,0,0,0,0,0,26.17,95.98,0,0,26.17,105.58,0.62,191.96,0,163.17,95.98,0,47.99,0,44.15,28.86,14.51,30.5,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1456.72

13,03:00-03:15,0,0,0,0,0,0,0,0,0,0,0,0,26.91,0,0,47.99,0,8.64,81.58,12.48,26.17,0,53.99,0,0,0,0,0,26.17,95.98,0,0,26.17,76.42,0.53,191.96,0,163.17,95.98,0,47.99,0,44.15,28.86,14.51,26.91,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1425.51

14,03:15-03:30,0,0,0,0,0,0,0,0,0,0,0,0,26.91,0,0,47.99,0,8.64,81.58,12.48,26.17,0,53.99,0,0,0,0,0,26.17,95.98,0,0,26.17,76.42,0.53,191.96,0,163.17,95.98,0,47.99,0,44.15,28.86,14.51,26.91,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1425.51

15,03:30-03:45,0,0,0,0,0,0,0,0,0,0,0,0,26.91,0,0,47.99,0,8.64,81.58,12.48,26.17,0,53.99,0,0,0,0,0,26.17,95.98,0,0,26.17,76.42,0.53,191.96,0,163.17,95.98,0,47.99,0,44.15,28.86,14.51,26.91,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1425.51

16,03:45-04:00,0,0,0,0,0,0,0,0,0,0,0,0,26.91,0,0,47.99,0,8.64,81.58,12.48,26.17,0,53.99,0,0,0,0,0,26.17,95.98,0,0,26.17,76.42,0.53,191.96,0,163.17,95.98,0,47.99,0,44.15,28.86,14.51,26.91,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1425.51

17,04:00-04:15,0,0,0,0,0,0,0,0,0,0,0,0,26.91,0,0,47.99,0,8.64,81.58,12.48,26.17,0,0,0,0,0,0,0,26.17,0,0,0,26.17,76.42,0.53,191.96,0,163.17,0,0,47.99,0,44.15,28.86,14.33,26.91,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1179.3799999999999

18,04:15-04:30,0,0,0,0,0,0,0,0,0,0,0,0,26.91,0,0,47.99,0,8.64,81.58,12.48,26.17,0,0,0,0,0,0,0,26.17,0,0,0,26.17,76.42,0.53,191.96,0,163.17,0,0,47.99,0,44.15,28.86,14.33,26.91,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1179.3799999999999

19,04:30-04:45,0,0,0,0,0,0,0,0,0,0,0,0,26.91,0,0,47.99,0,8.64,81.58,12.48,26.17,0,0,0,0,0,0,0,26.17,0,0,0,26.17,76.42,0.53,191.96,0,163.17,0,0,47.99,0,44.15,28.86,14.33,26.91,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1179.3799999999999

20,04:45-05:00,0,0,0,0,0,0,0,0,0,0,0,0,26.91,0,0,47.99,0,8.64,81.58,12.48,26.17,0,0,0,0,0,0,0,26.17,0,0,0,26.17,76.42,0.53,191.96,0,163.17,0,0,47.99,0,44.15,28.86,14.33,26.91,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1179.3799999999999

21,05:00-05:15,0,0,0,0,0,0,0,0,0,0,0,0,26.91,0,0,47.99,0,8.64,81.58,12.48,26.17,0,0,0,0,0,0,0,26.17,0,0,0,26.17,76.42,0.53,191.96,0,163.17,0,0,47.99,0,44.15,28.86,14.33,26.91,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1179.3799999999999

22,05:15-05:30,0,0,0,0,0,0,0,0,0,0,0,0,26.91,0,0,47.99,0,8.64,81.58,12.48,26.17,0,0,0,0,0,0,0,26.17,0,0,0,26.17,76.42,0.53,191.96,0,163.17,0,0,47.99,0,44.15,28.86,14.33,26.91,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1179.3799999999999

23,05:30-05:45,0,0,0,0,0,0,0,0,0,0,0,0,26.91,0,0,47.99,0,8.64,81.58,11.52,26.17,0,0,0,0,0,0,0,26.17,0,0,0,26.17,76.42,0.53,191.96,0,163.17,0,0,47.99,0,44.15,28.86,14.33,26.91,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1178.42

24,05:45-06:00,0,0,0.16,0,0,0,0,0,0,0,0,0,26.91,0,0,47.99,0,8.64,81.58,11.52,26.17,0,0,0,0,0,0,0,26.17,0,0,0,26.17,76.42,0.53,191.96,0,163.17,0,0,47.99,0,44.15,28.86,14.33,26.91,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1178.58

25,06:00-06:15,0,0,0.76,0,0,0,1,0,0,0,0,0,23.22,0,0,47.99,0,0,81.58,11.52,26.17,0,0,0,0,0,0,0,26.17,0,0,0,26.17,76.42,0.82,191.96,0,163.17,0,0,47.99,0,44.15,28.86,14.33,23.22,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1164.45

26,06:15-06:30,0,0,1.78,0,0,0,5,0,0,0,0,0,23.22,0,0,47.99,0,0,81.58,11.52,26.17,0,0,0,0,0,0,0,26.17,0,0,0,26.17,76.42,0.82,191.96,0,163.17,0,0,47.99,0,44.15,28.86,14.33,23.22,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1169.47

27,06:30-06:45,0,0,3.38,0,0.05,0,10,0.2,0.84,0.11,0,0,26.91,0,0,47.99,0,0,81.58,11.52,26.17,0,0,0,0,0,0,0,26.17,0,0,0,26.17,76.42,0.82,191.96,0,163.17,0,0,47.99,0,44.15,28.86,14.33,26.91,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1184.65

28,06:45-07:00,0,0,5.74,0,0.05,0,17,0.21,1.37,0.11,0,0,26.91,0,0,47.99,0,0,81.58,11.52,26.17,0,0,0,0,0,0,0,26.17,0,0,0,26.17,76.42,0.82,191.96,0,163.17,0,0,47.99,0,44.15,28.86,14.33,26.91,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1194.55

29,07:00-07:15,0,0,9.16,0,0.06,0,24,0.12,1.97,0.06,0,0,26.91,0,0,47.99,0,0,81.58,11.52,26.17,0,0,0,0,0,0,0,26.17,0,0,0,26.17,76.42,0.86,191.96,0,163.17,0,0,47.99,0,44.15,28.86,14.33,26.91,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1205.48

30,07:15-07:30,0,0,13.17,0.01,0.06,0.01,34,0.12,2.97,0.06,0.01,0,26.91,0,0,47.99,0,0,81.58,11.52,26.17,0,0,0,0,0,0,0,26.17,0,0,0,26.17,76.42,0.86,191.96,0,163.17,0,0,47.99,0,44.15,28.86,14.33,26.91,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1220.52

31,07:30-07:45,0,0,17.95,0.12,0,0.15,46,0,3.85,0,0.09,0,26.91,0,0,47.99,0,0,81.58,11.52,26.17,0,0,0,0,0,0,0,26.17,0,0,0,26.17,76.42,0.86,191.96,0,163.17,0,0,47.99,0,44.15,28.86,14.33,26.91,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1238.27

32,07:45-08:00,0,0,23.53,0.24,0.04,0.31,60,0.1,5.24,0.06,0.17,0,26.91,0,0,47.99,0,0,81.58,11.52,26.17,0,0,0,0,0,0,0,26.17,0,0,0,26.17,76.42,0.86,191.96,0,163.17,0,0,47.99,0,44.15,28.86,14.33,26.91,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1259.8

33,08:00-08:15,1.63,0,29.62,0.36,0.07,0.45,74,0.17,6.17,0.11,0.3,1.15,26.91,0,0,47.99,0,0,81.58,11.52,26.17,0,0,0,0,0,0,0,26.17,0,0,0,26.17,76.42,0.96,191.96,0,163.17,0,0,47.99,0,44.15,28.86,14.33,26.91,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1284.24

34,08:15-08:30,1.63,0,35.99,0.47,0.12,0.6,91,0.31,8.51,0.29,0.4,1.15,26.91,0,0,47.99,0,0,81.58,11.52,26.17,0,0,0,0,0,0,0,26.17,0,0,0,26.17,76.42,0.96,191.96,0,163.17,0,0,47.99,0,44.15,28.86,14.33,26.91,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1310.68

35,08:30-08:45,1.63,0,42.52,0.59,0.18,0.76,104,0.46,5.86,0.29,0.51,1.15,26.91,0,0,47.99,0,0,81.58,13.44,26.17,0,0,0,0,0,0,0,26.17,0,0,0,26.17,76.42,0.96,191.96,0,163.17,0,0,47.99,0,44.15,28.86,14.33,26.91,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1330.0800000000002

36,08:45-09:00,1.63,0,48.89,0.67,0.19,0.96,119,0.48,5.86,0.29,0.67,1.15,26.91,0,0,47.99,0,0,81.58,13.44,26.17,0,0,0,0,0,0,0,26.17,0,0,0,26.17,76.42,0.96,191.96,0,163.17,0,0,47.99,0,44.15,28.86,14.33,26.91,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1351.92

37,09:00-09:15,1.63,0,55,0.77,0.19,0.96,132,0.48,5.86,0.29,0.67,1.15,26.92,0,163.17,0,47.99,0,81.58,13.44,0,47.99,0,0,76.42,0,43.62,0,0,0,43.62,44.15,0,0,0.96,191.96,0,0,0,37.09,0,0,0,28.86,14.33,26.92,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1416.9700000000003

38,09:15-09:30,1.63,0,60.84,0.77,0.19,0.96,144,0.48,6.84,0.29,0.67,1.15,26.92,0,163.17,0,47.99,0,81.58,13.44,0,47.99,0,0,76.42,0,43.62,0,0,0,43.62,44.15,0,0,0.96,191.96,0,0,0,37.09,0,0,0,28.86,14.33,26.92,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1435.79

39,09:30-09:45,1.63,0,65.75,0.77,0.19,0.96,158,0.48,6.84,0.29,0.67,1.15,26.92,0,163.17,0,47.99,0,81.58,13.44,0,47.99,0,0,76.42,0,43.62,0,0,0,43.62,44.15,0,0,0.96,191.96,0,0,0,37.09,0,0,0,28.86,14.33,26.92,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1454.7

40,09:45-10:00,1.63,0,70.09,0.77,0.19,0.96,172,0.48,7.81,0.29,0.67,1.15,26.92,0,163.17,0,47.99,0,81.58,13.44,0,47.99,0,0,76.42,0,43.62,0,0,0,43.62,44.15,0,0,0.96,191.96,0,0,0,37.09,0,0,0,28.86,14.33,26.92,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1474.01

41,10:00-10:15,1.63,1.44,75.79,0.77,0.19,0.96,179,0.48,7.81,0.29,0.67,1.15,26.92,0,163.17,0,47.99,0,81.58,13.44,0,47.99,0,0,76.42,0,43.62,0,0,0,43.62,44.15,0,0,0.96,191.96,0,0,0,37.09,0,0,0,28.86,14.33,26.92,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1488.1499999999999

42,10:15-10:30,1.63,1.44,79.82,0.77,0.19,0.96,182,0.48,7.81,0.29,0.67,1.15,26.92,0,163.17,0,47.99,0,81.58,13.44,0,47.99,0,0,76.42,0,43.62,0,0,0,43.62,44.15,0,0,0.96,191.96,0,0,0,37.09,0,0,0,28.86,14.33,26.92,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1495.1799999999998

43,10:30-10:45,1.63,1.44,83.38,0.45,0.19,0.63,189,0.48,11.51,0.29,0.36,1.15,26.92,0,163.17,0,47.99,0,81.58,13.44,0,47.99,0,0,76.42,0,43.62,0,0,0,43.62,44.15,0,0,0.96,191.96,0,0,0,37.09,0,0,0,28.86,14.33,26.92,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1508.48

44,10:45-11:00,1.63,1.44,87.45,0.48,0.19,0.63,196,0.48,11.51,0.29,0.36,1.15,26.92,0,163.17,0,47.99,0,81.58,13.44,0,47.99,0,0,76.42,0,43.62,0,0,0,43.62,44.15,0,0,0.96,191.96,0,0,0,37.09,0,0,0,28.86,14.33,26.92,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1519.58

45,11:00-11:15,1.63,1.44,91.79,0.48,0.19,0.63,200,0.48,11.51,0.29,0.36,1.15,26.92,0,163.17,0,47.99,0,81.58,13.44,0,47.99,0,0,76.42,0,43.62,0,0,0,43.62,44.15,0,0,0.96,191.96,0,0,0,37.09,0,0,0,28.86,14.33,26.92,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1527.9199999999998

46,11:15-11:30,1.63,1.44,95.01,0.48,0.19,0.49,200,0.48,11.51,0.29,0.28,1.15,26.92,0,163.17,0,47.99,0,81.58,13.44,0,47.99,0,0,76.42,0,43.62,0,0,0,43.62,44.15,0,0,0.96,191.96,0,0,0,37.09,0,0,0,28.86,14.33,26.92,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1530.9199999999998

47,11:30-11:45,1.63,1.44,100,0.48,0.19,0.38,189,0.48,11.51,0.29,0.38,1.15,26.92,0,163.17,0,47.99,0,81.58,13.44,0,47.99,0,0,76.42,0,43.62,0,0,0,43.62,44.15,0,0,0.96,191.96,0,0,0,37.09,0,0,0,28.86,14.33,26.92,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1524.8999999999999

48,11:45-12:00,1.63,1.44,100,0.48,0.19,0.38,189,0.48,11.51,0.29,0.38,1.15,26.92,0,163.17,0,47.99,0,81.58,13.44,0,47.99,0,0,76.42,0,43.62,0,0,0,43.62,44.15,0,0,0.96,191.96,0,0,0,37.09,0,0,0,28.86,14.33,26.92,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1524.8999999999999

49,12:00-12:15,1.63,1.44,100,0.48,0.19,0.38,200,0.48,19.32,0.29,0.38,1.15,26.94,0,163.17,0,47.99,0,81.58,13.44,0,47.99,0,0,76.42,0,43.62,0,0,0,43.62,44.15,0,0,0.96,191.96,0,0,0,37.09,0,0,0,28.86,14.33,26.94,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1543.75

50,12:15-12:30,1.63,1.44,100,0.48,0.19,0.38,200,0.48,19.62,0.29,0.38,1.15,26.94,0,163.17,0,47.99,0,81.58,13.44,0,47.99,0,0,76.42,0,43.62,0,0,0,43.62,44.15,0,0,0.96,191.96,0,0,0,37.09,0,0,0,28.86,14.33,26.94,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1544.05

51,12:30-12:45,1.63,1.44,100,0.48,0.19,0.38,200,0.48,19.88,0.29,0.38,1.15,26.94,0,163.17,0,47.99,0,81.58,13.44,0,47.99,0,0,76.42,0,43.62,0,0,0,43.62,44.15,0,0,0.96,191.96,0,0,0,37.09,0,0,0,28.86,14.33,26.94,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1544.31

52,12:45-13:00,1.63,1.44,100,0.48,0.19,0.38,200,0.48,20.16,0.29,0.38,1.15,26.94,0,163.17,0,47.99,0,81.58,13.44,0,47.99,0,0,76.42,0,43.62,0,0,0,43.62,44.15,0,0,0.96,191.96,0,0,0,37.09,0,0,0,28.86,14.33,26.94,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1544.59

