Block,Time Block,VALLURNTECL,URI2,AURY_LF,DADRI_GF,DADRI_CRF,DADRI_RF,AURY_RF,DADRI_LF,ANTA_LF,AURY_GF,ANTA_GF,AURY_CRF,ANTA_CRF,ANTA_RF,CHAMERA1,DADRT2,BSIUL,CHAMERA3,CHAMERA2,BRBCL,DHAULIGNGA,KISHANGANGA,KOLDAM,JHAJJAR,KHSTPP-I,FSTPP I & II,KGSU1AND2,DULHASTI,KGSU3AND4,KHSTPP-II,KKNP,KKNPPU2,KUDGI,MAPS,KOTESHWR,NJPC,NAPP,NLCEXP,RIHAND1,NLCTS2EXP,RAMPUR,RSTPSU1TO6,NNTPP,RAPPC,RSTPSU7,NTPL,RIHAND3,PARBATI3,RAPPB,NLCIIST1,RIHAND2,NLCIIST2,SASAN,SIMHST1,SALAL,SEWA2,SINGRAULI_HYDRO,SIMHST2,TALST2,SINGRAULI,TANAKPUR,TALA,UNCHAHAR3,URI,TelanganaSTPP,UNCHAHAR2,TEHRI,UNCHAHAR4,TANDA2,UNCHAHAR1,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
25,06:00-06:15,0,24.89,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,1.39,5.15,110.84,20.45,11.27,0,34.89,0,128.19,0,0,0,0,27.9,160.9,43.66,0,50.13,0,3.41,0,0,58,0,0,122.87,51.42,0,0,117.19,0,313.06,0,76.08,0,0.75,0,0,97.51,11.1,7.92,14.33,40.92,0,23.15,65.21,0,0,11.79,0,0,0,0,0

26,06:15-06:30,0,24.89,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,1.39,5.15,110.84,20.45,11.27,0,34.89,0,128.19,0,0,0,0,27.9,160.9,43.66,0,50.13,0,3.41,0,0,58,0,0,122.87,51.42,0,0,117.19,0,313.06,0,76.08,0,0.75,0,0,97.51,11.1,7.92,14.33,40.92,0,22.52,65.21,0,0,11.79,0,0,0,0,0

27,06:30-06:45,0,24.89,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,1.39,5.15,110.84,20.45,11.27,0,34.89,0,128.19,0,0,0,0,27.9,160.9,43.66,0,50.13,0,3.41,0,0,58,0,0,122.87,51.42,0,0,117.19,0,313.06,0,76.08,0,0.75,0,0,97.51,11.1,7.92,14.33,35.08,0,22.52,65.21,0,0,11.79,0,0,0,0,0

28,06:45-07:00,0,24.89,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,1.39,5.15,110.84,20.45,11.27,0,34.89,0,128.19,0,0,0,0,27.9,160.9,43.66,0,50.13,0,3.41,0,0,58,0,0,122.87,51.42,0,0,117.19,0,313.06,0,76.08,0,0.75,0,0,97.51,11.1,8.21,14.33,35.08,0,22.71,65.21,0.52,0,11.79,0,0,0,0,0

29,07:00-07:15,0,24.89,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,1.39,5.15,110.84,20.45,11.08,0,34.89,0,128.19,0,0,0,0,27.9,160.9,43.66,0,50.13,0,3.41,0,0,58,0,0,122.87,35.18,0,0,117.19,0,313.06,0,76.08,0,0.75,0,0,97.51,11.1,8.21,14.33,35.08,0,23.15,65.21,0,2.37,11.79,0,0,0,0,0

30,07:15-07:30,0,24.89,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,1.39,5.15,110.84,20.45,11.08,0,34.89,0,128.19,0,0,0,0,27.9,160.9,43.66,0,50.13,0,3.41,0,0,58,0,0,122.87,18.95,0,0,117.19,0,313.06,0,76.08,0,0.75,0,0,97.51,11.1,8.49,14.33,35.08,0,23.15,65.21,0,2,11.79,0,0,0,0,0

31,07:30-07:45,0,24.89,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,1.39,5.15,110.84,20.45,11.08,0,34.89,0,128.19,0,0,0,0,27.9,160.9,43.66,0,50.13,0,3.41,0,0,58,0,0,122.87,20.3,0,0,117.19,0,313.06,0,76.08,0,0.75,0,0,97.51,11.1,8.49,14.33,40.92,0,23.15,65.21,0,0.22,11.79,0,0,0,0,0

32,07:45-08:00,0,24.89,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,1.39,5.15,110.84,18.99,9.55,0,34.89,0,113.43,0,0,0,0,27.9,160.9,43.66,0,50.13,0,3.41,0,0,58,0,0,122.87,20.3,0,0,117.19,0,313.06,0,76.08,0,0.75,0,0,97.51,11.1,8.77,14.33,40.92,0,23.15,65.21,0,0,11.79,0,0,0,0,0

33,08:00-08:15,0,24.89,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,1.39,5.15,110.84,16.69,9.55,0,34.89,0,113.43,0,0,0,0,27.9,160.9,43.66,0,50.13,0,3.41,0,0,58,0,0,122.87,20.3,0,0,117.19,0,313.06,0,76.08,0,0.75,0,0,97.51,11.34,9.06,14.33,35.08,0,23.15,65.21,0,0,11.79,0,0,0,0,0

34,08:15-08:30,0,34.71,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,1.39,5.15,110.84,16.69,9.55,0,34.89,0,113.43,0,0,0,0,27.9,160.9,43.66,0,50.13,0,3.41,0,0,58,0,0,122.87,20.3,0,0,117.19,0,313.06,0,76.08,0,0.75,0,0,97.51,11.34,9.34,14.33,35.08,0,23.15,65.21,0,0,11.79,0,0,0,0,0

35,08:30-08:45,0,34.71,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,1.39,5.15,110.84,16.69,9.55,0,34.89,0,113.43,0,0,0,0,27.9,160.9,43.66,0,50.13,0,3.41,0,0,58,0,0,122.87,20.3,0,0,117.19,0,313.06,0,76.08,0,0.75,0,0,103.55,11.34,9.34,14.33,35.08,0,23.15,65.21,0,0,11.79,0,0,0,0,0

36,08:45-09:00,0,34.71,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,1.39,5.15,110.84,16.69,9.55,0,34.89,0,113.43,0,0,0,0,27.9,160.9,43.66,0,50.13,0,3.41,0,0,58,0,0,122.87,20.3,0,0,117.19,0,313.06,0,76.08,0,0.75,0,0,105.01,11.34,9.34,14.33,35.08,0,23.15,65.21,0,0,11.79,0,0,0,0,0

37,09:00-09:15,0,25.61,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,1.39,5.15,110.84,16.69,9.55,0,34.89,0,96.42,0,0,0,0,18.6,160.9,43.66,0,50.13,0,3.41,0,0,58,0,0,122.87,20.3,0,0,117.19,0,313.06,0,76.08,0,0.75,0,0,105.01,11.34,8.95,14.33,35.08,0,23.15,65.21,0,0,11.79,0,0,0,0,0

38,09:15-09:30,0,25.61,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,1.39,5.15,110.84,16.69,9.55,0,34.89,0,96.42,0,0,0,0,18.6,160.9,43.66,0,50.13,0,3.41,0,0,58,0,0,122.87,20.3,0,0,117.19,0,313.06,0,76.08,0,0.75,0,0,105.01,11.34,8.95,14.33,35.08,0,23.15,64.17,0,0,11.79,0,0,0,0,0

39,09:30-09:45,0,25.61,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,1.39,5.15,110.84,16.69,9.55,0,34.89,0,96.42,0,0,0,0,18.6,160.9,43.66,0,50.13,0,3.41,0,0,58,0,0,122.87,20.3,0,0,117.19,0,313.06,0,76.08,0,0.75,0,0,105.01,11.34,8.95,14.33,35.08,0,23.15,48.28,0,0,11.79,0,0,0,0,0

40,09:45-10:00,0,25.61,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,1.39,5.15,110.84,16.69,9.55,0,34.89,0,96.42,0,0,0,0,18.6,160.9,43.66,0,50.13,0,3.41,0,0,58,0,0,122.87,20.3,0,0,117.19,0,313.06,0,76.08,0,0.75,0,0,105.01,11.34,8.95,14.33,35.08,0,23.15,48.28,0,0,11.79,0,0,0,0,0

41,10:00-10:15,0,25.61,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,1.39,5.15,110.84,18.14,11.08,0,34.89,0,111.19,0,0,0,0,18.6,160.9,43.66,0,50.13,0,3.41,0,0,58,0,0,122.87,20.3,0,0,117.19,0,313.06,0,76.08,0,0.75,0,0,98.94,11.34,8.95,14.33,35.08,0,23.15,32.19,0,0,11.79,0,0,0,0,0

42,10:15-10:30,0,25.61,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,1.39,5.15,110.84,18.14,11.08,0,34.89,0,111.19,0,0,0,0,18.6,160.9,43.66,0,50.13,0,3.41,0,0,58,0,0,122.87,20.3,0,0,117.19,0,313.06,0,76.08,0,0.75,0,0,98.94,11.34,11.69,14.33,35.08,0,23.15,16.09,0,0,11.79,0,0,0,0,0

43,10:30-10:45,0,25.61,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,1.39,5.15,110.84,17.81,10.9,0,34.89,0,108.86,0,0,0,0,18.6,160.9,43.66,0,58.57,0,3.41,0,0,58,0,0,122.87,20.3,0,0,117.19,0,313.06,0,76.08,0,0.75,0,0,98.94,11.34,11.69,14.33,35.08,0,23.15,16.09,0,0,11.79,0,0,0,0,0

44,10:45-11:00,0,25.61,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,1.39,5.15,110.84,17.81,10.9,0,34.89,0,108.86,0,0,0,0,18.6,160.9,43.66,0,62.41,0,3.41,0,0,58,0,0,122.87,20.3,0,0,117.19,0,313.06,0,76.08,0,0.75,0,0,98.94,11.34,11.69,14.33,35.08,0,23.15,0,0,0,11.79,0,0,0,0,0

45,11:00-11:15,0,25.61,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,1.39,5.15,110.84,14.46,9.02,0,34.89,0,84.09,0,0,0,0,18.6,160.9,43.66,0,62.41,0,3.41,0,0,58,0,0,122.87,16.91,0,0,117.19,0,316.87,0,76.08,0,0.75,0,0,98.94,11.34,11.69,14.33,35.08,0,23.15,0,0,0,11.79,0,0,0,0,0

46,11:15-11:30,0,25.61,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,1.39,5.15,110.84,14.46,9.02,0,34.89,0,84.09,0,0,0,0,18.6,160.9,43.66,0,62.41,0,3.41,0,0,58,0,0,122.87,16.91,0,0,117.19,0,320.65,0,76.08,0,0.75,0,0,98.94,11.34,11.69,14.33,35.08,0,23.15,0,0,0,11.79,0,0,0,0,0

47,11:30-11:45,0,25.61,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,1.39,5.15,110.84,14.46,9.02,0,34.89,0,84.09,0,0,0,0,18.6,160.9,43.66,0,62.41,0,3.41,0,0,58,0,0,122.87,16.91,0,0,117.19,0,309.81,0,76.08,0,0.75,0,0,98.94,11.34,11.69,14.33,35.08,0,23.15,0,0,0,11.79,0,0,0,0,0

48,11:45-12:00,0,25.61,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,1.39,5.15,110.84,14.46,9.02,0,34.89,0,84.09,0,0,0,0,18.6,160.9,43.66,0,62.41,0,3.41,0,0,58,0,0,122.87,16.91,0,0,117.19,0,298.98,0,76.08,0,0.75,0,0,98.94,11.34,11.69,14.33,35.08,0,23.15,0,0,0,11.79,0,0,0,0,0

49,12:00-12:15,0,28.46,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,1.39,5.15,110.84,18.14,11.08,0,34.89,0,111.19,0,0,0,0,18.6,160.9,43.66,0,62.41,0,3.41,0,0,58,0,0,98.18,16.91,0,0,102.6,0,284.9,0,49.23,0,0.75,0,0,76.48,11.34,11.69,14.88,29.23,0,23.15,0,0,0,11.79,0,0,0,0,0

50,12:15-12:30,0,28.46,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,1.39,5.15,110.84,18.14,11.08,0,34.89,0,111.19,0,0,0,0,18.6,160.9,43.66,0,62.41,0,3.41,0,0,58,0,0,98.18,16.91,0,0,102.6,0,284.9,0,49.23,0,0.75,0,0,76.48,11.34,11.69,14.88,29.23,0,23.15,0,0,0,11.79,0,0,0,0,0

51,12:30-12:45,0,28.46,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,1.39,5.15,110.84,18.14,9.55,0,34.89,0,111.19,0,0,0,0,18.6,160.9,43.66,0,62.41,0,3.41,0,0,58,0,0,98.18,16.91,0,0,102.6,0,284.9,0,61.55,0,0.75,0,0,76.48,11.34,11.78,19.3,35.08,0,30.59,0,0,0,14.92,0,0,0,0,0

52,12:45-13:00,0,28.46,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,1.39,5.15,110.84,18.14,9.55,0,34.89,0,111.19,0,0,0,0,18.6,160.9,43.66,0,62.41,0,3.41,0,0,58,0,0,98.18,16.91,0,0,102.6,0,284.9,0,76.08,0,0.75,0,0,76.48,11.34,11.78,19.3,35.08,0,30.59,0,0,0,14.92,0,0,0,0,0

53,13:00-13:15,0,28.46,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,1.39,5.15,110.84,18.14,9.55,0,34.89,0,111.19,0,0,0,0,18.6,160.9,43.66,0,62.41,0,3.41,0,0,58,0,0,98.18,16.91,0,0,102.6,0,284.9,0,76.08,0,0.75,0,0,76.48,11.34,11.91,19.3,35.08,0,30.59,0,0,0,14.92,0,0,0,0,0

54,13:15-13:30,0,28.46,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,1.39,5.15,110.84,18.14,9.55,0,34.89,0,111.19,0,0,0,0,18.6,160.9,43.66,0,62.41,0,3.41,0,0,58,0,0,102.99,16.91,0,0,102.6,0,284.9,0,76.08,0,0.75,0,0,76.48,11.34,11.91,19.3,35.08,0,30.59,0,0,0,14.92,0,0,0,0,0

55,13:30-13:45,0,28.46,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,1.39,5.15,110.84,18.14,9.55,0,34.89,0,111.19,0,0,0,0,18.6,160.9,43.66,0,62.41,0,3.41,0,0,58,0,0,122.87,16.91,0,0,117.19,0,284.9,0,76.08,0,0.75,0,0,76.48,11.34,11.6,19.3,35.08,0,30.59,16.09,0,0,14.92,0,0,0,0,0

56,13:45-14:00,0,28.46,0,0,0,0,0,0,0,0,0,0,0,0,40.59,409.23,12.56,30.89,42.58,14.44,38.9,1.39,5.15,110.84,18.14,11.08,0,34.89,0,111.19,0,0,0,0,18.6,160.9,43.66,0,62.41,0,3.41,0,0,58,0,0,122.87,20.3,0,0,117.19,0,284.9,0,76.08,0,0.75,0,0,76.48,11.34,11.6,22.81,35.08,0,36.229,16.09,0,0,17.66,0,0,0,0,0

