Block,Time,JHAJJAR,KGSU1AND2,KISHANGANGA,RIHAND1,RSTPSU7,SINGRAULI_HYDRO,VALLURNTECL,ANTA_CRF,ANTA_GF,DADRI_CRF,KHSTPP-I,KKNP,KKNPPU2,KOLDAM,KUDGI,RAPPB,TALST2,UNCHAHAR4,AURY_GF,DADRI_GF,BRBCL,CHAMERA2,DHAULIGNGA,KHSTPP-II,NAPP,TANAKPUR,TelanganaSTPP,UNCHAHAR2,AURY_LF,NLCIIST1,SIMHST1,TALA,UNCHAHAR3,URI2,AURY_RF,DADRI_RF,DULHASTI,KOTESHWR,NTPL,RIHAND2,RIHAND3,SALAL,SINGRAULI,TEHRI,DADRI_LF,BSIUL,CHAMERA3,MAPS,NLCEXP,NLCTS2EXP,SASAN,UNCHAHAR1,URI,CHAMERA1,DADRT2,FSTPP I & II,NNTPP,PARBATI3,RSTPSU1TO6,SEWA2,KGSU3AND4,NJPC,NLCIIST2,RAMPUR,RAPPC,SIMHST2,TANDA2,ANTA_LF,ANTA_RF,AURY_CRF
21,05:00-05:15,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,0.51,0,42.39,0,0,0,0,26.39,4.31,71.46,69.59,16.48,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,410.62,20.56,2.76,0,683.14,11.12,0,0,0,0,0,18.94,0,0,53.81,0,0,0,45.25,0

22,05:15-05:30,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,0.51,0,42.39,0,0,0,0,26.39,4.31,71.46,69.59,16.48,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,410.62,20.56,2.76,0,683.14,11.12,0,0,0,0,0,18.94,0,0,53.81,0,0,0,45.25,0

23,05:30-05:45,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,0.51,0,42.39,0,0,0,0,26.39,4.31,71.46,69.59,16.48,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,410.62,20.56,2.76,0,683.14,11.12,0,0,0,0,0,18.94,0,0,53.81,0,0,0,45.25,0

24,05:45-06:00,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,0.51,0,42.39,0,0,0,0,26.39,4.31,71.46,69.59,16.48,8.88,0,118.75,60.68,1.4,125.96,15.56,23.57,0,0,0,0,0,410.62,20.56,2.76,0,683.14,11.12,0,0,0,0,0,18.94,0,0,53.81,0,0,0,45.25,0

25,06:00-06:15,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,0.51,0,42.39,0,0,0,0,26.39,4.31,70.59,69.59,16.48,8.88,0,118.75,60.68,1.4,125.96,15.56,23.57,0,0,0,0,0,410.62,20.56,2.76,0,683.14,11.12,0,3.82,0,0,0,20.55,0,0,53.81,0,0,0,45.25,0

26,06:15-06:30,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,2,7.92,148.3,44.32,0.51,0,42.39,0,0,0,0,26.39,4.31,70.59,69.59,16.48,8.88,0,118.75,60.68,1.4,125.96,31.12,23.57,0,0,0,0,0,410.62,20.56,26.49,0,683.14,11.12,0,16.55,0,0,0,46.79,0,0,53.81,0,0,0,45.47,0

27,06:30-06:45,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,4,10.57,148.3,44.32,0.51,0,42.39,0,0,0,0,26.39,18.83,70.59,69.59,16.48,8.88,0,118.75,60.68,1.4,125.96,46.68,23.57,1.1,9.67,0,0,0,410.62,20.56,26.49,0,683.14,11.12,0,16.55,0,0,0,70.17,0,0,53.81,0,0,0,45.47,0

28,06:45-07:00,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,26.34,15.98,148.3,44.32,0.51,0,42.39,0,0,0,0,26.39,18.83,70.59,69.59,32.95,9.86,0,118.75,60.68,1.4,125.96,62.24,23.57,13.04,19.38,0,0,0,410.62,20.56,26.49,0,683.14,11.12,0,16.55,0,0,0,93.56,0,0,53.81,0,0,0,45.47,0

29,07:00-07:15,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,26.34,27.41,148.3,44.32,0.51,0,42.39,0,0,0,0,26.39,18.83,70.59,69.59,32.95,9.86,0,118.75,60.68,1.4,125.96,62.24,23.57,13.04,19.38,0,0,0,410.62,20.56,26.49,0,682.84,11.12,0,16.55,0,7.9,0,93.56,0,0,53.81,0,0,0,45.47,0

30,07:15-07:30,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,26.34,27.41,148.3,44.32,0.51,0,42.39,0,0,0,0,26.39,18.83,70.59,69.59,32.95,9.86,0,118.75,60.68,1.4,125.96,62.24,23.57,13.04,19.38,0,0,0,410.62,20.56,26.49,0,682.84,11.12,0,16.55,0,7.9,0,116.96,0,0,53.81,0,0,0,45.47,0

31,07:30-07:45,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,26.34,27.41,148.3,44.32,0.51,0,42.39,0,0,0,0,26.39,18.83,70.59,69.59,32.95,9.86,0,118.75,60.68,1.4,125.96,62.24,23.57,13.04,19.38,0,0,0,410.62,20.56,3.31,0,682.84,11.12,0,16.55,0,8.19,0,116.96,0,0,53.81,0,0,0,45.47,0

32,07:45-08:00,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,26.34,27.41,148.3,44.32,0.51,0,42.39,0,0,0,0,26.39,18.83,70.59,69.59,32.95,9.86,0,118.75,60.68,1.4,125.96,62.24,23.57,13.04,19.38,0,0,0,410.62,20.56,3.31,0,682.84,11.12,0,3.56,0,8.19,0,116.96,0,0,53.81,0,0,0,45.47,0

33,08:00-08:15,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,26.34,27.41,148.3,44.32,0.51,0,42.39,0,0,0,0,26.39,18.83,70.59,69.59,32.95,9.86,0,118.75,60.68,1.4,125.96,62.24,23.57,13.04,19.38,0,0,0,410.62,20.56,3.31,0,682.84,11.12,0,0,0,8.19,0,116.96,0,0,53.81,0,0,0,45.47,0

34,08:15-08:30,650.8,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,26.34,27.41,148.3,44.32,0.51,0,42.39,0,0,0,0,26.39,18.83,70.59,69.59,32.95,9.86,0,118.75,60.68,1.4,125.96,62.24,23.57,13.04,19.38,0,0,0,410.62,20.56,3.31,0,682.84,11.12,0,0,0,8.19,0,116.96,0,0,53.81,0,0,0,45.47,0

35,08:30-08:45,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,1.33,10.57,148.3,44.32,0.51,0,42.39,0,0,0,0,26.39,18.83,70.59,69.59,16.48,8.88,0,118.75,60.68,1.4,125.96,62.24,23.57,2.2,1.27,0,0,0,410.62,20.56,26.49,0,682.84,11.12,0,0,0,0,0,116.96,0,0,53.81,0,0,0,45.25,0

36,08:45-09:00,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,7.92,148.3,44.32,0.51,0,42.39,0,0,0,0,26.39,18.83,70.59,69.59,16.48,8.88,0,118.75,60.68,1.4,125.96,62.24,23.57,0,0,0,0,0,410.62,20.56,26.49,0,682.84,11.12,0,0,0,0,0,93.56,0,0,53.81,0,0,0,45.05,0

37,09:00-09:15,653.8,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,0.51,0,42.39,0,0,0,0,26.39,18.83,70.59,69.59,0,8.88,0,118.75,60.68,1.4,125.96,31.12,23.57,0,0,0,0,0,410.62,20.56,26.49,0,682.84,11.12,0,0,0,0,0,70.17,0,0,53.81,0,0,0,44.83,0

38,09:15-09:30,648.8,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,0.51,0,42.39,0,0,0,0,26.39,18.83,70.59,69.59,0,8.88,0,118.75,60.68,1.4,125.96,31.12,23.57,0,0,0,0,0,410.62,20.56,26.49,0,682.84,11.12,0,0,0,0,0,39.78,0,0,53.81,0,0,0,44.83,0

39,09:30-09:45,644.8,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,5.76,0,42.39,0,0,0,0,26.39,4.31,70.59,69.59,0,8.88,0,118.75,60.68,1.4,125.96,31.12,23.57,0,0,0,0,0,410.62,20.56,3.31,0,682.84,11.12,0,0,0,0,0,21.02,0,0,53.81,0,0,0,44.63,0

40,09:45-10:00,634.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,5.76,0,42.39,0,0,0,0,26.39,4.31,70.59,69.59,0,8.88,0,118.75,60.68,1.4,125.96,15.56,23.57,0,0,0,0,0,410.62,20.56,3.31,0,682.84,11.12,0,0,0,0,0,0,0,0,53.81,0,0,0,44.41,0

41,10:00-10:15,619.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,1.54,0,42.39,0,0,0,0,26.39,4.31,70.59,69.59,0,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,410.62,20.56,3.31,0,682.84,11.12,0,0,0,0,0,0,0,0,53.81,0,0,0,44.31,0

42,10:15-10:30,594.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,1.54,0,42.39,0,0,0,0,26.39,4.31,70.59,69.59,0,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,410.62,20.56,3.31,0,682.78,11.12,0,0,0,0,0,0,0,0,53.81,0,0,0,44.31,0

43,10:30-10:45,574.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,1.54,0,42.39,0,0,0,0,26.39,4.31,70.59,69.59,0,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,410.62,20.56,8.83,0,683.14,11.12,0,0,0,0,0,0,0,0,53.81,0,0,0,44.1,0

44,10:45-11:00,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,1.54,0,42.39,0,0,0,0,26.39,4.31,70.59,69.59,0,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,410.62,20.56,8.83,0,683.14,11.12,0,0,0,0,0,0,0,0,53.81,0,0,0,43.89,0

45,11:00-11:15,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,1.54,0,42.39,0,0,0,0,26.39,4.31,70.59,69.59,0,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,410.62,20.56,8.83,0,683.14,11.12,0,0,0,0,0,0,0,0,53.81,0,0,0,43.68,0

46,11:15-11:30,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,1.54,0,42.39,0,0,0,0,26.39,4.31,70.59,69.59,0,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,410.62,20.56,8.83,0,683.14,11.12,0,0,0,0,0,0,0,0,53.81,0,0,0,43.68,0

47,11:30-11:45,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,1.54,0,42.39,0,0,0,0,26.39,4.31,70.59,69.59,0,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,410.62,20.56,1.11,0,683.14,11.12,0,0,0,0,0,0,0,0,53.81,0,0,0,43.47,0

48,11:45-12:00,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,1.54,0,42.39,0,0,0,0,26.39,4.31,70.59,69.59,0,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,410.62,20.56,1.11,0,683.14,11.12,0,0,0,0,0,0,0,0,53.81,0,0,0,43.47,0

49,12:00-12:15,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,3.59,0,42.39,0,0,0,0,26.39,4.31,70.59,69.59,0,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,410.62,20.56,8.83,0,683.14,11.12,0,0,0,0,0,0,0,0,53.81,0,0,0,43.36,0

50,12:15-12:30,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,3.59,0,42.39,0,0,0,0,26.39,4.31,70.59,69.59,0,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,410.62,20.56,8.83,0,683.14,11.12,0,0,0,0,0,0,0,0,53.81,0,0,0,43.16,0

51,12:30-12:45,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,3.59,0,42.39,0,0,0,0,26.39,4.31,70.59,69.59,0,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,410.62,20.56,8.83,0,683.14,11.12,0,0,0,0,0,0,0,0,53.81,0,0,0,43.16,0

52,12:45-13:00,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,3.59,0,42.39,0,0,0,0,26.39,4.31,70.59,69.59,0,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,410.62,20.56,8.83,0,683.14,11.12,0,0,0,0,0,0,0,0,53.81,0,0,0,42.94,0

53,13:00-13:15,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,2.56,0,42.39,0,0,0,0,26.39,4.31,70.59,69.59,0,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,410.62,20.56,8.83,0,683.14,11.12,0,0,0,0,0,0,0,0,53.81,0,0,0,42.94,0

54,13:15-13:30,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,2.56,0,42.39,0,0,0,0,26.39,4.31,70.59,69.59,0,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,410.62,20.56,8.83,0,683.14,11.12,0,0,0,0,0,0,0,0,53.81,0,0,0,42.94,0

55,13:30-13:45,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,2.56,0,42.39,0,0,0,0,26.39,4.31,70.59,69.59,0,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,410.62,20.56,8.83,0,683.14,11.12,0,0,0,0,0,0,0,0,53.81,0,0,0,42.94,0

56,13:45-14:00,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,2.56,0,42.39,0,0,0,0,26.39,4.31,70.59,69.59,0,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,410.62,20.56,8.83,0,683.14,11.12,0,0,0,0,0,0,0,0,53.81,0,0,0,42.74,0

57,14:00-14:15,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,2.56,0,42.39,0,0,0,0,26.39,4.31,70.59,69.59,0,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,410.62,20.56,2.21,0,683.14,11.12,0,0,0,0,0,0,0,0,53.81,0,0,0,42.94,0

58,14:15-14:30,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,2.56,0,42.39,0,0,0,0,26.39,4.31,70.59,69.59,0,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,410.62,20.56,2.21,0,683.14,11.12,0,0,0,0,0,0,0,0,53.81,0,0,0,42.94,0

59,14:30-14:45,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,2.56,0,42.39,0,0,0,0,26.39,4.31,70.59,69.59,0,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,410.62,20.56,2.21,0,683.14,11.12,0,0,0,0,0,0,0,0,53.81,0,0,0,42.94,0

60,14:45-15:00,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,2.56,0,42.39,0,0,0,0,26.39,4.31,70.59,69.59,0,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,410.62,20.56,2.21,0,683.14,11.12,0,0,0,0,0,0,0,0,53.81,0,0,0,42.94,0

61,15:00-15:15,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,2.56,0,42.39,0,0,0,0,26.39,4.31,70.59,69.59,16.48,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,410.62,20.56,2.21,0,683.14,11.12,0,0,0,0,0,0,0,0,53.81,0,0,0,42.94,0

62,15:15-15:30,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,2.56,0,42.39,0,0,0,0,26.39,4.31,70.59,69.59,16.48,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,410.62,20.56,2.21,0,683.14,11.12,0,0,0,0,0,0,0,0,53.81,0,0,0,42.94,0

63,15:30-15:45,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,2.56,0,42.39,0,0,0,0,26.39,4.31,70.59,69.59,16.48,8.88,0,118.75,60.68,1.4,125.96,15.06,23.57,0,0,0,0,0,410.62,20.56,2.21,0,683.14,11.12,0,0,0,0,0,0,0,0,53.81,0,0,0,42.94,0

64,15:45-16:00,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,2.56,0,42.39,0,0,0,0,26.39,4.31,70.59,69.59,16.48,8.88,0,118.75,69.91,1.4,125.96,15.56,23.57,0,0,0,0,0,410.62,20.56,2.21,0,683.14,11.12,0,0,0,0,0,0,0,0,53.81,0,0,0,42.94,0

