Time,Block,NR/2024/20052/A/19679,NR/2024/20040/A/20145,NR/2024/20090/A/19764,NR/2024/20212/A/19868,NR/2024/20402/C,NR/2024/19637/A/19853,NR/2024/19432/A/20139,NR/2024/19355/A/20243,NR/2024/19699/A/20137,NR/2024/20393/C,NR/2024/20109/A/20242,NR/2024/19588/A/19877,NR/2024/20403/C,NR/2024/20050/A/20090,NR/2024/20082/A/20146,NR/2024/20041/A/20092,NR/2024/20033/A/20135,NR/2024/19475/A/20074,NR/2024/20144/A/19869,NR/2024/19918/A/20147,NR/2024/19779/A/19748,NR/2024/20130/A/19848,NR/2024/20411/C,NR/2024/20142/A/19870,NR/2024/19966/A/19839,NR/2024/19760/A/20038,NR/2024/20034/A/20133,NR/2024/20211/A/19867,NR/2024/20141/A/19871,NR/2024/20048/A/20091,NR/2024/20037/A/20036,NR/2024/20406/C,NR/2024/20031/A/20134,NR/2024/20408/C,NR/2024/19683/A/19781,NR/2024/20394/C,NR/2024/20395/C,Total
4,00:45-01:00,6.760000,14.490000,1.930000,0.610000,0.000000,0.000000,24.140000,96.580000,48.290000,17.380000,241.450000,66.820000,241.450000,90.540000,11.590000,0.000000,12.440000,193.160000,0.880000,13.520000,0.630000,0.480000,85.180000,0.520000,0.000000,0.000000,37.310000,1.590000,0.350000,30.180000,36.220000,96.580000,37.310000,256.900000,1.930000,81.710000,0,1748.92

5,01:00-01:15,6.760000,14.490000,1.930000,0.610000,0.000000,0.000000,24.140000,96.580000,48.290000,17.380000,241.450000,66.820000,0.000000,90.540000,11.590000,0.000000,12.440000,193.160000,0.880000,13.520000,0.630000,0.480000,85.180000,0.520000,0.000000,0.000000,37.310000,1.590000,0.350000,30.180000,36.220000,0.000000,37.310000,199.920000,1.930000,81.710000,0,1353.91

6,01:15-01:30,6.760000,14.490000,1.930000,0.610000,0.000000,0.000000,24.140000,96.580000,48.290000,17.380000,241.450000,66.820000,0.000000,90.540000,11.590000,0.000000,12.440000,193.160000,0.880000,13.520000,0.630000,0.480000,56.890000,0.520000,0.000000,0.000000,37.310000,1.590000,0.350000,30.180000,36.220000,0.000000,37.310000,196.060000,1.930000,54.470000,0,1294.52

7,01:30-01:45,6.760000,14.490000,1.930000,0.610000,0.000000,0.000000,24.140000,96.580000,48.290000,17.380000,241.450000,66.820000,0.000000,90.540000,11.590000,0.000000,12.440000,193.160000,0.880000,13.520000,0.630000,0.480000,56.890000,0.520000,0.000000,0.000000,37.310000,1.590000,0.350000,30.180000,36.220000,0.000000,37.310000,198.950000,1.930000,54.470000,0,1297.41

8,01:45-02:00,6.760000,14.490000,1.930000,0.610000,0.000000,0.000000,24.140000,96.580000,48.290000,17.380000,241.450000,66.820000,0.000000,90.540000,11.590000,0.000000,12.440000,193.160000,0.880000,13.520000,0.630000,0.480000,56.890000,0.520000,0.000000,0.000000,37.310000,1.590000,0.350000,30.180000,36.220000,0.000000,37.310000,203.780000,1.930000,54.470000,0,1302.24

9,02:00-02:15,6.760000,14.490000,1.930000,0.610000,0.000000,0.000000,12.230000,96.580000,48.290000,17.380000,241.450000,66.820000,0.000000,90.540000,11.590000,0.000000,12.440000,193.160000,0.880000,13.520000,0.630000,0.480000,56.890000,0.520000,0.000000,0.000000,37.310000,1.590000,0.350000,30.180000,36.220000,0.000000,37.310000,160.320000,1.930000,54.470000,0,1246.87

10,02:15-02:30,6.760000,14.490000,1.930000,0.610000,0.000000,0.000000,12.230000,96.580000,48.290000,17.380000,241.450000,66.820000,0.000000,90.540000,11.590000,0.000000,12.440000,193.160000,0.880000,13.520000,0.630000,0.480000,56.890000,0.520000,0.000000,0.000000,37.310000,1.590000,0.350000,30.180000,36.220000,0.000000,37.310000,157.430000,1.930000,54.470000,0,1243.98

11,02:30-02:45,6.760000,14.490000,1.930000,0.610000,0.000000,0.000000,12.230000,96.580000,48.290000,17.380000,241.450000,66.820000,0.000000,90.540000,11.590000,0.000000,12.440000,193.160000,0.880000,13.520000,0.630000,0.480000,56.890000,0.520000,0.000000,0.000000,37.310000,1.590000,0.350000,30.180000,36.220000,0.000000,37.310000,153.560000,1.930000,54.470000,0,1240.11

12,02:45-03:00,6.760000,14.490000,1.930000,0.610000,0.000000,0.000000,12.230000,96.580000,48.290000,17.380000,241.450000,66.820000,0.000000,90.540000,11.590000,0.000000,12.440000,193.160000,0.880000,13.520000,0.630000,0.480000,56.890000,0.520000,0.000000,0.000000,37.310000,1.590000,0.350000,30.180000,36.220000,0.000000,37.310000,151.630000,1.930000,54.470000,0,1238.18

13,03:00-03:15,6.760000,14.490000,1.930000,0.610000,0.000000,0.000000,12.230000,96.580000,48.290000,17.380000,183.500000,66.820000,0.000000,90.540000,11.590000,0.000000,12.440000,193.160000,0.880000,13.520000,0.530000,0.480000,56.890000,0.520000,0.000000,0.000000,37.310000,1.590000,0.350000,30.180000,36.220000,0.000000,37.310000,0.000000,1.930000,54.470000,0,1028.5

14,03:15-03:30,6.760000,14.490000,1.930000,0.610000,0.000000,0.000000,12.230000,96.580000,48.290000,17.380000,183.500000,66.820000,0.000000,90.540000,11.590000,0.000000,12.440000,193.160000,0.880000,13.520000,0.530000,0.480000,56.890000,0.520000,0.000000,0.000000,37.310000,1.590000,0.350000,30.180000,36.220000,0.000000,37.310000,0.000000,1.930000,54.470000,0,1028.5

15,03:30-03:45,6.760000,14.490000,1.930000,0.610000,0.000000,0.000000,12.230000,96.580000,48.290000,17.380000,183.500000,66.820000,0.000000,90.540000,11.590000,0.000000,12.440000,193.160000,0.880000,13.520000,0.530000,0.480000,56.890000,0.520000,0.000000,0.000000,37.310000,1.590000,0.350000,30.180000,36.220000,0.000000,37.310000,0.000000,1.930000,54.470000,0,1028.5

16,03:45-04:00,6.760000,14.490000,1.930000,0.610000,0.000000,0.000000,12.230000,96.580000,48.290000,17.380000,183.500000,66.820000,0.000000,90.540000,11.590000,0.000000,12.440000,193.160000,0.880000,13.520000,0.530000,0.480000,56.890000,0.520000,0.000000,0.000000,37.310000,1.590000,0.350000,30.180000,36.220000,0.000000,37.310000,0.000000,1.930000,54.470000,0,1028.5

17,04:00-04:15,6.760000,14.490000,1.930000,0.610000,0.000000,0.000000,12.230000,96.580000,48.290000,14.490000,183.500000,66.820000,0.000000,90.540000,11.590000,0.000000,12.440000,193.160000,0.880000,13.520000,0.530000,0.480000,56.890000,0.520000,0.000000,0.000000,37.310000,1.590000,0.350000,30.180000,36.220000,0.000000,37.310000,0.000000,1.930000,54.470000,0,1025.61

18,04:15-04:30,6.760000,14.490000,1.930000,0.610000,0.000000,0.000000,12.230000,96.580000,48.290000,14.490000,183.500000,66.820000,0.000000,90.540000,11.590000,0.000000,12.440000,193.160000,0.880000,13.520000,0.530000,0.480000,56.890000,0.520000,0.000000,0.000000,37.310000,1.590000,0.350000,30.180000,36.220000,0.000000,37.310000,0.000000,1.930000,54.470000,0,1025.61

19,04:30-04:45,6.760000,14.490000,1.930000,0.610000,0.000000,0.000000,12.230000,96.580000,48.290000,14.490000,183.500000,66.820000,0.000000,90.540000,11.590000,0.000000,12.440000,193.160000,0.880000,13.520000,0.530000,0.480000,56.890000,0.520000,0.000000,0.000000,37.310000,1.590000,0.350000,30.180000,36.220000,0.000000,37.310000,0.000000,1.930000,54.470000,0,1025.61

20,04:45-05:00,6.760000,14.490000,1.930000,0.610000,0.000000,0.000000,12.230000,96.580000,48.290000,14.490000,183.500000,66.820000,0.000000,90.540000,11.590000,0.000000,12.440000,193.160000,0.880000,13.520000,0.530000,0.480000,56.890000,0.520000,0.000000,0.000000,37.310000,1.590000,0.350000,30.180000,36.220000,0.000000,37.310000,0.000000,1.930000,54.470000,0,1025.61

21,05:00-05:15,6.760000,14.490000,1.930000,0.610000,0.000000,0.000000,13.310000,96.580000,48.290000,62.780000,183.500000,66.820000,0.000000,90.540000,11.590000,0.000000,12.440000,193.160000,0.880000,13.520000,0.530000,0.480000,56.890000,0.520000,0.000000,0.000000,37.310000,1.590000,0.350000,30.180000,36.220000,0.000000,37.310000,0.000000,1.930000,54.470000,0,1074.98

22,05:15-05:30,6.760000,14.490000,1.930000,0.610000,0.000000,0.000000,14.720000,96.580000,48.290000,62.780000,183.500000,66.820000,0.000000,90.540000,11.590000,0.000000,12.440000,193.160000,0.880000,13.520000,0.530000,0.480000,56.890000,0.520000,0.000000,0.000000,37.310000,1.590000,0.350000,30.180000,36.220000,0.000000,37.310000,0.000000,1.930000,54.470000,0,1076.39

23,05:30-05:45,6.760000,14.490000,1.930000,0.610000,0.000000,0.000000,14.550000,96.580000,48.290000,62.780000,183.500000,66.820000,0.000000,90.540000,11.590000,0.000000,12.440000,193.160000,0.880000,13.520000,0.530000,0.480000,56.890000,0.520000,0.000000,0.000000,37.310000,1.590000,0.350000,30.180000,36.220000,0.000000,37.310000,0.000000,1.930000,54.470000,0,1076.22

24,05:45-06:00,6.760000,14.490000,1.930000,0.610000,0.000000,0.000000,14.550000,96.580000,48.290000,62.780000,183.500000,66.820000,0.000000,90.540000,11.590000,0.000000,12.440000,193.160000,0.880000,13.520000,0.530000,0.480000,56.890000,0.520000,0.000000,0.000000,37.310000,1.590000,0.350000,30.180000,36.220000,0.000000,37.310000,0.000000,1.930000,54.470000,0,1076.22

25,06:00-06:15,6.760000,14.490000,1.930000,0.610000,0.000000,0.000000,14.550000,96.580000,48.290000,62.780000,183.500000,66.820000,0.000000,0.000000,11.590000,0.000000,12.440000,193.160000,0.880000,0.000000,0.530000,0.480000,56.890000,0.520000,0.000000,0.000000,37.310000,1.590000,0.350000,0.000000,36.220000,0.000000,37.310000,0.000000,1.930000,54.470000,0,941.98

26,06:15-06:30,6.760000,14.490000,1.930000,0.610000,0.000000,0.000000,14.550000,96.580000,48.290000,62.780000,183.500000,66.820000,0.000000,0.000000,11.590000,0.000000,12.440000,193.160000,0.880000,0.000000,0.530000,0.480000,56.890000,0.520000,0.000000,0.000000,37.310000,1.590000,0.350000,0.000000,36.220000,0.000000,37.310000,0.000000,1.930000,54.470000,0,941.98

27,06:30-06:45,6.760000,14.490000,1.930000,0.610000,0.000000,0.000000,14.550000,96.580000,48.290000,62.780000,183.500000,66.820000,0.000000,0.000000,11.590000,0.000000,12.440000,193.160000,0.880000,0.000000,0.530000,0.480000,56.890000,0.520000,0.000000,0.000000,37.310000,1.590000,0.350000,0.000000,36.220000,0.000000,37.310000,0.000000,1.930000,54.470000,0,941.98

28,06:45-07:00,6.760000,14.490000,1.930000,0.610000,0.000000,0.000000,14.550000,96.580000,48.290000,62.780000,183.500000,66.820000,0.000000,0.000000,11.590000,0.000000,12.440000,193.160000,0.880000,0.000000,0.530000,0.480000,56.890000,0.520000,0.000000,0.000000,37.310000,1.590000,0.350000,0.000000,36.220000,0.000000,37.310000,0.000000,1.930000,54.470000,0,941.98

29,07:00-07:15,6.760000,14.490000,1.930000,0.610000,0.000000,0.000000,14.550000,96.580000,48.290000,62.780000,183.500000,66.820000,0.000000,0.000000,11.590000,0.000000,12.440000,193.160000,0.880000,0.000000,0.680000,0.480000,56.890000,0.520000,0.000000,0.000000,37.310000,1.590000,0.350000,0.000000,36.220000,0.000000,37.310000,0.000000,1.930000,54.470000,0,942.13

30,07:15-07:30,6.760000,14.490000,1.930000,0.610000,0.000000,0.000000,14.550000,96.580000,48.290000,62.780000,183.500000,66.820000,0.000000,0.000000,11.590000,0.000000,12.440000,193.160000,0.880000,0.000000,0.680000,0.480000,56.890000,0.520000,0.000000,0.000000,37.310000,1.590000,0.350000,0.000000,36.220000,0.000000,37.310000,0.000000,1.930000,54.470000,0,942.13

31,07:30-07:45,6.760000,14.490000,1.930000,0.610000,0.000000,0.000000,14.550000,96.580000,48.290000,62.780000,183.500000,66.820000,0.000000,0.000000,11.590000,0.000000,12.440000,193.160000,0.880000,0.000000,0.680000,0.480000,53.600000,0.520000,0.000000,0.000000,37.310000,1.590000,0.350000,0.000000,36.220000,0.000000,37.310000,0.000000,1.930000,51.380000,0.27,936.02

32,07:45:08:00,6.760000,14.490000,1.930000,0.610000,0.000000,0.000000,14.550000,96.580000,48.290000,62.780000,183.500000,66.820000,0.000000,0.000000,11.590000,0.000000,12.440000,193.160000,0.880000,0.000000,0.680000,0.480000,28.390000,0.520000,0.000000,0.000000,37.310000,1.590000,0.350000,0.000000,36.220000,0.000000,37.310000,0.000000,1.930000,27.140000,0.73,887.03

33,08:00-08:15,4.830000,14.490000,1.930000,0.610000,0.000000,0.000000,14.550000,96.580000,48.290000,62.780000,183.500000,66.820000,0.000000,0.000000,11.590000,0.000000,12.440000,193.160000,0.880000,0.000000,0.970000,0.480000,28.390000,0.520000,0.000000,0.000000,37.310000,1.590000,0.350000,0.000000,36.220000,0.000000,37.310000,0.000000,1.930000,27.140000,1.6,886.26

34,08:15-08:30,4.830000,14.490000,1.930000,0.610000,0.000000,0.000000,14.550000,96.580000,48.290000,62.780000,183.500000,66.820000,0.000000,0.000000,11.590000,0.000000,12.440000,193.160000,0.880000,0.000000,0.970000,0.480000,28.390000,0.520000,0.000000,0.000000,37.310000,1.590000,0.350000,0.000000,36.220000,0.000000,37.310000,0.000000,1.930000,27.140000,2.62,887.28

35,08:30-08:45,4.830000,14.490000,1.930000,0.610000,0.000000,0.000000,14.550000,96.580000,48.290000,62.780000,183.500000,66.820000,0.000000,0.000000,11.590000,0.000000,12.440000,193.160000,0.880000,0.000000,0.970000,0.480000,28.390000,0.520000,0.000000,0.000000,37.310000,1.590000,0.350000,0.000000,36.220000,0.000000,37.310000,0.000000,1.930000,27.140000,3.93,888.59

36,08:45:09:00,4.830000,14.490000,1.930000,0.610000,0.000000,0.000000,14.550000,96.580000,48.290000,62.780000,183.500000,66.820000,0.000000,0.000000,11.590000,0.000000,12.440000,193.160000,0.880000,0.000000,0.970000,0.480000,28.390000,0.520000,0.000000,0.000000,37.310000,1.590000,0.350000,0.000000,36.220000,0.000000,37.310000,0.000000,1.930000,27.140000,5.16,889.82

37,09:00:09:15,4.830000,14.490000,1.930000,0.610000,0.000000,24.140000,14.550000,96.580000,48.290000,62.780000,183.500000,66.820000,0.000000,0.000000,11.590000,48.290000,12.440000,193.160000,0.880000,0.000000,0.970000,0.480000,28.390000,0.520000,38.630000,48.290000,37.310000,1.590000,0.350000,0.000000,36.220000,0.000000,37.310000,0.000000,1.930000,27.140000,5.66,1049.67

38,09:15-09:30,4.830000,14.490000,1.930000,0.610000,0.000000,24.140000,14.550000,96.580000,48.290000,62.780000,183.500000,66.820000,0.000000,0.000000,11.590000,48.290000,12.440000,193.160000,0.880000,0.000000,0.970000,0.480000,28.390000,0.520000,38.630000,48.290000,37.310000,1.590000,0.350000,0.000000,36.220000,0.000000,37.310000,0.000000,1.930000,27.140000,5.34,1049.35

39,09:30-09:45,4.830000,14.490000,1.930000,0.610000,0.000000,24.140000,14.550000,96.580000,48.290000,62.780000,183.500000,66.820000,0.000000,0.000000,11.590000,48.290000,12.440000,193.160000,0.880000,0.000000,0.970000,0.480000,28.390000,0.520000,38.630000,48.290000,37.310000,1.590000,0.350000,0.000000,36.220000,0.000000,37.310000,0.000000,1.930000,27.140000,5.42,1049.43

40,09:45-10:00,4.830000,14.490000,1.930000,0.610000,0.000000,24.140000,14.550000,96.580000,48.290000,62.780000,183.500000,66.820000,0.000000,0.000000,11.590000,48.290000,12.440000,193.160000,0.880000,0.000000,0.970000,0.480000,28.390000,0.520000,38.630000,48.290000,37.310000,1.590000,0.350000,0.000000,36.220000,0.000000,37.310000,0.000000,1.930000,27.140000,6.97,1050.98

41,10:00-10:15,6.760000,14.490000,1.930000,0.610000,0.000000,24.140000,14.550000,96.580000,48.290000,62.780000,183.500000,66.820000,0.000000,0.000000,11.590000,48.290000,12.440000,193.160000,0.880000,0.000000,0.970000,0.480000,28.390000,0.520000,38.630000,48.290000,37.310000,1.590000,0.350000,0.000000,36.220000,0.000000,37.310000,0.000000,1.930000,27.140000,7.6,1053.54

42,10:15-10:30,6.760000,14.490000,1.930000,0.610000,0.000000,24.140000,14.550000,96.580000,48.290000,62.780000,183.500000,66.820000,0.000000,0.000000,11.590000,48.290000,12.440000,193.160000,0.880000,0.000000,0.970000,0.480000,28.390000,0.520000,38.630000,48.290000,37.310000,1.590000,0.350000,0.000000,36.220000,0.000000,37.310000,0.000000,1.930000,27.140000,7.5,1053.44

43,10:30-10:45,6.760000,14.490000,1.930000,0.610000,0.000000,24.140000,14.550000,96.580000,48.290000,62.780000,183.500000,66.820000,0.000000,0.000000,11.590000,48.290000,12.440000,193.160000,0.880000,0.000000,0.970000,0.480000,28.390000,0.520000,38.630000,48.290000,37.310000,1.590000,0.350000,0.000000,36.220000,0.000000,37.310000,0.000000,1.930000,27.140000,8.77,1054.71

44,10:45-11:00,6.760000,14.490000,1.930000,0.610000,0.000000,24.140000,14.550000,96.580000,48.290000,62.780000,183.500000,66.820000,0.000000,0.000000,11.590000,48.290000,12.440000,193.160000,0.880000,0.000000,0.970000,0.480000,28.390000,0.520000,38.630000,48.290000,37.310000,1.590000,0.350000,0.000000,36.220000,0.000000,37.310000,0.000000,1.930000,27.140000,9.46,1055.4

45,11:00-11:15,6.760000,14.490000,1.930000,0.610000,0.000000,24.140000,14.550000,96.580000,48.290000,62.780000,183.500000,66.820000,0.000000,0.000000,11.590000,48.290000,12.440000,193.160000,0.880000,0.000000,0.970000,0.480000,28.390000,0.520000,38.630000,48.290000,37.310000,1.590000,0.350000,0.000000,36.220000,0.000000,37.310000,0.000000,1.930000,27.140000,9.12,1055.06

46,11:15-11:30,6.760000,14.490000,1.930000,0.610000,0.000000,24.140000,14.550000,96.580000,48.290000,62.780000,183.500000,66.820000,0.000000,0.000000,11.590000,48.290000,12.440000,193.160000,0.880000,0.000000,0.970000,0.480000,28.390000,0.520000,38.630000,48.290000,37.310000,1.590000,0.350000,0.000000,36.220000,0.000000,37.310000,0.000000,1.930000,27.140000,6.89,1052.83

47,11:30-11:45,6.760000,14.490000,1.930000,0.610000,0.000000,24.140000,14.550000,96.580000,48.290000,62.780000,183.500000,66.820000,0.000000,0.000000,11.590000,48.290000,12.440000,193.160000,0.880000,0.000000,0.970000,0.480000,28.390000,0.520000,38.630000,48.290000,37.310000,1.590000,0.350000,0.000000,36.220000,0.000000,37.310000,0.000000,1.930000,27.140000,6,1051.94

48,11:45-12:00,6.760000,14.490000,1.930000,0.610000,0.000000,24.140000,14.550000,96.580000,48.290000,62.780000,183.500000,66.820000,0.000000,0.000000,11.590000,48.290000,12.440000,193.160000,0.880000,0.000000,0.970000,0.480000,28.390000,0.520000,38.630000,48.290000,37.310000,1.590000,0.350000,0.000000,36.220000,0.000000,37.310000,0.000000,1.930000,27.140000,6.71,1052.65

49,12:00-12:15,6.760000,14.490000,1.930000,0.610000,0.000000,24.140000,14.550000,96.580000,48.290000,62.780000,183.500000,66.820000,0.000000,0.000000,11.590000,48.290000,12.440000,193.160000,0.880000,13.520000,0.970000,0.480000,28.390000,0.520000,38.630000,48.290000,37.310000,1.590000,0.350000,0.000000,36.220000,0.000000,37.310000,0.000000,1.930000,27.140000,6.63,1066.09

50,12:15-12:30,6.760000,14.490000,1.930000,0.610000,0.000000,24.140000,14.550000,96.580000,48.290000,62.780000,183.500000,66.820000,0.000000,0.000000,11.590000,48.290000,12.440000,193.160000,0.880000,13.520000,0.970000,0.480000,28.390000,0.520000,38.630000,48.290000,37.310000,1.590000,0.350000,0.000000,36.220000,0.000000,37.310000,0.000000,1.930000,27.140000,5.21,1064.67

51,12:30-12:45,6.760000,14.490000,1.930000,0.610000,0.000000,24.140000,14.550000,96.580000,48.290000,62.780000,183.500000,66.820000,0.000000,0.000000,11.590000,48.290000,12.440000,193.160000,0.880000,13.520000,0.970000,0.480000,28.390000,0.520000,38.630000,48.290000,37.310000,1.590000,0.350000,0.000000,36.220000,0.000000,37.310000,0.000000,1.930000,27.140000,7.6,1067.06

52,12:45-13:00,6.760000,14.490000,1.930000,0.610000,0.000000,24.140000,14.550000,96.580000,48.290000,62.780000,183.500000,66.820000,0.000000,0.000000,11.590000,48.290000,12.440000,193.160000,0.880000,13.520000,0.970000,0.480000,28.390000,0.520000,38.630000,48.290000,37.310000,1.590000,0.350000,0.000000,36.220000,0.000000,37.310000,0.000000,1.930000,27.140000,9.46,1068.92

53,13:00-13:15,6.760000,14.490000,1.930000,0.610000,0.000000,24.140000,14.550000,96.580000,48.290000,62.780000,183.500000,66.820000,0.000000,0.000000,11.590000,48.290000,12.440000,193.160000,0.880000,13.520000,0.970000,0.480000,28.390000,0.520000,38.630000,48.290000,37.310000,1.590000,0.350000,0.000000,36.220000,0.000000,37.310000,0.000000,1.930000,27.140000,9.5,1068.96

54,13:15-13:30,6.760000,14.490000,1.930000,0.610000,0.000000,24.140000,14.550000,96.580000,48.290000,62.780000,183.500000,66.820000,0.000000,0.000000,11.590000,48.290000,12.440000,193.160000,0.880000,13.520000,0.970000,0.480000,28.390000,0.520000,38.630000,48.290000,37.310000,1.590000,0.350000,0.000000,36.220000,0.000000,37.310000,0.000000,1.930000,27.140000,8.32,1067.78

55,13:30-13:45,6.760000,14.490000,1.930000,0.610000,0.000000,24.140000,14.550000,96.580000,48.290000,62.780000,183.500000,66.820000,0.000000,0.000000,11.590000,48.290000,12.440000,193.160000,0.880000,13.520000,0.970000,0.480000,28.390000,0.520000,38.630000,48.290000,37.310000,1.590000,0.350000,0.000000,36.220000,0.000000,37.310000,0.000000,1.930000,27.140000,7.7,1067.16

56,13:45-14:00,6.760000,14.490000,1.930000,0.610000,0.000000,24.140000,14.550000,96.580000,48.290000,62.780000,183.500000,66.820000,0.000000,0.000000,11.590000,48.290000,12.440000,193.160000,0.880000,13.520000,0.970000,0.480000,28.390000,0.520000,38.630000,48.290000,37.310000,1.590000,0.350000,0.000000,36.220000,0.000000,37.310000,0.000000,1.930000,27.140000,8.5,1067.96

57,14:00-14:15,6.760000,14.490000,1.930000,0.610000,0.000000,24.140000,14.550000,96.580000,48.290000,64.710000,183.500000,66.820000,0.000000,0.000000,11.590000,48.290000,12.440000,193.160000,0.880000,13.520000,0.970000,0.480000,28.390000,0.520000,38.630000,48.290000,37.310000,1.590000,0.350000,0.000000,36.220000,0.000000,37.310000,0.000000,1.930000,27.140000,6.72,1068.11

58,14:15-14:30,6.760000,14.490000,1.930000,0.610000,0.000000,24.140000,14.550000,96.580000,48.290000,64.710000,183.500000,66.820000,0.000000,0.000000,11.590000,48.290000,12.440000,193.160000,0.880000,13.520000,0.970000,0.480000,28.390000,0.520000,38.630000,48.290000,37.310000,1.590000,0.350000,0.000000,36.220000,0.000000,37.310000,0.000000,1.930000,27.140000,7.84,1069.23

