Block,Time Block,DULHASTI,DHAULIGNGA,UNCHAHAR2,ANTA_GF,URI,AURY_CRF,AURY_RF,UNCHAHAR1,VALLURNTECL,ANTA_CRF,UNCHAHAR4,ANTA_RF,AURY_LF,URI2,UNCHAHAR3,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,DADRI_LF,DADRI_GF,DADRT2,CHAMERA3,SIMHST1,RSTPSU7,RIHAND3,SALAL,SEWA2,SINGRAULI_HYDRO,RIHAND2,SINGRAULI,SASAN,RSTPSU1TO6,SIMHST2,KOLDAM,KKNP,KKNPPU2,NLCEXP,KUDGI,NLCIIST1,NJPC,NLCIIST2,MAPS,NLCTS2EXP,NAPP,NNTPP,KOTESHWR,TEHRI,TALST2,TANAKPUR,TelanganaSTPP,TANDA2,TALA,CHAMERA1,BSIUL,BRBCL,CHAMERA2,RAMPUR,RAPPB,PARBATI3,PARBATI2,RIHAND1,NTPL,RAPPC,KISHANGANGA,KHSTPP-II,KHSTPP-I,JHAJJAR,KGSU1AND2,KGSU3AND4,FSTPP I & II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
6,01:15-01:30,38.13,10.52,13.66,0,46.75,0,0,14.12,0,0,0.82,0,0,38.14,18.45,0,0,0,0,0,0,432.46,22.43,0,0,90.86,38.59,18.17,0.96,95.35,129.54,403.07,0,0,0,0,0,0,0,0,43.06,0,0,0,49.41,0,10.02,0,0,6.03,0,2.9,0,27.05,6.28,13.46,46.91,1.69,0,0,8.66,31.34,0,23.25,8.24,99.14,35.16,182.65,0,0,13.68,0,0,0,0,0

7,01:30-01:45,38.13,10.52,12.77,0,12.75,0,0,13.59,0,0,0.82,0,0,38.14,16.97,0,0,0,0,0,0,432.46,22.43,0,0,90.86,38.59,18.17,0.96,95.35,129.54,403.07,0,0,0,0,0,0,0,0,43.06,0,0,0,49.41,0,10.02,0,0,6.03,0,2.9,0,27.05,6.28,13.6,46.91,1.69,0,0,8.66,31.34,0,23.25,8.24,99.14,35.16,181.91,0,0,13.68,0,0,0,0,0

8,01:45-02:00,38.13,10.52,12.77,0,5.31,0,0,13.59,0,0,0.82,0,0,38.14,16.97,0,0,0,0,0,0,432.46,22.43,0,0,90.86,38.59,18.17,0.96,95.35,129.54,403.07,0,0,0,0,0,0,0,0,43.06,0,0,0,49.41,0,10.02,0,0,6.03,0,2.9,0,13.52,6.28,13.03,46.91,1.69,0,0,8.66,31.34,0,23.25,8.24,99.14,35.16,160.53,0,0,13.68,0,0,0,0,0

9,02:00-02:15,38.13,10.52,11.9,0,5.31,0,0,12.56,0,0,0.82,0,0,38.14,15.13,0,0,0,0,0,0,364.43,22.43,0,0,125.85,38.59,18.17,0.96,95.35,142.09,403.07,0,0,0,0,0,0,0,0,53.19,0,0,0,49.41,0,10.02,0,0,0,0,2.9,0,13.52,6.28,13.2,31.27,2.1,0,0,8.66,31.34,0,25.04,8.24,99.14,35.16,160.53,0,0,13.68,0,0,0,0,0

10,02:15-02:30,38.13,10.52,11.9,0,12.75,0,0,12.56,0,0,0.82,0,0,38.14,15.13,0,0,0,0,0,0,364.43,22.43,0,0,125.85,38.59,18.17,0.96,95.35,144.62,403.07,0,0,0,0,0,0,0,0,53.19,0,0,0,49.41,0,10.02,0,0,0,0,2.9,0,0,6.28,10.73,31.27,2.1,0,0,8.66,31.34,0,25.04,8.24,99.14,35.16,160.53,0,0,13.68,0,0,0,0,0

11,02:30-02:45,38.13,10.52,11.9,0,46.75,0,0,12.06,0,0,0.82,0,0,38.14,14.65,0,0,0,0,0,0,364.43,22.43,0,0,125.85,38.59,18.17,0.96,95.35,144.62,403.07,0,0,0,0,0,0,0,0,53.19,0,0,0,49.41,0,10.02,0,0,0,0,2.9,0,0,6.28,11.63,31.27,2.1,0,0,8.66,31.34,0,25.04,8.24,99.14,35.16,160.53,0,0,13.68,0,0,0,0,0

12,02:45-03:00,38.13,10.52,11.9,0,46.75,0,0,12.06,0,0,0.82,0,0,38.14,14.65,0,0,0,0,0,0,364.43,22.43,0,0,125.85,38.59,18.17,0.96,95.35,144.62,403.07,0,0,0,0,0,0,0,0,53.19,0,0,0,49.41,0,10.02,0,0,0,0,2.9,0,0,6.28,12.29,31.27,2.1,0,0,8.66,31.34,0,25.04,8.24,99.14,35.16,160.53,0,0,13.68,0,0,0,0,0

13,03:00-03:15,38.13,10.52,11.9,0,46.75,0,0,11.86,0,0,0.82,0,0,36.62,14.65,0,0,0,0,0,0,364.43,11.21,0,0,90.86,68.22,18.17,0.96,95.35,129.54,403.07,0,0,0,0,0,0,0,0,53.19,0,0,0,49.41,0,10.02,0,0,0,0,2.9,0,0,6.28,11.64,31.27,2.1,0,0,8.66,31.34,0,25.04,8.24,99.14,35.16,160.53,0,0,13.68,0,0,0,0,0

14,03:15-03:30,38.13,10.52,11.9,0,46.75,0,0,11.86,0,0,0.82,0,0,36.62,14.65,0,0,0,0,0,0,364.43,11.21,0,0,90.86,68.22,18.17,0.96,95.35,129.54,403.07,0,0,0,0,0,0,0,0,53.19,0,0,0,49.41,0,10.02,0,0,0,0,2.9,0,0,6.28,11.63,15.64,2.1,0,0,8.66,31.34,0,25.04,8.24,99.14,35.16,160.53,0,0,13.68,0,0,0,0,0

15,03:30-03:45,38.13,10.52,11.9,0,46.75,0,0,11.86,0,0,0.82,0,0,36.62,14.65,0,0,0,0,0,0,364.43,11.21,0,0,90.86,68.22,18.17,0.96,95.35,129.54,403.07,0,0,0,0,0,0,0,0,53.19,0,0,0,49.41,0,10.02,0,0,1.11,0,2.9,0,0,6.28,13.53,15.64,2.1,0,0,8.66,31.34,0,25.04,8.24,99.14,35.16,160.53,0,0,13.68,0,0,0,0,0

16,03:45-04:00,38.13,10.52,11.9,0,46.75,0,0,11.86,0,0,0.82,0,0,36.62,14.65,0,0,0,0,0,0,364.43,11.21,0,0,90.86,68.22,18.17,0.96,95.35,129.54,403.07,0,0,0,0,0,0,0,0,53.19,0,0,0,49.41,0,10.02,12.19,0,6.03,0,2.9,0,0,6.28,16.04,15.64,2.1,0,0,8.66,31.34,0,25.04,8.24,99.14,35.16,160.53,0,0,13.68,0,0,0,0,0

17,04:00-04:15,38.13,10.52,11.9,0,46.75,0,0,11.86,0,0,0.82,0,0,36.62,14.65,0,0,0,0,0,0,364.43,11.21,0,0,90.86,68.22,18.17,0.96,95.35,129.54,403.07,0,0,0,0,0,0,0,0,53.19,0,0,0,49.41,0,10.02,12.19,0,6.03,0,2.9,0,0,12.55,16.9,15.64,2.1,0,0,8.66,31.34,0,25.04,8.24,99.14,29.11,160.53,0,0,11.25,0,0,0,0,0

18,04:15-04:30,38.13,10.52,11.9,0,46.75,0,0,11.86,0,0,0.82,0,0,36.62,14.65,0,0,0,0,0,0,364.43,11.21,0,0,90.86,68.22,18.17,0.96,95.35,129.54,403.07,0,0,0,0,0,0,0,0,53.19,0,0,0,49.41,0,10.02,24.37,0,6.03,0,2.9,0,0,12.55,17.7,15.64,2.1,0,16.23,8.66,31.34,0,26.82,8.24,99.14,29.11,160.53,0,0,11.25,0,0,0,0,0

19,04:30-04:45,38.13,10.52,11.9,0,46.75,0,0,11.86,0,0,0.82,0,0,36.62,14.65,0,0,0,0,0,0,364.43,11.21,0,0,125.85,38.59,18.17,0.96,119.86,144.62,403.07,0,0,0,0,0,0,0,0,53.19,0,0,0,49.41,0,10.02,24.37,0,6.03,0,2.9,0,0,12.55,19.25,15.64,2.1,0,16.23,8.66,44.74,0,26.82,8.24,128.14,29.11,160.53,0,0,11.25,0,0,0,0,0

20,04:45-05:00,38.13,10.52,11.9,0,46.75,0,0,11.86,0,0,0.82,0,0,36.62,14.65,0,0,0,0,0,0,364.43,11.21,0,0,125.85,38.59,18.17,0.96,119.86,144.62,403.07,0,0,0,0,0,0,0,0,53.19,0,0,0,49.41,0,10.02,24.37,0,2.46,0,2.9,0,0,12.55,19.25,15.64,2.1,0,16.23,8.66,44.74,0,26.82,8.24,128.14,29.11,160.53,0,0,11.25,0,0,0,0,0

21,05:00-05:15,38.13,10.52,11.9,0,46.75,0,0,11.86,0,0,0.82,0,0,36.62,14.65,0,0,0,0,0,0,364.43,11.21,0,0,125.85,38.59,18.17,0.94,95.35,144.62,403.07,0,0,0,0,0,0,0,0,53.19,0,0,0,49.41,0,10.02,24.37,0,0.87,0,2.9,0,0,12.55,19.25,15.64,2.1,0,16.23,8.66,31.34,0,26.82,8.24,99.14,29.11,160.53,0,0,11.25,0,0,0,0,0

22,05:15-05:30,38.13,10.52,11.9,0,46.75,0,0,11.86,0,0,1.25,0,0,36.62,14.65,0,0,0,0,0,0,364.43,11.21,0,0,125.85,38.59,18.17,0.94,119.86,144.62,403.07,0,0,0,0,0,0,0,0,53.19,0,0,0,49.41,0,10.02,24.37,0,0.87,0,3.01,0,0,12.55,19.25,15.64,2.1,0,16.23,8.66,44.74,0,26.82,8.24,128.14,37.77,160.53,0,0,11.26,0,0,0,0,0

23,05:30-05:45,38.13,10.52,11.9,0,46.75,0,0,11.86,0,0,1.25,0,0,36.62,14.65,0,0,0,0,0,0,364.43,11.21,0,0,125.85,25.73,18.17,0.94,119.86,144.62,403.07,0,0,0,0,0,0,0,0,53.19,0,0,0,49.41,0,10.02,24.37,0,0.87,0,2.9,0,0,12.55,19.25,15.64,2.1,0,16.23,8.66,44.74,0,26.82,8.24,128.14,37.77,160.53,0,0,11.26,0,0,0,0,0

24,05:45-06:00,38.13,10.52,11.9,0,46.75,0,0,11.86,0,0,1.25,0,0,36.62,14.65,0,0,0,0,0,0,364.43,11.21,0,0,125.85,25.73,18.17,0.94,119.86,144.62,403.07,0,0,0,0,0,0,0,0,53.19,0,0,0,49.41,0,10.02,24.37,0,0.87,0,2.9,0,0,12.55,19.25,15.64,2.1,0,16.23,8.66,44.74,0,26.82,8.24,128.14,37.77,160.53,0,0,11.26,0,0,0,0,0

25,06:00-06:15,38.13,10.52,11.9,0,49.41,0,0,11.86,0,0,1.25,0,0,36.62,14.65,0,0,0,0,0,0,364.43,11.21,0,0,125.85,25.73,18.17,0.94,119.86,144.62,403.07,0,0,0,0,0,0,0,0,53.19,0,0,0,49.41,0,10.02,24.37,0,0.87,0,2.9,0,0,12.55,19.25,15.64,2.1,0,16.23,8.66,44.74,0,26.82,8.24,128.14,37.77,160.53,0,0,11.26,0,0,0,0,0

26,06:15-06:30,38.13,10.52,11.9,0,49.41,0,0,11.86,0,0,1.25,0,0,36.62,14.65,0,0,0,0,0,0,364.43,11.21,0,0,125.85,25.73,18.17,0.94,119.86,144.62,403.07,0,0,0,0,0,0,0,0,53.19,0,0,0,49.41,0,10.02,24.37,0,0.87,0,2.9,0,0,12.55,19.25,15.64,2.1,0,16.23,8.66,44.74,0,26.82,8.24,128.14,37.77,160.53,0,0,11.26,0,0,0,0,0

27,06:30-06:45,38.13,10.52,20.35,0,49.41,0,0,16.58,0,0,1.25,0,0,36.62,22.6,0,0,0,0,0,0,440.97,11.21,0,0,125.85,25.73,18.17,0.94,119.86,144.62,403.07,0,0,0,0,0,0,0,0,53.19,0,0,0,49.41,0,10.02,24.37,0,0.87,0,2.9,0,0,6.28,19.25,15.64,2.1,0,16.23,8.66,44.74,0,28.62,8.24,128.14,37.77,160.53,0,0,11.26,0,0,0,0,0

28,06:45-07:00,38.13,10.52,25.92,0,49.41,0,0,17.73,0,0,1.25,0,0,36.62,22.6,0,0,0,0,0,0,430.88,11.21,0,0,125.85,25.73,18.17,0.94,119.86,144.62,403.07,0,0,0,0,0,0,0,0,53.19,0,0,0,49.41,0,10.02,24.37,0,0.87,0,2.9,0,0,6.28,19.25,15.64,2.1,0,16.23,8.66,44.74,0,28.62,8.24,128.14,37.77,160.53,0,0,11.26,0,0,0,0,0

29,07:00-07:15,38.13,10.52,25.8,0,46.75,0,0,13.61,0,0,1.85,0,0,36.62,18.9,0,0,0,0,0,0,370.11,11.21,0,0,125.85,25.73,18.17,0.94,119.86,144.62,403.07,0,0,0,0,0,0,0,0,53.19,0,0,0,49.41,0,10.02,24.37,0,0.87,0,2.9,0,0,6.28,19.25,15.64,2.1,0,16.23,8.66,44.74,0,28.62,8.24,128.14,37.77,127.05,0,0,11.26,0,0,0,0,0

30,07:15-07:30,38.13,10.52,25.4,0,46.75,0,0,13.6,0,0,1.75,0,0,36.62,18.07,0,0,0,0,0,0,362.04,11.21,0,0,125.85,25.73,18.17,0.94,119.86,144.62,403.07,0,0,0,0,0,0,0,0,53.19,0,0,0,49.41,0,10.02,24.37,0,0.87,0,2.9,0,0,6.28,19.25,15.64,2.1,0,16.23,8.66,44.74,0,28.62,8.24,128.14,37.77,127.05,0,0,11.26,0,0,0,0,0

31,07:30-07:45,38.13,10.52,25.4,0,46.75,0,0,13.6,0,0,1.75,0,0,36.62,18.07,0,0,0,0,0,0,362.04,11.21,0,0,125.85,25.73,18.17,0.94,119.86,144.62,403.07,0,0,0,0,0,0,0,0,53.19,0,0,0,49.41,0,10.02,24.37,0,1.72,0,2.9,0,0,6.28,19.25,15.64,2.1,0,16.23,8.66,44.74,0,28.62,8.24,115,37.77,350.35,0,0,11.26,0,0,0,0,0

32,07:45-08:00,38.13,10.52,25.4,0,46.75,0,0,13.6,0,0,1.75,0,0,36.62,18.07,0,0,0,0,0,0,362.04,0,0,0,125.85,25.73,18.17,0.94,119.86,144.62,403.07,0,0,0,0,0,0,0,0,26.27,0,0,0,49.41,0,10.02,12.19,0,1.72,0,2.9,0,0,6.28,19.25,15.64,1.03,0,16.23,8.66,44.74,0,28.62,8.24,115,32.42,282.98,0,0,11.26,0,0,0,0,0

33,08:00-08:15,38.13,10.52,24,0,46.75,0,0,11.91,0,0,1.75,0,0,36.62,16.96,0,0,0,0,0,0,362.04,0,0,0,125.85,25.73,18.17,0.94,119.86,144.62,403.07,0,0,0,0,0,0,0,0,26.27,0,0,0,49.41,0,10.02,0,0,1.72,0,2.9,0,0,6.28,19.25,15.64,1.03,0,16.23,8.66,44.74,0,28.62,8.24,105.39,32.42,282.98,0,0,9.41,0,0,0,0,0

34,08:15-08:30,38.13,10.52,18.42,0,49.41,0,0,11.86,0,0,1.75,0,0,36.62,14.65,0,0,0,0,0,0,362.04,0,0,0,125.85,25.73,18.17,0.94,119.86,144.62,403.07,0,0,0,0,0,0,0,0,26.27,0,0,0,49.41,0,10.02,0,0,1.72,0,2.9,0,0,6.28,19.25,0,1.03,0,16.23,8.66,44.74,0,28.62,8.24,97.03,32.42,282.98,0,0,9.41,0,0,0,0,0

35,08:30-08:45,38.13,0,11.9,0,49.41,0,0,11.86,0,0,0.82,0,0,36.62,14.65,0,0,0,0,0,0,362.04,0,0,0,123.19,25.73,18.17,0.94,117.47,140.25,403.07,0,0,0,0,0,0,0,0,26.27,0,0,0,49.41,0,10.02,0,0,1.72,0,2.9,0,0,6.28,19.25,0,1.03,0,16.23,8.66,43.72,0,28.62,8.24,68.03,27.18,234.85,0,0,9.41,0,0,0,0,0

36,08:45-09:00,38.13,0,11.9,0,49.41,0,0,11.86,0,0,0.82,0,0,36.62,14.65,0,0,0,0,0,0,362.04,0,0,0,123.19,25.73,18.17,0.94,117.47,140.25,403.07,0,0,0,0,0,0,0,0,26.27,0,0,0,49.41,0,10.02,0,0,1.72,0,2.9,0,0,6.28,19.25,0,1.03,0,16.23,8.66,43.72,0,30.41,8.24,68.03,24.56,234.85,0,0,9.41,0,0,0,0,0

37,09:00-09:15,38.13,0,11.9,0,49.41,0,0,11.86,0,0,0.82,0,0,36.62,14.65,0,0,0,0,0,0,358.19,0,0,0,108.53,38.03,0,0.94,103.65,126.41,403.07,0,0,0,0,0,0,0,0,26.27,0,0,0,49.41,0,10.02,0,0,1.72,0,2.9,0,0,6.28,19.25,0,1.03,0,4.13,0,32.12,0,30.41,8.24,68.03,24.56,234.85,0,0,9.41,0,0,0,0,0

38,09:15-09:30,38.13,0,11.9,0,46.75,0,0,11.86,0,0,0.82,0,0,36.62,14.65,0,0,0,0,0,0,358.19,0,0,0,88.2,38.03,0,0.94,92.97,125.18,403.07,0,0,0,0,0,0,0,0,26.27,0,0,0,49.41,0,10.02,0,0,1.72,0,2.9,0,0,6.28,19.25,0,1.03,0,4.13,0,30.32,0,30.41,8.24,68.03,24.56,205.98,0,0,9.41,0,0,0,0,0

39,09:30-09:45,38.13,0,11.9,0,46.75,0,0,11.86,0,0,0.82,0,0,36.62,14.65,0,0,0,0,0,0,358.19,0,0,0,88.2,38.03,0,0.94,92.97,125.18,403.07,0,0,0,0,0,0,0,0,26.27,0,0,0,49.41,0,10.02,0,0,1.72,0,2.9,0,0,6.28,19.25,0,1.03,0,4.13,0,30.32,0,30.41,8.24,68.03,24.56,205.98,0,0,9.41,0,0,0,0,0

40,09:45-10:00,38.13,0,11.9,0,46.75,0,0,11.86,0,0,0.82,0,0,36.62,14.65,0,0,0,0,0,0,358.19,0,0,0,88.2,38.03,0,0.94,92.97,125.18,403.07,0,0,0,0,0,0,0,0,26.27,0,0,0,49.41,0,10.02,0,0,1.72,0,2.9,0,0,6.28,19.25,0,1.03,0,4.13,0,30.32,0,30.41,8.24,68.03,24.56,138.6,0,0,9.41,0,0,0,0,0

41,10:00-10:15,19.07,0,11.9,0,46.75,0,0,11.86,0,0,0.82,0,0,36.62,14.65,0,0,0,0,0,0,358.19,0,0,0,88.2,38.03,0,0.94,92.97,125.18,403.07,0,0,0,0,0,0,0,0,26.27,0,0,0,49.41,0,10.02,0,0,2.95,0,2.9,0,0,6.28,19.25,0,1.03,0,4.13,0,30.32,0,30.41,8.24,68.03,24.56,138.6,0,0,9.41,0,0,0,0,0

42,10:15-10:30,19.07,0,11.9,0,46.75,0,0,11.86,0,0,0.82,0,0,36.62,14.65,0,0,0,0,0,0,358.19,0,0,0,88.2,38.03,0,0.94,92.97,125.18,403.07,0,0,0,0,0,0,0,0,26.27,0,0,0,49.41,0,10.02,0,0,2.95,0,2.9,0,0,6.28,19.25,0,1.03,0,4.13,0,30.32,0,30.41,8.24,68.03,24.56,119.35,0,0,9.41,0,0,0,0,0

43,10:30-10:45,19.07,0,11.9,0,46.75,0,0,11.89,0,0,0.82,0,0,36.62,14.65,0,0,0,0,0,0,358.19,0,0,0,88.2,38.03,0,0.94,79.31,106.96,403.07,0,0,0,0,0,0,0,0,26.27,0,0,0,49.41,0,10.02,0,0,2.95,0,2.9,0,0,6.28,19.25,0,1.03,0,4.13,0,29.13,0,30.41,8.24,68.03,24.56,119.35,0,0,9.41,0,0,0,0,0

44,10:45-11:00,19.07,0,11.9,0,46.75,0,0,11.89,0,0,0.82,0,0,36.62,14.65,0,0,0,0,0,0,358.19,0,0,0,88.2,38.03,0,0.94,79.31,106.96,403.07,0,0,0,0,0,0,0,0,26.27,0,0,0,49.41,0,10.02,0,0,2.95,0,2.9,0,0,6.28,19.25,0,1.03,0,4.13,0,29.13,0,30.41,8.24,68.03,24.56,119.35,0,0,9.41,0,0,0,0,0

45,11:00-11:15,19.07,0,11.9,0,46.75,0,0,12.65,0,0,0.82,0,0,36.62,16.74,0,0,0,0,0,0,358.19,0,0,0,85.38,38.03,0,0.96,82.3,118.93,403.07,0,0,0,0,0,0,0,0,26.27,0,0,0,49.41,0,10.02,0,0,2.95,0,3.01,0,0,6.28,19.25,0,1.03,0,4.13,0,29.85,0,32.2,8.24,68.03,24.56,119.35,0,0,9.41,0,0,0,0,0

46,11:15-11:30,19.07,0,11.9,0,46.75,0,0,12.65,0,0,0.82,0,0,36.62,16.74,0,0,0,0,0,0,358.19,0,0,0,85.38,38.03,0,0.96,82.3,118.93,403.07,0,0,0,0,0,0,0,0,26.27,0,0,0,49.41,0,10.02,0,0,2.95,0,3.01,0,0,6.28,19.25,0,1.03,0,4.13,0,29.85,0,32.2,8.24,68.03,24.56,119.35,0,0,9.41,0,0,0,0,0

47,11:30-11:45,19.07,0,11.9,0,46.75,0,0,12.65,0,0,0.82,0,0,36.62,16.74,0,0,0,0,0,0,358.19,0,0,0,85.42,38.03,0,0.96,82.38,118.98,403.07,0,0,0,0,0,0,0,0,26.27,0,0,0,49.41,0,0,0,0,2.95,0,3.01,0,0,6.28,19.25,0,1.03,0,4.13,0,29.85,0,32.2,8.24,68.03,24.56,119.35,0,0,9.41,0,0,0,0,0

48,11:45-12:00,19.07,0,11.9,0,46.75,0,0,12.65,0,0,0.82,0,0,36.62,16.74,0,0,0,0,0,0,358.19,0,0,0,85.42,38.03,0,0.96,82.38,118.98,403.07,0,0,0,0,0,0,0,0,0,0,0,0,49.41,0,0,0,0,2.95,0,3.01,0,0,6.28,19.25,0,0,0,4.13,0,29.85,0,32.2,8.24,68.03,24.56,119.35,0,0,9.41,0,0,0,0,0

49,12:00-12:15,19.07,0,11.9,0,46.75,0,0,12.65,0,0,0.82,0,0,36.62,16.74,0,0,0,0,0,0,358.19,0,0,0,88.2,38.03,0,0.96,78.93,116.94,403.07,0,0,0,0,0,0,0,0,0,0,0,0,49.41,0,0,0,0,2.95,0,3.01,0,0,6.28,19.25,0,0,0,4.13,0,29.67,0,32.2,8.24,68.03,24.56,119.35,0,0,9.41,0,0,0,0,0

50,12:15-12:30,19.07,0,11.9,0,46.75,0,0,12.65,0,0,0.82,0,0,36.62,16.74,0,0,0,0,0,0,358.19,0,0,0,88.2,38.03,0,0.96,78.93,116.94,403.07,0,0,0,0,0,0,0,0,0,0,0,0,49.41,0,0,0,0,2.95,0,3.01,0,0,6.28,19.25,0,0,0,0,0,29.67,0,32.2,8.24,68.03,24.56,119.35,0,0,9.41,0,0,0,0,0

51,12:30-12:45,19.07,0,11.9,0,46.75,0,0,12.65,0,0,0.82,0,0,36.62,16.74,0,0,0,0,0,0,358.19,0,0,0,88.2,38.03,0,0.96,78.93,116.94,403.07,0,0,0,0,0,0,0,0,0,0,0,0,49.41,0,0,0,0,1.72,0,3.01,0.99,0,6.28,19.25,0,0,0,0,0,29.67,0,63.42,8.24,68.03,24.56,119.35,0,0,9.41,0,0,0,0,0

52,12:45-13:00,19.07,0,11.9,0,46.75,0,0,12.65,0,0,0.82,0,0,36.62,16.74,0,0,0,0,0,0,358.19,0,0,0,88.2,38.03,0,0.96,78.93,116.94,403.07,0,0,0,0,0,0,0,0,0,0,0,0,49.41,0,0,0,0,1.72,0,3.01,0.99,0,6.28,19.25,0,0,0,0,0,29.67,0,63.42,8.24,68.03,24.56,119.35,0,0,9.41,0,0,0,0,0

53,13:00-13:15,19.07,0,11.9,0,47.29,0,0,12.65,0,0,0.82,0,0,36.62,16.74,0,0,0,0,0,0,358.19,0,0,0,88.2,38.03,0,0.96,78.93,116.94,403.07,0,0,0,0,0,0,0,0,0,0,0,0,49.41,0,0,0,0,1.11,0,3.01,0.99,0,6.28,19.25,0,0,0,0,0,29.67,0,63.42,8.24,68.03,24.56,119.35,0,0,9.41,0,0,0,0,0

54,13:15-13:30,19.07,0,11.9,0,47.29,0,0,12.65,0,0,0.82,0,0,36.62,16.74,0,0,0,0,0,0,358.19,0,0,0,88.2,38.03,0,0.96,78.93,116.94,403.07,0,0,0,0,0,0,0,0,0,0,0,0,49.41,0,0,0,0,1.11,0,3.01,0.99,0,6.28,19.25,0,0,0,0,0,29.67,0,64.23,8.24,68.03,24.56,128.98,0,0,9.41,0,0,0,0,0

55,13:30-13:45,19.07,0,11.9,0,47.29,0,0,12.65,0,0,0.82,0,0,36.62,16.74,0,0,0,0,0,0,358.19,0,0,0,88.2,38.03,0,0.96,78.93,116.94,403.07,0,0,0,0,0,0,0,0,0,0,0,0,49.41,0,10.02,0,0,1.11,0,3.01,1.98,0,6.28,19.25,0,0,0,0,0,29.67,0,64.23,8.24,68.03,24.56,128.98,0,0,9.41,0,0,0,0,0

56,13:45-14:00,19.07,0,11.9,0,47.29,0,0,12.65,0,0,0.82,0,0,36.62,16.74,0,0,0,0,0,0,358.19,0,0,0,88.2,38.03,0,0.96,78.93,116.94,403.07,0,0,0,0,0,0,0,0,0,0,0,0,49.41,0,10.02,0,0,1.11,0,3.01,1.98,0,6.28,19.25,0,0,0,0,0,29.67,0,64.23,8.24,68.03,24.56,128.98,0,0,9.41,0,0,0,0,0

