Time,Block,NR/2023/12053/A,NR/2023/15304/F,NR/2023/12431/A,NR/2023/14745/A,NR/2023/14895/A,NR/2023/15983/C,NR/2023/12592/A,NR/2023/15974/C,NR/2023/13635/A,NR/2023/12052/A,NR/2023/14737/A,NR/2023/15982/C,NR/2023/12422/A,WR/2023/18072/C,NR/2023/15057/F,NR/2023/12168/A,NR/2023/15694/F,NR/2023/15309/F,NR/2023/12591/A,NR/2023/15969/C,NR/2023/15303/F,NR/2023/15402/F,NR/2023/14746/A,NR/2023/15955/D,NR/2023/12167/A,NR/2023/14898/A,NR/2023/12347/A,NR/2023/15296/F,NR/2023/15306/F,NR/2023/12148/A,NR/2023/13862/A,NR/2023/15958/D,Total
5,01:00-01:15,36.410000,0.580000,124.830000,24.130000,95.540000,0.000000,99.890000,18.840000,24.980000,62.970000,62.730000,0,36.770000,100.000000,0.680000,46.520000,193.020000,4.830000,49.940000,6.050000,0.910000,0.000000,85.800000,0.000000,24.130000,77.210000,98.440000,0.970000,0.930000,22.200000,23.090000,0,1322.39

6,01:15-01:30,36.410000,0.580000,124.830000,24.130000,95.540000,0.000000,99.890000,18.840000,24.980000,62.970000,62.730000,0,36.770000,100.000000,0.680000,46.520000,193.020000,4.830000,49.940000,6.050000,0.910000,0.000000,85.800000,0.000000,24.130000,77.210000,98.440000,0.970000,0.930000,22.200000,23.090000,0,1322.39

7,01:30-01:45,36.410000,0.580000,124.830000,24.130000,95.540000,0.000000,99.890000,18.840000,24.980000,62.970000,62.730000,0,36.770000,100.000000,0.680000,46.520000,193.020000,4.830000,49.940000,6.050000,0.910000,0.000000,85.800000,0.000000,24.130000,77.210000,98.440000,0.970000,0.930000,22.200000,23.090000,0,1322.39

8,01:45-02:00,36.410000,0.580000,124.830000,24.130000,95.540000,0.000000,99.890000,18.840000,24.980000,62.970000,62.730000,0,36.770000,100.000000,0.680000,46.520000,193.020000,4.830000,49.940000,6.050000,0.910000,0.000000,85.800000,0.000000,24.130000,77.210000,98.440000,0.970000,0.930000,22.200000,23.090000,0,1322.39

9,02:00-02:15,36.410000,0.580000,124.830000,24.130000,95.540000,0.000000,99.890000,18.840000,24.980000,62.970000,62.730000,0,36.770000,100.000000,0.580000,46.520000,193.020000,4.830000,49.940000,6.050000,0.910000,0.000000,85.800000,0.000000,24.130000,77.210000,98.440000,0.970000,0.930000,22.200000,23.090000,0,1322.29

10,02:15-02:30,36.410000,0.580000,124.830000,24.130000,95.540000,0.000000,99.890000,18.840000,24.980000,62.970000,62.730000,0,36.770000,100.000000,0.580000,46.520000,193.020000,4.830000,49.940000,6.050000,0.910000,0.000000,85.800000,0.000000,24.130000,77.210000,98.440000,0.970000,0.930000,22.200000,23.090000,0,1322.29

11,02:30-02:45,36.410000,0.580000,124.830000,24.130000,95.540000,0.000000,99.890000,18.840000,24.980000,62.970000,62.730000,0,36.770000,100.000000,0.580000,46.520000,193.020000,4.830000,49.940000,6.050000,0.910000,0.000000,85.800000,0.000000,24.130000,77.210000,98.440000,0.970000,0.930000,22.200000,23.090000,0,1322.29

12,02:45-03:00,36.410000,0.580000,124.830000,24.130000,95.540000,0.000000,99.890000,18.840000,24.980000,62.970000,62.730000,0,36.770000,100.000000,0.580000,46.520000,193.020000,4.830000,49.940000,6.050000,0.910000,0.000000,85.800000,0.000000,24.130000,77.210000,98.440000,0.970000,0.930000,22.200000,23.090000,0,1322.29

13,03:00-03:15,0.000000,0.580000,124.830000,24.130000,95.540000,0.000000,99.890000,18.840000,24.980000,62.970000,62.730000,0,36.770000,100.000000,0.530000,46.520000,193.020000,4.830000,49.940000,6.050000,0.910000,0.000000,85.800000,0.000000,24.130000,77.210000,98.440000,0.970000,0.930000,22.200000,0.000000,0,1262.74

14,03:15-03:30,0.000000,0.580000,124.830000,24.130000,95.540000,0.000000,99.890000,18.840000,24.980000,62.970000,62.730000,0,36.770000,100.000000,0.530000,46.520000,193.020000,4.830000,49.940000,6.050000,0.910000,0.000000,85.800000,0.000000,24.130000,77.210000,98.440000,0.970000,0.930000,22.200000,0.000000,0,1262.74

15,03:30-03:45,0.000000,0.580000,124.830000,24.130000,95.540000,0.000000,99.890000,18.840000,24.980000,62.970000,62.730000,0,36.770000,100.000000,0.530000,46.520000,193.020000,4.830000,49.940000,6.050000,0.910000,0.000000,85.800000,0.000000,24.130000,77.210000,98.440000,0.970000,0.930000,22.200000,0.000000,0,1262.74

16,03:45-04:00,0.000000,0.580000,124.830000,24.130000,95.540000,0.000000,99.890000,18.840000,24.980000,62.970000,62.730000,0,36.770000,100.000000,0.530000,46.520000,193.020000,4.830000,49.940000,6.050000,0.910000,0.000000,85.800000,0.000000,24.130000,77.210000,98.440000,0.970000,0.930000,22.200000,0.000000,0,1262.74

17,04:00-04:15,0.000000,0.580000,124.830000,24.130000,95.540000,0.000000,99.890000,18.840000,24.980000,62.970000,62.730000,0,36.770000,100.000000,0.530000,46.520000,193.020000,4.830000,49.940000,6.050000,0.910000,0.000000,85.800000,0.000000,24.130000,77.210000,98.440000,0.970000,0.930000,22.200000,0.000000,0,1262.74

18,04:15-04:30,0.000000,0.580000,124.830000,24.130000,95.540000,0.000000,99.890000,18.840000,24.980000,62.970000,62.730000,0,36.770000,100.000000,0.530000,46.520000,193.020000,4.830000,49.940000,6.050000,0.910000,0.000000,85.800000,0.000000,24.130000,77.210000,98.440000,0.970000,0.930000,22.200000,0.000000,0,1262.74

19,04:30-04:45,0.000000,0.580000,124.830000,24.130000,95.540000,0.000000,99.890000,18.840000,24.980000,62.970000,62.730000,0,36.770000,100.000000,0.530000,46.520000,193.020000,4.830000,49.940000,6.050000,0.910000,0.000000,85.800000,0.000000,24.130000,77.210000,98.440000,0.970000,0.930000,22.200000,0.000000,0,1262.74

20,04:45-05:00,0.000000,0.580000,124.830000,24.130000,95.540000,0.000000,99.890000,18.840000,24.980000,62.970000,62.730000,0,36.770000,100.000000,0.530000,46.520000,193.020000,4.830000,49.940000,6.050000,0.910000,0.000000,85.800000,0.000000,24.130000,77.210000,98.440000,0.970000,0.930000,22.200000,0.000000,0,1262.74

21,05:00-05:15,0.000000,0.580000,124.830000,24.130000,95.540000,0.000000,99.890000,18.750000,24.980000,62.970000,62.730000,0,36.770000,100.000000,0.530000,46.520000,193.020000,4.830000,49.940000,5.050000,0.910000,0.000000,85.800000,0.000000,24.130000,77.210000,0.000000,0.970000,0.930000,22.200000,0.000000,0,1163.21

22,05:15-05:30,0.000000,0.580000,124.830000,24.130000,95.540000,0.000000,99.890000,18.750000,24.980000,62.970000,62.730000,0,36.770000,100.000000,0.530000,46.520000,193.020000,4.830000,49.940000,5.050000,0.910000,0.000000,85.800000,0.000000,24.130000,77.210000,0.000000,0.970000,0.930000,22.200000,0.000000,0,1163.21

23,05:30-05:45,0.000000,0.580000,124.830000,24.130000,95.540000,0.000000,99.890000,18.750000,24.980000,62.970000,62.730000,0,36.770000,100.000000,0.530000,46.520000,193.020000,4.830000,49.940000,5.050000,0.910000,0.000000,85.800000,0.000000,24.130000,77.210000,0.000000,0.970000,0.930000,22.200000,0.000000,0,1163.21

24,05:45-06:00,0.000000,0.580000,124.830000,24.130000,95.540000,0.000000,99.890000,18.750000,24.980000,62.970000,62.730000,0,36.770000,100.000000,0.530000,46.520000,193.020000,4.830000,49.940000,5.050000,0.910000,0.000000,85.800000,0.000000,24.130000,77.210000,0.000000,0.970000,0.930000,22.200000,0.000000,0,1163.21

25,06:00-06:15,0.000000,0.580000,124.830000,24.130000,95.540000,0.000000,99.890000,18.660000,24.980000,62.970000,62.730000,0,0.000000,100.000000,0.680000,46.520000,193.020000,4.830000,49.940000,5.050000,0.910000,0.000000,0.000000,0.000000,24.130000,77.210000,0.000000,0.970000,0.930000,22.200000,0.000000,0,1040.7

26,06:15-06:30,0.000000,0.580000,124.830000,24.130000,95.540000,0.000000,99.890000,18.660000,24.980000,62.970000,62.730000,0,0.000000,100.000000,0.680000,46.520000,193.020000,4.830000,49.940000,5.050000,0.910000,0.000000,0.000000,0.000000,24.130000,77.210000,0.000000,0.970000,0.930000,22.200000,0.000000,0,1040.7

27,06:30-06:45,0.000000,0.580000,124.830000,24.130000,95.540000,0.000000,99.890000,18.660000,24.980000,62.970000,62.730000,0,0.000000,100.000000,0.680000,46.520000,193.020000,4.830000,49.940000,5.050000,0.910000,0.000000,0.000000,0.000000,24.130000,77.210000,0.000000,0.970000,0.930000,22.200000,0.000000,0.13,1040.83

28,06:45-07:00,0.000000,0.580000,124.830000,24.130000,95.540000,0.000000,99.890000,18.660000,24.980000,62.970000,62.730000,0,0.000000,100.000000,0.680000,46.520000,193.020000,4.830000,49.940000,5.050000,0.910000,0.000000,0.000000,0.000000,24.130000,77.210000,0.000000,0.970000,0.930000,22.200000,0.000000,0.58,1041.28

29,07:00-07:15,0.000000,0.580000,124.830000,24.130000,95.540000,0.000000,99.890000,18.660000,24.980000,62.970000,62.730000,0,0.000000,100.000000,0.680000,46.520000,193.020000,4.830000,49.940000,5.050000,0.910000,0.000000,0.000000,38.600000,24.130000,77.210000,0.000000,0.970000,0.930000,22.200000,0.000000,1.1,1080.4

30,07:15-07:30,0.000000,0.580000,124.830000,24.130000,95.540000,0.000000,99.890000,18.660000,24.980000,62.970000,62.730000,0,0.000000,100.000000,0.680000,46.520000,193.020000,4.830000,49.940000,5.050000,0.910000,0.000000,0.000000,38.600000,24.130000,77.210000,0.000000,0.970000,0.930000,22.200000,0.000000,1.53,1080.83

31,07:30-07:45,0.000000,0.580000,124.830000,24.130000,95.540000,0.000000,99.890000,18.660000,24.980000,62.970000,62.730000,0,0.000000,100.000000,0.680000,46.520000,193.020000,4.830000,49.940000,5.050000,0.910000,0.000000,0.000000,38.600000,24.130000,77.210000,0.000000,0.970000,0.930000,22.200000,0.000000,1.97,1081.27

32,07:45:08:00,0.000000,0.580000,124.830000,24.130000,95.540000,0.000000,99.890000,18.660000,24.980000,62.970000,62.730000,0,0.000000,100.000000,0.680000,46.520000,193.020000,4.830000,49.940000,5.050000,0.910000,0.000000,0.000000,38.600000,24.130000,77.210000,0.000000,0.970000,0.930000,22.200000,0.000000,2.33,1081.63

33,08:00-08:15,0.000000,0.580000,124.830000,24.130000,95.540000,0.000000,99.890000,18.660000,24.980000,62.970000,62.730000,0,0.000000,0.000000,0.970000,46.520000,193.020000,4.830000,49.940000,5.050000,0.910000,0.000000,0.000000,38.600000,24.130000,77.210000,0.000000,0.970000,0.930000,22.200000,0.000000,2.9,982.49

34,08:15-08:30,0.000000,0.580000,124.830000,24.130000,95.540000,0.000000,99.890000,18.660000,24.980000,62.970000,62.730000,0,0.000000,0.000000,0.970000,46.520000,193.020000,4.830000,49.940000,5.050000,0.910000,0.000000,0.000000,38.600000,24.130000,77.210000,0.000000,0.970000,0.930000,22.200000,0.000000,3.54,983.13

35,08:30-08:45,0.000000,0.580000,124.830000,24.130000,95.540000,0.000000,99.890000,18.660000,24.980000,62.970000,62.730000,0,0.000000,0.000000,0.970000,46.520000,193.020000,4.830000,49.940000,5.050000,0.910000,0.000000,0.000000,38.600000,24.130000,77.210000,0.000000,0.970000,0.930000,22.200000,0.000000,4.16,983.75

36,08:45:09:00,0.000000,0.580000,124.830000,24.130000,95.540000,0.000000,99.890000,18.660000,24.980000,62.970000,62.730000,0,0.000000,0.000000,0.970000,46.520000,193.020000,4.830000,49.940000,5.050000,0.910000,0.000000,0.000000,38.600000,24.130000,77.210000,0.000000,0.970000,0.930000,22.200000,0.000000,4.34,983.93

37,09:00:09:15,0.000000,0.580000,124.830000,24.130000,95.540000,28.950000,99.890000,18.570000,24.980000,62.970000,62.730000,17.37,0.000000,0.000000,0.970000,46.520000,143.670000,4.830000,49.940000,9.080000,0.910000,6.760000,0.000000,38.600000,24.130000,77.210000,0.000000,0.970000,0.930000,22.200000,0.000000,4.63,991.89

38,09:15-09:30,0.000000,0.580000,124.830000,24.130000,95.540000,28.950000,99.890000,18.570000,24.980000,62.970000,62.730000,17.37,0.000000,0.000000,0.970000,46.520000,143.670000,4.830000,49.940000,9.080000,0.910000,6.760000,0.000000,38.600000,24.130000,77.210000,0.000000,0.970000,0.930000,22.200000,0.000000,4.83,992.09

39,09:30-09:45,0.000000,0.580000,124.830000,24.130000,95.540000,28.950000,99.890000,18.570000,24.980000,62.970000,62.730000,17.37,0.000000,0.000000,0.970000,46.520000,143.670000,4.830000,49.940000,9.080000,0.910000,6.760000,0.000000,38.600000,24.130000,77.210000,0.000000,0.970000,0.930000,22.200000,0.000000,5.02,992.28

40,09:45-10:00,0.000000,0.580000,124.830000,24.130000,95.540000,28.950000,99.890000,18.570000,24.980000,62.970000,62.730000,17.37,0.000000,0.000000,0.970000,46.520000,143.670000,4.830000,49.940000,9.080000,0.910000,6.760000,0.000000,38.600000,24.130000,77.210000,0.000000,0.970000,0.930000,22.200000,0.000000,5.41,992.67

41,10:00-10:15,0.000000,0.580000,124.830000,24.130000,95.540000,28.950000,99.890000,18.570000,24.980000,62.970000,62.730000,17.37,0.000000,0.000000,0.970000,46.520000,143.670000,4.830000,49.940000,10.090000,0.910000,6.760000,0.000000,38.600000,24.130000,77.210000,90.720000,0.970000,0.930000,22.200000,0.000000,5.6,1084.59

42,10:15-10:30,0.000000,0.580000,124.830000,24.130000,95.540000,28.950000,99.890000,18.570000,24.980000,62.970000,62.730000,17.37,0.000000,0.000000,0.970000,46.520000,143.670000,4.830000,49.940000,10.090000,0.910000,6.760000,0.000000,38.600000,24.130000,77.210000,90.720000,0.970000,0.930000,22.200000,0.000000,5.98,1084.97

43,10:30-10:45,0.000000,0.580000,124.830000,24.130000,95.540000,28.950000,99.890000,18.570000,24.980000,62.970000,62.730000,17.37,0.000000,0.000000,0.970000,46.520000,143.670000,4.830000,49.940000,10.090000,0.910000,6.760000,0.000000,38.600000,24.130000,77.210000,90.720000,0.970000,0.930000,22.200000,0.000000,6.27,1085.26

44,10:45-11:00,0.000000,0.580000,124.830000,24.130000,95.540000,28.950000,99.890000,18.570000,24.980000,62.970000,62.730000,17.37,0.000000,0.000000,0.970000,46.520000,143.670000,4.830000,49.940000,10.090000,0.910000,6.760000,0.000000,38.600000,24.130000,77.210000,90.720000,0.970000,0.930000,22.200000,0.000000,6.78,1085.77

45,11:00-11:15,0.000000,0.580000,124.830000,24.130000,95.540000,28.950000,99.890000,18.570000,24.980000,62.970000,62.730000,17.37,0.000000,0.000000,0.970000,46.520000,143.670000,4.830000,49.940000,10.090000,0.910000,6.760000,0.000000,38.600000,24.130000,77.210000,90.720000,0.970000,0.930000,22.200000,0.000000,7.13,1086.12

46,11:15-11:30,0.000000,0.580000,124.830000,24.130000,95.540000,28.950000,99.890000,18.570000,24.980000,62.970000,62.730000,17.37,0.000000,0.000000,0.970000,46.520000,143.670000,4.830000,49.940000,10.090000,0.910000,6.760000,0.000000,38.600000,24.130000,77.210000,90.720000,0.970000,0.930000,22.200000,0.000000,7.33,1086.32

47,11:30-11:45,0.000000,0.580000,124.830000,24.130000,95.540000,28.950000,99.890000,18.570000,24.980000,62.970000,62.730000,17.37,0.000000,0.000000,0.970000,46.520000,143.670000,4.830000,49.940000,10.090000,0.910000,6.760000,0.000000,38.600000,24.130000,77.210000,90.720000,0.970000,0.930000,22.200000,0.000000,7.53,1086.52

48,11:45-12:00,0.000000,0.580000,124.830000,24.130000,95.540000,28.950000,99.890000,18.570000,24.980000,62.970000,62.730000,17.37,0.000000,0.000000,0.970000,46.520000,143.670000,4.830000,49.940000,10.090000,0.910000,6.760000,0.000000,38.600000,24.130000,77.210000,90.720000,0.970000,0.930000,22.200000,0.000000,7.72,1086.71

49,12:00-12:15,0.000000,0.580000,124.830000,24.130000,95.540000,28.950000,99.890000,18.570000,24.980000,62.970000,62.730000,17.37,0.000000,0.000000,0.970000,46.520000,143.670000,4.830000,49.940000,10.090000,0.910000,6.760000,0.000000,38.600000,24.130000,77.210000,90.720000,0.970000,0.930000,22.200000,0.000000,8.11,1087.1

50,12:15-12:30,0.000000,0.580000,124.830000,24.130000,95.540000,28.950000,99.890000,18.570000,24.980000,62.970000,62.730000,17.37,0.000000,0.000000,0.970000,46.520000,143.670000,4.830000,49.940000,10.090000,0.910000,6.760000,0.000000,38.600000,24.130000,77.210000,90.720000,0.970000,0.930000,22.200000,0.000000,8.3,1087.29

51,12:30-12:45,0.000000,0.580000,124.830000,24.130000,95.540000,28.950000,99.890000,18.570000,24.980000,62.970000,62.730000,17.37,0.000000,0.000000,0.970000,46.520000,143.670000,4.830000,49.940000,10.090000,0.910000,6.760000,0.000000,38.600000,24.130000,77.210000,90.720000,0.970000,0.930000,22.200000,0.000000,8.69,1087.68

52,12:45-13:00,0.000000,0.580000,124.830000,24.130000,95.540000,28.950000,99.890000,18.570000,24.980000,62.970000,62.730000,17.37,0.000000,0.000000,0.970000,46.520000,143.670000,4.830000,49.940000,10.090000,0.910000,6.760000,0.000000,38.600000,24.130000,77.210000,90.720000,0.970000,0.930000,22.200000,0.000000,8.88,1087.87

53,13:00-13:15,0.000000,0.580000,124.830000,24.130000,95.540000,28.950000,99.890000,18.570000,24.980000,62.970000,62.730000,17.37,0.000000,0.000000,0.970000,46.520000,193.020000,4.830000,49.940000,10.090000,0.910000,6.760000,0.000000,38.600000,24.130000,77.210000,90.720000,0.970000,0.930000,22.200000,0.000000,9.17,1137.51

54,13:15-13:30,0.000000,0.580000,124.830000,24.130000,95.540000,28.950000,99.890000,18.570000,24.980000,62.970000,62.730000,17.37,0.000000,0.000000,0.970000,46.520000,193.020000,4.830000,49.940000,10.090000,0.910000,6.760000,0.000000,38.600000,24.130000,77.210000,90.720000,0.970000,0.930000,22.200000,0.000000,8.49,1136.83

55,13:30-13:45,0.000000,0.580000,124.830000,24.130000,95.540000,28.950000,99.890000,18.570000,24.980000,62.970000,62.730000,17.37,0.000000,0.000000,0.970000,46.520000,193.020000,4.830000,49.940000,10.090000,0.910000,6.760000,0.000000,38.600000,24.130000,77.210000,90.720000,0.970000,0.930000,22.200000,0.000000,8.11,1136.45

56,13:45-14:00,0.000000,0.580000,124.830000,24.130000,95.540000,28.950000,99.890000,18.570000,24.980000,62.970000,62.730000,17.37,0.000000,0.000000,0.970000,46.520000,193.020000,4.830000,49.940000,10.090000,0.910000,6.760000,0.000000,38.600000,24.130000,77.210000,90.720000,0.970000,0.930000,22.200000,0.000000,7.24,1135.58

57,14:00-14:15,0.000000,0.580000,124.830000,24.130000,95.540000,28.950000,99.890000,18.660000,24.980000,62.970000,62.730000,17.37,0.000000,0.000000,0.970000,46.520000,193.020000,4.830000,49.940000,10.090000,0.910000,6.760000,0.000000,38.600000,24.130000,77.210000,106.160000,0.970000,0.930000,22.200000,23.090000,6.95,1173.91

58,14:15-14:30,0.000000,0.580000,124.830000,24.130000,95.540000,28.950000,99.890000,18.660000,24.980000,62.970000,62.730000,17.37,0.000000,0.000000,0.970000,46.520000,193.020000,4.830000,49.940000,10.090000,0.910000,6.760000,0.000000,38.600000,24.130000,77.210000,106.160000,0.970000,0.930000,22.200000,23.090000,6.76,1173.72

59,14:30-14:45,0.000000,0.580000,124.830000,24.130000,95.540000,28.950000,99.890000,18.660000,24.980000,62.970000,62.730000,17.37,0.000000,0.000000,0.970000,46.520000,193.020000,4.830000,49.940000,10.090000,0.910000,6.760000,0.000000,38.600000,24.130000,77.210000,106.160000,0.970000,0.930000,22.200000,23.090000,6.27,1173.23

60,14:45-15:00,0.000000,0.580000,124.830000,24.130000,95.540000,28.950000,99.890000,18.660000,24.980000,62.970000,62.730000,17.37,0.000000,0.000000,0.970000,46.520000,193.020000,4.830000,49.940000,10.090000,0.910000,6.760000,0.000000,38.600000,24.130000,77.210000,106.160000,0.970000,0.930000,22.200000,23.090000,5.79,1172.75

61,15:00-15:15,0.000000,0.580000,124.830000,24.130000,95.540000,28.950000,99.890000,18.660000,24.980000,62.970000,62.730000,17.37,0.000000,0.000000,0.920000,46.520000,193.020000,4.830000,49.940000,10.090000,0.910000,6.760000,0.000000,38.600000,24.130000,77.210000,106.160000,0.970000,0.930000,22.200000,23.090000,5.48,1172.39

62,15:15-15:30,0.000000,0.580000,124.830000,24.130000,95.540000,28.950000,99.890000,18.660000,24.980000,62.970000,62.730000,17.37,0.000000,0.000000,0.920000,46.520000,193.020000,4.830000,49.940000,10.090000,0.910000,6.760000,0.000000,38.600000,24.130000,77.210000,106.160000,0.970000,0.930000,22.200000,23.090000,5.52,1172.43

63,15:30-15:45,0.000000,0.580000,124.830000,24.130000,95.540000,28.950000,99.890000,18.660000,24.980000,62.970000,62.730000,17.37,0.000000,0.000000,0.920000,46.520000,193.020000,4.830000,49.940000,10.090000,0.910000,6.760000,0.000000,38.600000,24.130000,77.210000,106.160000,0.970000,0.930000,22.200000,23.090000,5.31,1172.22

64,15:45-16:00,0.000000,0.580000,124.830000,24.130000,95.540000,28.950000,99.890000,18.660000,24.980000,62.970000,62.730000,17.37,0.000000,0.000000,0.920000,46.520000,193.020000,4.830000,49.940000,10.090000,0.910000,6.760000,0.000000,38.600000,24.130000,77.210000,106.160000,0.970000,0.930000,22.200000,23.090000,5.08,1171.99

65,16:00-16:15,0.000000,0.580000,124.830000,24.130000,95.540000,28.950000,99.890000,18.660000,24.980000,62.970000,62.730000,17.37,0.000000,0.000000,0.820000,46.520000,193.020000,4.830000,49.940000,10.090000,0.910000,6.760000,0.000000,38.600000,24.130000,77.210000,106.160000,0.970000,0.930000,22.200000,23.090000,3.46,1170.27

66,16:15-16:30,0.000000,0.580000,124.830000,24.130000,95.540000,28.950000,99.890000,18.660000,24.980000,62.970000,62.730000,17.37,0.000000,0.000000,0.820000,46.520000,193.020000,4.830000,49.940000,10.090000,0.910000,6.760000,0.000000,38.600000,24.130000,77.210000,106.160000,0.970000,0.930000,22.200000,23.090000,3.19,1170

67,16:30-16:45,0.000000,0.580000,124.830000,24.130000,95.540000,28.950000,99.890000,18.660000,24.980000,62.970000,62.730000,17.37,0.000000,0.000000,0.820000,46.520000,193.020000,4.830000,49.940000,10.090000,0.910000,6.760000,0.000000,38.600000,24.130000,77.210000,106.160000,0.970000,0.930000,22.200000,23.090000,3.63,1170.44

68,16:45-17:00,0.000000,0.580000,124.830000,24.130000,95.540000,28.950000,99.890000,18.660000,24.980000,62.970000,62.730000,17.37,0.000000,0.000000,0.820000,46.520000,193.020000,4.830000,49.940000,10.090000,0.910000,6.760000,0.000000,38.600000,24.130000,77.210000,106.160000,0.970000,0.930000,22.200000,23.090000,1.59,1168.4

69,17:00-17:15,0.000000,0.580000,124.830000,24.130000,95.540000,0.000000,99.890000,18.750000,24.980000,62.970000,62.730000,0,0.000000,0.000000,0.820000,46.520000,193.020000,4.830000,49.940000,9.080000,0.910000,0.000000,0.000000,38.600000,24.130000,77.210000,48.260000,0.970000,0.930000,22.200000,0.000000,1.35,1033.17

