Column1,Block,NR/2025/27622/A/79840,GNARE/NR/2024/12/20/3668,NR/2025/27356/A/80175,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/5280,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/9257,NR/30092023/26122029/SH-06,NR/2025/28768/C,NR/2025/28888/C,NR/2025/28803/C,NR/2025/28822/C,NR/2025/26570/A/80229,NR/2025/28817/C,NR/2025/28748/C,NR/2025/26445/A/80370,NR/2025/28786/C,NR/2025/28840/C,NR/2025/28796/C,NR/2025/28854/C,NR/2025/28842/C,NR/2025/28828/C,NR/2025/28139/A/80169,NR/2025/28844/C,NR/2025/28744/C,NR/2025/26445/A/80792,NR/2025/28886/C,NR/2025/28140/A/80171,NR/2025/28746/C,NR/2025/28804/C,NR/2025/28663/C,NR/2025/28747/C,NR/2025/28667/C,NR/2025/28835/C,NR/2025/28837/C,NR/2025/28876/C,NR/2025/28138/A/79991,NR/2025/27281/A/80373,NR/2025/28858/C,NR/2025/26085/A/79940,NR/2025/28861/C,NR/2025/27088/A/80360,NR/2025/27725/A/80290,NR/2025/26861/A/80270,NR/2025/27726/A/80289,NR/2025/28860/C,NR/2025/27168/A/80325,NR/2025/26889/A/80316,NR/2025/27728/A/80287,NR/2025/27462/A/79841,NR/2025/28862/C,NR/2025/26561/A/80225,NR/2025/26860/A/80281,NR/2025/27727/A/80285,NR/2025/28884/C,NR/2025/27167/A/80324,NR/2025/26952/A/79915,NR/2025/27157/A/79962,NR/2025/26785/A/80101,NR/2025/27499/A/80315,NR/2025/28141/A/80173,NR/2025/27782/A/80284,NR/2025/26563/A/80226,NR/2025/27242/A/80294,NR/2025/26564/A/80227,NR/2025/27724/A/79944,NR/2025/26777/A/79958,NR/2025/27162/A/80298,NR/2025/26569/A/80228,NR/2025/26975/A/80314,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/14/1761,GNA/NR/2025/06/14/5424,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/2569,Total
6,01:15-01:30,0,0,0,32,29.16,0,48.32,11.91,15.17,24.16,24.16,32,0,48.32,0,28.99,0,0,0,63.58,146.88,0,0,48.32,0,98.71,23.07,0,0,0,54.11,33.82,0,0,0,0,0,0,0,53.15,38.65,24.88,1.93,0.68,32.85,192.64,8.78,193.26,26.35,170.07,24.16,5.8,26.35,9.66,87.93,144.94,106.29,26.35,129.74,24.16,0,217.32,0,8.7,135.28,8.78,144.94,48.32,0,10.63,193.26,55.99,144.94,27.06,48.32,11.9,24.16,48.32,33.53,48.32,62.81,3363.880000000001

7,01:30-01:45,0,0,0,32,29.16,0,48.32,11.91,15.17,24.16,24.16,32,0,48.32,0,28.99,0,0,0,63.58,146.88,0,0,48.32,0,98.71,23.07,0,0,0,54.11,33.82,0,0,0,0,0,0,0,53.15,38.65,24.88,1.93,0.68,32.85,192.64,8.78,193.26,26.35,170.07,24.16,5.8,26.35,9.66,87.93,144.94,106.29,26.35,129.74,24.16,0,217.32,0,8.7,135.28,8.78,144.94,48.32,0,10.63,193.26,55.99,144.94,27.06,48.32,11.9,24.16,48.32,33.53,48.32,62.81,3363.880000000001

8,01:45-02:00,0,0,0,32,29.16,0,48.32,11.91,15.17,24.16,24.16,32,0,48.32,0,28.99,0,0,0,63.58,146.88,0,0,48.32,0,98.71,23.07,0,0,0,54.11,33.82,0,0,0,0,0,0,0,53.15,38.65,24.88,1.93,0.68,32.85,192.64,8.78,193.26,26.35,170.07,24.16,5.8,26.35,9.66,87.93,144.94,106.29,26.35,129.74,24.16,0,217.32,0,8.7,135.28,8.78,144.94,48.32,0,10.63,193.26,55.99,144.94,27.06,48.32,11.9,24.16,48.32,33.53,48.32,62.81,3363.880000000001

9,02:00-02:15,0,0,0,32,29.16,193.26,48.32,11.91,14.79,24.16,24.16,32,0,8.23,0,28.99,0,0,0,63.58,146.88,0,0,48.32,0,98.71,23.07,0,0,0,54.11,33.82,0,0,0,0,0,0,0,53.15,38.65,24.88,1.93,0.63,32.85,192.64,8.78,0,26.35,170.07,24.16,0,26.35,9.66,87.93,144.94,106.29,26.35,129.74,24.16,0,217.32,0,0,135.28,8.78,144.94,48.32,0,10.63,193.26,55.99,144.94,27.06,48.32,11.9,24.16,48.32,33.53,48.32,62.81,3308.8600000000015

10,02:15-02:30,0,0,0,32,29.16,193.26,48.32,11.91,14.79,24.16,24.16,32,0,8.35,0,28.99,0,0,0,63.58,146.88,0,0,48.32,0,98.71,23.07,0,0,0,54.11,33.82,0,0,0,0,0,0,0,53.15,38.65,24.88,1.93,0.63,32.85,192.64,8.78,0,26.35,170.07,24.16,0,26.35,9.66,87.93,144.94,106.29,26.35,129.74,24.16,0,217.32,0,0,135.28,8.78,144.94,48.32,0,10.63,193.26,55.99,144.94,27.06,48.32,11.9,24.16,48.32,33.53,48.32,62.81,3308.9800000000014

11,02:30-02:45,0,0,0,32,29.16,193.26,48.32,11.91,14.79,24.16,24.16,32,0,8.26,0,28.99,0,0,0,63.58,146.88,0,0,30.78,0,98.71,23.07,0,0,0,54.11,33.82,0,0,0,0,0,0,0,25.21,38.65,24.88,1.93,0.63,32.85,192.64,8.78,0,26.35,170.07,24.16,0,26.35,9.66,87.93,144.94,106.29,26.35,129.74,24.16,0,217.32,0,0,135.28,8.78,144.94,48.32,0,10.63,193.26,55.99,144.94,27.06,48.32,11.9,24.16,48.32,33.53,48.32,62.81,3263.4100000000008

12,02:45-03:00,0,0,0,32,29.16,193.26,48.32,11.91,14.79,24.16,24.16,32,0,6.67,0,28.99,0,0,0,63.58,146.88,0,0,45.9,0,98.71,23.07,0,0,0,54.11,33.82,0,0,0,0,0,0,0,25.21,38.65,24.88,1.93,0.63,32.85,192.64,8.78,0,26.35,170.07,24.16,0,26.35,9.66,87.93,144.94,106.29,26.35,129.74,24.16,0,217.32,0,0,135.28,8.78,144.94,48.32,0,10.63,193.26,55.99,144.94,27.06,48.32,11.9,24.16,48.32,33.53,48.32,62.81,3276.9400000000014

13,03:00-03:15,0,0,0,32,29.16,193.26,48.32,11.91,14.52,24.16,24.16,32,0,0,0,28.99,0,0,0,63.58,146.88,0,0,0,0,98.71,23.07,0,0,0,0,33.82,0,0,0,0,0,0,0,0,38.65,24.88,1.93,0.53,32.85,192.64,8.78,0,26.35,170.07,24.16,0,26.35,9.66,87.93,144.94,106.29,26.35,129.74,24.16,0,217.32,0,0,135.28,8.78,144.94,48.32,0,10.63,193.26,55.99,144.94,5.8,48.32,11.9,24.16,0,0,48.32,62.81,3041.570000000001

14,03:15-03:30,0,0,0,32,29.16,193.26,48.32,11.91,14.52,24.16,24.16,32,0,0,0,28.99,0,0,0,63.58,146.88,0,0,0,0,98.71,23.07,0,0,0,0,33.82,0,0,0,0,0,0,0,0,38.65,24.88,1.93,0.53,32.85,192.64,8.78,0,26.35,170.07,24.16,0,26.35,9.66,87.93,144.94,106.29,26.35,129.74,24.16,0,217.32,0,0,135.28,8.78,144.94,48.32,0,10.63,193.26,55.99,144.94,5.8,48.32,11.9,24.16,0,0,48.32,62.81,3041.570000000001

15,03:30-03:45,0,0,0,32,29.16,193.26,48.32,11.91,14.52,24.16,24.16,32,0,0,0,28.99,0,0,0,63.58,146.88,0,0,0,0,98.71,23.07,0,0,0,0,33.82,0,0,0,0,0,0,0,0,38.65,24.88,1.93,0.53,32.85,192.64,8.78,0,26.35,170.07,24.16,0,26.35,9.66,87.93,144.94,106.29,26.35,129.74,24.16,0,217.32,0,0,135.28,8.78,144.94,48.32,0,10.63,193.26,55.99,144.94,5.8,48.32,11.9,24.16,0,0,48.32,62.81,3041.570000000001

16,03:45-04:00,0,0,0,32,29.16,193.26,48.32,11.91,14.52,24.16,24.16,32,0,0,0,28.99,0,0,0,63.58,146.88,0,0,0,0,98.71,23.07,0,0,0,0,33.82,0,0,0,0,0,0,0,0,38.65,24.88,1.93,0.53,32.85,192.64,8.78,0,26.35,170.07,24.16,0,26.35,9.66,87.93,144.94,106.29,26.35,129.74,24.16,0,217.32,0,0,135.28,8.78,144.94,48.32,0,10.63,193.26,55.99,144.94,5.8,48.32,11.9,24.16,0,0,48.32,62.81,3041.570000000001

17,04:00-04:15,0,0,0,14.66,29.16,193.26,48.32,11.91,14.15,24.16,24.16,14.66,0,0,0,28.99,0,0,0,63.58,146.88,0,0,0,0,98.71,23.07,0,0,0,0,33.82,0,0,0,0,0,0,0,0,38.65,24.88,1.93,0.53,0,192.64,8.78,0,26.35,0,24.16,0,26.35,9.66,0,144.94,106.29,26.35,0,24.16,0,0,0,0,135.28,8.78,0,48.32,0,10.63,193.26,55.99,0,5.8,48.32,11.9,24.16,0,0,48.32,62.81,2078.73

18,04:15-04:30,0,0,0,14.66,29.16,193.26,48.32,11.91,14.15,24.16,24.16,14.66,0,0,0,28.99,0,0,0,63.58,146.88,0,0,0,0,98.71,23.07,0,0,0,0,33.82,0,0,0,0,0,0,0,0,38.65,24.88,1.93,0.53,0,192.64,8.78,0,26.35,0,24.16,0,26.35,9.66,0,144.94,106.29,26.35,0,24.16,0,0,0,0,135.28,8.78,0,48.32,0,10.63,193.26,55.99,0,5.8,48.32,11.9,24.16,0,0,48.32,62.81,2078.73

19,04:30-04:45,0,0,0,14.66,29.16,193.26,48.32,11.91,14.15,24.16,24.16,14.66,0,0,0,28.99,0,0,0,63.58,146.88,0,0,0,0,98.71,23.07,0,0,0,0,33.82,0,0,0,0,0,0,0,0,38.65,24.88,1.93,0.53,0,192.64,8.78,0,26.35,0,24.16,0,26.35,9.66,0,144.94,106.29,26.35,0,24.16,0,0,0,0,135.28,8.78,0,48.32,0,10.63,193.26,55.99,0,5.8,48.32,11.9,24.16,0,0,48.32,62.81,2078.73

20,04:45-05:00,0,0,0,19.46,29.16,193.26,48.32,11.91,14.15,24.16,24.16,19.46,0,0,0,28.99,0,0,0,63.58,0,0,0,0,0,98.71,23.07,0,0,0,0,33.82,0,0,0,0,0,0,0,0,38.65,24.88,1.93,0.53,0,192.64,8.78,0,26.35,0,24.16,0,26.35,9.66,0,144.94,106.29,26.35,0,24.16,0,0,0,0,135.28,8.78,0,48.32,0,10.63,193.26,55.99,0,5.8,48.32,11.9,24.16,0,0,48.32,62.81,1941.4499999999998

21,05:00-05:15,0,0,0,19.46,29.16,193.26,48.32,11.91,13.78,24.16,24.16,19.46,0,0,0,28.99,0,0,0,63.58,0,0,0,0,0,98.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.88,1.93,0.63,0,192.64,8.78,0,26.35,0,24.16,0,26.35,9.66,0,144.94,106.29,26.35,0,24.16,0,0,0,0,0,8.78,0,48.32,0,10.63,193.26,55.99,0,5.8,48.32,11.9,24.16,0,0,48.32,62.81,1710.36

22,05:15-05:30,0,0,0,19.46,29.16,193.26,48.32,11.91,13.78,24.16,24.16,19.46,0,0,0,28.99,0,0,0,63.58,0,0,0,0,0,98.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.88,1.93,0.63,0,192.64,8.78,0,26.35,0,24.16,0,26.35,9.66,0,144.94,106.29,26.35,0,24.16,0,0,0,0,0,8.78,0,48.32,0,10.63,193.26,55.99,0,5.8,48.32,11.9,24.16,0,0,48.32,62.81,1710.36

23,05:30-05:45,0,0,0,19.46,29.16,193.26,48.32,11.91,13.78,24.16,24.16,19.46,0,0,0,28.99,0,0,0,63.58,0,0,0,0,0,98.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.88,0.97,0.63,0,192.64,8.78,0,26.35,0,24.16,0,26.35,9.66,0,144.94,106.29,26.35,0,24.16,0,0,0,0,0,8.78,0,48.32,0,10.63,193.26,55.99,0,5.8,48.32,11.9,24.16,0,0,48.32,62.81,1709.3999999999999

24,05:45-06:00,0,0,1,19.46,29.16,193.26,48.32,11.91,13.78,24.16,24.16,19.46,0,0,0,28.99,0,0,0,63.58,0,0,0,0,0,98.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.88,1.93,0.63,0,192.64,8.78,0,26.35,0,24.16,0,26.35,9.66,0,144.94,106.29,26.35,0,24.16,0,0,0,0,0,8.78,0,48.32,0,9.66,193.26,55.99,0,5.8,48.32,11.9,24.16,0,0,48.32,62.81,1710.3899999999999

25,06:00-06:15,0,0.3,3,19.46,29.16,193.26,48.32,11.91,13.41,24.16,24.16,19.46,0,0,0,28.99,0,0,0,63.58,0,0,0,0,0,98.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.88,1.93,0.68,0,192.64,8.78,0,26.35,0,24.16,0,26.35,9.66,0,144.94,106.29,26.35,0,24.16,0,0,0,0,0,8.78,0,48.32,0,9.66,193.26,55.99,0,5.8,48.32,11.9,24.16,0,0,48.32,62.81,1712.37

26,06:15-06:30,0,0.83,6,19.46,29.16,193.26,48.32,11.91,13.41,24.16,24.16,19.46,0,0,0,28.99,0,0,0,63.58,0,0,0,0,0,98.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.88,1.93,0.68,0,192.64,8.78,0,26.35,0,24.16,0,26.35,9.66,0,144.94,106.29,26.35,0,24.16,0,0,0,0,0,8.78,0,48.32,0,9.66,193.26,55.99,0,5.8,48.32,11.9,24.16,0,0,48.32,62.81,1715.8999999999999

27,06:30-06:45,0,3.5,11,19.46,29.16,193.26,48.32,11.91,13.41,24.16,24.16,19.46,0,0,0,28.99,0,0,0,63.58,0,0,0,0,0,98.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.88,1.93,0.68,0,192.64,8.78,0,26.35,0,24.16,0,26.35,9.66,0,144.94,106.29,26.35,0,24.16,0,0,0,0,0,8.78,0,48.32,0,9.66,193.26,55.99,0,5.8,48.32,11.9,24.16,0,0,48.32,62.81,1723.5699999999997

28,06:45-07:00,0,7.36,18,19.46,29.16,193.26,48.32,11.91,13.41,24.16,24.16,19.46,0,0,0,28.99,0,0,0,63.58,0,0,0,0,0,98.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.88,0.97,0.68,0,192.64,8.78,0,26.35,0,24.16,0,26.35,9.66,0,144.94,106.29,26.35,0,24.16,0,0,0,0,0,8.78,0,48.32,0,9.66,193.26,55.99,0,5.8,48.32,11.9,24.16,0,0,48.32,62.81,1733.4699999999998

29,07:00-07:15,0,10.67,28,19.46,29.16,193.26,48.32,11.91,13.23,24.16,24.16,19.46,0,0,0,28.99,0,0,0,63.58,0,0,0,0,0,98.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.88,0.97,0.87,0,192.64,8.78,0,26.35,0,24.16,0,26.35,9.66,0,144.94,106.29,26.35,0,24.16,0,0,0,0,0,8.78,0,48.32,0,9.66,193.26,55.99,0,5.8,48.32,11.9,24.16,0,0,48.32,62.81,1746.79

30,07:15-07:30,0,13.96,42,19.46,29.16,193.26,48.32,11.91,13.23,24.16,24.16,19.46,0,0,0,28.99,0,0,0,63.58,0,0,0,0,0,98.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.88,0.97,0.87,0,192.64,8.78,0,26.35,0,24.16,0,26.35,9.66,0,144.94,106.29,26.35,0,24.16,0,0,0,0,0,8.78,0,48.32,0,9.66,193.26,55.99,0,5.8,48.32,11.9,24.16,0,0,48.32,62.81,1764.08

31,07:30-07:45,0,16.35,53,19.46,29.16,193.26,48.32,11.91,13.23,24.16,24.16,19.46,0,0,0,28.99,0,0,0,63.58,0,0,0,0,0,98.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.88,0.97,0.87,0,192.64,8.78,0,26.35,0,24.16,0,26.35,9.66,0,144.94,106.29,26.35,0,24.16,0,0,0,0,0,8.78,0,48.32,0,9.66,193.26,55.99,0,5.8,48.32,11.9,24.16,0,0,48.32,62.81,1777.47

32,07:45-08:00,0,18.73,67,19.46,29.16,193.26,48.32,11.91,13.23,24.16,24.16,19.46,0,0,0,28.99,0,0,0,63.58,0,0,0,0,0,98.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.88,0.97,0.87,0,192.64,8.78,0,26.35,0,24.16,0,26.35,9.66,0,144.94,106.29,26.35,0,24.16,0,0,0,0,0,8.78,0,48.32,0,9.66,193.26,55.99,0,5.8,48.32,11.9,24.16,0,0,48.32,62.81,1793.85

