Column1,Time,NR/01102023/02122045/L_NR_2021_13,NR/01102023/25072045/L_NR_2021_15,NR/26072023/25122043/L_NR_2023_10,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,GNARE/NR/2024/12/20/3668,L_NR_2019_19,WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2022_09,GNARE/SR/2025/01/13/4532,GNA/NR/2025/05/01/3877,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/4138,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/04/01/8456,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/9252,NR/01102023/19072037/LT-05,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/20/6516,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/8068,GNA/NR/2025/04/01/8964,GNA/NR/2025/04/01/8510,GNA/NR/2025/05/16/9317,NR/30092023/26122029/SH-06,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/6160,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31102037/L_NR_2019_11,NR/01102023/22052037/LT-59,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/20/8885,NR/01102023/30042040/GNA_LT_36,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_35,NR/01102023/31052040/LT-31,GNA/NR/2025/05/01/7902,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_02
42,10:15-10:30,46.92,44,81,87,0,46,234.6,91,93.42,121.76,14.33,43.01,14.33,17.33,47.67,33,33,33,47.67,28.81,28.98,11.65,53.13,0,0,46.37,4.25,5.34,0,13.52,66.28,0,0,193.2,24.15,0,10.63,1.19,7.82,96.6,26.75,0,0,14.49,31.29,4.93,4.37,29.1,0,11.77,150.22,15.23,15.23,0,26.75,130.41

43,10:30-10:45,48.33,45,84,91,0,48,241.67,95,97.58,126.73,14.5,43.5,14.5,17.67,48.33,33,33,33,48.33,39.02,28.98,11.65,53.13,0,0,46.37,4.25,5.34,0,13.52,66.28,0,0,193.2,24.15,0,10.63,1.19,7.82,96.6,26.75,0,0,14.49,31.29,4.93,4.2,29.1,0,12.53,150.22,16.23,16.23,0,26.75,130.41

44,10:45-11:00,48.33,46,87,94,0,48,241.67,97,100,129.75,15,45,15,18,49,33,33,33,49,39.02,28.98,11.65,53.13,0,0,46.37,4.25,5.34,0,13.52,66.28,0,0,193.2,24.15,0,10.63,1.19,7.82,96.6,26.75,0,0,14.49,31.29,4.93,4.2,29.1,0,13.65,193.2,17.67,17.67,0,26.75,130.41

45,11:00-11:15,48.33,46,88,97,0,48,241.67,97,100,133.94,15.17,45.49,15.17,18.33,49.67,33,33,33,49.67,41.62,28.98,11.47,53.13,0,0,46.37,1.93,5.25,0,13.52,70.45,0,0,193.2,24.15,0,10.63,1.19,2.42,96.6,26.75,0,0,14.49,31.29,4.93,4.2,29.1,0,13.99,193.2,18.11,18.11,0,26.75,130.41

46,11:15-11:30,48.33,46,90,97,0,48,241.67,97,100,137.25,15.5,46.5,15.5,18.67,50.33,33,33,33,50.33,41.62,28.98,11.47,53.13,0,0,46.37,1.93,5.25,0,13.52,70.45,0,0,193.2,24.15,0,10.63,1.19,2.42,96.6,26.75,0,0,14.49,31.29,4.93,4.2,29.1,0,14.23,193.2,18.41,18.41,0,26.75,130.41

47,11:30-11:45,49.78,46,88,95,0,48,248.92,97,100,139.1,15.83,47.51,15.83,19.67,51,33,33,33,51,41.62,28.98,11.47,53.13,0,0,46.37,1.93,5.25,0,13.52,70.45,0,0,193.2,24.15,0,10.63,1.19,2.42,96.6,26.75,0,0,14.49,31.29,4.93,4.2,29.1,0,14.75,231.84,19.1,19.1,0,26.75,130.41

48,11:45-12:00,49.78,46,88,95,0,48,248.92,97,100,144.08,16.17,48.49,16.17,20,51.67,33,33,33,51.67,41.62,28.98,11.47,53.13,0,0,46.37,1.93,5.25,0,13.52,70.45,0,0,193.2,24.15,0,10.63,1.19,2.42,96.6,26.75,0,0,14.49,31.29,4.93,4.2,29.1,0,14.75,273.14,19.1,19.1,0,26.75,130.41

49,12:00-12:15,49.78,46,88,95,0,48,248.92,97,100,143.4,17.17,51.49,17.17,16,57.67,33,33,33,57.67,41.62,28.98,11.28,53.13,0,0,46.37,1.93,5.25,0,13.52,66.28,0,0,193.2,24.15,0,10.63,1.19,2.42,96.6,26.8,0,0,14.49,31.29,4.93,4.2,29.1,0,14.75,273.14,19.1,19.1,0,26.8,130.41

50,12:15-12:30,49.78,46,88,95,0,48,248.92,97,100,142.78,17.83,53.51,17.83,16.33,58.67,33,33,33,58.67,41.62,28.98,11.28,53.13,0,0,46.37,1.93,5.25,0,13.52,66.28,0,0,193.2,24.15,0,10.63,1.19,2.42,96.6,26.8,0,0,14.49,31.29,4.93,4.2,29.1,0,14.75,273.14,19.1,19.1,0,26.8,130.41

51,12:30-12:45,49.78,46,88,95,0,48,248.92,97,100,139.09,18.33,55.01,18.33,16.67,59.33,33,33,33,59.33,43.02,28.98,11.28,53.13,0,0,46.37,1.93,5.25,0,13.52,66.28,0,0,193.2,24.15,0,10.63,3.99,8.55,96.6,26.8,0,0,14.49,31.29,4.93,4.2,29.1,0,14.75,273.14,19.1,19.1,0,26.8,130.41

52,12:45-13:00,49.78,46,88,95,0,48,248.92,97,100,135.35,19.17,57.49,19.17,17,59.67,33,33,33,59.67,43.02,28.98,11.28,53.13,0,0,46.37,1.93,5.25,0,13.52,66.28,0,0,193.2,24.15,0,10.63,3.99,8.41,96.6,26.8,0,0,14.49,31.29,4.93,4.2,29.1,0,14.75,231.84,19.1,19.1,0,26.8,130.41

53,13:00-13:15,49.78,46,88,95,0,48,248.92,95,100,132.19,19.5,58.5,19.5,18.33,61,33,33,33,61,43.02,28.98,11.09,53.13,0,0,46.37,5.76,5.34,0,13.52,66.28,0,0,193.2,24.15,0,10.63,3.89,8.05,96.6,26.8,0,0,14.49,31.29,5.08,4.2,29.1,0,14.7,193.2,19.01,19.01,0,26.8,130.41

54,13:15-13:30,49.78,46,88,95,0,47,248.92,93,100,129.2,19.83,59.51,19.83,20,61.67,33,33,33,61.67,43.02,28.98,11.09,53.13,0,0,46.37,5.42,5.34,0,13.52,66.28,0,0,193.2,24.15,0,10.63,3.89,8.05,96.6,26.8,0,0,14.49,31.29,5.08,4.2,29.1,0,14.55,193.2,18.83,18.83,0,26.8,130.41

55,13:30-13:45,49.78,45,88,95,0,47,248.92,93,100,128.24,20.17,60.49,20.17,21,63,33,33,33,63,43.02,28.98,11.09,53.13,0,0,46.37,4.25,4.87,0,13.52,66.28,0,0,193.2,24.15,0,10.63,4.14,8.69,96.6,26.8,0,0,14.49,31.29,5.08,4.68,29.1,0,14.36,231.84,18.59,18.59,0,26.8,130.41

56,13:45-14:00,49.78,45,90,95,0,47,248.92,93,100,124.29,21,63,21,22.67,64.33,33,33,33,64.33,43.02,28.98,11.09,53.13,0,0,46.37,4.25,4.87,0,13.52,66.28,0,0,193.2,24.15,0,10.63,4.14,8.69,96.6,26.8,0,0,14.49,31.29,5.08,4.68,29.1,0,14.11,273.14,18.26,18.26,0,26.8,130.41

57,14:00-14:15,49.78,44,82,91,0,46,248.92,92,100,120.79,23,69,23,23.67,67,33,33,33,67,36.01,28.98,10.91,53.13,0,0,64.35,5.82,4.97,0,13.52,66.28,0,0,193.2,24.15,0,10.63,4.14,8.69,96.6,26.8,0,0,14.49,30.79,5.24,4.68,29.1,0,13.52,273.14,17.51,17.51,0,26.8,190.52

58,14:15-14:30,49.78,44,81,91,0,45,248.92,90,100,117.41,23.33,70.01,23.33,24,68,33,33,33,68,36.01,28.98,10.91,53.13,0,0,64.35,5.82,4.97,0,13.52,66.28,0,0,193.2,24.15,0,10.63,4.14,8.69,96.6,26.8,0,0,14.49,30.79,5.24,4.68,29.1,0,12.97,273.14,16.79,16.79,0,26.8,190.52

59,14:30-14:45,49.78,42,72,87,0,40,248.92,80,91.3,112.86,24,72,24,24.33,68.67,33,33,33,68.67,36.01,28.98,10.91,53.13,0,0,76.59,5.82,4.97,0,13.52,66.28,0,0,193.2,24.15,0,10.63,4.14,8.69,96.6,26.8,0,0,14.49,31.29,5.24,4.98,29.1,0,12.68,273.14,16.42,16.42,0,26.8,226.93

60,14:45-15:00,47.7,41,69,85,0,38,238.49,77,88.01,107.99,24.33,73.01,24.33,24.67,70.67,33,33,33,70.67,36.01,28.98,10.91,53.13,0,0,76.59,5.82,4.97,0,13.52,94.69,0,0,193.2,24.15,0,10.63,4.14,8.69,96.6,26.8,0,0,14.49,31.29,5.24,4.98,29.1,0,12.27,273.14,15.88,15.88,0,26.8,226.93

61,15:00-15:15,45.58,39,66,83,0,37,227.87,73,83.77,107.4,24.67,73.99,24.67,25,74.67,33,33,33,74.67,36.01,28.98,11.09,53.13,0,0,76.59,10.2,5.15,0,13.52,115.51,0,0,193.2,24.15,0,10.63,7.24,15.36,96.6,26.8,0,0,14.49,30.78,5.39,4.98,29.1,0,11.77,273.14,15.22,15.22,0,26.8,226.93

62,15:15-15:30,43.11,38,61,80,0,34,215.55,68,79.86,97.6,24.83,74.51,24.83,25,75.67,33,33,33,75.67,36.01,28.98,11.09,53.13,0,0,76.59,10.2,5.15,0,13.52,115.51,0,0,193.2,24.15,0,10.63,7.25,15.36,96.6,26.8,0,0,14.49,30.78,5.39,4.98,29.1,0,11.11,273.14,14.37,14.37,0,26.8,226.93

