Column1,Block,GNA/NR/2025/04/23/5165,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/23/7818,GNA/NR/2025/04/23/3759,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/23/9598,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/16/2341,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/16/2139,NR/2025/26106/C,NR/2025/25948/A/66423,NR/2025/25955/A/66422,NR/2025/26031/A/66132,WR/2025/27361/A/66433,GNA/NR/2025/04/01/1333,NR/30092023/26122029/SH-06,GNA/NR/2025/04/23/3332,NR/2025/25945/A/66425,GNA/NR/2025/04/23/4454,NR/2025/25947/A/66424,GNA/NR/2025/04/01/5285,NR/01082024/19092033/Chanju/TPDDL/01082024,WR/2025/27350/A/66119,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/7459,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/23/9647,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/23/1623,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/16/6639,GNA/NR/2025/04/01/6490,GNA/NR/2025/04/23/9481,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/16/4327,GNA/NR/2025/04/23/7720,NR/2025/25752/A/66027,GNARE/NR/2024/12/20/3668,Total
29,07:00-07:15,0,48.08,0.96,0,28.84,11.54,14.57,19.23,43.7,96.15,7.02,14.57,28.97,3.85,24.04,2.88,32,48.08,43.7,0,43.7,2.88,9.57,96.15,0,9.62,0,46.15,2.88,0,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,10.45,948.5

30,07:15-07:30,0,48.08,0,0,28.84,11.54,14.57,19.23,43.7,96.15,4.23,14.57,28.97,3.85,24.04,2.88,32,22.11,43.7,0,43.7,2.88,9.57,96.15,0,9.62,0,50.96,2.88,0,1.92,72.11,9.62,61.54,32,9.62,72.11,22.11,0,16.86,952.11

31,07:30-07:45,0,48.08,0.96,8.65,28.84,11.54,14.57,19.23,43.7,96.15,4.23,14.57,28.97,3.85,24.04,2.88,32,19.23,43.7,13.46,43.7,2.88,9.57,96.15,0,9.62,0,50.96,2.88,0,1.92,72.11,9.62,41.34,32,9.62,72.11,22.11,0,24.23,959.4700000000001

32,07:45-08:00,0,48.08,0,14.42,28.84,11.54,14.57,19.23,43.7,96.15,0,14.57,28.97,3.85,24.04,2.88,32,0,43.7,13.46,43.7,2.88,9.57,96.15,0,9.62,0,50.96,2.88,0,1.92,72.11,9.62,38.46,32,9.62,72.11,22.11,0,32.87,946.58

33,08:00-08:15,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,0,14.57,28.97,3.85,24.04,2.88,32,0,43.7,0,43.7,2.88,9.48,0,0,9.62,0,0,2.88,0,1.92,72.11,9.62,0,32,9.62,72.11,0,3.85,41.5,711.8700000000001

34,08:15-08:30,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,0,14.57,28.97,3.85,24.04,2.88,32,0,43.7,0,43.7,2.88,9.48,0,0,9.62,0,0,2.88,0,1.92,72.11,9.62,0,32,9.62,72.11,0,3.85,49.61,719.9800000000001

35,08:30-08:45,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,0,14.57,28.97,3.85,24.04,2.88,32,0,43.7,0,43.7,2.88,9.48,0,0,9.62,0,0,2.88,0,1.92,72.11,9.62,0,32,9.62,72.11,0,3.85,57.58,727.9500000000002

36,08:45-09:00,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,0,14.57,28.97,3.85,24.04,2.88,32,0,43.7,0,43.7,2.88,9.48,0,0,9.62,0,0,2.88,0,1.92,72.11,9.62,0,32,9.62,72.11,0,3.85,65.28,735.6500000000001

37,09:00-09:15,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,0,14.57,28.97,4.81,24.04,2.88,32,0,43.7,0,43.7,2.88,9.38,0,0,9.62,0,0,2.88,0,1.92,72.11,9.62,0,32,9.62,72.11,0,6.73,72.47,746.58

38,09:15-09:30,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,0,14.57,28.97,4.81,24.04,2.88,32,0,43.7,0,43.7,2.88,9.38,0,0,9.62,0,0,2.88,0,1.92,72.11,9.62,0,32,9.62,72.11,0,6.73,78.91,753.02

39,09:30-09:45,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,0,14.57,28.97,4.81,24.04,2.88,32,0,43.7,0,43.7,2.88,9.38,0,0,9.62,0,0,2.88,0,1.92,72.11,9.62,0,32,9.62,72.11,0,6.73,84.88,758.99

40,09:45-10:00,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,0,14.57,28.97,4.81,24.04,2.88,32,0,43.7,0,43.7,2.88,9.38,0,0,9.62,0,0,2.88,0,1.92,72.11,9.62,0,32,9.62,72.11,0,6.73,90.92,765.03

41,10:00-10:15,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,0,14.57,28.97,4.81,24.04,2.88,32,0,43.7,0,43.7,2.88,9.3,0,0,9.62,0,0,2.88,0,1.92,72.11,9.62,0,32,9.62,72.11,0,8.65,96.26,772.21

42,10:15-10:30,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,0,14.57,28.97,4.81,24.04,2.88,32,0,43.7,0,43.7,2.88,9.3,0,0,9.62,0,0,2.88,0,1.92,72.11,9.62,0,32,9.62,72.11,0,8.65,98.33,774.2800000000001

43,10:30-10:45,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,0,14.57,28.97,4.81,24.04,2.88,32,0,43.7,0,43.7,2.88,9.3,0,0,9.62,0,0,2.88,0,1.92,72.11,9.62,0,32,9.62,72.11,0,8.65,100,775.95

44,10:45-11:00,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,0,14.57,28.97,4.81,24.04,2.88,32,0,43.7,0,43.7,2.88,9.3,0,0,9.62,0,0,2.88,0,1.92,72.11,9.62,0,32,9.62,72.11,0,8.65,100,775.95

45,11:00-11:15,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,0,14.57,28.97,4.81,24.04,2.88,32,0,43.7,0,43.7,2.88,9.11,0,0,9.62,0,0,2.88,0,1.92,72.11,9.62,0,32,9.62,72.11,0,8.65,100,775.76

46,11:15-11:30,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,0,14.57,28.97,4.81,24.04,2.88,32,0,43.7,0,43.7,2.88,9.11,0,0,9.62,0,0,2.88,0,1.92,72.11,9.62,0,32,9.62,72.11,0,8.65,100,775.76

47,11:30-11:45,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,0,14.57,28.97,4.81,24.04,2.88,32,0,43.7,0,43.7,2.88,9.11,0,0,9.62,0,0,2.88,0,1.92,72.11,9.62,0,32,9.62,72.11,0,8.65,100,775.76

48,11:45-12:00,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,0,14.57,28.97,4.81,24.04,2.88,32,0,43.7,0,43.7,2.88,9.11,0,0,9.62,0,0,2.88,0,1.92,72.11,9.62,0,32,9.62,72.11,0,8.65,100,775.76

49,12:00-12:15,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,0,14.57,28.97,4.81,24.04,2.88,32,0,43.7,0,43.7,2.88,9.02,0,0,9.62,0,0,2.88,0,1.92,72.11,9.62,0,32,9.62,72.11,0,8.65,100,775.67

50,12:15-12:30,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,0,14.57,28.97,4.81,24.04,2.88,32,0,43.7,0,43.7,2.88,9.02,0,0,9.62,0,0,2.88,0,1.92,72.11,9.62,0,32,9.62,72.11,0,8.65,100,775.67

51,12:30-12:45,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,0,14.57,28.97,4.81,24.04,2.88,32,0,43.7,0,43.7,2.88,9.02,0,0,9.62,0,0,2.88,0,1.92,72.11,9.62,0,32,9.62,72.11,0,8.65,100,775.67

52,12:45-13:00,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,0,14.57,28.97,4.81,24.04,2.88,32,0,43.7,0,43.7,2.88,9.02,0,0,9.62,0,0,2.88,0,1.92,72.11,9.62,0,32,9.62,72.11,0,8.65,100,775.67

53,13:00-13:15,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,0,14.57,28.97,4.81,24.04,2.88,32,0,43.7,0,43.7,2.88,8.84,0,0,9.62,0,0,2.88,0,1.92,72.11,9.62,0,32,9.62,72.11,0,8.65,100,775.49

54,13:15-13:30,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,0,14.57,28.97,4.81,24.04,2.88,32,0,43.7,0,43.7,2.88,8.84,0,0,9.62,0,0,2.88,0,1.92,72.11,9.62,0,32,9.62,72.11,0,8.65,100,775.49

55,13:30-13:45,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,0,14.57,28.97,4.81,24.04,2.88,32,0,43.7,0,43.7,2.88,8.84,0,0,9.62,0,0,2.88,0,1.92,72.11,9.62,0,32,9.62,72.11,0,8.65,100,775.49

56,13:45-14:00,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,0,14.57,28.97,4.81,24.04,2.88,32,0,43.7,0,43.7,2.88,8.84,0,0,9.62,0,0,2.88,0,1.92,72.11,9.62,0,32,9.62,72.11,0,8.65,100,775.49

57,14:00-14:15,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,0,14.57,28.97,5.77,24.04,2.88,32,0,43.7,0,43.7,2.88,8.74,0,0,9.62,0,0,2.88,0,1.92,72.11,9.62,0,32,9.62,72.11,0,7.69,100,775.3900000000001

58,14:15-14:30,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,0,14.57,28.97,5.77,24.04,2.88,32,0,43.7,0,43.7,2.88,8.74,0,0,9.62,0,0,2.88,0,1.92,72.11,9.62,0,32,9.62,72.11,0,7.69,100,775.3900000000001

59,14:30-14:45,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,0,14.57,28.97,5.77,24.04,2.88,32,0,43.7,0,43.7,2.88,8.74,0,0,9.62,0,0,2.88,0,1.92,72.11,9.62,0,32,9.62,72.11,0,7.69,100,775.3900000000001

60,14:45-15:00,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,0,14.57,28.97,5.77,24.04,2.88,32,0,43.7,0,43.7,2.88,8.74,0,0,9.62,0,0,2.88,0,1.92,72.11,9.62,0,32,9.62,72.11,0,7.69,100,775.3900000000001

61,15:00-15:15,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,0,14.57,28.97,5.77,24.04,2.88,32,0,43.7,0,43.7,2.88,8.74,0,0,9.62,0,0,2.88,0,1.92,72.11,9.62,0,32,9.62,72.11,0,6.73,100,774.4300000000001

62,15:15-15:30,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,0,14.57,28.97,5.77,24.04,2.88,32,0,43.7,0,43.7,2.88,8.74,0,0,9.62,0,0,2.88,0,1.92,72.11,9.62,0,32,9.62,72.11,0,6.73,97.75,772.1800000000001

63,15:30-15:45,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,0,14.57,28.97,5.77,24.04,2.88,32,0,43.7,0,43.7,2.88,8.74,0,0,9.62,0,0,2.88,0,1.92,72.11,9.62,0,32,9.62,72.11,0,6.73,92.43,766.8600000000001

64,15:45-16:00,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,0,14.57,28.97,5.77,24.04,2.88,32,0,43.7,0,43.7,2.88,8.74,0,0,9.62,0,0,2.88,0,1.92,72.11,9.62,0,32,9.62,72.11,0,6.73,87.19,761.6200000000001

65,16:00-16:15,0,48.08,0,5.77,28.84,2.88,14.57,19.23,43.7,96.15,0,14.57,28.97,6.73,24.04,2.88,32,0,33.11,16.35,33.11,2.88,9.02,0,0,9.62,50,85.57,2.88,0,1.92,72.11,9.62,20.19,32,9.62,72.11,37.5,3.85,80.44,950.31

66,16:15-16:30,0,48.08,0,0,28.84,11.54,14.57,19.23,43.7,96.15,0,14.57,28.97,6.73,24.04,2.88,32,0,33.11,0,33.11,2.88,9.02,0,0,9.62,50,114.42,2.88,0,1.92,72.11,9.62,41.34,32,9.62,72.11,0.96,3.85,74.7,944.5700000000002

67,16:30-16:45,0,48.08,0,0,28.84,11.54,14.57,19.23,43.7,96.15,0,14.57,28.97,6.73,24.04,2.88,32,0,33.11,0,33.11,2.88,9.02,0,0,9.62,50,114.42,2.88,0,1.92,72.11,9.62,41.34,32,9.62,72.11,0.96,3.85,67.99,937.8600000000001

68,16:45-17:00,0,48.08,0,0,28.84,11.54,14.57,19.23,43.7,96.15,0,14.57,28.97,6.73,24.04,2.88,32,20.19,33.11,0,33.11,2.88,9.02,0,0,9.62,50,75,2.88,0,1.92,72.11,9.62,61.54,32,9.62,72.11,0,3.85,60.21,930.09

69,17:00-17:15,0,48.08,0,0,28.84,11.54,14.57,19.23,43.7,96.15,8.85,14.57,28.97,6.73,24.04,2.88,32,20.19,33.11,0,33.11,2.88,9.38,0,0,9.62,50,75,2.88,0,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,52.04,927.28

70,17:15-17:30,0,48.08,0,0,28.84,11.54,14.57,19.23,43.7,96.15,14.42,14.57,28.97,6.73,24.04,2.88,32,20.19,33.11,0,33.11,2.88,9.38,0,0,9.62,50,75,2.88,0,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,43.29,924.1

71,17:30-17:45,0,48.08,0,0,28.84,23.08,14.57,19.23,43.7,96.15,14.42,14.57,28.97,6.73,24.04,2.88,32,45.19,33.11,0,33.11,2.88,9.38,0,0,9.62,50,38.46,2.88,0,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,34.34,915.1500000000001

72,17:45-18:00,0,48.08,0,0,28.84,23.08,14.57,19.23,43.7,96.15,14.42,14.57,28.97,6.73,24.04,2.88,32,64.42,33.11,0,33.11,2.88,9.38,0,0,9.62,50,19.23,2.88,0,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,26.17,906.98

73,18:00-18:15,64.42,48.08,0,0,28.84,23.08,14.57,19.23,43.7,96.15,19.23,14.57,28.97,6.73,24.04,2.88,32,0,33.11,0,33.11,2.88,9.75,0,0,9.62,50,19.23,2.88,0,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,18.74,904.73

74,18:15-18:30,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,24.04,14.57,28.97,6.73,24.04,2.88,32,0,33.11,0,33.11,2.88,9.75,0,0,9.62,50,106.73,2.88,0,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,12.17,902.9699999999999

