Column1,Time,GNA/NR/2024/09/23/7704,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/23/4543,NR/01102023/15082037/GNA_NR_2012_01,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,L_NR_2019_19,WR/01102023/24112044/L_NR_2020_07,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/L_NR_2019_05,NR/01102023/25072045/L_NR_2021_15,WR/01102023/31032046/L_NR_2020_05,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_06),GNARE/SR/2024/09/23/7579,NR/22102023/11042047/L_NR_2021_16,NR/01102023/31102037/L_NR_2019_11,NR/01102023/22052037/LT-59,NR/01102023/05012040/L_NR_2020_02,NR/01082024/30092024/LT_MEJA_DELHI,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2024/09/01/7908,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,NR/01102023/13082046/L_NR_2021_12,SR/01102023/07102043/L_NR_2018_61,NR/01102023/08032047/L_NR_2021_14,WR/01102023/16072048/L_NR_2022_08,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/16/2535,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/06022042/L_NR_2012_07,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_36,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_35
7,01:30-01:45,0,8.8,96.77,0,92.48,0,0,0,16.83,0,0,0,50.5,0,0,43.67,0,0,0,0,0,0,7.96,220.64,21.77,16.84,43.67,0,39.42,0,12,273.62,32.9,24.19,17.5,2.42,145.16,31.29,10.63,77.42,109.98,0,31.5,31.5,0,0

8,01:45-02:00,0,8.8,96.77,0,92.48,0,0,0,17.5,0,0,0,52.5,0,0,44.67,0,0,0,0,0,0,7.96,220.64,21.77,17.5,44.67,0,38.22,0,12.66,273.62,32.9,24.19,17.5,2.42,145.16,31.29,10.63,77.42,109.98,0,31.5,31.5,0,0

9,02:00-02:15,0,8.8,96.77,0,92.48,0,0,0,19,0,0,0,57,0,0,51.67,0,0,0,0,0,0,7.96,220.64,21.77,19,51.67,0,37.22,0,13,273.62,32.9,24.19,17.5,2.42,145.16,31.29,10.63,77.42,85.32,0,31.5,31.5,0,0

10,02:15-02:30,0,8.8,96.77,0,92.48,0,0,0,19.5,0,0,0,58.5,0,0,52.33,0,0,0,0,0,0,7.96,220.64,21.77,19.5,52.33,0,36.62,0,13.34,273.62,32.9,24.19,17.5,2.42,145.16,31.29,10.63,77.42,115.66,0,31.5,31.5,0,0

11,02:30-02:45,0,8.8,96.77,0,92.48,0,0,0,17,0,0,0,51,0,0,52.33,0,0,0,0,0,0,7.96,220.64,21.77,17,52.33,0,36.21,0,14,273.62,32.9,24.19,17.5,2.42,145.16,31.29,10.63,77.42,66.36,0,0,31.5,0,0

12,02:45-03:00,0,8.8,96.77,0,92.48,0,0,0,17.33,0,0,0,52,0,0,52.33,0,0,0,0,0,0,7.96,220.64,21.77,17.34,52.33,0,35.21,0,14.34,273.62,32.9,24.19,17.5,2.42,145.16,31.29,10.63,77.42,66.36,0,0,31.5,0,0

13,03:00-03:15,0,8.8,96.77,0,92.48,0,0,0,17.67,0,0,0,53,0,0,52.33,0,0,0,0,0,0,7.96,220.64,21.77,17.66,52.33,0,34.81,0,15,273.62,0,24.19,17.5,2.42,145.16,31.29,10.53,77.42,66.36,0,0,0,0,0

14,03:15-03:30,0,8.8,96.77,0,92.48,0,0,0,18,0,0,0,54,0,0,53.67,0,0,0,0,0,0,7.96,220.64,21.77,18,53.67,0,34.81,0,14.66,273.62,0,24.19,17.5,2.42,145.16,31.29,10.53,77.42,66.36,0,0,0,0,0

15,03:30-03:45,0,8.8,96.77,0,92.48,0,0,0,12.83,0,0,0,38.5,0,0,53.67,0,0,0,0,0,0,7.96,220.64,21.77,12.84,53.67,0,37.22,0,9.66,273.62,0,24.19,17.5,2.42,145.16,31.29,10.53,77.42,66.36,0,0,0,0,0

16,03:45-04:00,0,8.8,96.77,0,92.48,0,0,0,13,0,0,0,39,0,0,40.33,0,0,0,0,0,0,7.96,220.64,21.77,13,40.33,0,36.42,0,9.66,273.62,0,24.19,17.5,2.42,145.16,31.29,10.53,77.42,66.36,0,0,0,0,0

17,04:00-04:15,0,8.8,96.77,0,92.48,0,0,0,13.33,0,0,0,40,0,0,40.33,0,0,0,0,0,0,7.96,220.64,21.77,13.34,40.33,0,32.61,0,9,273.62,0,24.19,17.5,2.42,145.16,31.29,10.53,77.42,66.36,0,0,2.78,0,0

18,04:15-04:30,0,8.8,96.77,0,92.48,0,0,0,13.5,0,0,0,40.5,0,0,40.33,0,0,0,0,0,0,7.96,220.64,21.77,13.5,40.33,0,32.41,0,8.66,273.62,0,24.19,17.5,2.42,145.16,31.29,10.53,77.42,66.36,0,0,2.78,0,0

19,04:30-04:45,0,8.8,96.77,0,92.48,0,0,0,13.5,0,0,0,40.5,0,0,40.33,0,0,0,0,0,0,7.96,220.64,21.77,13.5,40.33,0,32.41,0,8.66,273.62,0,24.19,17.5,2.42,145.16,31.29,10.53,77.42,66.36,0,2.78,2.78,0,0

20,04:45-05:00,0,8.8,96.77,0,92.48,0,0,0,13,0,0,0,39,0,0,40.33,0,0,0,0,0,0,7.96,220.64,21.77,13,40.33,0,32.41,0,8.66,273.62,0,24.19,17.5,2.42,145.16,31.29,10.53,77.42,66.36,0,2.78,2.78,0,0

21,05:00-05:15,0,8.8,96.77,0,92.48,0,0,0,12.33,0,0,0,37,0,0,39.67,0,0,0,0,0,0,7.96,220.64,21.77,12.34,39.67,0,32.41,0,8.66,273.62,0,24.19,17.5,2.42,145.16,31.29,10.53,77.42,66.36,0,2.78,2.78,0,0

22,05:15-05:30,0,8.8,96.77,0,92.48,0,0,0,11.5,0,0,0,34.5,0,0,38.33,0,0,0,0,0,0,7.96,220.64,21.77,11.5,38.33,0,31.61,0,9,273.62,0,24.19,17.5,2.42,145.16,31.29,10.53,77.42,66.36,0,2.78,2.78,0,0

23,05:30-05:45,0,8.8,96.77,0,92.48,0,0,0,11.17,0,0,0,33.5,0,0,38,0,0,0,0,0,0,7.96,220.64,21.77,11.16,38,0,31.21,0,9,273.62,0,24.19,17.5,2.42,145.16,30.28,10.53,77.42,66.36,0,2.78,2.78,0,0

24,05:45-06:00,0,8.8,96.77,0,92.48,0,0,0,11,0,0,0,33,0,0,37.33,0,0,0,0,0,0,7.96,220.64,21.77,11,37.33,0,31.01,0,8.66,273.62,0,24.19,17.5,2.42,145.16,30.28,10.53,77.42,66.36,0,2.78,2.78,0,0

25,06:00-06:15,0,8.8,96.77,0,92.48,0,1,0.33,10.67,1,14.86,0,32,0,1,31.67,17.18,0,1,0,0,0,7.96,220.64,21.77,10.66,31.67,0,30.41,0,8.34,273.62,0,24.19,17.5,2.42,0,30.28,10.44,77.42,66.36,0,0,31.5,0,0

26,06:15-06:30,0,8.8,96.77,0,92.48,1,4,3.84,10.33,1,26.13,0,31,0,5,31.67,30.21,0,2,0,0,0,7.96,220.64,21.77,10.34,31.67,0,30.01,1,8,273.62,0,24.19,17.5,2.42,0,30.28,10.44,77.42,66.36,0,0,31.5,0,0

27,06:30-06:45,0,8.8,96.77,0,92.48,3,7,10.47,10.33,3,33,2,31,0.18,10,32.67,33,0,5,0,0,0,7.96,220.64,21.77,10.34,32.67,0.91,30.01,3,7.66,273.62,0,24.19,17.5,2.42,0,30.28,10.44,77.42,66.36,0.43,0,31.5,0.42,0.42

28,06:45-07:00,0,8.8,96.77,0,92.48,4,14,17.12,9.83,6,33,3,29.5,0.92,18,33,33,0,8,0,0,0,7.96,220.64,21.77,9.84,33,4.6,30.01,7,7.34,273.62,0,24.19,17.5,2.42,0,31.29,10.44,77.42,66.36,0.77,0,31.5,0.75,0.75

29,07:00-07:15,0,8.8,96.77,0,92.48,5,21,24.28,9.33,9,31.25,5,28,2.26,30,34,31.25,0,10,0,0,0,7.96,220.64,21.77,9.34,34,11.28,30.01,10,7.34,273.62,0,24.19,17.5,2.42,0,31.29,10.44,77.42,66.36,1.31,0,31.5,1.28,1.28

30,07:15-07:30,0,8.8,96.77,0,92.48,7,32,33.11,8.83,13,32.33,8,26.5,4.13,32.34,34.67,32.33,0,15,0,0,0,7.96,220.64,21.77,8.84,34.67,20.63,30.01,13,7.34,273.62,0,24.19,17.5,2.42,0,31.29,10.44,77.42,66.36,2.05,0,31.5,2,2

31,07:30-07:45,0,8.8,96.77,0,92.48,9,42,42.49,8.33,18,32.67,11,25,7.08,32.66,34.33,32.67,0,18,0,0,0,7.96,220.64,21.77,8.34,34.33,35.4,30.01,17,7.34,273.62,0,24.19,17.5,2.42,0,31.29,10.44,87.29,66.36,2.95,0,31.5,2.88,2.88

32,07:45-08:00,0,0,96.77,0,92.48,12,53,52.74,8,22,33,14,24,10.48,33,34,33,0,25,0,0,0,7.96,220.64,21.77,8,34,52.43,30.01,20,7.34,273.62,0,24.19,17.5,2.42,0,31.29,10.44,87.29,66.36,3.65,0,31.5,3.56,3.56

33,08:00-08:15,0,0,96.77,0,92.48,15,67,62.39,8,28,33,18,24,14.11,33,33.33,33,0,32,0,0,0,7.96,191.07,21.77,8,33.33,70.56,30.01,24,7.34,273.62,0,24.19,17.5,2.42,0,31.29,10.34,76.73,70.54,4.66,0,32,4.55,4.55

34,08:15-08:30,0,0,96.77,0,92.48,19,81,70.86,8.17,34,33,21,24.5,18.23,33,33,33,0,39,0,0,0,7.96,147.08,21.77,8.16,33,91.15,30.01,31,7.34,273.62,0,24.19,17.5,2.42,0,31.29,10.34,76.73,70.54,5.76,0,32,5.62,5.62

35,08:30-08:45,0,0,96.77,0,92.48,22,95,78.37,8,40,33,25,24,22.12,33,34.33,33,0,46,0,0,0,7.96,191.07,21.77,8,34.33,110.62,30.01,37,7.34,273.62,0,24.19,17.5,2.42,0,31.29,10.34,76.73,70.54,6.81,2.78,2.78,6.64,6.64

36,08:45-09:00,0,0,96.77,0,92.48,25,109,85.33,8,46,33,28,24,26.08,33,34.33,33,0,53,0,0,0,7.96,191.07,21.77,8,34.33,130.41,30.01,43,7.34,273.62,0,24.19,17.5,2.42,0,31.29,10.34,76.73,70.54,7.88,2.78,2.78,7.68,7.68

37,09:00-09:15,0,0,96.77,0,92.48,28,123,92.02,8.33,52,33,31,25,29.4,33,34.33,33,0,60,0,0,0,7.96,147.08,21.77,8.34,34.33,147.02,36.01,53,7.34,273.62,0,24.19,24.78,2.42,0,31.29,10.34,76.73,70.54,8.81,2.78,2.78,8.6,8.6

38,09:15-09:30,0,0,96.77,0,92.48,32,137,98.1,8.33,58,33,34,25,32.55,33,34.33,33,0,66,0,0,0,7.96,191.07,21.77,8.34,34.33,162.73,36.01,58,7.34,273.62,0,24.19,24.78,2.42,0,31.3,10.34,76.73,70.54,9.74,2.78,2.78,9.5,9.5

39,09:30-09:45,0,0,96.77,0,92.48,35,147,103.37,8.33,63,33,37,25,35.64,33,35.67,33,0,72,0,0,0,7.96,191.07,21.77,8.34,35.67,178.22,36.01,66,7.34,273.62,0,24.19,24.78,2.42,0,31.3,10.34,76.73,70.54,10.68,2.78,2.78,10.42,10.42

40,09:45-10:00,0,0,96.77,0,92.48,37,158,107.92,8.33,67,33,39,25,38.53,33,36.67,33,0,77,0,0,0,7.96,191.07,21.77,8.34,36.67,192.64,36.01,73,7.34,273.62,0,24.19,24.78,2.42,0,31.3,10.34,76.73,70.54,11.86,2.78,2.78,11.57,11.57

41,10:00-10:15,0,0,96.77,0,100.81,39,165,112.65,8.33,70,33,41,25,43.12,33,28.33,33,0,83,0,0,0,7.96,191.07,21.77,8.34,28.33,215.6,36.01,78,7.34,273.62,0,24.19,24.78,2.42,0,31.3,10.34,76.73,70.54,12.51,2.78,2.78,12.2,12.2

42,10:15-10:30,0,0,96.77,0,100.81,41,172,117.76,8.33,73,33,42,25,45.55,33,28.33,33,0,87,0,0,0,7.96,191.07,21.77,8.34,28.33,227.77,36.01,82,7.34,273.62,0,24.19,24.78,2.42,0,31.3,10.34,76.73,70.54,13.68,2.78,2.78,13.34,13.34

43,10:30-10:45,0,0,96.77,0,100.81,43,179,122.56,8.33,76,33,44,25,46,33,29,33,0,90,0,0,0,7.96,191.07,21.77,8.34,29,230,36.01,87,7.34,273.62,0,24.19,24.78,2.42,0,31.29,10.34,76.73,70.54,14.19,2.78,2.78,13.85,13.85

44,10:45-11:00,0,0,96.77,0,100.81,44,186,126.55,8.33,79,33,45,25,46,33,29.67,33,0,93,0,0,0,7.96,191.07,21.77,8.34,29.67,230,36.01,89,7.34,273.62,0,24.19,24.78,2.42,0,31.29,10.34,76.73,70.54,15.17,2.78,2.78,14.79,14.79

45,11:00-11:15,0,0,96.77,0,100.81,45,189,130.25,8.33,81,33,46,25,46,33,30.67,33,0,95,0,0,0,7.96,191.07,21.77,8.34,30.67,230,36.01,90,7.34,273.62,0,24.19,24.78,2.42,0,31.29,10.26,76.73,70.54,15.44,2.78,2.78,15.07,15.07

46,11:15-11:30,0,0,96.77,0,100.81,45,193,133.53,8.33,82,33,47,25,46,33,32,33,0,95,0,0,0,7.96,191.07,21.77,8.34,32,230,36.01,91,7.34,273.62,0,24.19,24.78,2.42,0,30.28,10.26,76.73,70.54,16.05,2.78,2.78,15.66,15.66

47,11:30-11:45,0,0,96.77,0,100.81,45,193,136.55,8.33,82,33,46,25,46,33,33,33,0,95,0,0,0,7.96,220.64,21.77,8.34,33,230,36.01,91,7.34,273.62,0,24.19,24.78,2.42,0,30.28,10.26,76.73,70.54,16.05,2.78,2.78,15.66,15.66

48,11:45-12:00,0,0,96.77,0,100.81,45,193,138.94,8.33,82,33,46,25,46,33,33.67,33,0,95,0,0,0,7.96,220.64,21.77,8.34,33.67,230,36.01,91,7.34,273.62,0,24.19,24.78,2.42,0,30.28,10.26,76.73,70.54,16.05,2.78,2.78,15.66,15.66

49,12:00-12:15,0,0,96.77,0,100.81,45,193,138.59,8.33,82,33,46,25,46,33,26.67,33,0,95,0,0,0,7.96,220.64,21.77,8.34,26.67,230,36.01,91,7.34,273.62,0,24.19,24.78,2.42,0,30.28,10.26,76.73,66.36,16.05,2.78,2.78,15.66,15.66

50,12:15-12:30,0,0,96.77,0,100.81,45,193,138.96,8.33,82,33,46,25,46,33,26.67,33,0,95,0,0,0,7.96,220.64,21.77,8.34,26.67,230,36.42,91,7.34,273.62,0,24.19,24.78,2.42,0,30.28,10.26,76.73,66.36,16.05,2.78,2.78,15.66,15.66

51,12:30-12:45,0,0,96.77,0,100.81,45,193,138.76,8.67,82,33,46,26,46,33,26.67,33,0,95,0,0,0,7.96,220.64,21.77,8.66,26.67,230,36.21,91,10,273.62,0,24.19,24.78,2.42,0,30.28,10.26,76.73,70.54,16.05,2.78,2.78,15.66,15.66

52,12:45-13:00,0,0,96.77,0,100.81,45,193,138.12,8.83,82,33,46,26.5,46,33,26.67,33,0,95,0,0,0,7.96,220.64,21.77,8.84,26.67,230,36.42,91,10,273.62,0,24.19,24.78,2.42,0,30.28,10.26,76.73,70.54,16.05,2.78,2.78,15.66,15.66

53,13:00-13:15,0,0,96.77,0,81.29,45,193,136.27,9.17,82,33,46,27.5,46,33,27,33,0,95,0,0,0,7.96,220.64,21.77,9.16,27,230,37.02,91,10.34,273.62,0,24.19,24.78,2.42,0,30.28,10.26,76.73,70.54,16.05,2.78,2.78,15.66,15.66

54,13:15-13:30,0,0,96.77,0,81.29,45,193,132.71,9.5,82,33,45,28.5,46,33,27,33,0,95,0,0,0,7.96,220.64,21.77,9.5,27,230,39.02,91,10.34,273.62,0,24.19,24.78,2.42,0,30.28,10.26,76.73,70.54,16.05,2.78,2.78,15.66,15.66

55,13:30-13:45,0,0,96.77,0,81.29,45,193,128.23,9.5,82,33,43,28.5,46,33,28,33,0,93,0,0,0,7.96,220.64,21.77,9.5,28,230,38.82,86,10.66,273.62,0,24.19,24.78,2.42,0,30.28,10.26,76.73,66.36,16.05,2.78,2.78,15.66,15.66

56,13:45-14:00,0,0,96.77,0,81.29,44,189,120.83,9.5,81,33,42,28.5,46,33,29,33,0,93,0,0,0,7.96,220.64,21.77,9.5,29,230,39.22,86,11,273.62,0,24.19,24.78,2.42,0,31.29,10.26,76.73,66.36,15.54,2.78,2.78,15.17,15.17

57,14:00-14:15,0,0,96.77,0,81.29,43,186,115.28,9.67,79,33,41,29,46,33,35.67,33,0,91,0,0,0,7.96,220.64,21.77,9.66,35.67,230,42.02,85,10,273.62,0,24.19,24.78,2.42,0,31.29,10.34,87.29,66.36,15.35,2.78,2.78,14.97,14.97

58,14:15-14:30,0,0,96.77,0,81.29,42,182,110.33,10,78,33,40,30,44.21,33,37,33,0,88,0,0,0,7.96,220.64,21.77,10,37,221.08,42.02,83,10,273.62,0,24.19,24.78,2.42,0,31.29,10.34,87.29,115.66,14.82,2.78,2.78,14.46,14.46

59,14:30-14:45,0,0,96.77,0,81.29,40,175,104.84,10.5,75,33,39,31.5,39.89,33,38,33,0,85,0,0,0,7.96,220.64,21.77,10.5,38,199.47,42.42,81,10,273.62,0,24.19,24.78,2.42,0,31.29,10.34,87.29,115.66,14.42,0,0,14.08,14.08

60,14:45-15:00,0,0,96.77,0,81.29,38,168,98.36,10.67,72,33,37,32,37.58,33,39.33,33,0,80,0,0,0,7.96,220.64,21.77,10.66,39.33,187.88,43.02,78,10,273.62,0,24.19,24.78,2.42,0,31.29,10.34,87.29,115.66,13.21,0,0,12.88,12.88

61,15:00-15:15,0,0,96.77,0,81.29,35,161,89.71,11.17,69,33,35,33.5,33.03,33,40.67,33,0,73,0,0,0,7.96,220.64,21.77,11.16,40.67,165.17,43.02,75,10,273.62,0,24.19,24.78,2.42,0,29.77,10.53,87.29,115.66,12.3,0,0,11.99,11.99

62,15:15-15:30,0,0,96.77,0,81.29,32,151,81.58,11,64,33,33,33,30.84,33,42.33,33,0,68,0,0,0,7.96,220.64,21.77,11,42.33,154.22,43.02,69,10,273.62,0,24.19,24.78,2.42,0,29.77,10.53,87.29,115.66,11.39,0,0,11.12,11.12

63,15:30-15:45,0,0,96.77,0,98.94,29,140,72.86,9.17,60,33,30,27.5,28.65,33,43.33,33,0,61,0,0,0,7.96,220.64,21.77,9.16,43.33,143.28,43.02,63,10,273.62,0,24.19,24.78,2.42,0,29.77,10.53,87.29,115.66,10.49,30.37,0,10.23,10.23

64,15:45-16:00,0,0,96.77,0,98.94,26,130,64.03,9.5,55,33,28,28.5,26.47,33,44.67,33,0,55,0,0,0,7.96,220.64,21.77,9.5,44.67,132.33,43.02,58,10,273.62,0,24.19,24.78,2.42,0,29.77,10.53,87.29,115.66,9.58,30.37,0,9.35,9.35

65,16:00-16:15,0,0,96.77,0,98.94,23,116,55.3,10,49,33,24,30,27.33,33,45.67,33,0,49,0,0,0,7.96,220.64,21.77,10,45.67,136.65,44.02,53,10,273.62,0,24.19,24.78,2.42,0,29.77,10.71,87.29,115.66,8.51,30,0,8.3,8.3

66,16:15-16:30,0,0,96.77,0,98.94,19,102,46.31,10.33,43,33,20,31,24.01,33,46.67,33,0,40,0,0,0,7.96,220.64,21.77,10.34,46.67,120.04,44.02,47,10.34,273.62,0,24.19,24.78,2.42,0,29.77,10.71,87.29,115.66,7.65,30,0,7.46,7.46

67,16:30-16:45,0,0,96.77,0,98.94,13,85,37.07,10.83,37,33,17,32.5,20.65,33,48,33,0,27,0,0,0,7.96,220.64,21.77,10.84,48,103.27,44.02,40,10.66,273.62,0,24.19,24.78,2.42,0,30.27,10.71,87.29,115.66,6.74,30,0,6.58,6.58

68,16:45-17:00,0,0,96.77,0,98.94,10,70,27.63,10.83,30,33,14,32.5,16.96,33,49.67,33,0,22,0,0,0,7.96,220.64,21.77,10.84,49.67,84.83,44.02,35,10.66,273.62,0,24.19,24.78,2.42,0,30.27,10.71,87.29,115.66,5.74,30,0,5.6,5.6

69,17:00-17:15,0,0,96.77,0,98.94,7,56,19.02,10.83,24,33,11,32.5,14.3,30,43.67,33,0,15,0,0,0,7.96,220.64,21.77,10.84,43.67,71.53,44.02,27,11.34,273.62,0,24.19,24.78,2.42,0,30.27,10.9,77.42,115.66,4.78,30,0,4.66,4.66

70,17:15-17:30,0,0,96.77,0,98.94,6,42,11.91,10.83,18,33,8,32.5,11.77,17,43.67,33,0,14,0,0,0,7.96,220.64,21.77,10.84,43.67,58.85,44.02,22,11.66,273.62,0,24.19,24.78,2.42,0,30.27,10.9,77.42,115.66,3.9,30,0,3.8,3.8

71,17:30-17:45,0,0,96.77,0,98.94,5,28,6.95,10.5,12,33,7,31.5,7.4,7,45,33,0,12,0,0,0,7.96,220.64,21.77,10.5,45,36.99,44.02,18,12.34,273.62,0,24.19,24.78,2.42,0,30.78,10.9,77.42,115.66,2.97,30,0,2.9,2.9

72,17:45-18:00,0,0,96.77,0,98.94,5,18,4.26,10.5,7,26.14,5,31.5,4.46,1,46,30.22,0,9,0,0,0,7.96,220.64,21.77,10.5,46,22.29,44.02,15,12.66,273.62,0,24.19,24.78,2.42,0,30.78,10.9,77.42,115.66,2.14,30,0,2.09,2.09

73,18:00-18:15,0,0,96.77,0,98.94,3,11,1.73,10.33,4,0,3,31,2.51,0,45.67,0,0,7,0,0,0,7.96,220.64,21.77,10.34,45.67,12.54,44.02,12,13,273.62,0,24.19,24.78,2.42,0,30.78,11.09,77.42,115.66,1.63,31,0,1.59,1.59

74,18:15-18:30,0,0,96.77,0,98.94,2,4,0,10,1,0,2,30,1.11,0,45.33,0,0,3,0,0,0,7.96,220.64,21.77,10,45.33,5.58,44.02,8,13,273.62,0,24.19,24.78,2.42,0,30.78,11.09,77.42,115.66,1.17,31,0,1.14,1.14

75,18:30-18:45,42,0,96.77,0,98.94,1,1,0,13,0,0,0,39,0.28,0,45,0,25,1,0,0,0,7.96,220.64,21.77,13,45,1.39,44.02,6,13,273.62,0,24.19,24.78,2.42,0,30.78,11.09,77.42,115.66,0.59,31,0,0.57,0.57

76,18:45-19:00,42,0,96.77,0,98.94,0,0,0,13.33,0,0,0,40,0,0,44.67,0,25,0,0,0,0,7.96,220.64,21.77,13.34,44.67,0,44.02,4,13,273.62,0,24.19,24.78,2.42,0,30.78,11.09,77.42,115.66,0.22,31,0,0.21,0.21

77,19:00-19:15,42,0,96.77,58.06,98.94,0,0,0,13.33,0,0,0,40,0,0,40,0,30,0,0,0,0,7.96,220.64,21.77,13.34,40,0,44.02,2,13.34,273.62,0,24.19,24.78,2.42,0,31.29,11.18,77.42,115.66,0,31,31,0,0

78,19:15-19:30,42,0,96.77,58.06,98.94,0,0,0,13.33,0,0,0,40,0,0,39.67,0,30,0,0,0,0,7.96,220.64,21.77,13.34,39.67,0,44.02,0,13.34,273.62,0,24.19,24.78,2.42,0,31.29,11.18,77.42,115.66,0,31,31,0,0

79,19:30-19:45,42,0,96.77,58.06,98.94,0,0,0,13.33,0,0,0,40,0,0,38.33,0,30,0,0,0,0,7.96,220.64,21.77,13.34,38.33,0,44.02,0,13.66,273.62,0,24.19,24.78,2.42,0,31.29,11.18,77.42,115.66,0,31,31,0,0

80,19:45-20:00,42,0,96.77,58.06,98.94,0,0,0,13.33,0,0,0,40,0,0,37.67,0,30,0,0,0,0,7.96,220.64,21.77,13.34,37.67,0,44.02,0,13.66,273.62,0,24.19,24.78,2.42,0,30.78,11.18,77.42,115.66,0,31,31,0,0

