Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/25752/A/64967,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/16/4327,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/01/5285,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/4565,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/7960,NR/30092023/31122025/SH-07,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/16/6639,WR/2025/27361/A/65403,GNA/NR/2025/04/16/2341,WR/2025/27350/A/65114,GNA/NR/2025/04/16/2139,GNA/NR/2025/04/01/6490,NR/2025/26034/C,NR/2025/25947/A/65380,NR/2025/25945/A/65381,NR/2025/25924/A/65131,NR/2025/25955/A/65378,NR/2025/25948/A/65379,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2025/04/01/4420,Total
3,00:30-00:45,0,0,2.89,1.92,72.17,28.87,2.89,25.06,2.89,9.62,9.62,48.12,52.5,43.74,25.06,14.58,72.17,24.06,19.25,0,96.23,9.62,242.5,43.74,43.74,3.85,28.99,14.58,11.97,0,950.6300000000001

4,00:45-01:00,0,0,2.89,1.92,72.17,28.87,2.89,25.06,2.89,9.62,9.62,48.12,52.5,43.74,25.06,14.58,72.17,24.06,19.25,0,96.23,9.62,242.5,43.74,43.74,3.85,28.99,14.58,11.97,0,950.6300000000001

5,01:00-01:15,0,0,2.89,1.92,72.17,28.87,2.89,26.93,2.89,9.62,9.62,48.12,52.5,43.74,26.93,14.58,72.17,24.06,19.25,0,96.23,9.62,242.5,43.74,43.74,3.85,28.99,14.58,11.79,0,954.19

6,01:15-01:30,0,0,2.89,1.92,72.17,28.87,2.89,26.93,2.89,9.62,9.62,48.12,52.5,43.74,26.93,14.58,72.17,24.06,19.25,0,96.23,9.62,242.5,43.74,43.74,3.85,28.99,14.58,11.79,0,954.19

7,01:30-01:45,0,0,2.89,1.92,72.17,28.87,2.89,26.93,2.89,9.62,9.62,48.12,52.5,43.74,26.93,14.58,72.17,24.06,19.25,0,96.23,9.62,242.5,43.74,43.74,3.85,28.99,14.58,11.79,0,954.19

8,01:45-02:00,0,0,2.89,1.92,72.17,28.87,2.89,26.93,2.89,9.62,9.62,48.12,52.5,43.74,26.93,14.58,72.17,24.06,19.25,0,96.23,9.62,242.5,43.74,43.74,3.85,28.99,14.58,11.79,0,954.19

9,02:00-02:15,0,0,2.89,1.92,72.17,28.87,2.89,26.93,2.89,9.62,9.62,48.12,0,43.74,26.93,14.58,72.17,24.06,19.25,96.23,96.23,9.62,242.5,43.74,43.74,3.85,28.99,14.58,11.61,0,997.7400000000001

10,02:15-02:30,0,0,2.89,1.92,72.17,28.87,2.89,26.93,2.89,9.62,9.62,48.12,0,43.74,26.93,14.58,72.17,24.06,19.25,96.23,96.23,9.62,242.5,43.74,43.74,3.85,28.99,14.58,11.61,0,997.7400000000001

11,02:30-02:45,0,0,2.89,1.92,72.17,28.87,2.89,26.93,2.89,9.62,9.62,48.12,0,43.74,26.93,14.58,72.17,24.06,19.25,96.23,96.23,9.62,232.88,43.74,43.74,3.85,28.99,14.58,11.61,0,988.1200000000001

12,02:45-03:00,0,0,2.89,1.92,72.17,28.87,2.89,26.93,2.89,9.62,9.62,48.12,0,43.74,26.93,14.58,72.17,24.06,19.25,96.23,96.23,9.62,232.88,43.74,43.74,3.85,28.99,14.58,11.61,0,988.1200000000001

13,03:00-03:15,0,0,2.89,1.92,72.17,28.87,2.89,26.93,2.89,9.62,9.62,48.12,0,43.74,26.93,14.58,72.17,24.06,19.25,96.23,96.23,9.62,232.88,43.74,43.74,3.85,28.99,14.58,11.42,0,987.9300000000001

14,03:15-03:30,0,0,2.89,1.92,72.17,28.87,2.89,26.93,2.89,9.62,9.62,48.12,0,43.74,26.93,14.58,72.17,24.06,19.25,96.23,96.23,9.62,232.88,43.74,43.74,3.85,28.99,14.58,11.42,0,987.9300000000001

15,03:30-03:45,0,0,2.89,1.92,72.17,28.87,2.89,24.65,2.89,9.62,9.62,48.12,0,43.74,24.65,14.58,72.17,24.06,19.25,96.23,96.23,9.62,232.88,43.74,43.74,3.85,28.99,14.58,11.42,0,983.3700000000001

16,03:45-04:00,0,0,2.89,1.92,72.17,28.87,2.89,26.93,2.89,9.62,9.62,48.12,0,43.74,26.93,14.58,72.17,24.06,19.25,96.23,96.23,9.62,232.88,43.74,43.74,3.85,28.99,14.58,11.42,0,987.9300000000001

17,04:00-04:15,0,0,2.89,1.92,72.17,28.87,2.89,26.93,2.89,9.62,9.62,48.12,0,43.74,26.93,14.58,72.17,24.06,19.25,96.23,96.23,9.62,232.88,43.74,43.74,3.85,28.99,14.58,11.24,0,987.7500000000001

18,04:15-04:30,0,0,2.89,1.92,72.17,28.87,2.89,26.93,2.89,9.62,9.62,48.12,0,43.74,26.93,14.58,72.17,24.06,19.25,96.23,96.23,9.62,232.88,43.74,43.74,3.85,28.99,14.58,11.24,0,987.7500000000001

19,04:30-04:45,0,0,2.89,1.92,72.17,28.87,2.89,26.93,2.89,9.62,9.62,48.12,0,43.74,26.93,14.58,72.17,24.06,19.25,96.23,96.23,9.62,232.88,43.74,43.74,3.85,28.99,14.58,11.24,0,987.7500000000001

20,04:45-05:00,0,0,2.89,1.92,72.17,28.87,2.89,26.93,2.89,9.62,9.62,48.12,0,43.74,26.93,14.58,72.17,24.06,19.25,96.23,96.23,9.62,232.88,43.74,43.74,3.85,28.99,14.58,11.24,0,987.7500000000001

21,05:00-05:15,0,0,2.89,1.92,72.17,28.87,2.89,21.55,2.89,9.62,9.62,48.12,0,43.74,30,14.58,72.17,24.06,19.25,96.23,96.23,9.62,232.88,43.74,43.74,3.85,28.99,14.58,11.05,0,985.2500000000001

22,05:15-05:30,0,0,2.89,1.92,72.17,28.87,2.89,26.26,2.89,9.62,9.62,48.12,0,43.74,30,14.58,72.17,24.06,19.25,96.23,96.23,9.62,232.88,43.74,43.74,3.85,28.99,14.58,11.05,0,989.96

23,05:30-05:45,0,0,2.89,1.92,72.17,28.87,2.89,21.55,2.89,9.62,9.62,48.12,0,43.74,30,14.58,72.17,24.06,19.25,96.23,96.23,9.62,232.88,43.74,43.74,3.85,28.99,14.58,11.05,0,985.2500000000001

24,05:45-06:00,0,0,2.89,1.92,72.17,28.87,2.89,26.26,2.89,9.62,9.62,48.12,0,43.74,30,14.58,72.17,24.06,19.25,96.23,96.23,9.62,232.88,43.74,43.74,3.85,28.99,14.58,11.05,0,989.96

25,06:00-06:15,0,0,2.89,1.92,72.17,28.87,2.89,27,2.89,9.62,9.62,48.12,0,43.74,27,14.58,72.17,24.06,19.25,96.23,96.23,9.62,232.88,43.74,43.74,3.85,28.99,14.58,10.86,0,987.5100000000001

26,06:15-06:30,0.3,0,2.89,1.92,72.17,28.87,2.89,27,2.89,9.62,9.62,48.12,0,43.74,27,14.58,72.17,24.06,19.25,96.23,96.23,9.62,232.88,43.74,43.74,3.85,28.99,14.58,10.86,0,987.8100000000002

27,06:30-06:45,0.86,0,2.89,1.92,72.17,28.87,2.89,27,2.89,9.62,9.62,48.12,0,43.74,27,14.58,72.17,24.06,19.25,96.23,96.23,9.62,232.88,43.74,43.74,3.85,28.99,14.58,10.86,0,988.3700000000001

28,06:45-07:00,2.92,0,2.89,1.92,72.17,28.87,2.89,27,2.89,9.62,9.62,48.12,0,43.74,27,14.58,72.17,24.06,19.25,96.23,96.23,9.62,232.88,43.74,43.74,3.85,28.99,14.58,10.86,0,990.4300000000002

29,07:00-07:15,6.21,0,2.89,1.92,72.17,28.87,2.89,27,2.89,9.62,9.62,48.12,0,43.74,27,14.58,72.17,24.06,19.25,96.23,96.23,9.62,0,43.74,43.74,3.85,28.99,14.58,10.68,0,760.6600000000001

30,07:15-07:30,10.52,0,2.89,1.92,72.17,28.87,2.89,27,2.89,9.62,9.62,48.12,0,43.74,27,14.58,72.17,24.06,19.25,96.23,96.23,9.62,0,43.74,43.74,3.85,28.99,14.58,10.68,0,764.97

31,07:30-07:45,16.23,0,2.89,1.92,72.17,28.87,2.89,27,2.89,9.62,9.62,48.12,0,43.74,27,14.58,72.17,24.06,19.25,96.23,96.23,9.62,0,43.74,43.74,3.85,28.99,14.58,10.68,0,770.6800000000001

32,07:45-08:00,23.3,0,2.89,1.92,72.17,28.87,2.89,27,2.89,9.62,9.62,48.12,0,43.74,27,14.58,72.17,24.06,19.25,96.23,96.23,9.62,0,43.74,43.74,3.85,28.99,14.58,10.68,0,777.75

33,08:00-08:15,30.93,3.85,2.89,1.92,72.17,28.87,2.89,26.93,2.89,9.62,9.62,48.12,0,43.74,26.93,14.58,72.17,24.06,19.25,0,96.23,9.62,0,43.74,43.74,3.85,28.99,14.58,10.5,0,692.6800000000001

34,08:15-08:30,38.77,3.85,2.89,1.92,72.17,28.87,2.89,26.93,2.89,9.62,9.62,48.12,0,43.74,26.93,14.58,72.17,24.06,19.25,0,96.23,9.62,105.85,43.74,43.74,3.85,28.99,14.58,10.5,0,806.3700000000001

35,08:30-08:45,46.88,3.85,2.89,1.92,72.17,28.87,2.89,26.93,2.89,9.62,9.62,48.12,0,43.74,26.93,14.58,72.17,24.06,19.25,0,96.23,9.62,144.34,43.74,43.74,3.85,28.99,14.58,12.53,0,855.0000000000001

36,08:45-09:00,54.8,3.85,2.89,1.92,72.17,28.87,2.89,26.93,2.89,9.62,9.62,48.12,0,43.74,26.93,14.58,72.17,24.06,19.25,0,96.23,9.62,144.34,43.74,43.74,3.85,28.99,14.58,12.53,0,862.9200000000001

37,09:00-09:15,62.43,6.74,2.89,1.92,72.17,28.87,2.89,26.94,2.89,9.62,9.62,48.12,0,43.74,26.94,14.58,72.17,24.06,19.25,0,96.23,9.62,144.34,43.74,43.74,4.81,28.99,14.58,12.34,0,874.23

38,09:15-09:30,69.4,6.74,2.89,1.92,72.17,28.87,2.89,26.94,2.89,9.62,9.62,48.12,0,43.74,26.94,14.58,72.17,24.06,19.25,0,96.23,9.62,230.95,43.74,43.74,4.81,28.99,14.58,12.34,0,967.81

39,09:30-09:45,79.86,6.74,2.89,1.92,72.17,28.87,2.89,26.94,2.89,9.62,9.62,48.12,0,43.74,26.94,14.58,72.17,24.06,19.25,0,96.23,9.62,230.95,43.74,43.74,4.81,28.99,14.58,12.34,0,978.27

40,09:45-10:00,85.7,6.74,2.89,1.92,72.17,28.87,2.89,26.94,2.89,9.62,9.62,48.12,0,43.74,26.94,14.58,72.17,24.06,19.25,0,96.23,9.62,230.95,43.74,43.74,4.81,28.99,14.58,12.34,0,984.1100000000001

41,10:00-10:15,90.94,8.66,2.89,1.92,72.17,28.87,2.89,26.94,2.89,9.62,9.62,48.12,0,43.74,26.94,14.58,72.17,24.06,19.25,0,96.23,9.62,230.95,43.74,43.74,4.81,28.99,14.58,12.15,0,991.0799999999999

42,10:15-10:30,95.67,8.66,2.89,1.92,72.17,28.87,2.89,26.94,2.89,9.62,9.62,48.12,0,43.74,26.94,14.58,72.17,24.06,19.25,0,96.23,9.62,230.95,43.74,43.74,4.81,28.99,14.58,12.15,0,995.81

43,10:30-10:45,99.84,8.66,2.89,1.92,72.17,28.87,2.89,26.94,2.89,9.62,9.62,48.12,0,43.74,26.94,14.58,72.17,24.06,19.25,0,96.23,9.62,250.2,43.74,43.74,4.81,28.99,14.58,12.15,0,1019.23

44,10:45-11:00,100,8.66,2.89,1.92,72.17,28.87,2.89,26.94,2.89,9.62,9.62,48.12,0,43.74,26.94,14.58,72.17,24.06,19.25,0,96.23,9.62,250.2,43.74,43.74,4.81,28.99,14.58,12.15,0,1019.3899999999999

45,11:00-11:15,100,8.66,2.89,1.92,72.17,28.87,2.89,26.94,2.89,9.62,9.62,48.12,0,43.74,26.94,14.58,72.17,24.06,19.25,0,96.23,9.62,250.2,43.74,43.74,4.81,28.99,14.58,11.88,0,1019.1199999999999

46,11:15-11:30,100,8.66,2.89,1.92,72.17,28.87,2.89,26.94,2.89,9.62,9.62,48.12,0,43.74,26.94,14.58,72.17,24.06,19.25,0,96.23,9.62,250.2,43.74,43.74,4.81,28.99,14.58,11.88,0,1019.1199999999999

47,11:30-11:45,100,8.66,2.89,1.92,72.17,28.87,2.89,26.94,2.89,9.62,9.62,48.12,0,43.74,26.94,14.58,72.17,24.06,19.25,0,96.23,9.62,250.2,43.74,43.74,4.81,28.99,14.58,11.88,0,1019.1199999999999

48,11:45-12:00,100,8.66,2.89,1.92,72.17,28.87,2.89,26.94,2.89,9.62,9.62,48.12,0,43.74,26.94,14.58,72.17,24.06,19.25,0,96.23,9.62,250.2,43.74,43.74,4.81,28.99,14.58,11.88,0,1019.1199999999999

49,12:00-12:15,100,8.66,2.89,1.92,72.17,28.87,2.89,26.95,2.89,9.62,9.62,48.12,0,43.74,26.95,14.58,72.17,24.06,19.25,0,96.23,9.62,250.2,43.74,43.74,4.81,28.99,14.58,11.61,0,1018.8699999999999

50,12:15-12:30,100,8.66,2.89,1.92,72.17,28.87,2.89,26.95,2.89,9.62,9.62,48.12,0,43.74,26.95,14.58,72.17,24.06,19.25,0,96.23,9.62,250.2,43.74,43.74,4.81,28.99,14.58,11.61,0,1018.8699999999999

51,12:30-12:45,100,8.66,2.89,1.92,72.17,28.87,2.89,26.95,2.89,9.62,9.62,48.12,0,26.24,26.95,8.75,72.17,24.06,19.25,0,96.23,9.62,250.2,43.74,43.74,4.81,28.99,14.58,11.61,0,995.54

52,12:45-13:00,100,8.66,2.89,1.92,72.17,28.87,2.89,26.95,2.89,9.62,9.62,48.12,0,26.24,26.95,8.75,72.17,24.06,19.25,0,96.23,9.62,250.2,43.74,43.74,4.81,28.99,14.58,11.61,0,995.54

53,13:00-13:15,100,8.66,2.89,1.92,72.17,28.87,2.89,26.95,2.89,9.62,9.62,48.12,0,26.24,26.95,8.75,72.17,24.06,19.25,0,96.23,9.62,250.2,43.74,43.74,4.81,28.99,14.58,11.42,0,995.3499999999999

54,13:15-13:30,100,8.66,2.89,1.92,72.17,28.87,2.89,26.95,2.89,9.62,9.62,48.12,0,26.24,26.95,8.75,72.17,24.06,19.25,0,96.23,9.62,250.2,43.74,43.74,4.81,28.99,14.58,11.42,0,995.3499999999999

55,13:30-13:45,100,8.66,2.89,1.92,72.17,28.87,2.89,26.95,2.89,9.62,9.62,48.12,0,26.24,26.95,8.75,72.17,24.06,19.25,0,96.23,9.62,250.2,43.74,43.74,4.81,28.99,14.58,11.42,0,995.3499999999999

56,13:45-14:00,100,8.66,2.89,1.92,72.17,28.87,2.89,26.95,2.89,9.62,9.62,48.12,0,26.24,26.95,8.75,72.17,24.06,19.25,0,96.23,9.62,250.2,43.74,43.74,4.81,28.99,14.58,11.42,0,995.3499999999999

57,14:00-14:15,100,7.7,2.89,1.92,72.17,28.87,2.89,26.95,2.89,9.62,9.62,48.12,0,26.24,26.95,8.75,72.17,24.06,19.25,0,96.23,9.62,250.2,43.74,43.74,5.77,28.99,14.58,11.24,0,995.17

58,14:15-14:30,100,7.7,2.89,1.92,72.17,28.87,2.89,26.95,2.89,9.62,9.62,48.12,0,26.24,26.95,8.75,72.17,24.06,19.25,0,96.23,9.62,250.2,43.74,43.74,5.77,28.99,14.58,11.24,0,995.17

59,14:30-14:45,100,7.7,2.89,1.92,72.17,28.87,2.89,26.95,2.89,9.62,9.62,48.12,0,26.24,26.95,8.75,72.17,24.06,19.25,0,96.23,9.62,250.2,43.74,43.74,5.77,28.99,14.58,11.24,0,995.17

60,14:45-15:00,96.37,7.7,2.89,1.92,72.17,28.87,2.89,26.95,2.89,9.62,9.62,48.12,0,26.24,26.95,8.75,72.17,24.06,19.25,0,96.23,9.62,211.71,43.74,43.74,5.77,28.99,14.58,11.24,0,953.0500000000001

61,15:00-15:15,92.17,6.74,2.89,1.92,72.17,28.87,2.89,26.95,2.89,9.62,9.62,48.12,0,26.24,26.95,8.75,72.17,24.06,19.25,0,96.23,9.62,211.71,43.74,43.74,5.77,28.99,14.58,11.51,0,948.1600000000001

62,15:15-15:30,87.46,6.74,2.89,1.92,72.17,28.87,2.89,26.95,2.89,9.62,9.62,48.12,0,26.24,26.95,8.75,72.17,24.06,19.25,0,96.23,9.62,211.71,43.74,43.74,5.77,28.99,14.58,11.51,0,943.45

63,15:30-15:45,82.08,6.74,2.89,1.92,72.17,28.87,2.89,26.95,2.89,9.62,9.62,48.12,0,26.24,26.95,8.75,72.17,24.06,19.25,0,96.23,9.62,211.71,43.74,43.74,5.77,28.99,14.58,11.51,0,938.07

64,15:45-16:00,76.25,6.74,2.89,1.92,72.17,28.87,2.89,26.95,2.89,9.62,9.62,48.12,0,26.24,26.95,8.75,72.17,24.06,19.25,0,96.23,9.62,163.59,43.74,43.74,5.77,28.99,14.58,11.51,0,884.12

65,16:00-16:15,70.03,3.85,2.89,1.92,72.17,28.87,2.89,26.95,2.89,9.62,9.62,48.12,0,26.24,26.95,8.75,72.17,24.06,19.25,0,96.23,9.62,163.59,43.74,43.74,6.74,28.99,14.58,11.69,50,926.1600000000002

66,16:15-16:30,63.26,3.85,2.89,1.92,72.17,28.87,2.89,26.95,2.89,9.62,9.62,48.12,0,26.24,26.95,8.75,72.17,24.06,19.25,0,96.23,9.62,163.59,43.74,43.74,6.74,28.99,14.58,11.69,50,919.3900000000001

67,16:30-16:45,56.16,3.85,2.89,1.92,72.17,28.87,2.89,26.95,2.89,9.62,9.62,48.12,0,26.24,26.95,8.75,72.17,24.06,19.25,0,96.23,9.62,163.59,43.74,43.74,6.74,28.99,14.58,11.69,50,912.2900000000002

68,16:45-17:00,48.86,3.85,2.89,1.92,72.17,28.87,2.89,26.95,2.89,9.62,9.62,48.12,0,26.24,26.95,8.75,72.17,24.06,19.25,0,96.23,9.62,57.74,43.74,43.74,6.74,28.99,14.58,11.69,50,799.1400000000001

69,17:00-17:15,39.34,0,2.89,1.92,72.17,28.87,2.89,26.95,2.89,9.62,9.62,48.12,0,26.24,26.95,8.75,72.17,24.06,19.25,0,96.23,9.62,57.74,43.74,43.74,6.74,28.99,14.58,11.88,50,785.96

70,17:15-17:30,32.3,0,2.89,1.92,72.17,28.87,2.89,26.95,2.89,9.62,9.62,48.12,0,26.24,26.95,8.75,72.17,24.06,19.25,0,96.23,9.62,57.74,43.74,43.74,6.74,28.99,14.58,11.88,50,778.9200000000001

71,17:30-17:45,25.49,0,2.89,1.92,72.17,28.87,2.89,26.95,2.89,9.62,9.62,48.12,0,26.24,26.95,8.75,72.17,24.06,19.25,0,96.23,9.62,57.74,43.74,43.74,6.74,28.99,14.58,11.88,50,772.11

72,17:45-18:00,18.98,0,2.89,1.92,72.17,28.87,2.89,26.95,2.89,9.62,9.62,48.12,0,26.24,26.95,8.75,72.17,24.06,19.25,0,96.23,9.62,256.93,43.74,43.74,6.74,28.99,14.58,11.88,50,964.7900000000002

73,18:00-18:15,12.86,0,2.89,1.92,72.17,28.87,2.89,26.94,2.89,9.62,9.62,48.12,0,26.24,26.94,8.75,72.17,24.06,19.25,0,96.23,9.62,256.93,43.74,43.74,6.74,28.99,14.58,12.15,50,958.9200000000001

74,18:15-18:30,8.07,0,2.89,1.92,72.17,28.87,2.89,26.94,2.89,9.62,9.62,48.12,0,26.24,26.94,8.75,72.17,24.06,19.25,0,96.23,9.62,256.93,43.74,43.74,6.74,28.99,14.58,12.15,50,954.1300000000001

75,18:30-18:45,2.97,0,2.89,1.92,72.17,28.87,2.89,26.94,2.89,9.62,9.62,48.12,0,26.24,26.94,8.75,72.17,24.06,19.25,0,96.23,9.62,256.93,43.74,43.74,6.74,28.99,14.58,12.15,50,949.0300000000002

76,18:45-19:00,1.29,0,2.89,1.92,72.17,28.87,2.89,26,2.89,9.62,9.62,48.12,0,26.24,26,8.75,72.17,24.06,19.25,0,96.23,9.62,256.93,43.74,43.74,6.74,28.99,14.58,12.15,50,945.47

77,19:00-19:15,0.16,0,2.89,1.92,72.17,28.87,2.89,17.41,2.89,9.62,9.62,48.12,0,26.24,17.41,8.75,72.17,24.06,19.25,0,96.23,9.62,256.93,43.74,43.74,6.74,28.99,14.58,12.53,50,927.5400000000001

78,19:15-19:30,0.03,0,2.89,1.92,72.17,28.87,2.89,10.41,2.89,9.62,9.62,48.12,0,26.24,29.5,8.75,72.17,24.06,19.25,0,96.23,9.62,256.93,43.74,43.74,6.74,28.99,14.58,12.53,50,932.5000000000001

79,19:30-19:45,0.01,0,2.89,1.92,72.17,28.87,2.89,29.5,2.89,9.62,9.62,48.12,0,26.24,29.5,8.75,72.17,24.06,19.25,0,96.23,9.62,256.93,43.74,43.74,6.74,28.99,14.58,12.53,50,951.57

80,19:45-20:00,0,0,2.89,1.92,72.17,28.87,2.89,29.5,2.89,9.62,9.62,48.12,0,26.24,29.5,8.75,72.17,24.06,19.25,0,96.23,9.62,256.93,43.74,43.74,6.74,28.99,14.58,12.53,50,951.5600000000001

81,20:00-20:15,0,0,2.89,1.92,72.17,28.87,2.89,29.5,2.89,9.62,9.62,48.12,0,26.24,29.5,8.75,72.17,24.06,19.25,0,96.23,9.62,256.93,43.74,43.74,5.77,28.99,14.58,12.89,50,950.95

82,20:15-20:30,0,0,2.89,1.92,72.17,28.87,2.89,29.5,2.89,9.62,9.62,48.12,0,26.24,29.5,8.75,72.17,24.06,19.25,0,96.23,9.62,256.93,43.74,43.74,5.77,28.99,14.58,12.89,50,950.95

83,20:30-20:45,0,0,2.89,1.92,72.17,28.87,2.89,29.5,2.89,9.62,9.62,48.12,0,26.24,29.5,8.75,72.17,24.06,19.25,0,96.23,9.62,256.93,43.74,43.74,5.77,28.99,14.58,12.89,50,950.95

84,20:45-21:00,0,0,2.89,1.92,72.17,28.87,2.89,29.5,2.89,9.62,9.62,48.12,0,26.24,29.5,8.75,72.17,24.06,19.25,0,96.23,9.62,256.93,43.74,43.74,5.77,28.99,14.58,12.89,50,950.95

85,21:00-21:15,0,0,2.89,1.92,72.17,28.87,2.89,29.5,2.89,9.62,9.62,48.12,0,26.24,29.5,8.75,72.17,24.06,19.25,0,96.23,9.62,256.93,43.74,43.74,5.77,28.99,14.58,13.17,50,951.23

86,21:15-21:30,0,0,2.89,1.92,72.17,28.87,2.89,29.5,2.89,9.62,9.62,48.12,0,26.24,29.5,8.75,72.17,24.06,19.25,0,96.23,9.62,256.93,43.74,43.74,5.77,28.99,14.58,13.17,50,951.23

87,21:30-21:45,0,0,2.89,1.92,72.17,28.87,2.89,29.5,2.89,9.62,9.62,48.12,0,43.3,29.5,14.43,72.17,24.06,19.25,0,96.23,9.62,256.93,43.74,43.74,5.77,28.99,14.58,13.17,50,973.97

88,21:45-22:00,0,0,2.89,1.92,72.17,28.87,2.89,29.5,2.89,9.62,9.62,48.12,0,43.3,29.5,14.43,72.17,24.06,19.25,0,96.23,9.62,256.93,43.74,43.74,5.77,28.99,14.58,13.17,50,973.97

89,22:00-22:15,0,0,2.89,1.92,72.17,28.87,2.89,29.5,2.89,9.62,9.62,48.12,0,43.3,29.5,14.43,72.17,24.06,19.25,0,96.23,9.62,256.93,43.74,43.74,4.81,28.99,14.58,13.17,50,973.01

90,22:15-22:30,0,0,2.89,1.92,72.17,28.87,2.89,29.5,2.89,9.62,9.62,48.12,0,43.3,29.5,14.43,72.17,24.06,19.25,0,96.23,9.62,256.93,43.74,43.74,4.81,28.99,14.58,13.17,50,973.01

91,22:30-22:45,0,0,2.89,1.92,72.17,28.87,2.89,29.5,2.89,9.62,9.62,48.12,0,43.3,29.5,14.43,72.17,24.06,19.25,0,96.23,9.62,256.93,43.74,43.74,4.81,28.99,14.58,13.17,50,973.01

