Column1,Block,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,SR/2024/14066/C,NR/2024/22966/C,NR/2024/22969/C,NR/2024/22970/C,NR/2024/22802/A/35696,NR/2024/22874/A/35698,NR/2024/22833/A/35692,NR/2024/22888/A/35675,NR/2024/21658/A/35426,NR/2024/22839/A/35690,NR/2024/22734/A/35653,NR/2024/22754/A/35672,NR/2024/22753/A/35673,NR/2024/22860/A/35681,NR/2024/22835/A/35729,NR/2024/22820/A/35389,NR/2024/22872/A/35461,NR/2024/22837/A/35691,NR/2024/22816/A/35548,NR/2024/22832/A/35694,NR/2024/22848/A/35683,NR/2024/22968/C,NR/2024/22898/A/35481,NR/2024/22974/C,NR/2024/22899/A/35483,GNA/NR/2024/09/01/4802,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/7196,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/3451,GNA/NR/2024/09/04/1294,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/9821,Total
72,17:45-18:00,26.9071,26.9071,13.21,0,241.98,164.78,28.07,0,32.37,37.39,25.15,0.82,12.47,96.79,0,0,13.55,90.98,4.84,12.58,37.39,0,37.39,84.38,0.29,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,0,1329.5242

73,18:00-18:15,26.9071,26.9071,13.21,0,241.98,164.78,28.07,0,32.37,37.39,25.15,0.82,12.47,96.79,0,0,13.55,90.98,4.84,11.61,37.39,0,37.39,84.38,0.07,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,0,1328.3342000000002

74,18:15-18:30,26.9071,26.9071,13.21,0,241.98,164.78,28.07,0,32.37,37.39,25.15,0.82,12.47,96.79,0,0,13.55,90.98,4.84,11.61,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,0,1328.2642

75,18:30-18:45,29.9071,29.9071,15.06,0,241.98,164.78,28.07,0,32.37,37.39,43.56,0.82,12.47,96.79,0,0,13.55,90.98,4.84,11.61,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,0,1354.5242

76,18:45-19:00,29.9071,29.9071,15.06,0,241.98,164.78,28.07,0,32.37,37.39,43.56,0.82,12.47,96.79,0,0,13.55,90.98,4.84,11.61,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,0,1354.5242

77,19:00-19:15,26.7147,26.7147,15.06,0,241.98,164.78,28.07,0,32.37,37.39,43.56,0.82,12.47,96.79,0,0,13.55,90.98,4.84,11.61,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,58.07,96.79,2.42,0,1406.2094000000002

78,19:15-19:30,26.7147,26.7147,15.06,0,241.98,164.78,28.07,0,32.37,37.39,43.56,0.82,12.47,96.79,0,0,13.55,90.98,4.84,11.61,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,58.07,96.79,2.42,0,1406.2094000000002

79,19:30-19:45,26.7147,26.7147,15.06,0,241.98,164.78,28.07,0,32.37,37.39,43.56,0.82,12.47,96.79,0,0,13.55,90.98,4.84,11.61,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,58.07,96.79,2.42,0,1406.2094000000002

80,19:45-20:00,26.7147,26.7147,15.06,0,241.98,164.78,28.07,0,32.37,37.39,43.56,0.82,12.47,96.79,0,0,13.55,90.98,4.84,11.61,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,58.07,96.79,2.42,0,1406.2094000000002

81,20:00-20:15,26.7147,26.7147,15.06,0,241.98,164.78,28.07,0,32.37,37.39,43.56,0.77,12.47,96.79,0,0,13.55,90.98,4.84,11.61,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,58.07,96.79,2.42,0,1406.1594000000002

82,20:15-20:30,26.7147,26.7147,15.06,0,241.98,164.78,28.07,0,32.37,37.39,43.56,0.77,12.47,96.79,0,0,13.55,90.98,4.84,11.61,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,58.07,96.79,2.42,0,1406.1594000000002

83,20:30-20:45,21.4295,32,15.06,0,241.98,164.78,28.07,0,32.37,37.39,43.56,0.77,12.47,96.79,0,0,13.55,90.98,4.84,11.61,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,58.07,96.79,2.42,0,1406.1595000000002

84,20:45-21:00,21.4295,32,15.06,0,241.98,164.78,28.07,0,32.37,37.39,43.56,0.77,12.47,96.79,0,0,13.55,90.98,4.84,11.61,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,58.07,96.79,2.42,0,1406.1595000000002

85,21:00-21:15,28.6709,29.4048,15.06,0,241.98,164.78,28.07,0,32.37,37.39,43.56,0.77,12.47,96.79,0,0,13.55,90.98,4.84,11.61,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,58.07,96.79,2.42,0,1410.8057000000001

86,21:15-21:30,22.5632,25.0439,15.06,0,241.98,164.78,28.07,0,32.37,37.39,43.56,0.77,12.47,96.79,0,0,13.55,90.98,4.84,11.61,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,58.07,96.79,2.42,0,1400.3371000000002

87,21:30-21:45,25.0439,25.0439,15.06,0,241.98,164.78,28.07,0,32.37,37.39,43.56,0.77,12.47,96.79,0,0,13.55,90.98,4.84,11.61,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,58.07,96.79,2.42,0,1402.8178

88,21:45-22:00,25.0439,25.0439,15.06,0,241.98,164.78,28.07,0,32.37,37.39,43.56,0.77,12.47,96.79,0,0,13.55,90.98,4.84,11.61,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,58.07,96.79,2.42,0,1402.8178

89,22:00-22:15,25.0439,25.0439,13.21,0,241.98,164.78,28.07,0,32.37,37.39,43.56,0.77,12.47,96.79,59.89,179.67,13.55,90.98,4.84,10.65,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,58.07,96.79,2.42,0,1639.5678

90,22:15-22:30,25.0439,25.0439,13.21,0,241.98,164.78,28.07,0,32.37,37.39,43.56,0.77,12.47,96.79,59.89,179.67,13.55,90.98,4.84,10.65,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,58.07,96.79,2.42,0,1639.5678

91,22:30-22:45,25.0439,25.0439,13.21,0,241.98,164.78,28.07,0,32.37,37.39,67.75,0.77,12.47,96.79,59.89,179.67,13.55,90.98,4.84,9.68,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,58.07,96.79,2.42,0,1662.7878000000003

92,22:45-23:00,25.0439,25.0439,13.21,0,241.98,164.78,28.07,0,32.37,37.39,67.75,0.77,12.47,96.79,59.89,179.67,13.55,90.98,4.84,9.68,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,58.07,96.79,2.42,0,1662.7878000000003

93,23:00-23:15,25.0439,25.0439,13.21,0,241.98,164.78,28.07,0,32.37,37.39,67.75,0.77,12.47,96.79,59.89,179.67,13.55,94.27,4.84,9.68,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,0,1608.0078000000003

94,23:15-23:30,25.0439,25.0439,13.21,0,241.98,164.78,28.07,0,32.37,37.39,67.75,0.77,12.47,96.79,59.89,179.67,13.55,94.27,4.84,9.68,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,0,1608.0078000000003

95,23:30-23:45,25.0439,25.0439,13.21,0,241.98,164.78,28.07,0,32.37,37.39,67.75,0.77,12.47,96.79,59.89,179.67,13.55,94.27,4.84,9.68,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,0,1608.0078000000003

96,23:45-24:00,25.0439,25.0439,13.21,0,241.98,164.78,28.07,0,32.37,37.39,67.75,0.77,12.47,96.79,59.89,179.67,13.55,94.27,4.84,9.68,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,0,1608.0078000000003

