Block,Time Block,BRBCL,CHAMERA3,BSIUL,CHAMERA2,DADRT2,CHAMERA1,DHAULIGNGA,DULHASTI,JHAJJAR,FSTPP I & II,KGSU1AND2,KGSU3AND4,KHSTPP-I,KHSTPP-II,KISHANGANGA,KKNP,KOTESHWR,KKNPPU2,KOLDAM,KUDGI,MAPS,NLCEXP,NJPC,NLCIIST1,NAPP,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI3,PARBATI2,RAPPB,RAPPD,RAMPUR,RAPPC,RIHAND3,RIHAND2,RIHAND1,RSTPSU1TO6,RSTPSU7,SASAN,SIMHST1,SIMHST2,SEWA2,SALAL,SINGRAULI,SINGRAULI_HYDRO,TANAKPUR,TALA,TANDA2,TALST2,TEHRIPSP,TEHRI,TelanganaSTPP,UNCHAHAR1,UNCHAHAR4,UNCHAHAR3,UNCHAHAR2,URI,VALLURNTECL,URI2,ANTA_CRF,ANTA_LF,AURY_GF,ANTA_GF,AURY_CRF,ANTA_RF,AURY_LF,DADRI_CRF,AURY_RF,DADRI_LF,DADRI_RF,DADRI_GF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
7,01:30-01:45,11.49,0,0,0,101.33,27.08,29.59,36.06,241.52,14.12,0,0,28.51,109.02,6.72,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,126.09,117.41,45.57,0,0,227.67,0,0,18.19,81.75,104.85,0,12.63,18.87,2.52,0,200.41,79.67,0,14.83,1.46,0,30.64,34.05,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,12.98,0,0,0,101.33,27.08,29.59,36.06,241.52,14.12,0,0,28.51,109.02,6.72,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,126.09,117.41,45.57,0,0,227.67,0,0,18.19,81.75,104.85,0,12.63,18.87,2.52,0,200.41,79.67,0,14.83,1.46,0,30.64,34.05,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,12.04,0,0,0,101.33,27.08,29.59,36.06,241.52,14.12,0,0,28.51,109.02,6.72,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,126.09,117.41,45.57,0,0,227.67,0,0,18.19,81.75,104.85,0,12.63,19.44,2.52,0,200.41,79.67,0,14.83,1.46,0,30.64,34.05,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,13.2,0,0,0,101.33,27.08,29.59,36.06,241.52,14.12,0,0,28.51,109.02,6.72,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,126.09,117.41,45.57,0,0,227.67,0,0,18.19,81.75,104.85,0,12.63,19.44,2.52,0,200.41,79.67,0,14.83,1.46,0,30.64,25.53,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,13.62,0,0,0,101.33,27.08,29.59,36.06,235.16,14.12,0,0,24.2,96.88,6.72,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,126.09,117.41,45.57,0,0,227.67,0,0,18.19,81.75,97.41,0,12.63,18.59,2.52,0,200.41,79.67,0,11.88,1.46,0,24.38,19.15,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,13.45,0,0,0,101.33,27.08,29.59,36.06,235.16,14.12,0,0,24.2,96.88,6.72,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,126.09,117.41,45.57,0,0,227.67,0,0,18.19,81.75,104.85,0,12.63,18.59,2.52,0,200.41,79.67,0,11.88,1.46,0,24.38,19.15,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,14.48,0,0,0,101.33,27.08,29.59,36.06,235.16,11.86,0,0,24.2,98.36,6.72,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,126.09,117.41,45.57,0,0,227.67,0,0,18.19,79.51,96.15,0,11.48,20.34,2.52,0,200.41,79.67,0,11.88,0.8,0,24.38,34.05,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,16.2,0,0,0,101.33,27.08,29.59,36.06,235.16,11.86,0,0,24.2,108.03,6.72,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,126.09,117.41,45.57,0,0,227.67,0,0,18.19,79.51,96.15,0,11.48,20.34,2.52,0,200.41,79.67,0,11.88,0.8,0,24.38,34.05,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

15,03:30-03:45,16.63,0,0,0,101.33,27.08,29.59,36.06,235.16,11.81,0,0,24.2,108.03,6.72,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,126.09,117.41,45.57,0,0,227.67,0,0,18.19,79.51,94.25,0,11.48,20.34,2.52,0,200.41,79.67,0,11.88,0.8,0,24.22,19.15,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

16,03:45-04:00,17.88,0,0,0,101.33,27.08,29.59,36.06,235.16,11.81,0,0,24.2,108.03,6.72,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,126.09,117.41,45.57,0,0,227.67,0,0,18.19,79.51,94.25,0,11.48,20.34,2.52,0,200.41,79.67,0,11.88,0.8,0,24.22,19.15,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

17,04:00-04:15,15.95,0,0,0,101.33,27.08,29.59,36.06,235.16,11.81,0,0,24.2,95.92,6.72,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,126.09,117.41,45.57,0,0,227.67,0,0,18.19,79.51,94.25,0,11.48,20.34,2.52,0,200.41,79.67,0,11.88,0.8,0,24.22,25.53,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

18,04:15-04:30,18.07,0,0,0,101.33,27.08,29.59,36.06,235.16,11.81,0,0,24.2,95.92,6.72,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,126.09,117.41,45.57,0,0,227.67,0,0,18.19,79.51,94.25,0,11.48,20.34,2.52,0,200.41,79.67,0,11.88,0.8,0,24.22,25.53,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

19,04:30-04:45,18.07,0,0,0,101.33,27.08,29.59,36.06,235.16,11.81,0,0,24.2,95.92,6.72,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,126.09,104.88,40.75,0,0,227.67,0,0,18.19,79.51,94.25,0,11.48,20.34,2.52,0,200.41,79.67,0,11.88,0.8,0,24.13,25.53,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

20,04:45-05:00,18.07,0,0,0,101.33,27.08,29.59,36.06,235.16,11.71,0,0,24.2,95.92,6.72,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,126.09,104.88,40.75,0,0,227.67,0,0,18.19,79.51,94.25,0,11.48,20.34,2.52,0,200.41,79.67,0,11.88,0.8,0,24.13,25.53,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

21,05:00-05:15,18.07,0,0,0,101.33,27.08,29.59,36.06,235.16,11.52,0,0,24.2,108.03,6.72,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,126.09,104.88,40.75,0,0,227.67,0,0,18.19,79.51,94.25,0,11.48,19.88,2.52,0,200.41,79.67,0,11.88,0.8,0,24.13,25.53,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

22,05:15-05:30,18.07,0,0,0,101.33,27.08,29.59,36.06,235.16,11.42,0,0,24.2,108.03,6.72,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,126.09,104.88,40.75,0,0,227.67,0,0,18.19,79.51,94.25,0,11.48,17.86,2.52,0,200.41,79.67,0,11.88,0.8,0,24.13,25.53,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

23,05:30-05:45,18.07,0,0,0,101.33,27.08,29.59,36.06,235.16,11.14,0,0,24.2,108.06,6.72,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,126.09,104.88,40.75,0,0,227.67,0,0,18.19,79.51,94.25,0,11.48,17.5,2.52,0,200.41,79.67,0,11.88,0.8,0,24.09,25.53,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

24,05:45-06:00,18.07,0,0,0,101.33,27.08,29.59,36.06,235.16,11.02,0,0,24.2,108.06,6.72,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,126.09,104.88,40.75,0,0,227.67,0,0,18.19,79.51,94.25,0,11.48,17.12,2.52,0,200.41,79.67,0,11.88,0.8,0,24.09,25.53,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

25,06:00-06:15,18.07,0,0,0,101.33,27.08,29.59,36.06,235.16,11.13,0,0,33.05,126.05,4.48,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,126.09,115.29,45.57,0,0,227.67,0,0,18.19,79.51,104.85,0,11.48,16.74,2.52,0,200.41,79.67,0,11.88,0.8,0,23.6,25.53,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

26,06:15-06:30,18.07,0,0,0,101.33,27.08,29.59,36.06,235.16,11.02,0,0,33.05,124.96,4.48,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,126.09,117.41,45.57,0,0,227.67,0,0,18.19,79.51,104.85,0,11.48,16.68,2.52,0,200.41,79.67,0,11.88,0.8,0,23.6,25.53,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

27,06:30-06:45,18.07,0,0,0,101.33,27.08,29.59,36.06,235.16,11.02,0,0,33.05,124.96,4.48,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,126.09,117.41,45.57,0,0,227.67,0,0,18.19,79.51,104.85,0,11.48,16.72,2.52,0,200.41,79.67,0,11.88,0.8,0,23.6,25.53,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

28,06:45-07:00,17.31,0,0,0,101.33,27.08,29.59,36.06,235.16,11.02,0,0,33.05,124.96,4.48,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,126.09,117.41,45.57,0,0,227.67,0,0,18.19,79.51,104.85,0,11.48,16.92,2.52,0,200.41,79.67,0,11.88,0.8,0,23.6,25.53,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

29,07:00-07:15,18.07,0,0,0,101.33,27.08,29.59,36.06,235.16,11.02,0,0,26.55,108.06,4.48,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,126.09,117.41,45.57,0,0,227.67,0,0,18.19,79.51,104.85,0,11.48,17.28,2.52,0,200.41,79.67,0,11.88,0.8,0,23.6,25.53,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

30,07:15-07:30,18.07,0,0,0,101.33,27.08,29.59,36.06,235.16,12.64,0,0,22.67,99,4.48,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,126.09,117.41,45.57,0,0,227.67,0,0,18.19,79.51,104.85,0,11.48,17.39,2.52,0,200.41,79.67,0,11.88,0.8,0,24.09,25.53,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

31,07:30-07:45,18.07,0,0,0,101.33,27.08,29.59,36.06,235.16,12.64,0,0,24.66,108.06,4.48,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,126.09,117.41,45.57,0,0,227.67,0,0,18.19,79.51,104.85,0,3.71,17.4,2.52,0,200.41,79.67,0,13.64,0.8,0,24.05,4.25,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

32,07:45-08:00,17.56,0,0,0,101.33,27.08,29.59,36.06,235.16,12.64,0,0,27.3,108.06,4.48,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,126.09,117.41,45.57,0,0,227.67,0,0,18.19,79.51,104.85,0,3.71,17.41,2.52,0,200.41,79.67,0,13.64,0.8,0,24.05,4.25,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

33,08:00-08:15,18.07,0,0,0,101.33,27.08,29.59,36.06,235.16,12.64,0,0,24.2,107.94,4.48,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,126.09,117.41,45.57,0,0,227.67,0,0,18.19,79.51,104.85,0,3.71,19.47,2.52,0,200.41,79.67,0,13.64,0.8,0,26.95,4.25,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

34,08:15-08:30,18.07,0,0,0,101.33,27.08,29.59,36.06,235.16,12.64,0,0,24.2,95.92,4.48,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,126.09,117.41,45.57,0,0,227.67,0,0,18.19,79.51,80.49,0,3.71,19.47,2.52,0,200.41,79.67,0,13.64,0.8,0,26.95,4.25,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

35,08:30-08:45,18.07,0,0,0,101.33,27.08,29.59,36.06,235.16,12.64,0,0,24.2,95.92,4.48,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,101.37,103.75,45.57,0,0,227.67,0,0,18.19,79.51,81.55,0,11.48,19.47,2.52,0,200.41,79.67,0,13.64,0.8,0,26.95,25.53,0,35.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

36,08:45-09:00,15.94,0,0,0,101.33,27.08,29.59,36.06,235.16,12.64,0,0,24.2,95.92,4.48,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,101.37,103.75,44.47,0,0,227.67,0,0,18.19,79.51,81.55,0,11.48,19.5,2.52,0,200.41,79.67,0,13.64,0.8,0,26.95,25.53,0,35.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

37,09:00-09:15,16.37,0,0,0,101.33,27.08,29.59,36.06,235.16,12.64,0,0,24.2,95.92,4.48,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,101.37,103.75,44.42,0,0,227.67,0,0,18.19,79.51,81.55,0,11.48,19.5,5.35,0,200.41,79.67,0,13.64,0.8,0,26.95,25.53,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

38,09:15-09:30,17.86,0,0,0,101.33,27.08,29.59,36.06,235.16,12.64,0,0,24.2,95.92,4.48,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,101.37,103.75,44.47,0,0,227.67,0,0,18.19,79.51,81.55,0,11.48,19.89,5.35,0,100.21,79.67,0,13.64,0.8,0,26.95,25.53,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

39,09:30-09:45,18.07,0,0,0,101.33,27.08,29.59,36.06,235.16,12.64,0,0,24.2,95.92,4.48,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,101.37,103.75,44.53,0,0,227.67,0,0,18.19,79.51,81.55,0,11.48,14.99,5.35,0,100.21,79.67,0,13.64,0.8,0,26.95,12.77,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

40,09:45-10:00,18.07,0,0,0,101.33,27.08,29.59,36.06,235.16,12.64,0,0,24.2,95.92,2.25,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,101.37,103.75,44.42,0,0,227.67,0,0,18.19,79.51,81.55,0,11.48,15,5.35,0,100.21,79.67,0,13.64,0.8,0,26.95,12.77,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

41,10:00-10:15,18.07,0,0,0,101.33,27.08,29.59,36.06,235.16,12.64,0,0,24.16,75.42,0.62,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,92.61,91.18,29.02,0,0,227.67,0,0,18.19,66.07,81.63,0,11.48,9.43,4.21,0,100.21,79.67,0,13.64,0.8,0,26.95,12.77,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

42,10:15-10:30,18.07,0,0,0,101.33,27.08,29.59,36.06,235.16,12.64,0,0,24.16,68.11,0,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,92.61,91.18,28.95,0,0,227.67,0,0,18.19,66.07,81.63,0,11.48,9.43,4.21,0,0,79.67,0,13.64,0.8,0,26.95,12.77,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

43,10:30-10:45,17.13,0,0,0,101.33,27.08,29.59,36.06,235.16,12.64,0,0,24.16,68.11,0,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,92.61,91.18,28.88,0,0,249.36,0,0,18.19,66.07,81.63,0,11.48,15.07,4.21,0,0,39.83,0,13.64,0.8,0,26.95,8.51,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

44,10:45-11:00,16.47,0,0,0,101.33,27.08,29.59,36.06,235.16,12.64,0,0,24.16,68.11,0,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,92.61,91.18,28.85,0,0,271.04,0,0,18.19,66.07,81.63,0,11.48,15.07,4.21,0,0,0,0,13.64,0.8,0,26.95,8.51,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

45,11:00-11:15,15.93,0,0,0,101.33,27.08,29.59,36.06,235.16,14.12,0,0,24.2,96.88,0,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,126.09,117.41,43.92,0,0,292.72,0,0,18.19,66.07,94.25,0,11.48,9.52,5.35,0,0,0,0,13.64,1.46,0,26.95,8.51,0,35.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

46,11:15-11:30,16.14,0,0,0,101.33,27.08,29.59,36.06,235.16,14.12,0,0,24.2,96.88,0,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,126.09,117.41,43.91,0,0,292.72,0,0,18.19,66.07,94.25,0,11.48,9.52,5.35,0,0,0,0,13.64,1.46,0,26.95,12.77,0,35.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

47,11:30-11:45,18.07,0,0,15.14,101.33,27.08,30.68,36.06,235.16,14.12,0,0,24.2,96.88,0,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,126.09,117.41,43.89,0,0,292.72,0,0,18.19,67.19,94.25,0,11.48,15.21,5.35,0,0,0,0,13.64,1.46,0,26.95,12.77,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

48,11:45-12:00,18.07,0,0,15.14,101.33,27.08,30.68,36.06,235.16,14.12,0,0,24.2,96.88,0,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,126.09,117.41,43.86,0,0,292.72,0,0,18.19,67.19,94.25,0,11.48,15.21,5.35,0,0,0,0,13.64,1.46,0,26.95,12.77,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

49,12:00-12:15,18.07,0,0,15.14,101.33,27.08,30.68,36.06,235.16,14.12,0,0,24.2,96.88,0,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,126.09,117.41,43.86,0,0,292.72,0,0,18.19,67.19,94.25,0,11.48,15.21,5.35,0,0,0,0,13.64,1.46,0,26.95,12.77,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

50,12:15-12:30,18.07,0,0,15.14,101.33,27.08,30.68,36.06,235.16,14.12,0,0,24.2,96.88,0,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,126.09,117.41,43.85,0,0,292.72,0,0,18.19,67.19,94.25,0,11.48,15.25,5.35,0,0,0,0,13.64,1.46,0,26.95,12.77,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

51,12:30-12:45,18.07,0,0,15.14,101.33,27.08,30.68,36.06,235.16,14.12,0,0,24.2,96.88,0,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,126.09,117.41,43.85,0,0,314.41,0,0,18.19,67.19,94.25,0,0,20.52,5.35,0,0,0,0,13.64,1.46,0,26.95,12.77,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

52,12:45-13:00,18.07,0,0,15.14,101.33,27.08,30.68,36.06,235.16,14.12,0,0,24.2,96.88,0,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,126.09,117.41,43.85,0,0,325.25,0,0,18.19,67.19,94.25,0,0,20.4,5.35,0,0,0,0,13.64,1.46,0,26.95,12.77,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

53,13:00-13:15,18.07,0,0,15.14,101.33,27.08,30.68,36.06,235.16,14.12,0,0,24.2,96.88,0,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,118.55,108.14,40.69,0,0,336.09,0,0,18.19,67.19,94.25,0,0,20.17,5.35,0,0,0,0,13.64,1.46,0,26.95,17.03,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

54,13:15-13:30,18.07,0,0,15.14,101.33,27.08,30.68,36.06,235.16,14.12,0,0,24.2,96.88,0,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,118.55,108.14,40.87,0,0,346.93,0,0,18.19,67.19,94.25,0,0,19.83,5.35,0,0,0,0,13.64,1.46,0,26.95,17.03,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

