Time,Block,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21173/A/27629,NR/2024/21062/A/27870,NR/2024/21087/A/27630,NR/2024/21113/A/27894,NR/2024/21339/A/27597,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/01072024/31072024/R2,NR/2024/21141/A/27766,NR/2024/21655/C,NR/2024/21679/C,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21683/C,NR/2024/21160/A/27641,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/20711/A/27941,NR/2024/21103/A/28015,NR/2024/21023/A/27611,NR/2024/21152/A/27559,NR/2024/21651/C,NR/2024/21158/A/27642,NR/2024/21227/A/27879,NR/2024/20931/A/27821,NR/16072024/31072024/NR/16072024/31072024/717758,NR/01102023/23072042/L_NR_2012_04,NR/2024/21688/C,NR/2024/20966/A/27560,NR/2024/21076/A/27909,NR/2024/21567/A/27893,NR/2024/21686/C,NR/2024/21099/A/27600,NR/19072024/19072024/HPX-TAMCTG-180724-01742,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21150/A/27636,NR/2024/21108/A/27878,NR/2024/21072/A/27896,NR/2024/21144/A/27786,NR/2024/21186/A/27905,NR/2024/21146/A/27637,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/21142/A/27599,NR/2024/21496/A/27882,NR/2024/21654/C,NR/19072024/19072024/HPX-TAMCTG-180724-01739,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/2024/21153/A/27638,NR/2024/21183/A/27910,NR/30092023/26122029/SH-06,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21159/A/27634,NR/2024/21148/A/27635,NR/2024/21238/A/27916,NR/2024/21210/A/27598,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/19072024/19072024/IEX-240718-01592,NR/2024/20573/A/27845,NR/2024/21075/A/27913,NR/2024/20688/A/27631,NR/2024/20574/A/27849,NR/2024/21089/A/27895,NR/2024/21096/A/27883,NR/2024/19779/A/27590,NR/2024/21671/C,NR/30092023/31122025/SH-07,NR/2024/21500/A/27480,NR/2024/21199/A/27610,NR/2024/21156/A/27640,Total

5,01:00-01:15,15.080000,24.010000,0.000000,24.010000,37.100000,0.000000,96.040000,24.010000,47.500000,163.510000,20.650000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,0.000000,1.920000,240.100000,0.670000,12.150000,0.000000,48.020000,0.000000,1.920000,4.800000,90.280000,6.130000,0.000000,24.010000,32.650000,14.480000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,96.040000,48.020000,27.400000,0,60.890000,38.420000,1.580000,21.130000,32.000000,0.000000,0.870000,0.520000,2.880000,48.020000,72.030000,52.440000,18.010000,11.670000,66.450000,6.000000,37.100000,67.230000,0.580000,76.830000,32.000000,7.680000,0.000000,0.610000,2037.24

6,01:15-01:30,15.080000,24.010000,0.000000,24.010000,37.100000,0.000000,96.040000,24.010000,47.500000,163.510000,20.650000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,0.000000,1.920000,240.100000,0.670000,12.150000,0.000000,48.020000,0.000000,1.920000,4.800000,90.280000,6.130000,0.000000,24.010000,32.650000,14.480000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,96.040000,48.020000,27.760000,0,61.660000,38.420000,1.580000,21.130000,32.000000,0.000000,0.870000,0.520000,2.880000,48.020000,72.030000,51.860000,18.010000,11.670000,66.450000,6.000000,37.100000,67.230000,0.580000,76.830000,32.000000,7.680000,0.000000,0.610000,2037.79

7,01:30-01:45,15.080000,24.010000,0.000000,24.010000,37.100000,0.000000,96.040000,24.010000,47.500000,163.510000,20.650000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,0.000000,1.920000,240.100000,0.670000,12.150000,0.000000,48.020000,0.000000,2.880000,4.800000,90.280000,6.130000,0.000000,24.010000,32.650000,14.480000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,96.040000,48.020000,28.670000,0,60.790000,38.420000,1.580000,21.130000,32.000000,0.000000,0.870000,0.520000,2.880000,48.020000,72.030000,51.290000,18.010000,11.670000,66.450000,6.000000,37.100000,67.230000,0.580000,76.830000,32.000000,6.720000,0.000000,0.610000,2037.26

8,01:45-02:00,15.080000,24.010000,0.000000,24.010000,37.100000,0.000000,96.040000,24.010000,47.500000,163.510000,20.650000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,0.000000,1.920000,240.100000,0.670000,12.150000,0.000000,48.020000,0.000000,2.880000,4.800000,90.280000,6.130000,0.000000,24.010000,32.650000,14.480000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,96.040000,48.020000,29.100000,0,61.470000,38.420000,1.580000,21.130000,32.000000,0.000000,0.870000,0.520000,2.880000,48.020000,72.030000,50.810000,18.010000,11.670000,66.450000,6.000000,37.100000,67.230000,0.580000,76.830000,32.000000,6.720000,0.000000,0.610000,2037.89

9,02:00-02:15,15.080000,24.010000,0.000000,24.010000,37.100000,0.000000,96.040000,24.010000,47.500000,163.510000,20.650000,0.000000,42.450000,0.970000,12.370000,96.040000,83.730000,0.000000,1.920000,240.100000,0.670000,0.000000,0.000000,48.020000,0.000000,2.880000,4.800000,90.280000,6.130000,0.000000,24.010000,32.650000,14.480000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,96.040000,48.020000,16.190000,0,60.510000,38.420000,1.580000,21.130000,32.000000,0.000000,0.870000,0.520000,2.880000,48.020000,72.030000,50.130000,18.010000,11.670000,66.450000,6.000000,37.100000,67.230000,0.580000,76.830000,32.000000,6.720000,0.000000,0.610000,2053.64

10,02:15-02:30,15.080000,24.010000,0.000000,24.010000,37.100000,0.000000,96.040000,24.010000,47.500000,163.510000,20.650000,0.000000,42.260000,0.970000,12.370000,96.040000,83.730000,0.000000,1.920000,240.100000,0.670000,0.000000,0.000000,48.020000,0.000000,2.880000,4.800000,90.280000,6.130000,0.000000,24.010000,32.650000,14.480000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,96.040000,48.020000,12.770000,0,61.470000,38.420000,1.580000,21.130000,32.000000,0.000000,0.870000,0.520000,2.880000,48.020000,72.030000,49.560000,18.010000,11.670000,66.450000,6.000000,37.100000,67.230000,0.580000,76.830000,32.000000,6.720000,0.000000,0.610000,2050.42

11,02:30-02:45,15.080000,24.010000,0.000000,24.010000,37.100000,0.000000,96.040000,24.010000,47.500000,163.510000,20.650000,0.000000,42.160000,0.970000,12.370000,96.040000,83.730000,0.000000,1.920000,240.100000,0.670000,0.000000,0.000000,48.020000,0.000000,3.840000,4.800000,90.280000,6.130000,0.000000,24.010000,32.650000,14.480000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,96.040000,48.020000,11.910000,0,61.180000,38.420000,1.580000,21.130000,32.000000,0.000000,0.870000,0.520000,2.880000,48.020000,72.030000,48.880000,18.010000,11.670000,66.450000,6.000000,37.100000,67.230000,0.580000,76.830000,0.000000,5.760000,0.000000,0.610000,2016.49

12,02:45-03:00,15.080000,24.010000,0.000000,24.010000,37.100000,0.000000,96.040000,24.010000,47.500000,163.510000,20.650000,0.000000,42.160000,0.970000,12.370000,96.040000,83.730000,0.000000,1.920000,240.100000,0.670000,0.000000,0.000000,48.020000,0.000000,3.840000,4.800000,90.280000,6.130000,0.000000,24.010000,32.650000,14.480000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,96.040000,48.020000,11.740000,0,60.890000,38.420000,1.580000,21.130000,32.000000,0.000000,0.870000,0.520000,2.880000,48.020000,72.030000,48.880000,18.010000,11.670000,66.450000,6.000000,37.100000,67.230000,0.580000,76.830000,0.000000,5.760000,0.000000,0.610000,2016.03

13,03:00-03:15,15.080000,24.010000,0.000000,24.010000,37.100000,0.000000,96.040000,24.010000,0.000000,163.510000,20.650000,0.000000,42.070000,0.970000,12.370000,96.040000,83.730000,0.000000,1.920000,240.100000,0.670000,0.000000,0.000000,48.020000,0.000000,2.880000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,14.030000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,96.040000,48.020000,13.660000,0,60.700000,0.000000,1.580000,21.130000,32.000000,0.000000,0.870000,0.520000,2.880000,48.020000,72.030000,48.880000,18.010000,11.670000,66.450000,6.000000,37.100000,67.230000,0.530000,76.830000,0.000000,5.760000,0.000000,0.610000,1897.64

14,03:15-03:30,15.080000,24.010000,0.000000,24.010000,37.100000,0.000000,96.040000,24.010000,0.000000,163.510000,20.650000,0.000000,41.010000,0.970000,12.370000,96.040000,83.730000,0.000000,1.920000,240.100000,0.670000,0.000000,0.000000,48.020000,0.000000,2.880000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,14.030000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,96.040000,48.020000,13.660000,0,60.410000,0.000000,1.580000,21.130000,32.000000,0.000000,0.870000,0.520000,2.880000,48.020000,72.030000,48.690000,18.010000,11.670000,66.450000,6.000000,37.100000,67.230000,0.530000,76.830000,0.000000,5.760000,0.000000,0.610000,1896.1

15,03:30-03:45,15.080000,24.010000,0.000000,24.010000,37.100000,0.000000,96.040000,24.010000,0.000000,163.510000,20.650000,0.000000,39.950000,0.970000,12.370000,96.040000,83.730000,0.000000,1.920000,240.100000,0.670000,0.000000,0.000000,48.020000,0.000000,2.880000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,14.030000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,96.040000,48.020000,13.280000,0,60.310000,0.000000,1.580000,21.130000,32.000000,0.000000,0.870000,0.520000,2.880000,48.020000,72.030000,48.600000,18.010000,11.670000,66.450000,6.000000,37.100000,67.230000,0.530000,76.830000,32.000000,5.760000,0.000000,0.610000,1926.47

16,03:45-04:00,15.080000,24.010000,0.000000,24.010000,37.100000,0.000000,96.040000,24.010000,0.000000,163.510000,20.650000,0.000000,38.900000,0.970000,12.370000,96.040000,83.730000,0.000000,1.920000,240.100000,0.670000,0.000000,0.000000,48.020000,0.000000,1.920000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,14.030000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,96.040000,48.020000,12.710000,0,61.180000,0.000000,1.580000,21.130000,32.000000,0.000000,0.870000,0.520000,2.880000,48.020000,72.030000,48.500000,18.010000,11.670000,66.450000,6.000000,37.100000,67.230000,0.530000,76.830000,32.000000,6.720000,0.000000,0.610000,1925.62

17,04:00-04:15,15.080000,24.010000,0.000000,24.010000,37.100000,0.000000,96.040000,24.010000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,0.000000,1.920000,240.100000,0.670000,0.000000,0.000000,48.020000,0.000000,1.920000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,14.030000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,96.040000,48.020000,8.200000,0,0.000000,0.000000,1.580000,21.130000,32.000000,0.000000,0.870000,0.520000,2.880000,48.020000,72.030000,0.000000,18.010000,11.670000,66.450000,6.000000,37.100000,67.230000,0.530000,0.000000,0.000000,6.720000,0.000000,0.610000,1643.05

18,04:15-04:30,15.080000,24.010000,0.000000,24.010000,37.100000,0.000000,96.040000,24.010000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,0.000000,1.920000,240.100000,0.670000,0.000000,0.000000,48.020000,0.000000,1.920000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,14.030000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,96.040000,48.020000,3.120000,0,0.000000,0.000000,1.580000,21.130000,32.000000,0.000000,0.870000,0.520000,2.880000,48.020000,72.030000,0.000000,18.010000,11.670000,66.450000,6.000000,37.100000,67.230000,0.530000,0.000000,0.000000,6.720000,0.000000,0.610000,1637.97

19,04:30-04:45,15.080000,24.010000,0.000000,24.010000,37.100000,0.000000,96.040000,24.010000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,0.000000,1.920000,240.100000,0.670000,0.000000,0.000000,48.020000,0.000000,0.960000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,14.030000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,96.040000,48.020000,1.830000,0,0.000000,0.000000,1.580000,21.130000,32.000000,0.000000,0.870000,0.520000,2.880000,48.020000,72.030000,0.000000,18.010000,11.670000,66.450000,6.000000,37.100000,67.230000,0.530000,0.000000,0.000000,6.720000,0.000000,0.610000,1635.72

20,04:45-05:00,15.080000,24.010000,0.000000,24.010000,37.100000,0.000000,96.040000,24.010000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,0.000000,1.920000,240.100000,0.670000,0.000000,0.000000,48.020000,0.000000,0.960000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,14.030000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,96.040000,48.020000,0.000000,0,0.000000,0.000000,1.580000,21.130000,32.000000,0.000000,0.870000,0.520000,2.880000,48.020000,72.030000,0.000000,18.010000,11.670000,66.450000,6.000000,37.100000,67.230000,0.530000,0.000000,0.000000,6.720000,0.000000,0.610000,1633.89

21,05:00-05:15,15.080000,24.010000,0.000000,24.010000,37.100000,0.000000,96.040000,24.010000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,0.000000,1.920000,240.100000,0.670000,0.000000,0.000000,48.020000,0.000000,0.960000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,13.570000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,96.040000,48.020000,0.000000,0,0.000000,0.000000,1.580000,21.130000,32.000000,0.000000,0.870000,0.520000,2.880000,48.020000,72.030000,0.000000,18.010000,11.670000,66.450000,6.000000,37.100000,24.010000,0.530000,0.000000,14.950000,6.720000,0.000000,0.610000,1605.16

22,05:15-05:30,15.080000,24.010000,0.000000,24.010000,37.100000,0.000000,96.040000,24.010000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,0.000000,1.920000,240.100000,0.670000,0.000000,0.000000,48.020000,0.000000,0.960000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,13.570000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,96.040000,48.020000,0.000000,0,0.000000,0.000000,1.580000,21.130000,32.000000,0.000000,0.870000,0.520000,2.880000,48.020000,72.030000,0.000000,18.010000,11.670000,66.450000,6.000000,37.100000,24.010000,0.530000,0.000000,14.950000,6.720000,0.000000,0.610000,1605.16

23,05:30-05:45,15.080000,24.010000,0.000000,24.010000,37.100000,0.000000,96.040000,24.010000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,0.000000,1.920000,240.100000,0.670000,0.000000,0.000000,48.020000,0.000000,1.920000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,13.570000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,96.040000,48.020000,0.000000,0,0.000000,0.000000,1.580000,21.130000,32.000000,0.000000,0.870000,0.520000,2.880000,48.020000,72.030000,0.000000,18.010000,11.670000,66.450000,6.000000,37.100000,24.010000,0.530000,0.000000,14.950000,5.760000,0.000000,0.610000,1605.16

24,05:45-06:00,15.080000,24.010000,0.000000,24.010000,37.100000,0.000000,96.040000,24.010000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,0.000000,1.920000,240.100000,0.670000,0.000000,0.000000,48.020000,0.000000,1.920000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,13.570000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,96.040000,48.020000,0.000000,0,0.000000,0.000000,1.580000,21.130000,32.000000,0.000000,0.870000,0.520000,2.880000,48.020000,72.030000,0.000000,18.010000,11.670000,66.450000,6.000000,37.100000,24.010000,0.530000,0.000000,14.950000,5.760000,0.000000,0.610000,1605.16

25,06:00-06:15,15.080000,24.010000,0.000000,24.010000,37.100000,0.000000,96.040000,24.010000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,0.000000,1.920000,240.100000,0.670000,0.000000,0.000000,48.020000,0.000000,1.920000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,13.570000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,96.040000,48.020000,11.200000,0,0.000000,0.000000,1.580000,21.130000,32.000000,0.000000,0.870000,0.520000,2.880000,48.020000,72.030000,0.000000,0.000000,11.670000,66.450000,0.000000,37.100000,24.010000,0.670000,0.000000,14.950000,5.760000,0.000000,0.610000,1592.49

26,06:15-06:30,15.080000,24.010000,0.000000,24.010000,37.100000,0.000000,96.040000,24.010000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,0.000000,1.920000,240.100000,0.670000,0.000000,0.000000,48.020000,0.000000,1.920000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,13.570000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,96.040000,48.020000,7.320000,0,0.000000,0.000000,1.580000,21.130000,32.000000,0.000000,0.870000,0.520000,2.880000,48.020000,72.030000,0.000000,0.000000,11.670000,66.450000,0.000000,37.100000,24.010000,0.670000,0.000000,14.950000,5.760000,0.000000,0.610000,1588.61

