Time,Block,NR/2023/10488/A,NR/2023/13844/D,NR/2023/13053/F,NR/2023/12661/A,NR/2023/13847/D,NR/2023/10561/A,NR/2023/10436/A,NR/2023/12923/F,NR/2023/13861/C,NR/2023/13872/C,NR/2023/12706/A,NR/2023/10956/A,NR/2023/13871/C,NR/2023/10650/A,NR/2023/10432/A,NR/2023/11709/A,ER/2023/8541/C,NR/2023/12924/F,NR/2023/12916/F,NR/2023/12922/F,NR/2023/10705/A,WR/2023/16419/C,NR/2023/11068/A,NR/2023/13053/F/II,NR/2023/12813/F,NR/2023/11507/A,NR/2023/13870/C,NR/2023/12915/F,NR/2023/12169/A,NR/2023/10435/A,NR/2023/13854/D,NR/2023/13369/F,NR/2023/10720/A,NR/2023/10959/A,NR/2023/12919/F,NR/2023/12917/F,NR/2023/10460/A,NR/2023/13845/D,NR/2023/13860/C,NR/2023/10651/A,NR/2023/13843/D,NR/2023/12920/F,NR/2023/11953/A,NR/2023/13855/D,NR/2023/10786/A,NR/2023/11266/A,NR/2023/12872/F,NR/2023/13679/F,NR/2023/11712/A,NR/2023/10947/A,NR/2023/12921/F,NR/2023/12814/F,Total

3,00:30-00:45,48.410000,0.000000,12.070000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,83.270000,43.570000,23.180000,0.000000,0.610000,0.520000,1.020000,232.470000,0.000000,48.410000,12.130000,62.930000,255.520000,19.170000,0.370000,54.220000,24.200000,0,0.000000,23.720000,21.280000,0.820000,0.920000,23.240000,147.910000,34.650000,63.180000,0,0.930000,36.530000,0,98.760000,63.630000,0.480000,4.840000,64.390000,23.240000,0.930000,85.690000,1854.99

4,00:45-01:00,48.410000,0.000000,12.070000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,83.270000,43.570000,23.180000,0.000000,0.610000,0.520000,1.020000,232.470000,0.000000,48.410000,12.130000,62.930000,255.520000,19.170000,0.370000,54.220000,24.200000,0,0.000000,23.720000,21.280000,0.820000,0.920000,23.240000,147.910000,34.650000,63.180000,0,0.930000,36.530000,0,98.760000,63.630000,0.480000,4.840000,64.390000,23.240000,0.930000,85.690000,1854.99

5,01:00-01:15,48.410000,0.000000,7.350000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,83.270000,43.570000,23.180000,0.000000,0.610000,0.520000,1.020000,232.470000,0.000000,48.410000,16.860000,62.930000,255.520000,19.170000,0.370000,54.220000,24.200000,0,0.000000,23.720000,21.280000,0.820000,0.920000,23.240000,147.910000,34.650000,63.180000,0,0.930000,36.530000,0,98.760000,63.630000,0.530000,4.840000,64.390000,23.240000,0.930000,85.690000,1855.05

6,01:15-01:30,48.410000,0.000000,7.350000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,83.270000,43.570000,23.180000,0.000000,0.610000,0.520000,1.020000,232.470000,0.000000,48.410000,16.860000,62.930000,255.520000,19.170000,0.370000,54.220000,24.200000,0,0.000000,23.720000,21.280000,0.820000,0.920000,23.240000,147.910000,34.650000,63.180000,0,0.930000,36.530000,0,98.760000,63.630000,0.530000,4.840000,64.390000,23.240000,0.930000,85.690000,1855.05

7,01:30-01:45,48.410000,0.000000,7.350000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,83.270000,43.570000,23.180000,0.000000,0.610000,0.520000,1.020000,232.470000,0.000000,48.410000,16.860000,62.930000,255.520000,19.170000,0.370000,54.220000,24.200000,0,0.000000,23.720000,21.280000,0.820000,0.920000,23.240000,147.910000,34.650000,63.180000,0,0.930000,36.530000,0,98.760000,63.630000,0.530000,4.840000,64.390000,23.240000,0.930000,85.690000,1855.05

8,01:45-02:00,48.410000,0.000000,7.350000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,83.270000,43.570000,23.180000,0.000000,0.610000,0.520000,1.020000,232.470000,0.000000,48.410000,16.860000,62.930000,255.520000,19.170000,0.370000,54.220000,24.200000,0,0.000000,23.720000,21.280000,0.820000,0.920000,23.240000,147.910000,34.650000,63.180000,0,0.930000,36.530000,0,98.760000,63.630000,0.530000,4.840000,64.390000,23.240000,0.930000,85.690000,1855.05

9,02:00-02:15,48.410000,0.000000,7.090000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,83.270000,43.570000,23.180000,0.000000,0.610000,0.520000,1.020000,232.470000,50.000000,48.410000,17.120000,62.930000,255.520000,19.170000,0.370000,54.220000,24.200000,0,0.000000,23.720000,21.280000,0.820000,0.920000,23.240000,147.910000,34.650000,63.180000,0,0.930000,36.530000,0,98.760000,63.630000,0.480000,4.840000,64.390000,23.240000,0.930000,85.690000,1905

10,02:15-02:30,48.410000,0.000000,7.090000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,83.270000,43.570000,23.180000,0.000000,0.610000,0.520000,1.020000,232.470000,50.000000,48.410000,17.120000,62.930000,255.520000,19.170000,0.370000,54.220000,24.200000,0,0.000000,23.720000,21.280000,0.820000,0.920000,23.240000,147.910000,34.650000,63.180000,0,0.930000,36.530000,0,98.760000,63.630000,0.480000,4.840000,64.390000,23.240000,0.930000,85.690000,1905

11,02:30-02:45,48.410000,0.000000,7.090000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,83.270000,43.570000,23.180000,0.000000,0.610000,0.520000,1.020000,232.470000,50.000000,48.410000,17.120000,62.930000,255.520000,19.170000,0.370000,54.220000,24.200000,0,0.000000,23.720000,21.280000,0.820000,0.920000,23.240000,147.910000,34.650000,63.180000,0,0.930000,36.530000,0,98.760000,63.630000,0.480000,4.840000,64.390000,23.240000,0.930000,85.690000,1905

12,02:45-03:00,48.410000,0.000000,7.090000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,83.270000,43.570000,23.180000,0.000000,0.610000,0.520000,1.020000,232.470000,50.000000,48.410000,17.120000,62.930000,255.520000,19.170000,0.370000,54.220000,24.200000,0,0.000000,23.720000,21.280000,0.820000,0.920000,23.240000,147.910000,34.650000,63.180000,0,0.930000,36.530000,0,98.760000,63.630000,0.480000,4.840000,64.390000,23.240000,0.930000,85.690000,1905

13,03:00-03:15,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,48.410000,43.570000,0.000000,0.000000,0.610000,0.520000,1.020000,232.470000,50.000000,48.410000,0.000000,62.930000,255.520000,19.170000,0.370000,54.220000,24.200000,0,0.000000,23.720000,21.280000,0.820000,0.920000,23.240000,147.910000,34.650000,63.180000,0,0.930000,0.000000,0,98.760000,63.630000,0.440000,4.840000,64.390000,23.240000,0.930000,85.690000,1810.38

14,03:15-03:30,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,48.410000,43.570000,0.000000,0.000000,0.610000,0.520000,1.020000,232.470000,50.000000,48.410000,0.000000,62.930000,255.520000,19.170000,0.370000,54.220000,24.200000,0,0.000000,23.720000,21.280000,0.820000,0.920000,23.240000,147.910000,34.650000,63.180000,0,0.930000,0.000000,0,98.760000,63.630000,0.440000,4.840000,64.390000,23.240000,0.930000,85.690000,1810.38

15,03:30-03:45,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,48.410000,43.570000,0.000000,0.000000,0.610000,0.520000,1.020000,232.470000,50.000000,48.410000,0.000000,62.930000,255.520000,19.170000,0.370000,54.220000,24.200000,0,0.000000,23.720000,21.280000,0.820000,0.920000,23.240000,147.910000,34.650000,63.180000,0,0.930000,0.000000,0,98.760000,63.630000,0.440000,4.840000,64.390000,23.240000,0.930000,85.690000,1810.38

16,03:45-04:00,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,48.410000,43.570000,0.000000,0.000000,0.610000,0.520000,1.020000,232.470000,50.000000,48.410000,0.000000,62.930000,255.520000,19.170000,0.370000,54.220000,24.200000,0,0.000000,23.720000,21.280000,0.820000,0.920000,23.240000,147.910000,34.650000,63.180000,0,0.930000,0.000000,0,98.760000,63.630000,0.440000,4.840000,64.390000,23.240000,0.930000,85.690000,1810.38

17,04:00-04:15,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,48.410000,43.570000,0.000000,0.000000,0.610000,0.520000,1.020000,232.470000,50.000000,48.410000,0.000000,62.930000,255.520000,19.040000,0.370000,54.220000,24.200000,0,0.000000,23.720000,21.280000,0.820000,0.920000,23.240000,147.910000,34.650000,63.180000,0,0.930000,0.000000,0,98.760000,63.630000,0.440000,4.840000,64.390000,23.240000,0.930000,85.690000,1810.25

18,04:15-04:30,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,48.410000,43.570000,0.000000,0.000000,0.610000,0.520000,1.020000,232.470000,50.000000,48.410000,0.000000,62.930000,255.520000,19.040000,0.370000,54.220000,24.200000,0,0.000000,23.720000,21.280000,0.820000,0.920000,23.240000,147.910000,34.650000,63.180000,0,0.930000,0.000000,0,98.760000,63.630000,0.440000,4.840000,64.390000,23.240000,0.930000,85.690000,1810.25

19,04:30-04:45,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,48.410000,43.570000,0.000000,0.000000,0.610000,0.520000,1.020000,232.470000,50.000000,48.410000,0.000000,62.930000,255.520000,19.040000,0.370000,54.220000,24.200000,0,0.000000,23.720000,21.280000,0.820000,0.920000,23.240000,147.910000,34.650000,63.180000,0,0.930000,0.000000,0,98.760000,63.630000,0.440000,4.840000,64.390000,23.240000,0.930000,85.690000,1810.25

20,04:45-05:00,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,48.410000,43.570000,0.000000,0.000000,0.610000,0.520000,1.020000,232.470000,50.000000,48.410000,0.000000,62.930000,255.520000,19.040000,0.370000,54.220000,24.200000,0,0.000000,23.720000,21.280000,0.820000,0.920000,23.240000,147.910000,34.650000,63.180000,0,0.930000,0.000000,0,98.760000,63.630000,0.440000,4.840000,64.390000,23.240000,0.930000,85.690000,1810.25

21,05:00-05:15,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,48.410000,43.570000,0.000000,0.000000,0.610000,0.520000,1.020000,232.470000,0.000000,48.410000,0.000000,62.930000,255.520000,18.860000,0.370000,54.220000,24.200000,0,0.000000,23.720000,21.280000,0.820000,0.920000,23.240000,147.910000,33.640000,63.180000,0,0.930000,0.000000,0,0.000000,63.630000,0.480000,4.840000,64.390000,23.240000,0.930000,85.690000,1660.34

22,05:15-05:30,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,48.410000,43.570000,0.000000,0.000000,0.610000,0.520000,1.020000,232.470000,0.000000,48.410000,0.000000,62.930000,255.520000,18.860000,0.370000,54.220000,24.200000,0,0.000000,23.720000,21.280000,0.820000,0.920000,23.240000,147.910000,33.640000,63.180000,0,0.930000,0.000000,0,0.000000,63.630000,0.480000,4.840000,64.390000,23.240000,0.930000,85.690000,1660.34

23,05:30-05:45,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,48.410000,43.570000,0.000000,0.000000,0.610000,0.520000,1.020000,232.470000,0.000000,48.410000,0.000000,62.930000,255.520000,18.860000,0.370000,54.220000,24.200000,0,0.000000,23.720000,21.280000,0.820000,0.920000,23.240000,147.910000,33.640000,63.180000,0,0.930000,0.000000,0,0.000000,63.630000,0.480000,4.840000,64.390000,23.240000,0.930000,85.690000,1660.34

24,05:45-06:00,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,48.410000,43.570000,0.000000,0.000000,0.610000,0.520000,1.020000,232.470000,0.000000,48.410000,0.000000,62.930000,255.520000,18.860000,0.370000,54.220000,24.200000,0,0.000000,23.720000,21.280000,0.820000,0.920000,23.240000,147.910000,33.640000,63.180000,0,0.930000,0.000000,0,0.000000,63.630000,0.480000,4.840000,64.390000,23.240000,0.930000,85.690000,1660.34

25,06:00-06:15,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,7.750000,43.570000,0.000000,0.000000,0.610000,0.520000,1.020000,15.810000,0.000000,48.410000,0.000000,62.930000,255.520000,18.480000,0.370000,0.000000,24.200000,1.4,0.000000,23.720000,21.280000,0.820000,0.920000,23.240000,147.910000,33.640000,63.180000,0,0.930000,0.000000,0.6,0.000000,63.630000,0.530000,4.840000,64.390000,0.000000,0.930000,85.690000,1327.23

26,06:15-06:30,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,7.750000,43.570000,0.000000,0.000000,0.610000,0.520000,1.020000,15.810000,0.000000,48.410000,0.000000,62.930000,255.520000,18.480000,0.370000,0.000000,24.200000,6.18,0.000000,23.720000,21.280000,0.820000,0.920000,23.240000,147.910000,33.640000,63.180000,0,0.930000,0.000000,2.65,0.000000,63.630000,0.530000,4.840000,64.390000,0.000000,0.930000,85.690000,1334.06

27,06:30-06:45,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,7.750000,43.570000,0.000000,0.000000,0.610000,0.520000,1.020000,15.810000,0.000000,48.410000,0.000000,62.930000,255.520000,18.480000,0.370000,0.000000,24.200000,10.62,0.000000,23.720000,21.280000,0.820000,0.920000,23.240000,147.910000,33.640000,63.180000,0,0.930000,0.000000,4.55,0.000000,63.630000,0.530000,4.840000,64.390000,0.000000,0.930000,85.690000,1340.4

28,06:45-07:00,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,7.750000,43.570000,0.000000,50.000000,0.610000,0.520000,1.020000,15.810000,0.000000,48.410000,0.000000,62.930000,255.520000,18.480000,0.370000,0.000000,24.200000,16.72,0.000000,23.720000,21.280000,0.820000,0.920000,23.240000,147.910000,33.640000,63.180000,0.19,0.930000,0.000000,7.17,0.000000,63.630000,0.530000,4.840000,64.390000,0.000000,0.930000,85.690000,1399.31

29,07:00-07:15,48.410000,0.000000,24.200000,62.930000,45.510000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,7.750000,43.570000,0.000000,50.000000,0.610000,0.520000,1.020000,15.810000,0.000000,48.410000,0.000000,62.930000,255.520000,18.300000,0.370000,0.000000,24.200000,23.63,0.000000,23.720000,21.280000,0.820000,0.920000,23.240000,147.910000,32.620000,63.180000,0.39,0.930000,0.000000,10.12,0.000000,63.630000,0.680000,4.840000,64.390000,0.000000,0.930000,85.690000,1453.83

30,07:15-07:30,48.410000,0.000000,24.200000,62.930000,45.510000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,7.750000,43.570000,0.000000,50.000000,0.610000,0.520000,1.020000,15.810000,0.000000,48.410000,0.000000,62.930000,255.520000,18.300000,0.370000,0.000000,24.200000,28,0.000000,23.720000,21.280000,0.820000,0.920000,23.240000,147.910000,32.620000,63.180000,0.61,0.930000,0.000000,12,0.000000,63.630000,0.680000,4.840000,64.390000,0.000000,0.930000,85.690000,1460.3

31,07:30-07:45,48.410000,0.000000,24.200000,62.930000,45.510000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,7.750000,43.570000,0.000000,50.000000,0.610000,0.520000,1.020000,15.810000,0.000000,48.410000,0.000000,62.930000,255.520000,18.300000,0.370000,0.000000,24.200000,35,0.000000,23.720000,21.280000,0.820000,0.920000,23.240000,147.910000,32.620000,63.180000,1.13,0.930000,0.000000,15,0.000000,63.630000,0.680000,4.840000,64.390000,0.000000,0.930000,85.690000,1470.82

32,07:45:08:00,48.410000,0.000000,24.200000,62.930000,45.510000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,7.750000,43.570000,0.000000,50.000000,0.610000,0.520000,1.020000,15.810000,0.000000,48.410000,0.000000,62.930000,255.520000,18.300000,0.370000,0.000000,24.200000,50.4,0.000000,23.720000,21.280000,0.820000,0.920000,23.240000,147.910000,32.620000,63.180000,1.16,0.930000,0.000000,21.6,0.000000,63.630000,0.680000,4.840000,64.390000,0.000000,0.930000,85.690000,1492.85

33,08:00-08:15,48.410000,24.200000,24.200000,62.930000,45.510000,48.410000,24.200000,0.610000,9.680000,30.000000,6.780000,85.170000,0.000000,7.750000,43.570000,0.000000,100.000000,0.610000,0.520000,1.020000,15.810000,50.000000,48.410000,0.000000,62.930000,255.520000,18.300000,0.370000,0.000000,24.200000,59.5,0.000000,23.720000,21.280000,0.970000,0.920000,23.240000,147.910000,32.620000,63.180000,1.74,0.980000,0.000000,25.5,0.000000,63.630000,0.970000,4.840000,64.390000,0.000000,0.980000,85.690000,1661.17

34,08:15-08:30,48.410000,24.200000,24.200000,62.930000,45.510000,48.410000,24.200000,0.610000,9.680000,30.000000,6.780000,85.170000,0.000000,7.750000,43.570000,0.000000,100.000000,0.610000,0.520000,1.020000,15.810000,50.000000,48.410000,0.000000,62.930000,255.520000,18.300000,0.370000,0.000000,24.200000,70,0.000000,23.720000,21.280000,0.970000,0.920000,23.240000,147.910000,32.620000,63.180000,2.03,0.980000,0.000000,30,0.000000,63.630000,0.970000,4.840000,64.390000,0.000000,0.980000,85.690000,1676.46

35,08:30-08:45,48.410000,24.200000,24.200000,62.930000,45.510000,48.410000,24.200000,0.610000,9.680000,30.000000,6.780000,85.170000,0.000000,7.750000,43.570000,0.000000,100.000000,0.610000,0.520000,1.020000,15.810000,50.000000,48.410000,0.000000,62.930000,255.520000,18.300000,0.370000,0.000000,24.200000,89.6,0.000000,23.720000,21.280000,0.970000,0.920000,23.240000,147.910000,32.620000,63.180000,2.42,0.980000,0.000000,38.4,0.000000,63.630000,0.970000,4.840000,64.390000,0.000000,0.980000,85.690000,1704.85

36,08:45:09:00,48.410000,24.200000,24.200000,62.930000,45.510000,48.410000,24.200000,0.610000,9.680000,30.000000,6.780000,85.170000,0.000000,7.750000,43.570000,0.000000,100.000000,0.610000,0.520000,1.020000,15.810000,50.000000,48.410000,0.000000,62.930000,255.520000,18.300000,0.370000,0.000000,24.200000,101.5,0.000000,23.720000,21.280000,0.970000,0.920000,23.240000,147.910000,32.620000,63.180000,2.9,0.980000,0.000000,43.5,0.000000,63.630000,0.970000,4.840000,64.390000,0.000000,0.980000,85.690000,1722.33

37,09:00:09:15,48.410000,24.200000,24.200000,62.930000,45.510000,48.410000,24.200000,0.610000,9.680000,30.000000,6.780000,85.170000,0.000000,7.750000,43.570000,0.000000,100.000000,0.610000,0.520000,1.020000,15.810000,50.000000,48.410000,0.000000,62.930000,255.520000,18.300000,0.370000,0.000000,24.200000,112,24.200000,23.720000,21.280000,0.970000,0.920000,23.240000,147.910000,35.680000,63.180000,3.68,0.980000,0.000000,48,0.000000,63.630000,0.970000,4.840000,64.390000,0.000000,0.980000,85.690000,1765.37

38,09:15-09:30,48.410000,24.200000,24.200000,62.930000,45.510000,48.410000,24.200000,0.610000,9.680000,30.000000,6.780000,85.170000,0.000000,7.750000,43.570000,0.000000,100.000000,0.610000,0.520000,1.020000,15.810000,50.000000,48.410000,0.000000,62.930000,255.520000,18.300000,0.370000,0.000000,24.200000,121.8,24.200000,23.720000,21.280000,0.970000,0.920000,23.240000,147.910000,35.680000,63.180000,3.87,0.980000,0.000000,52.2,0.000000,63.630000,0.970000,4.840000,64.390000,0.000000,0.980000,85.690000,1779.56

39,09:30-09:45,48.410000,24.200000,24.200000,62.930000,45.510000,48.410000,24.200000,0.610000,9.680000,30.000000,6.780000,85.170000,0.000000,7.750000,43.570000,0.000000,100.000000,0.610000,0.520000,1.020000,15.810000,0.000000,48.410000,0.000000,62.930000,255.520000,18.300000,0.370000,0.000000,24.200000,136.5,24.200000,23.720000,21.280000,0.970000,0.920000,23.240000,147.910000,35.680000,63.180000,4.07,0.980000,0.000000,58.5,0.000000,63.630000,0.970000,4.840000,64.390000,0.000000,0.980000,85.690000,1750.76

40,09:45-10:00,48.410000,24.200000,24.200000,62.930000,45.510000,48.410000,24.200000,0.610000,9.680000,30.000000,6.780000,85.170000,0.000000,7.750000,43.570000,0.000000,100.000000,0.610000,0.520000,1.020000,15.810000,0.000000,48.410000,0.000000,62.930000,255.520000,18.300000,0.370000,0.000000,24.200000,140,24.200000,23.720000,21.280000,0.970000,0.920000,23.240000,147.910000,35.680000,63.180000,4.26,0.980000,0.000000,60,0.000000,63.630000,0.970000,4.840000,64.390000,0.000000,0.980000,85.690000,1755.95

