Time,Block,NR/2023/14031/C,NR/2023/12919/F,NR/2023/14017/D,NR/2023/10705/A,NR/2023/12169/A,NR/2023/12813/F,NR/2023/11712/A,NR/2023/14028/C,NR/2023/14029/C,NR/2023/10436/A,NR/2023/10720/A,NR/2023/10650/A,ER/2023/8639/C,NR/2023/12661/A,NR/2023/12872/F,NR/2023/12917/F,NR/2023/11068/A,NR/2023/12924/F,NR/2023/12920/F,NR/2023/14025/D,NR/2023/10460/A,NR/2023/10561/A,NR/2023/12916/F,NR/2023/12922/F,NR/2023/12814/F,NR/2023/10786/A,NR/2023/12915/F,NR/2023/12706/A,NR/2023/11266/A,NR/2023/10435/A,NR/2023/13679/F,NR/2023/10947/A,NR/2023/12923/F,NR/2023/13369/F,NR/2023/10488/A,NR/2023/11709/A,NR/2023/14022/D,NR/2023/10651/A,NR/2023/14024/D,NR/2023/10956/A,NR/2023/11507/A,NR/2023/11953/A,NR/2023/12921/F,NR/2023/10432/A,NR/2023/10959/A,NR/2023/14021/D,NR/2023/14023/D,Total
13,03:00-03:15,19.500000,0.820000,0.000000,232.470000,54.220000,62.930000,64.390000,34.650000,0.000000,24.200000,23.720000,48.410000,0.000000,33.890000,0.440000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,98.760000,0.370000,6.780000,63.630000,24.200000,4.840000,23.240000,0.610000,0.000000,48.410000,0.000000,49.300000,63.180000,0,85.170000,255.520000,0.000000,0.930000,43.570000,7.090000,0,0,1609.19

14,03:15-03:30,19.500000,0.820000,0.000000,232.470000,54.220000,62.930000,64.390000,34.650000,0.000000,24.200000,23.720000,48.410000,0.000000,33.890000,0.440000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,98.760000,0.370000,6.780000,63.630000,24.200000,4.840000,23.240000,0.610000,0.000000,48.410000,0.000000,49.300000,63.180000,0,85.170000,255.520000,0.000000,0.930000,43.570000,7.090000,0,0,1609.19

15,03:30-03:45,19.500000,0.820000,0.000000,232.470000,54.220000,62.930000,64.390000,34.650000,0.000000,24.200000,23.720000,48.410000,0.000000,33.890000,0.440000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,98.760000,0.370000,6.780000,63.630000,24.200000,4.840000,23.240000,0.610000,0.000000,48.410000,0.000000,49.300000,63.180000,0,85.170000,255.520000,0.000000,0.930000,43.570000,7.090000,0,0,1609.19

16,03:45-04:00,19.500000,0.820000,0.000000,232.470000,54.220000,62.930000,64.390000,34.650000,0.000000,24.200000,23.720000,48.410000,0.000000,33.890000,0.440000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,98.760000,0.370000,6.780000,63.630000,24.200000,4.840000,23.240000,0.610000,0.000000,48.410000,0.000000,49.300000,63.180000,0,85.170000,255.520000,0.000000,0.930000,43.570000,7.090000,0,0,1609.19

17,04:00-04:15,19.410000,0.820000,0.000000,232.470000,54.220000,62.930000,64.390000,34.650000,0.000000,24.200000,23.720000,48.410000,0.000000,33.890000,0.440000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,98.760000,0.370000,6.780000,63.630000,24.200000,4.840000,23.240000,0.610000,0.000000,48.410000,0.000000,49.300000,63.180000,0,85.170000,255.520000,0.000000,0.930000,43.570000,7.090000,0,0,1609.1

18,04:15-04:30,19.410000,0.820000,0.000000,232.470000,54.220000,62.930000,64.390000,34.650000,0.000000,24.200000,23.720000,48.410000,0.000000,33.890000,0.440000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,98.760000,0.370000,6.780000,63.630000,24.200000,4.840000,23.240000,0.610000,0.000000,48.410000,0.000000,49.300000,63.180000,0,85.170000,255.520000,0.000000,0.930000,43.570000,7.090000,0,0,1609.1

19,04:30-04:45,19.410000,0.820000,0.000000,232.470000,54.220000,62.930000,64.390000,34.650000,0.000000,24.200000,23.720000,48.410000,0.000000,33.890000,0.440000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,98.760000,0.370000,6.780000,63.630000,24.200000,4.840000,23.240000,0.610000,0.000000,48.410000,0.000000,49.300000,63.180000,0,85.170000,255.520000,0.000000,0.930000,43.570000,7.090000,0,0,1609.1

20,04:45-05:00,19.410000,0.820000,0.000000,232.470000,54.220000,62.930000,64.390000,34.650000,0.000000,24.200000,23.720000,48.410000,0.000000,33.890000,0.440000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,98.760000,0.370000,6.780000,63.630000,24.200000,4.840000,23.240000,0.610000,0.000000,48.410000,0.000000,49.300000,63.180000,0,85.170000,255.520000,0.000000,0.930000,43.570000,7.090000,0,0,1609.1

21,05:00-05:15,19.410000,0.820000,0.000000,232.470000,54.220000,62.930000,64.390000,32.610000,0.000000,24.200000,23.720000,48.410000,0.000000,33.890000,0.480000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,0.000000,0.370000,6.780000,63.630000,24.200000,4.840000,23.240000,0.610000,0.000000,48.410000,0.000000,49.300000,63.180000,0,85.170000,255.520000,0.000000,0.930000,43.570000,7.090000,0,0,1508.34

22,05:15-05:30,19.410000,0.820000,0.000000,232.470000,54.220000,62.930000,64.390000,32.610000,0.000000,24.200000,23.720000,48.410000,0.000000,33.890000,0.480000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,0.000000,0.370000,6.780000,63.630000,24.200000,4.840000,23.240000,0.610000,0.000000,48.410000,0.000000,49.300000,63.180000,0,85.170000,255.520000,0.000000,0.930000,43.570000,7.090000,0,0,1508.34

23,05:30-05:45,19.410000,0.820000,0.000000,232.470000,54.220000,62.930000,64.390000,32.610000,0.000000,24.200000,23.720000,48.410000,0.000000,33.890000,0.480000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,0.000000,0.370000,6.780000,63.630000,24.200000,4.840000,23.240000,0.610000,0.000000,48.410000,0.000000,49.300000,63.180000,0,85.170000,255.520000,0.000000,0.930000,43.570000,7.090000,0,0,1508.34

24,05:45-06:00,19.410000,0.820000,0.000000,232.470000,54.220000,62.930000,64.390000,32.610000,0.000000,24.200000,23.720000,48.410000,0.000000,33.890000,0.480000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,0.000000,0.370000,6.780000,63.630000,24.200000,4.840000,23.240000,0.610000,0.000000,48.410000,0.000000,49.300000,63.180000,0,85.170000,255.520000,0.000000,0.930000,43.570000,7.090000,0,0,1508.34

25,06:00-06:15,19.410000,0.820000,0.000000,15.810000,0.000000,62.930000,64.390000,32.610000,0.000000,24.200000,23.720000,7.750000,0.000000,33.890000,0.530000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,0.000000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,0.000000,48.410000,0.000000,0.000000,63.180000,0,85.170000,255.520000,0.000000,0.930000,43.570000,0.000000,1.4,0.6,1119.22

26,06:15-06:30,19.410000,0.820000,0.000000,15.810000,0.000000,62.930000,64.390000,32.610000,0.000000,24.200000,23.720000,7.750000,0.000000,33.890000,0.530000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,0.000000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,0.000000,48.410000,0.000000,0.000000,63.180000,0,85.170000,255.520000,0.000000,0.930000,43.570000,0.000000,6.3,2.7,1126.22

27,06:30-06:45,19.410000,0.820000,0.000000,15.810000,0.000000,62.930000,64.390000,32.610000,0.000000,24.200000,23.720000,7.750000,0.000000,33.890000,0.530000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,0.000000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,0.000000,48.410000,0.000000,0.000000,63.180000,0,85.170000,255.520000,0.000000,0.930000,43.570000,0.000000,10.5,4.5,1132.22

28,06:45-07:00,19.410000,0.820000,0.000000,15.810000,0.000000,62.930000,64.390000,32.610000,0.000000,24.200000,23.720000,7.750000,0.000000,33.890000,0.530000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,0.000000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,0.000000,48.410000,0.000000,0.000000,63.180000,0.1,85.170000,255.520000,0.000000,0.930000,43.570000,0.000000,17.5,7.5,1142.32

29,07:00-07:15,19.230000,0.820000,38.730000,15.810000,0.000000,62.930000,64.390000,32.610000,0.000000,24.200000,23.720000,7.750000,0.000000,33.890000,0.680000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,0.000000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,0.000000,48.410000,0.000000,0.000000,63.180000,0.29,85.170000,255.520000,0.000000,0.930000,43.570000,0.000000,24.5,10.5,1191.21

30,07:15-07:30,19.230000,0.820000,38.730000,15.810000,0.000000,62.930000,64.390000,32.610000,0.000000,24.200000,23.720000,7.750000,50.000000,33.890000,0.680000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,0.000000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,0.000000,48.410000,0.000000,0.000000,63.180000,0.39,85.170000,255.520000,0.000000,0.930000,43.570000,0.000000,28,12,1246.31

31,07:30-07:45,19.230000,0.820000,38.730000,15.810000,0.000000,62.930000,64.390000,32.610000,0.000000,24.200000,23.720000,7.750000,50.000000,33.890000,0.680000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,0.000000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,0.000000,48.410000,0.000000,0.000000,63.180000,0.87,85.170000,255.520000,0.000000,0.930000,43.570000,0.000000,35,15,1256.79

32,07:45:08:00,19.230000,0.820000,38.730000,15.810000,0.000000,62.930000,64.390000,32.610000,0.000000,24.200000,23.720000,7.750000,50.000000,33.890000,0.680000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,0.000000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,0.000000,48.410000,0.000000,0.000000,63.180000,1.07,85.170000,255.520000,0.000000,0.930000,43.570000,0.000000,42,18,1266.99

33,08:00-08:15,19.230000,0.970000,38.730000,15.810000,0.000000,62.930000,64.390000,32.610000,30.000000,24.200000,23.720000,7.750000,50.000000,33.890000,0.970000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,0.000000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,0.000000,48.410000,0.000000,0.000000,63.180000,1.16,85.170000,255.520000,0.000000,0.980000,43.570000,0.000000,54.6,23.4,1315.62

34,08:15-08:30,19.230000,0.970000,38.730000,15.810000,0.000000,62.930000,64.390000,32.610000,30.000000,24.200000,23.720000,7.750000,50.000000,33.890000,0.970000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,0.000000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,0.000000,48.410000,0.000000,0.000000,63.180000,1.74,85.170000,255.520000,0.000000,0.980000,43.570000,0.000000,70,30,1338.2

35,08:30-08:45,19.230000,0.970000,38.730000,15.810000,0.000000,62.930000,64.390000,32.610000,30.000000,24.200000,23.720000,7.750000,50.000000,33.890000,0.970000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,0.000000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,0.000000,48.410000,0.000000,0.000000,63.180000,1.94,85.170000,255.520000,0.000000,0.980000,43.570000,0.000000,81.2,34.8,1354.4

36,08:45:09:00,19.230000,0.970000,38.730000,15.810000,0.000000,62.930000,64.390000,32.610000,30.000000,24.200000,23.720000,7.750000,50.000000,33.890000,0.970000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,0.000000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,0.000000,48.410000,0.000000,0.000000,63.180000,2.81,85.170000,255.520000,0.000000,0.980000,43.570000,0.000000,95.2,40.8,1375.27

37,09:00:09:15,19.040000,0.970000,38.730000,15.810000,0.000000,62.930000,64.390000,35.670000,30.000000,24.200000,23.720000,7.750000,50.000000,33.890000,0.970000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,0.000000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,24.200000,48.410000,0.000000,0.000000,63.180000,3.58,85.170000,255.520000,0.000000,0.980000,43.570000,0.000000,108.5,46.5,1422.11

38,09:15-09:30,19.040000,0.970000,38.730000,15.810000,0.000000,62.930000,64.390000,35.670000,30.000000,24.200000,23.720000,7.750000,50.000000,33.890000,0.970000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,0.000000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,24.200000,48.410000,0.000000,0.000000,63.180000,3.78,85.170000,255.520000,0.000000,0.980000,43.570000,0.000000,119.7,51.3,1438.31

39,09:30-09:45,19.040000,0.970000,38.730000,15.810000,0.000000,62.930000,64.390000,35.670000,30.000000,24.200000,23.720000,7.750000,50.000000,33.890000,0.970000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,0.000000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,24.200000,48.410000,0.000000,0.000000,63.180000,3.78,85.170000,255.520000,0.000000,0.980000,43.570000,0.000000,128.8,55.2,1451.31

40,09:45-10:00,19.040000,0.970000,38.730000,15.810000,0.000000,62.930000,64.390000,35.670000,30.000000,24.200000,23.720000,7.750000,50.000000,33.890000,0.970000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,0.000000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,24.200000,48.410000,0.000000,0.000000,63.180000,4.16,85.170000,255.520000,0.000000,0.980000,43.570000,0.000000,139.3,59.7,1466.69

41,10:00-10:15,18.860000,0.970000,38.730000,15.810000,0.000000,62.930000,64.390000,37.710000,30.000000,24.200000,23.720000,7.750000,50.000000,33.890000,0.970000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,91.010000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,24.200000,48.410000,0.000000,0.000000,63.180000,5.13,85.170000,255.520000,0.000000,0.980000,43.570000,0.000000,147,63,1571.53

42,10:15-10:30,18.860000,0.970000,38.730000,15.810000,0.000000,62.930000,64.390000,37.710000,30.000000,24.200000,23.720000,7.750000,50.000000,33.890000,0.970000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,91.010000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,24.200000,48.410000,0.000000,0.000000,63.180000,5.81,85.170000,255.520000,0.000000,0.980000,43.570000,0.000000,156.1,66.9,1585.21

43,10:30-10:45,18.860000,0.970000,38.730000,15.810000,0.000000,62.930000,64.390000,37.710000,30.000000,24.200000,23.720000,7.750000,50.000000,33.890000,0.970000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,91.010000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,24.200000,48.410000,0.000000,0.000000,63.180000,6.29,85.170000,255.520000,0.000000,0.980000,43.570000,0.000000,163.8,70.2,1596.69

44,10:45-11:00,18.860000,0.970000,38.730000,15.810000,0.000000,62.930000,64.390000,37.710000,30.000000,24.200000,23.720000,7.750000,50.000000,33.890000,0.970000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,91.010000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,24.200000,48.410000,0.000000,0.000000,63.180000,6.68,85.170000,255.520000,0.000000,0.980000,43.570000,0.000000,171.5,73.5,1608.08

45,11:00-11:15,18.860000,0.970000,38.730000,15.810000,0.000000,62.930000,64.390000,37.710000,30.000000,24.200000,23.720000,7.750000,50.000000,33.890000,0.970000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,91.010000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,24.200000,48.410000,0.000000,49.300000,63.180000,6.87,85.170000,255.520000,0.000000,0.980000,43.570000,7.090000,171.5,73.5,1664.66

