Column1,Block,NR/2024/22898/A/36228,NR/2024/23043/C,NR/2024/22899/A/36227,NR/2024/23044/C,NR/2024/21658/A/36169,NR/2024/22754/A/36434,NR/2024/22874/A/36463,NR/2024/22734/A/36464,NR/2024/22839/A/36458,NR/2024/23040/C,NR/2024/22860/A/36450,NR/2024/22848/A/36452,NR/2024/22835/A/36438,NR/2024/22837/A/36459,NR/2024/22820/A/36197,NR/2024/22816/A/36158,NR/2024/23017/A/36375,NR/2024/22802/A/36462,NR/30092023/31122025/SH-07,NR/2024/23045/C,NR/2024/22832/A/36461,NR/2024/22833/A/36460,NR/2024/22888/A/36443,NR/2024/22753/A/36435,GNA/NR/2024/09/01/8090,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/01/6020,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/3451,GNA/NR/2024/09/01/4802,GNA/NR/2024/09/01/7196,GNA/NR/2024/09/01/6566,NR/2024/23048/C,Total
17,04:00-04:15,0,0,0,109.92,0.58,60.53,48.42,96.85,12.47,242.12,0,84.43,91.04,37.41,4.84,0,8.72,0,26.9071,28.09,37.41,37.41,67.8,181.59,12.47,13.77,24.8,96.85,26.9071,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1593.4441999999997

18,04:15-04:30,0,0,0,109.92,0.58,60.53,48.42,96.85,12.47,242.12,0,84.43,91.04,37.41,4.84,0,8.72,0,26.9071,28.09,37.41,37.41,67.8,181.59,12.47,13.77,24.8,96.85,26.9071,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1593.4441999999997

19,04:30-04:45,0,0,0,109.92,0.58,60.53,48.42,96.85,12.47,242.12,0,84.43,91.04,37.41,4.84,0,8.72,0,26.9071,28.09,37.41,37.41,67.8,181.59,12.47,13.77,24.8,96.85,26.9071,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1593.4441999999997

20,04:45-05:00,0,0,0,109.92,0.58,60.53,48.42,96.85,12.47,242.12,0,84.43,91.04,37.41,4.84,0,8.72,0,26.9071,28.09,37.41,37.41,67.8,181.59,12.47,13.77,24.8,96.85,26.9071,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1593.4441999999997

21,05:00-05:15,0,0,0,109.92,0.58,60.53,48.42,96.85,12.47,242.12,0,84.43,91.04,37.41,4.84,0,8.72,0,26.9071,28.09,37.41,37.41,25.18,181.59,12.47,13.77,24.8,96.85,26.9071,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1550.8241999999998

22,05:15-05:30,0,0,0,109.92,0.58,60.53,48.42,96.85,12.47,242.12,0,84.43,91.04,37.41,4.84,0,8.72,0,26.9071,28.09,37.41,37.41,25.18,181.59,12.47,13.77,24.8,96.85,26.9071,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1550.8241999999998

23,05:30-05:45,0,0,0,109.92,0.58,60.53,48.42,96.85,12.47,242.12,0,84.43,91.04,37.41,4.84,0,8.72,0,26.9071,28.09,37.41,37.41,25.18,181.59,12.47,13.77,24.8,96.85,26.9071,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1550.8241999999998

24,05:45-06:00,0,0,0,109.92,0.58,60.53,48.42,96.85,12.47,242.12,0,84.43,91.04,37.41,4.84,0,7.75,0,26.9071,28.09,37.41,37.41,25.18,181.59,12.47,13.77,24.8,96.85,26.9071,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1549.8541999999998

25,06:00-06:15,0,0,0,109.92,0.68,0,48.42,96.85,12.47,242.12,0,84.43,91.04,37.41,4.84,0,7.75,0,26.9071,28.09,37.41,37.41,25.18,0,12.47,13.77,24.8,96.85,26.9071,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1307.8342

26,06:15-06:30,0,0.1,0,109.92,0.68,0,48.42,96.85,12.47,242.12,0,84.43,91.04,37.41,4.84,0,7.75,0,26.9071,28.09,37.41,37.41,25.18,0,12.47,13.77,24.8,96.85,26.9071,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1307.9342

27,06:30-06:45,0,0.68,0,109.92,0.68,0,48.42,96.85,12.47,242.12,0,84.43,91.04,37.41,4.84,0,7.75,0,26.9071,28.09,37.41,37.41,25.18,0,12.47,13.77,24.8,96.85,26.9071,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1308.5141999999998

28,06:45-07:00,0,0.87,0,109.92,0.68,0,48.42,96.85,12.47,242.12,0,84.43,91.04,37.41,4.84,0,7.75,0,26.9071,28.09,37.41,37.41,25.18,0,12.47,13.77,24.8,96.85,26.9071,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1308.7042

29,07:00-07:15,0,1.24,0,109.92,0.68,0,48.42,96.85,12.47,242.12,0,84.43,91.04,37.41,4.84,0,7.75,0,26.9071,28.09,37.41,37.41,25.18,0,12.47,13.77,24.8,96.85,26.9071,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1309.0742

30,07:15-07:30,0,1.7,0,109.92,0.68,0,48.42,96.85,12.47,242.12,0,84.43,91.04,37.41,4.84,0,7.75,0,26.9071,28.09,37.41,37.41,25.18,0,12.47,13.77,24.8,96.85,26.9071,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1309.5342

31,07:30-07:45,0,2.27,0,109.92,0.68,0,48.42,96.85,12.47,242.12,0,84.43,91.04,37.41,4.84,0,7.75,0,26.9071,28.09,37.41,37.41,25.18,0,12.47,13.77,24.8,96.85,26.9071,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1310.1042

32,07:45-08:00,0,2.76,0,109.92,0.68,0,48.42,96.85,12.47,242.12,0,84.43,91.04,37.41,4.84,0,7.75,0,26.9071,28.09,37.41,37.41,25.18,0,12.47,13.77,24.8,96.85,26.9071,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1310.5942

33,08:00-08:15,0,3.43,0,109.92,0.97,0,48.42,96.85,12.47,242.12,0,84.43,91.04,37.41,4.84,0,8.72,0,26.9071,28.09,37.41,37.41,25.18,0,12.47,13.77,24.8,96.85,26.9071,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1312.5242

34,08:15-08:30,0,3.88,0,109.92,0.97,0,48.42,96.85,12.47,242.12,0,84.43,91.04,37.41,4.84,0,8.72,0,26.9071,28.09,37.41,37.41,25.18,0,12.47,13.77,24.8,96.85,26.9071,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1312.9741999999999

35,08:30-08:45,0,4.58,0,109.92,0.97,0,48.42,96.85,12.47,242.12,0,84.43,91.04,37.41,4.84,0,8.72,0,26.9071,28.09,37.41,37.41,25.16,0,12.47,13.77,24.8,96.85,26.9071,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1313.6542

36,08:45-09:00,0,5.16,0,109.92,0.97,0,48.42,96.85,12.47,242.12,0,84.43,91.04,37.41,4.84,0,9.68,0,26.9071,28.09,37.41,37.41,25.16,0,12.47,13.77,24.8,96.85,26.9071,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1315.1942

37,09:00-09:15,42.61,5.4,10.65,109.92,0.97,0,48.42,96.85,12.47,242.12,0,84.43,91.04,37.41,4.84,0,9.68,0,26.9071,28.09,37.41,37.41,25.16,0,12.47,13.77,24.8,96.85,26.9071,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1368.6941999999997

38,09:15-09:30,42.61,5.47,10.65,109.92,0.97,0,48.42,96.85,12.47,242.12,0,84.43,91.04,37.41,4.84,0,11.62,0,26.9071,28.09,37.41,37.41,25.16,0,12.47,13.77,24.8,96.85,26.9071,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1370.7042

39,09:30-09:45,42.61,5.57,10.65,109.92,0.97,0,48.42,96.85,12.47,242.12,0,84.43,91.04,37.41,4.84,0,11.62,0,26.9071,28.09,37.41,37.41,25.16,0,12.47,13.77,24.8,96.85,26.9071,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1370.8041999999998

40,09:45-10:00,42.61,5.76,10.65,109.92,0.97,0,48.42,96.85,12.47,242.12,0,84.43,91.04,37.41,4.84,0,11.62,0,26.9071,28.09,37.41,37.41,25.16,0,12.47,13.77,24.8,96.85,26.9071,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1370.9941999999999

41,10:00-10:15,42.61,5.81,10.65,109.92,0.97,0,48.42,96.85,12.47,242.12,0,84.43,91.04,37.41,4.84,48.42,11.62,96.85,26.9071,28.09,37.41,37.41,25.16,0,12.47,13.68,24.8,96.85,26.9071,21.79,2.42,0,0,0,48.42,24.21,0,1370.9542000000001

42,10:15-10:30,42.61,6,10.65,109.92,0.97,0,48.42,96.85,12.47,242.12,0,84.43,91.04,37.41,4.84,48.42,12.59,96.85,26.9071,28.09,37.41,37.41,25.16,0,12.47,13.68,24.8,96.85,26.9071,21.79,2.42,0,0,0,48.42,24.21,0,1372.1142000000002

43,10:30-10:45,42.61,6.25,10.65,109.92,0.97,0,48.42,96.85,12.47,242.12,0,84.43,91.04,37.41,4.84,48.42,12.59,96.85,26.9071,28.09,37.41,37.41,25.16,0,12.47,13.68,24.8,96.85,26.9071,21.79,2.42,0,0,0,48.42,24.21,0,1372.3642000000002

44,10:45-11:00,42.61,6.39,10.65,109.92,0.97,0,48.42,96.85,12.47,242.12,0,84.43,91.04,37.41,4.84,48.42,12.59,96.85,26.9071,28.09,37.41,37.41,25.16,0,12.47,13.68,24.8,96.85,26.9071,21.79,2.42,0,0,0,48.42,24.21,0,1372.5042

45,11:00-11:15,42.61,6.54,10.65,109.92,0.97,0,48.42,96.85,12.47,242.12,0,84.43,91.04,37.41,4.84,48.42,12.59,96.85,26.9071,28.09,37.41,37.41,25.16,0,12.47,13.68,24.8,96.85,26.9071,21.79,2.42,0,0,0,48.42,24.21,0,1372.6542000000002

46,11:15-11:30,42.61,6.59,10.65,109.92,0.97,0,48.42,96.85,12.47,242.12,0,84.43,91.04,37.41,4.84,48.42,12.59,96.85,26.9071,28.09,37.41,37.41,25.16,0,12.47,13.68,24.8,96.85,26.9071,21.79,2.42,0,0,0,48.42,24.21,0,1372.7042000000001

47,11:30-11:45,42.61,6.97,10.65,109.92,0.97,0,48.42,96.85,12.47,242.12,0,84.43,91.04,37.41,4.84,48.42,12.59,96.85,26.9071,28.09,37.41,37.41,25.16,0,12.47,13.68,24.8,96.85,26.9071,21.79,2.42,0,0,0,48.42,24.21,0,1373.0842000000002

48,11:45-12:00,42.61,7.26,10.65,109.92,0.97,0,48.42,96.85,12.47,242.12,0,84.43,91.04,37.41,4.84,48.42,12.59,96.85,26.9071,28.09,37.41,37.41,25.16,0,12.47,13.68,24.8,96.85,26.9071,21.79,2.42,0,0,0,48.42,24.21,0,1373.3742000000002

49,12:00-12:15,42.61,7.55,10.65,109.92,0.97,0,48.42,96.85,12.47,242.12,0,84.43,91.04,37.41,4.84,48.42,12.59,96.85,26.9071,28.09,37.41,37.41,25.16,0,12.47,13.68,24.8,96.85,26.9071,21.79,2.42,0,0,0,48.42,24.21,0,1373.6642000000002

50,12:15-12:30,42.61,7.75,10.65,109.92,0.97,0,48.42,96.85,12.47,242.12,0,84.43,91.04,37.41,4.84,48.42,12.59,96.85,26.9071,28.09,37.41,37.41,25.16,0,12.47,13.68,24.8,96.85,26.9071,21.79,2.42,0,0,0,48.42,24.21,0,1373.8642000000002

51,12:30-12:45,42.61,8.02,10.65,109.92,0.97,0,48.42,96.85,12.47,242.12,0,84.43,91.04,37.41,4.84,48.42,12.59,96.85,26.9071,28.09,37.41,37.41,25.16,0,12.47,13.68,24.8,96.85,26.9071,21.79,2.42,0,0,0,48.42,24.21,0,1374.1342000000002

52,12:45-13:00,42.61,8.09,10.65,109.92,0.97,0,48.42,96.85,12.47,242.12,0,84.43,91.04,37.41,4.84,48.42,12.59,96.85,26.9071,28.09,37.41,37.41,25.16,0,12.47,13.68,24.8,96.85,26.9071,21.79,2.42,0,0,0,48.42,24.21,0,1374.2042000000001

53,13:00-13:15,42.61,8.33,10.65,109.92,0.97,0,48.42,96.85,6.78,242.12,0,84.43,91.04,37.41,4.84,48.42,12.59,96.85,26.9071,28.09,37.41,37.41,25.16,0,12.47,13.68,24.8,96.85,26.9071,21.79,2.42,0,0,0,48.42,24.21,0,1368.7542

54,13:15-13:30,42.61,9.06,10.65,109.92,0.97,0,48.42,96.85,6.78,242.12,0,84.43,91.04,37.41,4.84,48.42,12.59,96.85,26.9071,28.09,37.41,37.41,25.16,0,12.47,13.68,24.8,96.85,26.9071,21.79,2.42,0,0,0,48.42,24.21,0,1369.4842

55,13:30-13:45,42.61,8.33,10.65,109.92,0.97,0,48.42,96.85,6.78,242.12,0,84.43,91.04,37.41,4.84,48.42,12.59,96.85,26.9071,28.09,37.41,37.41,25.16,0,12.47,13.68,24.8,96.85,26.9071,21.79,2.42,0,0,0,48.42,24.21,0,1368.7542

56,13:45-14:00,42.61,7.26,10.65,109.92,0.97,0,48.42,96.85,6.78,242.12,0,84.43,91.04,37.41,4.84,48.42,12.59,96.85,26.9071,28.09,37.41,37.41,25.16,0,12.47,13.68,24.8,96.85,26.9071,21.79,2.42,0,0,0,48.42,24.21,0,1367.6842000000001

57,14:00-14:15,42.61,6.3,10.65,109.92,0.97,0,48.42,96.85,6.78,242.12,13.56,84.43,91.04,37.41,4.84,48.42,12.59,96.85,26.9071,28.09,37.41,37.41,25.16,0,12.47,13.97,24.8,96.85,26.9071,21.79,2.42,0,0,0,48.42,24.21,0,1380.5742

58,14:15-14:30,42.61,5.81,10.65,109.92,0.97,0,48.42,96.85,6.78,242.12,13.56,84.43,91.04,37.41,4.84,48.42,12.59,96.85,26.9071,28.09,37.41,37.41,25.16,0,12.47,13.97,24.8,96.85,26.9071,21.79,2.42,0,0,0,48.42,24.21,0,1380.0842

59,14:30-14:45,42.61,5.67,10.65,109.92,0.97,0,48.42,96.85,6.78,242.12,13.56,84.43,91.04,37.41,4.84,48.42,12.59,96.85,26.9071,28.09,37.41,37.41,25.16,0,12.47,13.97,24.8,96.85,26.9071,21.79,2.42,0,0,0,48.42,24.21,0,1379.9442000000001

60,14:45-15:00,42.61,5.42,10.65,109.92,0.97,0,48.42,96.85,6.78,242.12,13.56,84.43,91.04,37.41,4.84,48.42,12.59,96.85,26.9071,28.09,37.41,37.41,25.16,0,12.47,13.97,24.8,96.85,26.9071,21.79,2.42,0,0,0,48.42,24.21,0,1379.6942000000001

61,15:00-15:15,23.24,5.25,10.65,109.92,0.97,0,48.42,96.85,6.78,242.12,13.56,84.43,91.04,37.41,4.84,48.42,12.59,96.85,26.9071,28.09,37.41,37.41,25.16,0,12.47,13.97,24.8,96.85,26.9071,21.79,2.42,0,0,0,48.42,24.21,19.37,1379.5241999999998

62,15:15-15:30,26.34,5.04,10.65,109.92,0.97,0,48.42,96.85,6.78,242.12,13.56,84.43,91.04,37.41,4.84,48.42,12.59,96.85,26.9071,28.09,37.41,37.41,25.16,0,12.47,13.97,24.8,96.85,26.9071,21.79,2.42,0,0,0,48.42,24.21,16.27,1379.3142

63,15:30-15:45,29.83,4.36,10.65,109.92,0.97,0,48.42,96.85,6.78,242.12,13.56,84.43,91.04,37.41,4.84,48.42,12.59,96.85,26.9071,28.09,37.41,37.41,25.16,0,12.47,13.97,24.8,96.85,26.9071,21.79,2.42,0,0,0,48.42,24.21,12.78,1378.6342

64,15:45-16:00,34.96,3.21,10.65,109.92,0.97,0,48.42,96.85,6.78,242.12,13.56,84.43,91.04,37.41,4.84,48.42,12.59,96.85,26.9071,28.09,37.41,37.41,25.16,0,12.47,13.97,24.8,96.85,26.9071,21.79,2.42,0,0,0,48.42,24.21,7.65,1377.4842

65,16:00-16:15,19.27,2.47,10.65,109.92,0.87,0,48.42,96.85,6.78,242.12,13.56,84.43,91.04,37.41,4.84,48.42,12.59,96.85,26.9071,28.09,37.41,37.41,25.16,0,12.47,14.15,24.8,96.85,26.9071,21.79,2.42,0,0,0,48.42,24.21,23.34,1376.8242

66,16:15-16:30,25.18,2.19,10.65,109.92,0.87,0,48.42,96.85,6.78,242.12,13.56,84.43,91.04,37.41,4.84,48.42,12.59,96.85,26.9071,28.09,37.41,37.41,25.16,0,12.47,14.15,24.8,96.85,26.9071,21.79,2.42,0,0,0,48.42,24.21,17.43,1376.5442000000003

67,16:30-16:45,29.64,2.16,10.65,109.92,0.87,0,48.42,96.85,6.78,242.12,13.56,84.43,91.04,37.41,4.84,48.42,12.59,96.85,26.9071,28.09,37.41,37.41,25.16,0,12.47,14.15,24.8,96.85,26.9071,21.79,2.42,0,0,0,48.42,24.21,12.98,1376.5242

68,16:45-17:00,33.51,1.43,10.65,109.92,0.87,0,48.42,96.85,6.78,242.12,13.56,84.43,91.04,37.41,4.84,48.42,12.59,96.85,26.9071,28.09,37.41,37.41,25.16,0,12.47,14.15,24.8,96.85,26.9071,21.79,2.42,0,0,0,48.42,24.21,9.1,1375.7842

69,17:00-17:15,0,1.29,0,109.92,0.82,0,48.42,96.85,6.78,242.12,13.56,84.43,91.04,37.41,4.84,0,12.59,0,26.9071,28.09,37.41,37.41,25.16,0,12.47,14.15,24.8,96.85,32,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1327.4270999999999

70,17:15-17:30,0,0.66,0,109.92,0.82,0,48.42,96.85,6.78,242.12,13.56,84.43,91.04,37.41,4.84,0,12.59,0,26.9071,28.09,37.41,37.41,25.16,0,12.47,14.15,24.8,96.85,32,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1326.7971

71,17:30-17:45,0,0.52,0,109.92,0.82,0,48.42,96.85,6.78,242.12,13.56,84.43,91.04,37.41,4.84,0,12.59,0,26.9071,28.09,37.41,37.41,25.16,0,12.47,14.15,24.8,96.85,32,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1326.6571

72,17:45-18:00,0,0.41,0,109.92,0.82,0,48.42,96.85,6.78,242.12,13.56,84.43,91.04,37.41,4.84,0,12.59,0,26.9071,28.09,37.41,37.41,25.16,0,12.47,14.15,24.8,96.85,32,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1326.5471

73,18:00-18:15,0,0.22,0,109.92,0.82,0,48.42,96.85,6.78,242.12,13.56,84.43,91.04,37.41,4.84,0,11.62,0,26.0137,28.09,37.41,37.41,25.16,0,12.47,14.15,24.8,96.85,32,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1324.4936999999998

74,18:15-18:30,0,0.1,0,109.92,0.82,0,48.42,96.85,6.78,242.12,13.56,84.43,91.04,37.41,4.84,0,11.62,0,26.0137,28.09,37.41,37.41,25.16,0,12.47,14.15,24.8,96.85,32,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1324.3736999999999

