Column1,Time,GNARE/SR/2025/01/13/4532,NR/01102023/22052037/LT-59,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/02/01/2143,NR/01102023/30042040/GNA_LT_35,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/31102037/L_NR_2019_11,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/02/01/5886,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31052040/LT-31,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_02,GNA/WR/2025/01/01/8625,GNA/SR/2025/02/01/6460,GNA/NR/2025/02/01/4863,GNA/SR/2025/02/01/7432,GNA/NR/2025/02/01/2594,NR/30092023/31122025/SH-07,GNA/NR/2025/02/01/9969,NR/30092023/26122029/SH-06,NR/01102023/27052033/DIAPL(L_NR_2023_04),WR/01102023/29112042/L_NR_2019_05,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2020_06,NR/01102023/08032047/L_NR_2021_14,GNARE/NR/2024/12/20/3668,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),L_NR_2019_19,WR/01102023/16072048/L_NR_2022_08,NR/26072023/31072042/L_NR_2023_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/24112044/L_NR_2020_07,NR/26072023/25122043/L_NR_2023_10,WR/01102023/30052048/L_NR_2022_10,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13
21,05:00-05:15,6.4,0.63,0,0,70.16,0,59.47,23.08,0,1.2,0.92,0,8.66,100.2,0,1.25,166.34,0,75,8.66,0,23.08,26.99,23.08,26.99,25.72,0,0,19,0,0,35.33,0,0,0,9.33,0,57,19,0,35.34,0,0,0,0

22,05:15-05:30,6.4,0.63,0,0,70.16,0,59.47,23.08,0,1.2,0.92,0,8.66,100.2,0,1.25,166.34,0,75,8.66,0,23.08,26.99,23.08,26.99,25.72,0,0,18.67,0,0,30.33,0,0,0,9.33,0,55.99,18.67,0,30.34,0,0,0,0

23,05:30-05:45,6.4,0,0,0,66.02,0,59.47,23.08,0,1.2,0.92,0,8.66,100.2,0,1.25,200.88,0,75,8.66,0,23.08,32,23.08,26.12,25.72,0,0,18.33,0,0,30,0,0,0,9.33,0,55.01,18.33,0,30,0,0,0,0

24,05:45-06:00,6.4,0,0,0,66.02,0,70.23,23.08,0,1.2,0.92,0,8.66,100.2,0,1.25,261.13,0,75,8.66,0,23.08,32,23.08,26.12,25.72,0,0,18.17,0,0,29.33,0,0,0,9.33,0,54.49,18.17,0,29.34,0,0,0,0

25,06:00-06:15,6.4,0.63,0,0,66.02,0,70.23,23.08,0,1.2,0.92,0,8.66,100.2,0,1.25,261.13,0,75,8.66,0,23.08,32,23.08,26.12,25.22,0.13,0,17.5,0,0,25.33,0,0,0,8.33,0,52.5,17.5,0,25.34,0,0,0,0

26,06:15-06:30,6.4,0.63,0,0,74.5,0,77.84,23.08,0,1.2,0.92,0,8.66,100.2,0,1.25,261.13,0,75,8.66,0,23.08,32,23.08,19.89,25.22,1.31,0,17.5,0,0,24,0,0,0,8,0,52.5,17.5,0,24,0,0,0,0

27,06:30-06:45,6.4,0.63,0,0,82.98,0,77.84,36.55,0,1.2,0.92,0,8.66,100.2,0,1.25,261.13,0,75,8.66,0,36.55,32,36.55,32,25.22,2.89,0,13.33,0,0,16,0,0,0,8,0,40.01,13.33,0,16,0,0,0,0

28,06:45-07:00,6.4,0.63,0,0,115.05,0,77.84,36.55,0,1.2,0.92,0,8.66,100.2,0,1.25,261.13,0,75,8.66,0,36.55,32,36.55,32,24.71,5.88,0,12.83,0,0,15,1,1.44,0,7.67,0,38.51,12.83,0,15,0,0,0,0

29,07:00-07:15,6.4,0.63,0,0,115.05,0,77.84,36.55,0,1.3,0.92,0,8.66,100.2,0,1.25,261.13,0,75,8.66,0,36.55,31,43.28,31,24.71,13.37,1,12.5,2,0,14.33,3,5.72,1.08,7.67,1,37.5,12.5,0,14.34,0,0,0,0

30,07:15-07:30,6.4,0.63,0,0,115.05,0,77.84,36.55,0,1.3,0.92,0,8.66,100.2,0,1.25,261.13,0,75,8.66,0,36.55,31,43.28,31,24.71,23.44,2,12.17,3,0,14,7,12.88,4.35,7.33,4,36.49,12.17,1,14,0,1,1,0

31,07:30-07:45,6.4,0,0,0,115.05,0.14,77.84,36.55,0.14,1.3,0.92,0,13.47,100.2,0.14,1.25,261.13,0,75,13.47,0,36.55,31,43.28,31,24.71,32.02,3,11.83,5,0,14,11,32.02,8.91,7.33,7,35.51,11.83,3,14,2.18,2,2,0.44

32,07:45-08:00,6.4,0,0,0,115.05,0.57,77.84,36.55,0.56,1.3,0.92,0,13.47,100.2,0.56,1.25,261.13,0,75,13.47,0,36.55,31,43.28,31,24.71,29.75,10,11.67,7,1.14,14,18,29.75,14.3,7.33,18,34.99,11.67,7,14,9.25,5,3,1.85

33,08:00-08:15,6.4,0.63,0,0,115.05,1.3,77.84,36.55,1.27,1.3,0.92,0,13.47,100.2,1.27,1.3,261.13,0,75,13.47,0,36.55,31,43.28,31,24.71,31.35,13,11.33,12,4.56,14,25,31.35,20.84,7.33,14,34.01,11.33,6,14,20.82,7,5,4.16

34,08:15-08:30,6.4,0.63,0,0,115.05,2.31,77.84,36.55,2.25,1.3,0.92,0,13.47,100.2,2.25,1.3,261.13,0,75,13.47,0,36.55,31,43.28,31,24.71,29.56,18,10.5,18,10.27,14,29.57,29.57,28.25,7,28,31.5,10.5,12,14,39.35,9,7,7.87

35,08:30-08:45,6.4,0.63,0,0,115.05,3.61,77.84,36.55,3.52,1.3,0.92,0,13.47,100.2,3.52,1.3,261.13,0,75,13.47,0,36.55,31,43.28,31,24.71,30.06,20,10.17,26,18.88,14,30.07,30.07,36.09,7,39,30.49,10.17,16,14,59.87,10,15,11.97

36,08:45-09:00,6.4,0.63,0,0,115.05,5.68,77.84,36.55,5.54,1.3,0.92,0,13.47,100.2,5.54,1.3,261.13,0,75,13.47,0,36.55,31,43.28,31,24.71,30.46,27,9.83,37,28.45,14,30.47,30.47,41.52,6.67,53,29.51,9.83,22,14,82.42,13,21,16.49

37,09:00-09:15,6.4,0.63,0,0,115.05,7.17,77.84,36.55,7,1.2,0.92,0,13.47,100.2,7,1.3,261.13,0,75,13.47,0,36.55,31,43.28,31,24.71,30.46,37,9.33,46,40.59,14,30.47,30.47,47.84,6.67,74,28.01,9.33,31,14,105.07,18,25,21.02

38,09:15-09:30,6.4,0.63,0,0,115.05,8.55,77.84,36.55,8.34,1.2,0.92,0,13.47,100.2,8.34,1.3,261.13,0,75,13.47,0,36.55,31,43.28,31,24.71,30.46,47,8.83,53,48.86,14,30.47,30.47,53.34,6.67,88,26.51,8.83,37,14,127.04,23,28,25.41

39,09:30-09:45,6.4,0,0,0,115.05,9.77,77.84,36.55,9.53,1.2,0.92,0,8.66,100.2,9.53,1.3,261.13,0,75,8.66,0,36.55,32,36.55,32,24.71,30.46,60,8.5,63,57.04,14,30.47,30.47,61.54,6.67,119,25.5,8.5,51,14,148.42,30,32,29.69

40,09:45-10:00,6.4,0,0,0,115.05,10.88,77.84,36.55,10.61,1.2,0.92,0,8.66,100.2,10.61,1.3,261.13,0,75,8.66,0,36.55,32,36.55,32,24.21,30.46,70,8.5,68,65.03,14,30.47,30.47,66.54,6.67,133,25.5,8.5,57,14,169.29,35,35,33.86

41,10:00-10:15,6.6,0.63,0,0,115.05,11.86,77.84,31.74,11.57,1.2,0.92,0,8.66,100.2,11.57,1.35,261.13,0,75,8.66,0,31.74,32,31.74,26.12,22.19,30.46,77,8,79,66.4,14,30.47,30.47,72.09,6.67,151,24,8,64,14,197.18,38,37,39.44

42,10:15-10:30,6.6,0.63,0,0,115.05,12.73,77.84,31.74,12.42,1.2,0.92,0,8.66,100.2,12.42,1.35,261.13,0,75,8.66,0,31.74,32,31.74,26.12,22.19,30.46,83,7.5,84,72.37,14,30.47,30.47,101.31,6.67,161,22.5,7.5,69,14,213.45,41,39,42.69

43,10:30-10:45,6.8,0.63,0,0,94.3,13.46,67.35,31.74,13.12,1.2,0.92,0,8.66,100.2,13.12,1.35,261.13,0,75,8.66,0,31.74,32,31.74,26.12,21.69,30.46,91,7.5,88,79.36,14,30.47,30.47,107.32,6.67,172,22.5,7.5,73,14,230.13,45,41,46.02

44,10:45-11:00,6.8,0.63,0,0,66.02,14.12,67.35,31.74,13.78,1.2,0.92,0,8.66,100.2,13.78,1.35,261.13,0,75,8.66,0,31.74,32,31.74,26.12,23.2,30.46,93,7.5,91,84.43,15,30.47,30.47,112.96,6.67,182,22.5,7.5,78,15,237.5,47,43,47.5

45,11:00-11:15,7,0.63,0,0,66.02,14.71,67.35,30.78,14.35,1.3,0.96,0,8.66,100.2,14.35,1.35,261.13,0,75,8.66,0,30.78,32,30.78,26.12,23.2,30.46,97,7.5,92,94.08,15,30.47,30.47,117.18,6.67,193,22.5,7.5,82,15,237.5,49,44,47.5

46,11:15-11:30,7.4,0.63,0,0,66.02,15.18,67.35,30.78,14.82,1.3,0.96,0,8.66,100.2,14.82,1.35,261.13,0,75,8.66,0,30.78,32,30.78,26.12,23.2,30.46,97,7.5,93,98.12,15,30.47,30.47,122.19,6.67,200,22.5,7.5,85,15,237.5,49,45,47.5

47,11:30-11:45,7.4,0,0,0,66.02,15.56,67.35,30.78,15.17,1.3,0.96,0,8.66,100.2,15.17,1.35,234.28,0,75,8.66,0,30.78,32,30.78,26.12,23.2,30.46,97,7.5,95,100,15,30.47,30.47,125.41,6.67,200,22.5,7.5,85,15,237.5,49,46,47.5

48,11:45-12:00,7.4,0,0,0,66.02,15.88,67.35,30.78,15.5,1.3,0.96,0,8.66,100.2,15.5,1.35,234.28,0,75,8.66,0,30.78,32,30.78,26.12,21.69,30.46,97,7.5,95,100,15,30.47,30.47,127.2,6.67,200,22.5,7.5,85,15,237.5,49,47,47.5

49,12:00-12:15,7.4,0.63,0,0,66.02,16.16,76.26,30.78,15.77,1.3,0.96,0,8.66,100.2,15.77,1.39,225.62,0,75,8.66,0,30.78,32,30.78,26.12,21.69,30.46,97,7.5,95,100,15.33,30.47,30.47,124.39,6.67,200,22.5,7.5,85,15.34,237.5,49,47,47.5

50,12:15-12:30,7.6,0.63,0,0,70.16,16.38,76.26,30.78,15.98,1.3,0.96,0,8.66,100.2,15.98,1.39,225.62,0,75,8.66,0,30.78,32,30.78,26.12,21.69,30.46,97,7.5,95,100,16,30.47,30.47,125.35,6.67,200,22.5,7.5,85,16,237.5,49,47,47.5

51,12:30-12:45,7.4,0.63,0,0,70.16,16.45,76.26,30.78,16.04,1.3,1,0,8.66,71.35,16.04,1.39,225.62,0,75,8.66,0,30.78,32,30.78,26.12,21.69,30.46,97,7.5,95,100,17.33,30.47,30.47,125.01,6.67,200,22.5,7.5,85,17.34,237.5,49,47,47.5

52,12:45-13:00,7.4,0.63,0,0,70.16,16.43,76.26,30.78,16.02,1.3,1,0,8.66,62.52,16.02,1.39,225.62,0,75,8.66,0,30.78,32,30.78,26.12,21.18,30.46,97,7.5,95,100,18.67,30.47,30.47,124.06,6.67,200,22.5,7.5,85,18.66,237.5,49,47,47.5

53,13:00-13:15,7.4,0.63,0,0,70.16,16.35,59.47,23.08,15.95,1.2,1,0,8.66,52.9,15.95,1.39,177.53,0,75,8.66,0,23.08,32,23.08,26.12,21.18,30.46,97,7.5,95,100,20,30.47,30.47,122.68,7.33,200,22.5,7.5,85,20,237.5,49,48,47.5

54,13:15-13:30,7.6,0.63,0,0,70.16,16.2,59.47,23.08,15.81,1.2,1,0,8.66,52.9,15.81,1.39,165.38,0,75,8.66,0,23.08,32,23.08,26.12,21.18,30.46,97,7.5,93,100,21.67,30.47,30.47,124.18,8,200,22.5,7.5,85,21.66,237.5,49,47,47.5

55,13:30-13:45,8,0,0,0,70.16,15.94,59.47,23.08,15.56,1.2,1,0,8.66,52.9,15.56,1.39,165.38,0,75,8.66,0,23.08,32,23.08,26.12,21.18,30.46,97,7.5,93,100,18,30.47,30.47,121.2,6.67,196,22.5,7.5,84,18,237.5,49,47,47.5

56,13:45-14:00,8.2,0,0,0,70.16,15.65,59.47,23.08,15.27,1.2,1,0,8.66,52.9,15.27,1.39,165.38,0,75,8.66,0,23.08,32,23.08,26.12,21.18,30.46,80,7.5,92,100,19.67,30.47,30.47,117.08,6.67,193,22.5,7.5,82,19.66,237.5,40,46,47.5

57,14:00-14:15,8.6,0.78,0,0,70.16,15.33,59.47,23.08,14.96,1.2,1,0,8.66,52.9,14.96,1.39,165.38,0,75,8.66,0,23.08,32,23.08,26.12,21.18,30.46,97,7.5,91,100,20.67,30.47,30.47,114.1,7,200,22.5,7.5,85,20.66,237.5,49,45,47.5

58,14:15-14:30,8.8,0.78,0,0,70.16,14.8,59.47,23.08,14.44,1.2,1,0,8.66,52.9,14.44,1.39,165.38,0,75,8.66,0,23.08,32,23.08,26.12,21.18,30.46,96,7.5,91,99.33,21.67,30.47,30.47,111.91,7.33,196,22.5,7.5,84,21.66,237.5,48,44,47.5

59,14:30-14:45,9,0.78,0,0,70.16,14.36,59.47,23.08,14.01,1.2,1,0,8.66,52.9,14.01,1.39,165.38,0,75,8.66,0,23.08,32,23.08,26.12,21.18,30.46,90,7.5,89,97.33,20,30.47,30.47,99.11,6.67,189,22.5,7.5,81,20,237.5,45,42,47.5

60,14:45-15:00,9.4,0.78,0,0,70.16,12.42,59.47,23.08,12.12,1.2,1,0,8.66,52.9,12.12,1.39,165.38,0,75,8.66,0,23.08,32,23.08,26.12,21.18,30.46,87,7.5,87,94,20,30.47,30.47,100.69,6.67,182,22.5,7.5,78,20,237.5,43,41,47.5

61,15:00-15:15,10,0.78,0,0,70.16,11.75,59.47,23.08,11.46,1.2,1,0,8.66,52.9,11.46,1.39,165.38,0,75,8.66,0,23.08,32,23.08,26.12,21.18,30.96,83,7.5,85,89.09,20,30.97,30.97,82.92,7,172,22.5,7.5,73,20,231.23,41,39,46.25

62,15:15-15:30,10.8,0.78,0,0,70.16,11.01,59.47,23.08,10.74,1.2,1,0,8.66,57.71,10.74,1.39,165.38,0,75,8.66,0,23.08,32,23.08,26.12,22.69,30.96,76,7.5,82,83.12,21.67,30.97,30.97,74.58,7.33,161,22.5,7.5,69,21.66,219.08,38,37,43.82

63,15:30-15:45,11.41,0,0,0,70.16,10.18,59.47,23.08,9.93,1.2,1,0,8.66,86.56,9.93,1.39,165.38,0,75,8.66,0,23.08,32,23.08,26.12,22.69,32.84,68,7.5,77,76.32,23.33,27,32.85,65.89,7.67,151,22.5,7.5,64,23.34,205.02,34,34,41

64,15:45-16:00,11.81,0,0,0,70.16,9.25,59.47,23.08,9.02,1.2,1,0,8.66,100.2,9.02,1.39,165.38,0,75,8.66,0,23.08,32,23.08,26.12,22.69,32.86,60,7.5,70,69.68,25,19,32.86,57.07,8.33,140,22.5,7.5,60,25,189.58,30,31,37.92

65,16:00-16:15,10,0.63,0,0,70.16,8.22,59.47,23.08,8.02,1.2,1,0,8.66,100.2,8.02,1.35,165.38,0,75,8.66,0,23.08,32,23.08,26.12,23.7,33,52,8.33,63,65.82,30,11,33,48.36,8.33,126,25.01,8.33,54,30,171.5,26,28,34.3

66,16:15-16:30,10.2,0.63,0,0,70.16,7.13,59.47,23.08,6.95,1.2,1,0,8.66,100.2,6.95,1.35,165.38,0,75,8.66,0,23.08,32,23.08,26.12,23.7,33,44,8.33,55,57.38,32,5,33,39.92,8.33,109,25.01,8.33,46,32,151.63,22,25,30.33

67,16:30-16:45,10.2,0.63,0,0,66.02,5.91,76.26,23.08,5.77,1.2,1,0,8.66,100.2,5.77,1.35,259.55,0,75,8.66,0,23.08,32,23.08,26.12,23.7,33,37,8.33,45,48.64,34,1,33,32.28,8.33,95,25.01,8.33,40,34,137.57,18,21,27.51

68,16:45-17:00,10.4,0.63,0,0,66.02,4.64,76.26,23.08,4.53,1.2,1,0,8.66,100.2,4.53,1.35,259.55,0,75,8.66,0,23.08,32,23.08,26.12,24.21,33,29,8.33,38,40.18,36,0,33,23.94,8.33,74,25.01,8.33,31,36,115.07,14,16,23.02

69,17:00-17:15,10.6,0.63,0,0,66.02,3.22,86.75,36.55,3.14,1.3,1,0,8.66,100.2,3.14,1.35,259.55,0,75,8.66,0,36.55,32,36.55,32,24.71,23.76,21,8.33,30,32,36,0,19.31,16.19,8.33,53,25.01,8.33,22,36,92.89,10,11,18.58

70,17:15-17:30,10.8,0.63,0,0,74.5,2.06,86.75,36.55,2.01,1.3,1,0,8.66,100.2,2.01,1.35,259.55,0,75,8.66,0,36.55,32,36.55,32,25.22,14.43,12,9.17,19,23.91,36,0,10.87,9.85,10,35,27.49,9.17,15,36,70.48,6,5,14.1

71,17:30-17:45,10.8,0,0,0,82.98,1.16,86.75,36.55,1.13,1.3,1,0,13.47,100.2,1.13,1.35,259.55,0,75,13.47,0,36.55,32,43.28,32,25.22,7.48,5,10,13,15.29,36,0,0,5.46,12,18,30,10,7,36,44.29,2,3,8.86

72,17:45-18:00,10.6,0,0,0,115.05,0.52,86.75,36.55,0.51,1.3,1,0,13.47,100.2,0.51,1.35,259.55,0,75,13.47,0,36.55,32,43.28,32,25.72,2.56,1,11.83,9,5.76,36.33,0,0,2.3,12.67,7,35.51,11.83,3,36.34,25.99,0,2,5.2

73,18:00-18:15,10.6,0.63,50,200,115.05,0.13,86.75,36.55,0.12,1.3,1,0,13.47,100.2,0.12,1.35,259.55,0,75,13.47,0,36.55,32,43.28,32,26.22,0,0,13.33,5,1.44,36.67,0,0,0.23,11,2,40.01,13.33,1,36.66,4.6,0,1,0.92

74,18:15-18:30,10.4,0.63,50,200,115.05,0,86.75,36.55,0,1.3,1,0,13.47,100.2,0,1.35,259.55,0,75,13.47,0,36.55,32,43.28,32,26.22,0,0,13.83,2,0.02,38.33,0,0,0,11.67,0,41.51,13.83,0,38.34,1.16,0,1,0.23

75,18:30-18:45,10.4,0.63,50,200,115.05,0,86.75,36.55,0,1.3,1,0,13.47,100.2,0,1.35,259.55,0,75,13.47,50,36.55,32,43.28,32,26.22,0,0,14.17,0,0,41.67,0,0,0,12.33,0,42.49,14.17,0,41.66,0,0,0,0

76,18:45-19:00,10.6,0.63,50,200,115.05,0,86.75,36.55,0,1.3,1,0,13.47,100.2,0,1.35,259.55,0,75,13.47,50,36.55,32,43.28,32,26.22,0,0,17.5,0,0,45,0,0,0,13.33,0,52.5,17.5,0,45,0,0,0,0

77,19:00-19:15,10.6,0.63,50,200,115.05,0,86.75,36.55,0,1.2,1,0,13.47,100.2,0,1.35,259.55,0,75,13.47,50,36.55,32,43.28,32,26.22,0,0,16.67,0,0,46.67,0,0,0,14,0,49.99,16.67,0,46.66,0,0,0,0

78,19:15-19:30,10.6,0.63,50,200,115.05,0,86.75,36.55,0,1.2,1,0,13.47,100.2,0,1.35,259.55,0,75,13.47,50,36.55,32,43.28,32,26.22,0,0,17.5,0,0,48.33,0,0,0,14.33,0,52.5,17.5,0,48.34,0,0,0,0

79,19:30-19:45,10.8,0,50,200,115.05,0,86.75,36.55,0,1.2,1,0,13.47,100.2,0,1.35,259.55,0,75,13.47,50,36.55,32,43.28,32,26.22,0,0,18.33,0,0,38.33,0,0,0,14.33,0,55.01,18.33,0,38.34,0,0,0,0

80,19:45-20:00,10.8,0,50,200,115.05,0,86.75,36.55,0,1.2,1,0,13.47,100.2,0,1.35,259.55,0,75,13.47,50,36.55,32,43.28,32,26.22,0,0,18.33,0,0,39,0,0,0,14.33,0,55.01,18.33,0,39,0,0,0,0

