Time,Block,NR/2023/16334/C,NR/2023/16299/C,NR/2023/13862/A,NR/2023/16311/C,NR/2023/16297/C,NR/2023/12422/A,NR/2023/14895/A,NR/2023/12052/A,NR/2023/14737/A,NR/2023/12053/A,NR/2023/15309/F,NR/2023/16293/D,NR/2023/15057/F,NR/2023/16329/C,NR/2023/15937/F,NR/2023/12347/A,NR/2023/12591/A,NR/2023/13635/A,NR/2023/14898/A,NR/2023/12167/A,WR/2023/18308/C,NR/2023/12168/A,NR/2023/12431/A,NR/2023/12148/A,NR/2023/14745/A,NR/2023/15402/F,WR/2023/18318/C,NR/2023/12592/A,NR/2023/16312/C,NR/2023/14746/A,Total
10,02:15-02:30,0.000000,17.500000,23.150000,0.000000,8.070000,38.010000,95.760000,63.120000,62.870000,36.500000,4.840000,0,0.580000,0.000000,193.460000,98.660000,50.060000,25.030000,77.380000,24.180000,20.000000,46.620000,75.370000,22.250000,24.180000,0.000000,0.000000,100.120000,0.000000,88.700000,1196.41

11,02:30-02:45,0.000000,17.500000,23.150000,0.000000,8.070000,38.010000,95.760000,63.120000,62.870000,36.500000,4.840000,0,0.580000,0.000000,193.460000,98.660000,50.060000,25.030000,77.380000,24.180000,20.000000,46.620000,75.370000,22.250000,24.180000,0.000000,0.000000,100.120000,0.000000,88.700000,1196.41

12,02:45-03:00,0.000000,17.500000,23.150000,0.000000,8.070000,38.010000,95.760000,63.120000,62.870000,36.500000,4.840000,0,0.580000,0.000000,193.460000,98.660000,50.060000,25.030000,77.380000,24.180000,20.000000,46.620000,75.370000,22.250000,24.180000,0.000000,0.000000,100.120000,0.000000,88.700000,1196.41

13,03:00-03:15,0.000000,17.410000,0.000000,0.000000,8.070000,38.010000,95.760000,63.120000,62.870000,0.000000,4.840000,0,0.530000,0.000000,193.460000,98.660000,50.060000,25.030000,77.380000,24.180000,20.000000,46.620000,75.370000,22.250000,24.180000,0.000000,0.000000,100.120000,0.000000,88.700000,1136.62

14,03:15-03:30,0.000000,17.410000,0.000000,0.000000,8.070000,38.010000,95.760000,63.120000,62.870000,0.000000,4.840000,0,0.530000,0.000000,193.460000,98.660000,50.060000,25.030000,77.380000,24.180000,20.000000,46.620000,75.370000,22.250000,24.180000,0.000000,0.000000,100.120000,0.000000,88.700000,1136.62

15,03:30-03:45,0.000000,17.410000,0.000000,0.000000,8.070000,38.010000,95.760000,63.120000,62.870000,0.000000,4.840000,0,0.530000,0.000000,193.460000,98.660000,50.060000,25.030000,77.380000,24.180000,20.000000,46.620000,75.370000,22.250000,24.180000,0.000000,0.000000,100.120000,0.000000,88.700000,1136.62

16,03:45-04:00,0.000000,17.410000,0.000000,0.000000,8.070000,38.010000,95.760000,63.120000,62.870000,0.000000,4.840000,0,0.530000,0.000000,193.460000,98.660000,50.060000,25.030000,77.380000,24.180000,20.000000,46.620000,75.370000,22.250000,24.180000,0.000000,0.000000,100.120000,0.000000,88.700000,1136.62

17,04:00-04:15,0.000000,17.310000,0.000000,25.000000,8.070000,38.010000,95.760000,63.120000,62.870000,0.000000,4.840000,0,0.530000,0.000000,193.460000,98.660000,50.060000,25.030000,77.380000,24.180000,20.000000,46.620000,85.640000,22.250000,24.180000,0.000000,0.000000,100.120000,0.000000,88.700000,1171.79

18,04:15-04:30,0.000000,17.310000,0.000000,25.000000,8.070000,38.010000,95.760000,63.120000,62.870000,0.000000,4.840000,0,0.530000,0.000000,193.460000,98.660000,50.060000,25.030000,77.380000,24.180000,20.000000,46.620000,85.640000,22.250000,24.180000,0.000000,0.000000,100.120000,0.000000,88.700000,1171.79

19,04:30-04:45,0.000000,17.310000,0.000000,25.000000,8.070000,38.010000,95.760000,63.120000,62.870000,0.000000,4.840000,0,0.530000,0.000000,193.460000,98.660000,50.060000,25.030000,77.380000,24.180000,20.000000,46.620000,85.640000,22.250000,24.180000,0.000000,0.000000,100.120000,0.000000,88.700000,1171.79

20,04:45-05:00,0.000000,17.310000,0.000000,25.000000,8.070000,38.010000,95.760000,63.120000,62.870000,0.000000,4.840000,0,0.530000,0.000000,193.460000,98.660000,50.060000,25.030000,77.380000,24.180000,20.000000,46.620000,85.640000,22.250000,24.180000,0.000000,0.000000,100.120000,0.000000,88.700000,1171.79

21,05:00-05:15,0.000000,17.130000,0.000000,25.000000,8.070000,38.010000,95.760000,63.120000,62.870000,0.000000,4.840000,0,0.530000,0.000000,193.460000,0.000000,50.060000,25.030000,77.380000,24.180000,20.000000,46.620000,85.640000,22.250000,24.180000,0.000000,0.000000,100.120000,0.000000,88.700000,1072.95

22,05:15-05:30,0.000000,17.130000,0.000000,25.000000,8.070000,38.010000,95.760000,63.120000,62.870000,0.000000,4.840000,0,0.530000,0.000000,193.460000,0.000000,50.060000,25.030000,77.380000,24.180000,20.000000,46.620000,85.640000,22.250000,24.180000,0.000000,0.000000,100.120000,0.000000,88.700000,1072.95

23,05:30-05:45,0.000000,17.130000,0.000000,25.000000,8.070000,38.010000,95.760000,63.120000,62.870000,0.000000,4.840000,0,0.530000,0.000000,193.460000,0.000000,50.060000,25.030000,77.380000,24.180000,20.000000,46.620000,85.640000,22.250000,24.180000,0.000000,0.000000,100.120000,0.000000,88.700000,1072.95

24,05:45-06:00,0.000000,17.130000,0.000000,25.000000,8.070000,38.010000,95.760000,63.120000,62.870000,0.000000,4.840000,0,0.530000,0.000000,193.460000,0.000000,50.060000,25.030000,77.380000,24.180000,20.000000,46.620000,85.640000,22.250000,24.180000,0.000000,0.000000,100.120000,0.000000,88.700000,1072.95

25,06:00-06:15,0.000000,17.030000,0.000000,0.000000,8.070000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,0,0.680000,0.000000,193.460000,0.000000,50.060000,25.030000,77.380000,24.180000,20.000000,46.620000,85.640000,22.250000,24.180000,0.000000,0.000000,100.120000,0.000000,0.000000,921.29

26,06:15-06:30,0.000000,17.030000,0.000000,0.000000,8.070000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,0,0.680000,0.000000,193.460000,0.000000,50.060000,25.030000,77.380000,24.180000,20.000000,46.620000,85.640000,22.250000,24.180000,0.000000,0.000000,100.120000,0.000000,0.000000,921.29

27,06:30-06:45,0.000000,17.030000,0.000000,0.000000,8.070000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,0.1,0.680000,0.000000,193.460000,0.000000,50.060000,25.030000,77.380000,24.180000,20.000000,46.620000,85.640000,22.250000,24.180000,0.000000,0.000000,100.120000,0.000000,0.000000,921.39

28,06:45-07:00,0.000000,17.030000,0.000000,0.000000,8.070000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,0.58,0.680000,0.000000,193.460000,0.000000,50.060000,25.030000,77.380000,24.180000,20.000000,46.620000,85.640000,22.250000,24.180000,0.000000,0.000000,100.120000,0.000000,0.000000,921.87

29,07:00-07:15,0.000000,16.850000,0.000000,0.000000,8.070000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,1.74,0.680000,0.000000,193.460000,0.000000,50.060000,25.030000,77.380000,24.180000,20.000000,46.620000,85.640000,22.250000,24.180000,0.000000,0.000000,100.120000,0.000000,0.000000,922.85

30,07:15-07:30,0.000000,16.850000,0.000000,0.000000,8.070000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,1.93,0.680000,0.000000,193.460000,0.000000,50.060000,25.030000,77.380000,24.180000,20.000000,46.620000,85.640000,22.250000,24.180000,0.000000,0.000000,100.120000,0.000000,0.000000,923.04

31,07:30-07:45,0.000000,16.850000,0.000000,0.000000,8.070000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,2.42,0.680000,0.000000,193.460000,0.000000,50.060000,25.030000,77.380000,24.180000,20.000000,46.620000,85.640000,22.250000,24.180000,0.000000,0.000000,100.120000,0.000000,0.000000,923.53

32,07:45:08:00,0.000000,16.850000,0.000000,0.000000,8.070000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,2.71,0.680000,0.000000,193.460000,0.000000,50.060000,25.030000,77.380000,24.180000,20.000000,46.620000,85.640000,22.250000,24.180000,0.000000,0.000000,100.120000,0.000000,0.000000,923.82

33,08:00-08:15,0.000000,16.670000,0.000000,0.000000,8.070000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,3.39,0.970000,0.000000,193.460000,0.000000,50.060000,25.030000,77.380000,24.180000,6.000000,46.620000,85.640000,22.250000,24.180000,0.000000,0.000000,100.120000,0.000000,0.000000,910.61

34,08:15-08:30,0.000000,16.670000,0.000000,0.000000,8.070000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,3.58,0.970000,0.000000,193.460000,0.000000,50.060000,25.030000,77.380000,24.180000,6.000000,46.620000,85.640000,22.250000,24.180000,0.000000,0.000000,100.120000,0.000000,0.000000,910.8

35,08:30-08:45,0.000000,16.670000,0.000000,0.000000,8.070000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,3.68,0.970000,0.000000,193.460000,0.000000,50.060000,25.030000,77.380000,24.180000,6.000000,46.620000,85.640000,22.250000,24.180000,0.000000,0.000000,100.120000,0.000000,0.000000,910.9

36,08:45:09:00,0.000000,16.670000,0.000000,0.000000,8.070000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,4.06,0.970000,0.000000,193.460000,0.000000,50.060000,25.030000,77.380000,24.180000,6.000000,46.620000,85.640000,22.250000,24.180000,0.000000,0.000000,100.120000,0.000000,0.000000,911.28

37,09:00:09:15,0.000000,15.000000,0.000000,0.000000,11.600000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,4.64,0.970000,0.000000,193.460000,0.000000,50.060000,25.030000,77.380000,24.180000,6.000000,46.620000,85.640000,22.250000,24.180000,6.770000,0.000000,100.120000,0.000000,0.000000,920.49

38,09:15-09:30,0.000000,15.000000,0.000000,0.000000,11.600000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,4.84,0.970000,0.000000,193.460000,0.000000,50.060000,25.030000,77.380000,24.180000,6.000000,46.620000,85.640000,22.250000,24.180000,6.770000,0.000000,100.120000,0.000000,0.000000,920.69

39,09:30-09:45,0.000000,15.000000,0.000000,0.000000,11.600000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,5.03,0.970000,0.000000,193.460000,0.000000,50.060000,25.030000,77.380000,24.180000,6.000000,46.620000,85.640000,22.250000,24.180000,6.770000,0.000000,100.120000,0.000000,0.000000,920.88

40,09:45-10:00,0.000000,15.000000,0.000000,0.000000,11.600000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,5.42,0.970000,0.000000,193.460000,0.000000,50.060000,25.030000,77.380000,24.180000,6.000000,46.620000,85.640000,22.250000,24.180000,6.770000,0.000000,100.120000,0.000000,0.000000,921.27

41,10:00-10:15,0.000000,15.000000,0.000000,30.000000,11.600000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,5.61,0.970000,0.000000,193.460000,90.930000,50.060000,25.030000,77.380000,24.180000,0.000000,46.620000,85.640000,22.250000,24.180000,6.770000,0.000000,100.120000,0.000000,0.000000,1036.39

42,10:15-10:30,0.000000,15.000000,0.000000,30.000000,11.600000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,6.29,0.970000,0.000000,193.460000,90.930000,50.060000,25.030000,77.380000,24.180000,0.000000,46.620000,85.640000,22.250000,24.180000,6.770000,0.000000,100.120000,0.000000,0.000000,1037.07

43,10:30-10:45,0.000000,15.000000,0.000000,30.000000,11.600000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,6.58,0.970000,0.000000,193.460000,90.930000,50.060000,25.030000,77.380000,24.180000,0.000000,46.620000,85.640000,22.250000,24.180000,6.770000,0.000000,100.120000,0.000000,0.000000,1037.36

44,10:45-11:00,0.000000,15.000000,0.000000,30.000000,11.600000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,6.96,0.970000,0.000000,193.460000,90.930000,50.060000,25.030000,77.380000,24.180000,0.000000,46.620000,85.640000,22.250000,24.180000,6.770000,0.000000,100.120000,0.000000,0.000000,1037.74

45,11:00-11:15,0.000000,15.000000,0.000000,30.000000,11.600000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,7.54,0.970000,0.000000,193.460000,90.930000,50.060000,25.030000,77.380000,24.180000,0.000000,46.620000,85.640000,22.250000,24.180000,6.770000,0.000000,100.120000,0.000000,0.000000,1038.32

46,11:15-11:30,0.000000,15.000000,0.000000,30.000000,11.600000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,7.74,0.970000,0.000000,193.460000,90.930000,50.060000,25.030000,77.380000,24.180000,0.000000,46.620000,85.640000,22.250000,24.180000,6.770000,0.000000,100.120000,0.000000,0.000000,1038.52

47,11:30-11:45,0.000000,15.000000,0.000000,30.000000,11.600000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,7.93,0.970000,0.000000,193.460000,90.930000,50.060000,25.030000,77.380000,24.180000,0.000000,46.620000,85.640000,22.250000,24.180000,6.770000,0.000000,100.120000,0.000000,0.000000,1038.71

48,11:45-12:00,0.000000,15.000000,0.000000,30.000000,11.600000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,8.22,0.970000,0.000000,193.460000,90.930000,50.060000,25.030000,77.380000,24.180000,0.000000,46.620000,85.640000,22.250000,24.180000,6.770000,0.000000,100.120000,0.000000,0.000000,1039

49,12:00-12:15,0.000000,17.030000,0.000000,30.000000,11.600000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,8.51,0.970000,0.000000,193.460000,90.930000,50.060000,25.030000,77.380000,24.180000,0.000000,46.620000,85.640000,22.250000,24.180000,6.770000,0.000000,100.120000,0.000000,0.000000,1041.32

50,12:15-12:30,0.000000,17.030000,0.000000,30.000000,11.600000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,8.71,0.970000,0.000000,193.460000,90.930000,50.060000,25.030000,77.380000,24.180000,0.000000,46.620000,85.640000,22.250000,24.180000,6.770000,0.000000,100.120000,0.000000,0.000000,1041.52

51,12:30-12:45,0.000000,17.030000,0.000000,30.000000,11.600000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,8.9,0.970000,0.000000,193.460000,90.930000,50.060000,25.030000,77.380000,24.180000,0.000000,46.620000,85.640000,22.250000,24.180000,6.770000,0.000000,100.120000,0.000000,0.000000,1041.71

52,12:45-13:00,0.000000,17.030000,0.000000,30.000000,11.600000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,9.09,0.970000,0.000000,193.460000,90.930000,50.060000,25.030000,77.380000,24.180000,0.000000,46.620000,85.640000,22.250000,24.180000,6.770000,0.000000,100.120000,0.000000,0.000000,1041.9

53,13:00-13:15,0.000000,17.030000,0.000000,30.000000,11.600000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,8.9,0.970000,0.000000,193.460000,90.930000,50.060000,25.030000,77.380000,24.180000,0.000000,46.620000,85.640000,22.250000,24.180000,6.770000,0.000000,100.120000,0.000000,0.000000,1041.71

54,13:15-13:30,0.000000,17.030000,0.000000,30.000000,11.600000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,8.71,0.970000,0.000000,193.460000,90.930000,50.060000,25.030000,77.380000,24.180000,0.000000,46.620000,85.640000,22.250000,24.180000,6.770000,0.000000,100.120000,0.000000,0.000000,1041.52

55,13:30-13:45,0.000000,17.030000,0.000000,30.000000,11.600000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,8.51,0.970000,0.000000,193.460000,90.930000,50.060000,25.030000,77.380000,24.180000,0.000000,46.620000,85.640000,22.250000,24.180000,6.770000,0.000000,100.120000,0.000000,0.000000,1041.32

56,13:45-14:00,0.000000,17.030000,0.000000,30.000000,11.600000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,7.74,0.970000,0.000000,193.460000,90.930000,50.060000,25.030000,77.380000,24.180000,0.000000,46.620000,85.640000,22.250000,24.180000,6.770000,0.000000,100.120000,0.000000,0.000000,1040.55

57,14:00-14:15,0.000000,17.130000,23.150000,30.000000,11.600000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,7.25,0.970000,0.000000,193.460000,106.400000,50.060000,25.030000,77.380000,24.180000,0.000000,46.620000,85.640000,22.250000,24.180000,6.770000,0.000000,100.120000,0.000000,0.000000,1078.78

58,14:15-14:30,0.000000,17.130000,23.150000,30.000000,11.600000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,6.77,0.970000,0.000000,193.460000,106.400000,50.060000,25.030000,77.380000,24.180000,0.000000,46.620000,85.640000,22.250000,24.180000,6.770000,0.000000,100.120000,0.000000,0.000000,1078.3

59,14:30-14:45,0.000000,17.130000,23.150000,30.000000,11.600000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,6.58,0.970000,0.000000,193.460000,106.400000,50.060000,25.030000,77.380000,24.180000,0.000000,46.620000,85.640000,22.250000,24.180000,6.770000,0.000000,100.120000,0.000000,0.000000,1078.11

60,14:45-15:00,0.000000,17.130000,23.150000,30.000000,11.600000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,6.29,0.970000,0.000000,193.460000,106.400000,50.060000,25.030000,77.380000,24.180000,0.000000,46.620000,85.640000,22.250000,24.180000,6.770000,0.000000,100.120000,0.000000,0.000000,1077.82

61,15:00-15:15,0.000000,17.220000,23.150000,30.000000,11.600000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,5.8,0.920000,0.000000,193.460000,106.400000,50.060000,25.030000,77.380000,24.180000,0.000000,46.620000,85.640000,22.250000,24.180000,6.770000,0.000000,100.120000,0.000000,0.000000,1077.37

62,15:15-15:30,0.000000,17.220000,23.150000,30.000000,11.600000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,5.61,0.920000,0.000000,193.460000,106.400000,50.060000,25.030000,77.380000,24.180000,0.000000,46.620000,85.640000,22.250000,24.180000,6.770000,0.000000,100.120000,0.000000,0.000000,1077.18

63,15:30-15:45,0.000000,17.220000,23.150000,30.000000,11.600000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,5.32,0.920000,0.000000,193.460000,106.400000,50.060000,25.030000,77.380000,24.180000,0.000000,46.620000,85.640000,22.250000,24.180000,6.770000,0.000000,100.120000,0.000000,0.000000,1076.89

64,15:45-16:00,0.000000,17.220000,23.150000,30.000000,11.600000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,4.84,0.920000,0.000000,193.460000,106.400000,50.060000,25.030000,77.380000,24.180000,0.000000,46.620000,85.640000,22.250000,24.180000,6.770000,0.000000,100.120000,0.000000,0.000000,1076.41

65,16:00-16:15,0.000000,12.320000,23.150000,30.000000,11.600000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,4.35,0.820000,0.000000,193.460000,106.400000,50.060000,25.030000,77.380000,24.180000,0.000000,46.620000,85.640000,22.250000,24.180000,6.770000,0.000000,100.120000,0.000000,0.000000,1070.92

66,16:15-16:30,0.000000,12.320000,23.150000,30.000000,11.600000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,3.87,0.820000,0.000000,193.460000,106.400000,50.060000,25.030000,77.380000,24.180000,0.000000,46.620000,85.640000,22.250000,24.180000,6.770000,0.000000,100.120000,0.000000,0.000000,1070.44

67,16:30-16:45,0.000000,12.320000,23.150000,30.000000,11.600000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,3.39,0.820000,0.000000,193.460000,106.400000,50.060000,25.030000,77.380000,24.180000,0.000000,46.620000,85.640000,22.250000,24.180000,6.770000,0.000000,100.120000,0.000000,0.000000,1069.96

68,16:45-17:00,0.000000,12.320000,23.150000,30.000000,11.600000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,3.1,0.820000,0.000000,193.460000,106.400000,50.060000,25.030000,77.380000,24.180000,0.000000,46.620000,85.640000,22.250000,24.180000,6.770000,0.000000,100.120000,0.000000,0.000000,1069.67

69,17:00-17:15,0.000000,12.320000,0.000000,30.000000,11.600000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,2.9,0.820000,0.000000,193.460000,48.360000,50.060000,25.030000,77.380000,24.180000,0.000000,46.620000,85.640000,22.250000,24.180000,0.000000,0.000000,100.120000,0.000000,0.000000,981.51

70,17:15-17:30,0.000000,12.320000,0.000000,30.000000,11.600000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,2.51,0.820000,0.000000,193.460000,48.360000,50.060000,25.030000,77.380000,24.180000,0.000000,46.620000,85.640000,22.250000,24.180000,0.000000,0.000000,100.120000,0.000000,0.000000,981.12

71,17:30-17:45,0.000000,12.320000,0.000000,30.000000,11.600000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,1.45,0.820000,0.000000,193.460000,48.360000,50.060000,25.030000,77.380000,24.180000,0.000000,46.620000,85.640000,22.250000,24.180000,0.000000,0.000000,100.120000,0.000000,0.000000,980.06

72,17:45-18:00,0.000000,12.320000,0.000000,30.000000,11.600000,0.000000,95.760000,63.120000,62.870000,0.000000,4.840000,0.97,0.820000,0.000000,193.460000,48.360000,50.060000,25.030000,77.380000,24.180000,0.000000,46.620000,85.640000,22.250000,24.180000,0.000000,0.000000,100.120000,0.000000,0.000000,979.58

73,18:00-18:15,0.000000,12.320000,0.000000,0.000000,11.600000,0.000000,95.760000,63.120000,62.870000,36.500000,4.840000,0.87,0.870000,0.000000,193.460000,48.360000,50.060000,25.030000,77.380000,24.180000,0.000000,46.620000,85.640000,22.250000,0.000000,0.000000,0.000000,100.120000,0.000000,0.000000,961.85

74,18:15-18:30,0.000000,12.320000,0.000000,0.000000,11.600000,0.000000,95.760000,63.120000,62.870000,36.500000,4.840000,0.39,0.870000,0.000000,193.460000,48.360000,50.060000,25.030000,77.380000,24.180000,0.000000,46.620000,85.640000,22.250000,0.000000,0.000000,0.000000,100.120000,0.000000,0.000000,961.37

