Time,Block,NR/2024/19121/A/16307,NR/2024/19337/A/16517,NR/2024/19651/C,NR/2024/19484/A/16876,NR/2024/19643/C,NR/2024/18976/A/16254,NR/2024/19075/A/16222,NR/2024/19650/C,NR/2024/19143/A/16218,NR/2024/18934/A/16235,NR/2024/19290/A/16923,NR/2024/18977/A/16255,NR/2024/19661/C,NR/2024/19030/A/16243,NR/2024/19172/A/16921,NR/2024/19572/A/16730,NR/2024/19485/A/16877,NR/2024/19483/A/16879,NR/2024/19633/C,NR/2024/19629/C,NR/2024/19469/A/16514,NR/2024/19245/A/16519,NR/2024/19631/C,NR/2024/18986/A/16379,NR/2024/19115/A/16220,NR/2024/18935/A/16239,NR/2024/18919/A/16797,NR/2024/19043/A/16231,NR/2024/19663/C,NR/2024/18855/A/16308,NR/2024/19653/C,NR/2024/18978/A/16256,NR/2024/19666/C,NR/2024/19658/C,NR/2024/18996/A/16771,NR/2024/19620/C,NR/2024/18936/A/16244,NR/2024/19024/A/16521,NR/2024/19624/C,Total

3,00:30-00:45,0.000000,1.930000,33.790000,37.290000,19.310000,0.000000,0.000000,43.440000,2.000000,0.000000,67.570000,0.000000,38.610000,0.000000,115.840000,193.060000,37.290000,12.430000,26.060000,0,0.000000,0.000000,52.510000,0.530000,0.000000,0.000000,9.650000,0.000000,96.530000,66.790000,0.000000,0.000000,193.060000,96.530000,0.000000,96.530000,0.000000,4.830000,96.530000,1342.11

4,00:45-01:00,0.000000,1.930000,33.790000,37.290000,19.310000,0.000000,0.000000,60.810000,2.000000,0.000000,67.570000,0.000000,38.610000,0.000000,115.840000,193.060000,37.290000,12.430000,26.060000,0,0.000000,0.000000,52.510000,0.530000,0.000000,0.000000,9.650000,0.000000,96.530000,66.790000,0.000000,0.000000,193.060000,96.530000,0.000000,96.530000,0.000000,4.830000,96.530000,1359.48

5,01:00-01:15,0.000000,1.930000,57.920000,37.290000,19.310000,0.000000,0.000000,0.000000,2.000000,0.000000,67.570000,0.000000,0.000000,0.000000,115.840000,193.060000,37.290000,12.430000,26.060000,0,0.000000,0.000000,52.510000,0.480000,0.000000,0.000000,9.650000,0.000000,96.530000,66.790000,0.000000,0.000000,193.060000,96.530000,0.000000,96.530000,0.000000,4.830000,96.530000,1284.14

6,01:15-01:30,0.000000,1.930000,57.920000,37.290000,19.310000,0.000000,0.000000,0.000000,2.000000,0.000000,67.570000,0.000000,0.000000,0.000000,115.840000,193.060000,37.290000,12.430000,26.060000,0,0.000000,0.000000,52.510000,0.480000,0.000000,0.000000,9.650000,0.000000,96.530000,66.790000,0.000000,0.000000,193.060000,96.530000,0.000000,96.530000,0.000000,4.830000,96.530000,1284.14

7,01:30-01:45,0.000000,1.930000,57.920000,37.290000,19.310000,0.000000,0.000000,0.000000,2.000000,0.000000,67.570000,0.000000,0.000000,0.000000,115.840000,193.060000,37.290000,12.430000,26.060000,0,0.000000,0.000000,52.510000,0.480000,0.000000,0.000000,9.650000,0.000000,96.530000,66.790000,0.000000,0.000000,193.060000,96.530000,0.000000,96.530000,0.000000,4.830000,96.530000,1284.14

8,01:45-02:00,0.000000,1.930000,57.920000,37.290000,19.310000,0.000000,0.000000,0.000000,2.000000,0.000000,67.570000,0.000000,0.000000,0.000000,115.840000,193.060000,37.290000,12.430000,26.060000,0,0.000000,0.000000,52.510000,0.480000,0.000000,0.000000,9.650000,0.000000,96.530000,66.790000,0.000000,0.000000,193.060000,96.530000,0.000000,96.530000,0.000000,4.830000,96.530000,1284.14

9,02:00-02:15,0.000000,1.930000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,67.570000,0.000000,0.000000,0.000000,115.840000,0.000000,37.290000,12.430000,26.060000,0,0.000000,0.000000,52.510000,0.480000,0.000000,0.000000,9.650000,0.000000,96.530000,66.790000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,531.2

10,02:15-02:30,0.000000,1.930000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,67.570000,0.000000,0.000000,0.000000,115.840000,0.000000,37.290000,12.430000,26.060000,0,0.000000,0.000000,52.510000,0.480000,0.000000,0.000000,9.650000,0.000000,96.530000,66.790000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,531.2

11,02:30-02:45,0.000000,1.930000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,67.570000,0.000000,0.000000,0.000000,115.840000,0.000000,37.290000,12.430000,26.060000,0,0.000000,0.000000,52.510000,0.480000,0.000000,0.000000,9.650000,0.000000,96.530000,66.790000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,531.2

12,02:45-03:00,0.000000,1.930000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,67.570000,0.000000,0.000000,0.000000,115.840000,0.000000,37.290000,12.430000,26.060000,0,0.000000,0.000000,52.510000,0.480000,0.000000,0.000000,9.650000,0.000000,96.530000,66.790000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,531.2

13,03:00-03:15,0.000000,1.930000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,67.570000,0.000000,0.000000,0.000000,115.840000,0.000000,37.290000,12.430000,26.060000,0,0.000000,0.000000,52.510000,0.480000,0.000000,0.000000,9.650000,0.000000,96.530000,66.790000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,531.2

14,03:15-03:30,0.000000,1.930000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,67.570000,0.000000,0.000000,0.000000,115.840000,0.000000,37.290000,12.430000,26.060000,0,0.000000,0.000000,52.510000,0.480000,0.000000,0.000000,9.650000,0.000000,96.530000,66.790000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,531.2

15,03:30-03:45,0.000000,1.930000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,67.570000,0.000000,0.000000,0.000000,115.840000,0.000000,37.290000,12.430000,26.060000,0,0.000000,0.000000,52.510000,0.480000,0.000000,0.000000,9.650000,0.000000,96.530000,66.790000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,531.2

16,03:45-04:00,0.000000,1.930000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,67.570000,0.000000,0.000000,0.000000,115.840000,0.000000,37.290000,12.430000,26.060000,0,0.000000,0.000000,52.510000,0.480000,0.000000,0.000000,9.650000,0.000000,96.530000,66.790000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,531.2

17,04:00-04:15,0.000000,1.930000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,67.570000,0.000000,0.000000,0.000000,115.840000,0.000000,37.290000,12.430000,26.060000,0,0.000000,0.000000,52.510000,0.480000,0.000000,0.000000,9.650000,0.000000,96.530000,66.790000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,531.2

18,04:15-04:30,0.000000,1.930000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,67.570000,0.000000,0.000000,0.000000,115.840000,0.000000,37.290000,12.430000,26.060000,0,0.000000,0.000000,52.510000,0.480000,0.000000,0.000000,9.650000,0.000000,96.530000,66.790000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,531.2

19,04:30-04:45,0.000000,1.930000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,67.570000,0.000000,0.000000,0.000000,115.840000,0.000000,37.290000,12.430000,26.060000,0,0.000000,0.000000,52.510000,0.480000,0.000000,0.000000,9.650000,0.000000,96.530000,66.790000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,531.2

20,04:45-05:00,0.000000,1.930000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,67.570000,0.000000,0.000000,0.000000,115.840000,0.000000,37.290000,12.430000,26.060000,0,0.000000,0.000000,52.510000,0.480000,0.000000,0.000000,9.650000,0.000000,96.530000,66.790000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,531.2

21,05:00-05:15,66.790000,1.930000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.570000,0.000000,0.000000,0.000000,115.840000,0.000000,37.290000,12.430000,26.060000,0,0.000000,0.000000,52.510000,0.480000,0.000000,0.000000,9.650000,0.000000,96.530000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,529.2

22,05:15-05:30,66.790000,1.930000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.570000,0.000000,0.000000,0.000000,115.840000,0.000000,37.290000,12.430000,26.060000,0,0.000000,0.000000,52.510000,0.480000,0.000000,0.000000,9.650000,0.000000,96.530000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,529.2

23,05:30-05:45,66.790000,1.930000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.570000,0.000000,0.000000,0.000000,115.840000,0.000000,37.290000,12.430000,26.060000,0,0.000000,0.000000,52.510000,0.480000,0.000000,0.000000,9.650000,0.000000,96.530000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,529.2

24,05:45-06:00,66.790000,1.930000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.570000,0.000000,0.000000,0.000000,115.840000,0.000000,37.290000,12.430000,26.060000,0,0.000000,0.000000,52.510000,0.480000,0.000000,0.000000,9.650000,0.000000,96.530000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,529.2

25,06:00-06:15,66.790000,1.930000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.570000,0.000000,0.000000,0.000000,115.840000,0.000000,37.290000,12.430000,26.060000,0,0.000000,0.000000,52.510000,0.530000,0.000000,0.000000,0.000000,0.000000,96.530000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,519.6

26,06:15-06:30,66.790000,1.930000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.570000,0.000000,0.000000,0.000000,115.840000,0.000000,37.290000,12.430000,26.060000,0,0.000000,0.000000,52.510000,0.530000,0.000000,0.000000,0.000000,0.000000,96.530000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,519.6

27,06:30-06:45,66.790000,1.930000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.570000,0.000000,0.000000,0.000000,115.840000,0.000000,37.290000,12.430000,26.060000,0.48,0.000000,0.000000,52.510000,0.530000,0.000000,0.000000,0.000000,0.000000,96.530000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,520.08

28,06:45-07:00,66.790000,1.930000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.570000,0.000000,0.000000,0.000000,115.840000,0.000000,37.290000,12.430000,26.060000,0.79,0.000000,0.000000,52.510000,0.530000,0.000000,0.000000,0.000000,0.000000,96.530000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,520.39

29,07:00-07:15,66.790000,1.930000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.570000,0.000000,0.000000,0.000000,115.840000,0.000000,37.290000,12.430000,26.060000,1.28,0.000000,0.000000,52.510000,0.630000,0.000000,0.000000,0.000000,0.000000,96.530000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,520.98

30,07:15-07:30,66.790000,1.930000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.570000,0.000000,0.000000,0.000000,115.840000,0.000000,37.290000,12.430000,26.060000,1.83,0.000000,0.000000,52.510000,0.630000,0.000000,0.000000,0.000000,0.000000,96.530000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,521.53

31,07:30-07:45,66.790000,1.930000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.570000,0.000000,0.000000,0.000000,115.840000,0.000000,37.290000,12.430000,26.060000,2.37,0.000000,0.000000,52.510000,0.630000,0.000000,0.000000,0.000000,0.000000,96.530000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,522.07

32,07:45:08:00,66.790000,1.930000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.570000,0.000000,0.000000,0.000000,115.840000,0.000000,37.290000,12.430000,26.060000,2.97,0.000000,0.000000,52.510000,0.630000,0.000000,0.000000,0.000000,0.000000,96.530000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,522.67

33,08:00-08:15,66.790000,1.930000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.570000,0.000000,0.000000,0.000000,115.840000,0.000000,37.290000,12.430000,26.060000,3.54,0.000000,0.000000,52.510000,0.970000,0.000000,0.000000,0.000000,0.000000,96.530000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,523.58

34,08:15-08:30,66.790000,1.930000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.570000,0.000000,0.000000,0.000000,115.840000,0.000000,37.290000,12.430000,26.060000,4.06,0.000000,0.000000,52.510000,0.970000,0.000000,0.000000,0.000000,0.000000,96.530000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,524.1

35,08:30-08:45,66.790000,1.930000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.570000,0.000000,0.000000,0.000000,115.840000,0.000000,37.290000,12.430000,26.060000,4.56,0.000000,0.000000,52.510000,0.970000,0.000000,0.000000,0.000000,0.000000,96.530000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,524.6

36,08:45:09:00,66.790000,1.930000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.570000,0.000000,0.000000,0.000000,115.840000,0.000000,37.290000,12.430000,26.060000,5.05,0.000000,0.000000,52.510000,0.970000,0.000000,0.000000,0.000000,0.000000,96.530000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,525.09

37,09:00:09:15,66.790000,1.930000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.570000,0.000000,0.000000,0.000000,115.840000,0.000000,37.290000,12.430000,26.060000,5.57,0.000000,0.000000,52.510000,0.970000,0.000000,0.000000,0.000000,0.000000,96.530000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,525.61

38,09:15-09:30,66.790000,1.930000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.570000,0.000000,0.000000,0.000000,115.840000,0.000000,37.290000,12.430000,26.060000,6.08,0.000000,0.000000,52.510000,0.970000,0.000000,0.000000,0.000000,0.000000,96.530000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,526.12

39,09:30-09:45,66.790000,1.930000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.570000,0.000000,0.000000,0.000000,115.840000,0.000000,37.290000,12.430000,26.060000,6.51,0.000000,0.000000,52.510000,0.970000,0.000000,0.000000,0.000000,0.000000,96.530000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,526.55

40,09:45-10:00,66.790000,1.930000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.570000,0.000000,0.000000,0.000000,115.840000,0.000000,37.290000,12.430000,26.060000,6.93,0.000000,0.000000,52.510000,0.970000,0.000000,0.000000,0.000000,0.000000,96.530000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,526.97

41,10:00-10:15,66.790000,1.930000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,67.570000,57.920000,0.000000,0.000000,115.840000,0.000000,37.290000,12.430000,26.060000,7.31,3.860000,0.000000,52.510000,0.970000,48.260000,5.790000,0.000000,46.330000,96.530000,0.000000,0.000000,0.000000,0.000000,0.000000,48.260000,0.000000,6.760000,4.830000,0.000000,749.36

42,10:15-10:30,66.790000,1.930000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,67.570000,57.920000,0.000000,0.000000,115.840000,0.000000,37.290000,12.430000,26.060000,7.7,3.860000,0.000000,52.510000,0.970000,48.260000,5.790000,0.000000,46.330000,96.530000,0.000000,0.000000,0.000000,0.000000,0.000000,48.260000,0.000000,6.760000,4.830000,0.000000,749.75

43,10:30-10:45,66.790000,1.930000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,67.570000,57.920000,0.000000,0.000000,115.840000,0.000000,37.290000,12.430000,26.060000,7.93,3.860000,0.000000,52.510000,0.970000,48.260000,5.790000,0.000000,46.330000,96.530000,0.000000,0.000000,0.000000,0.000000,0.000000,48.260000,0.000000,6.760000,4.830000,0.000000,749.98

44,10:45-11:00,66.790000,1.930000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,67.570000,57.920000,0.000000,0.000000,115.840000,0.000000,37.290000,12.430000,26.060000,8.2,3.860000,0.000000,52.510000,0.970000,48.260000,5.790000,0.000000,46.330000,96.530000,0.000000,0.000000,0.000000,0.000000,0.000000,48.260000,0.000000,6.760000,4.830000,0.000000,750.25

45,11:00-11:15,0.000000,1.930000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,67.570000,57.920000,0.000000,0.000000,115.840000,0.000000,37.290000,12.430000,26.060000,8.54,3.860000,0.000000,52.510000,0.970000,48.260000,5.790000,0.000000,46.330000,96.530000,66.790000,0.000000,0.000000,0.000000,0.000000,48.260000,0.000000,6.760000,4.830000,0.000000,750.59

46,11:15-11:30,0.000000,1.930000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,67.570000,57.920000,0.000000,0.000000,115.840000,0.000000,37.290000,12.430000,26.060000,7.58,3.860000,0.000000,52.510000,0.970000,48.260000,5.790000,0.000000,46.330000,96.530000,66.790000,0.000000,0.000000,0.000000,0.000000,48.260000,0.000000,6.760000,4.830000,0.000000,749.63

47,11:30-11:45,0.000000,1.930000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,67.570000,57.920000,0.000000,0.000000,115.840000,0.000000,37.290000,12.430000,26.060000,7.08,3.860000,0.000000,52.510000,0.970000,48.260000,5.790000,0.000000,46.330000,96.530000,66.790000,0.000000,0.000000,0.000000,0.000000,48.260000,0.000000,6.760000,4.830000,0.000000,749.13

48,11:45-12:00,0.000000,1.930000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,4.830000,67.570000,57.920000,0.000000,0.000000,115.840000,0.000000,37.290000,12.430000,26.060000,6.83,3.860000,0.000000,52.510000,0.970000,48.260000,5.790000,0.000000,46.330000,96.530000,66.790000,0.000000,0.000000,0.000000,0.000000,48.260000,0.000000,6.760000,4.830000,0.000000,748.88

49,12:00-12:15,0.000000,1.930000,0.000000,37.290000,0.000000,39.580000,19.310000,0.000000,0.000000,4.830000,67.570000,57.920000,0.000000,19.310000,115.840000,0.000000,37.290000,12.430000,26.060000,8.66,1.930000,1.930000,52.510000,0.970000,48.260000,5.790000,0.000000,46.330000,96.530000,66.790000,1.930000,14.480000,0.000000,0.000000,48.260000,0.000000,6.760000,4.830000,0.000000,845.32

50,12:15-12:30,0.000000,1.930000,0.000000,37.290000,0.000000,39.580000,19.310000,0.000000,0.000000,4.830000,67.570000,57.920000,0.000000,19.310000,115.840000,0.000000,37.290000,12.430000,26.060000,6.99,1.930000,1.930000,52.510000,0.970000,48.260000,5.790000,0.000000,46.330000,96.530000,66.790000,1.930000,14.480000,0.000000,0.000000,48.260000,0.000000,6.760000,4.830000,0.000000,843.65

51,12:30-12:45,0.000000,1.930000,0.000000,37.290000,0.000000,39.580000,19.310000,0.000000,0.000000,4.830000,67.570000,57.920000,0.000000,19.310000,115.840000,0.000000,37.290000,12.430000,26.060000,6.31,1.930000,1.930000,52.510000,0.970000,48.260000,5.790000,0.000000,46.330000,96.530000,66.790000,1.930000,14.480000,0.000000,0.000000,48.260000,0.000000,6.760000,4.830000,0.000000,842.97

52,12:45-13:00,0.000000,1.930000,0.000000,37.290000,0.000000,39.580000,19.310000,0.000000,0.000000,4.830000,67.570000,57.920000,0.000000,19.310000,115.840000,0.000000,37.290000,12.430000,26.060000,9.18,1.930000,1.930000,52.510000,0.970000,48.260000,5.790000,0.000000,46.330000,96.530000,66.790000,1.930000,14.480000,0.000000,0.000000,48.260000,0.000000,6.760000,4.830000,0.000000,845.84

53,13:00-13:15,0.000000,1.930000,0.000000,37.290000,0.000000,39.580000,19.310000,0.000000,0.000000,4.830000,67.570000,57.920000,0.000000,19.310000,115.840000,0.000000,37.290000,12.430000,26.060000,8.4,1.930000,1.930000,52.510000,0.970000,48.260000,5.790000,0.000000,46.330000,96.530000,66.790000,1.930000,14.480000,0.000000,0.000000,48.260000,0.000000,6.760000,4.830000,0.000000,845.06

54,13:15-13:30,0.000000,1.930000,0.000000,37.290000,0.000000,39.580000,19.310000,0.000000,0.000000,4.830000,67.570000,57.920000,0.000000,19.310000,115.840000,0.000000,37.290000,12.430000,26.060000,6.4,1.930000,1.930000,52.510000,0.970000,48.260000,5.790000,0.000000,46.330000,96.530000,66.790000,1.930000,14.480000,0.000000,0.000000,48.260000,0.000000,6.760000,4.830000,0.000000,843.06

55,13:30-13:45,0.000000,1.930000,0.000000,37.290000,0.000000,39.580000,19.310000,0.000000,0.000000,4.830000,67.570000,57.920000,0.000000,19.310000,115.840000,0.000000,37.290000,12.430000,26.060000,8.18,1.930000,1.930000,52.510000,0.970000,48.260000,5.790000,0.000000,46.330000,96.530000,66.790000,1.930000,14.480000,0.000000,0.000000,48.260000,0.000000,6.760000,4.830000,0.000000,844.84

