Column1,Block,NR/2024/24414/C,NR/2024/24052/A/46382,NR/2024/24051/A/46383,NR/2024/24088/A/46377,NR/2024/24060/A/46578,NR/2024/24097/A/46374,NER/2024/2770/A/46572,NR/2024/24146/A/46370,NR/2024/23952/A/46369,WR/2024/25054/A/46577,NR/2024/24409/C,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/2197,GNA/NR/2024/12/24/5256,NR/2024/24411/C,NR/2024/24225/A/46619,NR/2024/24413/C,NR/2024/24224/A/46617,NR/2024/24227/A/46621,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/24/9178,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/01/1475,GNA/NR/2024/12/01/1899,GNA/NR/2024/12/01/3428,GNA/NR/2024/12/01/1599,NR/2024/24071/A/46381,Total
11,02:30-02:45,0,2.89,0,0.96,17.32,7.7,0,5.77,0.38,0,0,0,0,0,0,150,22.3,0,0,0,0,0,0,22.3,0,1.74,47.56,26.23,8.74,8.74,142.69,0,465.3200000000001

12,02:45-03:00,0,2.89,0,0.96,17.32,7.7,0,5.77,0.38,0,0,0,0,0,0,150,22.3,0,0,0,0,0,0,22.3,0,1.74,47.56,26.23,8.74,8.74,142.69,0,465.3200000000001

13,03:00-03:15,0,2.89,0,0.96,17.32,7.7,0,5.77,0.34,0,0,0,0,0,0,150,22.3,0,0,0,0,0,0,22.3,0,1.74,47.56,26.23,8.74,8.74,142.69,0,465.2800000000001

14,03:15-03:30,0,2.89,0,0.96,17.32,7.7,0,5.77,0.34,0,0,0,0,0,0,150,22.3,0,0,0,0,0,0,22.3,0,1.74,47.56,26.23,8.74,8.74,142.69,0,465.2800000000001

15,03:30-03:45,0,2.89,0,0.96,17.32,7.7,0,5.77,0.34,0,0,0,0,0,0,150,22.3,0,0,0,0,0,0,22.3,0,1.74,47.56,26.23,8.74,8.74,142.69,0,465.2800000000001

16,03:45-04:00,0,2.89,0,0.96,17.32,7.7,0,5.77,0.34,0,0,0,0,0,0,150,22.3,0,0,0,0,0,0,22.3,0,1.74,47.56,26.23,8.74,8.74,142.69,0,465.2800000000001

17,04:00-04:15,0,2.89,0,0.96,17.32,7.7,0,5.77,0.43,0,0,0,0,0,0,150,22.3,0,0,0,0,0,0,22.3,0,1.65,47.56,26.23,8.74,8.74,142.69,0,465.28000000000003

18,04:15-04:30,0,2.89,0,0.96,17.32,7.7,0,5.77,0.43,0,0,0,0,0,0,150,22.3,0,0,0,0,0,0,22.3,0,1.65,47.56,26.23,8.74,8.74,142.69,0,465.28000000000003

19,04:30-04:45,0,2.89,0,0.96,17.32,7.7,0,5.77,0.43,0,0,0,0,0,0,150,22.3,0,0,0,0,0,0,22.3,0,1.65,47.56,26.23,8.74,8.74,142.69,0,465.28000000000003

20,04:45-05:00,0,2.89,0,0.96,17.32,7.7,0,5.77,0.43,0,0,0,0,0,0,150,22.3,0,0,0,0,0,0,22.3,0,1.65,47.56,26.23,8.74,8.74,142.69,0,465.28000000000003

21,05:00-05:15,0,2.89,0,4.81,17.32,7.7,38.48,5.77,0.43,0,0,0,0,0,0,150,22.3,0,0,0,0,0,0,22.3,0,1.65,47.56,26.23,8.74,8.74,142.69,0,507.61

22,05:15-05:30,0,2.89,0,4.81,17.32,7.7,38.48,5.77,0.43,0,0,0,0,0,0,150,22.3,0,0,0,0,0,0,22.3,0,1.65,47.56,26.23,8.74,8.74,142.69,0,507.61

23,05:30-05:45,0,2.89,2.89,4.81,17.32,14.43,38.48,5.77,0.43,0,0,0,0,0,0,150,22.3,0,0,0,0,0,0,22.3,0,1.65,47.56,26.23,8.74,8.74,142.69,0,517.23

24,05:45-06:00,0,2.89,2.89,4.81,17.32,14.43,38.48,5.77,0.43,0,0,0,0,0,0,150,22.3,0,0,0,0,0,0,22.3,0,1.65,47.56,26.23,8.74,8.74,142.69,0,517.23

25,06:00-06:15,0,2.89,2.89,4.81,17.32,14.43,38.48,5.77,0.43,0,0,0,0,0,0,150,22.3,0,0,0.19,0,0.29,0.19,22.3,96.2,1.74,0,26.23,8.74,8.74,0,0,423.94000000000005

26,06:15-06:30,0,2.89,2.89,4.81,17.32,14.43,38.48,5.77,0.43,0,0,0,0,0,0,150,24.05,0,0,0.19,0,0.29,0.19,24.05,96.2,1.74,0,26.23,8.74,8.74,0,0,427.44000000000005

27,06:30-06:45,0,2.89,2.89,4.81,17.32,14.43,38.48,5.77,0.43,0,0,0,0,0,0,150,24.05,0,0,0.19,0,0.29,0.19,24.05,96.2,1.74,0,26.23,8.74,8.74,0,0,427.44000000000005

28,06:45-07:00,0,2.89,2.89,4.81,17.32,14.43,38.48,5.77,0.43,0,0,0,0,0,0,150,24.05,0,0,0.19,0,0.29,0.19,24.05,96.2,1.74,0,26.23,13.47,13.47,0,0,436.9000000000001

29,07:00-07:15,0,2.89,2.89,4.81,28.86,14.43,38.48,5.77,0.53,0,0,0,0,0,0,150,24.05,0,0,0.29,0,0.29,0.19,24.05,96.2,1.74,0,26.23,13.47,13.47,0,0,448.6400000000001

30,07:15-07:30,0,2.89,2.89,4.81,28.86,14.43,38.48,5.77,0.53,0,0,0,0,0,0,150,24.05,81.77,0,0.38,0,0.38,0.19,24.05,96.2,1.74,0,26.23,13.47,13.47,0,0,530.59

31,07:30-07:45,0,2.89,2.89,4.81,28.86,14.43,38.48,5.77,0.53,0,0,0,0,0,0,150,24.05,71.19,0,0.38,0,0.58,0.29,24.05,96.2,1.74,0,43.29,13.47,13.47,0,0,537.37

32,07:45-08:00,0,2.89,2.89,4.81,28.86,14.43,38.48,5.77,0.53,0,0,0,0,0,0,150,24.05,75.04,0,0.38,0,0.58,0.29,24.05,96.2,1.74,0,43.29,13.47,13.47,0,0,541.22

33,08:00-08:15,0,2.89,2.89,4.81,28.86,14.43,38.48,5.77,0.82,0,0,0,0,0,0,150,28.86,78.88,0,0.48,0,0.67,0.29,28.86,96.2,1.65,0,43.29,13.47,13.47,0,0,555.07

34,08:15-08:30,0,2.89,2.89,4.81,28.86,14.43,38.48,5.77,0.82,0,0,0,0,0,0,150,28.86,82.73,0,0.48,0,0.77,0.38,28.86,96.2,1.65,0,43.29,13.47,13.47,0,0,559.11

35,08:30-08:45,0,2.89,0,4.81,28.86,7.7,38.48,5.77,0.82,0,0,0,0,0,0,150,28.86,82.73,0,0.48,0,0.77,0.38,28.86,96.2,1.65,0,43.29,13.47,13.47,0,0,549.49

36,08:45-09:00,0,2.89,0,4.81,28.86,7.7,38.48,5.77,0.82,0,0,0,0,0,0,150,33.67,81.77,0,0.48,0,0.77,0.38,33.67,96.2,1.65,0,43.29,13.47,13.47,0,0,558.15

37,09:00-09:15,0,2.89,0,4.81,28.86,7.7,0,5.77,0.82,0,0,0,0,0,0,150,33.67,79.85,0,0.48,0,0.77,0.38,33.67,96.2,1.65,0,43.29,8.74,8.74,0,3.85,512.14

38,09:15-09:30,0,2.89,0,4.81,28.86,7.7,0,5.77,0.82,0,0,0,0,0,0,150,33.67,86.58,0,0.48,0,0.87,0.38,33.67,96.2,1.65,0,43.29,8.74,8.74,0,3.85,518.97

39,09:30-09:45,0,2.89,0,4.81,28.86,7.7,0,5.77,0.82,0,0,0,0,0,0,150,33.67,0,0,0.58,0,0.87,0.38,33.67,96.2,1.65,0,43.29,8.74,8.74,0,3.85,432.49

40,09:45-10:00,0,2.89,0,4.81,28.86,7.7,0,5.77,0.82,0,0,0,0,0,0,150,33.67,0,0,0.58,0,0.87,0.38,33.67,96.2,1.65,0,43.29,8.74,8.74,0,3.85,432.49

41,10:00-10:15,15.01,2.89,0,4.81,28.86,7.7,0,5.77,0.82,0,7.02,0,0,0,0,150,33.67,0,13.08,0.58,13.28,0.87,0.38,33.67,96.2,1.74,0,26.23,8.74,8.74,0,4.81,464.87

42,10:15-10:30,15.01,2.89,0,4.81,28.86,7.7,0,5.77,0.82,0,7.02,0,0,0,0,150,33.67,0,10,0.58,16.64,0.96,0.38,33.67,96.2,1.74,0,26.23,8.74,8.74,0,4.81,465.24

43,10:30-10:45,15.01,2.89,0,4.81,28.86,7.7,0,5.77,0.82,0,7.02,0,0,0,0,150,33.67,0,7.12,0.58,19.43,0.96,0.38,33.67,96.2,1.74,0,26.23,8.74,8.74,0,4.81,465.15000000000003

44,10:45-11:00,15.01,2.89,0,4.81,28.86,7.7,0,5.77,0.82,0,7.02,0,0,0,0,150,33.67,0,4.71,0.58,21.84,0.87,0.38,33.67,96.2,1.74,0,26.23,8.74,8.74,0,4.81,465.06

45,11:00-11:15,15.01,3.85,0,0,28.86,7.7,0,5.77,0.82,0,7.02,0,0,0,0,150,28.86,0,2.69,0.58,25.2,0.96,0.38,28.86,96.2,1.74,0,26.23,14.43,14.43,0,6.73,466.32000000000005

46,11:15-11:30,15.01,3.85,0,0,28.86,7.7,0,5.77,0.82,0,7.02,0,0,0,0,150,28.86,0,0.96,0.67,26.94,0.96,0.38,28.86,96.2,1.74,0,26.23,14.43,14.43,0,6.73,466.42

47,11:30-11:45,15.01,3.85,0,0,28.86,7.7,0,5.77,0.82,0,7.02,0,0,0,0,150,28.86,0,0,0.67,27.9,0.96,0.38,28.86,96.2,1.74,0,26.23,14.43,14.43,0,6.73,466.42

48,11:45-12:00,15.01,3.85,0,0,28.86,7.7,0,5.77,0.82,0,7.02,0,0,0,0,150,28.86,0,0,0.67,27.99,0.96,0.48,28.86,96.2,1.74,0,26.23,14.43,14.43,0,6.73,466.61

49,12:00-12:15,15.01,3.85,0,0,28.86,7.7,0,5.77,0.82,0,7.02,0,0,0,0,150,28.86,0,0,0.67,29.44,0.96,0.38,28.86,96.2,1.65,0,26.23,14.43,14.43,0,6.73,467.87

50,12:15-12:30,15.01,3.85,0,0,28.86,7.7,0,5.77,0.82,0,7.02,0,0,0,0,150,28.86,0,0,0.67,29.44,0.96,0.38,28.86,96.2,1.65,0,26.23,14.43,14.43,0,6.73,467.87

51,12:30-12:45,15.01,3.85,0,0,28.86,7.7,0,5.77,0.82,0,7.02,0,0,0,0,150,28.86,0,0,0.67,29.34,0.96,0.38,28.86,96.2,1.65,0,26.23,14.43,14.43,0,6.73,467.77

52,12:45-13:00,15.01,3.85,0,0,28.86,7.7,0,5.77,0.82,0,7.02,0,0,0,0,150,28.86,0,0,0.67,29.15,0.96,0.38,28.86,96.2,1.65,0,26.23,14.43,14.43,0,6.73,467.58

53,13:00-13:15,15.01,3.85,0,0,28.86,7.7,0,5.77,0.77,0,7.02,0,0,0,0,150,22.3,0,0,0.67,29.15,0.96,0.48,22.3,96.2,1.65,0,28.86,14.43,14.43,0,5.77,456.18

54,13:15-13:30,15.01,3.85,0,0,28.86,7.7,0,5.77,0.77,0,7.02,0,0,0,0,150,22.3,0,0,0.67,29.05,0.96,0.38,22.3,96.2,1.65,0,28.86,8.74,8.74,0,5.77,444.59999999999997

55,13:30-13:45,15.01,3.85,0,0,28.86,7.7,0,5.77,0.77,0,7.02,0,0,0,0,150,22.3,0,0.96,0.67,27.99,0.96,0.38,22.3,96.2,1.65,0,28.86,8.74,8.74,0,5.77,444.5

56,13:45-14:00,15.01,3.85,0,0,28.86,7.7,0,5.77,0.77,0,7.02,0,0,0,0,150,22.3,0,2.5,0.67,26.17,0.96,0.38,22.3,96.2,1.65,0,28.86,8.74,8.74,0,5.77,444.21999999999997

57,14:00-14:15,15.01,3.85,0,0,28.86,7.7,0,5.77,0.77,0,7.02,0,0,0,0,150,22.3,0,4.23,0.67,24.24,0.96,0.38,22.3,96.2,1.65,0,28.86,8.74,8.74,0,4.81,443.06

58,14:15-14:30,15.01,3.85,0,0,28.86,7.7,0,5.77,0.77,0,7.02,0,0,0,0,150,22.3,0,6.73,0.58,21.93,0.96,0.38,22.3,96.2,1.65,0,28.86,8.74,8.74,0,4.81,443.16

59,14:30-14:45,15.01,3.85,0,0,28.86,7.7,0,5.77,0.77,0,7.02,0,0,0,0,150,22.3,0,9.43,0.58,19.53,0.96,0.38,22.3,96.2,1.65,0,28.86,8.74,8.74,0,4.81,443.46000000000004

60,14:45-15:00,15.01,3.85,0,0,28.86,7.7,0,5.77,0.77,0,7.02,0,0,0,0,150,22.3,0,12.51,0.67,16.64,0.96,0.48,22.3,96.2,1.65,0,28.86,8.74,8.74,0,4.81,443.84000000000003

61,15:00-15:15,15.01,3.85,0,0,28.86,7.7,0,5.77,0.63,0,7.02,0,0,0,0,150,22.3,0,15.39,0.67,13.76,0.96,0.38,22.3,96.2,1.74,0,28.86,8.74,8.74,0,4.81,443.69000000000005

62,15:15-15:30,15.01,3.85,0,0,28.86,7.7,0,5.77,0.63,0,7.02,0,0,0,0,150,22.3,0,18.66,0.67,10.58,0.96,0.38,22.3,96.2,1.74,0,28.86,8.74,8.74,0,4.81,443.78000000000003

63,15:30-15:45,15.01,3.85,0,0,28.86,7.7,0,5.77,0.63,0,7.02,0,0,0,0,150,22.3,0,7.6,0.67,19.72,0.96,0.38,22.3,96.2,1.74,0,28.86,8.74,8.74,0,4.81,441.86

64,15:45-16:00,15.01,3.85,0,0,28.86,7.7,0,5.77,0.63,0,7.02,0,0,0,0,150,22.3,0,11.16,0.67,16.26,0.96,0.38,22.3,96.2,1.74,0,28.86,8.74,8.74,0,4.81,441.96000000000004

65,16:00-16:15,15.01,3.85,0,0,28.86,7.7,0,5.77,0.48,0,7.02,0,0,0,0,150,28.86,0,0,0.67,12.99,0.96,0.38,28.86,96.2,1.74,0,43.29,8.74,8.74,0,2.89,453.01

66,16:15-16:30,15.01,3.85,0,0,28.86,7.7,0,5.77,0.48,0,7.02,0,0,0,0,150,28.86,0,0,0.67,10,0.96,0.38,28.86,96.2,1.74,0,43.29,13.47,13.47,0,2.89,459.4800000000001

67,16:30-16:45,0,3.85,0,0,28.86,7.7,0,5.77,0.48,0,0,0,0,0,0,150,28.86,0,0,0.77,0,0.96,0.48,28.86,96.2,1.74,0,43.29,13.47,13.47,0,2.89,427.65000000000003

68,16:45-17:00,0,3.85,0,0,28.86,7.7,0,5.77,0.48,0,0,0,0,0,0,150,28.86,0,0,0.77,0,0.96,0.38,28.86,96.2,1.74,0,43.29,13.47,13.47,0,2.89,427.55000000000007

69,17:00-17:15,0,3.85,0,3.85,28.86,7.7,0,5.77,0.48,0,0,0,0,0,0,150,33.67,120.25,0,0.67,0,0.96,0.38,33.67,96.2,1.65,0,43.29,13.47,13.47,0,0.96,559.1500000000001

70,17:15-17:30,0,3.85,0,3.85,28.86,7.7,0,5.77,0.48,0,0,0,0,0,0,150,33.67,117.36,0,0.58,0,0.96,0.38,33.67,96.2,1.65,0,43.29,13.47,13.47,0,0.96,556.1700000000001

71,17:30-17:45,0,3.85,0,3.85,28.86,7.7,0,5.77,0.48,0,0,0,0,0,0,150,33.67,120.25,0,0.58,0,0.96,0.38,33.67,96.2,1.65,0,43.29,13.47,13.47,0,0.96,559.0600000000001

72,17:45-18:00,0,3.85,0,3.85,28.86,7.7,0,5.77,0.48,0,0,0,0,0,0,150,33.67,122.17,0,0.58,0,0.96,0.38,33.67,96.2,1.65,0,43.29,13.47,13.47,0,0.96,560.98

73,18:00-18:15,0,3.85,0,3.85,28.86,7.7,38.48,5.77,0.53,38.48,0,50,150,0,0,150,33.67,126.98,0,0.58,0,0.96,0.38,33.67,96.2,1.65,0,43.29,13.47,13.47,0,0,841.84

74,18:15-18:30,0,3.85,0,3.85,28.86,7.7,38.48,5.77,0.53,38.48,0,50,150,0,0,150,33.67,128.91,0,0.58,0,0.96,0.38,33.67,96.2,1.65,0,43.29,13.47,13.47,0,0,843.7700000000001

75,18:30-18:45,0,3.85,0,3.85,28.86,7.7,38.48,5.77,0.53,38.48,0,50,150,0,0,150,33.67,132.76,0,0.58,0,0.96,0.38,33.67,96.2,1.65,0,43.29,13.47,13.47,0,0,847.6200000000001

76,18:45-19:00,0,3.85,0,3.85,28.86,7.7,38.48,5.77,0.53,38.48,0,50,150,0,0,150,33.67,134.68,0,0.58,0,0.87,0.38,33.67,96.2,1.65,0,43.29,13.47,13.47,0,0,849.45

77,19:00-19:15,0,3.85,0,3.85,28.86,7.7,38.48,5.77,0.53,38.48,0,50,150,0,0,150,28.86,0,0,0,0,0,0,28.86,96.2,1.65,0,38.48,13.47,13.47,0,0,698.5100000000001

78,19:15-19:30,0,3.85,0,3.85,28.86,7.7,38.48,5.77,0.53,38.48,0,50,150,0,0,150,28.86,0,0,0,0,0,0,28.86,96.2,1.65,0,38.48,13.47,13.47,0,0,698.5100000000001

79,19:30-19:45,0,3.85,0,3.85,28.86,7.7,38.48,5.77,0.53,38.48,0,50,150,0,0,150,28.86,0,0,0,0,0,0,28.86,96.2,1.65,0,38.48,13.47,13.47,0,0,698.5100000000001

80,19:45-20:00,0,3.85,0,3.85,28.86,7.7,38.48,5.77,0.53,38.48,0,50,150,0,0,150,28.86,0,0,0,0,0,0,28.86,96.2,1.65,0,38.48,13.47,13.47,0,0,698.5100000000001

81,20:00-20:15,0,3.85,0,3.85,28.86,7.7,38.48,5.77,0.53,38.48,0,50,250,0,0,150,28.86,0,0,0,0,0,0,28.86,96.2,1.74,0,26.23,13.47,13.47,0,0,786.3500000000001

82,20:15-20:30,0,3.85,0,3.85,28.86,7.7,38.48,5.77,0.53,38.48,0,50,250,0,0,150,28.86,0,0,0,0,0,0,28.86,96.2,1.74,0,26.23,13.47,13.47,0,0,786.3500000000001

83,20:30-20:45,0,3.85,0,3.85,28.86,7.7,38.48,5.77,0.53,38.48,0,50,250,0,0,150,28.86,0,0,0,0,0,0,28.86,96.2,1.74,0,26.23,13.47,13.47,0,0,786.3500000000001

84,20:45-21:00,0,3.85,0,3.85,28.86,7.7,38.48,5.77,0.53,38.48,0,50,250,0,0,150,28.86,0,0,0,0,0,0,28.86,96.2,1.74,0,26.23,13.47,13.47,0,0,786.3500000000001

85,21:00-21:15,0,3.85,0,3.85,28.86,7.7,0,5.77,0.53,38.48,0,50,250,0,0,150,28.86,0,0,0,0,0,0,28.86,96.2,1.65,0,26.23,13.47,13.47,0,0,747.7800000000001

86,21:15-21:30,0,3.85,0,3.85,28.86,7.7,0,5.77,0.53,38.48,0,50,250,0,0,150,28.86,0,0,0,0,0,0,28.86,96.2,1.65,0,26.23,13.47,13.47,0,0,747.7800000000001

87,21:30-21:45,0,3.85,0,3.85,28.86,7.7,0,5.77,0.53,38.48,0,50,250,0,0,150,22.3,0,0,0,0,0,0,22.3,96.2,1.65,0,26.23,13.47,13.47,0,0,734.66

88,21:45-22:00,0,3.85,0,3.85,28.86,7.7,0,5.77,0.53,38.48,0,50,250,0,0,150,22.3,0,0,0,0,0,0,22.3,96.2,1.65,0,26.23,13.47,13.47,0,0,734.66

89,22:00-22:15,0,2.89,0,0.96,28.86,7.7,0,5.77,0.48,38.48,0,50,250,0,0,150,22.3,0,0,0,0,0,0,22.3,96.2,1.65,47.56,26.23,13.47,13.47,142.69,0,921.01

90,22:15-22:30,0,2.89,0,0.96,28.86,7.7,0,5.77,0.48,38.48,0,50,250,0,0,150,22.3,0,0,0,0,0,0,22.3,96.2,1.65,47.56,26.23,8.74,8.74,142.69,0,911.55

91,22:30-22:45,0,2.89,0,0.96,28.86,7.7,0,5.77,0.48,38.48,0,50,250,0,0,150,22.3,0,0,0,0,0,0,22.3,96.2,1.65,47.56,26.23,8.74,8.74,142.69,0,911.55

92,22:45-23:00,0,2.89,0,0.96,28.86,7.7,0,5.77,0.48,38.48,0,50,250,0,0,150,22.3,0,0,0,0,0,0,22.3,96.2,1.65,47.56,26.23,8.74,8.74,142.69,0,911.55

93,23:00-23:15,0,2.89,0,0.96,28.86,7.7,0,5.77,0.43,38.48,0,50,250,0,0,150,22.3,0,0,0,0,0,0,22.3,96.2,1.65,47.56,26.23,8.74,8.74,142.69,0,911.5

94,23:15-23:30,0,2.89,0,0.96,28.86,7.7,0,5.77,0.43,38.48,0,50,250,0,0,150,22.3,0,0,0,0,0,0,22.3,96.2,1.65,47.56,26.23,8.74,8.74,142.69,0,911.5

95,23:30-23:45,0,2.89,0,0.96,28.86,7.7,0,5.77,0.43,38.48,0,50,250,0,0,150,22.3,0,0,0,0,0,0,22.3,96.2,1.65,47.56,26.23,8.74,8.74,142.69,0,911.5

96,23:45-24:00,0,2.89,0,0.96,28.86,7.7,0,5.77,0.43,38.48,0,50,250,0,0,150,22.3,0,0,0,0,0,0,22.3,96.2,1.65,47.56,26.23,8.74,8.74,142.69,0,911.5

