Block,Time Block,JHAJJAR,DADRI_RF,DADRI_LF,TANDA2,UNCHAHAR1,TALST2,TANAKPUR,TelanganaSTPP,TALA,TEHRI,VALLURNTECL,ANTA_CRF,ANTA_RF,UNCHAHAR4,AURY_LF,DADRI_GF,URI2,ANTA_LF,UNCHAHAR3,AURY_GF,DADRI_CRF,ANTA_GF,UNCHAHAR2,AURY_CRF,URI,AURY_RF,DHAULIGNGA,FSTPP I & II,DULHASTI,KKNPPU2,KUDGI,KOLDAM,NAPP,KISHANGANGA,MAPS,KOTESHWR,KKNP,RAPPD,NLCIIST1,NLCIIST2,RAMPUR,RIHAND2,NJPC,NLCTS2EXP,RAPPC,NNTPP,NTPL,PARBATI3,RIHAND1,PARBATI2,RAPPB,NLCEXP,RSTPSU7,SALAL,SEWA2,SINGRAULI,RIHAND3,SASAN,SIMHST1,SINGRAULI_HYDRO,RSTPSU1TO6,SIMHST2,KHSTPP-II,KHSTPP-I,CHAMERA1,BSIUL,CHAMERA3,DADRT2,CHAMERA2,BRBCL,KGSU3AND4,KGSU1AND2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
17,04:00-04:15,254.16,0,0,3.87,16.46,0,0.49,0,0,21.69,0,0,0,0.59,0,0,36.78,0,20.66,0,0,0,33.28,0,51.15,0,10.57,13.19,57.44,0,0,4.62,25.51,8.33,0,10.07,0,21.26,0,0,4.25,120.26,106.83,0,66.83,0,0,17.77,63.2,18.13,0,0,0,64.5,0,108.22,126.25,333.4,0,0.86,0,0,114.07,33.33,0,12.59,22.52,45.37,31.4,14.41,0,0,0,0,0,0,0

18,04:15-04:30,254.16,0,0,3.87,16.46,0,0.49,0,0,21.69,0,0,0,0.59,0,0,36.78,0,20.66,0,0,0,33.28,0,51.15,0,10.57,13.19,57.44,0,0,4.62,25.51,8.33,0,10.07,0,21.26,0,0,4.25,120.26,106.83,0,66.83,0,0,17.77,63.2,18.13,0,0,0,64.5,0,108.22,126.25,333.4,0,0.86,0,0,114.07,33.33,0,12.59,22.52,45.37,31.4,17.63,0,0,0,0,0,0,0

19,04:30-04:45,254.16,0,0,3.87,16.46,0,0.49,0,0,32.54,0,0,0,0.59,0,0,36.78,0,20.66,0,0,0,33.28,0,50.54,0,10.57,13.19,57.44,0,0,4.62,25.51,8.33,0,10.07,0,21.26,0,0,4.25,120.26,106.83,0,66.83,0,0,17.77,90.38,18.13,0,0,0,64.5,0,108.22,126.25,333.4,0,0.86,0,0,114.07,33.33,0,12.59,22.52,45.37,31.4,19.31,0,0,0,0,0,0,0

20,04:45-05:00,254.16,0,0,3.87,16.46,0,0.49,0,0,32.54,0,0,0,0.59,0,0,36.78,0,20.66,0,0,0,33.28,0,50.54,0,10.57,13.19,57.44,0,0,4.21,25.51,8.33,0,10.07,0,21.26,0,0,4.25,120.26,106.83,0,66.83,0,0,17.77,93.86,18.13,0,0,0,64.5,0,108.22,126.25,333.4,0,0.86,0,0,114.07,33.33,0,12.59,22.52,45.37,31.4,19.31,0,0,0,0,0,0,0

21,05:00-05:15,254.16,0,0,3.87,13.1,0,0.49,0,0,32.54,0,0,0,0.59,0,0,36.78,0,16.7,0,0,0,27.48,0,50.54,0,10.57,10.74,57.44,0,0,4.21,25.51,8.33,0,10.07,0,21.26,0,0,4.25,120.26,106.83,0,66.83,0,0,17.77,93.86,18.13,0,0,0,64.5,0,108.22,126.25,333.4,0,0.86,0,0,114.07,27.26,0,12.59,22.52,45.37,31.4,19.31,0,0,0,0,0,0,0

22,05:15-05:30,254.16,0,0,3.87,16.46,0,0.49,0,0,32.54,0,0,0,0.59,0,0,36.78,0,20.66,0,0,0,33.28,0,50.54,0,10.57,13.19,57.44,0,0,4.21,25.51,8.33,0,10.07,0,21.26,0,0,4.25,120.26,106.83,0,66.83,0,0,17.77,93.86,18.13,0,0,0,64.5,0,108.22,126.25,333.4,0,0.86,0,0,114.07,33.33,0,12.59,22.52,45.37,31.4,19.31,0,0,0,0,0,0,0

23,05:30-05:45,254.16,0,0,3.87,16.46,0,0.49,0,0,32.54,0,0,0,0.59,0,0,36.78,0,20.66,0,0,0,33.28,0,50.54,0,10.57,13.19,57.44,0,0,4.21,25.51,8.33,0,10.07,0,21.26,0,0,4.25,120.26,106.83,0,66.83,0,0,17.77,93.86,18.13,0,0,0,64.5,0,108.22,126.25,333.4,0,0.86,0,0,114.07,33.33,0,12.59,22.52,45.37,31.4,19.31,0,0,0,0,0,0,0

24,05:45-06:00,254.16,0,0,3.87,16.46,0,0.49,0,0,32.54,0,0,0,0.59,0,0,36.78,0,20.66,0,0,0,33.28,0,50.54,0,10.57,13.19,57.44,0,0,4.21,25.51,8.33,0,10.07,0,21.26,0,0,4.25,120.26,106.83,0,66.83,0,0,17.77,93.86,18.13,0,0,0,64.5,0,108.22,126.25,333.4,0,0.86,0,0,114.07,33.33,0,12.59,22.52,45.37,31.4,19.31,0,0,0,0,0,0,0

25,06:00-06:15,254.16,0,0,3.87,16.46,0,0.49,0,0,32.54,0,0,0,0.59,0,0,36.78,0,20.66,0,0,0,33.28,0,50.54,0,10.57,13.19,57.44,0,0,4.21,25.51,8.33,0,10.07,0,21.26,0,0,4.25,120.26,106.83,0,66.83,0,0,17.77,93.86,18.13,0,0,0,64.5,0,108.22,126.25,333.4,0,0.86,0,0,114.07,33.33,0,12.59,22.52,45.37,31.4,19.31,0,0,0,0,0,0,0

26,06:15-06:30,254.16,0,0,3.87,16.46,0,0.49,0,0,32.54,0,0,0,0.59,0,0,36.78,0,20.66,0,0,0,33.28,0,50.54,0,10.57,13.19,57.44,0,0,0,25.51,8.33,0,10.07,0,21.26,0,0,4.25,120.26,106.83,0,66.83,0,0,17.77,93.86,18.13,0,0,0,64.5,0,108.22,126.25,333.4,0,0.86,0,0,114.07,33.33,0,12.59,11.27,45.37,31.4,19.31,0,0,0,0,0,0,0

27,06:30-06:45,254.16,0,0,3.87,16.46,0,0.49,0,0,32.54,0,0,0,0.59,0,0,34.11,0,20.66,0,0,0,33.28,0,50.54,0,21.12,13.19,57.44,0,0,0,25.51,8.33,0,10.07,0,21.26,0,0,4.25,120.26,106.83,0,66.83,0,0,17.77,93.86,18.13,0,0,0,64.5,0,108.22,126.25,333.4,0,0.86,0,0,114.07,33.33,0,12.59,11.27,45.37,31.4,19.31,0,0,0,0,0,0,0

28,06:45-07:00,254.16,0,0,3.87,13.41,0,0.49,0,0,32.54,0,0,0,0.59,0,0,34.11,0,16.99,0,0,0,27.48,0,50.54,0,21.12,10.74,57.44,0,0,0,25.51,8.33,0,10.07,0,21.26,0,0,4.25,120.26,106.83,0,66.83,0,0,17.77,93.86,18.13,0,0,0,64.5,0,108.22,126.25,333.4,0,0.86,0,0,114.07,27.26,0,12.59,11.27,45.37,15.71,17.7,0,0,0,0,0,0,0

29,07:00-07:15,254.16,0,0,3.87,13.1,0,6.05,0,0,32.54,0,0,0,0.59,0,0,34.11,0,16.7,0,0,0,27.48,0,50.54,0,21.12,10.74,57.44,0,0,0,25.51,8.33,0,10.07,0,21.26,0,0,4.25,120.26,106.83,0,66.83,0,0,17.77,93.86,18.13,0,0,0,64.5,0,108.22,126.25,333.4,0,0.86,0,0,114.07,27.26,0,12.59,11.27,45.37,15.71,14.48,0,0,0,0,0,0,0

30,07:15-07:30,254.16,0,0,3.87,13.1,0,6.05,0,0,32.54,0,0,0,0.59,0,0,34.11,0,16.7,0,0,0,27.48,0,50.54,0,21.12,10.74,57.44,0,0,0,25.51,8.33,0,10.07,0,21.26,0,0,4.25,120.26,106.83,0,66.83,0,0,17.77,93.86,18.13,0,0,0,64.5,0,108.22,126.25,333.4,0,0.86,0,0,114.07,27.26,0,12.59,11.27,45.37,15.71,14.48,0,0,0,0,0,0,0

31,07:30-07:45,232.93,0,0,1.59,13.6,0,6.05,0,0,32.54,0,0,0,0.59,0,0,34.11,0,17.13,0,0,0,27.63,0,50.54,0,21.12,10.74,57.44,0,0,0,25.51,8.33,0,10.07,0,21.26,0,0,4.25,120.26,106.83,0,66.83,0,0,17.77,93.86,18.13,0,0,0,64.5,0,123.1,126.25,333.4,0,0.86,0,0,114.07,27.26,0,12.59,11.27,45.37,15.71,14.48,0,0,0,0,0,0,0

32,07:45-08:00,232.93,0,0,1.59,13.6,0,6.05,0,0,32.54,0,0,0,0.59,0,0,34.11,0,17.13,0,0,0,26.88,0,50.54,0,21.12,10.74,57.44,0,0,0,25.51,8.33,0,10.07,0,21.26,0,0,4.25,120.26,106.83,0,66.83,0,0,17.77,93.86,18.13,0,0,0,64.5,0,123.1,126.25,333.4,0,0.86,0,0,114.07,27.26,0,12.59,11.27,45.37,15.71,14.48,0,0,0,0,0,0,0

33,08:00-08:15,232.93,0,0,1.59,12.77,0,6.05,0,0,32.54,0,0,0,0.59,0,0,34.11,0,15.82,0,0,0,25.25,0,50.54,0,21.12,10.74,57.44,0,0,0,25.51,8.33,0,10.07,0,21.26,0,0,4.25,120.26,106.83,0,66.83,0,0,17.77,83.7,18.13,0,0,0,64.5,0,111.99,126.25,333.4,0,0.86,0,0,114.07,27.96,0,12.59,11.27,45.37,15.71,14.48,0,0,0,0,0,0,0

34,08:15-08:30,232.93,0,0,1.59,12.77,0,6.05,0,0,32.54,0,0,0,0.59,0,0,34.11,0,15.82,0,0,0,25.25,0,50.54,0,21.12,10.74,57.44,0,0,0,25.51,8.33,0,10.07,0,21.26,0,0,4.25,120.26,106.83,0,66.83,0,0,16.29,82.17,18.13,0,0,0,64.5,0,112.25,126.25,333.4,0,0.86,0,0,114.07,27.26,0,12.59,11.27,45.37,15.71,14.48,0,0,0,0,0,0,0

35,08:30-08:45,232.93,0,0,1.59,12.77,0,0.49,0,0,21.69,0,0,0,0.59,0,0,34.11,0,15.82,0,0,0,25.25,0,50.54,0,10.57,10.74,57.44,0,0,0,25.51,8.33,0,10.07,0,21.26,0,0,4.25,120.26,106.83,0,66.83,0,0,16.29,81.99,18.13,0,0,0,64.5,0,98.45,126.25,333.4,0,0.95,0,0,114.07,28.01,0,12.59,11.27,45.37,15.71,14.48,0,0,0,0,0,0,0

36,08:45-09:00,232.93,0,0,1.59,12.77,0,0.49,0,0,10.85,0,0,0,0.59,0,0,34.11,0,15.82,0,0,0,25.25,0,50.54,0,10.57,10.74,57.44,0,0,0,25.51,8.33,0,10.07,0,21.26,0,0,4.25,120.26,106.83,0,66.83,0,0,16.29,81.99,18.13,0,0,0,64.5,0,98.45,126.25,333.4,0,0.95,0,0,114.07,28.01,0,12.59,11.27,45.37,15.71,14.48,0,0,0,0,0,0,0

37,09:00-09:15,231.77,0,0,1.59,12.77,0,0.49,0,0,0,0,0,0,0.59,0,0,34.11,0,15.82,0,0,0,26.37,0,50.54,0,10.57,10.74,57.44,0,0,0,25.51,8.33,0,10.07,0,21.26,0,0,4.25,95.65,106.83,0,66.83,0,0,16.29,63.2,18.13,0,0,0,64.5,0,102.76,92.1,333.4,0,0.95,0,0,111.15,28.01,0,12.59,11.27,45.37,15.71,14.48,0,0,0,0,0,0,0

38,09:15-09:30,231.77,0,0,1.59,12.77,0,0.49,0,0,0,0,0,0,0.59,0,0,34.11,0,15.82,0,0,0,26.37,0,50.54,0,10.57,10.74,57.44,0,0,0,25.51,8.33,0,10.07,0,21.26,0,0,4.25,95.65,106.83,0,66.83,0,0,16.29,63.2,18.13,0,0,0,64.5,0,103.43,92.1,333.4,0,0.95,0,0,111.15,28.01,0,12.59,11.27,45.37,15.71,14.48,0,0,0,0,0,0,0

39,09:30-09:45,231.77,0,0,1.59,12.77,0,0.49,0,0,0,0,0,0,0.59,0,0,34.11,0,15.82,0,0,0,26.37,0,50.54,0,0,10.74,57.44,0,0,0,25.51,8.33,0,10.07,0,21.26,0,0,4.25,95.65,106.83,0,66.83,0,0,16.29,63.2,18.13,0,0,0,64.5,0,103.43,92.1,333.4,0,0.95,0,0,111.15,28.01,0,12.59,11.27,45.37,15.71,14.48,0,0,0,0,0,0,0

40,09:45-10:00,231.77,0,0,1.59,12.77,0,0.49,0,0,0,0,0,0,0.59,0,0,34.11,0,15.82,0,0,0,26.37,0,50.54,0,0,10.74,57.44,0,0,0,25.51,8.33,0,10.07,0,21.26,0,0,5.23,95.65,133.53,0,66.83,0,0,16.29,63.2,18.13,0,0,0,64.5,0,103.87,92.1,333.4,0,0.95,0,0,111.15,28.01,0,12.59,11.27,45.37,15.71,14.48,0,0,0,0,0,0,0

41,10:00-10:15,231.77,0,0,1.59,12.77,0,0.49,0,0,0,0,0,0,0.59,0,0,34.11,0,15.82,0,0,0,26.36,0,51.15,0,0,12.94,57.44,0,0,0,25.51,8.33,0,10.07,0,21.26,0,0,5.23,95.65,133.53,0,66.83,0,0,16.29,63.2,18.13,0,0,0,64.5,0,116.32,92.1,333.4,0,0.95,0,0,111.15,33.33,0,12.59,11.27,45.37,15.71,14.48,0,0,0,0,0,0,0

42,10:15-10:30,231.77,0,0,1.59,12.77,0,0.49,0,0,0,0,0,0,0.59,0,0,34.11,0,15.82,0,0,0,26.36,0,51.15,0,0,12.94,57.44,0,0,0,25.51,8.33,0,10.07,0,21.26,0,0,5.23,95.65,133.53,0,66.83,0,0,16.29,63.2,18.13,0,0,0,64.5,0,117.5,92.1,333.4,0,0.95,0,0,111.15,33.33,0,12.59,11.27,45.37,15.71,14.48,0,0,0,0,0,0,0

43,10:30-10:45,231.77,0,0,1.59,13.69,0,0.49,0,0,0,0,0,0,0.59,0,0,36.78,0,17.08,0,0,0,27.47,0,51.15,0,0,12.94,57.44,0,0,0,25.51,8.33,0,10.07,0,21.26,0,0,5.23,95.65,133.53,0,66.83,0,0,16.29,63.2,18.13,0,0,0,64.5,0,117.5,92.1,333.4,0,0.95,0,0,112.8,33.33,0,12.59,11.27,45.37,15.71,14.48,0,0,0,0,0,0,0

44,10:45-11:00,231.77,0,0,1.59,13.69,0,0.49,0,0,0,0,0,0,0.59,0,0,36.78,0,17.08,0,0,0,27.47,0,51.15,0,0,12.94,57.44,0,0,0,25.51,8.33,0,10.07,0,21.26,0,0,5.23,95.65,133.53,0,66.83,0,0,16.29,63.2,18.13,0,0,0,64.5,0,120.4,92.1,333.4,0,0.95,0,0,112.8,33.33,0,12.59,11.27,45.37,15.71,14.48,0,0,0,0,0,0,0

45,11:00-11:15,231.77,0,0,1.59,13.69,0,0.49,0,0,0,0,0,0,0.59,0,0,36.78,0,17.08,0,0,0,28.49,0,51.15,0,0,12.94,57.44,0,0,0,25.51,8.33,0,10.07,0,21.26,0,0,5.23,95.65,133.53,0,66.83,0,0,0,63.2,10.89,0,0,0,64.5,0,124.03,92.1,333.4,0,0.95,0,0,114.07,33.33,0,12.59,11.27,45.37,15.71,14.03,0,0,0,0,0,0,0

46,11:15-11:30,231.77,0,0,1.59,13.69,0,0.49,0,0,0,0,0,0,0.59,0,0,36.78,0,17.08,0,0,0,28.49,0,51.15,0,0,12.94,57.44,0,0,0,25.51,8.33,0,10.07,0,21.26,0,0,5.23,95.65,133.53,0,66.83,0,0,0,63.2,3.63,0,0,0,64.5,0,124.03,92.1,333.4,0,0.95,0,0,114.07,33.33,0,12.59,11.27,45.37,15.71,14.48,0,0,0,0,0,0,0

47,11:30-11:45,231.77,0,0,1.59,13.69,0,0.49,0,0,0,0,0,0,0.59,0,0,36.78,0,17.08,0,0,0,28.49,0,49.88,0,0,12.94,57.44,0,0,0,25.51,8.33,0,10.07,0,21.26,0,0,5.23,95.65,133.53,0,66.83,0,0,0,63.2,0,0,0,0,64.5,0,124.03,92.1,333.4,0,0.95,0,0,114.07,33.33,0,12.59,11.27,45.37,15.71,14.48,0,0,0,0,0,0,0

48,11:45-12:00,231.77,0,0,1.59,13.69,0,0.49,0,0,0,0,0,0,0.59,0,0,36.78,0,17.08,0,0,0,28.49,0,49.88,0,0,12.94,57.44,0,0,0,25.51,8.33,0,10.07,0,21.26,0,0,4.25,95.65,124.34,0,66.83,0,0,0,63.2,0,0,0,0,64.5,0,124.03,92.1,333.4,0,0.95,0,0,114.07,33.33,0,12.59,11.27,45.37,15.71,14.48,0,0,0,0,0,0,0

49,12:00-12:15,231.77,0,0,1.59,13.69,0,0.49,0,0,0,0,0,0,0.59,0,0,36.78,0,17.08,0,0,0,28.49,0,49.88,0,0,12.94,57.44,0,0,0,25.51,8.33,0,10.07,0,21.26,0,0,4.25,95.65,124.34,0,66.83,0,0,0,63.2,0,0,0,0,64.5,0,124.03,92.1,333.4,0,0.95,0,0,114.07,33.33,0,12.59,22.52,45.37,31.4,14.48,0,0,0,0,0,0,0

50,12:15-12:30,231.77,0,0,1.59,13.69,0,0.49,0,0,0,0,0,0,0.59,0,0,36.78,0,17.08,0,0,0,28.49,0,49.88,0,0,12.94,57.44,0,0,0,25.51,8.33,0,10.07,0,21.26,0,0,4.25,95.65,106.83,0,66.83,0,0,0,63.2,0,0,0,0,64.5,0,124.03,92.1,333.4,0,0.95,0,0,114.07,33.33,0,12.59,22.52,45.37,31.4,14.48,0,0,0,0,0,0,0

51,12:30-12:45,231.77,0,0,1.59,13.69,0,0.49,0,0,0,0,0,0,0.59,0,0,36.78,0,17.08,0,0,0,28.49,0,49.88,0,0,12.94,57.44,0,0,0,25.51,8.33,0,10.07,0,21.26,0,0,4.25,95.65,106.83,0,66.83,0,0,0,63.2,0,0,0,0,64.5,0,124.03,92.1,333.4,0,0.95,0,0,114.07,33.33,0,12.59,22.52,45.37,31.4,14.48,0,0,0,0,0,0,0

52,12:45-13:00,231.77,0,0,1.59,13.69,0,0.49,0,0,0,0,0,0,0.59,0,0,36.78,0,17.08,0,0,0,28.49,0,49.88,0,0,12.94,57.44,0,0,0,25.51,8.33,0,10.07,0,21.26,0,0,4.25,95.65,106.83,0,66.83,0,0,0,63.2,0,0,0,0,64.5,0,124.03,92.1,333.4,0,0.95,0,0,114.07,33.33,0,12.59,22.52,45.37,31.4,14.48,0,0,0,0,0,0,0

53,13:00-13:15,231.77,0,0,1.59,12.77,0,0,0,0,0,0,0,0,0.59,0,0,36.78,0,15.82,0,0,0,28.49,0,49.88,0,0,12.94,57.44,0,0,0,25.51,8.33,0,10.07,0,21.26,0,0,4.25,95.65,106.83,0,66.83,0,0,0,63.2,0,0,0,0,64.5,0,124.03,92.1,333.4,0,0.95,0,0,96.82,33.33,0,12.59,22.52,45.37,47.12,14.48,0,0,0,0,0,0,0

54,13:15-13:30,231.77,0,0,1.59,12.77,0,0,0,0,0,0,0,0,0.59,0,0,36.78,0,15.82,0,0,0,28.49,0,49.88,0,0,10.74,57.44,0,0,0,25.51,8.33,0,10.07,0,21.26,0,0,4.25,95.65,106.83,0,66.83,0,0,0,63.2,0,0,0,0,64.5,0,124.03,92.1,333.4,0,0.95,0,0,96.82,28.01,0,12.59,22.52,45.37,47.12,14.48,0,0,0,0,0,0,0

