Block,Time,PARBATI3,TANAKPUR,TANDA2,UNCHAHAR1,ANTA_LF,AURY_GF,BRBCL,KKNP,NJPC,NLCEXP,RAMPUR,SINGRAULI_HYDRO,VALLURNTECL,ANTA_GF,AURY_LF,DADRI_CRF,CHAMERA2,CHAMERA3,DHAULIGNGA,KHSTPP-I,KHSTPP-II,SALAL,SIMHST2,UNCHAHAR2,UNCHAHAR4,ANTA_CRF,DADRI_LF,CHAMERA1,FSTPP I & II,NLCTS2EXP,UNCHAHAR3,KOLDAM,NAPP,NNTPP,NTPL,RAPPB,RAPPC,RIHAND3,SINGRAULI,URI2,BSIUL,JHAJJAR,KGSU3AND4,KOTESHWR,MAPS,NLCIIST2,TALA,TALST2,URI,DADRI_RF,KGSU1AND2,KUDGI,RIHAND1,RSTPSU1TO6,RSTPSU7,SEWA2,SIMHST1,TEHRI,TelanganaSTPP,AURY_CRF,AURY_RF,DADRT2,DULHASTI,KISHANGANGA,KKNPPU2,NLCIIST1,RIHAND2,SASAN,ANTA_RF,DADRI_GF
6,01:15-01:30,17.56,8.71,0.12,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,44.22,32.08,40.4,44.31,98.87,83.67,0,43.71,1.62,0,0,28.1,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,36.05,6.52,413.81,0,9.66,0,0,10.29,0,22.08,95.63,0,0,90.54,0,0,0,0,35.44,0,0,77.69,686.07,53.79,1.44,0,0,121.71,315,48.13,0

7,01:30-01:45,17.56,8.71,0.12,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,44.22,32.08,40.4,44.31,98.87,83.67,0,43.71,1.62,0,0,28.1,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,36.05,6.52,413.81,0,9.66,0,0,10.29,0,17.67,95.63,0,0,90.54,0,0,0,0,35.44,0,0,77.69,686.07,53.79,1.44,0,0,121.71,315,48.13,0

8,01:45-02:00,17.56,8.71,0.12,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,44.22,32.08,40.4,44.31,98.87,83.67,0,43.71,1.62,0,0,28.1,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,36.05,6.52,413.81,0,9.66,0,0,10.29,0,17.67,95.63,0,0,90.54,0,0,0,0,35.44,0,0,77.69,686.07,53.79,1.44,0,0,121.71,315,48.13,0

9,02:00-02:15,3.94,8.71,0.12,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,44.22,32.08,40.4,44.31,98.87,83.67,0,43.71,1.62,0,0,27.42,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,26.6,6.52,413.81,0,9.66,0,0,9.7,0,19.87,95.63,0,0,90.54,0,0,0,0,35.44,0,0,77.69,686.07,53.79,1.44,0,0,121.71,315,48.13,0

10,02:15-02:30,3.94,8.71,0.12,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,44.22,32.08,40.4,44.31,98.87,83.67,0,43.71,1.62,0,0,24.33,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,26.6,6.52,413.81,0,9.66,0,0,9.7,0,19.87,95.63,0,0,90.54,0,0,0,0,35.44,0,0,77.69,686.07,53.79,1.44,0,0,121.71,315,48.13,0

11,02:30-02:45,3.94,8.71,2.89,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,44.22,32.08,40.4,44.31,98.87,83.67,0,43.71,1.62,0,0,24.33,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,29.56,6.52,413.81,0,9.66,0,0,9.27,0,22.63,95.63,0,0,90.54,0,0,0,0,35.44,0,0,77.69,686.07,53.79,1.44,0,0,121.71,315,48.13,0

12,02:45-03:00,3.94,8.71,2.89,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,44.22,32.08,40.4,44.31,98.87,83.67,0,43.71,1.62,0,0,24.33,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,29.56,6.52,413.81,0,9.66,0,0,9.27,0,22.63,95.63,0,0,90.54,0,0,0,0,35.44,0,0,77.69,686.07,53.79,1.44,0,0,121.71,315,48.13,0

13,03:00-03:15,3.94,8.33,2.89,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,44.22,32.08,40.4,38.24,98.87,79.01,0,43.71,1.62,0,0,24.33,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,26.6,6.52,413.81,0,9.66,0,0,9.27,0,24.29,95.63,0,0,90.54,0,0,0,0,35.44,0,0,77.69,686.07,53.79,1.44,0,0,121.71,315,48.13,0

14,03:15-03:30,3.94,8.33,2.89,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,44.22,32.08,40.4,36.42,98.87,79.01,0,43.71,1.62,0,0,24.33,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,26.6,6.52,413.81,0,9.66,0,0,9.27,0,24.29,95.63,0,0,90.54,0,0,0,0,35.44,0,0,77.69,686.07,53.79,1.44,0,0,121.71,315,48.13,0

15,03:30-03:45,3.94,8.33,2.89,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,44.22,32.08,40.4,33.38,98.87,79.01,0,43.71,1.62,0,0,24.33,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,26.6,6.52,413.81,0,9.66,0,0,9.7,0,29.81,95.63,0,0,90.54,0,0,0,0,35.44,0,0,77.69,686.07,53.79,1.44,0,0,121.71,315,48.13,0

16,03:45-04:00,3.94,8.33,2.89,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,44.22,32.08,40.4,32.17,98.87,79.01,0,43.71,1.62,0,0,24.33,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,26.6,6.52,413.81,0,9.66,0,0,9.7,0,29.81,95.63,0,0,90.54,0,0,0,0,35.44,0,0,77.69,686.07,53.79,1.44,0,0,121.71,315,48.13,0

17,04:00-04:15,3.94,8.33,2.89,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,31.33,21.37,40.4,32.17,98.87,79.01,0,43.71,1.62,0,0,24.33,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,26.6,13.04,413.81,0,9.66,0,0,9.7,0,45.27,95.63,0,0,90.54,0,0,0,0,35.44,0,0,77.69,686.07,36.36,1.44,0,0,121.71,315,48.13,0

18,04:15-04:30,15.46,8.33,2.89,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,31.33,21.37,40.4,32.17,98.87,79.01,0,43.71,1.62,0,0,24.33,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,26.6,13.04,413.81,0,9.66,0,0,9.7,0,45.27,95.63,0,0,90.54,0,0,0,0,35.44,0,0,77.69,686.07,36.36,1.44,0,0,121.71,315,48.13,0

19,04:30-04:45,15.46,8.33,2.89,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,31.33,21.37,40.4,32.17,98.87,79.01,0,43.71,1.62,0,0,24.33,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,26.6,13.04,413.81,0,9.66,0,0,9.7,0,45.27,95.63,0,0,90.54,0,0,0,0,35.44,0,0,77.69,686.07,36.36,1.44,0,0,121.71,315,48.13,0

20,04:45-05:00,15.46,8.33,2.89,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,31.33,21.37,40.4,32.17,98.87,79.01,0,43.71,1.62,0,0,24.33,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,26.6,13.04,413.81,0,9.66,0,0,9.7,0,45.27,95.63,0,0,90.54,0,0,0,0,35.44,0,0,77.69,686.07,36.36,1.44,0,0,121.71,315,48.13,0

21,05:00-05:15,17.56,8.33,2.89,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,31.33,21.37,40.4,32.17,98.87,79.01,0,43.71,1.62,0,0,24.33,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,26.6,13.04,413.81,0,9.66,0,0,9.46,0,36.43,95.63,0,0,90.54,0,0,0,0,35.44,0,0,77.69,686.07,36.36,1.44,0,0,121.71,315,48.13,0

22,05:15-05:30,7.03,8.33,2.89,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,31.33,21.37,40.4,32.17,98.87,79.01,0,43.71,1.62,0,0,24.33,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,26.6,13.04,413.81,0,9.66,0,0,9.15,0,36.43,95.63,0,0,90.54,0,0,0,0,35.44,0,0,77.69,686.07,36.36,1.44,0,0,121.71,315,48.13,0

23,05:30-05:45,12.65,8.33,2.89,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,31.33,21.37,40.4,32.17,98.87,79.01,0,43.71,1.62,0,0,24.33,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,26.6,13.04,413.81,0,9.66,0,0,8.77,0,36.43,95.63,0,0,90.54,0,0,0,0,35.44,0,0,77.69,686.07,53.79,1.44,0,0,121.71,315,48.13,0

24,05:45-06:00,54.11,8.33,2.89,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,31.33,21.37,40.4,32.17,98.87,79.01,0,43.71,1.62,0,0,24.33,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,26.6,13.04,413.81,0,9.66,0,0,8.46,0,36.43,95.63,0,0,90.54,0,0,0,0,35.44,0,0,77.69,686.07,53.79,1.44,0,0,121.71,315,48.13,0

25,06:00-06:15,54.11,8.33,2.89,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,31.33,21.37,40.4,32.17,98.87,79.01,0,43.71,1.62,0,0,24.33,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,26.6,13.04,413.81,0,9.66,0,0,8.31,0,36.43,95.63,0,0,90.54,0,0,0,0,35.44,0,0,77.45,686.07,53.79,1.44,0,0,121.71,315,46.96,0

26,06:15-06:30,54.11,8.33,0.12,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,31.33,21.37,40.4,32.17,98.87,79.01,0,43.71,1.62,0,0,24.33,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,26.6,13.04,413.81,0,9.66,0,0,8.23,0,36.43,95.63,0,0,90.54,0,0,0,0,17,0,0,77.45,686.07,53.79,1.44,0,0,121.71,315,46.96,0

27,06:30-06:45,54.11,8.33,0.12,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,31.33,21.37,40.4,32.17,98.87,79.01,0,43.71,1.62,0,0,24.33,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,26.6,13.04,413.81,0,9.66,0,0,8.46,0,22.08,95.63,0,0,90.54,0,0,0,0,17,0,0,77.45,686.07,53.79,1.44,0,0,121.71,315,46.96,0

28,06:45-07:00,54.11,8.33,0.12,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,31.33,21.37,40.4,32.17,98.87,79.01,0,43.71,1.62,0,0,24.33,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,26.6,13.04,413.81,0,9.66,0,0,8.45,0,22.08,95.63,0,0,90.54,0,0,0,0,17,0,0,77.45,686.07,53.79,1.44,0,0,121.71,315,46.96,0

29,07:00-07:15,54.11,8.33,0.12,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,31.33,21.37,40.4,32.17,98.87,79.01,0,43.71,1.62,0,0,24.33,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,26.6,13.04,413.81,0,9.66,0,0,8.8,0,36.43,95.63,0,0,90.54,0,0,0,0,17,0,0,77.45,686.07,53.79,1.44,0,0,121.71,337.5,46.96,0

30,07:15-07:30,7.03,8.33,0.12,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,31.33,21.37,40.4,32.17,98.87,79.01,0,43.71,1.62,0,0,24.33,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,26.6,13.04,413.81,0,9.66,0,0,8.87,0,36.43,95.63,0,0,90.54,0,0,0,0,0,0,0,77.45,686.07,53.79,1.44,0,0,121.71,345.38,46.96,0

31,07:30-07:45,7.03,8.33,0.12,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,31.33,32.08,40.4,32.17,98.87,79.01,0,43.71,1.62,0,0,24.33,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,26.6,13.04,413.81,0,9.66,0,0,8.92,0,36.43,95.63,0,0,90.54,0,0,0,0,0,0,0,77.45,686.07,53.79,1.44,0,0,121.71,353.25,46.96,0

32,07:45-08:00,17.56,8.33,2.89,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,31.33,32.08,40.4,32.17,98.87,79.01,0,43.71,1.62,0,0,24.33,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,26.6,13.04,413.81,0,9.66,0,0,8.93,0,36.43,95.63,0,0,90.54,0,0,0,0,0,0,0,77.45,686.07,53.79,1.44,0,0,121.71,361.12,46.96,0

33,08:00-08:15,17.56,8.33,2.89,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,44.22,32.08,40.4,32.17,98.87,79.01,0,43.71,1.62,0,0,24.33,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,36.05,13.04,413.81,0,9.66,0,0,8.87,0,36.43,93.64,0,0,90.54,0,0,0,0,0,0,0,77.45,686.07,53.79,1.44,0,0,121.71,371.25,46.96,0

34,08:15-08:30,17.56,8.33,2.89,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,44.22,32.08,40.4,32.17,98.87,79.01,0,43.71,1.62,0,0,24.33,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,36.05,13.04,413.81,0,9.66,0,0,8.88,0,36.43,93.64,0,0,90.54,0,0,0,0,0,0,0,77.45,686.07,53.79,1.44,0,0,121.71,382.5,46.96,0

35,08:30-08:45,17.56,8.33,2.89,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,44.22,32.08,40.4,32.17,98.87,79.01,0,43.71,1.62,0,0,24.33,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,36.05,0,413.81,0,9.66,0,0,3.39,0,36.43,93.64,0,0,90.54,0,0,0,0,0,0,0,77.45,686.07,53.79,1.44,0,0,121.71,382.5,46.96,0

36,08:45-09:00,17.56,8.33,2.89,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,44.22,32.08,40.4,32.17,98.87,79.01,0,43.71,1.62,0,0,24.33,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,36.05,0,413.81,0,9.66,0,0,3.3,0,36.43,93.64,0,0,90.54,0,0,0,0,0,0,0,77.45,686.07,53.79,1.44,0,0,121.71,382.5,46.96,0

37,09:00-09:15,17.56,8.33,2.89,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,44.22,32.08,40.4,32.17,98.87,79.38,0,43.71,1.62,0,0,24.33,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,26.6,0,413.81,0,9.66,0,0,3.33,0,45.27,93.64,0,0,90.54,0,0,0,0,0,0,0,77.45,686.07,53.79,1.44,0,0,121.71,382.5,46.96,0

38,09:15-09:30,17.56,8.33,2.89,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,44.22,32.08,40.4,32.17,98.87,79.38,0,43.71,1.62,0,0,24.33,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,26.6,0,413.81,0,9.66,0,0,3.23,0,45.27,93.64,0,0,90.54,0,0,0,0,0,0,0,77.45,686.07,53.79,1.44,0,0,121.71,382.5,46.96,0

39,09:30-09:45,17.56,8.33,2.89,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,44.22,32.08,40.4,32.17,98.87,79.38,0,43.71,1.62,0,0,24.33,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,26.6,0,413.81,0,9.66,0,0,3.27,0,34.23,93.64,0,0,90.54,0,0,0,0,0,0,0,77.45,686.07,53.79,1.44,0,0,121.71,382.5,46.96,0

40,09:45-10:00,17.56,8.33,2.89,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,44.22,32.08,40.4,32.17,98.87,79.38,0,43.71,1.62,0,0,24.33,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,26.6,0,413.81,0,9.66,0,0,3.22,0,34.23,93.64,0,0,90.54,0,0,0,0,0,0,0,77.45,686.07,53.79,1.44,0,0,121.71,382.5,46.96,0

41,10:00-10:15,17.56,8.33,2.89,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,44.22,32.08,40.4,32.17,98.87,79.38,0,43.71,1.62,0,0,13.99,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,36.05,0,413.81,0,9.66,0,0,3.43,0,34.23,93.64,0,0,90.54,0,0,0,0,0,0,0,77.45,686.07,53.79,1.44,0,0,121.71,382.5,46.72,0

42,10:15-10:30,17.56,8.33,2.89,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,44.22,32.08,40.4,32.17,98.87,79.38,0,43.71,1.62,0,0,0,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,36.05,0,413.81,0,9.66,0,0,3.41,0,45.27,93.64,0,0,90.54,0,0,0,0,0,0,0,77.45,686.07,53.79,1.44,0,0,121.71,382.5,46.72,0

43,10:30-10:45,17.56,8.33,2.89,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,44.22,32.08,40.4,32.17,98.87,79.38,0,43.71,1.62,0,0,0,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,26.6,0,413.81,0,9.66,0,0,3.35,0,45.27,93.64,0,0,90.54,0,0,0,0,0,0,0,77.45,686.07,53.79,1.44,0,0,121.71,382.5,46.72,0

44,10:45-11:00,17.56,8.33,2.89,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,44.22,32.08,40.4,32.17,98.87,79.38,0,43.71,1.62,0,0,0,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,26.6,0,413.81,0,9.66,0,0,3.29,0,34.23,93.64,0,0,90.54,0,0,0,0,0,0,0,77.45,686.07,53.79,1.44,0,0,121.71,382.5,46.72,0

45,11:00-11:15,17.56,8.33,2.89,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,44.22,32.08,40.4,32.17,98.87,79.38,0,43.71,1.62,0,0,0,20.8,0,27.05,3.92,44.99,0,0,0,60.68,127.6,127.75,26.6,0,413.81,0,9.66,0,0,3.3,0,34.23,93.64,0,0,90.54,0,0,0,0,0,0,0,77.45,686.07,53.79,1.44,0,0,121.71,382.5,46.72,0

46,11:15-11:30,17.56,8.33,2.89,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,44.22,32.08,40.4,32.17,98.87,79.38,0,43.71,1.62,0,0,0,20.8,0,27.05,3.92,44.99,0,0,0,60.68,127.6,127.75,26.6,0,413.81,0,9.66,0,0,3.39,0,34.23,93.64,0,0,90.54,0,0,0,0,0,0,0,77.45,686.07,53.79,1.44,0,0,121.71,382.5,46.72,0

47,11:30-11:45,17.56,8.33,2.89,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,44.22,32.08,40.4,32.17,98.87,79.38,0,43.71,1.62,0,0,0,20.8,0,27.05,3.92,44.99,0,0,0,60.68,127.6,127.75,26.6,0,413.81,0,9.66,0,0,3.59,0,26.49,93.64,0,0,90.54,0,0,0,0,0,0,0,77.45,686.07,53.79,1.44,0,0,121.71,382.5,46.72,0

48,11:45-12:00,17.56,8.33,2.89,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,44.22,32.08,40.4,32.17,98.87,79.38,0,43.71,1.62,0,0,0,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,26.6,0,413.81,0,9.66,0,0,3.59,0,26.49,93.64,0,0,90.54,0,0,0,0,0,0,0,77.45,686.07,53.79,1.44,0,0,121.71,382.5,46.72,0

49,12:00-12:15,17.56,8.33,2.89,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,44.22,32.08,40.4,32.17,98.87,79.38,0,43.71,1.62,0,0,0,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,26.6,0,413.81,0,9.66,0,0,3.59,0,30.91,93.64,0,0,92.59,0,0,5.79,0,0,0,0,77.21,686.07,53.79,1.44,0,0,121.71,382.5,46.37,0

50,12:15-12:30,17.56,8.33,2.89,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,44.22,32.08,40.4,32.17,98.87,79.38,0,43.71,1.62,0,0,0,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,26.6,0,413.81,0,9.66,0,0,3.59,0,30.91,93.64,0,0,92.59,0,0,5.79,0,0,0,0,77.21,686.07,53.79,1.44,0,0,121.71,382.5,46.37,0

51,12:30-12:45,17.56,8.33,2.89,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,44.22,32.08,40.4,32.17,98.87,79.38,0,43.71,1.62,0,0,0,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,26.6,0,413.81,0,9.66,0,0,3.59,0,30.91,93.64,0,0,92.59,0,0,5.79,0,0,0,0,77.21,686.07,53.79,1.44,0,0,121.71,382.5,46.37,0

52,12:45-13:00,17.56,8.33,2.89,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,44.22,32.08,40.4,32.17,98.87,79.38,0,43.71,1.62,0,0,0,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,29.56,0,413.81,0,9.66,0,0,3.59,0,30.91,93.64,0,0,92.59,0,0,5.79,0,0,0,0,77.21,686.07,53.79,1.44,0,0,121.71,382.5,46.37,0

53,13:00-13:15,17.56,8.33,2.89,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,44.22,32.08,40.4,32.17,98.87,79.38,0,43.71,1.62,0,0,0,20.8,0,27.05,3.92,44.99,0,0,0,60.68,127.6,127.75,29.56,0,413.81,0,9.66,0,0,3.59,0,30.91,93.64,0,0,92.59,0,0,5.79,0,0,0,0,77.21,686.07,53.79,1.44,0,0,121.71,382.5,46.37,0

54,13:15-13:30,17.56,8.33,2.89,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,44.22,32.08,40.4,32.17,98.87,79.38,0,43.71,1.62,0,0,0,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,29.56,0,413.81,0,9.66,0,0,3.59,0,30.91,93.64,0,0,92.59,0,0,5.79,0,0,0,0,77.21,686.07,53.79,1.44,0,0,121.71,382.5,46.37,0

55,13:30-13:45,17.56,8.33,2.89,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,44.22,32.08,40.4,32.17,98.87,79.38,0,43.71,1.62,0,0,0,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,29.56,0,413.81,0,9.66,0,0,3.59,0,30.91,93.64,0,0,92.59,0,0,5.79,0,0,0,0,77.21,686.07,53.79,1.44,0,0,121.71,382.5,46.37,0

56,13:45-14:00,17.56,8.33,2.89,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,44.22,32.08,40.4,32.17,98.87,79.38,0,43.71,1.62,0,0,0,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,29.56,0,413.81,0,9.66,0,0,3.59,0,30.91,93.64,0,0,92.59,0,0,5.79,0,0,0,0,77.21,686.07,53.79,1.44,0,0,121.71,382.5,46.37,0

57,14:00-14:15,17.56,8.33,2.89,20.96,0,0,20.01,0,167.1,0,3.54,0,0,0,0,0,44.22,32.08,34.89,32.17,98.87,79.38,0,43.71,1.62,0,0,14,20.8,0,27.05,5.35,44.99,0,0,0,60.68,127.6,127.75,29.56,0,413.81,0,9.66,0,0,3.82,0,30.91,93.64,0,0,92.59,0,0,5.79,0,0,0,0,77.21,686.07,53.79,1.44,0,0,121.71,382.5,46.37,0

