Column1,Block,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/7663,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/5280,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/7762,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/27731/C,NR/2025/27462/A/76622,NR/2025/27499/A/77004,NR/2025/27393/A/76946,NR/2025/27360/A/76950,NR/2025/26889/A/77006,NR/2025/26561/A/76960,NR/2025/26861/A/76966,NR/2025/27242/A/76761,NR/2025/27724/A/77018,NR/2025/26085/A/76995,NR/2025/27168/A/76983,NR/2025/27167/A/76978,NR/2025/26952/A/76657,NR/2025/26785/A/76627,NR/2025/27725/A/77031,NR/2025/27088/A/77060,NR/2025/26445/A/77069,NR/2025/26777/A/76690,NR/2025/27359/A/76952,NR/2025/26860/A/76908,NR/2025/27749/C,NR/2025/26563/A/76961,NR/2025/26569/A/76963,NR/2025/27162/A/77114,NR/2025/26570/A/76964,NR/2025/27281/A/77105,NR/2025/27727/A/77022,NR/2025/27157/A/76688,NR/2025/26975/A/77115,NR/2025/26564/A/76962,NR/2025/27361/A/76948,NR/2025/27834/C,NR/2025/27763/C,NR/2025/27765/C,NR/2025/27836/C,NR/2025/27816/C,NR/2025/27806/C,NR/2025/27728/A/77023,NR/2025/27726/A/77024,NR/2025/27817/C,NR/2025/27809/C,NR/2025/27835/C,NR/2025/27810/C,NR/2025/27837/C,NR/2025/27818/C,NR/2025/27811/C,GNARE/NR/2024/12/20/3668,NR/2025/27356/A/76954,NR/2025/27622/A/77010,Total
9,02:00-02:15,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.94,11.91,26.94,20.53,12.02,0,9.66,0,111.1,28.98,0,0,0,41.06,9.66,0.63,20.53,20.53,0,0,8.05,164.24,0,164.24,16.91,106.27,0,0,0,55.98,0,24.88,24.15,217.28,27.05,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0,0,0,1829.82

10,02:15-02:30,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.94,11.91,26.94,20.53,12.02,0,9.66,0,111.1,28.98,0,0,0,41.06,9.66,0.63,20.53,20.53,0,0,8.05,164.24,0,164.24,16.91,106.27,0,0,0,55.98,0,24.88,24.15,217.28,27.05,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0,0,0,1829.82

11,02:30-02:45,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.94,11.91,26.94,20.53,12.02,0,9.66,0,111.1,28.98,0,0,0,41.06,9.66,0.63,20.53,20.53,0,0,8.05,164.24,0,164.24,16.91,106.27,0,0,0,55.98,0,24.88,24.15,217.28,27.05,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0,0,0,1829.82

12,02:45-03:00,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.94,11.91,26.94,20.53,12.02,0,9.66,0,111.1,28.98,0,0,0,41.06,9.66,0.63,20.53,20.53,0,0,8.05,164.24,0,164.24,16.91,106.27,0,0,0,55.98,0,24.88,24.15,217.28,27.05,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0,0,0,1829.82

13,03:00-03:15,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.94,11.91,26.94,20.53,11.93,0,9.66,0,111.1,28.98,0,0,0,41.06,9.66,0.53,20.53,20.53,0,0,8.05,164.24,0,164.24,16.91,106.27,0,0,0,55.98,0,24.88,24.15,217.28,5.8,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0,0,0,1808.38

14,03:15-03:30,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.94,11.91,26.94,20.53,11.93,0,9.66,0,111.1,28.98,0,0,0,41.06,9.66,0.53,20.53,20.53,0,0,8.05,164.24,0,164.24,16.91,106.27,0,0,0,55.98,0,24.88,24.15,217.28,5.8,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0,0,0,1808.38

15,03:30-03:45,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.94,11.91,26.94,20.53,11.93,0,9.66,0,111.1,28.98,0,0,0,41.06,9.66,0.53,20.53,20.53,0,0,8.05,164.24,0,164.24,16.91,106.27,0,0,0,55.98,0,24.88,24.15,217.28,5.8,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0,0,0,1808.38

16,03:45-04:00,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.94,11.91,26.94,20.53,11.93,0,9.66,0,111.1,28.98,0,0,0,41.06,9.66,0.53,20.53,20.53,0,0,8.05,164.24,0,164.24,16.91,106.27,0,0,0,55.98,0,24.88,24.15,217.28,5.8,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0,0,0,1808.38

17,04:00-04:15,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.94,11.91,26.94,20.53,11.74,0,9.66,0,111.1,28.98,0,0,0,41.06,9.66,0.53,20.53,20.53,0,0,8.05,164.24,0,164.24,16.91,106.27,0,0,0,55.98,0,24.88,24.15,0,5.8,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0,0,0,1590.91

18,04:15-04:30,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.94,11.91,26.94,20.53,11.74,0,9.66,0,111.1,28.98,0,0,0,41.06,9.66,0.53,20.53,20.53,0,0,8.05,164.24,0,164.24,16.91,106.27,0,0,0,55.98,0,24.88,24.15,0,5.8,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0,0,0,1590.91

19,04:30-04:45,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.94,11.91,26.94,20.53,11.74,0,9.66,0,111.1,28.98,0,0,0,41.06,9.66,0.53,20.53,20.53,0,0,8.05,164.24,0,164.24,16.91,106.27,0,0,0,55.98,0,24.88,24.15,0,5.8,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0,0,0,1590.91

20,04:45-05:00,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.94,11.91,26.94,20.53,11.74,0,9.66,0,111.1,28.98,0,0,0,41.06,9.66,0.53,20.53,20.53,0,0,8.05,164.24,0,164.24,16.91,106.27,0,0,0,55.98,0,24.88,24.15,0,5.8,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0,0,0,1590.91

21,05:00-05:15,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.94,11.91,26.94,20.53,11.65,0,9.66,0,111.1,28.98,0,0,0,41.06,9.66,0.63,20.53,20.53,0,0,8.05,164.24,0,164.24,16.91,106.27,0,0,0,55.98,0,24.88,24.15,0,5.8,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0,0,0,1590.92

22,05:15-05:30,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.94,11.91,26.94,20.53,11.65,0,9.66,0,111.1,28.98,0,0,0,41.06,9.66,0.63,20.53,20.53,0,0,8.05,164.24,0,164.24,16.91,106.27,0,0,0,55.98,0,24.88,24.15,0,5.8,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0.02,0,0,1590.94

23,05:30-05:45,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.94,11.91,26.94,20.53,11.65,0,9.66,0,111.1,28.98,0,0,0,41.06,7.73,0.63,20.53,20.53,0,0,8.05,164.24,0,164.24,16.91,106.27,0,0,0,55.98,0,24.88,24.15,0,5.8,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0.1,0,0,1589.09

24,05:45-06:00,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.94,11.91,26.94,20.53,11.65,0,9.66,0,111.1,28.98,0,0,0,41.06,7.73,0.63,20.53,20.53,0,0,8.05,164.24,0,164.24,16.91,106.27,0,0,0,55.98,0,24.88,24.15,0,5.8,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0.12,0,0,1589.11

25,06:00-06:15,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.94,11.91,26.94,20.53,11.55,0,9.66,0,0,0,0,0,0,41.06,7.73,0.68,20.53,20.53,0,0,8.05,164.24,0,164.24,0,106.27,0,0,0,55.98,0,24.88,24.15,0,5.8,0,0,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0.6,1,0,1394.9099999999999

26,06:15-06:30,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.94,11.91,26.94,20.53,11.55,0,9.66,0,0,0,0,0,0,41.06,7.73,0.68,20.53,20.53,0,0,8.05,164.24,0,164.24,0,106.27,0,0,0,55.98,0,24.88,24.15,0,5.8,0,0,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,1.27,4,0,1398.58

27,06:30-06:45,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.94,11.91,26.94,20.53,11.55,0,9.66,0,0,0,0,0,0,41.06,7.73,0.68,20.53,20.53,0,0,8.05,164.24,0,164.24,0,106.27,0,0,0,55.98,0,24.88,24.15,0,5.8,0,0,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,4.22,7,0,1404.53

28,06:45-07:00,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.94,11.91,26.94,20.53,11.55,0,9.66,0,0,0,0,0,0,41.06,7.73,0.68,20.53,20.53,0,0,8.05,164.24,0,164.24,0,106.27,0,0,0,55.98,0,24.88,24.15,0,5.8,0,0,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,7.03,14,0,1414.34

29,07:00-07:15,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.94,11.91,26.94,20.53,11.47,0,9.66,0,0,0,0,0,0,41.06,7.73,0.87,20.53,20.53,0,0,8.05,164.24,0,164.24,0,106.27,0,0,0,55.98,0,24.88,24.15,0,5.8,0,0,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,10.58,25,0,1429

30,07:15-07:30,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.94,11.91,26.94,20.53,11.47,0,9.66,0,0,0,0,0,0,41.06,7.73,0.87,20.53,20.53,0,0,8.05,164.24,0,164.24,0,106.27,0,0,0,55.98,0,24.88,24.15,0,5.8,0,0,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,15.16,35,0,1443.5800000000002

31,07:30-07:45,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.94,11.91,26.94,20.53,11.47,0,9.66,0,0,0,0,0,0,41.06,7.73,0.87,20.53,20.53,0,0,8.05,164.24,0,164.24,0,106.27,0,0,0,55.98,0,24.88,24.15,0,5.8,0,0,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,20.62,49,0,1463.04

32,07:45-08:00,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.94,11.91,26.94,20.53,11.47,0,9.66,0,0,0,0,0,0,41.06,7.73,0.87,20.53,20.53,0,0,8.05,164.24,0,164.24,0,106.27,0,0,0,55.98,0,24.88,24.15,0,5.8,0,0,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,26.68,63,0,1483.1000000000001

33,08:00-08:15,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.94,11.91,26.94,20.53,11.47,0,9.66,0,0,0,0,0,0,41.06,7.73,0.97,20.53,20.53,0,0,8.05,164.24,0,164.24,0,106.27,0,0,0,55.98,0,24.88,24.15,0,5.8,0,0,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,33.2,77,5.8,1509.52

34,08:15-08:30,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.94,11.91,26.94,20.53,11.47,0,9.66,0,0,0,0,0,0,41.06,7.73,0.97,20.53,20.53,0,0,8.05,164.24,0,164.24,0,106.27,0,0,0,55.98,0,24.88,24.15,0,5.8,0,0,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,39.77,88,5.8,1527.09

35,08:30-08:45,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.94,11.91,26.94,20.53,11.47,0,9.66,0,0,0,0,0,0,41.06,7.73,0.97,20.53,20.53,0,0,8.05,164.24,0,164.24,0,106.27,0,0,0,55.98,0,24.88,24.15,0,5.8,0,0,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,46.32,102,5.8,1547.6399999999999

36,08:45-09:00,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.94,11.91,26.94,20.53,11.47,0,9.66,0,0,0,0,0,0,41.06,7.73,0.97,20.53,20.53,0,0,8.05,164.24,0,164.24,0,106.27,0,0,0,55.98,0,24.88,24.15,0,5.8,0,0,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,53.01,116,5.8,1568.33

37,09:00-09:15,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.95,11.91,26.95,20.53,12.11,53.14,0,0,0,0,0,0,0,41.06,7.73,0.97,20.53,20.53,0,0,0,0,0,0,0,0,106.27,0,0,0,0,0,0,0,0,0,0,8.05,0,24.88,24.15,29.95,164.24,0,0,162.84,5.8,18.85,55.98,18.85,9.66,164.24,59.5,130,8.69,1645.5099999999998

38,09:15-09:30,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.95,11.91,26.95,20.53,12.11,53.14,0,0,0,0,0,0,0,41.06,7.73,0.97,20.53,20.53,0,0,0,0,0,0,0,0,106.27,0,0,0,0,0,0,0,0,0,0,8.05,0,24.88,24.15,29.95,164.24,0,0,162.84,5.8,18.85,55.98,18.85,9.66,164.24,65.03,140,8.69,1661.0399999999997

39,09:30-09:45,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.95,11.91,26.95,20.53,12.11,53.14,0,0,0,0,0,0,0,41.06,7.73,0.97,20.53,20.53,0,0,0,0,0,0,0,0,106.27,0,0,0,0,0,0,0,0,0,0,8.05,0,24.88,24.15,29.95,164.24,0,0,162.84,5.8,18.85,55.98,18.85,9.66,164.24,78.16,151,8.69,1685.1699999999998

40,09:45-10:00,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.95,11.91,26.95,20.53,12.11,53.14,0,0,0,0,0,0,0,41.06,7.73,0.97,20.53,20.53,0,0,0,0,0,0,0,0,106.27,0,0,0,0,0,0,0,0,0,0,8.05,0,24.88,24.15,29.95,164.24,0,0,162.84,5.8,18.85,55.98,18.85,9.66,164.24,83.74,161,8.69,1700.7499999999998

41,10:00-10:15,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.95,11.91,26.95,20.53,12.02,53.14,0,0,0,0,0,0,0,41.06,7.73,0.97,20.53,20.53,0,0,0,0,0,0,0,0,106.27,0,0,0,0,0,0,0,0,0,0,8.05,0,24.88,24.15,29.95,164.24,0,0,162.84,5.8,18.85,55.98,18.85,9.66,164.24,88.76,172,11.59,1719.5799999999997

42,10:15-10:30,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.95,11.91,26.95,20.53,12.02,53.14,0,0,0,0,0,0,0,41.06,7.73,0.97,20.53,20.53,0,0,0,0,0,0,0,0,106.27,0,0,0,0,0,0,0,0,0,0,8.05,0,24.88,24.15,29.95,164.24,0,0,162.84,5.8,18.85,55.98,18.85,9.66,164.24,93.42,182,11.59,1734.2399999999998

43,10:30-10:45,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.95,11.91,26.95,20.53,12.02,53.14,0,0,0,0,0,0,0,41.06,7.73,0.97,20.53,20.53,0,0,0,0,0,0,0,0,106.27,0,0,0,0,0,0,0,0,0,0,8.05,0,24.88,24.15,29.95,164.24,0,0,162.84,5.8,18.85,55.98,18.85,9.66,164.24,97.58,186,11.59,1742.3999999999996

44,10:45-11:00,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.95,11.91,26.95,20.53,12.02,53.14,0,0,0,0,0,0,0,41.06,7.73,0.97,20.53,20.53,0,0,0,0,0,0,0,0,106.27,0,0,0,0,0,0,0,0,0,0,8.05,0,24.88,24.15,29.95,164.24,0,0,162.84,5.8,18.85,55.98,18.85,9.66,164.24,100,189,11.59,1747.8199999999997

