Column1,Block,NR/2025/25623/C,NR/2025/25622/C,NR/2025/25518/A/58354,NR/2025/25516/A/58350,NR/2025/25517/A/58352,WR/2025/26426/A/58220,NR/2025/25159/A/58135,GNA/NR/2025/03/01/3469,GNA/WR/2025/01/01/8625,GNA/NR/2025/03/01/2563,NR/30092023/26122029/SH-06,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/9482,GNA/WR/2025/01/01/9606,GNA/NR/2025/03/01/5143,NR/30092023/31122025/SH-07,GNA/SR/2025/03/01/7500,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2025/03/01/6406,GNA/NR/2025/03/01/6891,WR/2025/26499/A/58445,WR/2025/26427/A/58221,WR/2025/26582/A/58441,GNARE/NR/2024/12/20/3668,Total
6,01:15-01:30,0,0,0,0,0,167.53,0.43,6.72,0,23.04,25.16,23.04,23.04,5.76,17.28,0,190.26,25.16,200,3.68,42,63.42,0,24,24,0,864.52

7,01:30-01:45,0,0,0,0,0,167.53,0.43,6.72,0,23.04,26.99,23.04,23.04,5.76,17.28,0,190.26,26.99,200,3.68,42,63.42,0,24,24,0,868.18

8,01:45-02:00,0,0,0,0,0,167.53,0.43,6.72,0,23.04,26.99,23.04,23.04,5.76,17.28,0,190.26,26.99,200,3.68,42,63.42,0,24,24,0,868.18

9,02:00-02:15,0,0,0,0,0,167.53,0.43,6.72,0,23.04,26.99,23.04,23.04,5.76,17.28,0,190.26,26.99,0,3.68,42,63.42,0,24,24,0,668.18

10,02:15-02:30,0,0,0,0,0,167.53,0.43,6.72,0,23.04,26.99,23.04,23.04,5.76,17.28,0,190.26,26.99,0,3.68,42,63.42,0,24,24,0,668.18

11,02:30-02:45,0,0,0,0,0,167.53,0.43,6.72,0,23.04,26.99,23.04,23.04,5.76,17.28,0,190.26,26.99,0,3.68,42,63.42,0,24,24,0,668.18

12,02:45-03:00,0,0,0,0,0,167.53,0.43,6.72,0,23.04,26.99,23.04,23.04,5.76,17.28,0,190.26,26.99,0,3.68,42,63.42,0,24,24,0,668.18

13,03:00-03:15,0,0,0,0,0,167.53,0.43,6.72,0,23.04,26.99,23.04,23.04,5.76,17.28,0,190.26,26.99,0,3.68,42,63.42,0,24,24,0,668.18

14,03:15-03:30,0,0,0,0,0,167.53,0.43,6.72,0,23.04,26.99,23.04,23.04,5.76,17.28,0,190.26,26.99,0,3.68,42,63.42,0,24,24,0,668.18

15,03:30-03:45,0,0,0,0,0,167.53,0.43,6.72,0,23.04,26.99,23.04,23.04,5.76,17.28,0,190.26,26.99,0,3.68,42,63.42,0,24,24,0,668.18

16,03:45-04:00,0,0,0,0,0,167.53,0.43,6.72,0,23.04,26.99,23.04,23.04,5.76,17.28,0,190.26,26.99,0,3.68,42,63.42,0,24,24,0,668.18

17,04:00-04:15,0,0,0,0,0,167.53,0.43,6.72,0,23.04,26.99,23.04,23.04,5.76,17.28,0,190.26,26.99,0,3.58,42,63.42,0,24,24,0,668.08

18,04:15-04:30,0,0,0,0,0,167.53,0.43,6.72,0,23.04,26.99,23.04,23.04,5.76,17.28,0,190.26,26.99,0,3.58,42,63.42,0,24,24,0,668.08

19,04:30-04:45,0,0,0,0,0,167.53,0.43,6.72,0,23.04,26.99,23.04,23.04,5.76,17.28,0,190.26,26.99,0,3.58,42,63.42,0,24,24,0,668.08

20,04:45-05:00,0,0,0,0,0,167.53,0.43,6.72,0,23.04,26.99,23.04,23.04,5.76,17.28,0,190.26,26.99,0,3.58,42,63.42,0,24,24,0,668.08

21,05:00-05:15,0,0,0,0,0,167.53,0.48,6.72,0,23.04,26.99,23.04,23.04,5.76,17.28,0,190.26,26.99,0,3.58,42,63.42,0,24,24,0,668.13

22,05:15-05:30,0,0,0,0,0,167.53,0.48,6.72,0,23.04,26.99,23.04,23.04,5.76,17.28,0,190.26,26.99,0,3.58,42,63.42,0,24,24,0,668.13

23,05:30-05:45,0,0,0,0,0,167.53,0.48,6.72,0,23.04,26.99,23.04,23.04,5.76,17.28,0,190.26,26.99,0,3.58,42,63.42,0,24,24,0,668.13

24,05:45-06:00,0,0,0,0,0,167.53,0.48,6.72,0,23.04,26.99,23.04,23.04,5.76,17.28,0,190.26,26.99,0,3.58,42,63.42,0,24,24,0,668.13

25,06:00-06:15,0,0,0,0,0,167.53,0.53,6.72,0,23.04,26.99,23.04,23.04,5.76,17.28,0,0,26.99,0,3.58,42,0,0,0,0,0,366.49999999999994

26,06:15-06:30,0,0,0,0,0,167.53,0.53,6.72,0,23.04,25.16,23.04,23.04,5.76,17.28,0,0,25.16,0,3.58,42,0,0,0,0,0,362.84000000000003

27,06:30-06:45,0,0,0,0,0,167.53,0.53,6.72,0,23.04,23.41,23.04,23.04,5.76,17.28,0,0,32,0,3.58,42,0,0,0,0,0.58,368.51

28,06:45-07:00,0,0,0,0,0,167.53,0.53,6.72,0,23.04,23.41,23.04,23.04,5.76,17.28,0,0,32,0,3.58,42,0,0,0,0,0.45,368.38

29,07:00-07:15,0,0,0,0,0,167.53,0.58,6.72,0,25.91,32,25.91,25.91,5.76,17.28,0,0,32,0,3.58,0,0,40.31,0,0,0.77,384.26

30,07:15-07:30,0,0,0,0,0,167.53,0.58,6.72,0,25.91,32,25.91,25.91,5.76,17.28,0,0,32,0,3.58,0,0,40.31,0,0,3.58,387.07

31,07:30-07:45,0,0,0,0,0,167.53,0.58,6.72,0,31.67,32,31.67,31.67,5.76,17.28,0,0,25.87,0,3.58,0,0,40.31,0,0,7.73,402.37

32,07:45-08:00,0,0,0,0,0,167.53,0.58,6.72,0,31.67,32,31.67,31.67,5.76,17.28,0,0,25.87,0,3.58,0,0,40.31,0,0,13.43,408.07

33,08:00-08:15,0,0,0.07,0.13,0.1,0,0.96,6.72,0,34.55,32,34.55,34.55,5.76,17.28,0,0,25.87,0,3.49,0,0,40.31,0,0,20.81,257.15

34,08:15-08:30,0,0,0.21,0.34,0.3,0,0.96,6.72,0,34.55,32,34.55,34.55,5.76,17.28,0,0,25.87,0,3.49,0,0,40.31,0,0,28.95,265.84000000000003

35,08:30-08:45,0,0,0.32,0.57,0.57,0,0.96,6.72,0,34.55,26.99,34.55,34.55,5.76,17.28,0,0,26.99,0,3.49,0,0,40.31,0,0,37.9,271.51

36,08:45-09:00,0,0,0.43,0.78,0.69,0,0.96,6.72,0,34.55,26.99,34.55,34.55,5.76,17.28,0,0,26.99,0,3.49,0,0,40.31,0,0,46.46,280.51

37,09:00-09:15,38.39,14.4,0.48,0.86,0.77,0,0.91,6.72,0,23.04,26.99,23.04,23.04,0,17.28,0,0,26.99,0,3.49,0,0,40.31,0,0,54.57,301.28000000000003

38,09:15-09:30,38.39,14.4,0.48,0.96,0.77,0,0.91,6.72,0,23.04,26.99,23.04,23.04,0,17.28,0,0,26.99,0,3.49,0,0,40.31,0,0,62.76,309.57

39,09:30-09:45,38.39,14.4,0.38,0.96,0.77,0,0.91,6.72,0,23.04,26.99,23.04,23.04,0,17.28,0,0,26.99,0,3.49,0,0,40.31,0,0,69.92,316.63

40,09:45-10:00,38.39,13.92,0.48,0.96,0.77,0,0.91,6.72,0,23.04,26.99,23.04,23.04,0,17.28,0,0,26.99,0,3.49,0,0,40.31,0,0,76.37,322.70000000000005

41,10:00-10:15,38.39,13.53,0.48,0.96,0.77,0,0.91,12.48,0,23.04,26.99,23.04,23.04,0,17.28,0,0,26.99,0,3.49,0,0,40.31,0,0,82.33,334.03000000000003

42,10:15-10:30,38.39,13.05,0.48,0.96,0.86,0,0.91,12.48,0,23.04,26.99,23.04,23.04,0,17.28,0,0,26.99,0,3.49,0,0,40.31,0,0,88.23,339.54

43,10:30-10:45,38.39,12.77,0.48,0.96,0.86,0,0.91,12.48,0,23.04,26.99,23.04,23.04,0,17.28,0,0,26.99,0,3.49,0,0,40.31,0,0,96.67,347.7

44,10:45-11:00,38.39,12.86,0.48,0.96,0.77,0,0.91,12.48,0,23.04,26.99,23.04,23.04,0,17.28,0,0,26.99,0,3.49,0,0,40.31,0,0,97.67,348.7

45,11:00-11:15,38.39,13.53,0.48,1.06,0.67,0,0.91,12.48,0,23.04,26.99,23.04,23.04,0,17.28,0,0,26.99,0,3.49,0,0,40.31,0,0,98.33,350.03000000000003

46,11:15-11:30,38.39,13.92,0.48,1.06,0.77,0,0.91,12.48,0,23.04,26.99,23.04,23.04,0,17.28,0,0,26.99,0,3.49,0,0,40.31,0,0,98.33,350.52000000000004

47,11:30-11:45,38.39,14.11,0.48,1.06,0.77,0,0.91,12.48,0,23.04,26.99,23.04,23.04,0,17.28,0,0,26.99,0,3.49,0,0,40.31,0,0,98.33,350.71000000000004

48,11:45-12:00,38.39,14.3,0.48,1.06,0.77,0,0.91,12.48,0,23.04,26.99,23.04,23.04,0,17.28,0,0,26.99,0,3.49,0,0,40.31,0,0,98.33,350.90000000000003

49,12:00-12:15,38.39,14.3,0.48,1.06,0.77,0,0.91,12.48,0,23.04,26.99,23.04,23.04,0,17.28,0,0,26.99,0,3.49,0,0,40.31,0,0,98.33,350.90000000000003

50,12:15-12:30,38.39,14.4,0.48,1.06,0.77,0,0.91,12.48,0,23.04,26.99,23.04,23.04,0,17.28,0,0,26.99,0,3.49,0,0,40.31,0,0,98.33,351

51,12:30-12:45,38.39,14.4,0.48,1.06,0.77,0,0.91,12.48,0,23.04,26.99,23.04,23.04,0,17.28,0,0,26.99,0,3.49,0,0,40.31,0,0,98.33,351

52,12:45-13:00,38.39,14.4,0.38,1.06,0.77,0,0.91,12.48,0,23.04,26.99,23.04,23.04,0,17.28,0,0,26.99,0,3.49,0,0,40.31,0,0,98.33,350.90000000000003

53,13:00-13:15,38.39,14.4,0.48,1.06,0.77,0,0.91,12.48,0,23.04,26.99,23.04,23.04,0,17.28,0,0,26.99,0,3.49,0,0,40.31,0,0,98.33,351

54,13:15-13:30,38.39,14.4,0.48,1.06,0.77,0,0.91,12.48,0,23.04,26.99,23.04,23.04,0,17.28,0,0,26.99,0,3.49,0,0,40.31,0,0,98.33,351

55,13:30-13:45,38.39,14.3,0.48,1.06,0.77,0,0.91,12.48,0,23.04,26.99,23.04,23.04,0,17.28,0,0,26.99,0,3.49,0,0,40.31,0,0,98.33,350.90000000000003

56,13:45-14:00,38.39,14.11,0.48,1.06,0.77,0,0.91,12.48,0,23.04,26.99,23.04,23.04,0,17.28,0,0,26.99,0,3.49,0,0,40.31,0,0,98.33,350.71000000000004

57,14:00-14:15,38.39,13.82,0.48,1.15,0.77,0,0.91,12.48,0,23.04,26.99,23.04,23.04,0,17.28,0,0,26.99,0,3.49,0,0,40.31,0,0,98.33,350.51

58,14:15-14:30,38.39,13.44,0.58,1.15,0.86,0,0.91,12.48,0,23.04,26.99,23.04,23.04,0,17.28,0,0,26.99,0,3.49,0,0,40.31,0,0,98.33,350.32

59,14:30-14:45,38.39,13.73,0.48,1.15,0.86,0,0.91,12.48,0,23.04,26.99,23.04,23.04,0,17.28,0,0,26.99,0,3.49,0,0,40.31,0,0,97.67,349.85

60,14:45-15:00,38.39,14.21,0.48,1.06,0.77,0,0.91,12.48,0,23.04,26.99,23.04,23.04,0,17.28,0,0,26.99,0,3.49,0,0,40.31,0,0,96.67,349.15000000000003

61,15:00-15:15,38.39,14.4,0.48,1.15,0.77,0,0.67,12.48,0,23.04,26.99,23.04,23.04,0,17.28,0,0,26.99,0,3.49,0,0,40.31,0,0,93.67,346.19

62,15:15-15:30,38.39,14.4,0.48,1.06,0.77,0,0.67,12.48,0,23.04,26.99,23.04,23.04,0,17.28,0,0,26.99,0,3.49,0,0,40.31,0,0,90,342.43

63,15:30-15:45,38.39,14.4,0.48,1.06,0.86,0,0.67,12.48,0,23.04,26.99,23.04,23.04,0,17.28,0,0,26.99,0,3.49,0,0,40.31,0,0,86,338.52

64,15:45-16:00,38.39,14.4,0.48,1.06,0.86,0,0.67,12.48,0,23.04,26.99,23.04,23.04,0,17.28,0,0,26.99,0,3.49,0,0,40.31,0,0,79.48,332

65,16:00-16:15,38.39,14.4,0.48,1.06,0.96,0,0.53,12.48,0,23.04,26.99,23.04,23.04,0,17.28,0,0,26.99,0,3.58,0,0,40.31,0,0,71.56,324.13

66,16:15-16:30,38.39,14.4,0.48,1.15,0.86,0,0.53,12.48,0,23.04,26.99,23.04,23.04,0,17.28,0,0,26.99,0,3.58,0,0,40.31,0,0,63.65,316.21

67,16:30-16:45,38.39,14.4,0.48,1.15,0.86,0,0.53,12.48,0,23.04,26.99,23.04,23.04,0,17.28,0,0,26.99,0,3.58,0,0,40.31,0,0,55.74,308.3

68,16:45-17:00,34.26,18.52,0.45,1.08,0.72,0,0.53,12.48,0,23.04,26.99,23.04,23.04,0,17.28,0,0,26.99,0,3.58,0,0,40.31,0,0,47.82,300.13000000000005

69,17:00-17:15,0,0,0.29,0.86,0.5,0,0.53,12.48,100,36.47,26.99,36.47,36.47,0,17.28,0,0,26.99,0,3.58,0,0,40.31,0,0,40.1,379.32000000000005

70,17:15-17:30,0,0,0.23,0.56,0.33,0,0.53,12.48,100,36.47,26.99,36.47,36.47,0,17.28,0,0,26.99,0,3.58,0,0,40.31,0,0,32.37,371.06

71,17:30-17:45,0,0,0.11,0.28,0.2,0,0.53,12.48,100,36.47,26.99,36.47,36.47,0,17.28,0,0,26.99,0,3.58,0,0,40.31,0,0,24.64,362.79999999999995

72,17:45-18:00,0,0,0.01,0.03,0.02,0,0.53,12.48,100,36.47,26.99,36.47,36.47,0,17.28,0,0,26.99,0,3.58,0,0,40.31,0,0,16.92,354.55

73,18:00-18:15,0,0,0,0,0,0,0.53,12.48,100,36.47,32,36.47,36.47,0,17.28,50,0,25.87,0,3.68,0,0,40.31,0,0,12.87,404.43000000000006

74,18:15-18:30,0,0,0,0,0,0,0.53,12.48,100,36.47,32,36.47,36.47,0,17.28,50,0,23.41,0,3.68,0,0,40.31,0,0,8.83,397.93000000000006

75,18:30-18:45,0,0,0,0,0,0,0.53,12.48,100,36.47,32,36.47,36.47,0,17.28,50,0,32,50,3.68,0,0,40.31,0,0,4.78,452.47

76,18:45-19:00,0,0,0,0,0,0,0.53,12.48,100,36.47,32,36.47,36.47,0,17.28,50,0,32,50,3.68,0,0,40.31,0,0,0.74,448.43000000000006

77,19:00-19:15,0,0,0,0,0,0,0.62,12.48,100,36.47,32,36.47,36.47,0,17.28,50,0,32,50,3.76,0,0,40.31,0,0,0,447.85999999999996

78,19:15-19:30,0,0,0,0,0,0,0.62,12.48,100,36.47,32,36.47,36.47,0,17.28,50,0,32,50,3.76,0,0,40.31,0,0,0,447.85999999999996

79,19:30-19:45,0,0,0,0,0,0,0.62,12.48,100,36.47,32,36.47,36.47,0,17.28,50,0,32,50,3.76,0,0,40.31,0,0,0,447.85999999999996

80,19:45-20:00,0,0,0,0,0,0,0.62,12.48,100,36.47,32,36.47,36.47,0,17.28,50,0,32,50,3.76,0,0,40.31,0,0,0,447.85999999999996

81,20:00-20:15,0,0,0,0,0,47.99,0.62,12.48,100,36.47,32,36.47,36.47,0,17.28,75,0,0,50,3.76,0,0,40.31,0,0,0,488.84999999999997

82,20:15-20:30,0,0,0,0,0,47.99,0.62,12.48,100,36.47,32,36.47,36.47,0,17.28,75,0,2.79,50,3.76,0,0,40.31,0,0,0,491.64

83,20:30-20:45,0,0,0,0,0,47.99,0.62,12.48,100,36.47,32,36.47,36.47,0,17.28,75,0,22.4,50,3.76,0,0,40.31,0,0,0,511.24999999999994

84,20:45-21:00,0,0,0,0,0,47.99,0.62,12.48,100,36.47,32,36.47,36.47,0,17.28,75,0,22.4,50,3.76,0,0,40.31,0,0,0,511.24999999999994

85,21:00-21:15,0,0,0,0,0,47.99,0.62,12.48,100,18.41,32,18.41,28.79,0,17.28,75,0,22.4,50,3.76,0,0,40.31,0,0,0,467.45

86,21:15-21:30,0,0,0,0,0,47.99,0.62,12.48,100,18.41,32,18.41,28.79,0,17.28,75,0,22.4,50,3.76,0,0,40.31,0,0,0,467.45

87,21:30-21:45,0,0,0,0,0,47.99,0.62,12.48,100,18.41,32,18.41,28.79,0,17.28,75,0,22.4,50,3.76,0,0,40.31,0,0,0,467.45

88,21:45-22:00,0,0,0,0,0,47.99,0.62,12.48,100,18.41,32,18.41,28.79,0,17.28,75,0,22.4,50,3.76,0,0,40.31,0,0,0,467.45

89,22:00-22:15,0,0,0,0,0,47.99,0.53,12.48,100,14.9,32,14.9,23.04,0,17.28,75,190.26,23.41,50,3.68,0,63.42,40.31,24,24,0,757.1999999999998

90,22:15-22:30,0,0,0,0,0,47.99,0.53,12.48,100,14.9,32,14.9,23.04,0,17.28,75,190.26,23.41,50,3.68,0,63.42,40.31,24,24,0,757.1999999999998

91,22:30-22:45,0,0,0,0,0,47.99,0.53,13.44,100,14.9,32,14.9,39.35,0,17.28,75,190.26,23.41,50,3.68,0,63.42,40.31,24,24,0,774.4699999999998

92,22:45-23:00,0,0,0,0,0,47.99,0.53,13.44,100,14.9,32,14.9,39.35,0,17.28,75,190.26,23.41,50,3.68,0,63.42,40.31,24,24,0,774.4699999999998

93,23:00-23:15,0,0,0,0,0,47.99,0.48,13.44,0,14.9,32,14.9,32.63,0,17.28,75,190.26,23.41,50,3.68,0,63.42,40.31,24,24,0,667.6999999999998

94,23:15-23:30,0,0,0,0,0,47.99,0.48,13.44,0,14.9,32,14.9,32.63,0,17.28,75,190.26,23.41,50,3.68,0,63.42,40.31,24,24,0,667.6999999999998

95,23:30-23:45,0,0,0,0,0,47.99,0.48,13.44,0,14.9,32,14.9,32.63,0,17.28,75,190.26,23.41,50,3.68,0,63.42,40.31,24,24,0,667.6999999999998

96,23:45-24:00,0,0,0,0,0,47.99,0.48,13.44,0,14.9,32,14.9,32.63,0,17.28,75,190.26,23.41,50,3.68,0,63.42,40.31,24,24,0,667.6999999999998

