Time,Block,NR/2023/10959/A,NR/2023/10786/A,NR/2023/11953/A,NR/2023/10947/A,NR/2023/13513/C,NR/2023/13502/C,NR/2023/12706/A,NR/2023/13491/D,NR/2023/13495/D,NR/2023/12915/F,NR/2023/11447/A,NR/2023/12872/F,NR/2023/13369/F,NR/2023/10561/A,NR/2023/11507/A,NR/2023/12169/A,NR/2023/11709/A,NR/2023/13490/D,NR/2023/10488/A,NR/2023/11712/A,NR/2023/10436/A,NR/2023/13494/D,NR/2023/10956/A,NR/2023/12923/F,NR/2023/10435/A,NR/2023/13509/C,NR/2023/13506/C,NR/2023/12916/F,NR/2023/12661/A,NR/2023/10720/A,NR/2023/10460/A,NR/2023/11266/A,NR/2023/12814/F,NR/2023/10651/A,NR/2023/12921/F,NR/2023/12920/F,NR/2023/12917/F,NR/2023/13504/C,NR/2023/12919/F,NR/2023/12922/F,NR/2023/13315/F,NR/2023/12924/F,NR/2023/10432/A,NR/2023/12813/F,NR/2023/13493/D,Total
9,02:00-02:15,25.040000,98.710000,36.510000,23.220000,0.000000,8.230000,6.770000,27.570000,0,0.370000,14.960000,0.480000,0.000000,48.380000,300.460000,54.190000,23.170000,0,48.380000,64.350000,24.190000,0,100.160000,0.610000,24.190000,14.970000,31.610000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.930000,0.930000,0.920000,21.290000,0.820000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1425.09

10,02:15-02:30,25.040000,98.710000,36.510000,23.220000,0.000000,8.230000,6.770000,27.570000,0,0.370000,14.960000,0.480000,0.000000,48.380000,300.460000,54.190000,23.170000,0,48.380000,64.350000,24.190000,0,100.160000,0.610000,24.190000,14.970000,31.610000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.930000,0.930000,0.920000,0.000000,0.820000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1403.8

11,02:30-02:45,25.040000,98.710000,36.510000,23.220000,0.000000,8.230000,6.770000,27.570000,0,0.370000,14.960000,0.480000,0.000000,48.380000,300.460000,54.190000,23.170000,0,48.380000,64.350000,24.190000,0,100.160000,0.610000,24.190000,14.970000,31.610000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.930000,0.930000,0.920000,0.000000,0.820000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1403.8

12,02:45-03:00,25.040000,98.710000,36.510000,23.220000,0.000000,8.230000,6.770000,27.570000,0,0.370000,14.960000,0.480000,0.000000,48.380000,300.460000,54.190000,23.170000,0,48.380000,64.350000,24.190000,0,100.160000,0.610000,24.190000,14.970000,31.610000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.930000,0.930000,0.920000,0.000000,0.820000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1403.8

13,03:00-03:15,25.040000,98.710000,0.000000,23.220000,0.000000,8.230000,6.770000,27.570000,0,0.370000,14.960000,0.440000,0.000000,48.380000,300.460000,54.190000,0.000000,0,48.380000,64.350000,24.190000,0,100.160000,0.610000,24.190000,14.870000,31.610000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.930000,0.930000,0.920000,0.000000,0.820000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1343.98

14,03:15-03:30,25.040000,98.710000,0.000000,23.220000,0.000000,8.230000,6.770000,27.570000,0,0.370000,14.960000,0.440000,0.000000,48.380000,300.460000,54.190000,0.000000,0,48.380000,64.350000,24.190000,0,100.160000,0.610000,24.190000,14.870000,31.610000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.930000,0.930000,0.920000,0.000000,0.820000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1343.98

15,03:30-03:45,25.040000,98.710000,0.000000,23.220000,0.000000,8.230000,6.770000,27.570000,0,0.370000,14.960000,0.440000,0.000000,48.380000,300.460000,54.190000,0.000000,0,48.380000,64.350000,24.190000,0,100.160000,0.610000,24.190000,14.870000,31.610000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.930000,0.930000,0.920000,0.000000,0.820000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1343.98

16,03:45-04:00,25.040000,98.710000,0.000000,23.220000,0.000000,8.230000,6.770000,27.570000,0,0.370000,14.960000,0.440000,0.000000,48.380000,300.460000,54.190000,0.000000,0,48.380000,64.350000,24.190000,0,100.160000,0.610000,24.190000,14.870000,31.610000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.930000,0.930000,0.920000,0.000000,0.820000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1343.98

17,04:00-04:15,25.040000,98.710000,0.000000,23.220000,0.000000,8.230000,6.770000,27.570000,0,0.370000,14.960000,0.440000,0.000000,48.380000,300.460000,54.190000,0.000000,0,48.380000,64.350000,24.190000,0,100.160000,0.610000,24.190000,14.870000,30.080000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.930000,0.930000,0.920000,0.000000,0.820000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1342.45

18,04:15-04:30,25.040000,98.710000,0.000000,23.220000,0.000000,8.230000,6.770000,27.570000,0,0.370000,14.960000,0.440000,0.000000,48.380000,300.460000,54.190000,0.000000,0,48.380000,64.350000,24.190000,0,100.160000,0.610000,24.190000,14.870000,30.080000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.930000,0.930000,0.920000,0.000000,0.820000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1342.45

19,04:30-04:45,25.040000,98.710000,0.000000,23.220000,0.000000,8.230000,6.770000,27.570000,0,0.370000,14.960000,0.440000,0.000000,48.380000,300.460000,54.190000,0.000000,0,48.380000,64.350000,24.190000,0,100.160000,0.610000,24.190000,14.870000,30.080000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.930000,0.930000,0.920000,0.000000,0.820000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1342.45

20,04:45-05:00,25.040000,98.710000,0.000000,23.220000,0.000000,8.230000,6.770000,27.570000,0,0.370000,14.960000,0.440000,0.000000,48.380000,300.460000,54.190000,0.000000,0,48.380000,64.350000,24.190000,0,100.160000,0.610000,24.190000,14.870000,30.080000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.930000,0.930000,0.920000,0.000000,0.820000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1342.45

21,05:00-05:15,25.040000,0.000000,0.000000,23.220000,0.000000,8.230000,6.770000,27.570000,0,0.370000,14.960000,0.480000,0.000000,48.380000,300.460000,54.190000,0.000000,0,48.380000,64.350000,24.190000,0,100.160000,0.610000,24.190000,14.780000,30.080000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.930000,0.930000,0.920000,0.000000,0.820000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1243.69

22,05:15-05:30,25.040000,0.000000,0.000000,23.220000,0.000000,8.230000,6.770000,27.570000,0,0.370000,14.960000,0.480000,0.000000,48.380000,300.460000,54.190000,0.000000,0,48.380000,64.350000,24.190000,0,100.160000,0.610000,24.190000,14.780000,30.080000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.930000,0.930000,0.920000,0.000000,0.820000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1243.69

23,05:30-05:45,25.040000,0.000000,0.000000,23.220000,0.000000,8.230000,6.770000,27.570000,0,0.370000,14.960000,0.480000,0.000000,48.380000,300.460000,54.190000,0.000000,0,48.380000,64.350000,24.190000,0,100.160000,0.610000,24.190000,14.780000,30.080000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.930000,0.930000,0.920000,0.000000,0.820000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1243.69

24,05:45-06:00,25.040000,0.000000,0.000000,23.220000,0.000000,8.230000,6.770000,27.570000,0,0.370000,14.960000,0.480000,0.000000,48.380000,300.460000,54.190000,0.000000,0,48.380000,64.350000,24.190000,0,100.160000,0.610000,24.190000,14.780000,30.080000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.930000,0.930000,0.920000,0.000000,0.820000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1243.69

25,06:00-06:15,25.040000,0.000000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,0.6,0.370000,14.960000,0.530000,0.000000,48.380000,300.460000,0.000000,0.000000,0,48.380000,64.350000,24.190000,1.4,100.160000,0.610000,24.190000,14.690000,30.080000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.930000,0.930000,0.920000,0.000000,0.820000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1168.24

26,06:15-06:30,25.040000,0.000000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,0.9,0.370000,14.960000,0.530000,0.000000,48.380000,300.460000,0.000000,0.000000,0,48.380000,64.350000,24.190000,2.1,100.160000,0.610000,24.190000,14.690000,30.080000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.930000,0.930000,0.920000,0.000000,0.820000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1169.24

27,06:30-06:45,25.040000,0.000000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,1.2,0.370000,14.960000,0.530000,0.000000,48.380000,300.460000,0.000000,0.000000,0,48.380000,64.350000,24.190000,2.8,100.160000,0.610000,24.190000,14.690000,30.080000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.930000,0.930000,0.920000,0.000000,0.820000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1170.24

28,06:45-07:00,25.040000,0.000000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,7.5,0.370000,14.960000,0.530000,0.000000,48.380000,300.460000,0.000000,0.000000,0.19,48.380000,64.350000,24.190000,17.5,100.160000,0.610000,24.190000,14.690000,30.080000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.930000,0.930000,0.920000,0.000000,0.820000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1191.43

29,07:00-07:15,25.040000,0.000000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,10.5,0.370000,14.960000,0.680000,0.000000,48.380000,300.460000,0.000000,0.000000,0.39,48.380000,64.350000,24.190000,24.5,100.160000,0.610000,24.190000,14.690000,30.080000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.930000,0.930000,0.920000,0.000000,0.820000,1.020000,4.840000,0.610000,43.550000,62.900000,44.510000,1246.29

30,07:15-07:30,25.040000,0.000000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,15,0.370000,14.960000,0.680000,0.000000,48.380000,300.460000,0.000000,0.000000,0.61,48.380000,64.350000,24.190000,35,100.160000,0.610000,24.190000,14.690000,30.080000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.930000,0.930000,0.920000,0.000000,0.820000,1.020000,4.840000,0.610000,43.550000,62.900000,44.510000,1261.51

31,07:30-07:45,25.040000,0.000000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,20.4,0.370000,14.960000,0.680000,0.000000,48.380000,300.460000,0.000000,0.000000,1.13,48.380000,64.350000,24.190000,47.6,100.160000,0.610000,24.190000,14.690000,30.080000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.930000,0.930000,0.920000,0.000000,0.820000,1.020000,4.840000,0.610000,43.550000,62.900000,44.510000,1280.03

32,07:45:08:00,25.040000,0.000000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,25.5,0.370000,14.960000,0.680000,0.000000,48.380000,300.460000,0.000000,0.000000,1.16,48.380000,64.350000,24.190000,59.5,100.160000,0.610000,24.190000,14.690000,30.080000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.930000,0.930000,0.920000,0.000000,0.820000,1.020000,4.840000,0.610000,43.550000,62.900000,44.510000,1297.06

33,08:00-08:15,25.040000,0.000000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,27,0.370000,14.960000,0.970000,0.000000,48.380000,300.460000,0.000000,0.000000,1.74,48.380000,64.350000,24.190000,63,100.160000,0.610000,24.190000,14.590000,30.080000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,44.510000,1303.08

34,08:15-08:30,25.040000,0.000000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,31.5,0.370000,14.960000,0.970000,0.000000,48.380000,300.460000,0.000000,0.000000,2.03,48.380000,64.350000,24.190000,73.5,100.160000,0.610000,24.190000,14.590000,30.080000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,44.510000,1318.37

35,08:30-08:45,25.040000,0.000000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,36,0.370000,14.960000,0.970000,0.000000,48.380000,300.460000,0.000000,0.000000,2.42,48.380000,64.350000,24.190000,84,100.160000,0.610000,24.190000,14.590000,30.080000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,44.510000,1333.76

36,08:45:09:00,25.040000,0.000000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,39,0.370000,14.960000,0.970000,0.000000,48.380000,300.460000,0.000000,0.000000,2.9,48.380000,64.350000,24.190000,91,100.160000,0.610000,24.190000,14.590000,30.080000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,44.510000,1344.24

37,09:00:09:15,25.040000,0.000000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,42,0.370000,14.960000,0.970000,24.190000,48.380000,300.460000,0.000000,0.000000,3.68,48.380000,64.350000,24.190000,98,100.160000,0.610000,24.190000,14.510000,30.080000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,44.510000,1379.13

38,09:15-09:30,25.040000,0.000000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,49.5,0.370000,14.960000,0.970000,24.190000,48.380000,300.460000,0.000000,0.000000,4.21,48.380000,64.350000,24.190000,115.5,100.160000,0.610000,24.190000,14.510000,30.080000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,44.510000,1404.66

39,09:30-09:45,25.040000,0.000000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,51,0.370000,14.960000,0.970000,24.190000,48.380000,300.460000,0.000000,0.000000,4.35,48.380000,64.350000,24.190000,119,100.160000,0.610000,24.190000,14.510000,30.080000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,44.510000,1409.8

40,09:45-10:00,25.040000,0.000000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,54,0.370000,14.960000,0.970000,24.190000,48.380000,300.460000,0.000000,0.000000,4.45,48.380000,64.350000,24.190000,126,100.160000,0.610000,24.190000,14.510000,30.080000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,44.510000,1419.9

41,10:00-10:15,25.040000,90.960000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,58.5,0.370000,14.960000,0.970000,24.190000,48.380000,300.460000,0.000000,0.000000,4.64,48.380000,64.350000,24.190000,136.5,100.160000,0.610000,24.190000,14.410000,31.610000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,44.510000,1527.48

42,10:15-10:30,25.040000,90.960000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,61.5,0.370000,14.960000,0.970000,24.190000,48.380000,300.460000,0.000000,0.000000,4.74,48.380000,64.350000,24.190000,143.5,100.160000,0.610000,24.190000,14.410000,31.610000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,44.510000,1537.58

43,10:30-10:45,25.040000,90.960000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,66,0.370000,14.960000,0.970000,24.190000,48.380000,300.460000,0.000000,0.000000,4.84,48.380000,64.350000,24.190000,154,100.160000,0.610000,24.190000,14.410000,31.610000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,44.510000,1552.68

44,10:45-11:00,25.040000,90.960000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,70.5,0.370000,14.960000,0.970000,24.190000,48.380000,300.460000,0.000000,0.000000,5.03,48.380000,64.350000,24.190000,164.5,100.160000,0.610000,24.190000,14.410000,31.610000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,44.510000,1567.87

45,11:00-11:15,25.040000,90.960000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,72,0.370000,14.960000,0.970000,24.190000,48.380000,300.460000,0.000000,0.000000,5.42,48.380000,64.350000,24.190000,168,100.160000,0.610000,24.190000,14.320000,31.610000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,44.510000,1573.17

46,11:15-11:30,25.040000,90.960000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,76.5,0.370000,14.960000,0.970000,24.190000,48.380000,300.460000,0.000000,0.000000,5.81,48.380000,64.350000,24.190000,178.5,100.160000,0.610000,24.190000,14.320000,31.610000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,44.510000,1588.56

47,11:30-11:45,25.040000,90.960000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,79.5,0.370000,14.960000,0.970000,24.190000,48.380000,300.460000,0.000000,0.000000,6.97,48.380000,64.350000,24.190000,185.5,100.160000,0.610000,24.190000,14.320000,31.610000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,44.510000,1599.72

48,11:45-12:00,25.040000,90.960000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,79.5,0.370000,14.960000,0.970000,24.190000,48.380000,300.460000,0.000000,0.000000,7.16,48.380000,64.350000,24.190000,185.5,100.160000,0.610000,24.190000,14.320000,31.610000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,44.510000,1599.91
