Time,Block,NR/2023/18055/C,WR/2023/20256/A/1212,NR/2023/17901/A/1192,NR/2023/17905/A/1164,NR/2023/17064/A,NR/2023/16187/A,WR/2023/20254/A/1210,WR/2023/18560/A,WR/2023/18560/A/II,NR/2023/18058/C,NR/2023/18056/C,Total
47,11:30-11:45,2.670000,0.000000,0.960000,1.930000,100.000000,0.000000,0.000000,100.000000,0.000000,24.1,6.45,236.11

48,11:45-12:00,2.670000,0.000000,0.960000,1.930000,100.000000,0.000000,0.000000,100.000000,0.000000,24.1,6.51,236.17

49,12:00-12:15,2.570000,0.000000,0.960000,1.930000,100.000000,0.000000,0.000000,100.000000,0.000000,24.1,6.56,236.12

50,12:15-12:30,2.570000,0.000000,0.960000,1.930000,100.000000,0.000000,0.000000,100.000000,0.000000,24.1,6.7,236.26

51,12:30-12:45,2.570000,0.000000,0.960000,1.930000,100.000000,0.000000,0.000000,100.000000,0.000000,24.1,7.23,236.79

52,12:45-13:00,2.570000,0.000000,0.960000,1.930000,100.000000,0.000000,0.000000,100.000000,0.000000,24.1,6.49,236.05

53,13:00-13:15,2.570000,0.000000,0.960000,1.930000,100.000000,0.000000,0.000000,100.000000,0.000000,24.1,6.35,235.91

54,13:15-13:30,2.570000,0.000000,0.960000,1.930000,100.000000,0.000000,0.000000,100.000000,0.000000,24.1,5.92,235.48

55,13:30-13:45,2.570000,0.000000,0.960000,1.930000,100.000000,0.000000,0.000000,100.000000,0.000000,24.1,5.77,235.33

56,13:45-14:00,2.570000,0.000000,0.960000,1.930000,100.000000,0.000000,0.000000,100.000000,0.000000,24.1,5.54,235.1

57,14:00-14:15,2.570000,0.000000,0.960000,1.930000,100.000000,0.000000,0.000000,100.000000,0.000000,24.1,4.63,234.19

58,14:15-14:30,2.570000,0.000000,0.960000,1.930000,100.000000,0.000000,0.000000,100.000000,0.000000,24.1,4.47,234.03

59,14:30-14:45,2.570000,0.000000,0.960000,1.930000,100.000000,0.000000,0.000000,100.000000,0.000000,24.1,4.48,234.04

60,14:45-15:00,2.570000,0.000000,0.960000,1.930000,100.000000,0.000000,0.000000,100.000000,0.000000,24.1,4.3,233.86

61,15:00-15:15,2.570000,0.000000,0.960000,1.930000,100.000000,0.000000,0.000000,100.000000,0.000000,24.1,3.77,233.33

62,15:15-15:30,2.570000,0.000000,0.960000,1.930000,100.000000,0.000000,0.000000,100.000000,0.000000,24.1,3.42,232.98

63,15:30-15:45,2.570000,0.000000,0.960000,1.930000,100.000000,0.000000,0.000000,100.000000,0.000000,24.1,2.3,231.86

64,15:45-16:00,2.570000,0.000000,0.960000,1.930000,100.000000,0.000000,0.000000,100.000000,0.000000,24.1,1.85,231.41

65,16:00-16:15,2.570000,0.000000,0.630000,1.930000,100.000000,0.000000,0.000000,100.000000,0.000000,0,1.48,206.61

66,16:15-16:30,2.570000,0.000000,0.630000,1.930000,100.000000,0.000000,0.000000,100.000000,0.000000,0,1.52,206.65

67,16:30-16:45,2.570000,0.000000,0.630000,1.930000,100.000000,0.000000,0.000000,100.000000,0.000000,0,1.02,206.15

68,16:45-17:00,2.570000,0.000000,0.630000,1.930000,100.000000,0.000000,0.000000,100.000000,0.000000,0,0.67,205.8

69,17:00-17:15,2.670000,0.000000,0.580000,1.930000,100.000000,0.000000,0.000000,100.000000,0.000000,0,0.42,205.6

70,17:15-17:30,2.670000,0.000000,0.580000,1.930000,100.000000,0.000000,0.000000,100.000000,0.000000,0,0.21,205.39

71,17:30-17:45,2.670000,0.000000,0.580000,1.930000,100.000000,0.000000,0.000000,100.000000,0.000000,0,0,205.18

72,17:45-18:00,2.670000,0.000000,0.580000,1.930000,100.000000,0.000000,0.000000,100.000000,0.000000,0,0,205.18

73,18:00-18:15,2.670000,25.000000,0.630000,1.930000,100.000000,0.000000,55.000000,0.000000,100.000000,0,0,285.23

74,18:15-18:30,2.670000,25.000000,0.630000,1.930000,100.000000,0.000000,55.000000,0.000000,100.000000,0,0,285.23

75,18:30-18:45,2.670000,25.000000,0.630000,1.930000,100.000000,0.000000,55.000000,0.000000,100.000000,0,0,285.23

76,18:45-19:00,2.670000,25.000000,0.630000,1.930000,100.000000,0.000000,55.000000,0.000000,100.000000,0,0,285.23

77,19:00-19:15,2.670000,25.000000,0.630000,1.930000,100.000000,0.000000,55.000000,0.000000,100.000000,0,0,285.23

78,19:15-19:30,2.670000,25.000000,0.630000,1.930000,100.000000,0.000000,55.000000,0.000000,100.000000,0,0,285.23

79,19:30-19:45,2.670000,25.000000,0.630000,1.930000,100.000000,0.000000,55.000000,0.000000,100.000000,0,0,285.23

80,19:45-20:00,2.670000,25.000000,0.630000,1.930000,100.000000,0.000000,55.000000,0.000000,100.000000,0,0,285.23

81,20:00-20:15,2.570000,25.000000,0.580000,1.930000,0.000000,0.000000,55.000000,0.000000,100.000000,0,0,185.08

82,20:15-20:30,2.570000,25.000000,0.580000,1.930000,0.000000,0.000000,55.000000,0.000000,100.000000,0,0,185.08

83,20:30-20:45,2.570000,25.000000,0.580000,1.930000,0.000000,0.000000,55.000000,0.000000,100.000000,0,0,185.08

84,20:45-21:00,2.570000,25.000000,0.580000,1.930000,0.000000,0.000000,55.000000,0.000000,100.000000,0,0,185.08

85,21:00-21:15,2.570000,25.000000,0.580000,1.930000,0.000000,0.000000,55.000000,0.000000,100.000000,0,0,185.08

86,21:15-21:30,2.570000,25.000000,0.580000,1.930000,0.000000,0.000000,55.000000,0.000000,100.000000,0,0,185.08

87,21:30-21:45,2.570000,25.000000,0.580000,1.930000,0.000000,0.000000,55.000000,0.000000,100.000000,0,0,185.08

88,21:45-22:00,2.570000,25.000000,0.580000,1.930000,0.000000,0.000000,55.000000,0.000000,100.000000,0,0,185.08

89,22:00-22:15,2.570000,0.000000,0.580000,1.930000,0.000000,34.170000,55.000000,0.000000,100.000000,0,0,194.25

90,22:15-22:30,2.570000,0.000000,0.580000,1.930000,0.000000,34.170000,55.000000,0.000000,100.000000,0,0,194.25

91,22:30-22:45,2.570000,0.000000,0.580000,1.930000,0.000000,34.170000,55.000000,0.000000,100.000000,0,0,194.25

92,22:45-23:00,2.570000,0.000000,0.580000,1.930000,0.000000,34.170000,55.000000,0.000000,100.000000,0,0,194.25

93,23:00-23:15,2.570000,0.000000,0.580000,1.930000,0.000000,34.170000,0.000000,0.000000,100.000000,0,0,139.25

94,23:15-23:30,2.570000,0.000000,0.580000,1.930000,0.000000,34.170000,0.000000,0.000000,100.000000,0,0,139.25

95,23:30-23:45,2.570000,0.000000,0.580000,1.930000,0.000000,34.170000,0.000000,0.000000,100.000000,0,0,139.25

96,23:45-24:00,2.570000,0.000000,0.580000,1.930000,0.000000,34.170000,0.000000,0.000000,100.000000,0,0,139.25

